case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bc,april,peak,16.92,16.67,16.6,18.7,23.3,26.51,26.54,26.0,23.65,20.9,21.21,20.8,20.62,21.22,23.14,31.2,37.45,39.92,41.35,41.81,35.59,27.75,21.42,17.56
bc,april,week,14.72,14.48,14.4,16.44,20.8,22.71,23.51,22.86,20.2,17.54,17.87,17.7,17.64,17.66,19.18,26.52,32.25,34.31,35.42,37.13,31.61,24.76,18.88,15.25
bc,april,weekend,15.46,15.22,15.16,17.32,21.91,23.75,24.55,22.33,19.53,16.75,17.11,17.21,16.94,16.97,18.64,26.41,34.1,36.43,37.25,39.19,33.33,26.09,20.05,16.22
bc,august,peak,19.36,17.69,16.71,18.36,22.89,25.78,27.94,29.31,28.79,28.75,31.59,33.85,35.75,37.55,41.91,51.24,56.55,58.27,56.94,55.56,46.77,36.34,27.37,21.37
bc,august,week,15.89,15.11,14.69,16.5,20.81,21.92,24.44,24.58,22.8,21.46,23.42,25.09,26.67,28.22,31.31,40.04,46.26,48.11,45.57,46.36,39.06,30.25,22.6,17.39
bc,august,weekend,16.77,15.84,15.34,17.28,21.78,22.92,25.49,23.93,22.06,20.62,22.55,24.52,26.14,27.48,30.48,39.42,47.96,50.16,47.41,48.57,41.07,31.74,23.55,18.25
bc,december,peak,18.11,17.79,17.5,17.52,19.63,23.98,29.29,28.93,26.16,23.52,20.68,20.97,20.74,20.49,20.13,21.19,31.97,39.22,41.22,40.36,40.02,34.76,28.06,22.35
bc,december,week,16.14,15.69,15.51,15.45,17.48,21.77,26.75,26.15,23.63,20.83,17.92,18.0,17.69,17.38,17.17,18.37,28.57,35.9,37.83,36.93,36.56,31.43,24.94,19.48
bc,december,weekend,17.34,16.87,16.68,16.66,18.8,23.29,28.55,27.81,23.51,20.56,17.49,17.5,17.3,16.79,16.54,17.82,28.39,37.71,39.95,39.03,38.67,33.29,26.5,20.8
bc,february,peak,17.49,17.03,16.89,16.87,19.02,23.48,28.74,27.13,25.35,22.25,19.52,19.74,19.55,19.47,19.4,20.75,28.04,37.53,40.41,39.36,38.94,33.61,26.8,21.07
bc,february,week,15.86,15.41,15.23,15.17,17.2,21.51,26.1,24.34,23.27,20.46,17.59,17.68,17.38,17.1,16.94,18.18,25.17,33.61,37.59,36.68,36.29,31.15,24.68,19.22
bc,february,weekend,16.81,16.34,16.15,16.1,18.25,22.79,27.39,25.55,23.0,20.04,17.03,17.17,17.05,16.65,16.49,17.8,25.12,35.31,39.71,38.71,38.28,32.87,26.05,20.3
bc,january,peak,18.21,18.01,17.92,17.73,19.8,24.41,29.71,30.05,26.74,23.82,20.85,20.76,20.47,20.07,19.84,20.9,30.82,38.91,40.83,39.84,39.42,34.01,27.28,21.58
bc,january,week,16.2,15.73,15.53,15.47,17.46,21.76,26.76,26.57,23.62,20.84,17.95,18.04,17.72,17.37,17.19,18.47,26.53,36.0,37.98,37.08,36.71,31.58,25.08,19.61
bc,january,weekend,16.98,16.47,16.25,16.2,18.3,22.8,28.04,27.65,23.13,20.23,17.24,17.31,17.11,16.6,16.4,17.64,26.19,37.51,39.72,38.77,38.38,32.97,26.17,20.43
bc,july,peak,22.33,20.2,19.4,20.71,23.01,26.25,31.61,32.68,32.44,32.2,35.83,38.91,41.86,44.23,48.57,58.56,64.25,65.46,63.14,61.46,53.06,41.52,31.38,25.67
bc,july,week,17.29,16.06,15.3,16.95,19.6,21.79,25.58,25.86,24.38,23.47,25.65,27.39,28.88,30.43,33.34,41.86,48.14,50.11,47.53,47.82,41.79,32.64,24.82,19.34
bc,july,weekend,18.13,16.91,16.29,18.1,20.82,23.11,26.97,25.56,24.14,23.31,25.72,27.84,29.48,31.21,34.66,44.08,52.93,55.21,52.4,51.61,44.83,34.87,26.23,19.92
bc,june,peak,19.78,18.21,17.21,18.96,20.78,24.18,28.32,28.8,27.31,26.06,28.18,29.82,31.44,32.21,35.22,44.21,50.79,52.77,49.88,51.1,43.47,33.83,26.46,21.1
bc,june,week,15.78,15.07,14.64,16.48,18.25,21.23,24.66,24.53,22.45,20.43,21.45,22.17,23.19,24.23,26.64,35.07,41.32,43.65,41.7,42.12,37.06,28.74,21.72,17.01
bc,june,weekend,16.25,15.58,15.25,17.22,19.1,22.18,25.46,23.57,21.33,19.19,20.27,21.29,21.86,22.81,25.57,34.82,43.66,46.47,44.97,45.44,40.09,31.14,23.36,18.17
bc,march,peak,17.06,16.61,16.44,18.14,22.75,27.91,26.72,25.72,25.05,22.34,19.64,20.01,20.06,20.16,21.03,28.51,34.79,36.73,41.84,40.3,39.65,33.75,26.58,20.69
bc,march,week,15.28,14.99,14.88,16.18,19.68,24.29,24.13,23.45,21.34,18.48,17.66,17.54,17.31,17.18,17.88,22.91,28.96,32.58,37.0,36.69,32.95,26.74,20.81,16.69
bc,march,weekend,16.23,15.96,15.86,17.21,20.86,25.84,25.45,23.66,20.93,17.93,16.86,16.8,16.42,16.08,16.87,22.02,29.33,33.87,38.75,38.28,34.69,28.33,22.13,17.71
bc,may,peak,17.39,16.75,16.38,18.27,22.82,23.45,27.08,26.15,24.2,22.43,23.74,24.73,26.42,27.9,30.98,39.63,46.68,49.17,46.83,47.86,40.71,32.06,24.4,18.78
bc,may,week,14.89,14.57,14.44,16.46,19.45,20.86,23.78,23.09,20.54,17.98,18.42,18.5,18.63,18.86,20.66,28.46,34.61,36.97,35.52,38.79,33.05,25.66,19.43,15.53
bc,may,weekend,15.45,15.11,15.01,17.15,20.06,21.73,24.56,22.43,19.8,17.16,17.58,17.68,17.46,17.59,19.38,27.32,35.14,37.57,36.25,39.8,34.17,26.67,20.36,16.38
bc,november,peak,17.53,17.01,16.77,18.09,22.55,27.66,28.78,27.23,25.72,22.86,19.94,20.38,20.42,20.44,20.95,28.09,34.02,40.17,40.68,39.6,39.1,33.63,26.83,21.11
bc,november,week,15.87,15.44,15.27,15.45,17.69,22.07,25.98,24.11,22.96,20.18,17.77,17.86,17.64,17.45,17.47,19.21,28.25,36.13,37.72,36.85,35.78,30.43,24.06,18.86
bc,november,weekend,16.5,16.08,15.91,16.41,19.13,23.81,27.43,24.49,22.08,19.14,16.96,17.02,16.84,16.48,16.67,19.46,28.84,37.97,39.39,38.55,36.9,31.12,24.55,19.34
bc,october,peak,16.72,16.5,16.4,18.65,23.4,28.94,28.38,25.61,22.45,19.67,20.55,20.49,21.11,21.9,24.08,31.98,38.05,43.69,41.86,40.7,34.09,26.84,20.95,17.23
bc,october,week,14.9,14.69,14.63,16.69,21.06,26.14,24.97,23.05,20.34,17.7,18.09,17.99,18.01,18.07,19.57,26.8,32.47,37.91,37.71,37.04,31.61,24.75,18.94,15.37
bc,october,weekend,15.51,15.26,15.19,17.36,21.96,27.32,25.89,22.46,19.59,16.73,17.06,17.19,16.96,17.02,18.59,26.14,33.55,39.56,39.46,38.74,33.0,25.83,19.85,16.17
bc,september,peak,19.13,18.07,17.54,19.35,23.88,30.28,27.4,27.09,25.3,24.88,28.88,32.02,33.93,35.48,39.69,49.63,56.48,55.51,55.82,49.84,42.53,33.1,25.37,20.27
bc,september,week,15.23,14.77,14.49,16.41,20.76,24.4,23.84,23.41,21.29,19.38,20.39,20.97,21.92,22.02,23.78,31.83,37.92,39.93,41.32,40.5,34.34,26.71,20.23,16.04
bc,september,weekend,16.18,15.57,15.28,17.27,21.82,25.6,24.98,23.08,20.98,19.37,21.28,22.86,23.89,24.97,27.36,35.74,43.77,45.48,46.31,44.57,37.69,29.11,21.95,17.34
bci,april,peak,16.92,16.67,16.6,18.7,23.3,26.51,26.54,26.0,23.65,20.9,21.21,20.8,20.62,21.22,23.14,31.2,37.45,39.92,41.35,41.81,35.59,27.75,21.42,17.56
bci,april,week,14.72,14.48,14.4,16.44,20.8,22.71,23.51,22.86,20.2,17.54,17.87,17.7,17.64,17.66,19.18,26.52,32.25,34.31,35.42,37.13,31.61,24.76,18.88,15.25
bci,april,weekend,15.46,15.22,15.16,17.32,21.91,23.75,24.55,22.33,19.53,16.75,17.11,17.21,16.94,16.97,18.64,26.41,34.1,36.43,37.25,39.19,33.33,26.09,20.05,16.22
bci,august,peak,19.36,17.69,16.71,18.36,22.89,25.78,27.94,29.31,28.79,28.75,31.59,33.85,35.75,37.55,41.91,51.24,56.55,58.27,56.94,55.56,46.77,36.34,27.37,21.37
bci,august,week,15.89,15.11,14.69,16.5,20.81,21.92,24.44,24.58,22.8,21.46,23.42,25.09,26.67,28.22,31.31,40.04,46.26,48.11,45.57,46.36,39.06,30.25,22.6,17.39
bci,august,weekend,16.77,15.84,15.34,17.28,21.78,22.92,25.49,23.93,22.06,20.62,22.55,24.52,26.14,27.48,30.48,39.42,47.96,50.16,47.41,48.57,41.07,31.74,23.55,18.25
bci,december,peak,18.11,17.79,17.5,17.52,19.63,23.98,29.29,28.93,26.16,23.52,20.68,20.97,20.74,20.49,20.13,21.19,31.97,39.22,41.22,40.36,40.02,34.76,28.06,22.35
bci,december,week,16.14,15.69,15.51,15.45,17.48,21.77,26.75,26.15,23.63,20.83,17.92,18.0,17.69,17.38,17.17,18.37,28.57,35.9,37.83,36.93,36.56,31.43,24.94,19.48
bci,december,weekend,17.34,16.87,16.68,16.66,18.8,23.29,28.55,27.81,23.51,20.56,17.49,17.5,17.3,16.79,16.54,17.82,28.39,37.71,39.95,39.03,38.67,33.29,26.5,20.8
bci,february,peak,17.49,17.03,16.89,16.87,19.02,23.48,28.74,27.13,25.35,22.25,19.52,19.74,19.55,19.47,19.4,20.75,28.04,37.53,40.41,39.36,38.94,33.61,26.8,21.07
bci,february,week,15.86,15.41,15.23,15.17,17.2,21.51,26.1,24.34,23.27,20.46,17.59,17.68,17.38,17.1,16.94,18.18,25.17,33.61,37.59,36.68,36.29,31.15,24.68,19.22
bci,february,weekend,16.81,16.34,16.15,16.1,18.25,22.79,27.39,25.55,23.0,20.04,17.03,17.17,17.05,16.65,16.49,17.8,25.12,35.31,39.71,38.71,38.28,32.87,26.05,20.3
bci,january,peak,18.21,18.01,17.92,17.73,19.8,24.41,29.71,30.05,26.74,23.82,20.85,20.76,20.47,20.07,19.84,20.9,30.82,38.91,40.83,39.84,39.42,34.01,27.28,21.58
bci,january,week,16.2,15.73,15.53,15.47,17.46,21.76,26.76,26.57,23.62,20.84,17.95,18.04,17.72,17.37,17.19,18.47,26.53,36.0,37.98,37.08,36.71,31.58,25.08,19.61
bci,january,weekend,16.98,16.47,16.25,16.2,18.3,22.8,28.04,27.65,23.13,20.23,17.24,17.31,17.11,16.6,16.4,17.64,26.19,37.51,39.72,38.77,38.38,32.97,26.17,20.43
bci,july,peak,22.33,20.2,19.4,20.71,23.01,26.25,31.61,32.68,32.44,32.2,35.83,38.91,41.86,44.23,48.57,58.56,64.25,65.46,63.14,61.46,53.06,41.52,31.38,25.67
bci,july,week,17.29,16.06,15.3,16.95,19.6,21.79,25.58,25.86,24.38,23.47,25.65,27.39,28.88,30.43,33.34,41.86,48.14,50.11,47.53,47.82,41.79,32.64,24.82,19.34
bci,july,weekend,18.13,16.91,16.29,18.1,20.82,23.11,26.97,25.56,24.14,23.31,25.72,27.84,29.48,31.21,34.66,44.08,52.93,55.21,52.4,51.61,44.83,34.87,26.23,19.92
bci,june,peak,19.78,18.21,17.21,18.96,20.78,24.18,28.32,28.8,27.31,26.06,28.18,29.82,31.44,32.21,35.22,44.21,50.79,52.77,49.88,51.1,43.47,33.83,26.46,21.1
bci,june,week,15.78,15.07,14.64,16.48,18.25,21.23,24.66,24.53,22.45,20.43,21.45,22.17,23.19,24.23,26.64,35.07,41.32,43.65,41.7,42.12,37.06,28.74,21.72,17.01
bci,june,weekend,16.25,15.58,15.25,17.22,19.1,22.18,25.46,23.57,21.33,19.19,20.27,21.29,21.86,22.81,25.57,34.82,43.66,46.47,44.97,45.44,40.09,31.14,23.36,18.17
