case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bc,april,peak,0.4,0.38,0.38,0.37,0.4,0.48,0.54,0.47,0.39,0.38,0.38,0.37,0.38,0.38,0.4,0.46,0.58,0.63,0.71,0.82,0.82,0.69,0.57,0.45
bc,april,week,0.35,0.34,0.34,0.33,0.36,0.43,0.49,0.43,0.35,0.34,0.34,0.33,0.33,0.34,0.35,0.41,0.51,0.57,0.65,0.75,0.75,0.62,0.52,0.4
bc,april,weekend,0.38,0.36,0.36,0.35,0.38,0.45,0.52,0.46,0.38,0.37,0.36,0.36,0.36,0.37,0.38,0.44,0.54,0.61,0.68,0.78,0.8,0.68,0.56,0.44
bc,august,peak,0.31,0.29,0.29,0.28,0.31,0.37,0.43,0.38,0.31,0.3,0.3,0.31,0.38,0.48,0.58,0.67,0.87,0.92,0.89,0.89,0.89,0.71,0.54,0.36
bc,august,week,0.3,0.28,0.28,0.27,0.29,0.35,0.41,0.36,0.29,0.29,0.29,0.29,0.29,0.3,0.34,0.42,0.56,0.61,0.64,0.69,0.72,0.58,0.46,0.35
bc,august,weekend,0.31,0.29,0.29,0.28,0.31,0.37,0.43,0.37,0.31,0.3,0.3,0.3,0.31,0.34,0.38,0.45,0.58,0.62,0.66,0.73,0.76,0.61,0.49,0.36
bc,december,peak,0.49,0.44,0.42,0.42,0.41,0.45,0.55,0.65,0.58,0.48,0.46,0.46,0.45,0.45,0.46,0.51,0.65,0.9,1.01,0.99,0.97,0.91,0.77,0.65
bc,december,week,0.44,0.4,0.38,0.38,0.37,0.4,0.49,0.58,0.52,0.42,0.4,0.39,0.39,0.39,0.41,0.45,0.59,0.81,0.92,0.9,0.88,0.82,0.69,0.57
bc,december,weekend,0.48,0.43,0.41,0.41,0.4,0.44,0.53,0.63,0.56,0.45,0.43,0.42,0.41,0.42,0.43,0.48,0.62,0.86,0.97,0.95,0.93,0.87,0.73,0.61
bc,february,peak,0.49,0.44,0.42,0.42,0.42,0.45,0.55,0.63,0.55,0.44,0.43,0.42,0.42,0.42,0.43,0.46,0.56,0.75,0.89,0.97,0.95,0.89,0.74,0.63
bc,february,week,0.45,0.4,0.38,0.38,0.37,0.41,0.49,0.57,0.5,0.4,0.38,0.38,0.37,0.37,0.39,0.41,0.51,0.69,0.82,0.9,0.89,0.82,0.69,0.58
bc,february,weekend,0.48,0.42,0.41,0.41,0.4,0.44,0.52,0.61,0.54,0.43,0.41,0.4,0.39,0.4,0.41,0.44,0.54,0.73,0.87,0.95,0.94,0.87,0.73,0.61
bc,january,peak,0.51,0.46,0.45,0.44,0.43,0.47,0.58,0.67,0.61,0.49,0.48,0.47,0.46,0.46,0.47,0.5,0.62,0.85,0.98,1.0,0.96,0.9,0.76,0.64
bc,january,week,0.45,0.4,0.39,0.38,0.37,0.41,0.5,0.6,0.53,0.42,0.41,0.4,0.39,0.4,0.41,0.45,0.56,0.78,0.91,0.93,0.89,0.83,0.7,0.58
bc,january,weekend,0.47,0.42,0.4,0.4,0.39,0.43,0.52,0.63,0.56,0.44,0.43,0.42,0.42,0.42,0.43,0.47,0.59,0.81,0.95,0.98,0.94,0.87,0.73,0.6
bc,july,peak,0.31,0.29,0.29,0.28,0.31,0.36,0.42,0.36,0.31,0.32,0.34,0.41,0.53,0.69,0.84,0.95,1.34,1.32,1.25,1.11,1.04,0.8,0.62,0.44
bc,july,week,0.3,0.28,0.27,0.27,0.29,0.35,0.4,0.34,0.29,0.29,0.29,0.29,0.31,0.34,0.38,0.48,0.66,0.68,0.68,0.7,0.72,0.59,0.47,0.35
bc,july,weekend,0.31,0.29,0.29,0.28,0.31,0.36,0.42,0.36,0.31,0.3,0.3,0.31,0.32,0.35,0.43,0.54,0.73,0.76,0.78,0.8,0.81,0.66,0.51,0.36
bc,june,peak,0.33,0.32,0.32,0.32,0.34,0.4,0.44,0.38,0.32,0.32,0.31,0.31,0.31,0.32,0.33,0.38,0.52,0.58,0.63,0.65,0.7,0.6,0.5,0.38
bc,june,week,0.3,0.28,0.28,0.27,0.3,0.35,0.39,0.34,0.29,0.29,0.29,0.28,0.29,0.3,0.31,0.36,0.44,0.49,0.54,0.61,0.67,0.57,0.46,0.35
bc,june,weekend,0.32,0.3,0.29,0.29,0.32,0.37,0.42,0.36,0.31,0.3,0.3,0.3,0.3,0.31,0.33,0.38,0.47,0.52,0.57,0.65,0.7,0.6,0.49,0.36
bc,march,peak,0.46,0.41,0.39,0.39,0.39,0.42,0.49,0.54,0.47,0.39,0.37,0.38,0.37,0.38,0.38,0.4,0.48,0.63,0.76,0.86,0.89,0.82,0.69,0.58
bc,march,week,0.42,0.37,0.35,0.35,0.34,0.38,0.44,0.5,0.43,0.36,0.35,0.34,0.34,0.34,0.35,0.37,0.44,0.59,0.71,0.81,0.83,0.77,0.65,0.54
bc,march,weekend,0.44,0.39,0.38,0.38,0.37,0.4,0.47,0.53,0.46,0.38,0.37,0.36,0.35,0.36,0.37,0.39,0.47,0.62,0.74,0.85,0.88,0.81,0.68,0.56
bc,may,peak,0.39,0.37,0.37,0.36,0.39,0.46,0.5,0.44,0.38,0.37,0.37,0.36,0.36,0.37,0.38,0.44,0.54,0.6,0.65,0.74,0.78,0.67,0.55,0.43
bc,may,week,0.34,0.33,0.33,0.32,0.35,0.41,0.46,0.4,0.33,0.33,0.32,0.32,0.32,0.33,0.35,0.41,0.5,0.55,0.61,0.7,0.74,0.62,0.51,0.39
bc,may,weekend,0.36,0.34,0.34,0.34,0.37,0.43,0.48,0.41,0.35,0.34,0.34,0.33,0.34,0.35,0.37,0.43,0.52,0.58,0.64,0.73,0.77,0.65,0.54,0.41
bc,november,peak,0.43,0.38,0.37,0.36,0.35,0.39,0.48,0.54,0.49,0.4,0.39,0.39,0.39,0.39,0.4,0.44,0.57,0.78,0.9,0.89,0.86,0.8,0.67,0.56
bc,november,week,0.39,0.35,0.33,0.33,0.32,0.35,0.42,0.49,0.44,0.35,0.34,0.34,0.33,0.34,0.35,0.39,0.51,0.71,0.82,0.82,0.8,0.74,0.62,0.51
bc,november,weekend,0.41,0.36,0.35,0.34,0.34,0.37,0.44,0.51,0.46,0.38,0.36,0.36,0.35,0.36,0.37,0.41,0.54,0.75,0.86,0.86,0.84,0.78,0.65,0.53
