,name,FullServiceRestaurant,Hospital,LargeHotel,LargeOffice,MediumOffice,MidriseApartment,OutPatient,PrimarySchool,QuickServiceRestaurant,ResidBase,ResidHigh,ResidLow,SecondarySchool,SmallHotel,SmallOffice,Stand-aloneRetail,StripMall,SuperMarket,Warehouse
0,Load1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
1,Load2,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0
2,Load4,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0
3,Load5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Load6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Load7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
6,Load9,0,0,0,0,0,1,0,0,0,5,0,26,0,0,0,0,0,0,0
7,Load10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Load11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Load12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
10,Load16,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0
11,Load17,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0
12,Load19,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
13,Load20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Load22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Load24,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0
16,Load28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Load29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Load30,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0
19,Load31,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
20,Load32,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0
21,Load33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Load34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Load35,0,0,0,0,0,1,0,0,0,7,0,22,0,0,0,0,0,0,0
24,Load37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Load38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Load39,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0
27,Load41,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
28,Load42,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
29,Load43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Load45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Load46,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0
32,Load47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Load48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Load49,0,0,0,0,0,2,0,0,0,28,0,61,0,0,0,0,0,0,0
35,Load50,0,0,0,0,0,1,0,0,0,12,0,5,0,0,0,0,0,0,0
36,Load51,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0
37,Load52,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0
38,Load53,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
39,Load55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Load56,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0
41,Load58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Load59,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0
43,Load60,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0
44,Load62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Load63,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,0
46,Load64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Load65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Load66,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,1
49,Load68,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0
50,Load69,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0
51,Load70,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
52,Load71,0,0,0,0,0,1,0,0,0,13,0,3,0,0,0,0,0,0,0
53,Load73,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
54,Load74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Load75,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0
56,Load76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Load77,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0
58,Load79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Load80,0,0,0,0,0,1,0,0,0,7,0,21,0,0,0,0,0,0,0
60,Load82,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0
61,Load83,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0
62,Load84,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
63,Load85,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0
64,Load86,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
65,Load87,0,0,0,0,0,1,0,0,0,5,0,28,0,0,0,0,0,0,0
66,Load88,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0
67,Load90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Load92,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0
69,Load94,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0
70,Load95,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0
71,Load96,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0
72,Load98,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0
73,Load99,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0
74,Load100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Load102,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0
76,Load103,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0
77,Load104,0,0,0,0,0,1,0,0,0,10,0,12,0,0,0,0,0,0,0
78,Load106,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0
79,Load107,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0
80,Load109,0,0,0,0,0,1,0,0,0,10,0,12,0,0,0,0,0,0,0
81,Load111,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0
82,Load112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Load113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Load114,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
