case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bc,april,peak,1.08,1.02,1.01,1.0,1.07,1.32,1.58,1.45,1.26,1.24,1.22,1.2,1.19,1.12,1.18,1.33,1.61,1.75,2.03,2.46,2.53,2.1,1.67,1.25
bc,april,week,0.88,0.83,0.84,0.85,0.93,1.15,1.39,1.26,1.06,1.03,1.01,0.96,0.92,0.9,0.93,1.06,1.31,1.47,1.74,2.14,2.21,1.8,1.42,1.03
bc,april,weekend,0.97,0.9,0.9,0.92,0.99,1.22,1.48,1.4,1.22,1.18,1.16,1.12,1.08,1.07,1.09,1.21,1.46,1.63,1.89,2.29,2.4,2.01,1.59,1.16
bc,august,peak,0.73,0.58,0.57,0.57,0.63,0.83,1.11,1.02,0.92,1.35,1.82,2.53,3.11,3.71,4.14,4.41,4.65,4.26,3.76,3.59,3.53,2.69,1.93,1.08
bc,august,week,0.63,0.56,0.54,0.54,0.6,0.78,1.03,0.94,0.8,0.81,0.89,1.14,1.4,1.79,2.24,2.65,2.96,2.85,2.63,2.66,2.62,1.93,1.32,0.81
bc,august,weekend,0.66,0.58,0.57,0.57,0.63,0.82,1.09,1.01,0.87,0.9,1.02,1.2,1.5,1.84,2.28,2.67,3.04,2.96,2.76,2.75,2.73,1.97,1.38,0.87
bc,december,peak,1.45,1.29,1.2,1.24,1.24,1.35,1.66,2.05,1.97,1.69,1.65,1.59,1.54,1.51,1.5,1.6,2.14,2.95,3.39,3.24,3.12,2.91,2.46,2.04
bc,december,week,1.21,1.06,0.99,0.99,0.99,1.06,1.35,1.74,1.64,1.33,1.27,1.23,1.2,1.15,1.16,1.31,1.79,2.56,2.95,2.8,2.67,2.44,2.01,1.62
bc,december,weekend,1.34,1.18,1.11,1.11,1.12,1.2,1.51,1.92,1.79,1.47,1.4,1.36,1.31,1.26,1.25,1.4,1.91,2.73,3.14,2.99,2.87,2.63,2.18,1.77
bc,february,peak,1.39,1.23,1.18,1.17,1.18,1.25,1.57,1.94,1.73,1.41,1.4,1.35,1.31,1.3,1.31,1.35,1.63,2.23,2.73,3.06,2.93,2.7,2.25,1.84
bc,february,week,1.2,1.04,0.99,0.98,0.99,1.07,1.34,1.66,1.53,1.24,1.19,1.15,1.1,1.06,1.05,1.12,1.4,2.0,2.49,2.77,2.69,2.45,2.02,1.63
bc,february,weekend,1.3,1.13,1.07,1.07,1.07,1.16,1.47,1.81,1.67,1.38,1.33,1.28,1.23,1.17,1.15,1.22,1.51,2.14,2.66,2.95,2.87,2.62,2.17,1.74
bc,january,peak,1.51,1.41,1.34,1.31,1.28,1.39,1.74,2.17,2.07,1.72,1.67,1.57,1.53,1.46,1.45,1.55,1.96,2.71,3.2,3.22,2.99,2.81,2.34,1.92
bc,january,week,1.23,1.06,1.0,0.99,0.99,1.06,1.36,1.78,1.68,1.36,1.31,1.28,1.24,1.2,1.19,1.29,1.68,2.4,2.89,2.92,2.72,2.49,2.06,1.65
bc,january,weekend,1.28,1.1,1.04,1.04,1.03,1.11,1.45,1.9,1.8,1.48,1.45,1.42,1.37,1.3,1.29,1.38,1.79,2.54,3.05,3.09,2.87,2.62,2.17,1.71
bc,july,peak,1.13,0.78,0.68,0.94,0.99,1.1,1.23,1.36,1.63,2.27,2.81,3.49,4.05,4.62,5.14,5.62,5.73,5.63,5.63,4.72,4.34,3.35,2.4,1.63
bc,july,week,0.7,0.59,0.6,0.61,0.68,0.84,1.02,0.97,0.99,1.26,1.55,1.9,2.2,2.58,2.9,3.18,3.48,3.28,3.07,3.0,2.99,2.36,1.66,0.99
bc,july,weekend,0.77,0.66,0.65,0.66,0.74,0.92,1.12,1.07,1.15,1.51,1.84,2.25,2.61,2.96,3.38,3.77,4.07,3.84,3.64,3.43,3.35,2.62,1.78,0.99
bc,june,peak,1.14,0.92,0.92,0.93,0.99,1.12,1.24,1.34,1.43,1.72,1.72,2.03,2.4,2.78,3.2,3.32,3.72,3.44,3.29,3.2,3.14,2.61,2.02,1.4
bc,june,week,0.71,0.64,0.65,0.67,0.74,0.88,1.03,0.94,0.88,0.99,1.11,1.29,1.53,1.73,2.0,2.28,2.51,2.48,2.42,2.41,2.46,1.98,1.36,0.87
bc,june,weekend,0.78,0.71,0.73,0.75,0.82,0.98,1.14,1.04,0.97,1.03,1.17,1.37,1.56,1.81,2.13,2.53,2.8,2.79,2.8,2.71,2.75,2.13,1.51,0.97
bc,march,peak,1.32,1.18,1.11,1.11,1.11,1.23,1.44,1.6,1.46,1.27,1.21,1.21,1.19,1.13,1.11,1.16,1.37,1.84,2.29,2.68,2.79,2.57,2.14,1.75
bc,march,week,1.12,0.96,0.9,0.89,0.9,0.97,1.17,1.39,1.26,1.09,1.06,1.04,1.0,0.96,0.94,0.99,1.21,1.66,2.08,2.45,2.55,2.33,1.92,1.54
bc,march,weekend,1.23,1.07,1.01,1.01,1.01,1.08,1.3,1.52,1.39,1.21,1.18,1.15,1.1,1.06,1.04,1.08,1.31,1.8,2.24,2.62,2.72,2.48,2.04,1.62
