case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bc,april,peak,4.78,4.78,4.78,4.78,5.05,6.33,5.85,12.08,12.27,12.6,12.73,12.03,12.95,13.03,13.26,13.14,8.13,6.21,7.55,7.62,7.6,5.05,4.78,4.78
bc,april,week,4.54,4.54,4.54,4.54,4.8,5.34,5.56,11.31,11.33,11.35,11.36,10.84,11.51,11.54,11.67,11.73,7.28,5.65,6.58,7.22,7.22,4.8,4.54,4.54
bc,april,weekend,4.23,4.23,4.23,4.23,4.23,4.15,3.34,4.16,4.16,4.16,4.16,3.34,3.35,3.35,3.35,3.36,2.96,1.93,2.96,4.23,4.23,4.23,4.23,4.23
bc,august,peak,4.78,4.78,4.78,4.78,5.05,6.81,6.71,14.34,15.08,15.49,16.13,15.77,16.37,17.23,17.11,17.46,12.04,9.66,10.02,9.73,9.32,5.05,4.78,4.78
bc,august,week,4.57,4.57,4.57,4.57,4.83,5.17,5.76,12.35,12.89,13.28,13.62,13.29,14.22,14.5,14.67,14.86,9.95,7.98,7.59,8.28,8.03,4.83,4.57,4.57
bc,august,weekend,4.23,4.23,4.23,4.23,4.23,3.83,3.4,4.43,4.63,4.77,4.87,4.04,4.16,4.21,4.26,4.43,4.03,2.19,2.32,4.13,4.23,4.23,4.23,4.23
bc,december,peak,6.16,6.32,6.24,6.29,6.24,6.42,7.05,7.0,11.9,11.9,12.01,12.16,11.65,12.28,12.23,12.07,13.47,9.81,8.15,8.15,7.6,7.6,5.05,4.78
bc,december,week,4.59,4.58,4.59,4.6,4.65,4.97,6.64,6.19,10.9,10.89,10.88,10.88,10.39,10.92,10.92,10.89,12.24,9.08,7.59,7.59,7.09,7.09,4.78,4.54
bc,december,weekend,4.34,4.42,4.48,4.56,4.61,4.65,5.96,4.55,4.44,4.38,4.37,4.32,3.46,3.47,3.45,3.45,4.87,5.42,4.48,4.51,4.58,4.68,4.67,4.68
bc,february,peak,4.96,5.02,4.96,5.02,5.02,5.29,7.06,6.24,11.9,11.9,11.96,12.15,11.5,12.34,12.13,12.42,12.32,9.45,8.15,8.15,7.6,7.6,5.05,4.78
bc,february,week,4.53,4.53,4.54,4.54,4.54,4.81,6.43,5.49,10.81,10.81,10.81,10.83,10.34,10.87,10.87,10.86,10.83,8.15,7.55,7.55,7.05,7.05,4.76,4.51
bc,february,weekend,4.23,4.23,4.23,4.23,4.23,4.23,5.38,3.47,4.19,4.16,4.16,4.16,3.34,3.34,3.34,3.34,3.34,4.27,4.23,4.25,4.27,4.26,4.28,4.3
bc,january,peak,5.58,5.85,5.68,6.0,5.85,6.31,7.05,7.0,11.9,11.9,11.91,12.03,11.55,12.17,12.15,12.09,13.09,9.81,8.15,8.15,7.6,7.6,5.05,4.78
bc,january,week,4.55,4.55,4.59,4.65,4.69,4.98,6.6,6.35,10.91,10.91,10.91,10.92,10.43,10.94,10.94,10.93,11.35,9.09,7.6,7.6,7.1,7.1,4.79,4.54
bc,january,weekend,4.31,4.3,4.31,4.3,4.37,4.39,5.66,4.35,4.08,3.95,3.95,3.99,3.26,3.2,3.2,3.2,3.74,5.19,4.31,4.34,4.33,4.35,4.34,4.36
bc,july,peak,4.78,4.78,4.78,4.78,4.67,6.63,7.78,14.79,16.21,16.77,16.94,16.46,17.8,18.31,18.62,19.01,13.61,11.27,10.44,10.82,10.62,5.05,4.78,4.78
bc,july,week,4.52,4.52,4.52,4.52,4.06,4.92,5.81,12.24,12.82,13.14,13.5,13.07,14.01,14.25,14.46,14.56,9.89,7.83,7.32,7.67,8.14,4.77,4.52,4.52
bc,july,weekend,4.23,4.23,4.23,4.23,3.54,3.65,3.59,4.74,5.08,5.22,5.13,4.27,4.34,4.39,4.54,4.83,4.48,2.45,2.49,3.57,4.26,4.23,4.23,4.23
bc,june,peak,4.78,4.78,4.78,4.78,3.9,5.39,6.57,14.03,14.68,15.06,15.25,14.75,15.26,16.11,16.22,15.97,10.72,8.6,8.2,8.57,8.8,5.05,4.78,4.78
bc,june,week,4.56,4.56,4.56,4.56,3.72,4.66,5.73,12.08,12.44,12.71,12.89,12.33,13.22,13.55,13.57,13.77,8.86,6.92,6.69,6.98,7.64,4.82,4.56,4.56
bc,june,weekend,4.23,4.23,4.23,4.23,3.08,3.38,3.37,4.24,4.35,4.39,4.44,3.6,3.64,3.67,3.72,3.86,3.42,2.05,2.05,3.29,4.23,4.23,4.23,4.23
bc,march,peak,4.78,4.78,4.78,4.78,5.05,7.08,6.62,11.91,11.95,11.95,12.09,12.24,12.65,12.5,13.06,13.2,12.61,8.56,8.18,8.15,7.6,7.6,5.05,4.78
bc,march,week,4.57,4.57,4.57,4.57,4.74,5.97,5.71,9.28,11.38,11.38,11.39,11.04,11.24,11.44,11.47,11.48,8.55,6.26,7.65,7.44,7.27,5.61,4.65,4.57
bc,march,weekend,4.23,4.23,4.23,4.23,4.23,4.93,3.91,3.75,4.16,4.16,4.16,3.75,3.34,3.34,3.34,3.34,3.13,2.62,4.13,4.23,4.23,4.23,4.23,4.23
