case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bc,april,peak,19.56,19.59,19.76,19.69,19.77,23.57,38.11,57.59,69.57,69.57,69.57,63.07,69.57,69.57,69.57,69.57,22.04,8.07,13.41,17.76,19.0,18.32,19.4,18.6
bc,april,week,16.45,16.68,16.87,17.08,17.25,19.94,36.21,54.71,66.09,66.09,66.09,59.92,66.09,66.09,66.09,66.09,19.48,6.24,10.21,14.94,15.27,15.57,15.84,16.16
bc,april,weekend,17.57,17.79,17.99,18.2,18.4,12.7,13.35,13.75,18.22,18.12,17.83,12.55,12.47,12.56,12.41,7.08,7.04,7.25,11.25,16.57,16.59,17.18,17.25,17.67
bc,august,peak,15.42,15.42,15.42,15.42,15.42,22.09,38.11,57.59,70.61,73.33,78.81,76.53,86.91,89.69,91.36,91.75,34.79,16.74,19.68,17.44,15.43,15.42,15.42,15.42
bc,august,week,14.75,14.75,14.75,14.75,14.75,18.28,36.46,55.09,66.61,67.1,68.45,64.49,73.88,76.38,77.93,78.42,25.33,9.8,9.83,14.61,14.75,14.75,14.75,14.75
bc,august,weekend,15.42,15.42,15.42,15.42,15.42,7.98,12.06,12.56,17.41,17.49,17.74,13.53,15.07,16.2,17.41,10.49,9.57,9.76,8.97,15.53,15.42,15.42,15.42,15.42
bc,december,peak,21.76,21.29,22.27,21.85,22.59,22.33,26.74,42.77,57.79,69.76,69.76,69.67,63.07,69.57,69.57,69.57,75.51,33.78,20.07,21.92,20.93,22.62,21.42,23.05
bc,december,week,18.25,18.99,18.48,19.27,18.71,19.42,25.17,38.03,52.78,63.48,63.46,63.36,57.49,63.32,63.33,63.32,68.68,29.34,17.02,18.02,17.59,18.48,17.89,18.74
bc,december,weekend,20.03,20.41,20.27,20.68,20.58,20.9,20.73,18.13,15.54,19.68,19.58,18.87,13.49,13.12,13.2,12.94,14.3,18.19,19.25,19.07,19.92,19.54,20.24,19.79
bc,february,peak,21.48,21.89,21.71,22.25,21.51,22.37,26.74,39.8,57.79,69.67,69.57,69.57,63.07,69.57,69.57,69.57,69.57,30.27,18.37,20.04,19.22,21.06,19.99,21.62
bc,february,week,18.53,18.72,18.82,18.99,19.07,19.18,24.31,35.32,52.38,63.05,63.08,63.03,57.21,63.01,63.01,62.98,63.0,25.06,16.56,17.36,17.53,18.07,18.09,18.55
bc,february,weekend,19.95,20.11,20.25,20.39,20.51,20.64,19.64,15.06,15.1,19.24,18.97,18.43,13.0,12.78,12.81,12.61,7.94,13.4,18.25,18.31,19.25,18.98,19.85,19.4
bc,january,peak,21.21,22.87,21.74,23.29,21.84,23.26,26.74,42.77,57.79,69.76,69.76,69.76,63.27,69.57,69.57,69.57,74.03,33.93,19.84,21.28,20.18,21.54,20.64,22.14
