# file...... Overhead_lines_power_in_B.csv
# date...... Fri Oct 27 14:51:41 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-01-01 00:00:00 PST,+10890.8+0.844317j,-0+0j,+784418+55443.7j,+0+0j,+0+0j,+0+0j,+784169+52081.2j,+6150.34+0.346909j,-0+0j,+777837+49834.9j,+0+0j,-0+0j,+321554+12206.7j,+0+0j,+0+0j,+0+0j,+0+0j,-0+0j,+43108.1+21595.2j,+0+0j,+43115.2+21582.9j,+2.07812e-05-1.34989e-05j,-0+0j,+2.08245e-05-1.34636e-05j,+0+0j,+2.08281e-05-1.34548e-05j,+0+0j,+0+0j,+0+0j,+2.08194e-05-1.35203e-05j,+2.08164e-05-1.35005e-05j,+2.07978e-05-1.35372e-05j,+0+0j,+0+0j,+29083.3+9860.57j,+232274-31327.2j,-0+0j,+29086.6+9840.6j,+8070.86+0.870352j,-0+0j,+232104-31581.2j,+42910.7+21479.4j,+189026-53317.1j,-0+0j,+188947-53445.3j,+0+0j,+75093+53650.4j,+76736.2-132078j,+34539.2-132161j,+34479.7-132219j,+34411.8-132291j,+455449+32853.7j,+455312+32097.3j,+13830.1+3.71311j,+441378+31615.7j,+13830.7+1.67654j,+33709.4+9827.77j,+407031+19990.8j,+12691.6+1.6567j,+1.11801e-05+1.22727e-05j,-0+0j,+251251-176718j,+38705.3+132967j,+0+0j,+0+0j,+0+0j,-0+0j,+250739-177485j,+0+0j,+0+0j,+60222.4-218279j,+104793-34438.6j,+32462-218719j,+3.085e-09+1.37444e-08j,+32409.1-218824j,+428.924-219259j,+238.119-219696j,-0+0j,+120.054-219941j,+0+0j,+98460.9-34947j,-0+0j,+65207.2-35242.8j,+42709.5-35408.5j,+22441.8+49.7834j,-0+0j,+22440.7+27.411j,-0+0j,+22443.5+6.28651j,+13141.4+1.40999j,+25109.7+1.21495j,+25107.9+1.00626j,+8.39366e-06+2.69188e-06j,+8.39397e-06+2.68169e-06j,-0+0j,+13459.6+132879j,+0+0j,+0+0j,+47223.7+34.1523j,-33802.7+132819j,+24043.4+13.6161j,-0+0j,-33909.9+132785j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+278040-11381.6j,+795763+59700.7j,+455658+34347.4j,+290093-42789.1j,+13522+132923j
2016-01-01 01:00:00 PST,+9580.64+0.650646j,+0+0j,+655689-418868j,+0+0j,+0+0j,+0+0j,+655872-422270j,+5300.25+0.253866j,+0+0j,+650681-424533j,+0+0j,+0+0j,+279089-157346j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44272+22153.3j,+0+0j,+44258.1+22155j,+4.73312e-06-8.78972e-07j,+0+0j,+4.75536e-06-8.19072e-07j,+0+0j,+4.75869e-06-8.12192e-07j,+0+0j,+0+0j,+0+0j,+4.76047e-06-7.8267e-07j,+4.73655e-06-8.01137e-07j,+4.74915e-06-7.71192e-07j,+0+0j,+0+0j,+16901.1-21382.4j,+202132-169141j,+0+0j,+16897.9-21407.6j,+7040.63+0.641162j,+0+0j,+201965-169433j,+44362.3+22205.9j,+157435-191933j,+0+0j,+157349-192142j,+0+0j,+77869.2+55634.5j,+54318.4-210198j,+15736.3-210407j,+15605.8-210603j,+15460.2-210814j,+371556-272317j,+371557-273249j,+12259.9+2.88181j,+359283-273827j,+12260.6+1.27477j,+21024.8-21502.4j,+337559-254283j,+11181.2+1.2353j,-5.09426e-06+1.59797e-05j,+0+0j,+209089-418640j,+54595.2+213075j,+0+0j,+0+0j,+0+0j,+0+0j,+207975-420113j,+0+0j,+0+0j,+55878.2-231646j,+75283.5-100973j,+30143.2-232114j,-6.73901e-09-9.36218e-09j,+30087.8-232227j,+458.089-232699j,+251.906-233174j,+0+0j,+126.788-233438j,+0+0j,+69583.5-101530j,+0+0j,+38657-101867j,+18814-102065j,+19679.8+47.2469j,+0+0j,+19679.5+25.3105j,+0+0j,+19682.5+4.53452j,+11581+1.02472j,+24038.7+0.081276j,+24037.1+0.209387j,+7.53631e-06-7.11566e-06j,+7.5428e-06-7.10466e-06j,+0+0j,+30183.5+212693j,+0+0j,+0+0j,+44238.1+28.4928j,-14198.7+212484j,+22491.2+11.3395j,+0+0j,-14418.4+212276j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+234430-180987j,+665033-414521j,+371497-270428j,+264090-204365j,+30355.5+212886j
2016-01-01 02:00:00 PST,+9240.6+0.605264j,+0+0j,+648447-419425j,+0+0j,+0+0j,+0+0j,+648626-422789j,+5000.22+0.225927j,+0+0j,+643734-425027j,+0+0j,+0+0j,+276332-157658j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44277.5+22156.4j,+0+0j,+44264+22158j,+9.87812e-06-1.87375e-06j,+0+0j,+9.87931e-06-1.82839e-06j,+0+0j,+9.88429e-06-1.80913e-06j,+0+0j,+0+0j,+0+0j,+9.92306e-06-1.76855e-06j,+9.90473e-06-1.77091e-06j,+9.87158e-06-1.81152e-06j,+0+0j,+0+0j,+16595.9-21382.6j,+200039-169221j,+0+0j,+16592.7-21407.6j,+6730.58+0.585842j,+0+0j,+199873-169509j,+44369.1+22209.3j,+155338-192009j,+0+0j,+155253-192215j,+0+0j,+77882+55643.6j,+52200-210280j,+14683.4-210488j,+14552.5-210683j,+14406.9-210894j,+367361-272442j,+367360-273362j,+11919.9+2.7327j,+355426-273934j,+11920.5+1.20494j,+20649.7-21502j,+334085-254371j,+10801.1+1.1526j,-5.41766e-06+1.71485e-05j,+0+0j,+205985-418760j,+54206.5+213152j,+0+0j,+0+0j,+0+0j,+0+0j,+204876-420226j,+0+0j,+0+0j,+54470.2-231723j,+73559.4-101013j,+29455.9-232191j,+2.00956e-09+6.98998e-09j,+29400.4-232304j,+460.314-232776j,+252.514-233252j,+0+0j,+127.073-233516j,+0+0j,+68161.6-101561j,+0+0j,+37916-101894j,+18833.6-102089j,+18919.5+45.0687j,+0+0j,+18919.3+24.0633j,+0+0j,+18922.3+4.19904j,+11190.9+0.956455j,+23678.6-0.137434j,+23676.9+0.0575482j,+8.47047e-06+2.3385e-06j,+8.48618e-06+2.38756e-06j,+0+0j,+30155.4+212769j,+0+0j,+0+0j,+43156.7+27.0998j,-13146.2+212561j,+21930.6+10.7787j,+0+0j,-13365.3+212353j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+231675-181285j,+657454-415130j,+367306-270575j,+260593-204424j,+30327.1+212962j
2016-01-01 03:00:00 PST,+9050.57+0.580621j,+0+0j,+646093-419615j,+0+0j,+0+0j,+0+0j,+646268-422961j,+4950.22+0.221432j,+0+0j,+641423-425187j,+0+0j,+0+0j,+275470-157768j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44277.2+22156.3j,+0+0j,+44263.7+22157.9j,+2.89701e-07+3.25706e-06j,+0+0j,+3.38652e-07+3.30351e-06j,+0+0j,+3.21251e-07+3.29257e-06j,+0+0j,+0+0j,+0+0j,+3.39381e-07+3.27648e-06j,+3.3964e-07+3.30443e-06j,+3.12032e-07+3.27191e-06j,+0+0j,+0+0j,+16487.7-21381.9j,+199429-169237j,+0+0j,+16484.5-21406.8j,+6620.56+0.566845j,+0+0j,+199264-169524j,+44368.9+22209.2j,+154729-192022j,+0+0j,+154644-192228j,+0+0j,+77881.7+55643.5j,+51588.3-210294j,+14437-210501j,+14306.1-210696j,+14160.4-210907j,+365909-272465j,+365908-273380j,+11629.9+2.609j,+354264-273948j,+11630.5+1.14704j,+20421.6-21501j,+333153-254379j,+10571.1+1.10404j,+5.05172e-06-4.2082e-06j,+0+0j,+204920-418771j,+54331.7+213163j,+0+0j,+0+0j,+0+0j,+0+0j,+203813-420234j,+0+0j,+0+0j,+54140.7-231728j,+72815.1-101022j,+29186.5-232195j,+3.3011e-08-2.60631e-09j,+29131-232308j,+460.915-232780j,+252.735-233255j,+0+0j,+127.163-233519j,+0+0j,+67468.3-101566j,+0+0j,+37563.3-101898j,+18841.1-102090j,+18559.3+44.0461j,+0+0j,+18559.2+23.4803j,+0+0j,+18562.3+4.03595j,+10950.9+0.915799j,+23678.6-0.138063j,+23676.9+0.0568249j,+4.42073e-06-3.97621e-06j,+4.4326e-06-3.94869e-06j,+0+0j,+30281+212781j,+0+0j,+0+0j,+43036.6+26.9502j,-12900.5+212573j,+21870.6+10.7197j,+0+0j,-13119.3+212364j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+230814-181389j,+654913-415345j,+365856-270608j,+259652-204427j,+30452.5+212973j
2016-01-01 04:00:00 PST,+8890.55+0.560332j,+0+0j,+659182-418346j,+0+0j,+0+0j,+0+0j,+659348-421743j,+4950.22+0.221489j,+0+0j,+654497-424003j,+0+0j,+0+0j,+280783-157063j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44253.3+22143.7j,+0+0j,+44239.2+22145.6j,-8.78251e-06+1.66991e-05j,+0+0j,-8.8119e-06+1.67306e-05j,+0+0j,-8.81643e-06+1.67292e-05j,+0+0j,+0+0j,+0+0j,-8.81716e-06+1.67165e-05j,-8.81747e-06+1.67001e-05j,-8.88163e-06+1.66613e-05j,+0+0j,+0+0j,+16409.7-21377.8j,+203921-169089j,+0+0j,+16406.5-21402.7j,+6550.55+0.555254j,+0+0j,+203750-169383j,+44339.6+22194.6j,+159240-191875j,+0+0j,+159152-192084j,+0+0j,+77826.6+55604.1j,+56168.1-210122j,+17330.2-210331j,+17199.6-210525j,+17053.4-210736j,+373653-272072j,+373650-273004j,+11349.8+2.49355j,+362285-273583j,+11350.5+1.09295j,+20212.7-21498.2j,+341362-254056j,+10371+1.06322j,-5.10532e-06-4.84629e-06j,+0+0j,+210021-418414j,+57459.8+213009j,+0+0j,+0+0j,+0+0j,+0+0j,+208907-419882j,+0+0j,+0+0j,+57912.7-231474j,+74212.5-100940j,+30964.7-231942j,+2.44573e-08-1.08211e-08j,+30909.1-232054j,+458.148-232523j,+252.412-232996j,+0+0j,+126.981-233259j,+0+0j,+68865-101490j,+0+0j,+37249.7-101826j,+18807.5-102016j,+18279.5+43.2479j,+0+0j,+18279.2+23.0687j,+0+0j,+18282.2+3.91188j,+10740.9+0.881949j,+25709.7+1.17873j,+25707.9+0.961753j,+1.60372e-05-7.26881e-06j,+1.60354e-05-7.25629e-06j,+0+0j,+31377.3+212622j,+0+0j,+0+0j,+47021.7+32.167j,-15786.9+212409j,+23862.6+12.7739j,+0+0j,-16007.9+212200j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+236127-180694j,+667848-414017j,+373598-270178j,+267893-204191j,+31549.5+212816j
2016-01-01 05:00:00 PST,+9740.66+0.67278j,+0+0j,+703267-414297j,+0+0j,+0+0j,+0+0j,+703430-417912j,+5300.25+0.254058j,+0+0j,+698226-420317j,+0+0j,+0+0j,+298107-154824j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44199.7+22115.2j,+0+0j,+44183.9+22117.9j,+1.66781e-05-1.58621e-05j,+0+0j,+1.66942e-05-1.58468e-05j,+0+0j,+1.67265e-05-1.57823e-05j,+0+0j,+0+0j,+0+0j,+1.67735e-05-1.58141e-05j,+1.67885e-05-1.57762e-05j,+1.67966e-05-1.57295e-05j,+0+0j,+0+0j,+16943-21371.2j,+217888-168634j,+0+0j,+16939.8-21396.6j,+7110.65+0.655188j,+0+0j,+217703-168954j,+44272.7+22161.1j,+173246-191438j,+0+0j,+173150-191663j,+0+0j,+77699.8+55513.6j,+70346.5-209632j,+25283.1-209848j,+25153.8-210042j,+25006.7-210257j,+400033-270974j,+400029-271974j,+12539.9+3.01203j,+387470-272595j,+12540.6+1.33542j,+21193.8-21494.8j,+365506-253201j,+11381.3+1.28204j,+6.83505e-06+4.5887e-07j,+0+0j,+227873-417472j,+63824.3+212573j,+0+0j,+0+0j,+0+0j,+0+0j,+226727-418973j,+0+0j,+0+0j,+68353.8-230840j,+81813.3-100682j,+36445.8-231314j,+3.20748e-08+1.43e-08j,+36390.2-231426j,+447.472-231891j,+249.951-232359j,+0+0j,+125.83-232622j,+0+0j,+76106.8-101271j,+0+0j,+38817-101629j,+18693.3-101824j,+19960.6+48.084j,+0+0j,+19959.8+25.937j,+0+0j,+19962.6+4.68926j,+11791.1+1.06601j,+30552.7+5.18633j,+30550.4+3.70636j,+5.84682e-07-4.79409e-07j,+5.73099e-07-4.81115e-07j,+0+0j,+32896+212176j,+0+0j,+0+0j,+56485.9+46.4609j,-23726.3+211950j,+28618.2+18.4153j,+0+0j,-23953.1+211742j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+253443-178525j,+712784-409689j,+399963-268941j,+292149-203575j,+33070.4+212374j
2016-01-01 06:00:00 PST,+12081+1.03531j,+0+0j,+778734-407496j,+0+0j,+0+0j,+0+0j,+778892-411518j,+6800.41+0.418584j,+0+0j,+772178-414195j,+0+0j,+0+0j,+327225-151183j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44117.6+22071.1j,+0+0j,+44098.9+22075.3j,+2.47177e-05-1.39424e-05j,+0+0j,+2.47158e-05-1.39324e-05j,+0+0j,+2.47254e-05-1.38923e-05j,+0+0j,+0+0j,+0+0j,+2.47284e-05-1.38834e-05j,+2.47294e-05-1.38902e-05j,+2.4703e-05-1.38974e-05j,+0+0j,+0+0j,+18728.5-21360.9j,+240883-167787j,+0+0j,+18725.4-21387.8j,+8941.02+1.0382j,+0+0j,+240677-168154j,+44170.8+22110.1j,+196301-190634j,+0+0j,+196192-190887j,+0+0j,+77507.2+55376j,+93666.8-208753j,+37907.4-208985j,+37780.5-209180j,+37632.8-209401j,+444825-269132j,+444819-270256j,+15360.3+4.43396j,+429434-270955j,+15360.9+2.00657j,+23846.4-21489.4j,+404704-251792j,+14081.9+1.96658j,+1.27289e-05-8.90731e-06j,+0+0j,+258509-415891j,+72483.8+211790j,+0+0j,+0+0j,+0+0j,+0+0j,+257296-417460j,+0+0j,+0+0j,+84440.2-229825j,+96650.9-100219j,+44786.2-230311j,-3.11166e-08-2.14484e-09j,+44730.8-230422j,+427.004-230883j,+244.58-231343j,+0+0j,+123.32-231607j,+0+0j,+89420.9-100893j,+0+0j,+43549.4-101297j,+18500.6-101510j,+24883.9+63.0732j,+0+0j,+24881.5+34.8278j,+0+0j,+24884.1+7.2962j,+14581.6+1.63841j,+38228.1+14.0554j,+38225.2+9.75261j,+5.4615e-06-2.28622e-06j,+5.45306e-06-2.27884e-06j,+0+0j,+33874.9+211377j,+0+0j,+0+0j,+70080.8+71.7843j,-36332.4+211131j,+35518.1+28.4684j,+0+0j,-36569.2+210925j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+282538-175025j,+790610-402354j,+444728-266845j,+331518-202575j,+34053.2+211578j
2016-01-01 07:00:00 PST,+14941.6+1.5839j,+0+0j,+823651-403824j,+0+0j,+0+0j,+0+0j,+823836-408114j,+8900.71+0.717291j,+0+0j,+815034-410968j,+0+0j,+0+0j,+344030-149240j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44088.3+22054.9j,+0+0j,+44067.9+22059.9j,+2.47003e-05-1.06306e-05j,+0+0j,+2.4709e-05-1.05845e-05j,+0+0j,+2.47263e-05-1.05627e-05j,+0+0j,+0+0j,+0+0j,+2.47142e-05-1.059e-05j,+2.46935e-05-1.0586e-05j,+2.46986e-05-1.06021e-05j,+0+0j,+0+0j,+21084.5-21357.4j,+253244-167249j,+0+0j,+21081.4-21386.5j,+11321.6+1.66612j,+0+0j,+253032-167642j,+44135+22092.2j,+208686-190133j,+0+0j,+208573-190403j,+0+0j,+77439.4+55327.6j,+106160-208232j,+43475-208474j,+43351.5-208669j,+43206-208895j,+470898-268239j,+470901-269438j,+18580.8+6.38724j,+452294-270184j,+18581.3+2.93767j,+27082.9-21487.8j,+424265-251139j,+17342.9+2.98535j,+5.07162e-06-1.64706e-05j,+0+0j,+278159-415045j,+72469.1+211292j,+0+0j,+0+0j,+0+0j,+0+0j,+276894-416673j,+0+0j,+0+0j,+91945.4-229364j,+108909-99914.5j,+48706.3-229858j,-1.00964e-09+4.6207e-09j,+48651.8-229969j,+411.036-230428j,+239.421-230887j,+0+0j,+120.928-231152j,+0+0j,+99552.5-100666j,+0+0j,+49608.4-101109j,+18391.7-101352j,+31048.5+83.6342j,+0+0j,+31044.3+47.1323j,+0+0j,+31046.3+11.3173j,+17942.5+2.48732j,+39238.7+15.4895j,+39235.8+10.7414j,+4.49284e-06+7.0645e-06j,+4.48385e-06+7.05332e-06j,+0+0j,+32851+210884j,+0+0j,+0+0j,+74640.7+81.7338j,-41910.4+210633j,+37942.1+32.5326j,+0+0j,-42150.3+210431j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+299329-173186j,+838378-398305j,+470774-265803j,+351190-202106j,+33029.2+211083j
2016-01-01 08:00:00 PST,+13521.3+1.29721j,+0+0j,+787630-407406j,+0+0j,+0+0j,+0+0j,+787777-411392j,+8400.63+0.639071j,+0+0j,+779452-414043j,+0+0j,+0+0j,+329749-151259j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44090+22057.1j,+0+0j,+44071.1+22061.4j,+8.00098e-07+1.1488e-05j,+0+0j,+8.0655e-07+1.15079e-05j,+0+0j,+8.1289e-07+1.15277e-05j,+0+0j,+0+0j,+0+0j,+7.74392e-07+1.15015e-05j,+7.67697e-07+1.14914e-05j,+7.56962e-07+1.14657e-05j,+0+0j,+0+0j,+20216.6-21350.6j,+242394-167619j,+0+0j,+20213.5-21378.9j,+10431.4+1.41417j,+0+0j,+242191-167984j,+44141.9+22095.6j,+197847-190449j,+0+0j,+197740-190700j,+0+0j,+77454.1+55338j,+95272.6-208543j,+38520.6-208771j,+38397.9-208962j,+38254.5-209180j,+449564-268823j,+449558-269934j,+16520.4+5.10034j,+433011-270625j,+16521+2.32315j,+25406.6-21474.9j,+406707-251446j,+15642.4+2.42914j,-3.42702e-06+1.9617e-06j,+0+0j,+261281-415315j,+71769.1+211513j,+0+0j,+0+0j,+0+0j,+0+0j,+260060-416899j,+0+0j,+0+0j,+83368.9-229526j,+100507-100044j,+43870.5-230009j,+8.28483e-09-6.21318e-09j,+43816.3-230120j,+418.762-230578j,+240.935-231037j,+0+0j,+121.549-231301j,+0+0j,+91668.2-100746j,+0+0j,+46943.3-101160j,+18491.2-101392j,+28285.5+74.3872j,+0+0j,+28282.6+41.4418j,+0+0j,+28285.2+9.33946j,+16172+2.01839j,+40550.3+17.406j,+40546.7+11.9973j,-7.23875e-06-2.02397e-06j,-7.26879e-06-2.06403e-06j,+0+0j,+30843.5+211105j,+0+0j,+0+0j,+67706.4+67.2823j,-36985.4+210870j,+34446.5+26.8059j,+0+0j,-37217.7+210672j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+285093-175093j,+800985-402297j,+449471-266564j,+333575-202248j,+31020+211301j
2016-01-01 09:00:00 PST,+10800.8+0.827627j,+0+0j,+727528-412671j,+0+0j,+0+0j,+0+0j,+727655-416245j,+6800.41+0.418698j,+0+0j,+720923-418623j,+0+0j,+0+0j,+306889-154107j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44121.3+22074.9j,+0+0j,+44104.6+22078.2j,+8.62069e-06+1.15108e-06j,+0+0j,+8.65441e-06+1.20538e-06j,+0+0j,+8.62784e-06+1.17412e-06j,+0+0j,+0+0j,+0+0j,+8.6579e-06+1.19052e-06j,+8.62455e-06+1.17334e-06j,+8.61824e-06+1.15047e-06j,+0+0j,+0+0j,+18205-21347.9j,+224928-168262j,+0+0j,+18201.8-21374.4j,+8380.9+0.911978j,+0+0j,+224739-168587j,+44182.9+22116.2j,+180367-191031j,+0+0j,+180270-191258j,+0+0j,+77532.7+55394.2j,+77653-209152j,+29706.2-209364j,+29583.5-209551j,+29442.2-209761j,+413895-269921j,+413885-270911j,+13120+3.28869j,+400742-271526j,+13120.7+1.46481j,+22288.1-21465.3j,+377640-252148j,+12481.5+1.54567j,+1.00157e-05+4.55674e-06j,+0+0j,+235899-416108j,+68007.3+212025j,+0+0j,+0+0j,+0+0j,+0+0j,+234738-417628j,+0+0j,+0+0j,+71702.7-230020j,+86579.8-100340j,+37465.2-230492j,+1.13414e-09-1.68339e-08j,+37410.9-230602j,+434.106-231061j,+244.969-231524j,+0+0j,+123.349-231785j,+0+0j,+79366-100960j,+0+0j,+41463.2-101332j,+18657.4-101540j,+22641.4+56.4491j,+0+0j,+22640.3+30.7489j,+0+0j,+22643.3+5.95951j,+12901.3+1.28087j,+36817.5+12.2542j,+36814.2+8.48271j,-3.4918e-06+4.15225e-06j,-3.49566e-06+4.14925e-06j,+0+0j,+30823.3+211625j,+0+0j,+0+0j,+58900.2+50.8231j,-28203.1+211404j,+29950+20.2333j,+0+0j,-28425.4+211207j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+262272-177791j,+738170-408118j,+413831-267909j,+304375-202679j,+30994.8+211819j
2016-01-01 10:00:00 PST,+10490.8+0.780679j,+0+0j,+703022-414977j,+0+0j,+0+0j,+0+0j,+703162-418433j,+6550.38+0.388343j,+0+0j,+696689-420732j,+0+0j,+0+0j,+297259-155374j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44154.4+22092.6j,+0+0j,+44138.7+22095.3j,-2.23556e-07-4.17227e-06j,+0+0j,-1.95608e-07-4.14852e-06j,+0+0j,-2.18404e-07-4.11889e-06j,+0+0j,+0+0j,+0+0j,-2.25609e-07-4.15339e-06j,-2.03395e-07-4.13756e-06j,-2.71568e-07-4.17389e-06j,+0+0j,+0+0j,+17951.1-21351.9j,+217140-168527j,+0+0j,+17948-21378.1j,+8110.84+0.853416j,+0+0j,+216960-168837j,+44223.8+22136.6j,+172556-191287j,+0+0j,+172463-191504j,+0+0j,+77609.9+55449.3j,+69737.4-209440j,+24989.6-209648j,+24866.6-209835j,+24726.2-210043j,+399322-270574j,+399315-271526j,+12790+3.13178j,+386505-272118j,+12790.6+1.39121j,+21955.7-21467.3j,+363776-252663j,+12131.4+1.45906j,-3.56702e-05+2.31031e-05j,+0+0j,+225979-416668j,+64032+212278j,+0+0j,+0+0j,+0+0j,+0+0j,+224837-418170j,+0+0j,+0+0j,+65710.9-230403j,+82538.1-100489j,+34369.8-230871j,+7.1337e-09+1.10708e-08j,+34315.5-230982j,+440-231444j,+246.178-231910j,+0+0j,+123.934-232172j,+0+0j,+75579.3-101087j,+0+0j,+40848.9-101446j,+18723.9-101653j,+21960.8+54.3791j,+0+0j,+21960+29.4763j,+0+0j,+21963.1+5.60238j,+12541.2+1.20826j,+33925.4+8.76485j,+33922.3+6.10536j,+1.73982e-06-3.37155e-06j,+1.73388e-06-3.38071e-06j,+0+0j,+29741.7+211886j,+0+0j,+0+0j,+53110.8+41.3282j,-23499+211673j,+27056.3+16.489j,+0+0j,-23717.2+211476j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+252648-179021j,+713341-410573j,+399262-268639j,+290456-203052j,+29912+212078j
