# file...... Overhead_lines_power_in_B.csv
# date...... Fri Oct 27 14:51:42 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-03-04 00:00:00 PST,+10080.7+0.723329j,-0+0j,+764679+53846.6j,+0+0j,+0+0j,+0+0j,+764449+50627.3j,+5600.28+0.28759j,-0+0j,+758682+48477j,+0+0j,-0+0j,+314039+11357.1j,+0+0j,+0+0j,+0+0j,+0+0j,-0+0j,+43123.4+21603.6j,+0+0j,+43131.3+21591j,-2.33831e-06+4.58956e-06j,-0+0j,-2.36423e-06+4.61489e-06j,+0+0j,-2.34671e-06+4.64097e-06j,+0+0j,+0+0j,+0+0j,-2.33046e-06+4.66142e-06j,-2.30658e-06+4.69847e-06j,-2.29814e-06+4.72682e-06j,+0+0j,+0+0j,+28432.9+9870.88j,+226490-31477.5j,-0+0j,+28436.3+9851.8j,+7420.73+0.735454j,-0+0j,+226326-31719.3j,+42929.9+21489j,+183233-53452.3j,-0+0j,+183158-53572.7j,+0+0j,+75129.3+53676.4j,+70920.8-132248j,+31542.5-132327j,+31483.4-132384j,+31416.3-132454j,+443849+32553.9j,+443718+31833.6j,+12880+3.24214j,+430740+31375.6j,+12880.6+1.45375j,+32777.4+9839.55j,+397364+19811.8j,+11761.4+1.4222j,+2.56974e-06+2.30694e-06j,-0+0j,+242934-176941j,+37406.4+133115j,+0+0j,+0+0j,+0+0j,-0+0j,+242443-177680j,+0+0j,+0+0j,+56355.2-218489j,+100401-34498.6j,+30427.6-218927j,+2.02841e-09-1.32647e-08j,+30374.6-219032j,+434.256-219467j,+239.58-219906j,-0+0j,+120.722-220151j,+0+0j,+94629-34978.7j,-0+0j,+63490.4-35259.5j,+42715.4-35417.3j,+20720.8+45.0194j,-0+0j,+20720.1+24.5758j,-0+0j,+20723+5.36272j,+12181.2+1.21004j,+23859+0.352976j,+23857.3+0.410294j,+3.36508e-06-4.66495e-06j,+3.35337e-06-4.66591e-06j,-0+0j,+13411.8+133028j,+0+0j,+0+0j,+44189.5+29.8764j,-30817.6+132971j,+22491.8+11.9066j,-0+0j,-30921.3+132937j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+270537-12165.7j,+775182+57912.6j,+444052+33976.7j,+280462-42914j,+13473.7+133072j
2016-03-04 01:00:00 PST,+8800.54+0.548973j,+0+0j,+639327-420182j,+0+0j,+0+0j,+0+0j,+639500-423498j,+4800.21+0.208201j,+0+0j,+634805-425704j,+0+0j,+0+0j,+272883-158084j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44284+22160j,+0+0j,+44270.8+22161.4j,-2.19298e-06+7.95082e-06j,+0+0j,-2.16925e-06+8.01086e-06j,+0+0j,-2.1748e-06+7.99106e-06j,+0+0j,+0+0j,+0+0j,-2.15887e-06+8.05016e-06j,-2.18162e-06+8.01917e-06j,-2.19679e-06+7.99772e-06j,+0+0j,+0+0j,+16300.9-21383j,+197420-169303j,+0+0j,+16297.7-21407.8j,+6430.53+0.534673j,+0+0j,+197256-169587j,+44377.4+22213.5j,+152715-192086j,+0+0j,+152631-192289j,+0+0j,+77898+55655j,+49552-210364j,+13326.1-210571j,+13194.8-210766j,+13049-210976j,+361878-272620j,+361877-273526j,+11319.8+2.47943j,+350543-274089j,+11320.5+1.08657j,+20135.1-21501.9j,+329726-254503j,+10281+1.04409j,+1.93401e-05+5.02556e-06j,+0+0j,+202108-418915j,+53702.6+213231j,+0+0j,+0+0j,+0+0j,+0+0j,+201006-420373j,+0+0j,+0+0j,+52772-231818j,+71348-101065j,+28428.7-232285j,-7.41694e-10-9.13636e-09j,+28373.1-232398j,+462.887-232870j,+253.308-233346j,+0+0j,+127.429-233610j,+0+0j,+66152.9-101602j,+0+0j,+37058.7-101929j,+18856.8-102120j,+18039.1+42.5679j,+0+0j,+18039.1+22.6332j,+0+0j,+18042.1+3.81233j,+10650.9+0.865911j,+23068.3-0.494252j,+23066.6-0.188019j,+1.50836e-05-2.09516e-06j,+1.50649e-05-2.12197e-06j,+0+0j,+30262.2+212849j,+0+0j,+0+0j,+41905.2+25.5482j,-11788.8+212641j,+21300+10.1645j,+0+0j,-12007.2+212432j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+228226-181694j,+647900-415952j,+361827-270781j,+256207-204519j,+30433.6+213041j
2016-03-04 02:00:00 PST,+8300.48+0.488345j,+0+0j,+631001-420813j,+0+0j,+0+0j,+0+0j,+631167-424079j,+4500.18+0.182982j,+0+0j,+626767-426253j,+0+0j,+0+0j,+269757-158441j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44287.8+22162.2j,+0+0j,+44274.9+22163.4j,+4.67912e-06+3.00602e-06j,+0+0j,+4.65476e-06+3.02042e-06j,+0+0j,+4.65632e-06+3.00964e-06j,+0+0j,+0+0j,+0+0j,+4.68551e-06+3.0351e-06j,+4.67939e-06+3.07214e-06j,+4.69577e-06+3.05118e-06j,+0+0j,+0+0j,+15926.5-21382.4j,+195094-169385j,+0+0j,+15923.2-21406.9j,+6050.47+0.473282j,+0+0j,+194931-169663j,+44382.3+22216j,+150386-192160j,+0+0j,+150302-192361j,+0+0j,+77907.3+55661.7j,+47204.1-210443j,+12258.9-210648j,+12127.1-210843j,+11981.3-211052j,+356959-272738j,+356956-273630j,+10699.8+2.23081j,+346242-274184j,+10700.4+0.970757j,+19560.9-21500.6j,+326006-254577j,+9700.92+0.929508j,-1.27518e-05+1.09339e-05j,+0+0j,+198510-419019j,+53557.9+213304j,+0+0j,+0+0j,+0+0j,+0+0j,+197415-420469j,+0+0j,+0+0j,+51334.4-231882j,+69156.6-101106j,+27621.7-232348j,-9.52279e-10+8.77636e-09j,+27565.9-232461j,+465.353-232934j,+254.065-233410j,+0+0j,+127.768-233673j,+0+0j,+64264.2-101632j,+0+0j,+36041.2-101954j,+18880-102140j,+16998.8+39.6766j,+0+0j,+16999+20.997j,+0+0j,+17001.9+3.38623j,+10050.8+0.770776j,+22758.1-0.668385j,+22756.5-0.308965j,-1.8362e-06+8.24124e-06j,-1.87559e-06+8.22048e-06j,+0+0j,+30428.5+212922j,+0+0j,+0+0j,+41004.1+24.4454j,-10722+212715j,+20829.6+9.71864j,+0+0j,-10939.8+212505j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+225101-182033j,+639080-416650j,+356913-270927j,+252459-204566j,+30599.4+213115j
2016-03-04 03:00:00 PST,+8270.48+0.484852j,+0+0j,+639748-419969j,+0+0j,+0+0j,+0+0j,+639910-423270j,+4450.18+0.178965j,+0+0j,+635558-425468j,+0+0j,+0+0j,+273281-157967j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44273.5+22154.6j,+0+0j,+44260.2+22156.1j,-5.61511e-06+5.8258e-06j,+0+0j,-5.62032e-06+5.88341e-06j,+0+0j,-5.6054e-06+5.88237e-06j,+0+0j,+0+0j,+0+0j,-5.63193e-06+5.8965e-06j,-5.62585e-06+5.8766e-06j,-5.64828e-06+5.84408e-06j,+0+0j,+0+0j,+15881.4-21380.1j,+198040-169297j,+0+0j,+15878.1-21404.6j,+6010.46+0.467214j,+0+0j,+197873-169580j,+44364.6+22207.1j,+153343-192073j,+0+0j,+153257-192276j,+0+0j,+77873.7+55637.8j,+50203.5-210341j,+14097.3-210547j,+13965.8-210742j,+13819.7-210952j,+362217-272485j,+362213-273389j,+10689.8+2.22763j,+351508-273950j,+10690.4+0.969198j,+19525.2-21498.9j,+331296-254369j,+9670.91+0.924071j,-9.69054e-06+1.75805e-05j,+0+0j,+201967-418794j,+55405.2+213212j,+0+0j,+0+0j,+0+0j,+0+0j,+200867-420248j,+0+0j,+0+0j,+53735.5-231725j,+70255.7-101052j,+28850.5-232192j,+2.38943e-09+5.83571e-09j,+28794.7-232305j,+463.497-232776j,+253.761-233250j,+0+0j,+127.615-233513j,+0+0j,+65412.6-101583j,+0+0j,+35939.2-101908j,+18857.9-102094j,+16918.9+39.4605j,+0+0j,+16919+20.9009j,+0+0j,+16921.9+3.35935j,+10020.8+0.766702j,+24008.8+0.0585527j,+24007+0.191191j,+6.65709e-06+4.87422e-07j,+6.65816e-06+4.84855e-07j,+0+0j,+31024.8+212828j,+0+0j,+0+0j,+43437.1+27.4236j,-12557.2+212618j,+22040.7+10.8882j,+0+0j,-12776.2+212408j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+228627-181567j,+647798-415764j,+362169-270651j,+257771-204412j,+31196+213021j
2016-03-04 04:00:00 PST,+8140.46+0.469819j,+0+0j,+664423-417613j,+0+0j,+0+0j,+0+0j,+664571-421013j,+4500.18+0.183093j,+0+0j,+660159-423276j,+0+0j,+0+0j,+283207-156659j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44230.8+22132.1j,+0+0j,+44216.3+22134.1j,+4.51997e-07-4.63901e-06j,+0+0j,+4.73238e-07-4.59889e-06j,+0+0j,+4.7875e-07-4.60487e-06j,+0+0j,+0+0j,+0+0j,+5.07118e-07-4.588e-06j,+5.30607e-07-4.56871e-06j,+5.26826e-07-4.60829e-06j,+0+0j,+0+0j,+15836.2-21373.1j,+206345-169024j,+0+0j,+15832.9-21397.5j,+5980.46+0.463061j,+0+0j,+206170-169322j,+44312.3+22180.9j,+161682-191803j,+0+0j,+161592-192014j,+0+0j,+77775.2+55567.3j,+58668.2-210027j,+19364.1-210236j,+19233.3-210429j,+19086.2-210641j,+376862-271763j,+376854-272700j,+10419.8+2.12566j,+366417-273281j,+10420.4+0.921583j,+19338.4-21493.8j,+346355-253776j,+9500.88+0.892739j,-7.48453e-06+1.41627e-05j,+0+0j,+211643-418140j,+60827.7+212929j,+0+0j,+0+0j,+0+0j,+0+0j,+210529-419605j,+0+0j,+0+0j,+60528.4-231264j,+73264.8-100896j,+32136.5-231732j,-1.29314e-08+6.73868e-09j,+32080.6-231844j,+458.03-232311j,+252.934-232780j,+0+0j,+127.181-233042j,+0+0j,+68369.8-101441j,+0+0j,+35675.7-101775j,+18794.3-101958j,+16719.2+38.908j,+0+0j,+16719.1+20.656j,+0+0j,+16721.8+3.27757j,+9840.73+0.740864j,+27680.9+2.65808j,+27678.9+1.97452j,+2.53969e-07+5.13168e-06j,+2.67634e-07+5.14877e-06j,+0+0j,+32773.9+212537j,+0+0j,+0+0j,+50446.5+36.9902j,-17813.2+212318j,+25544.5+14.6509j,+0+0j,-18035.9+212108j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+238554-180283j,+672353-413293j,+376810-269861j,+272892-203977j,+32946.4+212733j
2016-03-04 05:00:00 PST,+8990.57+0.57325j,+0+0j,+712389-413196j,+0+0j,+0+0j,+0+0j,+712525-416817j,+4850.21+0.212833j,+0+0j,+707753-419227j,+0+0j,+0+0j,+302018-154247j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44165.5+22097.5j,+0+0j,+44149.1+22100.5j,+3.05294e-06+3.99008e-06j,+0+0j,+3.06002e-06+4.01951e-06j,+0+0j,+3.04975e-06+4.05712e-06j,+0+0j,+0+0j,+0+0j,+3.08325e-06+4.07715e-06j,+3.07643e-06+4.02622e-06j,+3.09524e-06+4.0988e-06j,+0+0j,+0+0j,+16367.6-21363.6j,+221611-168518j,+0+0j,+16364.4-21388.5j,+6540.55+0.554799j,+0+0j,+221420-168843j,+44231.3+22140.4j,+176997-191311j,+0+0j,+176898-191538j,+0+0j,+77622.1+55458.1j,+74184.8-209471j,+28204.5-209688j,+28075.4-209880j,+27927.8-210095j,+405605-270483j,+405594-271489j,+11609.9+2.60716j,+393963-272114j,+11610.5+1.14551j,+20317.6-21487.1j,+372851-252752j,+10511.1+1.09441j,+1.22019e-05-3.55073e-06j,+0+0j,+230648-417014j,+68394.4+212429j,+0+0j,+0+0j,+0+0j,+0+0j,+229499-418513j,+0+0j,+0+0j,+71789.3-230510j,+81217.8-100596j,+37996.4-230985j,+7.03899e-09+1.17296e-08j,+37940.5-231096j,+446.053-231558j,+250.05-232023j,+0+0j,+125.818-232285j,+0+0j,+75963.7-101182j,+0+0j,+37235-101540j,+18672.3-101727j,+18400.2+43.6447j,+0+0j,+18399.5+23.4484j,+0+0j,+18402.2+3.99343j,+10890.9+0.910588j,+33825+8.58316j,+33822.3+6.01737j,+8.88559e-06-4.36423e-06j,+8.89884e-06-4.38714e-06j,+0+0j,+34193.8+212024j,+0+0j,+0+0j,+60703+53.6537j,-26642.4+211790j,+30700.9+21.2223j,+0+0j,-26871.1+211583j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+257359-177941j,+721182-408597j,+405541-268437j,+299508-203226j,+34368.6+212224j
2016-03-04 06:00:00 PST,+10550.8+0.789535j,+0+0j,+735955-411362j,+0+0j,+0+0j,+0+0j,+736111-415109j,+5850.31+0.309697j,+0+0j,+730349-417603j,+0+0j,+0+0j,+310866-153241j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44151.4+22089.7j,+0+0j,+44134.3+22093.1j,+8.30756e-06-1.54598e-06j,+0+0j,+8.32699e-06-1.52808e-06j,+0+0j,+8.34802e-06-1.49519e-06j,+0+0j,+0+0j,+0+0j,+8.33572e-06-1.50795e-06j,+8.31281e-06-1.51145e-06j,+8.30012e-06-1.55088e-06j,+0+0j,+0+0j,+17574.9-21362.4j,+228116-168263j,+0+0j,+17571.8-21388.3j,+7760.77+0.781457j,+0+0j,+227922-168601j,+44213.5+22131.5j,+183515-191074j,+0+0j,+183413-191309j,+0+0j,+77588.3+55434j,+80757.4-209221j,+31005.4-209442j,+30878.5-209635j,+30732.3-209851j,+419372-270051j,+419366-271091j,+13490+3.4624j,+405855-271738j,+13490.7+1.54695j,+22105.3-21486.5j,+382928-252429j,+12311.5+1.50207j,+4.35555e-06+1.25559e-05j,+0+0j,+241029-416589j,+68143.4+212185j,+0+0j,+0+0j,+0+0j,+0+0j,+239856-418117j,+0+0j,+0+0j,+75720.6-230275j,+87730.3-100445j,+40135.7-230754j,-4.11278e-10+3.8391e-09j,+40080.3-230865j,+437.595-231327j,+247.212-231791j,+0+0j,+124.517-232054j,+0+0j,+81465.4-101067j,+0+0j,+40461.3-101444j,+18615.9-101645j,+21681.6+53.2771j,+0+0j,+21680.3+29.0047j,+0+0j,+21683.1+5.53585j,+12751.2+1.24997j,+34155.1+8.97223j,+34152.5+6.28966j,+1.44779e-05-6.11027e-06j,+1.44604e-05-6.12862e-06j,+0+0j,+33613.9+211782j,+0+0j,+0+0j,+62937+57.8041j,-29453.1+211548j,+31892.6+22.9181j,+0+0j,-29682.6+211343j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+266203-176985j,+746296-406586j,+419292-267934j,+309654-202989j,+33788.4+211981j
2016-03-04 07:00:00 PST,+12171+1.05089j,+0+0j,+761249-409474j,+0+0j,+0+0j,+0+0j,+761401-413316j,+6950.43+0.437324j,+0+0j,+754534-415873j,+0+0j,+0+0j,+320017-152310j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44117.8+22072.1j,+0+0j,+44100+22075.9j,+9.30103e-06+9.31002e-06j,+0+0j,+9.26311e-06+9.32034e-06j,+0+0j,+9.27085e-06+9.33039e-06j,+0+0j,+0+0j,+0+0j,+9.3143e-06+9.33381e-06j,+9.31962e-06+9.37638e-06j,+9.30196e-06+9.33413e-06j,+0+0j,+0+0j,+18863.2-21354.6j,+235054-167966j,+0+0j,+18860.1-21381.6j,+9061.05+1.06621j,+0+0j,+234855-168316j,+44174+22111.7j,+190483-190781j,+0+0j,+190380-191023j,+0+0j,+77514.1+55381j,+87820.9-208899j,+34537.4-209122j,+34413.5-209313j,+34269.8-209529j,+434392-269393j,+434386-270462j,+15390.3+4.45207j,+418971-271127j,+15390.9+2.01509j,+23954-21477.2j,+394160-251871j,+14172+1.99246j,-7.35919e-06+2.86285e-06j,+0+0j,+250595-415878j,+69862.7+211849j,+0+0j,+0+0j,+0+0j,+0+0j,+249400-417435j,+0+0j,+0+0j,+79007.5-229868j,+94085.9-100227j,+41892.2-230349j,-1.00084e-09+1.43913e-08j,+41837.5-230461j,+427.734-230922j,+243.555-231385j,+0+0j,+122.803-231648j,+0+0j,+86709.4-100889j,+0+0j,+43849.8-101285j,+18561.1-101502j,+25123.4+64.0858j,+0+0j,+25121.4+35.3248j,+0+0j,+25124.1+7.42435j,+14671.6+1.6583j,+37898.1+13.6528j,+37894.9+9.45192j,-5.79158e-07+5.82127e-07j,-5.85681e-07+5.66857e-07j,+0+0j,+31591.3+211445j,+0+0j,+0+0j,+64470.1+60.8521j,-33004.3+211213j,+32743.9+24.1933j,+0+0j,-33233.6+211013j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+275364-176094j,+773233-404559j,+434307-267219j,+320959-202544j,+31766.2+211641j
2016-03-04 08:00:00 PST,+10660.8+0.806303j,+0+0j,+727678-412526j,+0+0j,+0+0j,+0+0j,+727804-416105j,+6300.35+0.359383j,+0+0j,+721572-418486j,+0+0j,+0+0j,+307033-154027j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44121.2+22075j,+0+0j,+44104.6+22078.2j,-6.61574e-06+9.72105e-06j,+0+0j,-6.60913e-06+9.75586e-06j,+0+0j,-6.61296e-06+9.73916e-06j,+0+0j,+0+0j,+0+0j,-6.60017e-06+9.71228e-06j,-6.61713e-06+9.70102e-06j,-6.67387e-06+9.67249e-06j,+0+0j,+0+0j,+17875-21348.3j,+225211-168294j,+0+0j,+17871.8-21374.4j,+8050.83+0.841558j,+0+0j,+225021-168619j,+44181.6+22115.5j,+180649-191064j,+0+0j,+180550-191290j,+0+0j,+77529.9+55392.1j,+77936.9-209183j,+29884.6-209395j,+29761.6-209582j,+29620.1-209792j,+414396-269878j,+414385-270870j,+13300+3.37449j,+401061-271486j,+13300.7+1.50528j,+22187.8-21465.4j,+378058-252112j,+12381.5+1.521j,+6.27554e-06-4.43937e-06j,+0+0j,+235616-416116j,+68702.8+212061j,+0+0j,+0+0j,+0+0j,+0+0j,+234456-417636j,+0+0j,+0+0j,+71915.7-230020j,+86088.2-100346j,+37827.6-230493j,+7.73037e-09-1.14112e-08j,+37773-230604j,+435.033-231065j,+245.183-231528j,+0+0j,+123.477-231790j,+0+0j,+79375.2-100964j,+0+0j,+40942.4-101335j,+18656.9-101541j,+22121.3+54.8911j,+0+0j,+22120.2+29.8649j,+0+0j,+22123.2+5.72914j,+12811.2+1.26303j,+37538.1+13.1909j,+37534.6+9.11365j,+4.44614e-06-5.32176e-06j,+4.46055e-06-5.32393e-06j,+0+0j,+30797.4+211660j,+0+0j,+0+0j,+59050.4+51.049j,-28379.3+211438j,+30000+20.3018j,+0+0j,-28601.9+211240j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+262413-177714j,+738180-407969j,+414333-267860j,+304790-202648j,+30969.4+211854j
2016-03-04 09:00:00 PST,+9030.57+0.578488j,+0+0j,+683570-416363j,+0+0j,+0+0j,+0+0j,+683689-419683j,+5450.27+0.26887j,+0+0j,+678306-421892j,+0+0j,+0+0j,+290067-156153j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44153.7+22092.9j,+0+0j,+44138.7+22095.2j,+1.15629e-05-2.30986e-06j,+0+0j,+1.15545e-05-2.32275e-06j,+0+0j,+1.15331e-05-2.28833e-06j,+0+0j,+0+0j,+0+0j,+1.15773e-05-2.25165e-06j,+1.15838e-05-2.24703e-06j,+1.16033e-05-2.25464e-06j,+0+0j,+0+0j,+16732.6-21348.8j,+212010-168739j,+0+0j,+16729.4-21374j,+6880.61+0.614124j,+0+0j,+211831-169037j,+44223.5+22136.4j,+167428-191474j,+0+0j,+167337-191684j,+0+0j,+77609.8+55449.1j,+64591.5-209626j,+22940.7-209829j,+22817.2-210015j,+22676.9-210220j,+388108-270755j,+388096-271669j,+11169.8+2.42708j,+376906-272238j,+11170.5+1.06124j,+20307.6-21461.7j,+355843-252729j,+10471.1+1.08707j,+2.29649e-05-1.16498e-05j,+0+0j,+217205-416808j,+64832.2+212445j,+0+0j,+0+0j,+0+0j,+0+0j,+216082-418288j,+0+0j,+0+0j,+62727.9-230471j,+76695-100572j,+32808-230937j,-9.31184e-09-4.15605e-09j,+32753.3-231049j,+446.175-231511j,+248.048-231977j,+0+0j,+124.77-232238j,+0+0j,+70845-101140j,+0+0j,+37738.6-101484j,+18775.9-101677j,+18799.5+45.1133j,+0+0j,+18799.2+24.156j,+0+0j,+18802.3+4.11892j,+10830.9+0.900586j,+34175.7+9.04814j,+34172.5+6.28853j,+5.34674e-06+7.84728e-06j,+5.34246e-06+7.86127e-06j,+0+0j,+30294.1+212051j,+0+0j,+0+0j,+51618.5+38.9646j,-21454.8+211839j,+26235.3+15.5025j,+0+0j,-21670.8+211641j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+245467-179748j,+692443-412150j,+388062-268895j,+282471-203064j,+30463.1+212244j
2016-03-04 10:00:00 PST,+8780.54+0.546869j,+0+0j,+675012-417117j,+0+0j,+0+0j,+0+0j,+675132-420394j,+5300.25+0.254247j,+0+0j,+669899-422574j,+0+0j,+0+0j,+286775-156574j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44163.2+22098j,+0+0j,+44148.6+22100.2j,-6.0559e-06-4.37612e-07j,+0+0j,-6.06887e-06-4.52352e-07j,+0+0j,-6.08501e-06-4.55697e-07j,+0+0j,+0+0j,+0+0j,-6.04786e-06-4.09844e-07j,-6.05316e-06-4.25168e-07j,-6.07038e-06-4.22367e-07j,+0+0j,+0+0j,+16549-21349.4j,+209432-168824j,+0+0j,+16545.8-21374.4j,+6690.57+0.580523j,+0+0j,+209256-169117j,+44235.2+22142.3j,+164844-191555j,+0+0j,+164754-191762j,+0+0j,+77631.8+55464.9j,+61974.1-209718j,+21449.4-209919j,+21325.8-210105j,+21185.7-210310j,+382999-270948j,+382988-271850j,+10859.8+2.3019j,+372108-272410j,+10860.4+1.00298j,+20024.4-21461.6j,+351340-252877j,+10181+1.02744j,+8.14805e-06+2.91148e-06j,+0+0j,+213648-416977j,+63867.7+212527j,+0+0j,+0+0j,+0+0j,+0+0j,+212532-418450j,+0+0j,+0+0j,+60878.4-230585j,+74946.8-100622j,+31780-231051j,+1.81377e-08+5.01277e-09j,+31725.3-231162j,+448.383-231625j,+248.604-232091j,+0+0j,+125.028-232352j,+0+0j,+69248.8-101180j,+0+0j,+37243.4-101520j,+18801-101711j,+18279.3+43.6284j,+0+0j,+18279.1+23.2957j,+0+0j,+18282.2+3.89196j,+10530.8+0.850903j,+33365.1+8.13674j,+33362+5.66752j,+3.22066e-06+5.20976e-06j,+3.23988e-06+5.19514e-06j,+0+0j,+30140.8+212136j,+0+0j,+0+0j,+49976+36.526j,-19966.7+211925j,+25414.4+14.5416j,+0+0j,-20181.5+211727j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+242177-180155j,+683633-412960j,+382955-269116j,+277942-203171j,+30309.3+212327j
