# file...... underground_lines_power_in_A.csv
# date...... Fri Oct 27 14:51:42 2017
# user...... mast9
# host...... (null)
# group..... class= underground_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O60-62,O62-63,O63-64,O64-65,O65-66
2016-03-04 00:00:00 PST,+63891.5+47451.5i,+63834.3+47440.1i,+45454.5+47432.4i,+45400.5+47422.1i,-1.84994e-08-1.6447e-09i
2016-03-04 01:00:00 PST,+63999.5+48733.6i,+63941.8+48723.5i,+47771.6+48716.8i,+47713.5+48707.1i,-7.22353e-09+2.12562e-09i
2016-03-04 02:00:00 PST,+63139.4+48769.3i,+63082.6+48759.4i,+47793.1+48752.8i,+47735+48743.1i,-1.34007e-08-1.03129e-09i
2016-03-04 03:00:00 PST,+63107.2+48748.7i,+63050.5+48738.9i,+47771+48732.2i,+47712.9+48722.5i,+1.21854e-08+1.11987e-09i
2016-03-04 04:00:00 PST,+62644.5+48694.9i,+62588.3+48685.1i,+47709.2+48678.5i,+47651.2+48668.9i,-2.40477e-08-7.44397e-11i
2016-03-04 05:00:00 PST,+64234.2+48553.2i,+64176.2+48543i,+47585.8+48536.2i,+47528+48526.5i,+1.93243e-08+4.34254e-10i
2016-03-04 06:00:00 PST,+66836.9+48444i,+66775.9+48433.2i,+47523.3+48425.9i,+47465.7+48416.1i,-2.85628e-09-2.76242e-09i
2016-03-04 07:00:00 PST,+69450.8+48341.5i,+69386.6+48330i,+47451.8+48322.2i,+47394.3+48312.1i,+3.55034e-09+1.42521e-09i
2016-03-04 08:00:00 PST,+66524.3+48473.4i,+66463.7+48462.4i,+47531.5+48455i,+47473.9+48444.8i,-7.47558e-09-2.61607e-09i
2016-03-04 09:00:00 PST,+63587.4+48628.1i,+63530.3+48617.7i,+47640.5+48610.7i,+47582.8+48600.5i,+1.23312e-09-1.0748e-09i
2016-03-04 10:00:00 PST,+63168.6+48656.2i,+63112+48645.9i,+47662.5+48638.9i,+47604.8+48628.8i,+1.69167e-08+1.36154e-09i
2016-03-04 11:00:00 PST,+62751.3+48675.3i,+62695.1+48665.1i,+47675.9+48658.2i,+47618.2+48648.1i,+1.78583e-08+2.28592e-09i
2016-03-04 12:00:00 PST,+62721.4+48688.5i,+62665.3+48678.4i,+47686.1+48671.5i,+47628.3+48661.4i,-7.06926e-09+3.36623e-09i
2016-03-04 13:00:00 PST,+62691.2+48701.9i,+62635.1+48691.8i,+47696+48684.9i,+47638.2+48674.7i,+2.5015e-09-1.82003e-09i
2016-03-04 14:00:00 PST,+63067.2+48683.2i,+63010.6+48673i,+47681.2+48666i,+47623.5+48655.8i,+1.08814e-09+4.09359e-11i
2016-03-04 15:00:00 PST,+63827+48559.2i,+63769.6+48548.8i,+47569.6+48541.8i,+47512+48531.6i,-2.28287e-08+1.38469e-09i
2016-03-04 16:00:00 PST,+66758.5+48335i,+66697.5+48324.2i,+47405.1+48316.9i,+47347.6+48307.1i,+3.53791e-09-3.9951e-09i
2016-03-04 17:00:00 PST,+73169.2+48015.7i,+73100.1+48003.7i,+47201.9+47995.5i,+47144.6+47985.8i,+4.89693e-09-5.34479e-09i
2016-03-04 18:00:00 PST,+78309.8+47723.7i,+78233.5+47710.3i,+46990.3+47701.1i,+46933.4+47691.4i,-7.00446e-09-3.89748e-09i
2016-03-04 19:00:00 PST,+82689.9+47547.5i,+82607.1+47532.9i,+46889.4+47522.9i,+46832.6+47513.2i,-1.18233e-09+1.94413e-09i
2016-03-04 20:00:00 PST,+83659+47576.3i,+83574.7+47561.4i,+46936+47551.2i,+46879.1+47541.5i,+4.08872e-09+2.08396e-09i
2016-03-04 21:00:00 PST,+81162.9+47802.8i,+81082.5+47788.6i,+47126.5+47779i,+47069.4+47769.2i,-2.96814e-09+6.23257e-10i
2016-03-04 22:00:00 PST,+76063.6+48128i,+75990.6+48115.2i,+47369.7+48106.4i,+47312.2+48096.7i,-8.98903e-09-1.07088e-09i
2016-03-04 23:00:00 PST,+71359.4+48404.1i,+71292.7+48392.4i,+47566.2+48384.5i,+47508.5+48374.7i,+5.31631e-09-1.40667e-09i
2016-03-05 00:00:00 PST,+67048.8+48583i,+66987.5+48572.3i,+47674.8+48565.1i,+47616.9+48555.3i,+1.64552e-08+3.76072e-10i
2016-03-05 01:00:00 PST,+64888.6+48673.3i,+64829.9+48663.1i,+47729+48656.2i,+47671+48646.4i,-1.6059e-08+9.91231e-10i
2016-03-05 02:00:00 PST,+64433.9+48698.3i,+64375.7+48688.1i,+47745.2+48681.3i,+47687.1+48671.6i,+7.4503e-09+1.89121e-09i
2016-03-05 03:00:00 PST,+64409.3+48674.5i,+64351.1+48664.4i,+47720.6+48657.5i,+47662.6+48647.8i,+6.9442e-10-1.68944e-09i
2016-03-05 04:00:00 PST,+63933.9+48617.4i,+63876.3+48607.4i,+47656.1+48600.6i,+47598.2+48590.9i,-5.19412e-09+3.28164e-09i
2016-03-05 05:00:00 PST,+65113.9+48479.9i,+65054.9+48469.6i,+47533.7+48462.7i,+47476+48453i,-1.44968e-08-4.33975e-11i
2016-03-05 06:00:00 PST,+68150.8+48364.7i,+68088.1+48353.8i,+47474.5+48346.4i,+47416.8+48336.7i,-9.22058e-09+1.39522e-09i
2016-03-05 07:00:00 PST,+70799.2+48278.8i,+70733.2+48267.3i,+47437.2+48259.5i,+47379.6+48249.8i,+8.32514e-09-3.69058e-10i
2016-03-05 08:00:00 PST,+67893.5+48424.5i,+67831.1+48413.6i,+47537.7+48406.2i,+47480+48396.6i,-1.01692e-08-6.46668e-10i
2016-03-05 09:00:00 PST,+64544.7+48593.6i,+64486.3+48583.5i,+47655.7+48576.6i,+47597.8+48566.9i,+1.95345e-09-3.24478e-09i
2016-03-05 10:00:00 PST,+64129.2+48624.3i,+64071.3+48614.2i,+47681+48607.4i,+47623.1+48597.8i,-1.8193e-08+1.69026e-09i
2016-03-05 11:00:00 PST,+63702.8+48644.3i,+63645.4+48634.4i,+47695.4+48627.7i,+47637.4+48618i,-1.60139e-08-2.68494e-11i
2016-03-05 12:00:00 PST,+63265.1+48673.9i,+63208.2+48664.1i,+47718.6+48657.5i,+47660.5+48647.9i,-2.19498e-08+2.33817e-09i
2016-03-05 13:00:00 PST,+63646.6+48681.9i,+63589.3+48672i,+47729.3+48665.3i,+47671.3+48655.7i,-2.98711e-09-3.65352e-09i
2016-03-05 14:00:00 PST,+64022.6+48663.6i,+63964.8+48653.6i,+47714.6+48646.9i,+47656.6+48637.3i,+2.37613e-08+6.16179e-10i
2016-03-05 15:00:00 PST,+64771+48539.8i,+64712.4+48529.7i,+47601.5+48522.8i,+47543.7+48513.2i,-1.66057e-08-2.42415e-09i
2016-03-05 16:00:00 PST,+68076+48273.5i,+68013.4+48262.7i,+47389.8+48255.3i,+47332.2+48245.8i,+2.00624e-08+2.02908e-09i
2016-03-05 17:00:00 PST,+74487.8+47919.3i,+74416.9+47906.9i,+47147.4+47898.5i,+47090.2+47888.9i,+3.04589e-09+2.87614e-09i
2016-03-05 18:00:00 PST,+79633.2+47610.8i,+79555+47597i,+46920.4+47587.6i,+46863.6+47577.9i,-9.55951e-09+4.14126e-09i
2016-03-05 19:00:00 PST,+84430.1+47425.4i,+84344.5+47410.3i,+46814.9+47399.9i,+46758.3+47390.2i,-1.37765e-08-3.21883e-09i
2016-03-05 20:00:00 PST,+85803.1+47443.1i,+85715.4+47427.5i,+46854.3+47416.9i,+46797.6+47407.1i,+8.61445e-09-8.1407e-11i
2016-03-05 21:00:00 PST,+82883.7+47692.2i,+82800.7+47677.5i,+47052.8+47667.4i,+46995.8+47657.6i,+5.19471e-09+2.28803e-09i
2016-03-05 22:00:00 PST,+77356.5+48042.7i,+77281.6+48029.5i,+47309.5+48020.5i,+47252.1+48010.8i,-1.51417e-09+3.6631e-09i
2016-03-05 23:00:00 PST,+72218.3+48344.2i,+72150.5+48332.3i,+47523.2+48324.3i,+47465.5+48314.5i,-1.07839e-08+1.2182e-09i
2016-03-06 00:00:00 PST,+67048.1+48582.2i,+66986.7+48571.5i,+47674+48564.3i,+47616.1+48554.5i,+1.2734e-08-2.34929e-09i
