# file...... System_ABC_load_meter.csv
# date...... Fri Oct 27 14:51:42 2017
# user...... mast9
# host...... (null)
# target.... transformer 148
# trigger... (none)
# interval.. 1800
# limit..... -1
# timestamp,power_out,power_out_A,power_out_B,power_out_C
2016-04-01 00:00:00 PDT,+2.33751e+06-961165i,+908765-341903i,+637316-416794j,+791433-202468j
2016-04-01 01:00:00 PDT,+2.30917e+06-962868i,+897592-342490i,+629684-417412j,+781889-202966j
2016-04-01 02:00:00 PDT,+2.30797e+06-962939i,+897147-342493i,+629378-417457j,+781445-202988j
2016-04-01 03:00:00 PDT,+2.36477e+06-959580i,+915781-341873i,+643543-416055j,+805446-201652j
2016-04-01 04:00:00 PDT,+2.53301e+06-949040i,+977082-339151i,+687259-411913j,+868670-197976j
2016-04-01 05:00:00 PDT,+2.70124e+06-937697i,+1.042e+06-335399i,+731660-408000j,+927589-194299j
2016-04-01 06:00:00 PDT,+2.85349e+06-926664i,+1.09595e+06-331935i,+768108-404895j,+989433-189833j
2016-04-01 07:00:00 PDT,+2.80398e+06-930183i,+1.05938e+06-334621i,+750133-406681j,+994471-188882j
2016-04-01 08:00:00 PDT,+2.63564e+06-941816i,+988056-338787i,+701853-411113j,+945728-191916j
2016-04-01 09:00:00 PDT,+2.54855e+06-947602i,+956866-340135i,+679344-413310j,+912342-194157j
2016-04-01 10:00:00 PDT,+2.55112e+06-947440i,+957623-340161i,+679955-413206j,+913538-194074j
2016-04-01 11:00:00 PDT,+2.51658e+06-949775i,+947171-340708i,+672332-413797j,+897076-195269j
2016-04-01 12:00:00 PDT,+2.50898e+06-950204i,+941405-341084i,+668824-414104j,+898748-195016j
2016-04-01 13:00:00 PDT,+2.509e+06-950204i,+942274-341037i,+669026-414073j,+897702-195094j
2016-04-01 14:00:00 PDT,+2.56837e+06-946333i,+963790-340077i,+684473-412623j,+920109-193633j
2016-04-01 15:00:00 PDT,+2.86102e+06-925906i,+1.07145e+06-334748i,+760632-405202j,+1.02894e+06-185956j
