# file...... Overhead_lines_power_in_B.csv
# date...... Fri Oct 27 14:51:41 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-06-03 00:00:00 PDT,+6930.34+0.341848j,-0+0j,+716319+50408.3j,+0+0j,+0+0j,+0+0j,+716097+47533.1j,+3550.11+0.115557j,-0+0j,+712391+45613.9j,+0+0j,-0+0j,+296051+9480j,+0+0j,+0+0j,+0+0j,+0+0j,-0+0j,+43138.2+21612.6j,+0+0j,+43147.6+21599.2j,+1.84424e-06+1.19927e-05j,-0+0j,+1.82888e-06+1.20094e-05j,+0+0j,+1.82586e-06+1.20613e-05j,+0+0j,+0+0j,+0+0j,+1.85189e-06+1.20696e-05j,+1.85558e-06+1.21317e-05j,+1.84371e-06+1.2117e-05j,+0+0j,+0+0j,+25944.7+9893.91j,+213244-31863.8j,-0+0j,+25948.5+9878.02j,+4940.32+0.325786j,-0+0j,+213089-32079.1j,+42949.7+21498.9j,+169986-53794.6j,-0+0j,+169916-53897.9j,+0+0j,+75167.6+53703.6j,+57675.9-132635j,+25804.6-132705j,+25745.4-132760j,+25678.9-132826j,+415594+32056.4j,+415468+31420.2j,+9109.73+1.68976j,+406269+31017.7j,+9110.32+0.727154j,+29135.5+9866.29j,+376616+19586.4j,+8130.67+0.679399j,-1.0639e-05+1.93781e-05j,-0+0j,+221910-177322j,+37791.4+133467j,+0+0j,+0+0j,+0+0j,-0+0j,+221467-177990j,+0+0j,+0+0j,+48650.8-218812j,+87250.8-34638.8j,+26256.2-219245j,-1.46069e-08-3.58823e-09j,+26202.3-219350j,+448.989-219786j,+244.26-220225j,-0+0j,+122.804-220467j,+0+0j,+83556.6-35038.1j,-0+0j,+56842.1-35277.5j,+42714-35406.1j,+14078.6+28.1095j,-0+0j,+14078.8+14.8401j,-0+0j,+14081.4+2.49138j,+8430.57+0.578274j,+22798.5-0.316123j,+22796.8-0.0602851j,-2.32522e-06+9.33513e-06j,-2.32112e-06+9.32422e-06j,-0+0j,+14860+133379j,+0+0j,+0+0j,+39913.9+24.2434j,-25095.2+133325j,+20199.5+9.59467j,-0+0j,-25193+133289j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+252576-13879.7j,+723636+53992j,+415794+33313.7j,+259795-43047.7j,+14920.1+133423j
2016-06-03 01:00:00 PDT,+6400.29+0.290327j,+0+0j,+599729-423063j,+0+0j,+0+0j,+0+0j,+599865-426164j,+3200.09+0.0925162j,+0+0j,+596748-428228j,+0+0j,+0+0j,+257948-159726j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44303.1+22170.9j,+0+0j,+44291.2+22171.6j,-2.5806e-07+9.61579e-06j,+0+0j,-2.93241e-07+9.66109e-06j,+0+0j,-2.69945e-07+9.71001e-06j,+0+0j,+0+0j,+0+0j,-3.1757e-07+9.66124e-06j,-2.93401e-07+9.68826e-06j,-3.23719e-07+9.68052e-06j,+0+0j,+0+0j,+14414.5-21382j,+186276-169704j,+0+0j,+14411.1-21405.3j,+4520.26+0.264034j,+0+0j,+186117-169967j,+44401.8+22225.7j,+141557-192457j,+0+0j,+141476-192648j,+0+0j,+77944.6+55688.3j,+38306.6-210757j,+8387.84-210958j,+8253.88-211152j,+8107.22-211359j,+338717-273181j,+338707-274027j,+8479.69+1.44769j,+330211-274552j,+8480.27+0.609596j,+17399.1-21497.8j,+312163-254872j,+7520.55+0.558421j,-1.94638e-05+2.09397e-05j,+0+0j,+184988-419451j,+53150.8+213605j,+0+0j,+0+0j,+0+0j,+0+0j,+183916-420872j,+0+0j,+0+0j,+45855.6-232143j,+61010.6-101268j,+24814.7-232606j,+1.42433e-08-4.28161e-09j,+24758.3-232720j,+475.386-233193j,+257.166-233670j,+0+0j,+129.176-233932j,+0+0j,+57427-101755j,+0+0j,+32078.2-102056j,+18958.7-102228j,+12958.1+28.9389j,+0+0j,+12958.5+15.0234j,+0+0j,+12961.1+1.98115j,+7800.46+0.463535j,+21837.7-1.15552j,+21836.1-0.650456j,+1.33703e-05-1.23366e-05j,+1.33985e-05-1.23414e-05j,+0+0j,+30943.4+213222j,+0+0j,+0+0j,+37640.2+20.5133j,-6846.21+213015j,+19038+8.1125j,+0+0j,-7062.47+212803j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+213297-183256j,+605932-419128j,+338692-271466j,+238514-204759j,+31113.1+213414j
2016-06-03 02:00:00 PDT,+6430.29+0.293051j,+0+0j,+597444-423289j,+0+0j,+0+0j,+0+0j,+597580-426382j,+3250.09+0.095426j,+0+0j,+594415-428440j,+0+0j,+0+0j,+257019-159856j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44307.1+22173j,+0+0j,+44295.4+22173.7j,-7.31059e-06+1.2787e-05j,+0+0j,-7.31694e-06+1.27973e-05j,+0+0j,-7.36895e-06+1.27891e-05j,+0+0j,+0+0j,+0+0j,-7.37876e-06+1.2748e-05j,-7.39125e-06+1.27665e-05j,-7.42805e-06+1.27627e-05j,+0+0j,+0+0j,+14456.3-21382.4j,+185487-169723j,+0+0j,+14452.9-21405.8j,+4560.27+0.268701j,+0+0j,+185329-169984j,+44406.8+22228.3j,+140764-192475j,+0+0j,+140684-192666j,+0+0j,+77954.1+55695.2j,+37501.4-210780j,+7872.89-210981j,+7738.86-211175j,+7592.29-211382j,+337315-273249j,+337305-274092j,+8489.69+1.45071j,+328800-274616j,+8490.27+0.610989j,+17431.1-21498.1j,+310723-254929j,+7550.56+0.562833j,-1.13832e-05+2.51343e-05j,+0+0j,+184098-419510j,+52594.3+213626j,+0+0j,+0+0j,+0+0j,+0+0j,+183028-420931j,+0+0j,+0+0j,+45195.2-232186j,+60767.4-101282j,+24454.8-232650j,-1.63801e-08-2.16118e-08j,+24398.5-232763j,+475.804-233237j,+257.223-233714j,+0+0j,+129.204-233977j,+0+0j,+57133.8-101767j,+0+0j,+32165-102068j,+18965.4-102240j,+13038+29.1416j,+0+0j,+13038.5+15.1282j,+0+0j,+13041.1+2.00314j,+7830.46+0.467022j,+21457.5-1.34255j,+21455.9-0.779229j,+1.03399e-05-6.19352e-07j,+1.03165e-05-6.42189e-07j,+0+0j,+30767.1+213244j,+0+0j,+0+0j,+36949.5+19.7717j,-6332.16+213038j,+18697.7+7.82375j,+0+0j,-6548.1+212825j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+212367-183384j,+603676-419364j,+337291-271540j,+237066-204803j,+30936.7+213436j
2016-06-03 03:00:00 PDT,+6330.28+0.284037j,+0+0j,+610505-422091j,+0+0j,+0+0j,+0+0j,+610636-425230j,+3350.1+0.101415j,+0+0j,+607365-427320j,+0+0j,+0+0j,+262290-159180j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44283.5+22160.6j,+0+0j,+44271.2+22161.6j,+2.70146e-07-4.03591e-06j,+0+0j,+3.01795e-07-3.97359e-06j,+0+0j,+2.56724e-07-3.9832e-06j,+0+0j,+0+0j,+0+0j,+2.71472e-07-3.92988e-06j,+2.5858e-07-3.92204e-06j,+2.68965e-07-3.96292e-06j,+0+0j,+0+0j,+14458.4-21378.3j,+189902-169576j,+0+0j,+14455-21401.7j,+4570.27+0.270041j,+0+0j,+189739-169844j,+44378.3+22214j,+145198-192328j,+0+0j,+145115-192522j,+0+0j,+77900.4+55656.8j,+42003.2-210608j,+10698.5-210810j,+10565-211004j,+10417.9-211211j,+344982-272881j,+344971-273739j,+8229.69+1.37073j,+336725-274272j,+8230.26+0.574387j,+17282.5-21495.1j,+318779-254624j,+7410.54+0.542441j,-7.62172e-06+1.81152e-05j,+0+0j,+189258-419158j,+55517.1+213467j,+0+0j,+0+0j,+0+0j,+0+0j,+188181-420582j,+0+0j,+0+0j,+48865.8-231936j,+62324.7-101199j,+26152.3-232399j,-5.27285e-09+1.91756e-08j,+26095.9-232512j,+472.829-232983j,+256.817-233457j,+0+0j,+128.98-233719j,+0+0j,+58590.7-101691j,+0+0j,+32011.8-101996j,+18932.3-102167j,+12918.2+28.8274j,+0+0j,+12918.6+14.9814j,+0+0j,+12921.1+1.95936j,+7680.44+0.449777j,+23348.5-0.34062j,+23346.7-0.0883061j,+1.97843e-06-5.01514e-06j,+2.00314e-06-4.97798e-06j,+0+0j,+31798.5+213081j,+0+0j,+0+0j,+40803.8+24.1165j,-9152.78+212871j,+20629.4+9.53293j,+0+0j,-9370.51+212659j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+217641-182717j,+616640-418112j,+344955-271139j,+245158-204578j,+31968.7+213275j
2016-06-03 04:00:00 PDT,+7020.34+0.349356j,+0+0j,+633580-420130j,+0+0j,+0+0j,+0+0j,+633722-423398j,+3700.12+0.123727j,+0+0j,+630108-425573j,+0+0j,+0+0j,+271362-158040j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44267.5+22151.7j,+0+0j,+44254.2+22153.1j,+2.13418e-06-1.06912e-06j,+0+0j,+2.10782e-06-1.06395e-06j,+0+0j,+2.12248e-06-1.0418e-06j,+0+0j,+0+0j,+0+0j,+2.15673e-06-1.04098e-06j,+2.1818e-06-1.00422e-06j,+2.17461e-06-1.00566e-06j,+0+0j,+0+0j,+14933.6-21378.8j,+197039-169357j,+0+0j,+14930.2-21402.5j,+5060.33+0.331208j,+0+0j,+196870-169639j,+44357.2+22203.4j,+152345-192126j,+0+0j,+152258-192327j,+0+0j,+77859.9+55627.9j,+49215.5-210387j,+14383.3-210593j,+14250.2-210787j,+14102.3-210997j,+358659-272476j,+358649-273373j,+9139.72+1.66406j,+349493-273930j,+9140.32+0.708558j,+18076.4-21498.4j,+330729-254348j,+8220.66+0.667722j,+2.79545e-05-2.07584e-05j,+0+0j,+199135-418838j,+57639.3+213276j,+0+0j,+0+0j,+0+0j,+0+0j,+198042-420279j,+0+0j,+0+0j,+54235.1-231712j,+66928.4-101097j,+28967.3-232177j,+1.50878e-08+1.15705e-08j,+28911.1-232290j,+467.403-232759j,+255.635-233232j,+0+0j,+128.451-233494j,+0+0j,+62840.4-101610j,+0+0j,+33349.5-101927j,+18869.5-102101j,+14318.5+32.4254j,+0+0j,+14318.7+16.9988j,+0+0j,+14321.4+2.41082j,+8520.55+0.554201j,+24579.1+0.405819j,+24577.3+0.432522j,+1.35372e-05-4.31472e-06j,+1.35436e-05-4.29382e-06j,+0+0j,+32687.7+212887j,+0+0j,+0+0j,+45369.4+29.8402j,-12827.2+212672j,+22941.6+11.7985j,+0+0j,-13048+212459j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+226705-181620j,+640391-415983j,+358620-270655j,+257173-204401j,+32859.3+213082j
2016-06-03 05:00:00 PDT,+8240.48+0.481463j,+0+0j,+677069-416391j,+0+0j,+0+0j,+0+0j,+677215-419855j,+4400.17+0.175071j,+0+0j,+672902-422161j,+0+0j,+0+0j,+288286-155972j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44215.6+22124j,+0+0j,+44200.6+22126.3j,+1.54023e-05-5.12972e-06j,+0+0j,+1.54103e-05-5.04066e-06j,+0+0j,+1.53885e-05-5.04772e-06j,+0+0j,+0+0j,+0+0j,+1.54095e-05-5.07281e-06j,+1.53614e-05-5.0812e-06j,+1.53675e-05-5.07775e-06j,+0+0j,+0+0j,+15818.5-21371.5j,+210536-168903j,+0+0j,+15815.2-21396j,+5970.46+0.461696j,+0+0j,+210356-169209j,+44292.7+22171.2j,+165883-191687j,+0+0j,+165790-191903j,+0+0j,+77738+55540.8j,+62919.3-209896j,+21758.2-210107j,+21627.6-210301j,+21480-210513j,+384518-271442j,+384510-272398j,+10679.8+2.22659j,+373812-272992j,+10680.4+0.968388j,+19469.9-21493.4j,+353600-253528j,+9640.91+0.91955j,+2.01486e-05+1.06471e-06j,+0+0j,+216718-417885j,+63015.1+212819j,+0+0j,+0+0j,+0+0j,+0+0j,+215596-419358j,+0+0j,+0+0j,+63840.6-231085j,+75084.7-100830j,+33895.2-231556j,+9.62767e-09-1.76335e-08j,+33839.2-231667j,+455.489-232133j,+252.474-232601j,+0+0j,+126.971-232864j,+0+0j,+70287.9-101383j,+0+0j,+35762.8-101723j,+18761.3-101906j,+16839.4+39.2405j,+0+0j,+16839.1+20.8794j,+0+0j,+16841.9+3.33961j,+9990.75+0.764247j,+29151.8+3.89378j,+29149.6+2.82154j,-4.94773e-06+1.71801e-05j,-4.9517e-06+1.71959e-05j,+0+0j,+33489.3+212423j,+0+0j,+0+0j,+53551.1+41.685j,-20200.8+212199j,+27096.3+16.4961j,+0+0j,-20425.6+211989j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+243628-179617j,+685098-411990j,+384462-269496j,+280166-203800j,+33662.5+212620j
2016-06-03 06:00:00 PDT,+9330.61+0.617514j,+0+0j,+723236-412271j,+0+0j,+0+0j,+0+0j,+723370-415904j,+5150.24+0.240048j,+0+0j,+718296-418322j,+0+0j,+0+0j,+306337-153739j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44142.6+22085.6j,+0+0j,+44125.8+22088.9j,+9.32685e-06-4.24496e-06j,+0+0j,+9.32189e-06-4.21103e-06j,+0+0j,+9.32738e-06-4.17749e-06j,+0+0j,+0+0j,+0+0j,+9.32212e-06-4.20663e-06j,+9.34926e-06-4.20006e-06j,+9.29702e-06-4.24596e-06j,+0+0j,+0+0j,+16674.4-21357.1j,+225048-168379j,+0+0j,+16671.2-21382.2j,+6850.6+0.609005j,+0+0j,+224854-168708j,+44203.9+22126.7j,+180456-191167j,+0+0j,+180356-191396j,+0+0j,+77570.6+55421.3j,+77702-209307j,+29926.7-209523j,+29799.9-209714j,+29654-209927j,+411824-270102j,+411814-271110j,+11949.9+2.75469j,+399842-271737j,+11950.5+1.21424j,+20695.4-21479.2j,+378335-252389j,+10891.2+1.17578j,-5.39435e-07+8.33556e-06j,+0+0j,+235265-416570j,+69282.4+212253j,+0+0j,+0+0j,+0+0j,+0+0j,+234107-418079j,+0+0j,+0+0j,+74335.1-230245j,+83316.9-100484j,+39130.3-230721j,-1.00743e-08+2.94229e-09j,+39074.7-230832j,+441.232-231293j,+248.468-231755j,+0+0j,+125.044-232017j,+0+0j,+77759.6-101082j,+0+0j,+37979.4-101446j,+18655.9-101636j,+19160.5+45.9232j,+0+0j,+19159.7+24.7671j,+0+0j,+19162.4+4.32495j,+11281+0.97816j,+34355.3+9.20021j,+34352.6+6.44299j,+6.42286e-06+5.60856e-06j,+6.39924e-06+5.57982e-06j,+0+0j,+34555.8+211849j,+0+0j,+0+0j,+62806.8+57.5315j,-28380.2+211614j,+31792.5+22.7805j,+0+0j,-28607.9+211408j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+261686-177438j,+732373-407658j,+411755-268049j,+305021-202925j,+34728.7+212048j
2016-06-03 07:00:00 PDT,+8260.48+0.484125j,+0+0j,+713737-413121j,+0+0j,+0+0j,+0+0j,+713816-416590j,+4700.2+0.200058j,+0+0j,+709157-418899j,+0+0j,+0+0j,+302380-154370j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44102.8+22066j,+0+0j,+44086.5+22069.1j,+6.1506e-07+1.57669e-06j,+0+0j,+5.97022e-07+1.59033e-06j,+0+0j,+6.09027e-07+1.62546e-06j,+0+0j,+0+0j,+0+0j,+5.9329e-07+1.62262e-06j,+6.17602e-07+1.61968e-06j,+5.74478e-07+1.5862e-06j,+0+0j,+0+0j,+15971.5-21342.9j,+222681-168437j,+0+0j,+15968.2-21367.5j,+6140.48+0.489736j,+0+0j,+222486-168756j,+44159.4+22104.4j,+178132-191182j,+0+0j,+178031-191403j,+0+0j,+77488.4+55362.5j,+75450.6-209281j,+30172.8-209490j,+30047.4-209676j,+29903.4-209885j,+406572-269807j,+406549-270773j,+10459.8+2.14834j,+396062-271374j,+10460.4+0.931414j,+19432.8-21459.6j,+375816-251984j,+9620.91+0.918679j,-6.38463e-06-2.12074e-06j,+0+0j,+228367-416105j,+73652.3+212180j,+0+0j,+0+0j,+0+0j,+0+0j,+227227-417596j,+0+0j,+0+0j,+71822.3-229936j,+78937.9-100419j,+37530.1-230407j,-1.6215e-08-1.39478e-09j,+37474.6-230518j,+442.463-230976j,+248.347-231436j,+0+0j,+124.881-231696j,+0+0j,+73837.9-100996j,+0+0j,+35891.3-101349j,+18689.4-101532j,+17039.6+40.0828j,+0+0j,+17039.2+21.4216j,+0+0j,+17041.9+3.4131j,+9960.75+0.763364j,+40280.6+16.9798j,+40276.5+11.6769j,+1.74832e-05-2.74992e-06j,+1.75143e-05-2.69614e-06j,+0+0j,+33003+211766j,+0+0j,+0+0j,+61524.5+55.2582j,-28648+211536j,+31121.6+21.8615j,+0+0j,-28872.3+211334j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+257765-178004j,+721870-408735j,+406530-267838j,+302491-202539j,+33175.7+211964j
2016-06-03 08:00:00 PDT,+7280.37+0.376052j,+0+0j,+685220-415666j,+0+0j,+0+0j,+0+0j,+685293-418939j,+4400.17+0.175327j,+0+0j,+680931-421117j,+0+0j,+0+0j,+291313-155801j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44114.6+22073j,+0+0j,+44099.3+22075.5j,-8.33433e-06+9.59075e-06j,+0+0j,-8.34439e-06+9.59076e-06j,+0+0j,-8.34272e-06+9.65506e-06j,+0+0j,+0+0j,+0+0j,-8.35967e-06+9.65863e-06j,-8.36125e-06+9.64343e-06j,-8.38323e-06+9.61536e-06j,+0+0j,+0+0j,+15401.1-21339.3j,+214010-168704j,+0+0j,+15397.8-21363.4j,+5550.39+0.399985j,+0+0j,+213823-169003j,+44176.6+22113j,+169460-191417j,+0+0j,+169365-191627j,+0+0j,+77521.8+55386.3j,+66714.8-209530j,+25747.3-209732j,+25622.8-209915j,+25480.9-210119j,+389419-270281j,+389396-271188j,+8999.71+1.62437j,+380371-271751j,+9000.31+0.689529j,+18274.7-21451.7j,+361320-252263j,+8440.7+0.707019j,+8.43491e-06-5.30809e-06j,+0+0j,+216432-416381j,+71057.9+212370j,+0+0j,+0+0j,+0+0j,+0+0j,+215315-417847j,+0+0j,+0+0j,+65609.7-230135j,+73099-100524j,+34053.9-230600j,+1.27805e-08+3.06726e-09j,+33998.6-230711j,+448.208-231169j,+249.55-231630j,+0+0j,+125.379-231889j,+0+0j,+68305.9-101071j,+0+0j,+34093-101408j,+18772.2-101584j,+15158.8+35.0062j,+0+0j,+15158.8+18.5107j,+0+0j,+15161.5+2.68064j,+8730.58+0.58578j,+38309.1+14.2123j,+38305.2+9.78773j,-5.25628e-06+1.35488e-06j,-5.22997e-06+1.38142e-06j,+0+0j,+32386.2+211963j,+0+0j,+0+0j,+56506+46.5913j,-24247.3+211741j,+28588.2+18.4358j,+0+0j,-24465.8+211541j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+246721-179364j,+692379-411540j,+389388-268433j,+287935-202692j,+32555.7+212158j
2016-06-03 09:00:00 PDT,+7610.41+0.410883j,+0+0j,+673300-416952j,+0+0j,+0+0j,+0+0j,+673382-420178j,+4950.22+0.221855j,+0+0j,+668475-422325j,+0+0j,+0+0j,+286196-156540j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44135.7+22084j,+0+0j,+44120.9+22086.3j,+1.41946e-05+9.84455e-06j,+0+0j,+1.41626e-05+9.85724e-06j,+0+0j,+1.41839e-05+9.90608e-06j,+0+0j,+0+0j,+0+0j,+1.41892e-05+9.89503e-06j,+1.41939e-05+9.92245e-06j,+1.41781e-05+9.94632e-06j,+0+0j,+0+0j,+15849-21342.1j,+209474-168811j,+0+0j,+15845.7-21366.5j,+5990.46+0.465677j,+0+0j,+209294-169102j,+44203.9+22126.7j,+164911-191523j,+0+0j,+164819-191728j,+0+0j,+77573.8+55423.5j,+62099.9-209658j,+23154.6-209858j,+23029.9-210043j,+22888.7-210246j,+382100-270667j,+382080-271558j,+9109.71+1.66049j,+372946-272112j,+9110.31+0.706229j,+18613.1-21453.7j,+353579-252587j,+8770.75+0.763041j,-7.91463e-06+1.85991e-05j,+0+0j,+211890-416692j,+67847.9+212473j,+0+0j,+0+0j,+0+0j,+0+0j,+210781-418153j,+0+0j,+0+0j,+61564.1-230363j,+72539.5-100589j,+32033.5-230826j,+7.716e-09-8.14327e-09j,+31978.5-230936j,+450.046-231395j,+249.655-231858j,+0+0j,+125.432-232117j,+0+0j,+67196.3-101135j,+0+0j,+35003.5-101468j,+18802.5-101649j,+16038.7+37.3613j,+0+0j,+16038.8+19.7781j,+0+0j,+16041.6+2.97326j,+9060.62+0.630316j,+36557.7+11.918j,+36554+8.22334j,+2.12034e-06+8.61616e-07j,+2.14215e-06+8.45531e-07j,+0+0j,+30927.9+212073j,+0+0j,+0+0j,+52459.6+40.1522j,-21661.8+211858j,+26565.7+15.9051j,+0+0j,-21878.3+211659j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+241609-180089j,+680784-412875j,+382072-268854j,+280170-202934j,+31097.1+212266j
2016-06-03 10:00:00 PDT,+7970.44+0.450711j,+0+0j,+684161-416063j,+0+0j,+0+0j,+0+0j,+684236-419340j,+5550.28+0.278945j,+0+0j,+678723-421520j,+0+0j,+0+0j,+290198-156066j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44121.5+22076.4j,+0+0j,+44106.2+22079j,+1.04213e-05+7.70371e-06j,+0+0j,+1.04518e-05+7.73837e-06j,+0+0j,+1.04786e-05+7.78783e-06j,+0+0j,+0+0j,+0+0j,+1.04894e-05+7.7858e-06j,+1.04907e-05+7.7904e-06j,+1.05095e-05+7.79768e-06j,+0+0j,+0+0j,+16322.9-21339.6j,+212484-168672j,+0+0j,+16319.7-21364.4j,+6470.54+0.543509j,+0+0j,+212302-168969j,+44187.8+22118.6j,+167932-191388j,+0+0j,+167839-191597j,+0+0j,+77543.7+55402j,+65162.1-209510j,+25195.5-209712j,+25070.9-209896j,+24929.3-210100j,+388333-270410j,+388310-271317j,+9229.72+1.7018j,+379055-271880j,+9230.32+0.725155j,+18966.3-21452.2j,+359319-252388j,+9130.82+0.827265j,+1.04579e-05+1.31766e-05j,+0+0j,+216438-416439j,+69056.2+212335j,+0+0j,+0+0j,+0+0j,+0+0j,+215320-417907j,+0+0j,+0+0j,+63601.6-230199j,+75095.1-100514j,+33049.5-230661j,+2.29399e-08+1.26547e-08j,+32994.7-230771j,+446.726-231228j,+248.872-231689j,+0+0j,+125.04-231948j,+0+0j,+69149.3-101074j,+0+0j,+35935.5-101413j,+18774.2-101598j,+16998.9+39.9768j,+0+0j,+16998.9+21.2537j,+0+0j,+17001.8+3.31582j,+9420.67+0.681944j,+37758.7+13.4814j,+37754.8+9.28529j,+1.78156e-05-6.90001e-06j,+1.78136e-05-6.90357e-06j,+0+0j,+30934.2+211932j,+0+0j,+0+0j,+54502.8+43.3482j,-23697.4+211716j,+27586.9+17.1613j,+0+0j,-23915.6+211517j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+245611-179629j,+692014-411921j,+388304-268566j,+285934-202793j,+31104.1+212126j
