# file...... loads_voltage_A.csv
# date...... Fri Oct 27 14:51:41 2017
# user...... mast9
# host...... (null)
# group..... class= load
# property.. voltage_A
# limit..... -1
# interval.. 3600
# timestamp,Load1,Load2,Load4,Load5,Load6,Load7,Load9,Load10,Load11,Load12,Load16,Load17,Load19,Load20,Load22,Load24,Load28,Load29,Load30,Load31,Load32,Load33,Load34,Load35,Load37,Load38,Load39,Load41,Load42,Load43,Load45,Load46,Load47,Load48,Load49,Load50,Load51,Load52,Load53,Load55,Load56,Load58,Load59,Load60,Load62,Load63,Load64,Load65,Load66,Load68,Load69,Load70,Load71,Load73,Load74,Load75,Load76,Load77,Load79,Load80,Load82,Load83,Load84,Load85,Load86,Load87,Load88,Load90,Load92,Load94,Load95,Load96,Load98,Load99,Load100,Load102,Load103,Load104,Load106,Load107,Load109,Load111,Load112,Load113,Load114
2016-06-03 00:00:00 PDT,+2490.27-21.1774i,+0+0j,+0+0j,+0+0j,+0+0j,+2477.29-36.5325i,+2465.9-48.0065i,+2445.6-49.3074i,+2444.77-49.5535i,+0+0j,+0+0j,+0+0j,+2445.96-77.1684i,+2443.91-77.8679i,+0+0j,+0+0j,+2440.18-82.9831i,+2439.42-83.7024i,+2439.69-83.6443i,+0+0j,+0+0j,+2436.29-84.7131i,+0+0j,+2447.71-80.696i,+2443.47-82.4432i,+0+0j,+0+0j,+0+0j,+2448.74-85.1402i,+0+0j,+2448.54-87.5374i,+2448.39-87.6805i,+2450.38-89.4028i,+2449.69-89.7193i,+2453.4-90.799i,+2456.62-92.1049i,+2459.66-93.4328i,+2447.1-69.6296i,+2442.07-74.0384i,+2438.47-76.9433i,+2438.4-76.8685i,+0+0j,+0+0j,+2393.54-90.1225i,+2392.1-89.2923i,+2391.11-88.709i,+2389.53-87.4863i,+2387.54-85.9678i,+2387.53-85.9755i,+2499.67-99.3441i,+2498.3-100.625i,+2497.39-101.481i,+2496.72-102.101i,+0+0j,+0+0j,+0+0j,+2491.78-99.9487i,+2494.45-102.31i,+2494.39-103.552i,+2500.11-104.77i,+2507.78-108.051i,+2510.41-108.943i,+0+0j,+0+0j,+2475.98-94.5362i,+2465.73-90.9956i,+2466.27-92.3304i,+0+0j,+0+0j,+2438.98-76.6637i,+2447.63-83.7226i,+0+0j,+2496.6-99.5051i,+2497.24-99.4835i,+2497.72-99.6448i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+2474.59-103.756i,+2470.75-105.512i,+2470.04-105.417i,+2466.43-106.578i,+2466.33-106.669i
2016-06-03 01:00:00 PDT,-51.6128-2498.19i,+0+0j,+0+0j,+0+0j,+0+0j,-71.1389-2495.21i,-85.8002-2491.44i,-88.2393-2473.8i,-87.9455-2471.88i,+0+0j,+0+0j,+0+0j,-123.072-2499.15i,-125.125-2499.85i,+0+0j,+0+0j,-128.853-2501.67i,-129.58-2500.87i,-129.529-2501.12i,+0+0j,+0+0j,-132.855-2504.53i,+0+0j,-126.778-2500.43i,-129.07-2495.68i,+0+0j,+0+0j,+0+0j,-132.705-2503.96i,+0+0j,-136.114-2505.62i,-136.239-2505.48i,-138.288-2507.11i,-138.595-2506.39i,-139.958-2509.92i,-141.549-2512.9i,-143.158-2515.72i,-114.573-2484.42i,-120.7-2481.18i,-124.694-2478.69i,-124.625-2478.63i,+0+0j,+0+0j,-140.572-2439.44i,-139.649-2438i,-139.002-2437.01i,-137.663-2435.38i,-136.101-2433.37i,-136.109-2433.36i,-151.742-2550.25i,-152.892-2548.97i,-153.658-2548.12i,-154.216-2547.49i,+0+0j,+0+0j,+0+0j,-152.718-2543.77i,-155.306-2546.41i,-156.598-2546.32i,-158.071-2552.09i,-161.698-2559.78i,-162.731-2562.41i,+0+0j,+0+0j,-146.483-2523.98i,-142.414-2511.13i,-143.751-2511.69i,+0+0j,+0+0j,-124.412-2479.21i,-133.488-2489.32i,+0+0j,-151.747-2548.04i,-151.753-2548.7i,-151.918-2549.18i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-155.973-2531.09i,-158.229-2528.53i,-158.436-2528.29i,-159.53-2524.58i,-159.609-2524.5i
2016-06-03 02:00:00 PDT,-51.5025-2498.21i,+0+0j,+0+0j,+0+0j,+0+0j,-70.9894-2495.25i,-85.6155-2491.5i,-88.056-2473.85i,-87.7624-2471.94i,+0+0j,+0+0j,+0+0j,-122.853-2499.19i,-124.906-2499.89i,+0+0j,+0+0j,-128.637-2501.69i,-129.366-2500.88i,-129.315-2501.13i,+0+0j,+0+0j,-132.639-2504.56i,+0+0j,-126.551-2500.47i,-128.842-2495.73i,+0+0j,+0+0j,+0+0j,-132.473-2504.02i,+0+0j,-135.88-2505.67i,-136.006-2505.54i,-138.05-2507.18i,-138.356-2506.45i,-139.714-2509.98i,-141.301-2512.97i,-142.906-2515.79i,-114.332-2484.5i,-120.447-2481.27i,-124.433-2478.78i,-124.364-2478.72i,+0+0j,+0+0j,-140.293-2439.54i,-139.371-2438.1i,-138.724-2437.11i,-137.385-2435.48i,-135.823-2433.47i,-135.831-2433.46i,-151.435-2550.37i,-152.571-2549.1i,-153.329-2548.26i,-153.879-2547.65i,+0+0j,+0+0j,+0+0j,-152.431-2543.87i,-155.026-2546.52i,-156.319-2546.42i,-157.797-2552.19i,-161.424-2559.88i,-162.457-2562.51i,+0+0j,+0+0j,-146.198-2524.09i,-142.13-2511.24i,-143.462-2511.8i,+0+0j,+0+0j,-124.151-2479.3i,-133.219-2489.42i,+0+0j,-151.447-2548.15i,-151.458-2548.82i,-151.623-2549.29i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-155.676-2531.21i,-157.936-2528.65i,-158.142-2528.4i,-159.238-2524.7i,-159.318-2524.61i
2016-06-03 03:00:00 PDT,-51.8502-2498.1i,+0+0j,+0+0j,+0+0j,+0+0j,-71.5597-2495.06i,-86.3682-2491.22i,-88.803-2473.57i,-88.5088-2471.66i,+0+0j,+0+0j,+0+0j,-123.819-2499i,-125.872-2499.7i,+0+0j,+0+0j,-129.589-2501.61i,-130.312-2500.83i,-130.257-2501.1i,+0+0j,+0+0j,-133.593-2504.46i,+0+0j,-127.593-2500.23i,-129.883-2495.49i,+0+0j,+0+0j,+0+0j,-133.574-2503.72i,+0+0j,-137.004-2505.36i,-137.132-2505.21i,-139.198-2506.83i,-139.504-2506.11i,-140.892-2509.62i,-142.504-2512.59i,-144.135-2515.38i,-115.429-2484.08i,-121.613-2480.81i,-125.649-2478.3i,-125.582-2478.24i,+0+0j,+0+0j,-141.634-2438.99i,-140.711-2437.56i,-140.062-2436.57i,-138.723-2434.95i,-137.16-2432.94i,-137.168-2432.93i,-152.961-2549.7i,-154.199-2548.32i,-155.018-2547.41i,-155.618-2546.74i,+0+0j,+0+0j,+0+0j,-153.809-2543.32i,-156.35-2545.98i,-157.633-2545.89i,-159.071-2551.69i,-162.67-2559.43i,-163.704-2562.06i,+0+0j,+0+0j,-147.563-2523.52i,-143.487-2510.67i,-144.851-2511.2i,+0+0j,+0+0j,-125.365-2478.81i,-134.481-2488.9i,+0+0j,-152.93-2547.53i,-152.915-2548.18i,-153.081-2548.65i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-157.16-2530.55i,-159.403-2528.01i,-159.621-2527.75i,-160.719-2524.04i,-160.801-2523.95i
2016-06-03 04:00:00 PDT,-52.6978-2497.65i,+0+0j,+0+0j,+0+0j,+0+0j,-72.972-2494.27i,-88.2132-2490.14i,-90.634-2472.51i,-90.3384-2470.59i,+0+0j,+0+0j,+0+0j,-126.509-2497.63i,-128.562-2498.33i,+0+0j,+0+0j,-132.21-2500.45i,-132.927-2499.69i,-132.866-2499.99i,+0+0j,+0+0j,-136.218-2503.29i,+0+0j,-130.42-2498.79i,-132.695-2494.04i,+0+0j,+0+0j,+0+0j,-136.579-2502.12i,+0+0j,-140.085-2503.68i,-140.226-2503.52i,-142.342-2505.1i,-142.647-2504.37i,-144.116-2507.82i,-145.797-2510.75i,-147.5-2513.49i,-118.162-2482.45i,-124.539-2479.03i,-128.674-2476.42i,-128.599-2476.35i,+0+0j,+0+0j,-145.162-2436.83i,-144.24-2435.37i,-143.592-2434.36i,-142.251-2432.74i,-140.686-2430.74i,-140.693-2430.73i,-156.852-2547.29i,-158.227-2545.76i,-159.138-2544.74i,-159.806-2543.99i,+0+0j,+0+0j,+0+0j,-157.456-2541.09i,-159.978-2543.74i,-161.261-2543.65i,-162.713-2549.46i,-166.387-2557.21i,-167.423-2559.84i,+0+0j,+0+0j,-151.046-2521.34i,-146.865-2508.53i,-148.269-2509.01i,+0+0j,+0+0j,-128.398-2476.94i,-137.599-2486.9i,+0+0j,-156.769-2545.22i,-156.738-2545.85i,-156.904-2546.33i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-161.093-2528.11i,-163.413-2525.48i,-163.584-2525.27i,-164.69-2521.55i,-164.78-2521.44i
2016-06-03 05:00:00 PDT,-54.154-2497.06i,+0+0j,+0+0j,+0+0j,+0+0j,-75.4-2493.26i,-91.3845-2488.73i,-93.7814-2471.1i,-93.4834-2469.19i,+0+0j,+0+0j,+0+0j,-131.126-2495.95i,-133.179-2496.65i,+0+0j,+0+0j,-136.711-2499.15i,-137.417-2498.43i,-137.346-2498.79i,+0+0j,+0+0j,-140.724-2501.98i,+0+0j,-135.279-2497.01i,-137.529-2492.25i,+0+0j,+0+0j,+0+0j,-141.754-2500.11i,+0+0j,-145.39-2501.56i,-145.556-2501.38i,-147.755-2502.9i,-148.058-2502.17i,-149.664-2505.54i,-151.464-2508.43i,-153.289-2511.08i,-122.854-2480.35i,-129.558-2476.73i,-133.862-2474.01i,-133.775-2473.93i,+0+0j,+0+0j,-151.185-2434.22i,-150.268-2432.72i,-149.624-2431.68i,-148.284-2430.06i,-146.72-2428.06i,-146.729-2428.05i,-163.522-2544.25i,-165.148-2542.42i,-166.226-2541.21i,-167.017-2540.32i,+0+0j,+0+0j,+0+0j,-163.7-2538.33i,-166.187-2540.97i,-167.471-2540.89i,-168.946-2546.73i,-172.748-2554.54i,-173.791-2557.18i,+0+0j,+0+0j,-157.023-2518.58i,-152.671-2505.79i,-154.147-2506.18i,+0+0j,+0+0j,-133.6-2474.54i,-142.96-2484.34i,+0+0j,-163.319-2542.32i,-163.226-2542.9i,-163.394-2543.38i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-167.849-2524.92i,-170.302-2522.12i,-170.396-2522i,-171.518-2518.25i,-171.625-2518.13i
2016-06-03 06:00:00 PDT,-55.7257-2496.63i,+0+0j,+0+0j,+0+0j,+0+0j,-77.9609-2492.52i,-94.7044-2487.68i,-97.0765-2470.06i,-96.7761-2468.15i,+0+0j,+0+0j,+0+0j,-135.865-2494.93i,-137.919-2495.63i,+0+0j,+0+0j,-141.342-2498.52i,-142.037-2497.86i,-141.955-2498.29i,+0+0j,+0+0j,-145.361-2501.34i,+0+0j,-140.281-2495.91i,-142.508-2491.14i,+0+0j,+0+0j,+0+0j,-147.077-2498.8i,+0+0j,-150.847-2500.16i,-151.039-2499.95i,-153.322-2501.43i,-153.624-2500.7i,-155.368-2504i,-157.288-2506.87i,-159.237-2509.45i,-127.719-2478.88i,-134.752-2475.14i,-139.232-2472.34i,-139.134-2472.25i,+0+0j,+0+0j,-157.355-2432.65i,-156.446-2431.11i,-155.807-2430.04i,-154.471-2428.42i,-152.914-2426.42i,-152.928-2426.4i,-170.392-2542.2i,-172.296-2540.04i,-173.558-2538.61i,-174.484-2537.57i,+0+0j,+0+0j,+0+0j,-170.117-2536.56i,-172.55-2539.2i,-173.831-2539.14i,-175.312-2545.03i,-179.223-2552.94i,-180.274-2555.6i,+0+0j,+0+0j,-163.192-2516.73i,-158.684-2503.9i,-160.241-2504.2i,+0+0j,+0+0j,-138.982-2472.88i,-148.526-2482.55i,+0+0j,-170.059-2540.39i,-169.897-2540.92i,-170.067-2541.4i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-174.789-2522.62i,-177.357-2519.68i,-177.386-2519.64i,-178.526-2515.85i,-178.652-2515.7i
2016-06-03 07:00:00 PDT,-55.1916-2497.36i,+0+0j,+0+0j,+0+0j,+0+0j,-76.8957-2493.79i,-93.2553-2489.35i,-95.6387-2471.71i,-95.3396-2469.8i,+0+0j,+0+0j,+0+0j,-133.458-2497.44i,-135.511-2498.14i,+0+0j,+0+0j,-139.01-2500.89i,-139.709-2500.22i,-139.628-2500.63i,+0+0j,+0+0j,-143.029-2503.69i,+0+0j,-137.768-2498.5i,-140.013-2493.73i,+0+0j,+0+0j,+0+0j,-144.37-2501.58i,+0+0j,-148.057-2503.03i,-148.231-2502.84i,-150.47-2504.37i,-150.774-2503.64i,-152.436-2507.02i,-154.283-2509.96i,-156.157-2512.62i,-125.41-2481.47i,-132.245-2477.96i,-136.637-2475.29i,-136.552-2475.22i,+0+0j,+0+0j,-154.152-2436.25i,-153.242-2434.76i,-152.602-2433.72i,-151.273-2432.09i,-149.722-2430.09i,-149.74-2430.07i,-166.908-2546.01i,-168.754-2543.93i,-169.969-2542.55i,-170.868-2541.54i,+0+0j,+0+0j,+0+0j,-166.809-2540.22i,-169.204-2542.91i,-170.476-2542.85i,-171.894-2548.79i,-175.682-2556.75i,-176.733-2559.42i,+0+0j,+0+0j,-160.121-2520.22i,-155.763-2507.27i,-157.308-2507.59i,+0+0j,+0+0j,-136.374-2475.83i,-145.872-2485.7i,+0+0j,-166.531-2544.09i,-166.29-2544.56i,-166.46-2545.04i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-171.2-2526.41i,-173.645-2523.61i,-173.749-2523.48i,-174.878-2519.71i,-174.993-2519.58i
2016-06-03 08:00:00 PDT,-54.1776-2498.03i,+0+0j,+0+0j,+0+0j,+0+0j,-75.1769-2494.95i,-90.993-2490.91i,-93.3936-2473.27i,-93.0963-2471.35i,+0+0j,+0+0j,+0+0j,-130.101-2499.55i,-132.154-2500.25i,+0+0j,+0+0j,-135.746-2502.75i,-136.452-2502.05i,-136.378-2502.43i,+0+0j,+0+0j,-139.761-2505.56i,+0+0j,-134.262-2500.7i,-136.525-2495.94i,+0+0j,+0+0j,+0+0j,-140.652-2504i,+0+0j,-144.25-2505.54i,-144.409-2505.36i,-146.583-2506.96i,-146.889-2506.23i,-148.451-2509.7i,-150.211-2512.7i,-151.997-2515.44i,-122.049-2483.88i,-128.643-2480.59i,-132.918-2478.07i,-132.845-2478i,+0+0j,+0+0j,-149.78-2439.53i,-148.868-2438.07i,-148.228-2437.07i,-146.902-2435.44i,-145.357-2433.42i,-145.376-2433.4i,-162.124-2549.56i,-163.822-2547.66i,-164.94-2546.4i,-165.766-2545.47i,+0+0j,+0+0j,+0+0j,-162.299-2543.56i,-164.695-2546.28i,-165.962-2546.23i,-167.342-2552.18i,-171.006-2560.16i,-172.055-2562.82i,+0+0j,+0+0j,-155.832-2523.46i,-151.617-2510.44i,-153.119-2510.81i,+0+0j,+0+0j,-132.642-2478.59i,-142.049-2488.65i,+0+0j,-161.812-2547.53i,-161.598-2548.02i,-161.768-2548.49i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-166.348-2529.96i,-168.679-2527.3i,-168.856-2527.09i,-169.982-2523.33i,-170.089-2523.21i
2016-06-03 09:00:00 PDT,-53.7354-2498.13i,+0+0j,+0+0j,+0+0j,+0+0j,-74.5156-2495.14i,-90.1327-2491.21i,-92.5397-2473.56i,-92.2431-2471.65i,+0+0j,+0+0j,+0+0j,-129.058-2499.77i,-131.111-2500.47i,+0+0j,+0+0j,-134.722-2502.87i,-135.432-2502.15i,-135.363-2502.5i,+0+0j,+0+0j,-138.732-2505.71i,+0+0j,-133.182-2500.94i,-135.44-2496.17i,+0+0j,+0+0j,+0+0j,-139.565-2504.27i,+0+0j,-143.162-2505.81i,-143.337-2505.62i,-145.459-2507.28i,-145.766-2506.55i,-147.299-2510.04i,-149.037-2513.05i,-150.798-2515.82i,-120.843-2484.32i,-127.364-2481.07i,-131.594-2478.57i,-131.519-2478.5i,+0+0j,+0+0j,-148.359-2440.09i,-147.447-2438.63i,-146.808-2437.61i,-145.482-2435.98i,-143.938-2433.97i,-143.957-2433.94i,-160.551-2550.21i,-162.159-2548.41i,-163.234-2547.2i,-164.008-2546.33i,+0+0j,+0+0j,+0+0j,-160.832-2544.13i,-163.27-2546.86i,-164.543-2546.81i,-165.947-2552.75i,-169.61-2560.71i,-170.656-2563.38i,+0+0j,+0+0j,-154.362-2524.04i,-150.153-2511.03i,-151.622-2511.43i,+0+0j,+0+0j,-131.318-2479.09i,-140.666-2489.17i,+0+0j,-160.273-2548.15i,-160.082-2548.66i,-160.252-2549.13i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-164.868-2530.59i,-167.232-2527.9i,-167.402-2527.69i,-168.552-2523.91i,-168.673-2523.77i
