# file...... Overhead_lines_power_out_B.csv
# date...... Fri Oct 27 14:51:41 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_out_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-07-01 00:00:00 PDT,+6900-1.68052e-08j,+0+0j,+725943+48384.4j,+0+0j,+0+0j,+0+0j,+725773+46421.7j,+3500+4.62455e-09j,+0+0j,+721698+43533.2j,+0+0j,+0+0j,+299628+8188.71j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+43131.6+21591.1j,+0+0j,+43082.3+21541.1j,-5.92573e-06+5.8588e-06j,+0+0j,-5.96315e-06+5.86919e-06j,+0+0j,-5.96769e-06+5.92555e-06j,+0+0j,+0+0j,+0+0j,-5.94482e-06+5.91773e-06j,-5.9413e-06+5.93187e-06j,-5.97297e-06+5.97419e-06j,+0+0j,+0+0j,+25906.1+9871.87j,+216353-32032.2j,+0+0j,+25898.3+9863.98j,+4900-4.91536e-09j,+0+0j,+216195-32255.6j,+42883.6+21441.8j,+173192-53852.1j,+0+0j,+173084-53977.7j,+0+0j,+75116.1+53654.4j,+60904-132624j,+27824.3-132679j,+27757-132746j,+27565.4-132923j,+421373+31616.8j,+421279+31205j,+9100.32+0.725773j,+411639+29598.5j,+9100-2.06223e-08j,+29094.3+9849.78j,+381594+16815.7j,+8100-5.49198e-09j,-2.14694e-05+1.38286e-05j,+0+0j,+225371-177843j,+39701.7+133354j,+0+0j,+0+0j,+0+0j,+0+0j,+225029-178416j,+0+0j,+0+0j,+51025.1-219075j,+88380-35018.4j,+27571.2-219180j,+1.5454e-08-1.03544e-09j,+27327-219615j,+243.95-220052j,+122.648-220294j,+0+0j,+6.0536e-09-220527j,+0+0j,+84794.2-35262.5j,+0+0j,+56704.5-35362.4j,+42678-35418.5j,+13998.8+14.7577j,+0+0j,+14001.4+2.46751j,+0+0j,+14000.6+0.574596j,+8400-4.03361e-09j,+24167.4+0.536851j,+24160-5.07398e-06j,+3.25571e-06-5.07505e-06j,+3.25745e-06-5.06397e-06j,+0+0j,+15432.1+133279j,+0+0j,+0+0j,+42580.8+10.9085j,-27265.2+133215j,+21520-2.51021e-10j,+0+0j,-27565.2+132923j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+256168-13990.4j,+733087+51325.4j,+421504+32270.5j,+265596-43766.2j,+15472.1+133309j
2016-07-01 01:00:00 PDT,+6250+1.38616e-08j,+0+0j,+604594-425670j,+0+0j,+0+0j,+0+0j,+604677-427745j,+2950+1.19726e-08j,+0+0j,+601613-430727j,+0+0j,+0+0j,+259603-160798j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44282+22167j,+0+0j,+44231.3+22115.6j,+1.56682e-05-2.5766e-06j,+0+0j,+1.57035e-05-2.53414e-06j,+0+0j,+1.56818e-05-2.5294e-06j,+0+0j,+0+0j,+0+0j,+1.56607e-05-2.53135e-06j,+1.5662e-05-2.54379e-06j,+1.56656e-05-2.53632e-06j,+0+0j,+0+0j,+14207.8-21403.9j,+187899-169935j,+0+0j,+14201.4-21410.5j,+4320-5.67479e-09j,+0+0j,+187737-170201j,+44341.7+22170.8j,+143265-192613j,+0+0j,+143139-192860j,+0+0j,+77907.1+55648j,+39976.1-210912j,+9362.36-211106j,+9215.49-211313j,+8802.13-211881j,+341667-273875j,+341650-274403j,+8430.27+0.602528j,+332564-276235j,+8430+2.62798e-09j,+17238.2-21504.3j,+314104-258151j,+7370+4.77939e-09j,+1.22911e-05-1.59852e-05j,+0+0j,+185695-420743j,+54336.3+213373j,+0+0j,+0+0j,+0+0j,+0+0j,+184841-421873j,+0+0j,+0+0j,+47184.9-232510j,+60854.3-101728j,+25608.5-232624j,+7.60462e-09-1.68801e-08j,+25354.7-233096j,+257.139-233573j,+129.162-233835j,+0+0j,-1.41299e-08-234089j,+0+0j,+57665.5-102031j,+0+0j,+31504.1-102172j,+18854.6-102293j,+12558.6+14.4892j,+0+0j,+12561.1+1.87199j,+0+0j,+12560.4+0.446051j,+7650+2.53158e-09j,+22686.4-0.344343j,+22680-1.38518e-05j,+1.13686e-05-1.38492e-05j,+1.13842e-05-1.38333e-05j,+0+0j,+31329.6+212994j,+0+0j,+0+0j,+39268.7+8.82156j,-8169.42+212759j,+19840-1.46065e-09j,+0+0j,-8801.79+211880j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+214944-183615j,+610711-422553j,+341678-273024j,+241304-205755j,+31477.9+213180j
2016-07-01 02:00:00 PDT,+6120-9.91395e-09j,+0+0j,+596876-426320j,+0+0j,+0+0j,+0+0j,+596957-428372j,+3000-1.8706e-09j,+0+0j,+593848-431320j,+0+0j,+0+0j,+256525-161179j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44290.8+22171.4j,+0+0j,+44240.1+22120j,+1.63412e-06-8.37089e-06j,+0+0j,+1.6216e-06-8.3746e-06j,+0+0j,+1.6088e-06-8.36651e-06j,+0+0j,+0+0j,+0+0j,+1.65551e-06-8.37228e-06j,+1.65999e-06-8.34607e-06j,+1.66286e-06-8.32516e-06j,+0+0j,+0+0j,+14183-21404.5j,+185373-169995j,+0+0j,+14176.5-21411j,+4290+7.26595e-09j,+0+0j,+185214-170258j,+44352.8+22176.4j,+140732-192673j,+0+0j,+140608-192917j,+0+0j,+77928.3+55663.1j,+37412.4-210984j,+8003.29-211177j,+7856.53-211384j,+7443.58-211951j,+336984-274038j,+336968-274558j,+8160.25+0.564469j,+328161-276370j,+8160-1.29062e-08j,+17073.8-21504.3j,+309882-258247j,+7200+6.38465e-09j,+2.52429e-05-1.30767e-06j,+0+0j,+182585-420885j,+53192+213438j,+0+0j,+0+0j,+0+0j,+0+0j,+181734-422009j,+0+0j,+0+0j,+45256.2-232613j,+59634.5-101762j,+24569.8-232727j,+1.18839e-08+1.46485e-08j,+24316.5-233200j,+257.536-233677j,+129.34-233939j,+0+0j,+1.03319e-08-234192j,+0+0j,+56396.2-102062j,+0+0j,+31324.8-102204j,+18875.3-102324j,+12358.5+14.1938j,+0+0j,+12361+1.80529j,+0+0j,+12360.4+0.42508j,+7470+8.5779e-09j,+21876.1-0.637527j,+21870-9.04514e-07j,+9.5611e-06-8.93061e-07j,+9.55987e-06-8.97951e-07j,+0+0j,+30994.9+213060j,+0+0j,+0+0j,+37578+8.07846j,-6811.41+212827j,+18990-1.29512e-09j,+0+0j,-7443.23+211950j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+211862-183992j,+602865-423238j,+336996-273197j,+237046-205837j,+31144.3+213247j
2016-07-01 03:00:00 PDT,+6150-5.13592e-09j,+0+0j,+609352-425230j,+0+0j,+0+0j,+0+0j,+609431-427315j,+3050+7.57154e-10j,+0+0j,+606259-430309j,+0+0j,+0+0j,+261495-160555j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44270.9+22161.4j,+0+0j,+44220.2+22110.1j,+5.70055e-06-6.73839e-06j,+0+0j,+5.7143e-06-6.71807e-06j,+0+0j,+5.66017e-06-6.71932e-06j,+0+0j,+0+0j,+0+0j,+5.69354e-06-6.71057e-06j,+5.68795e-06-6.70684e-06j,+5.64851e-06-6.70977e-06j,+0+0j,+0+0j,+14215.6-21401.4j,+189488-169874j,+0+0j,+14209.2-21408j,+4330-1.31604e-09j,+0+0j,+189325-170143j,+44329+22164.5j,+144864-192550j,+0+0j,+144737-192799j,+0+0j,+77883.3+55631j,+41603.7-210838j,+10545-211031j,+10397.9-211238j,+9983.86-211807j,+344411-273722j,+344394-274253j,+8170.25+0.566052j,+335561-276098j,+8170+2.50438e-08j,+17095.7-21502.2j,+317228-258045j,+7230-1.93222e-09j,+6.21307e-08+8.77542e-06j,+0+0j,+187568-420586j,+55607.9+213302j,+0+0j,+0+0j,+0+0j,+0+0j,+186711-421719j,+0+0j,+0+0j,+48553.9-232399j,+61383.2-101694j,+26217.5-232512j,+1.86419e-08+2.6113e-08j,+25963.6-232983j,+257.04-233458j,+129.092-233720j,+0+0j,-2.40107e-09-233973j,+0+0j,+58094.5-101999j,+0+0j,+31373.2-102140j,+18843.7-102260j,+12438.6+14.326j,+0+0j,+12441+1.82838j,+0+0j,+12440.4+0.428931j,+7500-2.07456e-09j,+23526.8-0.0169894j,+23520+1.16892e-05j,-1.12147e-05+1.16738e-05j,-1.12231e-05+1.16377e-05j,+0+0j,+31761.4+212922j,+0+0j,+0+0j,+40879.4+9.55173j,-9350.19+212685j,+20640-1.10049e-09j,+0+0j,-9983.51+211806j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+216843-183372j,+615374-422099j,+344423-272865j,+244450-205667j,+31908.8+213108j
2016-07-01 04:00:00 PDT,+6680+1.29844e-08j,+0+0j,+636971-422953j,+0+0j,+0+0j,+0+0j,+637051-425128j,+3400-3.69869e-09j,+0+0j,+633513-428252j,+0+0j,+0+0j,+272366-159233j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44240.3+22146.1j,+0+0j,+44189.7+22094.8j,-7.00057e-06+1.04565e-05j,+0+0j,-7.02254e-06+1.04788e-05j,+0+0j,-6.97745e-06+1.05457e-05j,+0+0j,+0+0j,+0+0j,-7.00787e-06+1.05342e-05j,-7.01414e-06+1.05437e-05j,-7.02647e-06+1.05626e-05j,+0+0j,+0+0j,+14618.3-21399.2j,+198227-169612j,+0+0j,+14611.7-21405.9j,+4750+1.21963e-09j,+0+0j,+198056-169897j,+44292+22146j,+153628-192295j,+0+0j,+153494-192555j,+0+0j,+77813.1+55580.9j,+50469.3-210545j,+15451.3-210738j,+15303.3-210948j,+14886.2-211522j,+360771-273171j,+360753-273728j,+8800.29+0.657019j,+351258-275654j,+8800-4.68572e-09j,+17686.6-21502.7j,+332270-257755j,+7840+4.99949e-09j,+1.07472e-05+1.48683e-06j,+0+0j,+199008-420092j,+59310.9+213037j,+0+0j,+0+0j,+0+0j,+0+0j,+198137-421248j,+0+0j,+0+0j,+55268.1-232045j,+66241.8-101574j,+29631.7-232157j,+7.42048e-09+1.44461e-08j,+29377.1-232625j,+255.72-233097j,+128.473-233358j,+0+0j,-8.42556e-09-233611j,+0+0j,+62601.4-101891j,+0+0j,+32420.1-102032j,+18770.2-102155j,+13558.7+15.9314j,+0+0j,+13561.2+2.17049j,+0+0j,+13560.5+0.504868j,+8130+1.37625e-08j,+25968+1.07754j,+25960-1.10646e-05j,+2.19823e-05-1.10517e-05j,+2.19863e-05-1.10508e-05j,+0+0j,+33024.8+212654j,+0+0j,+0+0j,+47032.5+12.6543j,-14248.3+212410j,+23740-4.65843e-09j,+0+0j,-14885.8+211522j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+227726-182069j,+643519-419686j,+360783-272273j,+259612-205420j,+33168.9+212840j
2016-07-01 05:00:00 PDT,+8120-2.22826e-09j,+0+0j,+676771-419810j,+0+0j,+0+0j,+0+0j,+676856-422114j,+4200+2.13731e-09j,+0+0j,+672499-425422j,+0+0j,+0+0j,+287647-157475j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44199.2+22125.6j,+0+0j,+44148.6+22074.3j,-5.40582e-07-1.29582e-06j,+0+0j,-5.40874e-07-1.24232e-06j,+0+0j,-4.8821e-07-1.17472e-06j,+0+0j,+0+0j,+0+0j,-4.80996e-07-1.15429e-06j,-4.78788e-07-1.12992e-06j,-4.67872e-07-1.10535e-06j,+0+0j,+0+0j,+15655-21395.7j,+210249-169229j,+0+0j,+15648.1-21402.7j,+5810-5.08044e-09j,+0+0j,+210068-169536j,+44242.4+22121.2j,+165684-191921j,+0+0j,+165543-192198j,+0+0j,+77719+55513.7j,+62661.9-210124j,+21806-210317j,+21658.2-210529j,+21240.8-211109j,+384452-272366j,+384432-272958j,+10640.4+0.961192j,+373050-274990j,+10640-3.55794e-09j,+19341.2-21501.4j,+352321-257281j,+9520+1.36943e-08j,+1.96834e-06+6.28354e-06j,+0+0j,+215252-419346j,+63258.6+212641j,+0+0j,+0+0j,+0+0j,+0+0j,+214359-420537j,+0+0j,+0+0j,+63496.5-231544j,+74426.9-101382j,+33980.4-231656j,-1.55218e-08+8.45883e-10j,+33726.1-232122j,+252.627-232591j,+127.048-232853j,+0+0j,+1.42754e-08-233104j,+0+0j,+69982-101722j,+0+0j,+35280-101865j,+18669.4-101996j,+16519.1+20.3917j,+0+0j,+16521.8+3.22448j,+0+0j,+16520.7+0.746006j,+9870+4.16821e-09j,+29669.9+3.13625j,+29660+2.37065e-06j,-7.3968e-06+2.32094e-06j,-7.3824e-06+2.32501e-06j,+0+0j,+33273.6+212257j,+0+0j,+0+0j,+53626.3+16.5217j,-20602.7+212005j,+27100-1.82808e-09j,+0+0j,-21240.5+211109j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+243023-180339j,+684749-416349j,+384461-271410j,+279832-205037j,+33412.6+212439j
2016-07-01 06:00:00 PDT,+9460+6.35919e-09j,+0+0j,+729209-415345j,+0+0j,+0+0j,+0+0j,+729284-417787j,+5100+5.62932e-09j,+0+0j,+723975-421292j,+0+0j,+0+0j,+308050-155044j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44120.5+22086.2j,+0+0j,+44070+22035j,-1.64298e-05+2.12992e-05j,+0+0j,-1.64512e-05+2.1325e-05j,+0+0j,-1.64236e-05+2.13769e-05j,+0+0j,+0+0j,+0+0j,-1.6395e-05+2.13639e-05j,-1.64325e-05+2.13539e-05j,-1.64251e-05+2.13909e-05j,+0+0j,+0+0j,+16697.2-21382.3j,+226614-168665j,+0+0j,+16689.9-21389.6j,+6880+8.7648e-09j,+0+0j,+226418-169001j,+44148.9+22074.4j,+182119-191356j,+0+0j,+181965-191654j,+0+0j,+77542.7+55387.7j,+79324.2-209476j,+30917.1-209667j,+30770.7-209882j,+30355.9-210466j,+415464-270974j,+415441-271605j,+12220.6+1.26983j,+402401-273760j,+12220+1.70076e-10j,+20852-21488.6j,+380010-256288j,+11060-2.98678e-09j,+2.68892e-06+7.60479e-06j,+0+0j,+236462-417987j,+69934.9+212020j,+0+0j,+0+0j,+0+0j,+0+0j,+235538-419229j,+0+0j,+0+0j,+75310.2-230656j,+84043.4-101058j,+39924.4-230767j,-2.99462e-09-4.20243e-09j,+39670.2-231228j,+248.232-231690j,+124.946-231952j,+0+0j,+1.45519e-08-232202j,+0+0j,+78692.2-101427j,+0+0j,+37999.3-101571j,+18547.5-101710j,+19359.8+25.1116j,+0+0j,+19362.5+4.42812j,+0+0j,+19361+1.00995j,+11460+4.91309e-09j,+35153.1+7.0811j,+35140-2.18227e-06j,+9.28925e-06-2.18812e-06j,+9.29287e-06-2.17687e-06j,+0+0j,+34476.3+211633j,+0+0j,+0+0j,+63933.3+23.597j,-29721.6+211368j,+32330+6.23913e-10j,+0+0j,-30355.6+210466j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+263466-177933j,+738537-411674j,+415476-269953j,+307758-204256j,+34605.1+211811j
2016-07-01 07:00:00 PDT,+8350+7.83848e-09j,+0+0j,+722732-415774j,+0+0j,+0+0j,+0+0j,+722767-418116j,+4850+4.32647e-09j,+0+0j,+717656-421474j,+0+0j,+0+0j,+305272-155495j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44073.7+22062.7j,+0+0j,+44023.3+22011.6j,+9.35873e-06-4.21308e-06j,+0+0j,+9.35771e-06-4.19835e-06j,+0+0j,+9.31499e-06-4.21562e-06j,+0+0j,+0+0j,+0+0j,+9.37749e-06-4.13929e-06j,+9.37487e-06-4.14355e-06j,+9.34937e-06-4.13145e-06j,+0+0j,+0+0j,+16081.9-21366.2j,+225216-168659j,+0+0j,+16074.8-21373.4j,+6260-4.0277e-09j,+0+0j,+225018-168987j,+44096.5+22048.2j,+180770-191309j,+0+0j,+180616-191599j,+0+0j,+77445.7+55318.4j,+78069.7-209382j,+31913.8-209568j,+31769-209778j,+31359-210350j,+411871-270550j,+411842-271159j,+10490.4+0.936967j,+400524-273264j,+10490+1.44428e-09j,+19507.4-21467.7j,+379451-255734j,+9710-6.08816e-09j,+2.026e-06-1.06863e-06j,+0+0j,+230782-417412j,+75094.3+211889j,+0+0j,+0+0j,+0+0j,+0+0j,+229868-418638j,+0+0j,+0+0j,+73609-230274j,+80082.2-100953j,+38593.4-230384j,+9.35897e-09+1.94876e-08j,+38340.6-230841j,+248.069-231299j,+124.742-231559j,+0+0j,-3.98722e-09-231809j,+0+0j,+74985-101310j,+0+0j,+35942.7-101453j,+18571.9-101586j,+17279.2+21.803j,+0+0j,+17281.9+3.50427j,+0+0j,+17280.8+0.777696j,+10050+5.02405e-09j,+41617.5+13.0382j,+41600-8.54311e-06j,+1.11989e-05-8.53016e-06j,+1.12046e-05-8.54412e-06j,+0+0j,+33172.9+211496j,+0+0j,+0+0j,+63643.1+23.3901j,-30731.9+211234j,+32160-3.81988e-11j,+0+0j,-31358.7+210349j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+260734-178340j,+731012-412254j,+411896-269568j,+307220-203826j,+33298.5+211671j
2016-07-01 08:00:00 PDT,+7610-3.47472e-09j,+0+0j,+700945-417627j,+0+0j,+0+0j,+0+0j,+700973-419858j,+4950+1.77006e-08j,+0+0j,+695770-423053j,+0+0j,+0+0j,+296689-156580j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44077.9+22064.8j,+0+0j,+44027.5+22013.7j,+3.01322e-06+7.32648e-06j,+0+0j,+3.02353e-06+7.33509e-06j,+0+0j,+2.99805e-06+7.3233e-06j,+0+0j,+0+0j,+0+0j,+3.02143e-06+7.32203e-06j,+3.02161e-06+7.35285e-06j,+2.98754e-06+7.33033e-06j,+0+0j,+0+0j,+15827.3-21361.2j,+218387-168826j,+0+0j,+15820.3-21368.2j,+5990-8.96762e-10j,+0+0j,+218196-169137j,+44104.2+22052.1j,+173946-191453j,+0+0j,+173797-191730j,+0+0j,+77461.6+55329.7j,+71205.9-209534j,+28755.9-209718j,+28612.9-209924j,+28208.4-210485j,+398583-270827j,+398555-271406j,+9110.31+0.706752j,+388645-273424j,+9110-1.27416e-08j,+18584.8-21458.9j,+368546-255743j,+8770-3.33694e-09j,-2.17383e-06+1.53482e-06j,+0+0j,+221657-417522j,+73262.5+211995j,+0+0j,+0+0j,+0+0j,+0+0j,+220757-418725j,+0+0j,+0+0j,+68600.3-230370j,+75872.2-100993j,+35715-230480j,+1.75159e-09-3.00604e-09j,+35464.3-230935j,+248.801-231393j,+125.005-231652j,+0+0j,+6.79574e-09-231902j,+0+0j,+70678.1-101337j,+0+0j,+34766-101479j,+18635.9-101609j,+16038.9+19.8389j,+0+0j,+16041.6+2.97928j,+0+0j,+16040.6+0.631604j,+9060-7.95535e-09j,+40466.7+11.8645j,+40450+1.40789e-06j,-8.0695e-06+1.36143e-06j,-8.05155e-06+1.36523e-06j,+0+0j,+32494.1+211608j,+0+0j,+0+0j,+59830.4+20.6593j,-27589.3+211355j,+30230-6.20639e-09j,+0+0j,-28208.1+210485j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+252163-179392j,+708495-414273j,+398610-269895j,+296241-203851j,+32620.2+211782j
2016-07-01 09:00:00 PDT,+8420+1.17261e-08j,+0+0j,+702093-417888j,+0+0j,+0+0j,+0+0j,+702120-420127j,+6300-3.33421e-09j,+0+0j,+695574-423323j,+0+0j,+0+0j,+296389-156763j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44082.9+22067.3j,+0+0j,+44032.4+22016.2j,-8.06452e-06+8.0435e-06j,+0+0j,-8.05822e-06+8.08147e-06j,+0+0j,-8.07845e-06+8.07688e-06j,+0+0j,+0+0j,+0+0j,-8.0582e-06+8.09177e-06j,-8.09439e-06+8.07664e-06j,-8.12912e-06+8.04863e-06j,+0+0j,+0+0j,+16907.7-21362.1j,+217431-168764j,+0+0j,+16900.4-21369.5j,+7070-4.87671e-09j,+0+0j,+217245-169075j,+44113.4+22056.7j,+172987-191395j,+0+0j,+172840-191671j,+0+0j,+77479.8+55342.7j,+70227.5-209485j,+28547.4-209670j,+28404.8-209875j,+28000.9-210434j,+398695-270920j,+398668-271499j,+9380.33+0.749222j,+388491-273518j,+9380+1.14687e-09j,+19394.7-21459.7j,+367593-255826j,+9580-1.5234e-09j,-1.75983e-05+2.05831e-05j,+0+0j,+222685-417537j,+71277+211933j,+0+0j,+0+0j,+0+0j,+0+0j,+221784-418742j,+0+0j,+0+0j,+66974.6-230403j,+78520.2-100983j,+34869.9-230512j,-1.10916e-09+1.23983e-08j,+34622-230966j,+247.881-231423j,+124.544-231681j,+0+0j,-1.03173e-08-231930j,+0+0j,+71974.8-101332j,+0+0j,+36922.3-101479j,+18631.9-101614j,+18199+23.1476j,+0+0j,+18202+3.77214j,+0+0j,+18200.7+0.749588j,+9870+9.88621e-09j,+39926.3+11.3322j,+39910-3.99358e-06j,+1.92852e-05-4.0022e-06j,+1.93193e-05-3.99442e-06j,+0+0j,+31047.7+211550j,+0+0j,+0+0j,+58179.3+19.5482j,-27382.7+211301j,+29410-1.01863e-10j,+0+0j,-28000.6+210434j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+251862-179578j,+710451-414521j,+398722-269985j,+295288-203927j,+31174.7+211722j
