# file...... Overhead_lines_power_in_B.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-08-05 00:00:00 PDT,+6690.31+0.318577j,-0+0j,+713754+50290.6j,+0+0j,+0+0j,+0+0j,+713534+47433.6j,+3150.09+0.0909812j,-0+0j,+710231+45526.8j,+0+0j,-0+0j,+295216+9424.53j,+0+0j,+0+0j,+0+0j,+0+0j,-0+0j,+43139.5+21613.3j,+0+0j,+43149+21599.8j,-7.33808e-06+4.48285e-06j,-0+0j,-7.3042e-06+4.52584e-06j,+0+0j,-7.28347e-06+4.57e-06j,+0+0j,+0+0j,+0+0j,-7.2813e-06+4.54069e-06j,-7.31025e-06+4.52661e-06j,-7.27722e-06+4.57997e-06j,+0+0j,+0+0j,+25624.3+9894.89j,+212747-31901.2j,-0+0j,+25628+9879.39j,+4620.28+0.284932j,-0+0j,+212592-32115.6j,+42950.4+21499.2j,+169487-53830.5j,-0+0j,+169417-53933.2j,+0+0j,+75168.7+53704.5j,+57177.6-132673j,+25476.5-132742j,+25417.4-132797j,+25351-132863j,+414272+32046.7j,+414146+31414.5j,+9029.73+1.66219j,+405028+31014.5j,+9030.32+0.714424j,+28895+9867.79j,+375619+19590j,+7890.63+0.639855j,+2.03947e-05-8.38207e-06j,-0+0j,+220690-177347j,+38017.6+133504j,+0+0j,+0+0j,+0+0j,-0+0j,+220251-178012j,+0+0j,+0+0j,+48473.1-218832j,+86218.1-34649.6j,+26228.1-219265j,+7.60128e-09+1.5697e-08j,+26174.1-219370j,+450.126-219807j,+244.576-220247j,-0+0j,+122.962-220489j,+0+0j,+82925.6-35042.8j,-0+0j,+56201.8-35279.9j,+42714-35405.8j,+13438.5+26.6223j,-0+0j,+13438.8+14.0147j,-0+0j,+13441.3+2.28861j,+8190.54+0.545736j,+22818.5-0.304566j,+22816.8-0.0530239j,+4.98827e-06-5.51706e-06j,+4.96961e-06-5.5448e-06j,-0+0j,+15066.6+133416j,+0+0j,+0+0j,+39793.8+24.0879j,-24768.5+133361j,+20129.4+9.52783j,-0+0j,-24865.8+133326j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+251742-13929j,+720827+53847.8j,+414472+33295.9j,+258801-43040.8j,+15126.4+133460j
2016-08-05 01:00:00 PDT,+6160.27+0.268957j,+0+0j,+596710-423227j,+0+0j,+0+0j,+0+0j,+596844-426312j,+2800.07+0.0708304j,+0+0j,+594128-428367j,+0+0j,+0+0j,+256924-159812j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44305.2+22172.1j,+0+0j,+44293.5+22172.7j,+9.83441e-06-7.6964e-06j,+0+0j,+9.83026e-06-7.66918e-06j,+0+0j,+9.86717e-06-7.64247e-06j,+0+0j,+0+0j,+0+0j,+9.81546e-06-7.63962e-06j,+9.83346e-06-7.66267e-06j,+9.80884e-06-7.67746e-06j,+0+0j,+0+0j,+14096.3-21382.2j,+185620-169752j,+0+0j,+14092.9-21405.3j,+4200.22+0.227956j,+0+0j,+185461-170013j,+44403.6+22226.6j,+140898-192502j,+0+0j,+140817-192692j,+0+0j,+77947.7+55690.5j,+37641.9-210803j,+7963.26-211004j,+7829.2-211198j,+7682.54-211404j,+337120-273213j,+337109-274054j,+8399.69+1.42255j,+328694-274577j,+8400.27+0.598127j,+17161.1-21497.6j,+310886-254889j,+7280.52+0.523316j,-9.9147e-06+1.07891e-05j,+0+0j,+183588-419499j,+53264.4+213652j,+0+0j,+0+0j,+0+0j,+0+0j,+182519-420919j,+0+0j,+0+0j,+45538-232172j,+59917.6-101287j,+24716.8-232636j,+1.69989e-09-1.98655e-08j,+24660.3-232750j,+476.671-233224j,+257.511-233702j,+0+0j,+129.348-233964j,+0+0j,+56734.9-101769j,+0+0j,+31446.5-102069j,+18967-102238j,+12318+27.3299j,+0+0j,+12318.5+14.151j,+0+0j,+12321+1.80655j,+7560.43+0.435371j,+21787.7-1.18085j,+21786-0.668523j,+8.39082e-06+9.89356e-07j,+8.38999e-06+9.94835e-07j,+0+0j,+31107.4+213268j,+0+0j,+0+0j,+37380+20.2219j,-6422.09+213062j,+18897.9+7.99293j,+0+0j,-6638.08+212848j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+212271-183337j,+602672-419314j,+337096-271506j,+237227-204766j,+31276.9+213461j
2016-08-05 02:00:00 PDT,+6100.26+0.263736j,+0+0j,+592456-423582j,+0+0j,+0+0j,+0+0j,+592591-426650j,+2700.06+0.0658571j,+0+0j,+589975-428692j,+0+0j,+0+0j,+255252-160013j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44311.1+22175.3j,+0+0j,+44299.6+22175.8j,+1.25463e-05-3.36838e-07j,+0+0j,+1.25538e-05-3.0624e-07j,+0+0j,+1.25518e-05-2.73739e-07j,+0+0j,+0+0j,+0+0j,+1.25832e-05-2.56743e-07j,+1.25685e-05-2.75888e-07j,+1.26067e-05-2.78672e-07j,+0+0j,+0+0j,+14019.2-21382.9j,+184274-169798j,+0+0j,+14015.8-21406j,+4120.22+0.219321j,+0+0j,+184116-170057j,+44410.8+22230.2j,+139547-192547j,+0+0j,+139467-192736j,+0+0j,+77961.2+55700.2j,+36272.2-210855j,+7153.86-211056j,+7019.62-211250j,+6873.05-211456j,+334640-273310j,+334630-274146j,+8379.69+1.41611j,+326234-274665j,+8380.26+0.59522j,+17104.3-21497.9j,+308488-254966j,+7220.51+0.514655j,-3.66174e-06+1.38028e-05j,+0+0j,+181851-419594j,+52591.7+213701j,+0+0j,+0+0j,+0+0j,+0+0j,+180784-421012j,+0+0j,+0+0j,+44498.5-232239j,+59198.8-101312j,+24228-232703j,-2.94113e-08-1.03249e-08j,+24171.4-232817j,+477.772-233292j,+257.728-233770j,+0+0j,+129.457-234033j,+0+0j,+56116.5-101791j,+0+0j,+31298.2-102089j,+18978.8-102257j,+12158+26.9302j,+0+0j,+12158.5+13.9281j,+0+0j,+12161+1.76376j,+7500.42+0.428357j,+21317.5-1.40963j,+21315.8-0.826704j,+2.14452e-05-1.55399e-05j,+2.14488e-05-1.55631e-05j,+0+0j,+30905.2+213318j,+0+0j,+0+0j,+36368.9+19.1389j,-5613.81+213112j,+18387.5+7.56514j,+0+0j,-5829.32+212899j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+210599-183535j,+598359-419690j,+334618-271614j,+234815-204821j,+31074.5+213510j
2016-08-05 03:00:00 PDT,+5940.25+0.250105j,+0+0j,+603507-422534j,+0+0j,+0+0j,+0+0j,+603635-425639j,+2700.07+0.0658723j,+0+0j,+601015-427706j,+0+0j,+0+0j,+259737-159421j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44289.8+22164.1j,+0+0j,+44277.8+22164.9j,+1.08448e-05+6.93349e-06j,+0+0j,+1.08363e-05+6.95623e-06j,+0+0j,+1.08843e-05+7.03104e-06j,+0+0j,+0+0j,+0+0j,+1.08928e-05+7.02111e-06j,+1.0913e-05+7.05495e-06j,+1.08915e-05+7.05154e-06j,+0+0j,+0+0j,+13942.6-21379.1j,+188068-169678j,+0+0j,+13939.2-21402.2j,+4050.21+0.212044j,+0+0j,+187906-169942j,+44384.9+22217.3j,+143358-192426j,+0+0j,+143276-192618j,+0+0j,+77912.5+55665.4j,+40144.2-210712j,+9659.86-210913j,+9526.02-211106j,+9379.02-211313j,+341182-272978j,+341170-273827j,+8099.68+1.33098j,+333054-274354j,+8100.25+0.556328j,+16896.9-21495.1j,+315500-254688j,+7020.48+0.486772j,-1.74764e-06-1.42255e-06j,+0+0j,+186174-419280j,+55303.3+213568j,+0+0j,+0+0j,+0+0j,+0+0j,+185102-420701j,+0+0j,+0+0j,+47709.6-232015j,+60370.6-101240j,+25756.3-232479j,-6.81719e-09-1.46091e-08j,+25699.7-232592j,+475.416-233065j,+257.454-233541j,+0+0j,+129.299-233802j,+0+0j,+57288.2-101723j,+0+0j,+30990-102025j,+18950.6-102192j,+11878.1+26.2231j,+0+0j,+11878.6+13.5655j,+0+0j,+11881+1.68087j,+7290.4+0.405083j,+23078.4-0.494978j,+23076.6-0.196404j,-1.02413e-05+1.93352e-05j,-1.02749e-05+1.93126e-05j,+0+0j,+31855.4+213181j,+0+0j,+0+0j,+39822.6+22.9433j,-8115.25+212972j,+20108.9+9.05582j,+0+0j,-8332.32+212759j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+215087-182949j,+609252-418600j,+341158-271256j,+241857-204614j,+32025.2+213375j
2016-08-05 04:00:00 PDT,+6440.29+0.294056j,+0+0j,+643872-418929j,+0+0j,+0+0j,+0+0j,+643996-422209j,+3000.08+0.0813696j,+0+0j,+641072-424393j,+0+0j,+0+0j,+275727-157389j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44235.7+22135.3j,+0+0j,+44222+22137j,+1.07066e-05+9.66502e-07j,+0+0j,+1.06996e-05+1.01693e-06j,+0+0j,+1.07108e-05+1.03807e-06j,+0+0j,+0+0j,+0+0j,+1.07203e-05+1.06201e-06j,+1.06971e-05+1.07384e-06j,+1.07102e-05+1.06958e-06j,+0+0j,+0+0j,+14298-21371.9j,+201110-169267j,+0+0j,+14294.6-21395.2j,+4430.25+0.254061j,+0+0j,+200935-169554j,+44317.6+22183.6j,+156442-192026j,+0+0j,+156352-192230j,+0+0j,+77785.4+55574.6j,+53398.1-210254j,+17289.8-210460j,+17157.4-210652j,+17009.4-210862j,+365226-271981j,+365213-272886j,+8719.7+1.52659j,+356474-273447j,+8720.29+0.645374j,+17450.1-21491j,+338316-253896j,+7600.56+0.571246j,-8.42612e-06+9.42438e-06j,+0+0j,+202388-418386j,+61987+213153j,+0+0j,+0+0j,+0+0j,+0+0j,+201293-419829j,+0+0j,+0+0j,+57750-231394j,+66733.1-101007j,+30828-231861j,+1.2559e-08+5.7249e-09j,+30771.4-231973j,+465.867-232441j,+255.484-232911j,+0+0j,+128.354-233173j,+0+0j,+63346.4-101519j,+0+0j,+31926-101838j,+18846.3-102006j,+12918.5+28.8535j,+0+0j,+12918.7+15.0709j,+0+0j,+12921.1+1.98907j,+7890.47+0.475856j,+27901.1+2.83024j,+27899+2.08562j,-5.79625e-06+2.88287e-06j,-5.77081e-06+2.87417e-06j,+0+0j,+33713.8+212757j,+0+0j,+0+0j,+49304.8+35.2217j,-15733.1+212536j,+24873.7+13.8877j,+0+0j,-15955.1+212324j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+231077-180967j,+650116-414778j,+365190-270143j,+264786-204040j,+33885.7+212954j
2016-08-05 05:00:00 PDT,+7940.44+0.447051j,+0+0j,+675649-416369j,+0+0j,+0+0j,+0+0j,+675789-419815j,+3900.14+0.137549j,+0+0j,+671973-422108j,+0+0j,+0+0j,+287827-155965j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44211.2+22121.9j,+0+0j,+44196.4+22124.2j,+6.0754e-06+4.73721e-06j,+0+0j,+6.10554e-06+4.75693e-06j,+0+0j,+6.138e-06+4.78176e-06j,+0+0j,+0+0j,+0+0j,+6.16054e-06+4.82244e-06j,+6.15702e-06+4.8453e-06j,+6.16928e-06+4.82053e-06j,+0+0j,+0+0j,+15419-21370.4j,+210379-168945j,+0+0j,+15415.7-21394.6j,+5570.4+0.401935j,+0+0j,+210198-169249j,+44286.7+22168.2j,+165730-191724j,+0+0j,+165636-191938j,+0+0j,+77726.6+55532.7j,+62776.6-209927j,+21905.6-210137j,+21774.9-210330j,+21627.4-210542j,+384037-271375j,+384027-272327j,+10579.8+2.18799j,+373428-272919j,+10580.4+0.95046j,+19170.3-21491.6j,+353515-253450j,+9340.85+0.863321j,+1.77205e-05-8.31285e-06j,+0+0j,+215738-417840j,+63906.8+212848j,+0+0j,+0+0j,+0+0j,+0+0j,+214618-419311j,+0+0j,+0+0j,+63823.3-231050j,+74125.8-100829j,+34097.4-231521j,-6.83742e-09-5.57698e-09j,+34041.2-231633j,+456.488-232099j,+252.702-232568j,+0+0j,+127.085-232830j,+0+0j,+69830.4-101378j,+0+0j,+34965.8-101716j,+18764.6-101895j,+16039.3+37.0897j,+0+0j,+16039.1+19.6818j,+0+0j,+16041.7+3.05575j,+9690.71+0.719093j,+30002.4+4.66375j,+30000.1+3.34166j,+1.04112e-05+3.14952e-07j,+1.04257e-05+3.33941e-07j,+0+0j,+33530.7+212450j,+0+0j,+0+0j,+53741.4+41.9458j,-20349.2+212225j,+27156.4+16.5726j,+0+0j,-20573.8+212016j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+243171-179603j,+683382-411995j,+383985-269438j,+280079-203726j,+33703.9+212648j
2016-08-05 06:00:00 PDT,+9650.65+0.660579j,+0+0j,+723147-412310j,+0+0j,+0+0j,+0+0j,+723289-415954j,+5150.24+0.240028j,+0+0j,+718221-418378j,+0+0j,+0+0j,+306128-153758j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44149.5+22089.2j,+0+0j,+44132.9+22092.4j,+7.97634e-06-4.51992e-06j,+0+0j,+7.99142e-06-4.45319e-06j,+0+0j,+8.00646e-06-4.4015e-06j,+0+0j,+0+0j,+0+0j,+8.01131e-06-4.35645e-06j,+8.03579e-06-4.33102e-06j,+7.99605e-06-4.3305e-06j,+0+0j,+0+0j,+16814.5-21359j,+224692-168406j,+0+0j,+16811.3-21384.2j,+6990.63+0.634054j,+0+0j,+224499-168735j,+44211.7+22130.6j,+180094-191198j,+0+0j,+179994-191427j,+0+0j,+77585.2+55431.7j,+77324.8-209344j,+29579.7-209560j,+29452.9-209751j,+29307.2-209965j,+411966-270154j,+411957-271165j,+12509.9+3.00257j,+399425-271793j,+12510.6+1.33054j,+21095.5-21480.8j,+377521-252442j,+11291.2+1.26357j,+5.73301e-06+1.36357e-05j,+0+0j,+235403-416637j,+68336+212286j,+0+0j,+0+0j,+0+0j,+0+0j,+234244-418149j,+0+0j,+0+0j,+73713.8-230301j,+84068.8-100488j,+39120.2-230777j,+1.60389e-08+1.06197e-08j,+39064.5-230889j,+441.15-231351j,+248.182-231815j,+0+0j,+124.941-232077j,+0+0j,+78510-101091j,+0+0j,+38538.8-101458j,+18654.9-101651j,+19720.7+47.5531j,+0+0j,+19719.8+25.6956j,+0+0j,+19722.6+4.59693j,+11701+1.0522j,+34015.1+8.81511j,+34012.4+6.17803j,+1.62522e-05-6.11528e-06j,+1.62381e-05-6.12142e-06j,+0+0j,+33949.7+211884j,+0+0j,+0+0j,+61855+55.7758j,-28035.2+211650j,+31301.8+22.0775j,+0+0j,-28262.6+211445j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+261476-177463j,+732597-407678j,+411896-268096j,+304211-202961j,+34122.6+212082j
2016-08-05 07:00:00 PDT,+8580.52+0.522358j,+0+0j,+715898-412945j,+0+0j,+0+0j,+0+0j,+715982-416434j,+4700.2+0.200051j,+0+0j,+711326-418756j,+0+0j,+0+0j,+303049-154276j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44105.6+22067.5j,+0+0j,+44089.3+22070.5j,-1.15022e-05+1.53677e-05j,+0+0j,-1.15049e-05+1.53942e-05j,+0+0j,-1.15252e-05+1.53804e-05j,+0+0j,+0+0j,+0+0j,-1.14911e-05+1.54051e-05j,-1.14638e-05+1.54136e-05j,-1.14938e-05+1.54392e-05j,+0+0j,+0+0j,+16110.1-21344.1j,+223067-168439j,+0+0j,+16106.9-21368.8j,+6280.51+0.512298j,+0+0j,+222872-168759j,+44162.3+22105.8j,+178515-191187j,+0+0j,+178414-191410j,+0+0j,+77493.6+55366.1j,+75830.3-209289j,+30312.3-209498j,+30186.9-209685j,+30043.1-209893j,+408075-269787j,+408053-270759j,+11019.8+2.36837j,+397005-271363j,+11020.5+1.03377j,+19831.3-21460.7j,+376359-251978j,+10021+0.996633j,+1.67288e-05-1.17963e-05j,+0+0j,+229298-416109j,+73272.1+212187j,+0+0j,+0+0j,+0+0j,+0+0j,+228156-417605j,+0+0j,+0+0j,+71741.2-229948j,+79954.1-100409j,+37789.6-230420j,-2.36536e-09+8.10921e-10j,+37734.1-230531j,+441.889-230990j,+247.962-231452j,+0+0j,+124.729-231712j,+0+0j,+74852.3-100992j,+0+0j,+36444.8-101348j,+18682.6-101534j,+17599.7+41.6585j,+0+0j,+17599.3+22.315j,+0+0j,+17602+3.65599j,+10380.8+0.82913j,+40450.8+17.2338j,+40446.7+11.8447j,-4.20414e-06+9.39429e-06j,-4.21672e-06+9.40627e-06j,+0+0j,+32452.2+211774j,+0+0j,+0+0j,+61113.8+54.502j,-28788.2+211544j,+30901.3+21.5517j,+0+0j,-29012.6+211343j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+258433-177920j,+724348-408530j,+408032-267808j,+303043-202532j,+32625.1+211971j
2016-08-05 08:00:00 PDT,+7040.35+0.351665j,+0+0j,+682373-415810j,+0+0j,+0+0j,+0+0j,+682442-419064j,+4000.14+0.144899j,+0+0j,+678479-421230j,+0+0j,+0+0j,+290246-155886j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44114.5+22073.1j,+0+0j,+44099.4+22075.6j,+9.72098e-07+8.18791e-07j,+0+0j,+9.43845e-07+8.358e-07j,+0+0j,+9.67964e-07+9.01345e-07j,+0+0j,+0+0j,+0+0j,+9.46738e-07+8.7091e-07j,+9.62948e-07+8.80452e-07j,+9.15517e-07+8.46795e-07j,+0+0j,+0+0j,+15082.5-21339.1j,+213300-168756j,+0+0j,+15079.2-21363j,+5230.35+0.355184j,+0+0j,+213113-169054j,+44176+22112.7j,+168750-191466j,+0+0j,+168655-191674j,+0+0j,+77520.6+55385.4j,+66003.7-209577j,+25526.4-209778j,+25401.7-209961j,+25259.8-210165j,+388027-270284j,+388003-271186j,+8919.71+1.59774j,+379057-271747j,+8920.3+0.677348j,+18036-21450.9j,+360248-252252j,+8200.66+0.667393j,+1.58176e-06+4.6643e-06j,+0+0j,+214953-416402j,+71458.5+212415j,+0+0j,+0+0j,+0+0j,+0+0j,+213840-417866j,+0+0j,+0+0j,+65111.8-230144j,+72113.6-100536j,+33986.2-230610j,-8.36829e-09-9.01799e-09j,+33930.7-230721j,+449.525-231180j,+249.857-231642j,+0+0j,+125.533-231901j,+0+0j,+67721.8-101079j,+0+0j,+33459.3-101414j,+18778.7-101588j,+14518.7+33.313j,+0+0j,+14518.7+17.5716j,+0+0j,+14521.4+2.4755j,+8490.55+0.553959j,+38809.6+14.9001j,+38805.5+10.2481j,+3.19563e-06-5.55388e-06j,+3.2135e-06-5.55728e-06j,+0+0j,+32286.3+212007j,+0+0j,+0+0j,+56185.4+46.029j,-24026.7+211785j,+28398+18.1915j,+0+0j,-24245+211585j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+245656-179443j,+689294-411710j,+388000-268446j,+286855-202673j,+32455.9+212202j
2016-08-05 09:00:00 PDT,+7070.35+0.354648j,+0+0j,+672417-416775j,+0+0j,+0+0j,+0+0j,+672491-419985j,+4050.15+0.148523j,+0+0j,+668481-422121j,+0+0j,+0+0j,+286168-156437j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44128.8+22080.7j,+0+0j,+44114.1+22083j,+2.56234e-05-7.93498e-06j,+0+0j,+2.56225e-05-7.91736e-06j,+0+0j,+2.56434e-05-7.90417e-06j,+0+0j,+0+0j,+0+0j,+2.56779e-05-7.86343e-06j,+2.56884e-05-7.85813e-06j,+2.56761e-05-7.85546e-06j,+0+0j,+0+0j,+15129.4-21340.7j,+209896-168860j,+0+0j,+15126-21364.6j,+5270.36+0.360505j,+0+0j,+209713-169151j,+44194+22121.7j,+165336-191566j,+0+0j,+165243-191771j,+0+0j,+77554.7+55409.8j,+62544-209693j,+23548.3-209892j,+23423.6-210076j,+23282.2-210278j,+382119-270551j,+382096-271439j,+8929.71+1.60052j,+373142-271991j,+8930.3+0.678706j,+18073.3-21451.5j,+354311-252465j,+8230.66+0.672078j,-9.31297e-06+1.34781e-05j,+0+0j,+210886-416627j,+69576.4+212513j,+0+0j,+0+0j,+0+0j,+0+0j,+209779-418085j,+0+0j,+0+0j,+62229.8-230306j,+70879.1-100591j,+32577.4-230770j,+9.75075e-09+2.26836e-08j,+32522-230881j,+451.64-231341j,+250.152-231805j,+0+0j,+125.681-232064j,+0+0j,+66438.2-101128j,+0+0j,+33566.1-101459j,+18805.6-101634j,+14598.6+33.5252j,+0+0j,+14598.7+17.6635j,+0+0j,+14601.4+2.49887j,+8520.55+0.557487j,+37808.8+13.5438j,+37804.8+9.32076j,+6.209e-06+4.71266e-06j,+6.20346e-06+4.74844e-06j,+0+0j,+31405.5+212108j,+0+0j,+0+0j,+53330.9+41.4601j,-22054.8+211892j,+26966.2+16.3934j,+0+0j,-22271.3+211692j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+241582-179981j,+679365-412727j,+382094-268742j,+280897-202826j,+31574.7+212303j
2016-08-05 10:00:00 PDT,+7310.37+0.379187j,+0+0j,+690678-415140j,+0+0j,+0+0j,+0+0j,+690739-418425j,+4450.18+0.179367j,+0+0j,+686319-420611j,+0+0j,+0+0j,+293273-155546j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44100.7+22065.9j,+0+0j,+44085.3+22068.5j,+2.78588e-05-9.93662e-06j,+0+0j,+2.78534e-05-9.92414e-06j,+0+0j,+2.79366e-05-9.86164e-06j,+0+0j,+0+0j,+0+0j,+2.79175e-05-9.85113e-06j,+2.78893e-05-9.89506e-06j,+2.79127e-05-9.84087e-06j,+0+0j,+0+0j,+15439.1-21335.7j,+215623-168644j,+0+0j,+15435.8-21359.9j,+5590.4+0.405911j,+0+0j,+215434-168945j,+44160.3+22104.8j,+171085-191354j,+0+0j,+170988-191565j,+0+0j,+77491.3+55364.6j,+68373.4-209454j,+27135.2-209656j,+27010.8-209839j,+26868.8-210042j,+392826-270052j,+392800-270964j,+9009.71+1.62825j,+383763-271531j,+9010.31+0.691291j,+18302-21447.9j,+364675-252060j,+8470.7+0.712331j,+7.57634e-06+7.06967e-06j,+0+0j,+218183-416162j,+72664.4+212296j,+0+0j,+0+0j,+0+0j,+0+0j,+217064-417631j,+0+0j,+0+0j,+66549.3-229993j,+73937.7-100470j,+34672.7-230459j,-1.37254e-09-2.22144e-09j,+34617.4-230569j,+446.807-231026j,+249.132-231486j,+0+0j,+125.17-231745j,+0+0j,+69094.2-101023j,+0+0j,+34160.9-101362j,+18760.2-101539j,+15238.8+35.2325j,+0+0j,+15238.8+18.6448j,+0+0j,+15241.5+2.70849j,+8760.58+0.590173j,+40210.8+16.8995j,+40206.5+11.6003j,+1.79145e-05-3.92373e-06j,+1.78997e-05-3.94602e-06j,+0+0j,+32090.4+211885j,+0+0j,+0+0j,+57597.8+48.3945j,-25633.8+211662j,+29108.9+19.1243j,+0+0j,-25853.1+211463j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+248686-179111j,+697881-411000j,+392800-268193j,+291298-202530j,+32260.5+212081j
