# file...... underground_lines_power_in_C.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= underground_line
# property.. power_in_C
# limit..... -1
# interval.. 3600
# timestamp,O60-62,O62-63,O63-64,O64-65,O65-66
2016-08-05 00:00:00 PDT,+136435+50465.4j,+94180.9+29394.7j,+94120.8+29382.5j,+94000.3+29358.1j,+32161.8+2.08045j
2016-08-05 01:00:00 PDT,+136029+51057.6j,+93693.4+29945j,+93635.4+29933.1j,+93519.3+29909.2j,+31000.9+1.9288j
2016-08-05 02:00:00 PDT,+136054+51072.5j,+93707.5+29954.2j,+93649.5+29942.3j,+93533.3+29918.4j,+31000.9+1.92828j
2016-08-05 03:00:00 PDT,+135405+51024.2j,+93089.9+29921.2j,+93032.6+29909.4j,+92917.8+29885.8j,+30420.5+1.85801j
2016-08-05 04:00:00 PDT,+136329+50886.1j,+94119.1+29836.6j,+94060.5+29824.5j,+93943.1+29800.4j,+31581.4+2.00782j
2016-08-05 05:00:00 PDT,+143164+50784.8j,+101035+29780.7j,+100968+29767.1j,+100834+29739.7j,+38597+3.00735j
2016-08-05 06:00:00 PDT,+164568+50511.1j,+122584+29598.3j,+122488+29579j,+122294+29540.4j,+60281.9+7.38262j
2016-08-05 07:00:00 PDT,+180371+50334.5j,+138398+29442.3j,+138276+29418.2j,+138032+29370j,+76036.8+11.775j
2016-08-05 08:00:00 PDT,+188033+50320.3j,+145998+29404.4j,+145862+29377.8j,+145592+29324.7j,+83510.5+14.1976j
2016-08-05 09:00:00 PDT,+188588+50354.5j,+146525+29425.2j,+146388+29398.5j,+146116+29345.1j,+84001.4+14.3565j
2016-08-05 10:00:00 PDT,+189833+50277.7j,+147821+29375.1j,+147682+29347.9j,+147405+29293.6j,+85354.2+14.8436j
2016-08-05 11:00:00 PDT,+185755+50253.4j,+143783+29367.2j,+143652+29341.3j,+143388+29289.6j,+81386.5+13.5011j
2016-08-05 12:00:00 PDT,+195081+50125.2j,+153165+29276.5j,+153016+29247.4j,+152717+29189.2j,+90795.5+16.8493j
2016-08-05 13:00:00 PDT,+198037+50039.4j,+156183+29225.4j,+156028+29195.1j,+155718+29134.7j,+93882.3+18.0503j
2016-08-05 14:00:00 PDT,+201651+49893j,+159919+29144.1j,+159756+29112.4j,+159430+29049.2j,+97761.4+19.6424j
2016-08-05 15:00:00 PDT,+206215+49572.4j,+164745+28960.5j,+164572+28926.8j,+164224+28859.5j,+102904+21.9211j
2016-08-05 16:00:00 PDT,+160546+49739.4j,+119248+29166.7j,+119155+29148j,+118968+29110.8j,+57849.2+6.91029j
2016-08-05 17:00:00 PDT,+147790+49814.9j,+106519+29245.2j,+106444+29229.9j,+106293+29199.4j,+45203.9+4.21504j
2016-08-05 18:00:00 PDT,+149676+49892.8j,+108354+29298.7j,+108277+29283j,+108121+29251.6j,+46975.8+4.54729j
2016-08-05 19:00:00 PDT,+157217+49788.3j,+115966+29236.3j,+115878+29218.5j,+115701+29183.1j,+54665+6.17488j
2016-08-05 20:00:00 PDT,+159404+49991.5j,+118016+29372.4j,+117925+29354.1j,+117742+29317.6j,+56547.3+6.587j
2016-08-05 21:00:00 PDT,+152043+50387.7j,+110317+29593j,+110237+29576.9j,+110078+29544.8j,+48417.1+4.78444j
2016-08-05 22:00:00 PDT,+145725+50709.3j,+103715+29767.1j,+103645+29752.8j,+103504+29724.1j,+41449.7+3.4795j
2016-08-05 23:00:00 PDT,+139836+50943.3j,+97610.7+29888.7j,+97548.1+29875.9j,+97422.5+29850.2j,+35064+2.47522j
2016-08-06 00:00:00 PDT,+138302+50987.1j,+96027.6+29906.6j,+95966.9+29894.2j,+95845.2+29869.2j,+33412.7+2.24448j
2016-08-06 01:00:00 PDT,+137229+51028.5j,+94916.3+29928.2j,+94856.9+29916j,+94737.8+29891.5j,+32251.8+2.08905j
2016-08-06 02:00:00 PDT,+137256+51045.3j,+94931.6+29938.8j,+94872.1+29926.5j,+94753.1+29902.1j,+32251.8+2.08843j
2016-08-06 03:00:00 PDT,+136601+50993.2j,+94310.7+29903.3j,+94252+29891.2j,+94134.3+29867.1j,+31671.4+2.01542j
2016-08-06 04:00:00 PDT,+138091+50851.4j,+95911.5+29818.5j,+95850.8+29806j,+95729.2+29781j,+33412.8+2.24957j
2016-08-06 05:00:00 PDT,+133959+50837.7j,+91844.8+29834.4j,+91788.7+29822.8j,+91676.2+29799.6j,+29449.9+1.74947j
2016-08-06 06:00:00 PDT,+141239+50676.9j,+99252.6+29742.9j,+99187.7+29729.6j,+99057.5+29703j,+37015.7+2.77487j
2016-08-06 07:00:00 PDT,+138396+50724.8j,+96350.8+29759.4j,+96289.5+29746.8j,+96166.4+29721.6j,+34033.3+2.34158j
2016-08-06 08:00:00 PDT,+139943+50765.9j,+97827.6+29766.2j,+97764.5+29753.2j,+97638.2+29727.4j,+35404.3+2.53021j
2016-08-06 09:00:00 PDT,+139506+50801.6j,+97362.2+29787.7j,+97299.7+29774.9j,+97174.6+29749.3j,+34903.9+2.4574j
2016-08-06 10:00:00 PDT,+139648+50736.9j,+97552.9+29747.1j,+97490.1+29734.3j,+97364.4+29708.6j,+35154.1+2.4957j
2016-08-06 11:00:00 PDT,+135340+50716.7j,+93282.4+29742.9j,+93224.6+29730.9j,+93108.7+29707.1j,+30941+1.93408j
2016-08-06 12:00:00 PDT,+137339+50645.3j,+95335.7+29700.2j,+95275.5+29687.8j,+95154.8+29663j,+33062.5+2.21186j
2016-08-06 13:00:00 PDT,+140065+50574.1j,+98125.3+29662.8j,+98061.6+29649.8j,+97934.1+29623.7j,+35934.8+2.61778j
2016-08-06 14:00:00 PDT,+143335+50439.3j,+101511+29588.2j,+101443+29574.3j,+101307+29546.6j,+39468+3.168j
2016-08-06 15:00:00 PDT,+139902+50182.2j,+98321.7+29450.6j,+98257.4+29437.4j,+98128.4+29411.1j,+36605.5+2.7402j
2016-08-06 16:00:00 PDT,+145844+49847.5j,+104561+29269.8j,+104489+29255.1j,+104343+29225.6j,+43231.8+3.85311j
2016-08-06 17:00:00 PDT,+148212+49780.9j,+106993+29237.1j,+106917+29221.7j,+106764+29191j,+45744.5+4.32216j
2016-08-06 18:00:00 PDT,+149847+49861.2j,+108580+29294.7j,+108502+29278.9j,+108345+29247.4j,+47276.1+4.61195j
2016-08-06 19:00:00 PDT,+160296+49721.8j,+119118+29209.3j,+119025+29190.6j,+118838+29153.3j,+57909.4+6.94512j
2016-08-06 20:00:00 PDT,+162233+49926.3j,+120917+29346.3j,+120822+29327.1j,+120630+29288.9j,+59541.5+7.31907j
2016-08-06 21:00:00 PDT,+154322+50319.6j,+112656+29556.7j,+112573+29539.9j,+112407+29506.5j,+50829.9+5.28245j
2016-08-06 22:00:00 PDT,+148040+50662.3j,+106073+29743.5j,+106000+29728.5j,+105852+29698.7j,+43862.1+3.90152j
2016-08-06 23:00:00 PDT,+141021+50906.6j,+98825.2+29867.6j,+98761.1+29854.5j,+98632.5+29828.2j,+36315.1+2.65728j
2016-08-07 00:00:00 PDT,+138302+50987.2j,+96027.7+29906.7j,+95966.9+29894.2j,+95845.2+29869.2j,+33412.7+2.24448j
