# file...... Overhead_lines_power_in_A.csv
# date...... Fri Oct 27 14:51:55 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-10-07 00:00:00 PDT,+0-0i,+0-0i,+1.03027e+06+151601i,+0+0j,+0+0j,+0+0j,+1.02139e+06+144263i,+0-0i,+88738.3+30680.7i,+929720+108741i,+62126.2+30597.7i,+0-0i,+403705-51704.5i,+41465.6+20744.4i,+20575.1+9766.67i,+0+0j,+0+0j,+55273.9+19083.6i,+124167+58998.7i,+41378+19047.2i,+0-0i,+124094+58852.4i,+0-0i,+124048+58712.4i,+41341.8+18930i,+82645.8+39619.8i,+41333.3+18906.6i,+0-0i,+41325+18887.1i,+41294.3+20662.8i,+7.93803e-06-2.23297e-06i,+7.92812e-06-2.25963e-06i,+0+0j,+0+0j,+41473.6+20776.4i,+167608-145804i,+41445.5+20736.6i,+0-0i,+0+0j,+0-0i,+167509-145994i,+0-0i,+162629-146183i,+26530.7+9451.33i,+136009-155810i,+5770.42+0.424894i,+72871.3+52066.1i,+26418.2-232232i,+9571.82-232534i,+9467.69-232847i,+1840.04-233143i,+501117+151916i,+485869+150648i,+20623+10314.6i,+474808+416667i,-1.14479e-08+1.37802e-08i,+0-0i,+472793+413296i,+0+0j,-1.45215e-06+5.96175e-06i,+56860.3+71.2724i,+217842+87558.6i,+122414+268326i,+49644.3+44.9108i,+28617+17.2547i,+23826.3+6.38218i,+0-0i,+217461+87289.2i,+0+0j,+0+0j,+58579.6-195395i,+56500.3+229639i,+58466-195665i,+43187.8+21607.4i,+15246.4-217345i,+15133.9-217793i,+14996.4-218265i,+0-0i,+67.5543-218492i,+0+0j,+55683.7+228278i,+21023.2-52572i,+34129+279968i,+0-0i,+33713.1+279191i,+0-0i,+33388+278598i,+33121.6+277991i,+6.39379e-07-5.73177e-06i,+0-0i,+20999+3.73881i,+7.90852e-06-6.10028e-06i,+7.89323e-06-6.07591e-06i,+7.89227e-06-6.055e-06i,+0-0i,+101192+267324i,+0+0j,+0+0j,+0-0i,+101053+266724i,+0+0j,+102150+30870.6i,-1217.25+235158i,+76980.7+30658.3i,+10032.4+2.41584i,+66863.7+30570.1i,+45829.7+21163.2i,+3560.17+0.172631i,+222387-132338i,+1.05265e+06+161771i,+522453+154685i,+398458+358377i,+101309+267817i
2016-10-07 01:00:00 PDT,-0+0i,-0+0i,+864042-352259i,+0+0j,+0+0j,+0+0j,+856105-358788i,-0+0i,+77682.6+365.94i,+775920-363465i,+52027.6+310.248i,-0+0i,+304598-338028i,+42423.6+21223.7i,+9556.82-20961.3i,+0+0j,+0+0j,+31766.6-42618.5i,+80841-63405.7i,+18718.2-42647.3i,-0+0i,+80828.3-63499.2i,-0+0i,+80810.7-63592.8i,+18663.5-42730.2i,+62119-20961.8i,+18654.2-42756.8i,-0+0i,+18646-42776.3i,+43466+21749.6i,+7.60482e-07-1.14946e-05i,+7.53062e-07-1.14816e-05i,+0+0j,+0+0j,+43330.1+21719.6i,+133989-250305i,+43300.1+21664.6i,-0+0i,+0+0j,-0+0i,+133793-250651i,-0+0i,+129134-250995i,+14668.7-21425.7i,+114282-229871i,+5390.35+0.353498i,+76409.6+54594.2i,+13658.4-246772i,-2543.52-247062i,-2691.94-247360i,-9883.12-247641i,+447557-33270.5i,+433284-34387i,+21339.2+10672.9i,+420438+297414i,+2.20557e-09+3.90932e-09i,-0+0i,+419009+294897i,+0+0j,+1.12958e-05+1.45622e-06i,+54672.6+63.4364i,+167261-12745.1i,+122175+251971i,+47919.5+40.0623i,+27505.2+15.3514i,+23035.6+5.72014i,-0+0i,+166996-12812.9i,+0+0j,+0+0j,+59655.4-204004i,+55228.5+296489i,+59526-204285i,+45092.4+22560.3i,+14398.1-226921i,+14268.1-227386i,+14114.2-227873i,-0+0i,+76.7792-228109i,+0+0j,+54187.6+294260i,+20413.7-54621.7i,+33096.8+347436i,-0+0i,+32579.6+346250i,-0+0i,+32119.4+345370i,+31731.4+344477i,-1.08904e-05-2.95944e-06i,-0+0i,+20388.9+3.39431i,-2.10394e-06-1.08471e-05i,-2.10961e-06-1.08548e-05i,-2.13072e-06-1.08674e-05i,-0+0i,+101600+251244i,+0+0j,+0+0j,-0+0i,+101478+250800i,+0+0j,+90601.8+721.177i,+10772.6+249565i,+66347.4+574.919i,+9412+2.02636i,+56883.7+520.436i,+47693.9+22216.3i,+3320.14+0.143016i,+190375-235536i,+885350-343180i,+468179-30822.9i,+345080+240744i,+101701+251601i
2016-10-07 02:00:00 PDT,-0+0i,-0+0i,+863505-352269i,+0+0j,+0+0j,+0+0j,+855572-358791i,-0+0i,+77623.7+366.219i,+775448-363464i,+52028.8+310.612i,-0+0i,+304465-338017i,+42424.2+21223.9i,+9557.37-20961.2i,+0+0j,+0+0j,+31767.9-42618.3i,+80844.2-63405i,+18719.5-42647.1i,-0+0i,+80831.4-63498.5i,-0+0i,+80813.8-63592.1i,+18664.8-42729.9i,+62120.8-20961.3i,+18655.5-42756.6i,-0+0i,+18647.3-42776.1i,+43466.5+21749.8i,+1.7041e-06-1.18863e-05i,+1.71891e-06-1.18986e-05i,+0+0j,+0+0j,+43330.8+21719.9i,+133881-250310i,+43300.8+21664.9i,-0+0i,+0+0j,-0+0i,+133684-250657i,-0+0i,+129026-251001i,+14669.4-21425.7i,+114173-229877i,+5390.35+0.353492i,+76411.1+54595.2i,+13546.4-246779i,-2625.56-247069i,-2774-247367i,-9965.17-247648i,+447283-33272.7i,+433011-34387.9i,+21339.7+10673.2i,+420279+297424i,-2.29917e-08-1.18451e-08i,-0+0i,+418851+294908i,+0+0j,+7.76672e-07+3.46372e-06i,+54552.3+63.136i,+167261-12740.6i,+122139+251979i,+47799.3+39.8654i,+27445.1+15.2791i,+22975.6+5.69016i,-0+0i,+166996-12808.5i,+0+0j,+0+0j,+59656.9-204010i,+55222.7+296499i,+59527.4-204291i,+45093.6+22560.9i,+14398.2-226927i,+14268.2-227392i,+14114.2-227879i,-0+0i,+76.783-228115i,+0+0j,+54181.9+294270i,+20353.7-54623.3i,+33151.2+347447i,-0+0i,+32634.1+346261i,-0+0i,+32173.9+345381i,+31785.8+344488i,+8.45779e-06+4.86484e-06i,-0+0i,+20328.9+3.377i,+1.02881e-05-3.51254e-06i,+1.02913e-05-3.52735e-06i,+1.02911e-05-3.50371e-06i,-0+0i,+101624+251252i,+0+0j,+0+0j,-0+0i,+101502+250808i,+0+0j,+90543.8+721.634i,+10854.6+249573i,+66349.7+575.567i,+9412+2.0263i,+56885.9+521.082i,+47695.2+22217i,+3320.14+0.143011i,+190237-235524i,+884748-343200i,+467843-30828.4i,+344923+240756i,+101725+251610i
2016-10-07 03:00:00 PDT,-0+0i,-0+0i,+880494-351964i,+0+0j,+0+0j,+0+0j,+872378-358701i,-0+0i,+79457.9+363.001i,+790367-363513i,+52010.3+304.724i,-0+0i,+308665-338280i,+42414.2+21219i,+9548.91-20962.1i,+0+0j,+0+0j,+31327.3-42624i,+80799.8-63418.2i,+18699.1-42652.6i,-0+0i,+80789-63512.6i,-0+0i,+80773.1-63606.9i,+18645.6-42737.1i,+62100.3-20969.3i,+18636.3-42763.8i,-0+0i,+18628-42783.3i,+43465.4+21749.2i,+4.23919e-06+1.78759e-06i,+4.22368e-06+1.8032e-06i,+0+0j,+0+0j,+43323.4+21716.2i,+137633-250059i,+43293.4+21661.2i,-0+0i,+0+0j,-0+0i,+137434-250409i,-0+0i,+132684-250756i,+14717.2-21427.9i,+117782-229632i,+5450.36+0.361492i,+76391.3+54581.2i,+17197.6-246516i,+79.0908-246805i,-68.5873-247104i,-7219.45-247384i,+455750-33326.3i,+441899-34478i,+21331.4+10669i,+425663+297709i,+1.27091e-08+7.47449e-09i,-0+0i,+424212+295167i,+0+0j,+7.47857e-06+4.71467e-06i,+58943.6+74.5853i,+167563-12252.5i,+123429+251696i,+52216.8+47.4055i,+29697.8+18.0499i,+25136.7+6.81545i,-0+0i,+167300-12318.2i,+0+0j,+0+0j,+59177.5-203938i,+56083.1+296930i,+59052.7-204218i,+45075.6+22551.9i,+13942.5-226846i,+13816-227313i,+13663.8-227804i,-0+0i,+76.7689-228040i,+0+0j,+55033.7+294696i,+22514.3-54596.8i,+31836.6+347845i,-0+0i,+31318.6+346659i,-0+0i,+30857.2+345780i,+30468.5+344885i,-1.85449e-06-7.27988e-06i,-0+0i,+22489.1+4.03116i,+7.51782e-06-7.85651e-06i,+7.50036e-06-7.86508e-06i,+7.49027e-06-7.84927e-06i,-0+0i,+100751+250970i,+0+0j,+0+0j,-0+0i,+100628+250526i,+0+0j,+92420.3+715.661i,+8106.63+249298i,+66180+563.411i,+9201.91+1.93782i,+56926.6+509.256i,+47753+22205.9i,+3400.15+0.150062i,+194939-235829i,+903945-342559i,+478502-30780.6i,+350923+240990i,+100853+251325i
2016-10-07 04:00:00 PDT,-0+0i,-0+0i,+936550-350427i,+0+0j,+0+0j,+0+0j,+927757-357908i,-0+0i,+84791+348.228i,+840197-363194i,+51935.4+281.802i,-0+0i,+324399-338961i,+42369.9+21196.8i,+9518.39-20962.7i,+0+0j,+0+0j,+32505.1-42631.8i,+80597-63457.7i,+18616.2-42661.2i,-0+0i,+80591.2-63554.1i,-0+0i,+80579.3-63650.2i,+18566.9-42750.5i,+61987.7-21000.2i,+18557.7-42777.3i,-0+0i,+18549.4-42796.8i,+43432.1+21732.2i,+9.38981e-06-9.73617e-06i,+9.35731e-06-9.76472e-06i,+0+0j,+0+0j,+43272.9+21690.8i,+149740-249326i,+43242.8+21635.9i,-0+0i,+0+0j,-0+0i,+149532-249687i,-0+0i,+144393-250047i,+15139.2-21430.9i,+129063-228930i,+5920.42+0.427126i,+76280.2+54501.8i,+28675.5-245724i,+8565.16-246014i,+8417.95-246314i,+626.138-246590i,+484646-33255.6i,+469401-34542.2i,+21294.2+10650.4i,+443271+297781i,-1.20289e-08-1.41339e-08i,-0+0i,+441746+295141i,+0+0j,-1.05242e-05+1.10694e-05i,+69944.9+106.336i,+168506-11598.5i,+126714+250851i,+62597.1+67.988i,+35195.4+25.7109i,+30249.8+9.89478i,-0+0i,+168247-11657.7i,+0+0j,+0+0j,+60425.5-203558i,+56073.7+297233i,+60308.5-203838i,+44989.4+22508.8i,+15285.6-226422i,+15165.4-226894i,+15014.5-227393i,-0+0i,+76.56-227630i,+0+0j,+55004.7+294997i,+27386-54484.9i,+26923.5+348033i,-0+0i,+26404.1+346853i,-0+0i,+25940.4+345977i,+25550.4+345081i,-4.78241e-06-4.53472e-06i,-0+0i,+27359.7+5.71042i,+4.87697e-07-6.89561e-06i,+4.93448e-07-6.87989e-06i,+4.95744e-07-6.84534e-06i,-0+0i,+99162.1+250129i,+0+0j,+0+0j,-0+0i,+99037.3+249683i,+0+0j,+98680.8+691.773i,+262.135+248481i,+67189.2+517.859i,+10092.3+2.33614i,+57043.7+461.583i,+47934.8+22157.1i,+3680.17+0.17619i,+209695-236677i,+964977-339912i,+512349-30367.6i,+366201+240879i,+99264.2+250475i
2016-10-07 05:00:00 PDT,-0+0i,-0+0i,+1.03489e+06-346874i,+0+0j,+0+0j,+0+0j,+1.02414e+06-355773i,-0+0i,+92784.3+321.749i,+928190-361956i,+51805.6+242.077i,-0+0i,+353865-339741i,+42293.6+21158.6i,+9464.99-20964.2i,+0+0j,+0+0j,+35716.1-42644.5i,+80227-63528.8i,+18464.9-42676.1i,-0+0i,+80229-63628.6i,-0+0i,+80223.7-63727.5i,+18423.3-42773.5i,+61779.8-21056.1i,+18414.5-42800.9i,-0+0i,+18406.2-42820.4i,+43368.7+21700i,+9.64326e-06-9.01757e-06i,+9.62739e-06-9.01995e-06i,+0+0j,+0+0j,+43181.3+21644.3i,+172315-248039i,+43150.7+21589.8i,-0+0i,+0+0j,-0+0i,+172086-248430i,-0+0i,+165494-248818i,+16721.3-21436.1i,+148568-227719i,+7590.69+0.703898i,+76081+54359.4i,+48536.4-244355i,+23334.8-244650i,+23187-244953i,+13351.6-245228i,+535780-33007.1i,+516880-34553.8i,+21231.1+10618.6i,+474754+297917i,-1.21423e-08+1.99459e-08i,-0+0i,+473105+295092i,+0+0j,+1.3348e-05+6.04773e-06i,+88167.2+169.451i,+169849-10561.1i,+132295+249443i,+78836.9+108.32i,+44430.5+41.0213i,+38045.5+15.7172i,-0+0i,+169596-10609i,+0+0j,+0+0j,+63863.4-202914i,+54502.9+297688i,+63756.2-203194i,+44845+22436.5i,+18879.2-225709i,+18766.7-226187i,+18616.4-226702i,-0+0i,+76.1593-226940i,+0+0j,+53400.1+295445i,+34369-54297.1i,+18315.3+348292i,-0+0i,+17791.8+347116i,-0+0i,+17322.2+346243i,+16928.3+345342i,+4.00227e-06-1.06364e-05i,-0+0i,+34341.1+8.55422i,-4.19528e-07+2.18582e-06i,-4.37708e-07+2.21204e-06i,-4.4951e-07+2.20845e-06i,-0+0i,+97759+248723i,+0+0j,+0+0j,-0+0i,+97631.9+248271i,+0+0j,+110004+658.827i,-12456.1+247099i,+70530.1+441.991i,+12633.6+3.67485i,+57837.6+378.657i,+48845.4+22073.5i,+4760.29+0.295938i,+236289-237790i,+1.0698e+06-334298i,+570412-29478.5i,+391433+240665i,+97860.3+249059i
2016-10-07 06:00:00 PDT,-0+0i,-0+0i,+1.08945e+06-343895i,+0+0j,+0+0j,+0+0j,+1.07651e+06-353666i,-0+0i,+95178.3+301.729i,+977917-360385i,+51725.4+217.802i,-0+0i,+372950-339612i,+42245.8+21134.7i,+9432.79-20964.4i,+0+0j,+0+0j,+39398-42645.8i,+79970.5-63570.4i,+18364-42680.3i,-0+0i,+79975.6-63671.5i,-0+0i,+79972.8-63771.4i,+18327.1-42781.6i,+61627.2-21092.6i,+18318.8-42809.8i,-0+0i,+18310.5-42829.3i,+43312.3+21671.8i,+1.07054e-05-6.45618e-06i,+1.0707e-05-6.48531e-06i,+0+0j,+0+0j,+43112.1+21608.9i,+186632-247370i,+43080.8+21554.8i,-0+0i,+0+0j,-0+0i,+186383-247787i,-0+0i,+177880-248200i,+18822.8-21436.8i,+158841-227119i,+9751.15+1.16376i,+75938.1+54257.3i,+59055.9-243646i,+31242.8-243946i,+31091.8-244253i,+18731.8-244530i,+565023-32655.7i,+542083-34371.8i,+21192.2+10598.9i,+492627+297599i,+5.80207e-09-7.0858e-10i,-0+0i,+490918+294652i,+0+0j,+5.28713e-06+2.07164e-06i,+96426.9+199.511i,+169569-10511.6i,+135125+248760i,+84654.6+126.244i,+48807.8+48.4815i,+40527.6+17.877i,-0+0i,+169317-10552.5i,+0+0j,+0+0j,+67831.4-202500i,+50584.8+297364i,+67723.3-202785i,+44755.9+22392i,+22935-225257i,+22821.7-225740i,+22669-226262i,-0+0i,+75.8626-226501i,+0+0j,+49468.2+295120i,+35799.6-54186.5i,+12946.1+347858i,-0+0i,+12419.5+346681i,-0+0i,+11946.1+345807i,+11548.9+344905i,-2.44867e-06+1.04951e-05i,-0+0i,+35771.3+9.42043i,+3.86848e-06+8.40642e-06i,+3.85691e-06+8.39542e-06i,+3.84705e-06+8.41663e-06i,-0+0i,+99161.8+248031i,+0+0j,+0+0j,-0+0i,+99034.9+247572i,+0+0j,+116778+644.648i,-17824.2+246407i,+74766.1+399.773i,+15605.5+5.62092i,+59094.2+326.955i,+50177.2+22020.9i,+6200.5+0.503367i,+251873-237897i,+1.12448e+06-330154i,+600743-28752.3i,+402286+240119i,+99261.7+248369i
2016-10-07 07:00:00 PDT,-0+0i,-0+0i,+1.04876e+06-345900i,+0+0j,+0+0j,+0+0j,+1.03672e+06-355038i,-0+0i,+91840+320.135i,+941728-361363i,+51813+242.099i,-0+0i,+360815-339222i,+42307+21165.3i,+9459.01-20970.8i,+0+0j,+0+0j,+37375.3-42663i,+80203.9-63559.6i,+18442.8-42695.9i,-0+0i,+80206.2-63659.6i,-0+0i,+80201.1-63758.5i,+18402.5-42794.1i,+61778.5-21066.8i,+18394-42822i,-0+0i,+18385.8-42841.5i,+43387.9+21709.8i,+6.22538e-06-3.97254e-06i,+6.23864e-06-3.90787e-06i,+0+0j,+0+0j,+43200+21653.3i,+177916-247802i,+43168.9+21599i,-0+0i,+0+0j,-0+0i,+177682-248207i,-0+0i,+169744-248610i,+18168.1-21446.6i,+151369-227510i,+9050.99+1.00036i,+76116.2+54384.6i,+51325.4-244152i,+25519-244452i,+25371.1-244761i,+14015.5-245041i,+543730-33221.4i,+523075-34810.6i,+21245.2+10625.5i,+481138+299222i,-1.18736e-09+6.41408e-09i,-0+0i,+479502+296376i,+0+0j,+1.27456e-05+1.78222e-06i,+89991.5+173.753i,+170568-9205.19i,+132911+249337i,+79178.7+110.13i,+45661.8+42.3121i,+37935.4+15.6117i,-0+0i,+170310-9254.66i,+0+0j,+0+0j,+65716.5-203104i,+53412.5+299316i,+65606.5-203390i,+44888.1+22458.1i,+20685.8-225927i,+20570.3-226411i,+20418-226930i,-0+0i,+76.2765-227170i,+0+0j,+52294.9+297047i,+33478.5-54341.6i,+18092.9+349924i,-0+0i,+17562.6+348734i,-0+0i,+17087.2+347851i,+16687.6+346941i,-7.61961e-06-1.29993e-05i,-0+0i,+33451.1+7.88i,+9.36898e-06-2.70688e-06i,+9.36588e-06-2.72995e-06i,+9.35445e-06-2.71519e-06i,-0+0i,+99266.3+248608i,+0+0j,+0+0j,-0+0i,+99140.1+248147i,+0+0j,+112183+674.565i,-13127.9+246948i,+73110.6+449.238i,+14154.5+4.60976i,+58892.8+380.573i,+49915.6+22089.7i,+5800.43+0.439117i,+241591-237331i,+1.0812e+06-333069i,+577014-29620.8i,+394618+241956i,+99365.5+248949i
2016-10-07 08:00:00 PDT,-0+0i,-0+0i,+966156-349471i,+0+0j,+0+0j,+0+0j,+956233-357403i,-0+0i,+85808.6+350.302i,+867675-362978i,+51951.4+282.317i,-0+0i,+334967-338626i,+42396.9+21210.3i,+9507.46-20975.7i,+0+0j,+0+0j,+33316.7-42673.5i,+80594.9-63515.9i,+18587.2-42703.4i,-0+0i,+80591.4-63613.5i,-0+0i,+80581.5-63710.5i,+18540.1-42795.2i,+62018-21016.4i,+18531.2-42822.5i,-0+0i,+18522.9-42841.9i,+43489.4+21760.9i,-3.46631e-06-4.98815e-06i,-3.46371e-06-4.94948e-06i,+0+0j,+0+0j,+43324.9+21716.5i,+158768-248700i,+43294.3+21661.7i,-0+0i,+0+0j,-0+0i,+158558-249080i,-0+0i,+152245-249458i,+16351.4-21453.5i,+135703-228333i,+7150.61+0.622322i,+76375.2+54569.7i,+35249.8-245157i,+13517.2-245456i,+13372-245764i,+4421.43-246047i,+500400-33922.5i,+484282-35280i,+21322.8+10664.6i,+455631+300929i,-1.11423e-08-5.16235e-09i,-0+0i,+454117+298260i,+0+0j,-1.12292e-05+6.69991e-06i,+76414.5+126.132i,+170889-8115.16i,+128448+250417i,+67919.4+80.451i,+38830.4+30.7704i,+32711.4+11.5518i,-0+0i,+170625-8177.75i,+0+0j,+0+0j,+61409.2-203959i,+57537.3+301268i,+61295.1-204243i,+45075.5+22551.9i,+16186.4-226873i,+16067.1-227353i,+15915.8-227862i,-0+0i,+76.9456-228101i,+0+0j,+56432.6+298977i,+29066.7-54568.2i,+26649.3+352063i,-0+0i,+26117.2+350859i,-0+0i,+25642.4+349966i,+25242.3+349049i,-1.43321e-06-1.53609e-06i,-0+0i,+29040.2+5.99141i,+9.13801e-07-1.46455e-06i,+9.20637e-07-1.45842e-06i,+9.1246e-07-1.44329e-06i,-0+0i,+99212.1+249684i,+0+0j,+0+0j,-0+0i,+99086.2+249225i,+0+0j,+102542+715.203i,-3548.75+247986i,+69116.9+527.726i,+11052.8+2.79777i,+58007.9+467.937i,+48920.9+22191.2i,+4600.27+0.274905i,+219495-236414i,+994542-338348i,+529299-30869.3i,+376844+244021i,+99313.2+250033i
2016-10-07 09:00:00 PDT,-0+0i,-0+0i,+929129-350629i,+0+0j,+0+0j,+0+0j,+919876-358050i,-0+0i,+82495.8+361.152i,+834774-363303i,+52003.8+298.356i,-0+0i,+324323-338236i,+42427.6+21225.7i,+9529.01-20975.1i,+0+0j,+0+0j,+32534.7-42668.3i,+80738.6-63488.4i,+18645.7-42697.6i,-0+0i,+80731.9-63584.6i,-0+0i,+80719.3-63680.5i,+18595.8-42786.2i,+62098.5-20994.7i,+18586.7-42813.3i,-0+0i,+18578.5-42832.8i,+43513.8+21773.2i,+3.93347e-06-4.69208e-06i,+3.90984e-06-4.69229e-06i,+0+0j,+0+0j,+43360.9+21734.6i,+150421-249183i,+43330.5+21679.8i,-0+0i,+0+0j,-0+0i,+150217-249553i,-0+0i,+144382-249921i,+15855.3-21451.6i,+128341-228790i,+6620.53+0.532948i,+76453.7+54625.8i,+27748.5-245678i,+7920.63-245975i,+7775.27-246283i,-574.427-246568i,+481390-34001.8i,+466200-35266.9i,+21348.4+10677.4i,+443978+300958i,+3.98902e-09-4.74516e-09i,-0+0i,+442511+298357i,+0+0j,+3.77033e-06+1.51805e-05i,+69081.3+102.609i,+170504-8450.64i,+126180+250968i,+61174.5+65.3254i,+35134.8+25.0812i,+29489.2+9.37212i,-0+0i,+170237-8518.14i,+0+0j,+0+0j,+60578.7-204220i,+57777.6+301172i,+60459.5-204504i,+45134.7+22581.5i,+15291-227163i,+15167.6-227640i,+15015.4-228143i,-0+0i,+77.0982-228382i,+0+0j,+56685.8+298883i,+26025.5-54644.8i,+29951.5+352044i,-0+0i,+29420.4+350837i,-0+0i,+28947.3+349942i,+28548.1+349025i,-5.89424e-06-5.49073e-06i,-0+0i,+25999.8+4.87097i,-1.384e-06+1.82151e-06i,-1.37563e-06+1.82831e-06i,-1.38997e-06+1.8554e-06i,-0+0i,+99986.4+250233i,+0+0j,+0+0j,-0+0i,+99861.7+249776i,+0+0j,+98317.9+730.627i,+1446.32+248521i,+68188.1+558.51i,+10372.4+2.46017i,+57761+500.664i,+48628.9+22224.8i,+4240.23+0.233196i,+209494-235908i,+954451-340261i,+507208-31181.5i,+366826+244179i,+100087+250587i
2016-10-07 10:00:00 PDT,-0+0i,-0+0i,+928199-350747i,+0+0j,+0+0j,+0+0j,+919204-358155i,-0+0i,+82738.6+362.314i,+833864-363402i,+52006.2+299.149i,-0+0i,+323772-338292i,+42428.8+21226.2i,+9530.25-20974.9i,+0+0j,+0+0j,+32538.5-42667.9i,+80748.5-63486.7i,+18649.6-42697.3i,-0+0i,+80741.6-63582.8i,-0+0i,+80729-63678.7i,+18599.5-42785.8i,+62104.3-20993.2i,+18590.4-42812.8i,-0+0i,+18582.1-42832.2i,+43515.9+21774.2i,+5.21762e-06-2.59453e-06i,+5.19682e-06-2.5996e-06i,+0+0j,+0+0j,+43363.5+21736i,+149769-249181i,+43333.1+21681.1i,-0+0i,+0+0j,-0+0i,+149567-249550i,-0+0i,+143984-249917i,+15607.7-21451.6i,+128190-228785i,+6370.49+0.493415i,+76459.2+54629.7i,+27588-245677i,+7775.45-245975i,+7630.32-246282i,-519.136-246567i,+480890-34027.7i,+465702-35289.8i,+21349.5+10678i,+443609+301021i,-6.5431e-09+3.79021e-09i,-0+0i,+442144+298423i,+0+0j,-5.32869e-06+1.00446e-05i,+68720.4+101.779i,+170769-8375.85i,+126010+250966i,+61014+64.8867i,+34884.5+24.8563i,+29489.2+9.37134i,-0+0i,+170502-8443.99i,+0+0j,+0+0j,+60581.6-204231i,+58027.7+301256i,+60462.3-204515i,+45137.3+22582.8i,+15291.1-227175i,+15167.8-227651i,+15015.5-228154i,-0+0i,+77.118-228393i,+0+0j,+56935.9+298965i,+26115.6-54648i,+30111.2+352130i,-0+0i,+29580.1+350922i,-0+0i,+29107.1+350027i,+28708+349110i,-3.49883e-06-6.61435e-07i,-0+0i,+26089.8+4.88633i,+8.51383e-06-3.42138e-07i,+8.52226e-06-3.15248e-07i,+8.50598e-06-3.29314e-07i,-0+0i,+99726.1+250233i,+0+0j,+0+0j,-0+0i,+99601.2+249776i,+0+0j,+98113.3+731.042i,+1390.52+248521i,+67894.2+559.652i,+10272.4+2.41273i,+57567.6+502.334i,+48432.8+22226.5i,+4040.21+0.211694i,+208933-235959i,+953812-340390i,+506856-31212i,+366561+244249i,+99827.1+250585i
