# file...... Overhead_lines_power_in_C.csv
# date...... Fri Oct 27 14:51:55 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_C
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-10-07 00:00:00 PDT,+0+0j,+84388.8+31920j,+743696-16464.2j,+20393.4+3.40863j,+63913.3+31833.4j,+43027.8+21525.9j,+742195-19085.1j,+0+0j,+0+0j,+741200-20839.1j,+0+0j,+71706.9+21442.2j,+163883-127996j,+0+0j,+0+0j,+23108.2+8.28078j,+5770.48+0.481948j,+0+0j,+52481.7-7.28781j,+0+0j,+0+0j,+52468.6-3.41524j,+21620.5+10.6211j,+30829.7-8.2022j,+11643.1+1.14314j,+19177.3+0.488783j,-1.95743e-08+4.17302e-09j,+11641.9+1.92631j,+0+0j,+19174.5+3.65398j,+19171.8+4.2582j,-1.76096e-05+2.21525e-05j,+7190.64+0.649566j,+28882.1+12.2115j,+0+0j,+111199-128684j,+0+0j,+0+0j,+0+0j,+2670.09+0.0952248j,+108476-128880j,+0+0j,+108426-129073j,+0+0j,+108377-129208j,+0+0j,+75557.6+53989.6j,-4193.74-208535j,-21056.8-208784j,-45042.9-209017j,-45149.8-209265j,+503131+80947.5j,+502625+79988.7j,+1.71815e-09+1.04589e-09j,+502318+79381.2j,-7.53964e-10-1.2106e-08j,+0+0j,+501955+78384.5j,+0+0j,+2.15986e-05-1.48561e-06j,+0+0j,+215068-208818j,+146074+234436j,+0+0j,+0+0j,+0+0j,+83767.5+22487.4j,+131451-231794j,+65737+22405.9j,+21006.9+6.99162j,+35186.8-226425j,+20680.1-56607.5j,+35011.6-226802j,-1.04126e-08+4.04867e-08j,+34965.7-226890j,+34672.5-227339j,+8562.49-227778j,+25805.3+25.6543j,+8425.94-227992j,+21008.1+8.16679j,+20825.1-56763.8j,+0+0j,+20926.6-56859.7j,+0+0j,+20995.4-56924.3j,+21042.3-56973.4j,+5.27437e-07-2.16268e-05j,+0+0j,+5.00044e-07-2.1662e-05j,+0+0j,+44518.2+22319.2j,+44509+22302.8j,+44497.8+22266.8j,+1.09634e-05+9.45606e-07j,+54663.1+74.0927j,+46443.3+211427j,+48106.7+47.352j,+24977.2+17.4076j,+0+0j,+46221.4+211198j,+0+0j,+0+0j,+45959+210884j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+111201-128383j,+830879+20142.4j,+504180+82829.3j,+361426+25798.3j,+101300+211753j
2016-10-07 01:00:00 PDT,+0+0j,+72918.3+684.18j,+698523-207978j,+19823.2+3.22668j,+53041.4+626.455j,+42995.9+21510j,+696493-210252j,+0+0j,+0+0j,+695142-211775j,+0+0j,+70801.8+21404j,+140656-207407j,+0+0j,+0+0j,+22657.9+7.9749j,+5390.42+0.421277j,+0+0j,+50616.8+64.8026j,+0+0j,+0+0j,+50589.8+40.6297j,+20969.9+10.0202j,+29590.1+12.9523j,+10884.5+3.59641j,+18688.8+3.64676j,+1.69798e-08-2.70094e-09j,+10881.7+1.6908j,+0+0j,+18684.4+3.27209j,+18681.7+4.05785j,+3.99236e-06+1.27013e-05j,+6730.56+0.571211j,+28051.5+11.6551j,+0+0j,+89174.7-208580j,+0+0j,+0+0j,+0+0j,+2490.08+0.0828466j,+86584.6-208880j,+0+0j,+86487-209178j,+0+0j,+86404.7-209388j,+0+0j,+75695.1+54087.4j,-14100.9-226468j,-30239.4-226745j,-53399.8-227011j,-53469.4-227301j,+480526-29581.5j,+479942-30264.9j,-1.47565e-09+4.75422e-09j,+479583-30700.7j,-5.73492e-09+3.14666e-09j,+0+0j,+479198-31248.6j,+0+0j,+3.69728e-06+9.94093e-06j,+0+0j,+186545-336910j,+152341+253106j,+0+0j,+0+0j,+0+0j,+82948.6+22586.3j,+103826-360313j,+65329.9+22506.5j,+20396.5+6.56119j,+33709.1-227650j,+19947.2-56982j,+33539.8-228018j,-2.29503e-08-3.64931e-08j,+33495.5-228104j,+33207.9-228544j,+8036.25-228974j,+24873.5+23.8201j,+7902.51-229186j,+20397.6+7.65815j,+20145.2-57124.7j,+0+0j,+20283.3-57217.3j,+0+0j,+20374.8-57280.3j,+20432.2-57337.2j,-9.01812e-06-1.04351e-05j,+0+0j,-8.98181e-06-1.04472e-05j,+0+0j,+44654.2+22387.7j,+44645+22371j,+44633.4+22334.6j,+6.99366e-06+9.96473e-07j,+52938.6+69.4619j,+54403.9+229861j,+46803.9+44.4545j,+24126+16.1932j,+0+0j,+54235.1+229573j,+0+0j,+0+0j,+54034.9+229188j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+89191.5-208153j,+774829-203311j,+481719-28253.9j,+338950-83569j,+107486+230257j
2016-10-07 02:00:00 PDT,+0+0j,+72858.8+684.292j,+698114-207994j,+19763.2+3.20715j,+53042+626.676j,+42996.1+21510.1j,+696085-210265j,+0+0j,+0+0j,+694736-211786j,+0+0j,+70742.2+21404.1j,+140434-207411j,+0+0j,+0+0j,+22597.8+7.93259j,+5390.42+0.421272j,+0+0j,+50496.5+64.4614j,+0+0j,+0+0j,+50469.5+40.4072j,+20909.8+9.96274j,+29530+12.8804j,+10884.5+3.59629j,+18628.8+3.60323j,-7.63327e-09-2.16155e-08j,+10881.7+1.69077j,+0+0j,+18624.4+3.23731j,+18621.7+4.03173j,-1.16275e-05+3.01116e-06j,+6730.56+0.571201j,+27991.4+11.5988j,+0+0j,+89075-208583j,+0+0j,+0+0j,+0+0j,+2490.08+0.0828453j,+86484.9-208882j,+0+0j,+86387.3-209180j,+0+0j,+86305-209390j,+0+0j,+75696.3+54088.2j,-14203.1-226470j,-30311.6-226747j,-53412-227014j,-53481.7-227304j,+480403-29585.6j,+479820-30268.8j,-2.20611e-08-6.05389e-09j,+479461-30704.5j,-1.92807e-09+1.98996e-08j,+0+0j,+479076-31251.9j,+0+0j,+1.8957e-05+5.90177e-06j,+0+0j,+186308-336913j,+152234+253108j,+0+0j,+0+0j,+0+0j,+82829+22586.3j,+103709-360316j,+65270.5+22506.8j,+20336.4+6.52251j,+33648.8-227653j,+19887.5-56982.5j,+33479.5-228021j,-2.56812e-09-3.72981e-09j,+33435.2-228107j,+33147.6-228547j,+8036.26-228977j,+24813.4+23.6968j,+7902.52-229188j,+20337.5+7.61302j,+20085.3-57125.3j,+0+0j,+20223.4-57218j,+0+0j,+20314.8-57281.1j,+20372.2-57338j,-6.62489e-07-5.41263e-06j,+0+0j,-6.41968e-07-5.4011e-06j,+0+0j,+44654.7+22387.9j,+44645.6+22371.3j,+44634+22334.9j,-6.69724e-06+1.47881e-05j,+52818.2+69.1217j,+54416.5+229863j,+46683.6+44.2283j,+24065.9+16.1123j,+0+0j,+54247.8+229576j,+0+0j,+0+0j,+54047.5+229190j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+89091.9-208156j,+774357-203332j,+481595-28258.4j,+338605-83571.3j,+107379+230259j
2016-10-07 03:00:00 PDT,+0+0j,+74992.9+682.415j,+720239-206944j,+21913.9+3.94438j,+53022.1+620.812j,+42983+21503.5j,+718084-209395j,+0+0j,+0+0j,+716650-211037j,+0+0j,+72895.7+21392.9j,+150080-207112j,+0+0j,+0+0j,+24719.4+9.49892j,+5450.43+0.431019j,+0+0j,+54878.5+77.5152j,+0+0j,+0+0j,+54848.2+48.9437j,+23082+12.1517j,+31733.1+15.6729j,+10954.5+3.63227j,+20760.3+5.27699j,+9.88328e-09+1.45045e-08j,+10951.7+1.70179j,+0+0j,+20755.3+4.57005j,+20752.1+5.01201j,-6.52715e-06-5.82731e-06j,+6700.56+0.566671j,+30173.5+13.7032j,+0+0j,+94280.9-208358j,+0+0j,+0+0j,+0+0j,+2550.09+0.086966j,+91629.3-208663j,+0+0j,+91530.2-208966j,+0+0j,+91446.1-209180j,+0+0j,+75623.1+54035.9j,-8940.16-226206j,-25996.2-226482j,-51226.9-226747j,-51295.6-227036j,+490348-29384.1j,+489742-30104.4j,+2.99348e-08-1.07168e-09j,+489369-30563.1j,+2.20442e-09-9.36567e-09j,+0+0j,+488965-31162.3j,+0+0j,+3.92789e-06-7.00378e-06j,+0+0j,+194725-336623j,+154156+252823j,+0+0j,+0+0j,+0+0j,+87057.9+22572.5j,+107892-360025j,+67381.7+22485.1j,+22497.9+7.99233j,+35805.2-227397j,+22036.4-56928.5j,+35633.7-227770j,+2.12477e-08+1.81284e-08j,+35588.6-227857j,+35297.4-228301j,+7926.48-228737j,+27068.1+28.488j,+7792.48-228948j,+22499.2+9.32832j,+22239.4-57066.6j,+0+0j,+22380.9-57155.7j,+0+0j,+22474.3-57216.6j,+22533.2-57272.4j,+1.29054e-05-1.98523e-05j,+0+0j,+1.29451e-05-1.9936e-05j,+0+0j,+44609.8+22364.7j,+44600.6+22348.5j,+44589.7+22312.7j,+4.67173e-06-1.66182e-06j,+56980.3+81.386j,+52222.4+229586j,+50851.7+52.3847j,+26108.7+18.987j,+0+0j,+52053.6+229303j,+0+0j,+0+0j,+51853.7+228917j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+94298.7-207925j,+798828-201982j,+491589-27988j,+348962-83532.9j,+109346+229997j
2016-10-07 04:00:00 PDT,+0+0j,+79772.6+677.385j,+777965-204081j,+26735.8+5.87574j,+52972.4+606.224j,+42949.8+21486.9j,+775464-207006j,+0+0j,+0+0j,+773801-208964j,+0+0j,+78215.6+21363.3j,+174808-206384j,+0+0j,+0+0j,+29643.5+13.6868j,+5920.5+0.50956j,+0+0j,+65510.6+114.423j,+0+0j,+0+0j,+65471.5+73.2419j,+28007.7+17.9374j,+37421.7+24.1845j,+11915.1+4.26647j,+25484.2+9.92932j,+1.45086e-08+3.86442e-09j,+11912+2.02278j,+0+0j,+25477.6+8.24235j,+25473.2+7.57211j,-2.22564e-06+6.24067e-06j,+7310.67+0.676343j,+35569.2+19.4496j,+0+0j,+108228-207829j,+0+0j,+0+0j,+0+0j,+2760.1+0.102134j,+105363-208150j,+0+0j,+105260-208468j,+0+0j,+105172-208694j,+0+0j,+75424.6+53894j,+5103.98-225580j,-14943.8-225856j,-45294.8-226116j,-45360-226402j,+516986-28693.2j,+516317-29509.8j,+5.43573e-09-3.38309e-08j,+515906-30030.1j,+9.89655e-09+1.24052e-09j,+0+0j,+515443-30769.6j,+0+0j,+1.36322e-05+1.30251e-06j,+0+0j,+214660-335806j,+158810+252147j,+0+0j,+0+0j,+0+0j,+96436.7+22533.1j,+118439-359209j,+72121.8+22426.8j,+27371.7+11.8681j,+41810.1-226695j,+26881.9-56783.2j,+41635-227079j,+7.67259e-09-4.32289e-08j,+41588.3-227166j,+41290.3-227618j,+8646.53-228068j,+32330.7+41.2661j,+8512.91-228277j,+27373.7+13.8523j,+27096.9-56913.8j,+0+0j,+27246-56996.9j,+0+0j,+27343.6-57053.9j,+27405.9-57108.1j,-5.15379e-06-5.76021e-06j,+0+0j,-5.12924e-06-5.81829e-06j,+0+0j,+44486.2+22301.2j,+44477.1+22286.1j,+44467.8+22251.7j,-1.39864e-07+6.68083e-07j,+67715.2+116.78j,+46264.9+228929j,+61024.7+75.7048j,+31347.1+27.461j,+0+0j,+46095.1+228653j,+0+0j,+0+0j,+45895.5+228266j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+108247-207378j,+861895-198342j,+518363-27117.3j,+373594-83307.5j,+114121+229380j
2016-10-07 05:00:00 PDT,+0+0j,+86490.3+666.823j,+880253-198366j,+33529.1+9.25358j,+52885.4+580.733j,+42891.6+21457.8j,+877072-202235j,+0+0j,+0+0j,+874957-204827j,+0+0j,+87799.9+21311.7j,+216603-204969j,+0+0j,+0+0j,+37691.9+22.2065j,+7590.83+0.840619j,+0+0j,+82459.3+187.871j,+0+0j,+0+0j,+82404+121.706j,+35188.1+28.4455j,+47157.9+42.1179j,+15227.5+6.78562j,+31900.3+18.3685j,+7.63592e-09-1.54554e-08j,+15223.3+3.3025j,+0+0j,+31891.4+14.8442j,+31885.1+11.9211j,+1.03661e-05-7.99277e-06j,+9271.08+1.09297j,+45291.2+31.5942j,+0+0j,+132789-206815j,+0+0j,+0+0j,+0+0j,+3570.17+0.17167j,+129104-207167j,+0+0j,+128994-207512j,+0+0j,+128895-207760j,+0+0j,+75057.7+53631.9j,+29405.2-224400j,+4267.26-224679j,-33845.7-224932j,-33905.5-225211j,+565837-27289.2j,+565039-28300.9j,+2.36491e-08+3.00391e-09j,+564550-28946.7j,+1.12298e-08-6.42011e-09j,+0+0j,+563957-29977.5j,+0+0j,+1.10951e-06+5.09279e-06j,+0+0j,+244508-334236j,+164947+250870j,+0+0j,+0+0j,+0+0j,+109235+22453.1j,+135477-357632j,+78861.6+22317.6j,+34358.6+18.8103j,+52454-225358j,+33824.5-56503.5j,+52272.9-225757j,-1.22426e-08+3.15655e-10j,+52223.5-225846j,+51913.7-226310j,+10817.3-226786j,+40764.9+65.7866j,+10684.3-226992j,+34361.7+21.9598j,+34058.7-56627.2j,+0+0j,+34219.5-56704j,+0+0j,+34323.3-56757.1j,+34390.7-56810.3j,+4.08219e-06-1.91923e-06j,+0+0j,+4.12875e-06-1.9386e-06j,+0+0j,+44251.6+22181.2j,+44242.6+22167.8j,+44236+22135.7j,+8.49615e-06-1.55996e-06j,+85564.3+186.727j,+34785.1+227687j,+77049.2+120.787j,+39302.9+43.4363j,+0+0j,+34611.1+227423j,+0+0j,+0+0j,+34410.7+227033j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+132811-206328j,+971978-191107j,+567487-25344.2j,+409645-82877.6j,+120489+228218j
2016-10-07 06:00:00 PDT,+0+0j,+87625.3+658.482j,+926055-195584j,+34699.8+9.91686j,+52847.6+569.654j,+42866.4+21445.2j,+922529-199883j,+0+0j,+0+0j,+920187-202765j,+0+0j,+89571.4+21279j,+234839-204348j,+0+0j,+0+0j,+37371.6+21.8678j,+9751.37+1.3896j,+0+0j,+89054.4+220.589j,+0+0j,+0+0j,+88992.1+143.027j,+36880.9+31.3212j,+52046.4+51.3739j,+19461.2+10.7988j,+32551+19.4193j,-2.88476e-08-1.22373e-09j,+19455.3+5.36307j,+0+0j,+32541.9+15.658j,+32535.3+12.4419j,-1.67446e-06+5.81114e-06j,+11701.7+1.74555j,+47132.1+32.5291j,+0+0j,+144292-206365j,+0+0j,+0+0j,+0+0j,+4650.29+0.291953j,+139521-206728j,+0+0j,+139407-207084j,+0+0j,+139304-207341j,+0+0j,+74865.1+53494.1j,+40096.9-223861j,+12351.3-224141j,-28162.5-224391j,-28219.6-224664j,+590564-26469.9j,+589689-27583.9j,-8.15726e-09-2.39287e-08j,+589153-28297.3j,-5.45935e-10-1.33658e-08j,+0+0j,+588468-29488.7j,+0+0j,+1.58016e-05+1.217e-05j,+0+0j,+253066-333358j,+163588+250237j,+0+0j,+0+0j,+0+0j,+110670+22394.8j,+142604-356726j,+80162.6+22255.5j,+35790.2+20.4722j,+58413.3-224612j,+35242.8-56353.3j,+58229.1-225013j,-1.92981e-08+9.1891e-09j,+58178.3-225103j,+57862.8-225569j,+13428.3-226053j,+44094.4+75.3506j,+13296-226255j,+35793.6+23.9085j,+35483.6-56481.2j,+0+0j,+35647.7-56559.8j,+0+0j,+35753-56614j,+35821.8-56668.5j,-4.53772e-06-5.61813e-06j,+0+0j,-4.53514e-06-5.65677e-06j,+0+0j,+44118.5+22114.3j,+44109.3+22101j,+44102.4+22068.9j,-1.46689e-05+9.21643e-06j,+90021.9+204.627j,+29097.1+227106j,+79249.7+131.417j,+41818.7+49.3307j,+0+0j,+28919.2+226843j,+0+0j,+0+0j,+28716.2+226454j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+144317-205862j,+1.01942e+06-187659j,+592373-24325.9j,+416857-82612.4j,+119260+227653j
2016-10-07 07:00:00 PDT,+0+0j,+85345.2+653.93j,+918535-195803j,+32418.5+8.65454j,+52852.8+570.426j,+42872.6+21448.3j,+915041-200123j,+0+0j,+0+0j,+912719-203019j,+0+0j,+91736.6+21290j,+225801-204335j,+0+0j,+0+0j,+40225+25.3298j,+9051.18+1.19698j,+0+0j,+83021.4+190.167j,+0+0j,+0+0j,+82965.4+122.934j,+34517.1+27.4188j,+48389.7+43.4907j,+18009.8+9.28921j,+30348.8+16.1804j,+1.30088e-08-1.42432e-08j,+18004.5+4.56876j,+0+0j,+30340.5+13.1275j,+30334.6+10.8087j,-1.377e-06+5.82482e-06j,+10751.5+1.47259j,+49286.2+36.6632j,+0+0j,+141342-206258j,+0+0j,+0+0j,+0+0j,+4350.25+0.255373j,+136869-206618j,+0+0j,+136752-206972j,+0+0j,+136647-207227j,+0+0j,+74900.6+53519.5j,+37401.3-223757j,+11654.1-224034j,-26213-224284j,-26274.9-224554j,+589995-26813.9j,+589118-27954.7j,+3.18409e-09-8.23343e-09j,+588579-28683.1j,-1.66675e-08+1.73842e-08j,+0+0j,+587879-29901.3j,+0+0j,-3.11078e-06+1.97933e-05j,+0+0j,+242251-333530j,+160756+250087j,+0+0j,+0+0j,+0+0j,+106228+22384.4j,+136235-356854j,+77850.7+22255.7j,+33467.7+17.895j,+54374.5-224701j,+32933.1-56356.6j,+54191.1-225095j,+1.97302e-08+4.2441e-08j,+54141-225184j,+53828.4-225644j,+12278.9-226118j,+41215+65.8282j,+12145.7-226321j,+33470.6+20.8972j,+33167.9-56483.9j,+0+0j,+33328.7-56562.6j,+0+0j,+33432.4-56616.9j,+33499.9-56670.7j,-2.16933e-05+2.82131e-05j,+0+0j,-2.17663e-05+2.82187e-05j,+0+0j,+44131.4+22120.7j,+44123+22107.6j,+44117.1+22076.2j,+1.96841e-06+5.82189e-06j,+89093.7+196.249j,+27184.1+226971j,+79172.9+124.56j,+38892.1+42.6556j,+0+0j,+27005.2+226708j,+0+0j,+0+0j,+26801.2+226324j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+141374-205760j,+1.00954e+06-187890j,+591806-24610.4j,+403179-82993j,+116419+227506j
2016-10-07 08:00:00 PDT,+0+0j,+81140+657.062j,+862440-198898j,+28176.4+6.53306j,+52896.8+582.916j,+42903.5+21463.8j,+859322-202733j,+0+0j,+0+0j,+857249-205301j,+0+0j,+86171.5+21315.6j,+199287-204989j,+0+0j,+0+0j,+36490.5+20.8056j,+7150.74+0.745688j,+0+0j,+70697.7+134.948j,+0+0j,+0+0j,+70653.8+86.6112j,+29930.3+20.5609j,+40676.7+29.1834j,+14206.7+5.90461j,+26445.1+11.097j,-1.03366e-09-2.32219e-08j,+14202.8+2.82857j,+0+0j,+26438.2+9.1498j,+26433.5+8.18455j,-9.54321e-06+1.23744e-05j,+8450.9+0.907229j,+43649.1+29.4869j,+0+0j,+127329-206650j,+0+0j,+0+0j,+0+0j,+3450.16+0.160217j,+123759-206992j,+0+0j,+123643-207330j,+0+0j,+123541-207572j,+0+0j,+75103.6+53664.7j,+23991.2-224225j,+2311.18-224497j,-30307.4-224748j,-30375.6-225019j,+567094-27807.7j,+566276-28874.9j,-2.01032e-08-3.41265e-08j,+565773-29553.4j,-2.03639e-09+3.7439e-08j,+0+0j,+565125-30647.7j,+0+0j,-8.50568e-08+7.48937e-06j,+0+0j,+221571-334387j,+153514+250533j,+0+0j,+0+0j,+0+0j,+98356.7+22418j,+123431-357686j,+73557.3+22307.1j,+29053.3+13.4461j,+45720.7-225395j,+28545.9-56484.8j,+45541.1-225780j,+1.24965e-08-4.58281e-08j,+45492.9-225867j,+45188.1-226319j,+9678.74-226774j,+35187.7+48.3552j,+9544.24-226980j,+29055.5+15.6979j,+28768.2-56612.3j,+0+0j,+28921.9-56692.6j,+0+0j,+29022.2-56748j,+29086.8-56801.4j,-3.46071e-06-5.93018e-06j,+0+0j,-3.50114e-06-5.96887e-06j,+0+0j,+44249.4+22181.1j,+44241.1+22167.2j,+44234+22134.8j,+9.80394e-08+5.64881e-06j,+77606.9+148.836j,+31316.3+227431j,+69803.4+94.5913j,+33270.7+31.1154j,+0+0j,+31139.6+227165j,+0+0j,+0+0j,+30936.2+226788j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+127365-206175j,+948647-191783j,+568775-25738.6j,+375203-83512.1j,+109064+227905j
2016-10-07 09:00:00 PDT,+0+0j,+78167.8+660.919j,+825328-201021j,+25175.1+5.2127j,+52930.8+592.984j,+42925.8+21474.9j,+822459-204502j,+0+0j,+0+0j,+820551-206833j,+0+0j,+82837.1+21334.3j,+183214-205511j,+0+0j,+0+0j,+33637.4+17.6566j,+6620.63+0.638405j,+0+0j,+63644.9+107.428j,+0+0j,+0+0j,+63607.3+68.4982j,+26846.3+16.5138j,+36720.4+22.6254j,+13175.9+5.12088j,+23522.6+7.88703j,-7.07826e-09+4.49122e-09j,+13172.4+2.43534j,+0+0j,+23516.6+6.62608j,+23512.7+6.46426j,-1.81754e-06+5.47354e-06j,+7870.78+0.785557j,+40264.7+25.0393j,+0+0j,+118417-207018j,+0+0j,+0+0j,+0+0j,+3180.13+0.135893j,+115120-207348j,+0+0j,+115007-207675j,+0+0j,+114909-207908j,+0+0j,+75235.8+53759.1j,+15148.1-224651j,-4626.96-224922j,-34024.9-225174j,-34095.3-225446j,+550138-28329.6j,+549365-29326.5j,+2.40819e-09+1.0916e-08j,+548890-29960.1j,+2.59634e-09-6.77552e-09j,+0+0j,+548286-30948.9j,+0+0j,+2.37466e-05-1.62273e-05j,+0+0j,+208787-334937j,+150632+250979j,+0+0j,+0+0j,+0+0j,+92549.7+22443.8j,+116460-358234j,+70602.4+22345.2j,+26010.6+10.7546j,+41574.9-225864j,+25521.5-56580.9j,+41398-226242j,-1.35808e-08+1.15718e-08j,+41350.9-226328j,+41051.1-226774j,+9068.52-227218j,+31668.4+38.9551j,+8933.86-227426j,+26012.4+12.555j,+25736-56712.7j,+0+0j,+25884.8-56796.4j,+0+0j,+25982.5-56854j,+26044.9-56908.2j,-3.63905e-06-6.20532e-06j,+0+0j,-3.64864e-06-6.25159e-06j,+0+0j,+44331.4+22223.2j,+44323.2+22208.6j,+44315.1+22175.4j,+1.17316e-05-1.22419e-05j,+70911.5+123.103j,+35047.8+227866j,+63656.9+77.9005j,+29984.9+25.2178j,+0+0j,+34872.4+227597j,+0+0j,+0+0j,+34669+227222j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+118452-206557j,+908163-194477j,+551722-26392.2j,+359508-83670.4j,+106101+228312j
