# file...... Overhead_lines_power_in_A.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-11-04 00:00:00 PDT,+0-0i,+0-0i,+1.08185e+06+153050i,+0+0j,+0+0j,+0+0j,+1.07142e+06+144957i,+0-0i,+92025.6+30633.9i,+976209+108996i,+62078+30545.2i,+0-0i,+420378-52340.3i,+41418.3+20720.7i,+20574.3+9737.97i,+0+0j,+0+0j,+57799.2+18999.8i,+124118+58799.5i,+41380.3+18960.4i,+0-0i,+124049+58656.6i,+0-0i,+124007+58519.4i,+41347.9+18847.5i,+82600.6+39511.3i,+41339.9+18824.4i,+0-0i,+41331.6+18804.9i,+41243.2+20637.1i,+1.00624e-06-1.09592e-05i,+1.00056e-06-1.09929e-05i,+0+0j,+0+0j,+41408.7+20743.4i,+180061-145400i,+41380.1+20703.9i,+0-0i,+0+0j,+0-0i,+179947-145608i,+0-0i,+173841-145815i,+27922+9400.95i,+145821-155405i,+7160.65+0.655484i,+72735.2+51968.9i,+36341.7-231642i,+16974.9-231944i,+16870.2-232257i,+7600.76-232550i,+528195+151893i,+510231+150491i,+20582.8+10294.3i,+491150+415819i,-6.88609e-09+7.14853e-09i,+0-0i,+489068+412345i,+0+0j,+1.13362e-05-4.33516e-06i,+65472.7+93.9534i,+217910+87128.1i,+125310+267635i,+56668.2+58.9233i,+33062.5+22.8024i,+27058.1+8.2528i,+0-0i,+217529+86870.1i,+0+0j,+0+0j,+61182.6-194963i,+53951.4+229090i,+61071.4-195234i,+43092.7+21559.8i,+17947.1-216867i,+17836.5-217319i,+17697.9-217798i,+0-0i,+67.2542-218025i,+0+0j,+53125.8+227734i,+23594-52454.7i,+28995.7+279312i,+0-0i,+28579.7+278540i,+0-0i,+28253.6+277950i,+27986.6+277345i,-3.74423e-06-1.53511e-06i,+0-0i,+23569.2+4.62954i,+6.77366e-06-1.48043e-05i,+6.75345e-06-1.4812e-05i,+6.75433e-06-1.47962e-05i,+0-0i,+101518+266631i,+0+0j,+0+0j,+0-0i,+101379+266028i,+0+0j,+108240+30781.7i,-6976.17+234549i,+79756.7+30545i,+11993.4+3.46147i,+67673.1+30450.3i,+46641.1+21109.8i,+4480.27+0.27411i,+236486-132926i,+1.10622e+06+164273i,+551949+154971i,+410078+357327i,+101634+267122i
2016-11-04 01:00:00 PDT,-0+0i,-0+0i,+896655-351081i,+0+0j,+0+0j,+0+0j,+887813-358037i,-0+0i,+79876.5+354.314i,+805303-362978i,+51978.3+295.392i,-0+0i,+315058-338216i,+42393.4+21208.5i,+9537.72-20960.9i,+0+0j,+0+0j,+33391.1-42619.2i,+80695.6-63428.5i,+18661.6-42649.1i,-0+0i,+80685.2-63522.9i,-0+0i,+80669.5-63617.2i,+18609.7-42734.5i,+62032.9-20982.4i,+18600.6-42761.4i,-0+0i,+18592.3-42780.9i,+43433.9+21733.5i,+1.10292e-05+9.94377e-07i,+1.10087e-05+1.03785e-06i,+0+0j,+0+0j,+43289.3+21698.8i,+141842-249936i,+43259+21644i,-0+0i,+0+0j,-0+0i,+141637-250291i,-0+0i,+136231-250644i,+15495.9-21425.8i,+120546-229527i,+6250.47+0.475832i,+76324.1+54533.1i,+20067.6-246362i,+2250.03-246651i,+2100.8-246950i,-6131.79-247229i,+464748-33128.4i,+448671-34326.2i,+21314+10660.2i,+430842+297086i,-2.30865e-10-1.60527e-09i,-0+0i,+429373+294507i,+0+0j,-1.07645e-06-1.66628e-05i,+60115.3+76.3246i,+167317-12790.4i,+123949+251538i,+52357.4+48.0276i,+30288.2+18.486i,+25076.7+6.78942i,-0+0i,+167053-12853.9i,+0+0j,+0+0j,+61395.2-203734i,+53736+296189i,+61267.3-204017i,+45033.2+22530.7i,+16198.7-226623i,+16069.9-227091i,+15915.2-227582i,-0+0i,+76.5785-227818i,+0+0j,+52687.2+293963i,+22064.2-54548.5i,+29941.5+347068i,-0+0i,+29424.1+345885i,-0+0i,+28962.8+345008i,+28573.9+344116i,+1.92659e-06-3.58365e-06i,-0+0i,+22039+3.91503i,+1.01694e-05-1.32658e-05i,+1.017e-05-1.3247e-05i,+1.01566e-05-1.32368e-05i,-0+0i,+101724+250811i,+0+0j,+0+0j,-0+0i,+101603+250364i,+0+0j,+94477.2+705.975i,+7024.18+249143i,+68080.1+546.724i,+10692.6+2.61929i,+57332.9+488.79i,+48185.8+22182.8i,+3880.19+0.195639i,+199325-235835i,+919257-341407i,+486940-30493.1i,+352376+240305i,+101825+251166i
2016-11-04 02:00:00 PDT,-0+0i,-0+0i,+882647-351631i,+0+0j,+0+0j,+0+0j,+874248-358402i,-0+0i,+79008.3+359.882i,+792666-363230i,+52001.4+302.253i,-0+0i,+310433-338152i,+42407.9+21215.8i,+9546.31-20961.4i,+0+0j,+0+0j,+32576.4-42619.9i,+80763.6-63419.2i,+18687.4-42649.3i,-0+0i,+80752.3-63513.2i,-0+0i,+80735.8-63607.3i,+18634.3-42733.6i,+62074.2-20973.1i,+18625.1-42760.4i,-0+0i,+18616.8-42779.9i,+43450.5+21741.8i,-2.67368e-06-1.73725e-05i,-2.69456e-06-1.73546e-05i,+0+0j,+0+0j,+43309.6+21709.1i,+138410-250086i,+43279.4+21654.2i,-0+0i,+0+0j,-0+0i,+138209-250437i,-0+0i,+133177-250786i,+15080.8-21426.3i,+117910-229665i,+5820.41+0.412384i,+76365.9+54563i,+17362-246532i,+214.936-246821i,+66.1945-247120i,-7645.66-247400i,+457344-33213.6i,+442167-34375.6i,+21326.1+10666.3i,+426394+297320i,-4.11973e-09+7.81411e-09i,-0+0i,+424942+294769i,+0+0j,-2.02167e-06+3.17715e-06i,+57920.2+71.118i,+167366-12670.5i,+123207+251718i,+50664.3+44.8666i,+29167+17.2234i,+24326.3+6.38445i,-0+0i,+167102-12736i,+0+0j,+0+0j,+60523.2-203865i,+54570.6+296436i,+60395.1-204147i,+45061.7+22545i,+15297.9-226768i,+15168.9-227234i,+15014.7-227724i,-0+0i,+76.684-227960i,+0+0j,+53524.4+294208i,+21494-54583.2i,+31350.3+347345i,-0+0i,+30832.8+346161i,-0+0i,+30371.8+345282i,+29983.2+344389i,-2.81459e-06-6.3681e-07i,-0+0i,+21469+3.72822i,+9.32182e-06-7.06149e-06i,+9.32451e-06-7.03485e-06i,+9.2983e-06-7.02981e-06i,-0+0i,+101552+250991i,+0+0j,+0+0j,-0+0i,+101430+250545i,+0+0j,+92791.5+713.053i,+8536.35+249318i,+67210+559.533i,+10052.3+2.31329i,+57104.5+503.348i,+47938.2+22198.7i,+3600.17+0.168295i,+195465-235720i,+904835-342212i,+479002-30659.1i,+349479+240589i,+101653+251347i
2016-11-04 03:00:00 PDT,-0+0i,-0+0i,+884277-351599i,+0+0j,+0+0j,+0+0j,+875871-358391i,-0+0i,+79187.2+359.748i,+794105-363233i,+52000.1+301.856i,-0+0i,+310859-338173i,+42407.1+21215.4i,+9545.76-20961.4i,+0+0j,+0+0j,+32574.9-42620.3i,+80760.6-63420.2i,+18685.9-42649.7i,-0+0i,+80749.4-63514.3i,-0+0i,+80733.1-63608.4i,+18632.9-42734.2i,+62072.8-20973.7i,+18623.7-42761i,-0+0i,+18615.4-42780.5i,+43450.6+21741.8i,-1.90462e-06+1.96209e-06i,-1.92968e-06+1.98985e-06i,+0+0j,+0+0j,+43309.1+21708.9i,+138752-250059i,+43279+21654i,-0+0i,+0+0j,-0+0i,+138551-250411i,-0+0i,+133518-250761i,+15079.9-21426.5i,+118252-229640i,+5820.41+0.41239i,+76364.6+54562.1i,+17707-246505i,+469.937-246795i,+321.26-247093i,-7390.57-247373i,+458168-33221.8i,+442989-34387.4i,+21325.5+10666i,+426921+297362i,+6.61177e-09-2.72892e-09i,-0+0i,+425467+294809i,+0+0j,-6.43992e-06+5.37344e-07i,+58281.1+72.0727i,+167425-12607.7i,+123310+251691i,+51024.9+45.4923i,+29347.2+17.4533i,+24506.4+6.47961i,-0+0i,+167162-12673.1i,+0+0j,+0+0j,+60521.4-203861i,+54638.1+296496i,+60393.5-204143i,+45060.6+22544.4i,+15297.6-226763i,+15168.8-227229i,+15014.7-227720i,-0+0i,+76.6857-227956i,+0+0j,+53591+294267i,+21674.1-54581.4i,+31236.2+347402i,-0+0i,+30718.5+346217i,-0+0i,+30257.4+345339i,+29868.7+344445i,-9.57887e-06+1.44453e-06i,-0+0i,+21649+3.78299i,-4.40935e-06-1.13681e-05i,-4.42529e-06-1.13708e-05i,-4.41962e-06-1.13571e-05i,-0+0i,+101474+250963i,+0+0j,+0+0j,-0+0i,+101352+250518i,+0+0j,+92969.2+712.773i,+8281.06+249291i,+67207.1+558.66i,+10052.3+2.31337i,+57101.6+502.478i,+47936.7+22198i,+3600.17+0.168301i,+195896-235747i,+906655-342147i,+480010-30657.5i,+350004+240627i,+101575+251319i
2016-11-04 04:00:00 PDT,-0+0i,-0+0i,+901289-351310i,+0+0j,+0+0j,+0+0j,+892799-358322i,-0+0i,+81151.4+356.677i,+809013-363306i,+51981.3+295.866i,-0+0i,+314934-338465i,+42397+21210.3i,+9537.17-20962.3i,+0+0j,+0+0j,+32134.3-42626.1i,+80716.4-63433.3i,+18665.6-42655.2i,-0+0i,+80707.3-63528.3i,-0+0i,+80692.6-63623.2i,+18613.7-42741.3i,+62052.5-20981.7i,+18604.5-42768.1i,-0+0i,+18596.3-42787.6i,+43449.6+21741.2i,-4.77005e-06-8.97499e-06i,-4.78859e-06-8.96961e-06i,+0+0j,+0+0j,+43301.8+21705.3i,+142325-249803i,+43271.7+21650.4i,-0+0i,+0+0j,-0+0i,+142122-250157i,-0+0i,+137098-250510i,+15027.9-21428.8i,+121883-229389i,+5780.4+0.406835i,+76345.1+54548.2i,+21379.3-246236i,+3175.77-246526i,+3027.92-246825i,-4563.58-247103i,+466646-33276.9i,+451888-34479.7i,+21317+10661.8i,+432263+297655i,-1.24295e-08-2.24815e-09i,-0+0i,+430786+295075i,+0+0j,+1.24961e-05-3.33671e-06i,+62623.2+84.2574i,+167815-12106.4i,+124558+251400i,+55472.9+53.5552i,+31550.1+20.3976i,+26717.6+7.70682i,-0+0i,+167553-12169.8i,+0+0j,+0+0j,+60041.3-203787i,+55586.8+296936i,+59918.3-204068i,+45042+22535.1i,+14841.8-226678i,+14716.7-227147i,+14564.4-227641i,-0+0i,+76.6752-227877i,+0+0j,+54531+294703i,+23914.8-54554.3i,+29929.7+347810i,-0+0i,+29411.2+346626i,-0+0i,+28949+345748i,+28559.7+344852i,+5.15452e-06+1.93699e-07i,-0+0i,+23889.2+4.4951i,+8.14464e-06-5.09799e-06i,+8.13646e-06-5.09587e-06i,+8.12271e-06-5.08553e-06i,-0+0i,+100480+250675i,+0+0j,+0+0j,-0+0i,+100357+250230i,+0+0j,+94805.6+706.557i,+5452+249011i,+66917.4+546.225i,+9802.17+2.20079i,+57062.5+490.592i,+47914.5+22186.9i,+3600.17+0.168385i,+200474-236079i,+926029-341510i,+490783-30608.1i,+356002+240868i,+100582+251027i
2016-11-04 05:00:00 PDT,-0+0i,-0+0i,+957465-349713i,+0+0j,+0+0j,+0+0j,+948296-357486i,-0+0i,+86495.9+342.389i,+858949-362957i,+51907.6+273.241i,-0+0i,+330715-339131i,+42353.7+21188.7i,+9506.79-20963.2i,+0+0j,+0+0j,+33312.7-42634.6i,+80516.4-63473.4i,+18583.1-42664.5i,-0+0i,+80512.2-63570.5i,-0+0i,+80501.6-63667.2i,+18535.5-42755.5i,+61942.2-21012.4i,+18526.4-42782.5i,-0+0i,+18518.1-42801.9i,+43418.1+21725.1i,-4.33535e-06-7.97789e-06i,-4.37303e-06-8.01922e-06i,+0+0j,+0+0j,+43253.2+21680.8i,+154470-249055i,+43223+21626i,-0+0i,+0+0j,-0+0i,+154258-249423i,-0+0i,+148844-249788i,+15450.1-21432.2i,+133200-228675i,+6250.47+0.476332i,+76237.6+54471.4i,+32889.7-245435i,+11689.2-245725i,+11541.9-246026i,+3309.32-246302i,+495589-33212.5i,+479436-34553i,+21280.9+10643.6i,+449964+297808i,+1.55386e-08+2.70589e-08i,-0+0i,+448413+295130i,+0+0j,-1.55651e-06+7.40484e-06i,+73646.4+117.919i,+168834-11374i,+127841+250552i,+65874.4+75.3763i,+37058.1+28.5214i,+31840.8+10.9725i,-0+0i,+168576-11431i,+0+0j,+0+0j,+61292.2-203421i,+55648+297334i,+61177-203700i,+44958.8+22493.5i,+16184.9-226270i,+16066-226743i,+15915-227245i,-0+0i,+76.4782-227482i,+0+0j,+54572+295097i,+28796.5-54445.4i,+25075.9+348093i,-0+0i,+24555.8+346913i,-0+0i,+24090.8+346038i,+23700+345141i,-1.18843e-05-7.17492e-06i,-0+0i,+28769.9+6.24957i,+2.27108e-06-6.69335e-06i,+2.2732e-06-6.69948e-06i,+2.26651e-06-6.7037e-06i,-0+0i,+98877.9+249830i,+0+0j,+0+0j,-0+0i,+98752.6+249383i,+0+0j,+101080+684.125i,-2419.53+248188i,+67929.7+501.524i,+10692.6+2.62443i,+57182.6+443.722i,+48099+22139.4i,+3880.19+0.196023i,+215275-236916i,+987195-338776i,+524689-30193.2i,+371375+240835i,+98979.8+250174i
2016-11-04 06:00:00 PDT,-0+0i,-0+0i,+1.0388e+06-346658i,+0+0j,+0+0j,+0+0j,+1.02796e+06-355619i,-0+0i,+92977.4+319.915i,+931802-361841i,+51798.4+239.903i,-0+0i,+355235-339740i,+42289.3+21156.4i,+9462.15-20964.1i,+0+0j,+0+0j,+36127.6-42644i,+80203.8-63531.9i,+18456.1-42676i,-0+0i,+80205.9-63631.8i,-0+0i,+80200.7-63730.7i,+18414.8-42773.6i,+61765.3-21059.2i,+18406-42801i,-0+0i,+18397.8-42820.5i,+43362.6+21697i,-4.94384e-06-2.40358e-06i,-4.9636e-06-2.41693e-06i,+0+0j,+0+0j,+43174.6+21640.9i,+173194-247993i,+43143.9+21586.4i,-0+0i,+0+0j,-0+0i,+172964-248385i,-0+0i,+166310-248775i,+16806.4-21436i,+149299-227678i,+7680.71+0.720815i,+76067.6+54349.9i,+49289-244304i,+23874.5-244599i,+23726.3-244902i,+13730.5-245177i,+537982-32972.6i,+518636-34532.3i,+21227.5+10616.7i,+475976+297850i,+7.67182e-10+5.17865e-09i,-0+0i,+474322+295016i,+0+0j,+1.46991e-06-4.70282e-06i,+88548.5+170.734i,+169850-10597.1i,+132414+249392i,+79067.6+109.061i,+44620.8+41.3547i,+38175.6+15.8281i,-0+0i,+169596-10644.5i,+0+0j,+0+0j,+64306.3-202872i,+54088.9+297611i,+64198.6-203152i,+44836.2+22432.1i,+19330.3-225663i,+19217.5-226141i,+19066.7-226656i,-0+0i,+76.136-226894i,+0+0j,+52985.9+295369i,+34409-54286.9i,+17860.9+348207i,-0+0i,+17337.4+347031i,-0+0i,+16867.7+346158i,+16473.8+345257i,-1.41667e-06-4.55301e-06i,-0+0i,+34381+8.60635i,-2.04573e-06-1.05054e-05i,-2.04196e-06-1.0518e-05i,-2.06027e-06-1.05007e-05i,-0+0i,+97838.4+248671i,+0+0j,+0+0j,-0+0i,+97711.3+248218i,+0+0j,+110461+656.77i,-12833.2+247049i,+70824.8+438.088i,+12903.8+3.83454i,+57861.7+374.082i,+48875.7+22068.6i,+4800.3+0.301i,+237262-237805i,+1.07365e+06-334002i,+572627-29416.2i,+391936+240581i,+97939.6+249007i
2016-11-04 07:00:00 PDT,-0+0i,-0+0i,+1.07358e+06-344585i,+0+0j,+0+0j,+0+0j,+1.06105e+06-354107i,-0+0i,+93928.7+306.245i,+963787-360669i,+51748.1+224.532i,-0+0i,+368223-339501i,+42259.7+21141.7i,+9441.42-20964.7i,+0+0j,+0+0j,+39002.4-42645.1i,+80033.1-63560.5i,+18388.6-42679.3i,-0+0i,+80036.9-63661i,-0+0i,+80033-63760.4i,+18350.5-42779.2i,+61663.2-21083.8i,+18342.1-42807.3i,-0+0i,+18333.8-42826.8i,+43324.8+21678.1i,+1.41924e-05-6.63204e-06i,+1.41835e-05-6.63996e-06i,+0+0j,+0+0j,+43129.5+21617.8i,+182876-247578i,+43098.3+21563.6i,-0+0i,+0+0j,-0+0i,+182631-247989i,-0+0i,+174444-248397i,+18497.3-21436.8i,+155733-227311i,+9411.07+1.08348i,+75975.6+54284.1i,+55884.7-243866i,+28864.8-244165i,+28714.1-244471i,+16715-244748i,+556868-32739.2i,+534392-34409.4i,+21204+10604.8i,+487637+297665i,-6.00881e-09-1.64107e-08i,-0+0i,+485950+294752i,+0+0j,+7.82227e-06-4.50233e-06i,+93314.2+186.668i,+169546-10574.9i,+134132+248987i,+81896.5+118.098i,+47214.8+45.3696i,+39246.5+16.7516i,-0+0i,+169292-10618.1i,+0+0j,+0+0j,+67412.7-202621i,+50892.8+297417i,+67302.7-202906i,+44783.2+22405.6i,+22486.8-225391i,+22372-225873i,+22218.8-226393i,-0+0i,+75.9423-226632i,+0+0j,+49781.1+295172i,+34639.1-54221.5i,+14422.4+347944i,-0+0i,+13896.4+346767i,-0+0i,+13423.7+345892i,+13027+344990i,-4.73621e-06-7.31577e-06i,-0+0i,+34611+8.84478i,+1.36115e-05-2.95087e-06i,+1.36207e-05-2.96356e-06i,+1.36144e-05-2.92432e-06i,-0+0i,+99329.2+248257i,+0+0j,+0+0j,-0+0i,+99202.7+247799i,+0+0j,+114930+649.735i,-15810+246629i,+74205.6+412.699i,+15235.3+5.35352i,+58905+341.198i,+49968.7+22036.4i,+5960.46+0.464809i,+247484-237726i,+1.10751e+06-331207i,+591426-28949.7i,+398144+240254i,+99429.2+248597i
2016-11-04 08:00:00 PDT,-0+0i,-0+0i,+1.04186e+06-346240i,+0+0j,+0+0j,+0+0j,+1.03003e+06-355273i,-0+0i,+91401.9+323.028i,+935514-361534i,+51825.6+245.75i,-0+0i,+358582-339186i,+42315.2+21169.4i,+9463.42-20971.3i,+0+0j,+0+0j,+36968.2-42664.3i,+80240.3-63555.9i,+18456-42696.8i,-0+0i,+80242.1-63655.7i,-0+0i,+80236.7-63754.5i,+18415.2-42794.5i,+61801.1-21062.2i,+18406.6-42822.4i,-0+0i,+18398.4-42841.9i,+43397.9+21714.8i,+1.40984e-05+5.73576e-06i,+1.41177e-05+5.78255e-06i,+0+0j,+0+0j,+43211.9+21659.3i,+176278-247872i,+43180.8+21604.9i,-0+0i,+0+0j,-0+0i,+176046-248275i,-0+0i,+168271-248675i,+17985.6-21447.4i,+150081-227572i,+8860.95+0.958491i,+76140.5+54402i,+49998.7-244232i,+24530.3-244532i,+24382.7-244840i,+13267.7-245120i,+540074-33297.3i,+519871-34865.9i,+21252.3+10629.1i,+479018+299413i,+1.16866e-08+1.70973e-08i,-0+0i,+477393+296583i,+0+0j,+7.86648e-06+1.13874e-05i,+88927.6+169.83i,+170647-9058.85i,+132553+249423i,+78346.3+107.726i,+45120.8+41.3539i,+37555.1+15.2936i,-0+0i,+170388-9109.49i,+0+0j,+0+0j,+65283.7-203184i,+53878.3+299543i,+65173.6-203470i,+44905.4+22466.8i,+20235.6-226015i,+20119.9-226499i,+19967.8-227017i,-0+0i,+76.3424-227257i,+0+0j,+52761.3+297272i,+33188.4-54362.2i,+18849.6+350167i,-0+0i,+18319.1+348977i,-0+0i,+17843.7+348093i,+17444+347182i,-4.67504e-06-2.94765e-07i,-0+0i,+33161+7.74331i,-1.23968e-07-1.35469e-06i,-1.27738e-07-1.3201e-06i,-1.3844e-07-1.33306e-06i,-0+0i,+99197.4+248693i,+0+0j,+0+0j,-0+0i,+99071.2+248232i,+0+0j,+111367+678.169i,-12381.8+247030i,+72708.4+456.193i,+13844.4+4.40804i,+58801.5+388.458i,+49814.4+22099i,+5680.42+0.420951i,+239738-237266i,+1.07408e+06-333554i,+573079-29744.2i,+393270+242179i,+99296.8+249035i
2016-11-04 09:00:00 PDT,-0+0i,-0+0i,+967042-349385i,+0+0j,+0+0j,+0+0j,+956911-357329i,-0+0i,+85697.1+349.782i,+868462-362910i,+51950.1+281.971i,-0+0i,+335436-338592i,+42395.9+21209.8i,+9507.15-20975.6i,+0+0j,+0+0j,+33315.2-42673.2i,+80590.2-63516.2i,+18585.7-42703.1i,-0+0i,+80586.9-63613.8i,-0+0i,+80577.1-63710.9i,+18538.6-42795.1i,+62015.2-21016.9i,+18529.7-42822.4i,-0+0i,+18521.5-42841.9i,+43488+21760.2i,+1.36462e-05-2.08572e-06i,+1.3651e-05-2.05093e-06i,+0+0j,+0+0j,+43323+21715.4i,+159287-248700i,+43292.4+21660.7i,-0+0i,+0+0j,-0+0i,+159075-249081i,-0+0i,+152561-249459i,+16550.3-21453.2i,+135820-228334i,+7350.65+0.657663i,+76371.2+54566.8i,+35373-245156i,+13650.2-245455i,+13504.9-245763i,+4394.22-246046i,+500790-33902.8i,+484670-35262.5i,+21321.9+10664.1i,+455965+300875i,+5.39015e-09+1.03651e-08i,-0+0i,+454449+298204i,+0+0j,-1.07685e-05+7.51904e-06i,+76685.1+126.772i,+170725-8177.97i,+128591+250417i,+68029.7+80.7645i,+39000.5+30.9197i,+32681.4+11.5313i,-0+0i,+170462-8240.07i,+0+0j,+0+0j,+61407-203951i,+57381.5+301198i,+61293-204236i,+45073.7+22551i,+16186.2-226865i,+16066.9-227345i,+15915.7-227855i,-0+0i,+76.9262-228094i,+0+0j,+56276.6+298908i,+29006.6-54565.8i,+26553.4+351991i,-0+0i,+26021.3+350788i,-0+0i,+25546.4+349895i,+25146.2+348978i,+8.71124e-07-8.98193e-06i,-0+0i,+28980.2+5.97256i,+4.72599e-07-2.30333e-06i,+4.59625e-07-2.32709e-06i,+4.55496e-07-2.29529e-06i,-0+0i,+99415.9+249684i,+0+0j,+0+0j,-0+0i,+99290.1+249225i,+0+0j,+102719+715.331i,-3521.62+247985i,+69353.1+527.197i,+11132.8+2.83862i,+58163.6+466.974i,+49078+22189.9i,+4760.29+0.294385i,+219968-236386i,+995306-338249i,+529611-30846.1i,+377095+243961i,+99516.8+250033i
2016-11-04 10:00:00 PDT,-0+0i,-0+0i,+940291-350145i,+0+0j,+0+0j,+0+0j,+930565-357720i,-0+0i,+83060.3+357.152i,+844853-363066i,+51987.4+293.479i,-0+0i,+327993-338260i,+42417.4+21220.5i,+9522.88-20974.8i,+0+0j,+0+0j,+32936.3-42668.3i,+80690-63495.6i,+18627.1-42697.9i,-0+0i,+80684.1-63592.1i,-0+0i,+80672.3-63688.3i,+18578-42787.4i,+62069.7-21001.4i,+18569-42814.7i,-0+0i,+18560.8-42834.1i,+43502.9+21767.7i,-8.28545e-06-8.72643e-07i,-8.33531e-06-8.94167e-07i,+0+0j,+0+0j,+43346.5+21727.3i,+153417-249060i,+43316+21672.5i,-0+0i,+0+0j,-0+0i,+153211-249434i,-0+0i,+146962-249806i,+16284.2-21451.4i,+130490-228678i,+7060.6+0.606389i,+76423.4+54604.1i,+29947.6-245543i,+9581.94-245841i,+9436.24-246148i,+645.947-246433i,+487238-33933.1i,+471592-35227.4i,+21339.5+10673i,+447579+300830i,+2.01737e-09-2.6628e-08i,-0+0i,+446098+298206i,+0+0j,+4.17055e-06+1.10586e-05i,+71247.5+108.891i,+170318-8499.7i,+126917+250827i,+62908.3+69.2143i,+36296.3+26.6349i,+30239.7+9.86087i,-0+0i,+170053-8565.24i,+0+0j,+0+0j,+61006.5-204127i,+57229.9+301036i,+60888.3-204413i,+45114+22571.1i,+15740.4-227061i,+15617.7-227539i,+15465.6-228045i,-0+0i,+77.0242-228284i,+0+0j,+56135.4+298747i,+26595.7-54619i,+28829.6+351884i,-0+0i,+28298.2+350679i,-0+0i,+27824.6+349784i,+27425.1+348868i,+6.69976e-06-7.41723e-06i,-0+0i,+26569.8+5.08893i,-1.25018e-06-9.45372e-06i,-1.25668e-06-9.45126e-06i,-1.25383e-06-9.44924e-06i,-0+0i,+100154+250092i,+0+0j,+0+0j,-0+0i,+100029+249634i,+0+0j,+99705.2+726.139i,+227.085+248383i,+68880.4+549.045i,+10782.6+2.66006i,+58042+489.839i,+48924.6+22213i,+4560.27+0.269878i,+212801-235973i,+965927-339566i,+513561-31045.3i,+369552+244006i,+100254+250445i
