# file...... node150_swingbus.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# target.... node 185
# trigger... (none)
# interval.. 1800
# limit..... -1
# timestamp,voltage_A,voltage_B,voltage_C
2016-11-04 00:00:00 PDT,-24.3127-2396.75i,-2063.49+1219.43j,+2087.8+1177.32j
2016-11-04 01:00:00 PDT,-24.2468-2396.77i,-2063.54+1219.38j,+2087.79+1177.39j
2016-11-04 02:00:00 PDT,-24.2183-2396.77i,-2063.56+1219.36j,+2087.77+1177.41j
2016-11-04 03:00:00 PDT,-24.223-2396.77i,-2063.55+1219.36j,+2087.78+1177.41j
2016-11-04 04:00:00 PDT,-24.2708-2396.77i,-2063.53+1219.4j,+2087.8+1177.37j
2016-11-04 05:00:00 PDT,-24.4088-2396.75i,-2063.44+1219.51j,+2087.85+1177.24j
2016-11-04 06:00:00 PDT,-24.6007-2396.73i,-2063.33+1219.67j,+2087.93+1177.06j
2016-11-04 07:00:00 PDT,-24.6686-2396.73i,-2063.29+1219.73j,+2087.96+1177j
2016-11-04 08:00:00 PDT,-24.6294-2396.73i,-2063.31+1219.69j,+2087.94+1177.04j
2016-11-04 09:00:00 PDT,-24.4767-2396.75i,-2063.41+1219.57j,+2087.88+1177.18j
2016-11-04 10:00:00 PDT,-24.4104-2396.75i,-2063.44+1219.52j,+2087.85+1177.24j
2016-11-04 11:00:00 PDT,-24.403-2396.75i,-2063.45+1219.51j,+2087.85+1177.24j
2016-11-04 12:00:00 PDT,-24.3757-2396.75i,-2063.46+1219.49j,+2087.83+1177.27j
2016-11-04 13:00:00 PDT,-24.3732-2396.75i,-2063.46+1219.48j,+2087.83+1177.27j
2016-11-04 14:00:00 PDT,-24.379-2396.75i,-2063.46+1219.49j,+2087.84+1177.26j
2016-11-04 15:00:00 PDT,-24.4732-2396.75i,-2063.41+1219.57j,+2087.88+1177.18j
2016-11-04 16:00:00 PDT,-24.8408-2396.71i,-2063.19+1219.87j,+2088.03+1176.84j
2016-11-04 17:00:00 PDT,-25.256-2396.67i,-2062.95+1220.21j,+2088.2+1176.46j
2016-11-04 18:00:00 PDT,-25.4169-2396.67i,-2062.87+1220.35j,+2088.28+1176.32j
2016-11-04 19:00:00 PDT,-25.3831-2396.67i,-2062.88+1220.32j,+2088.27+1176.35j
2016-11-04 20:00:00 PDT,-25.3209-2396.67i,-2062.92+1220.26j,+2088.24+1176.41j
2016-11-04 21:00:00 PDT,-25.1156-2396.69i,-2063.04+1220.09j,+2088.15+1176.59j
2016-11-04 22:00:00 PDT,-24.8035-2396.71i,-2063.21+1219.83j,+2088.01+1176.87j
2016-11-04 23:00:00 PDT,-24.535-2396.75i,-2063.38+1219.62j,+2087.91+1177.13j
2016-11-05 00:00:00 PDT,-24.3484-2396.75i,-2063.47+1219.46j,+2087.82+1177.29j
2016-11-05 01:00:00 PDT,-24.2758-2396.77i,-2063.53+1219.41j,+2087.8+1177.36j
2016-11-05 02:00:00 PDT,-24.2536-2396.77i,-2063.54+1219.39j,+2087.79+1177.38j
2016-11-05 03:00:00 PDT,-24.2565-2396.77i,-2063.54+1219.39j,+2087.79+1177.38j
2016-11-05 04:00:00 PDT,-24.3222-2396.75i,-2063.49+1219.44j,+2087.81+1177.31j
2016-11-05 05:00:00 PDT,-24.4687-2396.75i,-2063.41+1219.57j,+2087.88+1177.18j
2016-11-05 06:00:00 PDT,-24.6491-2396.73i,-2063.3+1219.71j,+2087.95+1177.02j
2016-11-05 07:00:00 PDT,-24.683-2396.73i,-2063.29+1219.74j,+2087.97+1176.99j
2016-11-05 08:00:00 PDT,-24.5929-2396.73i,-2063.33+1219.66j,+2087.93+1177.07j
2016-11-05 09:00:00 PDT,-24.4389-2396.75i,-2063.43+1219.54j,+2087.87+1177.21j
2016-11-05 10:00:00 PDT,-24.377-2396.75i,-2063.46+1219.49j,+2087.84+1177.26j
2016-11-05 11:00:00 PDT,-24.3692-2396.75i,-2063.46+1219.48j,+2087.83+1177.27j
2016-11-05 12:00:00 PDT,-24.3439-2396.75i,-2063.47+1219.46j,+2087.82+1177.29j
2016-11-05 13:00:00 PDT,-24.3289-2396.75i,-2063.48+1219.44j,+2087.81+1177.31j
2016-11-05 14:00:00 PDT,-24.3357-2396.75i,-2063.48+1219.45j,+2087.81+1177.3j
2016-11-05 15:00:00 PDT,-24.4511-2396.75i,-2063.42+1219.55j,+2087.87+1177.2j
2016-11-05 16:00:00 PDT,-24.8425-2396.71i,-2063.19+1219.87j,+2088.03+1176.84j
2016-11-05 17:00:00 PDT,-25.341-2396.67i,-2062.91+1220.28j,+2088.25+1176.39j
2016-11-05 18:00:00 PDT,-25.5118-2396.65i,-2062.8+1220.42j,+2088.31+1176.23j
2016-11-05 19:00:00 PDT,-25.4754-2396.65i,-2062.82+1220.39j,+2088.3+1176.26j
2016-11-05 20:00:00 PDT,-25.4032-2396.67i,-2062.87+1220.33j,+2088.28+1176.33j
2016-11-05 21:00:00 PDT,-25.1832-2396.69i,-2063+1220.15j,+2088.18+1176.54j
2016-11-05 22:00:00 PDT,-24.8591-2396.71i,-2063.18+1219.88j,+2088.04+1176.83j
2016-11-05 23:00:00 PDT,-24.5777-2396.73i,-2063.34+1219.65j,+2087.92+1177.08j
