# file...... nodes_voltage_A.csv
# date...... Fri Oct 27 14:51:55 2017
# user...... mast9
# host...... (null)
# group..... class= node
# property.. voltage_A
# limit..... -1
# interval.. 3600
# timestamp,Node3,Node8,Node13,Node14,Node1401,Node15,Node18,Node21,Node23,Node25,Node26,Node2601,Node27,Node36,Node40,Node44,Node54,Node57,Node61,Node67,Node6701,Node72,Node78,Node81,Node89,Node91,Node93,Node97,Node101,Node105,Node108,Node110,Node135,Node149,Node1491,Node150,Node151,Node152,Node160,Node195,Node197,Node250,Node251,Node300,Node350,Node450,Node451,Node610,Node611
2016-12-02 00:00:00 PST,+0+0j,+2465.84-51.932i,+2453.82-66.9738i,+2443.45-54.3466i,+2447.54-53.0205i,+0+0j,+2443.88-84.6078i,+2441.67-86.3032i,+2439.91-88.1211i,+2437.7-90.1806i,+2436.77-91.0955i,+2437.7-90.1798i,+2435.91-91.8322i,+2441.05-90.6668i,+2443.68-92.1483i,+2444.31-97.058i,+2433.86-85.7411i,+2419.12-90.3485i,+2387.82-100.994i,+2494.68-109.96i,+2507.19-106.012i,+2489.85-110.741i,+2489.06-114.357i,+2499.25-118.687i,+2452.96-97.8667i,+2447.65-95.2675i,+2442.23-93.1965i,+2490.35-110.816i,+2485.99-111.199i,+2480.58-111.71i,+2474.48-112.699i,+2464.28-117.597i,+2443.87-84.6053i,+2506.79+0.0317576i,+2506.81+0.00578087i,+2401.78-0.000799025i,+2462.51-108.033i,+2453.82-66.9588i,+2387.82-100.978i,+2442.11-93.0271i,+2490.35-110.809i,+2436.18-91.8209i,+2436.18-91.8209i,+2462.51-108.037i,+2462.51-108.037i,+2491.5-111.439i,+2491.5-111.439i,+275.517-11.6531j,+2387.82-100.994i
2016-12-02 01:00:00 PST,+0+0j,-88.7376-2490.82i,-107.692-2488.07i,-92.1592-2470.99i,-89.9797-2473.33i,+0+0j,-128.419-2495.51i,-130.435-2496.67i,-132.525-2497.72i,-134.876-2498.61i,-135.961-2499.7i,-134.878-2498.61i,-136.825-2500.44i,-136.148-2493.96i,-137.734-2498.31i,-143.891-2501.25i,-132.295-2474.83i,-137.881-2461.79i,-149.951-2434.56i,-160.86-2546.06i,-157.425-2556.27i,-161.83-2542.09i,-165.831-2541.91i,-170.575-2552.12i,-147.637-2497.56i,-144.413-2491.18i,-141.715-2484.7i,-161.46-2542.67i,-161.62-2539.21i,-161.875-2534.84i,-162.533-2529.93i,-168.592-2523.03i,-128.42-2495.5i,-25.4369-2501.54i,-25.4493-2501.57i,-24.37-2396.75i,-157.026-2518.77i,-107.682-2488.06i,-149.938-2434.56i,-141.567-2484.6i,-161.453-2542.67i,-136.641-2498.14i,-136.641-2498.14i,-157.03-2518.76i,-157.03-2518.76i,-162.081-2543.85i,-162.081-2543.85i,-17.302-280.911j,-149.951-2434.56i
2016-12-02 02:00:00 PST,+0+0j,-87.8963-2491.24i,-106.621-2488.62i,-91.304-2471.43i,-89.1235-2473.77i,+0+0j,-127.134-2496.11i,-129.155-2497.24i,-131.25-2498.27i,-133.605-2499.15i,-134.69-2500.23i,-133.606-2499.15i,-135.555-2500.96i,-134.788-2494.61i,-136.314-2498.99i,-142.386-2501.99i,-130.887-2475.6i,-136.396-2462.6i,-148.287-2435.42i,-159.076-2546.99i,-155.679-2557.18i,-160.08-2543i,-164.092-2542.82i,-168.782-2553.03i,-146.114-2498.42i,-142.927-2492.02i,-140.265-2485.53i,-159.666-2543.59i,-159.825-2540.13i,-160.077-2535.77i,-160.721-2530.87i,-166.683-2524.08i,-127.134-2496.1i,-25.3683-2501.55i,-25.3804-2501.57i,-24.3039-2396.75i,-155.313-2519.64i,-106.611-2488.61i,-148.275-2435.42i,-140.125-2485.43i,-159.659-2543.6i,-135.374-2498.66i,-135.374-2498.66i,-155.317-2519.64i,-155.317-2519.64i,-160.28-2544.79i,-160.28-2544.79i,-17.1101-281.01j,-148.287-2435.42i
2016-12-02 03:00:00 PST,+0+0j,-87.8359-2491.3i,-106.553-2488.68i,-91.2428-2471.49i,-89.0621-2473.83i,+0+0j,-127.062-2496.18i,-129.083-2497.31i,-131.178-2498.34i,-133.533-2499.21i,-134.619-2500.3i,-133.535-2499.21i,-135.483-2501.03i,-134.713-2494.69i,-136.239-2499.07i,-142.309-2502.07i,-130.806-2475.69i,-136.313-2462.7i,-148.2-2435.53i,-158.985-2547.1i,-155.587-2557.3i,-159.99-2543.11i,-164.005-2542.93i,-168.697-2553.13i,-146.03-2498.52i,-142.844-2492.12i,-140.183-2485.62i,-159.574-2543.7i,-159.735-2540.24i,-159.988-2535.88i,-160.632-2530.98i,-166.591-2524.19i,-127.062-2496.17i,-25.336-2501.57i,-25.3481-2501.59i,-24.2729-2396.77i,-155.228-2519.74i,-106.543-2488.67i,-148.188-2435.53i,-140.044-2485.52i,-159.567-2543.71i,-135.303-2498.72i,-135.303-2498.72i,-155.232-2519.73i,-155.232-2519.73i,-160.189-2544.9i,-160.189-2544.9i,-17.1-281.023j,-148.2-2435.53i
2016-12-02 04:00:00 PST,+0+0j,-88.5667-2491.04i,-107.464-2488.36i,-92.0066-2471.19i,-89.8269-2473.53i,+0+0j,-128.041-2495.96i,-130.052-2497.14i,-132.14-2498.21i,-134.491-2499.11i,-135.577-2500.19i,-134.492-2499.11i,-136.441-2500.92i,-135.754-2494.44i,-137.304-2498.79i,-143.418-2501.75i,-132.033-2475.17i,-137.579-2462.16i,-149.545-2434.94i,-160.438-2546.48i,-156.999-2556.67i,-161.4-2542.53i,-165.32-2542.36i,-169.95-2552.64i,-147.362-2497.94i,-144.146-2491.57i,-141.459-2485.07i,-161.027-2543.08i,-161.161-2539.63i,-161.389-2535.26i,-162.037-2530.37i,-168.055-2523.51i,-128.041-2495.95i,-25.3348-2501.57i,-25.3472-2501.59i,-24.2721-2396.77i,-156.518-2519.24i,-107.454-2488.35i,-149.533-2434.94i,-141.321-2484.98i,-161.021-2543.08i,-136.246-2498.68i,-136.246-2498.68i,-156.523-2519.23i,-156.523-2519.23i,-161.643-2544.22i,-161.643-2544.22i,-17.2552-280.955j,-149.545-2434.94i
2016-12-02 05:00:00 PST,+0+0j,-91.4367-2489.74i,-111.101-2486.7i,-94.9706-2469.77i,-92.7948-2472.11i,+0+0j,-132.21-2494.4i,-134.196-2495.71i,-136.262-2496.88i,-138.6-2497.84i,-139.685-2498.93i,-138.602-2497.84i,-140.55-2499.67i,-140.169-2492.72i,-141.861-2496.97i,-148.2-2499.72i,-136.886-2472.73i,-142.648-2459.62i,-155.093-2432.22i,-166.393-2543.58i,-162.824-2553.81i,-167.222-2539.71i,-170.975-2539.54i,-175.629-2549.93i,-152.617-2495.24i,-149.28-2488.94i,-146.478-2482.48i,-166.997-2540.16i,-167.081-2536.77i,-167.266-2532.37i,-167.941-2527.48i,-174.245-2520.28i,-132.21-2494.39i,-25.3779-2501.54i,-25.3917-2501.57i,-24.3148-2396.75i,-162.023-2516.65i,-111.091-2486.69i,-155.08-2432.22i,-146.33-2482.38i,-166.99-2540.17i,-140.323-2497.58i,-140.323-2497.58i,-162.027-2516.64i,-162.027-2516.64i,-167.618-2541.18i,-167.618-2541.18i,-17.8953-280.64j,-155.093-2432.22i
2016-12-02 06:00:00 PST,+0+0j,-96.7197-2487.27i,-117.838-2483.54i,-100.392-2467.12i,-98.2232-2469.46i,+0+0j,-140.122-2491.22i,-142.069-2492.74i,-144.101-2494.09i,-146.415-2495.16i,-147.497-2496.29i,-146.417-2495.16i,-148.361-2497.03i,-148.555-2489.23i,-150.566-2493.29i,-157.386-2495.66i,-145.831-2468.16i,-152.038-2454.89i,-165.488-2427.16i,-177.549-2538.17i,-173.738-2548.5i,-178.15-2534.4i,-181.703-2534.22i,-186.544-2544.78i,-162.307-2490.18i,-158.74-2484.01i,-155.717-2477.62i,-178.196-2534.72i,-178.237-2531.41i,-178.39-2526.92i,-179.138-2522.02i,-186.025-2514.09i,-140.122-2491.21i,-25.5184-2501.53i,-25.5345-2501.56i,-24.4519-2396.75i,-172.539-2511.64i,-117.826-2483.53i,-165.475-2427.16i,-155.531-2477.49i,-178.189-2534.72i,-148.093-2495.11i,-148.093-2495.11i,-172.543-2511.63i,-172.543-2511.63i,-178.81-2535.54i,-178.81-2535.54i,-19.0948-280.057j,-165.488-2427.16i
2016-12-02 07:00:00 PST,+0+0j,-100.142-2485.65i,-122.235-2481.47i,-103.853-2465.44i,-101.689-2467.78i,+0+0j,-145.482-2488.95i,-147.409-2490.57i,-149.425-2492i,-151.725-2493.13i,-152.802-2494.31i,-151.727-2493.13i,-153.667-2495.05i,-154.244-2486.72i,-156.533-2490.67i,-163.746-2492.79i,-151.615-2465.33i,-158.162-2451.98i,-172.396-2424.14i,-184.978-2534.86i,-180.991-2545.33i,-185.445-2531.12i,-188.983-2530.93i,-194.09-2541.54i,-168.584-2487.05i,-164.86-2480.94i,-161.682-2474.59i,-185.687-2531.38i,-185.753-2528.06i,-185.936-2523.51i,-186.749-2518.55i,-194.065-2510.08i,-145.481-2488.94i,-25.7664-2501.51i,-25.7838-2501.54i,-24.691-2396.73i,-179.767-2508.33i,-122.223-2481.46i,-172.382-2424.14i,-161.453-2474.43i,-185.681-2531.38i,-153.392-2493.13i,-153.392-2493.13i,-179.771-2508.32i,-179.771-2508.32i,-186.342-2532.16i,-186.342-2532.16i,-19.8918-279.709j,-172.396-2424.14i
2016-12-02 08:00:00 PST,+0+0j,-97.485-2487.69i,-118.779-2484.12i,-101.123-2467.56i,-98.9545-2469.9i,+0+0j,-141.361-2491.82i,-143.307-2493.35i,-145.34-2494.7i,-147.652-2495.78i,-148.73-2496.95i,-147.654-2495.78i,-149.595-2497.68i,-149.88-2489.8i,-152.005-2493.88i,-158.967-2496.25i,-146.942-2469.08i,-153.226-2455.96i,-166.869-2428.59i,-179.061-2539.51i,-175.187-2550.01i,-179.651-2535.69i,-183.268-2535.53i,-188.236-2546.15i,-163.525-2491.22i,-159.928-2485.01i,-156.873-2478.57i,-179.726-2536.03i,-179.82-2532.68i,-180.031-2528.12i,-180.826-2523.11i,-187.853-2515.01i,-141.36-2491.81i,-25.903-2501.49i,-25.9193-2501.52i,-24.8207-2396.71i,-174.237-2512.5i,-118.767-2484.11i,-166.855-2428.59i,-156.663-2478.43i,-179.72-2536.03i,-149.341-2495.68i,-149.341-2495.68i,-174.241-2512.49i,-174.241-2512.49i,-180.277-2536.82i,-180.277-2536.82i,-19.2541-280.222j,-166.869-2428.59i
2016-12-02 09:00:00 PST,+0+0j,-93.0362-2490.44i,-113.066-2487.68i,-96.573-2470.45i,-94.3987-2472.79i,+0+0j,-134.528-2495.64i,-136.506-2497.01i,-138.564-2498.24i,-140.896-2499.23i,-141.978-2500.35i,-140.897-2499.23i,-142.843-2501.09i,-142.64-2493.95i,-144.466-2498.21i,-150.989-2500.96i,-139.351-2474.15i,-145.218-2461.3i,-157.91-2434.47i,-169.471-2545.7i,-165.781-2556.17i,-170.252-2541.77i,-173.976-2541.63i,-178.701-2552.2i,-155.318-2496.85i,-151.922-2490.5i,-149.062-2483.97i,-170.087-2542.21i,-170.195-2538.79i,-170.412-2534.26i,-171.143-2529.24i,-177.652-2521.78i,-134.528-2495.64i,-25.8135-2501.52i,-25.8278-2501.55i,-24.7328-2396.73i,-165.117-2518.16i,-113.055-2487.67i,-157.897-2434.47i,-148.893-2483.86i,-170.08-2542.21i,-142.616-2498.99i,-142.616-2498.99i,-165.121-2518.16i,-165.121-2518.16i,-170.616-2543.11i,-170.616-2543.11i,-18.2204-280.9j,-157.91-2434.47i
