# file...... underground_lines_power_in_B.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= underground_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O60-62,O62-63,O63-64,O64-65,O65-66
2016-12-02 00:00:00 PST,+115841+59573.5j,+115700+59545.7j,+115600+59526.4j,+36943.9+25985.4j,-2.44421e-11+6.83712e-09j
2016-12-02 01:00:00 PST,+72192.3-53536j,+72127-53549.9j,+72081.1-53559.1j,+38511.3+27438.8j,+2.71697e-10+2.0378e-09j
2016-12-02 02:00:00 PST,+72238.5-53528.2j,+72173.2-53542j,+72127.3-53551.2j,+38527.5+27444.3j,+3.32399e-09-1.60335e-09j
2016-12-02 03:00:00 PST,+72242.3-53524.5j,+72177-53538.4j,+72131.1-53547.6j,+38527.3+27446.4j,-2.1547e-09-3.34834e-09j
2016-12-02 04:00:00 PST,+72166.2-53518.7j,+72101-53532.6j,+72055.1-53541.7j,+38498.3+27434.7j,+1.39184e-08-1.27756e-08j
2016-12-02 05:00:00 PST,+71939.4-53519.3j,+71874.3-53533.2j,+71828.5-53542.3j,+38411.9+27403.3j,+1.57864e-09+8.62946e-09j
2016-12-02 06:00:00 PST,+71559.5-53521.5j,+71494.7-53535.5j,+71449.1-53544.8j,+38262.6+27358.8j,-9.67415e-09-1.2919e-10j
2016-12-02 07:00:00 PST,+71383.2-53513.5j,+71318.8-53527.7j,+71273.4-53537.1j,+38179.3+27357.2j,+2.60389e-09+1.04287e-08j
2016-12-02 08:00:00 PST,+71502-53413.4j,+71437.7-53427.7j,+71392.4-53437.2j,+38191.8+27401.4j,-9.66965e-09-5.68646e-09j
2016-12-02 09:00:00 PST,+71769.7-53323.3j,+71705.4-53337.6j,+71660.1-53347.2j,+38264.2+27460.1j,+1.10751e-08-1.07947e-08j
2016-12-02 10:00:00 PST,+71916.8-53317.9j,+71852.4-53332.3j,+71807.1-53341.8j,+38317.2+27480.5j,+2.01229e-09+1.04926e-08j
