# file...... System_ABC_load_meter.csv
# date...... Fri Oct 27 14:52:42 2017
# user...... mast9
# host...... (null)
# target.... transformer 148
# trigger... (none)
# interval.. 1800
# limit..... -1
# timestamp,power_out,power_out_A,power_out_B,power_out_C
2016-02-05 00:00:00 PST,+2.5239e+06-949439i,+982857-337681i,+687734-412707j,+853307-199051j
2016-02-05 01:00:00 PST,+2.43483e+06-955178i,+946075-339873i,+663428-414703j,+825326-200603j
2016-02-05 02:00:00 PST,+2.40162e+06-957265i,+932251-340661i,+654363-415446j,+815006-201158j
2016-02-05 03:00:00 PST,+2.39909e+06-957417i,+931281-340711i,+653631-415504j,+814176-201201j
2016-02-05 04:00:00 PST,+2.4529e+06-954108i,+948896-340098i,+667097-414137j,+836905-199873j
2016-02-05 05:00:00 PST,+2.62811e+06-942720i,+1.01394e+06-336986i,+712740-409761j,+901436-195973j
2016-02-05 06:00:00 PST,+2.89513e+06-923762i,+1.11395e+06-331172i,+781844-403230j,+999334-189361j
2016-02-05 07:00:00 PST,+2.88463e+06-924271i,+1.11541e+06-330026i,+778446-404327j,+990776-189918j
2016-02-05 08:00:00 PST,+2.48678e+06-951560i,+966146-338296i,+672746-414292j,+847886-198972j
2016-02-05 09:00:00 PST,+2.08149e+06-975280i,+813476-345372i,+563827-423497j,+704187-206411j
2016-02-05 10:00:00 PST,+1.88039e+06-985429i,+743064-347704i,+512105-427807j,+625220-209918j
2016-02-05 11:00:00 PST,+1.82116e+06-988243i,+723657-348451i,+497048-428859j,+600452-210933j
2016-02-05 12:00:00 PST,+1.79104e+06-989670i,+714580-348817i,+490433-429287j,+586023-211566j
2016-02-05 13:00:00 PST,+1.78321e+06-990032i,+709119-349093i,+486903-429507j,+587192-211432j
2016-02-05 14:00:00 PST,+1.81986e+06-988301i,+722683-348518i,+496620-428876j,+600557-210906j
2016-02-05 15:00:00 PST,+1.98476e+06-980266i,+780507-346513i,+539125-425548j,+665132-208205j
2016-02-05 16:00:00 PST,+2.51442e+06-949702i,+973087-338094i,+677170-413810j,+864160-197798j
2016-02-05 17:00:00 PST,+3.36929e+06-885521i,+1.30176e+06-317314i,+908204-390925j,+1.15933e+06-177282j
2016-02-05 18:00:00 PST,+3.77307e+06-848696i,+1.46033e+06-304126i,+1.01725e+06-379001j,+1.29549e+06-165570j
2016-02-05 19:00:00 PST,+3.86344e+06-839767i,+1.501e+06-299675i,+1.04259e+06-376594j,+1.31984e+06-163498j
2016-02-05 20:00:00 PST,+3.82186e+06-843879i,+1.48509e+06-301207i,+1.03158e+06-377797j,+1.30519e+06-164876j
2016-02-05 21:00:00 PST,+3.55874e+06-868682i,+1.38543e+06-309615i,+962476-385663j,+1.21083e+06-173405j
2016-02-05 22:00:00 PST,+3.16523e+06-902551i,+1.23369e+06-321409i,+858506-396634j,+1.07303e+06-184508j
2016-02-05 23:00:00 PST,+2.82308e+06-928816i,+1.10183e+06-330336i,+767956-405544j,+953293-192937j
2016-02-06 00:00:00 PST,+2.59268e+06-944860i,+1.01143e+06-336015i,+705470-411120j,+875787-197726j
2016-02-06 01:00:00 PST,+2.4955e+06-951275i,+970786-338525i,+678840-413329j,+845869-199421j
2016-02-06 02:00:00 PST,+2.46491e+06-953237i,+958807-339224i,+670647-414003j,+835453-200010j
2016-02-06 03:00:00 PST,+2.46359e+06-953318i,+958301-339244i,+670275-414041j,+835013-200033j
2016-02-06 04:00:00 PST,+2.52006e+06-949764i,+976786-338582i,+684360-412586j,+858918-198595j
2016-02-06 05:00:00 PST,+2.70574e+06-937356i,+1.0455e+06-335148i,+732667-407899j,+927575-194310j
2016-02-06 06:00:00 PST,+2.9822e+06-917218i,+1.15e+06-328758i,+806134-400877j,+1.02606e+06-187583j
