# file...... node150_swingbus.csv
# date...... Fri Oct 27 14:52:42 2017
# user...... mast9
# host...... (null)
# target.... node 185
# trigger... (none)
# interval.. 1800
# limit..... -1
# timestamp,voltage_A,voltage_B,voltage_C
2016-02-05 00:00:00 PST,-24.3733-2396.75i,-2063.46+1219.48j,+2087.83+1177.27j
2016-02-05 01:00:00 PST,-24.3008-2396.77i,-2063.51+1219.43j,+2087.81+1177.34j
2016-02-05 02:00:00 PST,-24.2739-2396.77i,-2063.53+1219.41j,+2087.8+1177.36j
2016-02-05 03:00:00 PST,-24.2719-2396.77i,-2063.53+1219.41j,+2087.8+1177.37j
2016-02-05 04:00:00 PST,-24.3156-2396.75i,-2063.49+1219.43j,+2087.8+1177.32j
2016-02-05 05:00:00 PST,-24.458-2396.75i,-2063.42+1219.56j,+2087.88+1177.19j
2016-02-05 06:00:00 PST,-24.6744-2396.73i,-2063.29+1219.73j,+2087.97+1177j
2016-02-05 07:00:00 PST,-24.6657-2396.73i,-2063.3+1219.73j,+2087.96+1177j
2016-02-05 08:00:00 PST,-24.3431-2396.75i,-2063.48+1219.46j,+2087.82+1177.29j
2016-02-05 09:00:00 PST,-24.0125-2396.79i,-2063.68+1219.19j,+2087.69+1177.6j
2016-02-05 10:00:00 PST,-23.8476-2396.79i,-2063.76+1219.05j,+2087.61+1177.74j
2016-02-05 11:00:00 PST,-23.799-2396.81i,-2063.8+1219.02j,+2087.6+1177.8j
2016-02-05 12:00:00 PST,-23.7744-2396.81i,-2063.81+1219j,+2087.59+1177.82j
2016-02-05 13:00:00 PST,-23.7678-2396.81i,-2063.82+1218.99j,+2087.58+1177.82j
2016-02-05 14:00:00 PST,-23.798-2396.81i,-2063.8+1219.02j,+2087.6+1177.8j
2016-02-05 15:00:00 PST,-23.9332-2396.79i,-2063.72+1219.12j,+2087.65+1177.67j
2016-02-05 16:00:00 PST,-24.3655-2396.75i,-2063.46+1219.48j,+2087.83+1177.27j
2016-02-05 17:00:00 PST,-25.0563-2396.69i,-2063.07+1220.04j,+2088.12+1176.65j
2016-02-05 18:00:00 PST,-25.3798-2396.67i,-2062.89+1220.31j,+2088.27+1176.35j
2016-02-05 19:00:00 PST,-25.4518-2396.65i,-2062.83+1220.37j,+2088.28+1176.28j
2016-02-05 20:00:00 PST,-25.4188-2396.67i,-2062.87+1220.35j,+2088.28+1176.32j
2016-02-05 21:00:00 PST,-25.2084-2396.69i,-2062.99+1220.18j,+2088.2+1176.51j
2016-02-05 22:00:00 PST,-24.8923-2396.71i,-2063.17+1219.91j,+2088.06+1176.8j
2016-02-05 23:00:00 PST,-24.6159-2396.73i,-2063.32+1219.68j,+2087.94+1177.05j
2016-02-06 00:00:00 PST,-24.4291-2396.75i,-2063.43+1219.53j,+2087.86+1177.22j
2016-02-06 01:00:00 PST,-24.3503-2396.75i,-2063.47+1219.46j,+2087.82+1177.29j
2016-02-06 02:00:00 PST,-24.3254-2396.75i,-2063.48+1219.44j,+2087.81+1177.31j
2016-02-06 03:00:00 PST,-24.3242-2396.75i,-2063.48+1219.44j,+2087.81+1177.31j
2016-02-06 04:00:00 PST,-24.3702-2396.75i,-2063.46+1219.48j,+2087.83+1177.27j
2016-02-06 05:00:00 PST,-24.521-2396.75i,-2063.39+1219.61j,+2087.91+1177.14j
2016-02-06 06:00:00 PST,-24.7448-2396.73i,-2063.26+1219.79j,+2088+1176.94j
2016-02-06 07:00:00 PST,-24.7214-2396.73i,-2063.27+1219.77j,+2087.99+1176.96j
2016-02-06 08:00:00 PST,-24.3466-2396.75i,-2063.47+1219.46j,+2087.82+1177.29j
2016-02-06 09:00:00 PST,-24.0038-2396.79i,-2063.68+1219.18j,+2087.68+1177.61j
2016-02-06 10:00:00 PST,-23.8415-2396.79i,-2063.76+1219.04j,+2087.6+1177.75j
2016-02-06 11:00:00 PST,-23.8023-2396.81i,-2063.8+1219.02j,+2087.6+1177.79j
2016-02-06 12:00:00 PST,-23.784-2396.81i,-2063.81+1219j,+2087.59+1177.81j
2016-02-06 13:00:00 PST,-23.774-2396.81i,-2063.81+1218.99j,+2087.59+1177.82j
2016-02-06 14:00:00 PST,-23.7896-2396.81i,-2063.81+1219.01j,+2087.59+1177.8j
2016-02-06 15:00:00 PST,-23.8499-2396.79i,-2063.76+1219.05j,+2087.61+1177.74j
2016-02-06 16:00:00 PST,-24.3521-2396.75i,-2063.47+1219.46j,+2087.82+1177.29j
2016-02-06 17:00:00 PST,-25.1602-2396.69i,-2063.01+1220.13j,+2088.17+1176.56j
2016-02-06 18:00:00 PST,-25.4758-2396.65i,-2062.82+1220.39j,+2088.3+1176.26j
2016-02-06 19:00:00 PST,-25.5559-2396.65i,-2062.78+1220.46j,+2088.34+1176.19j
2016-02-06 20:00:00 PST,-25.5224-2396.65i,-2062.8+1220.43j,+2088.32+1176.22j
2016-02-06 21:00:00 PST,-25.3039-2396.67i,-2062.92+1220.25j,+2088.23+1176.42j
2016-02-06 22:00:00 PST,-24.9759-2396.71i,-2063.12+1219.98j,+2088.1+1176.72j
2016-02-06 23:00:00 PST,-24.6795-2396.73i,-2063.29+1219.74j,+2087.97+1176.99j
