# file...... Overhead_lines_power_in_C.csv
# date...... Fri Oct 27 14:53:00 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_C
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-05-06 00:00:00 PDT,+0+0j,+84467.4+31917.9j,+748683-16264.9j,+20473.4+3.43558j,+63911.7+31831.2j,+43026.1+21525.1j,+747162-18933.4j,+0+0j,+0+0j,+746153-20718.8j,+0+0j,+73975.3+21443.7j,+164745-127961j,+0+0j,+0+0j,+25590+10.1566j,+5560.44+0.447573j,+0+0j,+52301.4-7.38471j,+0+0j,+0+0j,+52288.3-3.43412j,+21720.6+10.7209j,+30549.5-8.26566j,+11303+1.03215j,+19237.3+0.523891j,+1.38008e-09-8.08949e-10j,+11301.8+1.83685j,+0+0j,+19234.6+3.69111j,+19231.8+4.28537j,-3.7253e-06-1.24989e-05j,+7100.63+0.633472j,+31154.4+14.6175j,+0+0j,+112239-128655j,+0+0j,+0+0j,+0+0j,+2520.08+0.0848357j,+109666-128853j,+0+0j,+109615-129048j,+0+0j,+109566-129184j,+0+0j,+75548.4+53983j,-2999.08-208497j,-20079.7-208746j,-44226-208979j,-44332.9-209228j,+504931+80967j,+504423+80000.9j,-7.35574e-09-5.49697e-09j,+504115+79388.6j,+3.61923e-09+1.77373e-08j,+0+0j,+503751+78381.1j,+0+0j,-1.15603e-05+4.78583e-06j,+0+0j,+215157-208810j,+147839+234406j,+0+0j,+0+0j,+0+0j,+83892.3+22485.1j,+131416-231783j,+65821.6+22403.3j,+21097+7.05259j,+35054.2-226399j,+20769.7-56600.6j,+34879.6-226776j,-5.49689e-09-1.44915e-08j,+34833.9-226863j,+34541.5-227312j,+8582.3-227750j,+25655.2+25.5246j,+8445.98-227964j,+21098.1+8.23789j,+20914.9-56756.7j,+0+0j,+21016.5-56852.6j,+0+0j,+21085.4-56917.1j,+21132.3-56966.1j,-4.45422e-06-2.58473e-06j,+0+0j,-4.46351e-06-2.62123e-06j,+0+0j,+44514.5+22316.9j,+44505.7+22300.9j,+44495.3+22265.5j,+6.96141e-06+4.85209e-06j,+57249.4+80.439j,+45626.4+211389j,+50800.4+51.1042j,+25187.5+17.7064j,+0+0j,+45404.3+211160j,+0+0j,+0+0j,+45142.1+210845j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+112241-128351j,+835977+20413.9j,+505984+82863.1j,+363282+25784.2j,+103069+211724j
2016-05-06 01:00:00 PDT,+0+0j,+72885.2+683.141j,+703968-207768j,+19793.2+3.21706j,+53038.2+625.473j,+42994.1+21509j,+701909-210084j,+0+0j,+0+0j,+700539-211635j,+0+0j,+73049.2+21404.9j,+141645-207376j,+0+0j,+0+0j,+25029.6+9.73357j,+5270.4+0.402798j,+0+0j,+50416.2+64.2808j,+0+0j,+0+0j,+50389.4+40.2965j,+20959.9+10.0122j,+29399.9+12.7742j,+10744.4+3.53683j,+18638.8+3.61265j,+1.82235e-08+3.03742e-08j,+10741.7+1.67265j,+0+0j,+18634.4+3.24435j,+18631.7+4.03676j,-8.88656e-06+1.64517e-05j,+6790.57+0.581527j,+30303.8+13.9402j,+0+0j,+90361.2-208555j,+0+0j,+0+0j,+0+0j,+2370.07+0.0750652j,+87890.8-208856j,+0+0j,+87792.7-209156j,+0+0j,+87710-209367j,+0+0j,+75682.7+54078.6j,-12774.3-226437j,-29227.7-226714j,-52488.2-226980j,-52557.8-227270j,+482652-29530.5j,+482065-30220.4j,-3.58119e-09+6.38673e-09j,+481704-30661j,+2.22059e-09-3.29921e-08j,+0+0j,+481316-31218.8j,+0+0j,-2.05489e-06+6.29304e-06j,+0+0j,+186420-336872j,+154039+253080j,+0+0j,+0+0j,+0+0j,+82851.2+22582.5j,+103800-360271j,+65302.6+22502.9j,+20376.5+6.54937j,+33725.3-227611j,+19927.4-56973.6j,+33556.9-227979j,+4.50266e-09+8.42805e-09j,+33512.9-228064j,+33226.4-228504j,+8256-228933j,+24673.2+23.55j,+8122.67-229144j,+20377.5+7.6444j,+20125.3-57116.7j,+0+0j,+20263.4-57209.7j,+0+0j,+20354.9-57272.8j,+20412.2-57329.8j,+8.68864e-06-1.27896e-05j,+0+0j,+8.71192e-06-1.28047e-05j,+0+0j,+44648.1+22384.3j,+44639.4+22368j,+44628.5+22332.2j,+5.49936e-06+4.90598e-06j,+55554.5+75.5277j,+53492.4+229826j,+49397.4+47.9827j,+24346.3+16.4952j,+0+0j,+53323.3+229539j,+0+0j,+0+0j,+53122.9+229153j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+90378.1-208126j,+780281-203036j,+483852-28189.9j,+340524-83551j,+109191+230232j
2016-05-06 02:00:00 PDT,+0+0j,+72845.4+683.194j,+703975-207767j,+19753.2+3.20406j,+53038.5+625.598j,+42994.1+21509.1j,+701916-210083j,+0+0j,+0+0j,+700546-211634j,+0+0j,+73029+21404.8j,+141664-207376j,+0+0j,+0+0j,+24959.6+9.67918j,+5320.41+0.410479j,+0+0j,+50426.3+64.3017j,+0+0j,+0+0j,+50399.4+40.3077j,+20939.9+9.99312j,+29429.9+12.797j,+10834.5+3.58903j,+18578.8+3.56953j,-7.97019e-09+9.19374e-09j,+10831.7+1.6979j,+0+0j,+18574.3+3.20985j,+18571.7+4.01081j,-1.49065e-06+9.91214e-06j,+6830.58+0.588405j,+30283.7+13.8884j,+0+0j,+90370-208554j,+0+0j,+0+0j,+0+0j,+2400.08+0.0769782j,+87869.6-208855j,+0+0j,+87771.6-209154j,+0+0j,+87688.9-209366j,+0+0j,+75682.1+54078.2j,-12795.1-226436j,-29253.6-226713j,-52504-226979j,-52573.6-227268j,+482659-29529.7j,+482072-30219.6j,-1.12703e-08+6.10949e-09j,+481711-30660.2j,-9.12094e-09-1.30137e-08j,+0+0j,+481323-31218j,+0+0j,+3.21079e-06-2.23941e-06j,+0+0j,+186331-336868j,+153995+253077j,+0+0j,+0+0j,+0+0j,+82740.6+22582.1j,+103821-360267j,+65272.3+22502.7j,+20346.4+6.53013j,+33775.7-227608j,+19897.6-56973.1j,+33607.2-227976j,-1.96871e-08-9.67258e-09j,+33563.2-228061j,+33276.5-228501j,+8286.04-228930j,+24693.2+23.5536j,+8152.69-229141j,+20347.5+7.622j,+20095.4-57116.4j,+0+0j,+20233.4-57209.4j,+0+0j,+20324.9-57272.6j,+20382.2-57329.6j,+8.18047e-06-1.22775e-05j,+0+0j,+8.1998e-06-1.23532e-05j,+0+0j,+44647.6+22384j,+44638.8+22367.7j,+44628+22331.9j,+8.91117e-07-7.20931e-06j,+55494.3+75.3005j,+53508.4+229824j,+49297.2+47.8148j,+24316.2+16.4546j,+0+0j,+53339.3+229537j,+0+0j,+0+0j,+53138.8+229151j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+90386.9-208125j,+780248-203036j,+483860-28189.1j,+340390-83549.8j,+109147+230230j
2016-05-06 03:00:00 PDT,+0+0j,+74939.8+681.365j,+725481-206734j,+21863.9+3.92655j,+53019.1+619.86j,+42981.3+21502.7j,+723297-209228j,+0+0j,+0+0j,+721844-210898j,+0+0j,+75093.5+21394.1j,+151008-207083j,+0+0j,+0+0j,+27041.2+11.3691j,+5330.41+0.412317j,+0+0j,+54637.9+76.8191j,+0+0j,+0+0j,+54607.8+48.4953j,+23072+12.143j,+31502.8+15.4277j,+10814.4+3.57212j,+20670.3+5.20381j,+9.48947e-09+2.62072e-08j,+10811.7+1.68339j,+0+0j,+20665.2+4.51139j,+20662.1+4.96935j,-5.85096e-06+7.78152e-06j,+6760.57+0.576947j,+32375.9+16.1263j,+0+0j,+95446-208333j,+0+0j,+0+0j,+0+0j,+2430.08+0.0789852j,+92914-208640j,+0+0j,+92814.5-208945j,+0+0j,+92730-209160j,+0+0j,+75611.1+54027.3j,-7635.59-226177j,-25021.6-226454j,-50362.4-226718j,-50431-227006j,+492383-29332.3j,+491774-30058.8j,+2.87131e-09-1.61274e-08j,+491399-30522.1j,-4.45806e-09-9.16034e-09j,+0+0j,+490991-31131j,+0+0j,-1.10866e-06+6.22477e-06j,+0+0j,+194511-336586j,+155842+252799j,+0+0j,+0+0j,+0+0j,+86890.6+22568.6j,+107847-359984j,+67344.6+22481.5j,+22467.9+7.97225j,+35811.3-227359j,+22006.7-56920.2j,+35640.7-227732j,+5.51024e-09+1.3122e-08j,+35595.9-227818j,+35305.8-228261j,+8146.22-228696j,+26857.8+28.1713j,+8012.63-228907j,+22469.2+9.30496j,+22209.6-57058.8j,+0+0j,+22351-57148.3j,+0+0j,+22444.3-57209.3j,+22503.2-57265.2j,+8.19003e-06-1.294e-05j,+0+0j,+8.2225e-06-1.29625e-05j,+0+0j,+44603.8+22361.4j,+44595+22345.5j,+44584.9+22310.3j,+1.01669e-05+4.57494e-06j,+59536.6+87.7845j,+51357.9+229553j,+53385.4+56.1168j,+26319+19.2997j,+0+0j,+51188.9+229270j,+0+0j,+0+0j,+50988.8+228884j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+95463.9-207898j,+804056-201709j,+493631-27923.6j,+350435-83513.5j,+111038+229974j
2016-05-06 04:00:00 PDT,+0+0j,+78441.4+677.97j,+766940-204729j,+25395.2+5.30031j,+52983.9+609.555j,+42957.5+21490.8j,+764514-207550j,+0+0j,+0+0j,+762899-209439j,+0+0j,+78913.7+21373.1j,+169383-206589j,+0+0j,+0+0j,+30394.2+14.3832j,+5850.49+0.49739j,+0+0j,+62772+104.189j,+0+0j,+0+0j,+62735.2+66.4694j,+26726.1+16.3243j,+35969.4+21.7812j,+11865.1+4.25393j,+24083+8.41852j,-8.58608e-09+1.00764e-08j,+11862+2.02899j,+0+0j,+24076.9+7.05277j,+24072.9+6.75852j,-1.72247e-06+1.02011e-05j,+7410.69+0.694583j,+36250.1+20.3348j,+0+0j,+105580-207982j,+0+0j,+0+0j,+0+0j,+2670.09+0.0955302j,+102806-208300j,+0+0j,+102705-208615j,+0+0j,+102618-208839j,+0+0j,+75467.7+53924.8j,+2479.95-225757j,-17277.4-226033j,-46477.9-226294j,-46543.4-226581j,+510917-28811.5j,+510265-29600.9j,-2.17751e-08-2.55768e-09j,+509864-30104.7j,+2.06647e-08+1.8582e-10j,+0+0j,+509418-30806.5j,+0+0j,+2.38055e-06-4.61188e-06j,+0+0j,+209480-336001j,+159765+252353j,+0+0j,+0+0j,+0+0j,+93692.5+22541.2j,+116006-359401j,+70843.2+22440.6j,+26060.6+10.7499j,+40607.3-226860j,+25578.9-56819.7j,+40434-227240j,-7.89538e-09-3.89671e-08j,+40388-227327j,+40092.8-227776j,+8896.23-228220j,+30887.1+37.5509j,+8763.04-228430j,+26062.4+12.5475j,+25790.6-56953.3j,+0+0j,+25937.5-57038.7j,+0+0j,+26033.8-57097.1j,+26095.1-57151.9j,+7.57263e-06-1.29715e-05j,+0+0j,+7.6197e-06-1.30774e-05j,+0+0j,+44516.3+22316.4j,+44507.5+22301.3j,+44498.4+22267j,+4.44171e-06+1.3499e-06j,+67452.5+114.034j,+47451.7+229116j,+60702.3+73.3026j,+30275.3+25.5983j,+0+0j,+47282+228837j,+0+0j,+0+0j,+47082.1+228450j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+105598-207534j,+849413-199164j,+512258-27286.4j,+369359-83309.6j,+115046+229568j
2016-05-06 05:00:00 PDT,+0+0j,+80160.4+671.456j,+807678-202553j,+27146+6.05958j,+52949.4+599.452j,+42934.4+21479.2j,+804983-205720j,+0+0j,+0+0j,+803191-207841j,+0+0j,+81216.5+21346.9j,+184978-206074j,+0+0j,+0+0j,+31815.6+15.7831j,+6790.66+0.67108j,+0+0j,+68209.3+124.702j,+0+0j,+0+0j,+68167.8+79.9029j,+28698.6+18.8593j,+39424.7+27.0365j,+13786.5+5.65261j,+25614.3+10.1018j,+1.1342e-08+1.78501e-08j,+13782.7+2.74917j,+0+0j,+25607.7+8.37462j,+25603.3+7.66034j,+2.20045e-06+2.0543e-06j,+8630.93+0.944061j,+38612.4+22.6514j,+0+0j,+115638-207586j,+0+0j,+0+0j,+0+0j,+3090.13+0.128201j,+112440-207914j,+0+0j,+112336-208238j,+0+0j,+112244-208469j,+0+0j,+75309.1+53811.4j,+12348.8-225282j,-9473.58-225558j,-41054.7-225814j,-41118.3-226096j,+532929-28234.6j,+532216-29109.6j,-7.00352e-09-7.55569e-09j,+531780-29669.2j,-1.50831e-08-1.51181e-08j,+0+0j,+531266-30498.4j,+0+0j,+2.55225e-05-1.47742e-05j,+0+0j,+218242-335303j,+159345+251791j,+0+0j,+0+0j,+0+0j,+96759.3+22495.6j,+121702-358680j,+72593.6+22388.5j,+27922.2+12.3724j,+44684.3-226256j,+27427.6-56693.3j,+44509.6-226639j,+1.62545e-08+2.2014e-08j,+44462.8-226726j,+44164.6-227176j,+10336.5-227625j,+33513.4+43.956j,+10204-227832j,+27924.3+14.4436j,+27645.1-56826.9j,+0+0j,+27795.5-56911.6j,+0+0j,+27893.5-56969.4j,+27956.2-57024.3j,-6.24305e-07-1.71865e-05j,+0+0j,-6.56394e-07-1.71649e-05j,+0+0j,+44407.3+22261.2j,+44398.4+22246.5j,+44389.8+22212.6j,-4.16232e-06+1.69506e-06j,+72570.1+131.855j,+42021.8+228594j,+64713.5+84.5925j,+32859.8+30.2362j,+0+0j,+41849.7+228320j,+0+0j,+0+0j,+41648.6+227934j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+115658-207126j,+892277-196442j,+534395-26544.1j,+377714-83148.4j,+114734+229064j
2016-05-06 06:00:00 PDT,+0+0j,+80901.5+663.993j,+843339-200389j,+27916.3+6.41135j,+52918.8+590.382j,+42914.5+21469.2j,+840383-203903j,+0+0j,+0+0j,+838417-206257j,+0+0j,+82171.9+21320.7j,+196355-205548j,+0+0j,+0+0j,+32376.2+16.3661j,+7240.75+0.764011j,+0+0j,+70757.9+135.127j,+0+0j,+0+0j,+70714+86.7462j,+29609.8+20.1099j,+41057.3+29.7578j,+14787.3+6.49373j,+26244.9+10.8527j,-7.79979e-10+2.8774e-09j,+14783.2+3.19747j,+0+0j,+26238+8.96108j,+26233.4+8.05585j,-1.05589e-05+5.97765e-06j,+9381.1+1.11723j,+39623.4+23.6648j,+0+0j,+124382-207152j,+0+0j,+0+0j,+0+0j,+3240.14+0.141201j,+121028-207490j,+0+0j,+120918-207823j,+0+0j,+120821-208062j,+0+0j,+75164.6+53708.2j,+21147.2-224778j,-1999.8-225052j,-34813.3-225304j,-34877.1-225579j,+555431-27715.8j,+554650-28694.3j,+1.86224e-08-4.46554e-08j,+554172-29320.8j,+1.32164e-08+2.89263e-08j,+0+0j,+553575-30302.1j,+0+0j,+1.76037e-05-1.13766e-05j,+0+0j,+222209-334638j,+155662+251164j,+0+0j,+0+0j,+0+0j,+97982.3+22444.7j,+124448-357974j,+73323.8+22334.8j,+28763+13.1618j,+46831.3-225668j,+28260.3-56562.5j,+46656.3-226050j,+1.63175e-08-1.39982e-08j,+46609.2-226137j,+46310.1-226587j,+11336.7-227036j,+34656.4+47.0081j,+11204.7-227240j,+28765.2+15.367j,+28481.4-56696.4j,+0+0j,+28633.9-56781.1j,+0+0j,+28733-56838.6j,+28796.6-56893.7j,-6.17203e-06+3.04734e-06j,+0+0j,-6.1886e-06+3.0298e-06j,+0+0j,+44298.5+22206.4j,+44289.6+22191.9j,+44281.2+22158.3j,-3.47156e-06+1.10838e-05j,+75230+141.871j,+35788.9+228028j,+66719.8+90.9564j,+34302.6+33.0335j,+0+0j,+35613.9+227758j,+0+0j,+0+0j,+35411.2+227376j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+124407-206682j,+929064-193747j,+557036-25822.3j,+377993-83117.9j,+111161+228500j
2016-05-06 07:00:00 PDT,+0+0j,+72924.9+670.902j,+747860-205301j,+19873.2+3.24503j,+52997.9+613.115j,+42968.9+21496.4j,+745498-208009j,+0+0j,+0+0j,+743927-209820j,+0+0j,+72866.1+21368.2j,+152885-206747j,+0+0j,+0+0j,+24989.6+9.71907j,+5200.39+0.392839j,+0+0j,+50717.2+65.4146j,+0+0j,+0+0j,+50690.1+41.0626j,+21120.1+10.1867j,+29540.2+13.0619j,+10884.6+3.70552j,+18638.8+3.63169j,+2.10371e-09+1.09895e-08j,+10881.8+1.79196j,+0+0j,+18634.4+3.25568j,+18631.7+4.04508j,-3.0138e-06-1.73934e-07j,+7280.66+0.669878j,+30193.7+13.8946j,+0+0j,+101222-207984j,+0+0j,+0+0j,+0+0j,+2160.06+0.0624905j,+98954.1-208296j,+0+0j,+98848.3-208604j,+0+0j,+98757.9-208823j,+0+0j,+75498.6+53946.9j,-1439.5-225762j,-19103.8-226032j,-42917.8-226289j,-42988.9-226567j,+514504-28994.9j,+513825-29826.5j,-2.49532e-08-1.25247e-08j,+513409-30358.2j,-4.86688e-09+5.70687e-10j,+0+0j,+512903-31116.4j,+0+0j,+1.54169e-05-1.71426e-05j,+0+0j,+186902-336001j,+145611+252178j,+0+0j,+0+0j,+0+0j,+82739.4+22506.7j,+104400-359325j,+65270.8+22427.1j,+20496.6+6.64934j,+34538.8-226821j,+20042.6-56789.1j,+34372.4-227185j,-1.19981e-08-2.41489e-08j,+34328.8-227270j,+34044.6-227705j,+9235.78-228127j,+24513.2+23.5168j,+9103.5-228335j,+20497.7+7.76186j,+20242.6-56933.4j,+0+0j,+20382.1-57027.2j,+0+0j,+20474.2-57090.4j,+20532.1-57147.6j,+3.14939e-06-1.34901e-05j,+0+0j,+3.15486e-06-1.35047e-05j,+0+0j,+44498.5+22309.2j,+44489.7+22292.9j,+44478.9+22257.3j,+7.40437e-06-9.38227e-06j,+56828.5+79.5856j,+43941.9+229027j,+50320+50.6673j,+25307.6+17.8836j,+0+0j,+43769.5+228748j,+0+0j,+0+0j,+43567+228373j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+101249-207546j,+824650-199985j,+515891-27373.6j,+332555-83617.6j,+100914+229424j
2016-05-06 08:00:00 PDT,+0+0j,+63318+687.247j,+619996-210941j,+10170.8+0.848538j,+53106.6+645.34j,+43040.6+21532.3j,+618344-212702j,+0+0j,+0+0j,+617243-213879j,+0+0j,+59423.5+21436.3j,+98615.5-208165j,+0+0j,+0+0j,+13412.8+2.78794j,+3170.14+0.145359j,+0+0j,+27342.7+15.8141j,+0+0j,+0+0j,+27330.8+9.13136j,+10952.7+2.72423j,+16364.2+2.18748j,+6962.42+1.67891j,+9393.39-0.642981j,+6.47504e-09+3.19519e-08j,+6960.77+0.784599j,+0+0j,+9391.4-0.244824j,+9390.43+1.02152j,-7.23605e-06+7.12672e-06j,+5110.32+0.328105j,+16584+4.06971j,+0+0j,+70608.9-209094j,+0+0j,+0+0j,+0+0j,+1110.02+0.0164117j,+69397.2-209377j,+0+0j,+69296.5-209660j,+0+0j,+69214.7-209857j,+0+0j,+75938.4+54261.3j,-31689.3-227110j,-42863.5-227386j,-55937.8-227656j,-56016.5-227940j,+456498-30316.3j,+455954-30945.7j,-2.10227e-08-4.19001e-09j,+455619-31347.8j,+1.76896e-08-5.84656e-10j,+0+0j,+455242-31815.5j,+0+0j,+3.09148e-06+1.15389e-06j,+0+0j,+145160-337717j,+134525+253662j,+0+0j,+0+0j,+0+0j,+64289.3+22610.9j,+81125.8-361083j,+55629.9+22560.9j,+10561.7+1.75342j,+20478.4-228350j,+10164.2-57095.1j,+20322.4-228697j,-1.32426e-08+3.97656e-08j,+20282.6-228780j,+20014.5-229203j,+6994.73-229611j,+12746.2+6.27871j,+6862.05-229823j,+10562+2.04638j,+10340.1-57256.3j,+0+0j,+10464.2-57363.8j,+0+0j,+10547.8-57436.4j,+10598.8-57498.2j,-5.74273e-06+2.71803e-06j,+0+0j,-5.7841e-06+2.7068e-06j,+0+0j,+44770.1+22448.7j,+44761.1+22430.1j,+44746.5+22391.2j,+2.69662e-06+9.03002e-06j,+32404.9+25.236j,+57009.2+230449j,+27945.7+15.8921j,+14525.8+5.84865j,+0+0j,+56839.5+230154j,+0+0j,+0+0j,+56638.4+229783j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+70635.3-208688j,+686049-207162j,+457599-29076.6j,+279654-83981j,+89561.4+230778j
2016-05-06 09:00:00 PDT,+0+0j,+57325.2+698.92j,+547354-213621j,+4120.14+0.139112j,+53171.9+665.154j,+43082+21553j,+546057-214918j,+0+0j,+0+0j,+545193-215784j,+0+0j,+51795.1+21477.9j,+68019.4-208910j,+0+0j,+0+0j,+6340.61+0.621543j,+2520.09+0.0916385j,+0+0j,+14049.7+3.14233j,+0+0j,+0+0j,+14044.4+1.57637j,+4740.5+0.508752j,+9297.45+0.460415j,+5791.91+1.23881j,+3501.01-0.821423j,-1.00189e-08-1.07067e-08j,+5790.57+0.578792j,+0+0j,+3500.33-0.534858j,+3500.06+0.141451j,+9.92123e-06-4.23491e-06j,+4590.26+0.26388j,+8861.02+1.03686j,+0+0j,+53443.2-209732j,+0+0j,+0+0j,+0+0j,+720.007+0.00688427j,+52624.6-210004j,+0+0j,+52526.7-210275j,+0+0j,+52449.4-210463j,+0+0j,+76180.5+54434.4j,-48857.9-227903j,-56808.1-228186j,-63592.6-228466j,-63674.6-228754j,+423164-30817.6j,+422690-31336.9j,+6.57129e-09-1.45446e-08j,+422399-31669.7j,+5.9626e-09+9.75694e-09j,+0+0j,+422089-31988.4j,+0+0j,+9.04923e-06+6.98645e-06j,+0+0j,+120536-338608j,+128618+254567j,+0+0j,+0+0j,+0+0j,+52580.6+22674j,+68222.1-362018j,+49665.9+22638.8j,+4430.3+0.307317j,+13270.5-229185j,+4067.53-57263.8j,+13121.8-229521j,+2.32106e-09+2.04613e-08j,+13084.3-229603j,+12826.3-230021j,+6603.95-230425j,+5961.26+1.28115j,+6471.68-230637j,+4430.35+0.358661j,+4228.89-57439.4j,+0+0j,+4343.22-57557.9j,+0+0j,+4421.36-57638j,+4467.92-57704.1j,-9.78064e-06+1.4634e-06j,+0+0j,-9.75796e-06+1.44839e-06j,+0+0j,+44920.5+22526.2j,+44911.3+22506.1j,+44894.3+22465.2j,-3.3136e-07-4.81273e-07j,+18667.7+7.81621j,+64688.5+231300j,+14734.7+4.72602j,+8391.92+1.94422j,+0+0j,+64519.2+230993j,+0+0j,+0+0j,+64318.5+230622j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+53468.6-209338j,+606840-210600j,+424116-29785.8j,+249088-84025.6j,+83506.5+231607j
