# file...... underground_lines_power_in_B.csv
# date...... Fri Oct 27 14:53:00 2017
# user...... mast9
# host...... (null)
# group..... class= underground_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O60-62,O62-63,O63-64,O64-65,O65-66
2016-05-06 00:00:00 PDT,+115902+59738.3j,+115760+59710.6j,+115659+59691.2j,+37021.2+26013.2j,+8.94261e-09-7.99975e-09j
2016-05-06 01:00:00 PDT,+72351.9-53509.6j,+72286.5-53523.5j,+72240.4-53532.6j,+38571+27455.6j,+1.92853e-09+2.55582e-09j
2016-05-06 02:00:00 PDT,+72353.7-53509.1j,+72288.3-53522.9j,+72242.2-53532.1j,+38571.1+27456j,-7.38311e-09-1.13594e-08j
2016-05-06 03:00:00 PDT,+72273.7-53500.1j,+72208.3-53513.9j,+72162.3-53523.1j,+38539.1+27445.4j,-1.50361e-08+4.83422e-09j
2016-05-06 04:00:00 PDT,+72104.5-53517.8j,+72039.2-53531.6j,+71993.2-53540.7j,+38481.1+27417.5j,+2.30974e-09-1.33847e-09j
2016-05-06 05:00:00 PDT,+71972.8-53499.1j,+71907.8-53513j,+71862-53522.3j,+38416+27416.1j,+4.22845e-09-4.4871e-09j
2016-05-06 06:00:00 PDT,+71890.7-53434.7j,+71826-53448.9j,+71780.4-53458.3j,+38350.6+27438.4j,-1.68581e-08-3.83541e-09j
2016-05-06 07:00:00 PDT,+72277.4-53379.9j,+72212.6-53394.1j,+72167-53403.6j,+38478.7+27508.2j,+1.32747e-08+1.13469e-08j
2016-05-06 08:00:00 PDT,+72773.4-53367.4j,+72708.2-53381.7j,+72662.4-53391.1j,+38662.2+27576.5j,-1.50808e-08-5.22019e-09j
2016-05-06 09:00:00 PDT,+73051-53386j,+72985.7-53400.2j,+72939.7-53409.7j,+38769.8+27609.5j,+1.15144e-08+8.70796e-09j
2016-05-06 10:00:00 PDT,+73179.2-53397.1j,+73113.7-53411.4j,+73067.7-53420.8j,+38822+27621.5j,+3.04647e-09-1.69918e-08j
2016-05-06 11:00:00 PDT,+73225.8-53428j,+73160.2-53442.1j,+73114.1-53451.5j,+38852.3+27615.2j,+6.64419e-09-3.58248e-09j
2016-05-06 12:00:00 PDT,+73228.1-53439.1j,+73162.5-53453.2j,+73116.3-53462.6j,+38856.8+27612.2j,-7.70817e-09+9.73137e-10j
2016-05-06 13:00:00 PDT,+73218-53440.3j,+73152.4-53454.5j,+73106.2-53463.8j,+38852.4+27611.8j,-1.24612e-08+1.041e-09j
2016-05-06 14:00:00 PDT,+72961.4-53399.4j,+72896.1-53413.7j,+72850.1-53423.1j,+38736.9+27592.9j,-3.89024e-09+6.08449e-09j
2016-05-06 15:00:00 PDT,+72354.5-53386.3j,+72289.6-53400.6j,+72244-53410.1j,+38500.2+27516.9j,-7.11145e-09+3.62341e-10j
2016-05-06 16:00:00 PDT,+71835.4-53600j,+71770.2-53613.8j,+71724.4-53623j,+38392.8+27373.5j,+4.08205e-09-1.70388e-08j
2016-05-06 17:00:00 PDT,+71378.1-53649.3j,+71313.1-53663.1j,+71267.3-53672.2j,+38242.3+27292.7j,-8.57073e-09-1.80967e-09j
2016-05-06 18:00:00 PDT,+71039-53643.8j,+70974.3-53657.6j,+70928.7-53666.7j,+38111.3+27250.6j,+7.87283e-09-8.19341e-09j
2016-05-06 19:00:00 PDT,+70721-53645.3j,+70656.6-53659.2j,+70611.2-53668.4j,+37983.2+27217.4j,+2.12887e-09+5.0637e-09j
2016-05-06 20:00:00 PDT,+70853.9-53679.4j,+70789.5-53693.4j,+70744.1-53702.7j,+38040.6+27238.6j,+8.46321e-10-2.83949e-10j
2016-05-06 21:00:00 PDT,+71361.4-53639.3j,+71296.6-53653.3j,+71251.1-53662.5j,+38226.5+27312.9j,-1.72273e-09+6.061e-09j
2016-05-06 22:00:00 PDT,+71825.3-53595.6j,+71760.2-53609.5j,+71714.4-53618.7j,+38392.1+27379.4j,-1.03371e-10-1.05267e-08j
2016-05-06 23:00:00 PDT,+72206.5-53542.5j,+72141.2-53556.4j,+72095.2-53565.5j,+38525.2+27434.4j,-2.19703e-09-8.1006e-09j
