# file...... Overhead_lines_power_in_A.csv
# date...... Fri Oct 27 14:53:00 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-09-02 00:00:00 PDT,+0-0i,+0-0i,+1.00646e+06+150805i,+0+0j,+0+0j,+0+0j,+998624+143823i,+0-0i,+87723+30706.2i,+908094+108503i,+62152.6+30624.9i,+0-0i,+395580-51508.6i,+41491.1+20757.1i,+20576+9781.09i,+0+0j,+0+0j,+54013+19127.6i,+124200+59104.9i,+41378.5+19092.7i,+0-0i,+124125+58957i,+0-0i,+124078+58815.8i,+41340.6+18973.5i,+82675.4+39678.7i,+41331.8+18949.8i,+0-0i,+41323.5+18930.4i,+41325+20678.2i,+7.10064e-06+2.71471e-06i,+7.11926e-06+2.74034e-06i,+0+0j,+0+0j,+41510.9+20795.4i,+161313-145980i,+41483.1+20755.4i,+0-0i,+0+0j,+0-0i,+161222-146160i,+0-0i,+157230-146340i,+25560.6+9478.02i,+131586-155986i,+4800.29+0.293732i,+72947.7+52120.8i,+21930.1-232511i,+6212.27-232814i,+6109.4-233127i,-476.552-233424i,+488463+151915i,+474567+150711i,+20644.3+10325.3i,+467384+417179i,+1.66759e-08+1.09411e-08i,+0-0i,+465396+413861i,+0+0j,+1.09405e-05-3.04592e-06i,+52791.2+61.9722i,+218458+87875.3i,+120921+268657i,+46588.8+39.2757i,+26424.8+14.9497i,+22515.6+5.69146i,+0-0i,+218077+87599.4i,+0+0j,+0+0j,+57279.5-195626i,+58421.3+230021i,+57165.2-195894i,+43238.3+21632.6i,+13895.2-217598i,+13782.4-218045i,+13645.6-218514i,+0-0i,+67.6705-218741i,+0+0j,+57607.7+228656i,+20163-52633.3i,+36914.2+280404i,+0-0i,+36498.3+279625i,+0-0i,+36173.6+279030i,+35907.5+278421i,+4.92232e-06-8.02957e-06i,+0-0i,+20139.1+3.27929i,+2.34621e-06-8.11794e-06i,+2.33166e-06-8.11744e-06i,+2.31686e-06-8.09782e-06i,+0-0i,+100558+267660i,+0+0j,+0+0j,+0-0i,+100420+267062i,+0+0j,+99205.5+30919.2i,+1093.45+235449i,+75267.1+30718.1i,+8941.89+1.91653i,+66243.8+30633.8i,+45208.5+21191.9i,+2880.11+0.112818i,+215544-132173i,+1.02857e+06+160495i,+509108+154542i,+393496+358987i,+100675+268151i
2016-09-02 01:00:00 PDT,-0+0i,-0+0i,+838408-353310i,+0+0j,+0+0j,+0+0j,+831494-359506i,-0+0i,+76423.1+376.655i,+752680-363982i,+52069.9+322.786i,-0+0i,+296093-337990i,+42450.2+21236.9i,+9572.44-20962.1i,+0+0j,+0+0j,+30553.9-42619.4i,+80968.2-63388.2i,+18766.3-42647.4i,-0+0i,+80953.7-63481i,-0+0i,+80934.6-63574i,+18709.5-42728.3i,+62195.8-20944.4i,+18700-42754.7i,-0+0i,+18691.7-42774.2i,+43496.8+21765i,+2.32251e-06-6.99659e-06i,+2.27333e-06-6.97586e-06i,+0+0j,+0+0j,+43368.2+21738.9i,+127282-250600i,+43338.5+21683.8i,-0+0i,+0+0j,-0+0i,+127093-250938i,-0+0i,+123323-251275i,+13727.1-21426.5i,+109418-230144i,+4420.23+0.237468i,+76488.1+54650.3i,+8664.48-247105i,-6278.64-247395i,-6425.54-247694i,-12574.8-247976i,+433918-33405.8i,+420999-34456.5i,+21361.3+10684.1i,+412393+297740i,+1.65095e-09+1.21801e-08i,-0+0i,+410994+295275i,+0+0j,+8.67144e-06+9.26119e-06i,+50083+53.6648i,+167888-12646.8i,+120577+252323i,+44343.6+34.0736i,+25052.8+12.9395i,+21464.9+4.95974i,-0+0i,+167620-12719.2i,+0+0j,+0+0j,+58358.1-204241i,+56985.4+296812i,+58227.7-204521i,+45144.6+22586.4i,+13047.4-227182i,+12916.8-227645i,+12763.4-228129i,-0+0i,+76.9102-228364i,+0+0j,+55949.8+294580i,+19293.4-54685.6i,+35981.6+347817i,-0+0i,+35464.7+346628i,-0+0i,+35005.3+345746i,+34618+344852i,+1.9322e-06-5.27631e-06i,-0+0i,+19269+2.89883i,+2.18628e-07-6.50461e-07i,+1.99029e-07-6.19948e-07i,+1.86085e-07-5.92574e-07i,-0+0i,+101120+251601i,+0+0j,+0+0j,-0+0i,+100999+251158i,+0+0j,+87436.8+735.532i,+13457.1+249911i,+64672.5+599.479i,+8321.56+1.58185i,+56301.8+548.121i,+47075.1+22246.2i,+2640.09+0.0903016i,+182988-235407i,+859208-344685i,+453584-31105.7i,+339501+241160i,+101221+251957i
2016-09-02 02:00:00 PDT,-0+0i,-0+0i,+835091-353378i,+0+0j,+0+0j,+0+0j,+828194-359533i,-0+0i,+76106.9+377.562i,+749707-363982i,+52074.1+324.14i,-0+0i,+295232-337945i,+42452.4+21238i,+9574.46-20961.8i,+0+0j,+0+0j,+30559-42618.4i,+80979.8-63385.3i,+18771.3-42646.4i,-0+0i,+80964.9-63477.9i,-0+0i,+80945.6-63570.8i,+18714.3-42727i,+62201.8-20942.5i,+18704.8-42753.4i,-0+0i,+18696.5-42772.8i,+43497.9+21765.6i,+1.08331e-06-8.29913e-06i,+1.07452e-06-8.25843e-06i,+0+0j,+0+0j,+43370.4+21740i,+126571-250646i,+43340.7+21684.8i,-0+0i,+0+0j,-0+0i,+126383-250984i,-0+0i,+122613-251320i,+13730-21426.1i,+108705-230190i,+4420.23+0.237453i,+76493.3+54653.9i,+7941.09-247155i,-6797.17-247445i,-6944.15-247744i,-13093.4-248026i,+432180-33400i,+419265-34443.3i,+21363.3+10685i,+411344+297700i,+9.23314e-10-1.99639e-08i,-0+0i,+409949+295241i,+0+0j,-3.74725e-06-6.93697e-06i,+49311.2+51.8947i,+167834-12725.9i,+120363+252378i,+43572.5+32.9046i,+24652.3+12.5016i,+21064.7+4.77586i,-0+0i,+167566-12798.7i,+0+0j,+0+0j,+58364.1-204260i,+56907.4+296749i,+58232.9-204540i,+45149+22588.6i,+13048.1-227203i,+12917-227666i,+12763.5-228149i,-0+0i,+76.9144-228384i,+0+0j,+55873.1+294518i,+18923.3-54691.6i,+36275.9+347760i,-0+0i,+35759+346571i,-0+0i,+35299.9+345689i,+34912.6+344795i,-4.39447e-06-3.11677e-07i,-0+0i,+18899+2.79876i,+4.47261e-06-4.7566e-06i,+4.4579e-06-4.72556e-06i,+4.44017e-06-4.71399e-06i,-0+0i,+101277+251656i,+0+0j,+0+0j,-0+0i,+101156+251213i,+0+0j,+87074.7+737.087i,+13975.8+249963i,+64681.5+602.172i,+8321.56+1.58167i,+56310.9+550.807i,+47080.2+22248.7i,+2640.09+0.0902913i,+182109-235354i,+855568-344814i,+451485-31119.4i,+338459+241130i,+101377+252012i
2016-09-02 03:00:00 PDT,-0+0i,-0+0i,+850447-353143i,+0+0j,+0+0j,+0+0j,+843429-359486i,-0+0i,+77802.8+374.74i,+763199-364056i,+52057.7+318.902i,-0+0i,+298955-338196i,+42443.5+21233.6i,+9566.9-20962.6i,+0+0j,+0+0j,+30120.8-42623.7i,+80940.9-63397.1i,+18753.4-42651.4i,-0+0i,+80927.9-63490.5i,-0+0i,+80910.1-63584.1i,+18697.3-42733.6i,+62184.1-20949.6i,+18687.8-42759.9i,-0+0i,+18679.6-42779.4i,+43497.4+21765.3i,+6.02088e-07+3.53581e-06i,+5.43667e-07+3.50523e-06i,+0+0j,+0+0j,+43364.1+21736.9i,+129907-250418i,+43334.4+21681.7i,-0+0i,+0+0j,-0+0i,+129717-250758i,-0+0i,+125906-251097i,+13729.2-21428.2i,+111998-229967i,+4430.24+0.238577i,+76476.2+54641.9i,+11270.6-246915i,-4344.19-247205i,-4490.41-247504i,-10559.2-247785i,+439851-33457.7i,+427360-34532.8i,+21355.8+10681.3i,+416202+297975i,+9.14912e-09-7.22685e-09i,-0+0i,+414786+295493i,+0+0j,+1.23856e-05-7.96574e-06i,+53330.7+61.4582i,+168131-12260.5i,+121528+252118i,+47658.7+39.2373i,+26714.6+14.8169i,+23085.7+5.73962i,-0+0i,+167866-12331.4i,+0+0j,+0+0j,+57887.4-204196i,+57752.7+297164i,+57760.6-204475i,+45132.9+22580.6i,+12592.8-227130i,+12465-227595i,+12313.1-228082i,-0+0i,+76.9059-228317i,+0+0j,+56710.5+294928i,+20943.9-54667.8i,+35087.5+348145i,-0+0i,+34569.9+346956i,-0+0i,+34109.8+346075i,+33722+345180i,+6.33089e-06-1.86976e-05i,-0+0i,+20919.1+3.35427i,+4.47005e-07-7.62948e-06i,+4.31246e-07-7.62873e-06i,+4.17289e-07-7.61552e-06i,-0+0i,+100419+251397i,+0+0j,+0+0j,-0+0i,+100297+250954i,+0+0j,+88754.6+731.45i,+11439.3+249712i,+64456.2+591.225i,+8091.48+1.49607i,+56315.9+540.27i,+47100.5+22239i,+2680.09+0.0930896i,+186325-235642i,+872977-344282i,+461203-31088i,+343956+241361i,+100520+251751i
2016-09-02 04:00:00 PDT,-0+0i,-0+0i,+903867-351812i,+0+0j,+0+0j,+0+0j,+896201-358840i,-0+0i,+82900.4+360.831i,+810677-363847i,+51987.7+297.381i,-0+0i,+313727-338868i,+42402.5+21213.1i,+9538.03-20963.5i,+0+0j,+0+0j,+30883.8-42632.5i,+80753.4-63435.4i,+18675.9-42660.8i,-0+0i,+80745.3-63530.9i,-0+0i,+80731.6-63626.3i,+18623.8-42747.6i,+62081.6-20978.6i,+18614.4-42774.1i,-0+0i,+18606.2-42793.5i,+43468.9+21750.7i,+1.01061e-05+3.94444e-06i,+1.00991e-05+3.97716e-06i,+0+0j,+0+0j,+43318.8+21714i,+141544-249714i,+43288.9+21659i,-0+0i,+0+0j,-0+0i,+141346-250065i,-0+0i,+137157-250414i,+14114.1-21431.6i,+122858-229290i,+4860.28+0.287505i,+76375+54569.6i,+22313.5-246155i,+3804.92-246445i,+3659.41-246744i,-2929.98-247022i,+467344-33432.4i,+453905-34631.1i,+21321.3+10664i,+433004+298142i,+2.06384e-09-2.30153e-10i,-0+0i,+431517+295569i,+0+0j,+8.81313e-06-1.8109e-06i,+64349.6+90.7633i,+168955-11519.9i,+124806+251299i,+58167.6+58.3523i,+32271.6+21.9024i,+28268.5+8.62643i,-0+0i,+168694-11584.3i,+0+0j,+0+0j,+58689.9-203849i,+58053.6+297587i,+58571.6-204127i,+45053.3+22540.8i,+13484.8-226743i,+13363.6-227212i,+13213.4-227707i,-0+0i,+76.7292-227943i,+0+0j,+56992+295348i,+25885.5-54563.4i,+30414.8+348459i,-0+0i,+29896+347275i,-0+0i,+29433.5+346398i,+29044.5+345500i,-6.63314e-06-1.2482e-05i,-0+0i,+25859.6+4.93637i,+5.97753e-06-8.53988e-06i,+5.95517e-06-8.59931e-06i,+5.94818e-06-8.56082e-06i,-0+0i,+98753.4+250583i,+0+0j,+0+0j,-0+0i,+98629.3+250139i,+0+0j,+94723.2+707.959i,+3809.77+248922i,+65225.3+547.952i,+8731.72+1.74579i,+56443.5+495.456i,+47289.1+22193.5i,+2960.11+0.113794i,+200525-236465i,+931332-341923i,+493683-30746.2i,+359124+241359i,+98855.2+250928i
2016-09-02 05:00:00 PDT,-0+0i,-0+0i,+983024-349086i,+0+0j,+0+0j,+0+0j,+973692-357218i,-0+0i,+89118.3+339.222i,+881649-362924i,+51885.8+265.804i,-0+0i,+337798-339437i,+42343.9+21183.8i,+9494.82-20965.6i,+0+0j,+0+0j,+33702.2-42645.2i,+80455.3-63496.5i,+18552.4-42675.4i,-0+0i,+80453.3-63594.7i,-0+0i,+80444.7-63692.2i,+18506.6-42768.6i,+61915.3-21024.8i,+18497.5-42795.6i,-0+0i,+18489.3-42815.1i,+43420.4+21726.1i,-7.28701e-07-1.80303e-05i,-7.5137e-07-1.79791e-05i,+0+0j,+0+0j,+43248.2+21678.2i,+159931-248672i,+43217.9+21623.4i,-0+0i,+0+0j,-0+0i,+159717-249046i,-0+0i,+154240-249417i,+15522.3-21437.4i,+138523-228305i,+6340.48+0.490243i,+76221.5+54459.8i,+38259.5-245044i,+15672.7-245337i,+15526.5-245639i,+7134.32-245915i,+508644-33316.7i,+492025-34718.3i,+21273.4+10639.9i,+458479+298435i,-1.04495e-08-1.74728e-08i,-0+0i,+456900+295718i,+0+0j,+1.26298e-05+1.1803e-05i,+78794+135.786i,+170009-10472.1i,+129269+250163i,+70865.9+87.0725i,+39612.4+32.826i,+34332.6+12.7644i,-0+0i,+169752-10527.7i,+0+0j,+0+0j,+61720.1-203365i,+56500.5+298213i,+61608.9-203644i,+44945+22486.6i,+16631.3-226207i,+16515.6-226683i,+16365.3-227190i,-0+0i,+76.4635-227427i,+0+0j,+55410.4+295965i,+31227.5-54421.5i,+23474+348931i,-0+0i,+22951.2+347749i,-0+0i,+22483.6+346873i,+22090.8+345971i,+1.32536e-06-1.54834e-05i,-0+0i,+31200.5+7.03725i,+5.11235e-06+1.25819e-05i,+5.10638e-06+1.25699e-05i,+5.10216e-06+1.25994e-05i,-0+0i,+97872.6+249443i,+0+0j,+0+0j,-0+0i,+97746.4+248994i,+0+0j,+103907+680.858i,-6248.84+247801i,+68196.1+487.835i,+10962.7+2.75997i,+57178.4+429.439i,+48119+22129.4i,+3920.2+0.200177i,+222047-237293i,+1.01527e+06-337604i,+540227-30136.7i,+379154+241393i,+97974.2+249783i
2016-09-02 06:00:00 PDT,-0+0i,-0+0i,+1.00438e+06-347753i,+0+0j,+0+0j,+0+0j,+993924-356227i,-0+0i,+89214.1+331.299i,+901711-362139i,+51861.5+257.702i,-0+0i,+346888-339108i,+42332.3+21178i,+9482.18-20967.9i,+0+0j,+0+0j,+36599.9-42650i,+80351.7-63521.1i,+18508-42682.3i,-0+0i,+80350-63619.4i,-0+0i,+80341.6-63716.9i,+18464.4-42776.5i,+61854.9-21041.7i,+18455.6-42804i,-0+0i,+18447.3-42823.5i,+43402.1+21717.1i,-5.87682e-06-2.74865e-06i,-5.92037e-06-2.75672e-06i,+0+0j,+0+0j,+43228+21667.7i,+166106-248396i,+43197.3+21613.1i,-0+0i,+0+0j,-0+0i,+165883-248783i,-0+0i,+159328-249167i,+16777-21441.1i,+142352-228060i,+7620.7+0.708578i,+76182+54431.6i,+42172.9-244761i,+18646.7-245058i,+18498.6-245363i,+8464.34-245642i,+520704-33283.6i,+500984-34753.1i,+21266.2+10636.1i,+466160+298712i,+1.00296e-10+1.01127e-08i,-0+0i,+464575+295951i,+0+0j,+4.88387e-06-6.03057e-07i,+80326.6+138.399i,+170303-10058.2i,+129891+249935i,+70826.6+87.7602i,+40473.1+33.5603i,+34122.4+12.6121i,-0+0i,+170042-10113.2i,+0+0j,+0+0j,+64873.3-203291i,+53764.9+298599i,+64757.2-203575i,+44932+22480.1i,+19791.5-226133i,+19671.7-226610i,+19517.7-227120i,-0+0i,+76.4205-227358i,+0+0j,+52667.1+296341i,+30327.2-54404.5i,+21627.6+349285i,-0+0i,+21101.4+348098i,-0+0i,+20630.5+347216i,+20234.3+346311i,-3.615e-06+2.76913e-06i,-0+0i,+30300.3+6.737i,-6.48969e-06+4.70164e-07i,-6.48415e-06+4.83826e-07i,-6.51739e-06+4.79895e-07i,-0+0i,+99398.6+249206i,+0+0j,+0+0j,-0+0i,+99273.2+248750i,+0+0j,+106758+680.941i,-7574.88+247549i,+71097+477.103i,+13113.9+3.95153i,+57923.4+412.653i,+48895+22118.2i,+4720.29+0.290394i,+228292-237061i,+1.03475e+06-335863i,+551101-29975.1i,+381623+241612i,+99499.1+249551i
2016-09-02 07:00:00 PDT,-0+0i,-0+0i,+902760-351323i,+0+0j,+0+0j,+0+0j,+894727-358397i,-0+0i,+80992.7+363.005i,+811168-363433i,+52012.9+302.475i,-0+0i,+317289-338134i,+42427.7+21225.7i,+9538.02-20971i,+0+0j,+0+0j,+34656-42648.8i,+80760.8-63461.9i,+18665.6-42679.6i,-0+0i,+80750.1-63556.3i,-0+0i,+80734.2-63650.6i,+18614.1-42765i,+62092.9-20985.1i,+18604.9-42791.8i,-0+0i,+18596.6-42811.3i,+43489.5+21761.3i,-9.12186e-06-6.56386e-06i,-9.15696e-06-6.56773e-06i,+0+0j,+0+0j,+43348.7+21728.7i,+142273-249609i,+43318.5+21673.8i,-0+0i,+0+0j,-0+0i,+142075-249969i,-0+0i,+137345-250327i,+14919.7-21443.5i,+122241-229197i,+5670.39+0.391018i,+76441.7+54617.2i,+21635.1-246090i,+3347.43-246385i,+3200.02-246690i,-4830.82-246976i,+468329-33795i,+450960-35004.5i,+21348.9+10677.6i,+434508+299694i,+1.7457e-08+1.55907e-08i,-0+0i,+433072+297132i,+0+0j,+9.5504e-06+1.19172e-05i,+59513.9+74.8598i,+170543-9967.49i,+123311+251375i,+51986.6+47.1877i,+29767.9+18.1282i,+25226.8+6.85541i,-0+0i,+170270-10039.1i,+0+0j,+0+0j,+62850.2-204158i,+55453.2+299542i,+62719.9-204443i,+45128.1+22578.2i,+17555.7-227098i,+17424.7-227566i,+17267.2-228060i,-0+0i,+77.0315-228298i,+0+0j,+54382.6+297271i,+22214.3-54650.9i,+31472+350450i,-0+0i,+30945.6+349247i,-0+0i,+30477.1+348355i,+30081.4+347446i,-6.98818e-06-1.43993e-05i,-0+0i,+22189.2+3.78329i,-1.32146e-06-7.26983e-06i,-1.32025e-06-7.22389e-06i,-1.32726e-06-7.19423e-06i,-0+0i,+100932+250639i,+0+0j,+0+0j,-0+0i,+100809+250185i,+0+0j,+94993.6+728.073i,+5712.91+248934i,+68085.1+567.4i,+11162.8+2.84901i,+56867.8+509.339i,+47714.9+22226.8i,+3320.14+0.142948i,+200264-235740i,+925576-341483i,+490674-31133i,+354390+242997i,+101033+250999i
2016-09-02 08:00:00 PDT,-0+0i,-0+0i,+768809-354887i,+0+0j,+0+0j,+0+0j,+763726-360306i,-0+0i,+70099.7+401.009i,+691513-364302i,+52185+355.763i,-0+0i,+277779-336849i,+42527.5+21275.7i,+9610.1-20967.9i,+0+0j,+0+0j,+31914-42626i,+81244.2-63361.8i,+18865.6-42654.9i,-0+0i,+81221.7-63451.1i,-0+0i,+81195.9-63541.4i,+18803.8-42728.8i,+62358.7-20909.7i,+18794-42754.8i,-0+0i,+18785.8-42774.2i,+43564.4+21799.4i,-9.90394e-06-5.72271e-06i,-9.91903e-06-5.69157e-06i,+0+0j,+0+0j,+43465.1+21787.8i,+110621-251253i,+43435.7+21732.4i,-0+0i,+0+0j,-0+0i,+110445-251583i,-0+0i,+108059-251912i,+12507.4-21434.4i,+95381.2-230767i,+3140.12+0.119523i,+76700.5+54802.1i,-5697.1-247877i,-17045.8-248174i,-17194.8-248478i,-22584.9-248772i,+399161-33893.3i,+385027-34802.3i,+21432.9+10719.8i,+391430+299518i,-2.72897e-09-6.64966e-09i,-0+0i,+390160+297183i,+0+0j,+4.49539e-06-5.99816e-06i,+32260.9+21.1894i,+169263-11468.3i,+114860+253283i,+27322.9+13.0938i,+15755+5.10517i,+13541.9+1.96426i,-0+0i,+168981-11557i,+0+0j,+0+0j,+59928.9-204998i,+56388.2+298788i,+59780.3-205282i,+45319.6+22674i,+14421.7-228030i,+14276.9-228485i,+14115.9-228955i,-0+0i,+77.5864-229192i,+0+0j,+55366.3+296528i,+11581.8-54901.6i,+43117.3+349958i,-0+0i,+42594.7+348745i,-0+0i,+42132.4+347845i,+41741.1+346940i,-1.31599e-06-4.3176e-06i,-0+0i,+11558.8+1.26929i,+3.33659e-06+1.92233e-07i,+3.32954e-06+1.75344e-07i,+3.31417e-06+1.80808e-07i,-0+0i,+103117+252541i,+0+0j,+0+0j,-0+0i,+102998+252094i,+0+0j,+79401.9+783.702i,+23477.9+250789i,+64011.6+671.937i,+8511.63+1.648i,+55452+621.728i,+46142.4+22338.9i,+1520.03+0.0298067i,+163037-234061i,+781998-347450i,+411062-31967.3i,+317288+243233i,+103219+252916i
2016-09-02 09:00:00 PDT,-0+0i,-0+0i,+706914-355848i,+0+0j,+0+0j,+0+0j,+702505-360582i,-0+0i,+64227.3+417.729i,+636346-364144i,+52259.8+379.778i,-0+0i,+260917-336006i,+42567.8+21295.8i,+9644.5-20964.1i,+0+0j,+0+0j,+31582.4-42607.8i,+81446.8-63308.9i,+18954.2-42636.4i,-0+0i,+81418.2-63395.7i,-0+0i,+81387.3-63483.9i,+18887.9-42704.9i,+62463.1-20875i,+18878.1-42730.7i,-0+0i,+18869.8-42750.2i,+43584+21809.6i,-3.03926e-06-9.9846e-07i,-3.03879e-06-9.85056e-07i,+0+0j,+0+0j,+43504.7+21807.7i,+96895.4-252055i,+43475.3+21752.2i,-0+0i,+0+0j,-0+0i,+96725.3-252376i,-0+0i,+94754.7-252697i,+12119-21426.4i,+82468.2-231551i,+2700.09+0.0882714i,+76793.6+54868.5i,-18798.1-248750i,-26663.4-249049i,-26814.6-249354i,-31766.3-249653i,+367225-33725.3i,+353592-34512.3i,+21466.7+10736.7i,+371553+298929i,-2.00812e-08+1.04205e-09i,-0+0i,+370359+296685i,+0+0j,-1.71108e-06+2.62064e-06i,+18586.2+6.28387i,+168053-12788.2i,+110885+254239i,+14083.6+3.60148i,+8751.46+1.48316i,+6950.51+0.516207i,-0+0i,+167765-12883.3i,+0+0j,+0+0j,+59579.6-205319i,+55209.1+297734i,+59419.5-205605i,+45395.2+22711.8i,+13983.4-228390i,+13829.8-228839i,+13665.9-229298i,-0+0i,+77.7306-229534i,+0+0j,+54213.3+295485i,+5351.15-55004i,+48212+349023i,-0+0i,+47691+347805i,-0+0i,+47231.6+346902i,+46842.2+346001i,-1.91151e-06-3.15965e-06i,-0+0i,+5329.26+0.397802i,+1.15093e-05-1.42238e-05i,+1.15135e-05-1.42086e-05i,+1.14968e-05-1.42017e-05i,-0+0i,+105376+253490i,+0+0j,+0+0j,-0+0i,+105260+253045i,+0+0j,+72461.8+812.348i,+32671.8+251710i,+63440.1+719.428i,+8101.47+1.49i,+55291.6+670.334i,+45912.4+22383.6i,+1200.02+0.0185398i,+146288-233073i,+714264-349427i,+372962-32107i,+298368+242801i,+105477+253876i
2016-09-02 10:00:00 PDT,-0+0i,-0+0i,+696211-355921i,+0+0j,+0+0j,+0+0j,+691590-360540i,-0+0i,+63087.3+420.392i,+626596-364026i,+52271.1+383.779i,-0+0i,+258367-335828i,+42572.6+21298.2i,+9651.06-20962.5i,+0+0j,+0+0j,+31597.7-42602.1i,+81477.6-63296.9i,+18969.5-42630.7i,-0+0i,+81447.9-63383.3i,-0+0i,+81416.1-63471.1i,+18902.5-42698.4i,+62477-20868.6i,+18892.7-42724.3i,-0+0i,+18884.4-42743.7i,+43583.2+21809.3i,+7.56102e-06-7.0623e-06i,+7.5495e-06-7.04774e-06i,+0+0j,+0+0j,+43506.9+21808.8i,+94910.4-252225i,+43477.4+21753.3i,-0+0i,+0+0j,-0+0i,+94739.9-252545i,-0+0i,+92518.9-252864i,+12377.4-21423.6i,+79973.7-231719i,+2950.1+0.105368i,+76800.6+54873.5i,-21315-248930i,-28381.5-249229i,-28533.4-249534i,-33685.5-249834i,+361379-33637.1i,+347756-34402.9i,+21470.5+10738.6i,+368061+298580i,-6.23458e-09+1.48058e-08i,-0+0i,+366879+296349i,+0+0j,-7.22238e-06+1.37407e-05i,+16084.3+4.40409i,+167548-13301.5i,+110325+254436i,+11382.4+2.39561i,+7451+1.01226i,+5400.31+0.311524i,-0+0i,+167260-13396.8i,+0+0j,+0+0j,+59592.7-205353i,+54636.9+297238i,+59430.2-205640i,+45403.4+22715.9i,+13985.6-228428i,+13830.3-228877i,+13665.8-229334i,-0+0i,+77.7011-229569i,+0+0j,+53646.4+294994i,+3951.07-55016.3i,+49049+348548i,-0+0i,+48528.7+347331i,-0+0i,+48070+346428i,+47681.1+345528i,-5.31001e-06-1.11776e-05i,-0+0i,+3929.42+0.264102i,-6.6889e-06-2.08884e-06i,-6.68272e-06-2.07369e-06i,-6.69755e-06-2.07858e-06i,-0+0i,+106217+253685i,+0+0j,+0+0j,-0+0i,+106102+253240i,+0+0j,+71380.6+817.366i,+34593.6+251898i,+63761.6+727.214i,+8201.51+1.52669i,+55512.7+677.61i,+46121.8+22388.5i,+1400.02+0.0252297i,+143682-232878i,+702459-349674i,+365791-32073.6i,+294789+242473i,+106318+254074i
