# file...... Overhead_lines_power_out_B.csv
# date...... Fri Oct 27 14:53:00 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_out_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-09-02 00:00:00 PDT,+6960-1.017e-08j,+0+0j,+715284+47354.2j,+0+0j,+0+0j,+0+0j,+715120+45438.8j,+3600-5.31054e-09j,+0+0j,+710964+42623.5j,+0+0j,+0+0j,+295067+7557.62j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+43142.2+21596.5j,+0+0j,+43092.9+21546.4j,-1.00231e-06+5.17883e-06j,+0+0j,-1.03844e-06+5.20829e-06j,+0+0j,-1.01483e-06+5.2603e-06j,+0+0j,+0+0j,+0+0j,-1.0287e-06+5.25861e-06j,-9.94777e-07+5.28839e-06j,-1.01339e-06+5.30323e-06j,+0+0j,+0+0j,+25987+9877.8j,+212683-32088.4j,+0+0j,+25979.1+9869.87j,+4980+4.53383e-09j,+0+0j,+212529-32304.2j,+42897.2+21448.6j,+169516-53903j,+0+0j,+169411-54022.9j,+0+0j,+75142.1+53673j,+57207.9-132700j,+25898.5-132756j,+25832-132821j,+25642.7-132995j,+415227+31428.8j,+415136+31027.6j,+9120.32+0.728895j,+405499+29461.7j,+9120+3.2273e-08j,+29153.7+9855.74j,+375439+16753.4j,+8160-5.47061e-09j,+2.8526e-06+2.72551e-06j,+0+0j,+219959-177962j,+38958.8+133414j,+0+0j,+0+0j,+0+0j,+0+0j,+219625-178520j,+0+0j,+0+0j,+47325.9-219212j,+86692.2-35031.5j,+25662.1-219317j,-1.02126e-09-1.80136e-08j,+25419.3-219753j,+244.144-220192j,+122.746-220434j,+0+0j,-1.97615e-08-220668j,+0+0j,+83008.3-35269.4j,+0+0j,+56869-35370.2j,+42682.6-35426.7j,+14158.8+14.9375j,+0+0j,+14161.4+2.51762j,+0+0j,+14160.6+0.582468j,+8460-5.90808e-09j,+25268+1.05568j,+25260+1.52944e-05j,-8.9958e-07+1.52688e-05j,-9.14952e-07+1.52385e-05j,+0+0j,+13584.8+133339j,+0+0j,+0+0j,+38819+9.08986j,-25345.7+133281j,+19650-3.38332e-10j,+0+0j,-25642.5+132995j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+251607-14608.5j,+722480+50224.3j,+415355+32065.5j,+259429-43838j,+13627+133369j
2016-09-02 01:00:00 PDT,+6460-1.30599e-08j,+0+0j,+601747-426107j,+0+0j,+0+0j,+0+0j,+601823-428170j,+3300-6.60361e-09j,+0+0j,+598405-431133j,+0+0j,+0+0j,+258022-161129j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44282+22167j,+0+0j,+44231.3+22115.6j,+1.36057e-05+5.16046e-07j,+0+0j,+1.36145e-05+5.37665e-07j,+0+0j,+1.36646e-05+6.02655e-07j,+0+0j,+0+0j,+0+0j,+1.3622e-05+5.6529e-07j,+1.36403e-05+5.75593e-07j,+1.36181e-05+5.4115e-07j,+0+0j,+0+0j,+14489.3-21403.2j,+186585-169940j,+0+0j,+14482.8-21409.9j,+4600-4.37512e-09j,+0+0j,+186426-170205j,+44343.2+22171.6j,+141952-192616j,+0+0j,+141827-192861j,+0+0j,+77910.4+55650.3j,+38657.3-210916j,+8913.29-211110j,+8766.7-211316j,+8354.02-211881j,+340037-273932j,+340019-274457j,+8500.27+0.612632j,+330866-276282j,+8500+2.57478e-08j,+17449.2-21502.8j,+312202-258182j,+7580-5.69389e-09j,+1.71319e-06-1.72774e-06j,+0+0j,+183498-420764j,+54624.7+213366j,+0+0j,+0+0j,+0+0j,+0+0j,+182646-421890j,+0+0j,+0+0j,+45203.7-232531j,+60630.2-101730j,+24527.5-232644j,+2.49559e-09-6.21508e-09j,+24275-233117j,+256.92-233594j,+129.054-233856j,+0+0j,-1.1627e-08-234109j,+0+0j,+57091.6-102032j,+0+0j,+32070.1-102175j,+18860.6-102297j,+13118.5+15.2428j,+0+0j,+13121.1+2.02665j,+0+0j,+13120.5+0.470842j,+7860+3.68436e-09j,+24597.3+0.42764j,+24590+5.58633e-07j,-7.19031e-06+5.2722e-07j,-7.21745e-06+5.04597e-07j,+0+0j,+29703.9+212988j,+0+0j,+0+0j,+37197.8+7.9371j,-7722.32+212756j,+18820-6.49379e-10j,+0+0j,-8353.67+211881j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+213365-183942j,+608083-423008j,+340050-273084j,+239393-205783j,+29853.4+213173j
2016-09-02 02:00:00 PDT,+6460-1.0285e-08j,+0+0j,+599116-426329j,+0+0j,+0+0j,+0+0j,+599192-428385j,+3300-5.23551e-09j,+0+0j,+595776-431338j,+0+0j,+0+0j,+256951-161258j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44286.1+22169.1j,+0+0j,+44235.4+22117.7j,+8.55838e-06+5.04813e-06j,+0+0j,+8.52468e-06+5.06572e-06j,+0+0j,+8.48257e-06+5.04547e-06j,+0+0j,+0+0j,+0+0j,+8.55047e-06+5.06055e-06j,+8.54971e-06+5.09969e-06j,+8.52786e-06+5.14093e-06j,+0+0j,+0+0j,+14491.2-21403.7j,+185682-169965j,+0+0j,+14484.6-21410.3j,+4600+4.31419e-09j,+0+0j,+185523-170229j,+44348.1+22174.1j,+141045-192642j,+0+0j,+140921-192886j,+0+0j,+77919.7+55657j,+37737-210947j,+8402.8-211141j,+8256.27-211347j,+7843.8-211912j,+338482-273993j,+338465-274516j,+8500.27+0.61259j,+329315-276334j,+8500+5.3592e-09j,+17451.2-21503j,+310656-258220j,+7580-8.10132e-09j,-1.42236e-05+1.99765e-06j,+0+0j,+182460-420823j,+54103.7+213395j,+0+0j,+0+0j,+0+0j,+0+0j,+181609-421947j,+0+0j,+0+0j,+44464.2-232574j,+60317.3-101743j,+24188-232688j,+6.61478e-09+7.78755e-09j,+23935.6-233161j,+257.017-233638j,+129.102-233900j,+0+0j,+1.00845e-08-234154j,+0+0j,+56778.7-102044j,+0+0j,+32077.2-102188j,+18867.8-102310j,+13118.5+15.2368j,+0+0j,+13121.1+2.02625j,+0+0j,+13120.5+0.470743j,+7860+1.64619e-09j,+24277.2+0.288045j,+24270-3.33154e-06j,+1.0556e-05-3.32881e-06j,+1.05484e-05-3.34514e-06j,+0+0j,+29502.8+213017j,+0+0j,+0+0j,+36487.5+7.63497j,-7212.38+212786j,+18460-6.45196e-09j,+0+0j,-7843.45+211912j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+212291-184070j,+605451-423240j,+338495-273149j,+237833-205815j,+29652.7+213202j
2016-09-02 03:00:00 PDT,+6330+1.75728e-08j,+0+0j,+612509-425133j,+0+0j,+0+0j,+0+0j,+612580-427221j,+3350-9.627e-10j,+0+0j,+609098-430219j,+0+0j,+0+0j,+262364-160578j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44261.1+22156.5j,+0+0j,+44210.4+22105.2j,-6.31974e-06+4.74119e-06j,+0+0j,-6.36101e-06+4.73046e-06j,+0+0j,-6.32746e-06+4.78352e-06j,+0+0j,+0+0j,+0+0j,-6.36485e-06+4.77006e-06j,-6.31787e-06+4.78347e-06j,-6.35142e-06+4.76641e-06j,+0+0j,+0+0j,+14453.2-21399.4j,+190254-169824j,+0+0j,+14446.6-21406.1j,+4570-2.47383e-10j,+0+0j,+190090-170094j,+44318.5+22159.2j,+145640-192496j,+0+0j,+145512-192745j,+0+0j,+77863.9+55617.1j,+42403.5-210773j,+11314.8-210966j,+11167.8-211173j,+10753.8-211740j,+346370-273626j,+346352-274159j,+8230.26+0.574546j,+337454-276013j,+8230+9.53332e-09j,+17272.4-21499.9j,+318935-257978j,+7410+2.68483e-09j,-8.07748e-06+1.68605e-05j,+0+0j,+187720-420464j,+57181.2+213232j,+0+0j,+0+0j,+0+0j,+0+0j,+186864-421597j,+0+0j,+0+0j,+48291.8-232316j,+61823.4-101665j,+25965.5-232428j,-7.58609e-09-7.66554e-09j,+25712.6-232899j,+256.628-233373j,+128.887-233634j,+0+0j,-6.88306e-09-233888j,+0+0j,+58234.8-101970j,+0+0j,+31843.5-102112j,+18834-102233j,+12918.5+14.9815j,+0+0j,+12921.1+1.96001j,+0+0j,+12920.4+0.449919j,+7680-1.236e-09j,+26248.1+1.20306j,+26240+2.64579e-07j,-6.20601e-06+2.54584e-07j,-6.18412e-06+2.77872e-07j,+0+0j,+30611+212852j,+0+0j,+0+0j,+40499.3+9.39831j,-10120.4+212616j,+20470+3.71074e-09j,+0+0j,-10753.5+211739j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+217720-183392j,+618721-421997j,+346385-272766j,+246177-205613j,+30758.5+213037j
2016-09-02 04:00:00 PDT,+6860+1.24601e-09j,+0+0j,+653746-421618j,+0+0j,+0+0j,+0+0j,+653812-423827j,+3700-1.58798e-09j,+0+0j,+649944-427001j,+0+0j,+0+0j,+278662-158577j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44204.9+22128.4j,+0+0j,+44154.3+22077.2j,-6.86691e-06-1.3249e-06j,+0+0j,-6.85982e-06-1.31613e-06j,+0+0j,-6.88758e-06-1.30313e-06j,+0+0j,+0+0j,+0+0j,-6.87876e-06-1.29597e-06j,-6.90529e-06-1.33797e-06j,-6.92214e-06-1.31155e-06j,+0+0j,+0+0j,+14848.1-21392.5j,+203555-169420j,+0+0j,+14841.5-21399.3j,+4990-2.32512e-09j,+0+0j,+203378-169714j,+44250.9+22125.5j,+158988-192095j,+0+0j,+158850-192361j,+0+0j,+77736+55525.8j,+55926.4-210307j,+19049.1-210499j,+18901.1-210708j,+18483.5-211283j,+370873-272667j,+370853-273236j,+8860.3+0.666513j,+361272-275206j,+8860+1.42336e-08j,+17855-21496.3j,+342064-257400j,+8020+4.16094e-09j,-1.27927e-05+2.13705e-05j,+0+0j,+204377-419581j,+63813.1+212804j,+0+0j,+0+0j,+0+0j,+0+0j,+203500-420748j,+0+0j,+0+0j,+58583.2-231691j,+68389.9-101457j,+31137-231803j,+3.49305e-09+2.7574e-09j,+30882.8-232268j,+254.606-232736j,+127.916-232997j,+0+0j,+4.04543e-09-233249j,+0+0j,+64448.9-101780j,+0+0j,+32857.6-101921j,+18727.7-102045j,+14038.7+16.6472j,+0+0j,+14041.3+2.31667j,+0+0j,+14040.5+0.528283j,+8310-1.13228e-08j,+30890.6+3.89863j,+30880-7.77645e-06j,+1.11214e-05-7.80884e-06j,+1.11349e-05-7.77858e-06j,+0+0j,+32604+212418j,+0+0j,+0+0j,+50204.3+14.4502j,-17845.4+212170j,+25350-1.24601e-09j,+0+0j,-18483.2+211282j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+234046-181413j,+660493-418299j,+370889-271750j,+269491-205132j,+32745.5+212602j
2016-09-02 05:00:00 PDT,+8700-8.80618e-09j,+0+0j,+709814-417032j,+0+0j,+0+0j,+0+0j,+709882-419415j,+4900-5.40831e-09j,+0+0j,+704776-422833j,+0+0j,+0+0j,+300329-156022j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44139.7+22095.7j,+0+0j,+44089.1+22044.6j,-5.95447e-06-5.00619e-07j,+0+0j,-5.96487e-06-4.66716e-07j,+0+0j,-5.94717e-06-4.26552e-07j,+0+0j,+0+0j,+0+0j,-5.93825e-06-4.23399e-07j,-5.95315e-06-4.10028e-07j,-5.93508e-06-3.44435e-07j,+0+0j,+0+0j,+16266.7-21384.7j,+220608-168848j,+0+0j,+16259.6-21391.9j,+6440-4.97994e-09j,+0+0j,+220417-169173j,+44172.9+22086.4j,+176097-191533j,+0+0j,+175947-191823j,+0+0j,+77588.4+55420.3j,+73239.4-209674j,+28210.3-209865j,+28063-210079j,+27645.8-210660j,+403993-271416j,+403970-272033j,+11060.5+1.03984j,+392115-274147j,+11060+1.72404e-08j,+19941.4-21490.8j,+370683-256605j,+10140-4.4256e-09j,+1.7358e-06+9.40675e-06j,+0+0j,+227679-418400j,+69327+212208j,+0+0j,+0+0j,+0+0j,+0+0j,+226768-419620j,+0+0j,+0+0j,+70716.2-230911j,+79791.2-101163j,+37420.4-231022j,+1.17348e-08+2.59593e-09j,+37166.5-231483j,+250.132-231946j,+125.818-232208j,+0+0j,+2.3414e-08-232458j,+0+0j,+74643.6-101518j,+0+0j,+36601.3-101661j,+18590.2-101796j,+17919.4+22.6731j,+0+0j,+17922.1+3.77141j,+0+0j,+17920.8+0.846707j,+10500+1.76624e-09j,+35383.3+7.246j,+35370-7.88532e-06j,+1.64171e-05-7.8468e-06j,+1.6404e-05-7.84894e-06j,+0+0j,+33632.5+211820j,+0+0j,+0+0j,+60380.7+21.0086j,-27008.2+211559j,+30520+3.07955e-09j,+0+0j,-27645.4+210660j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+255740-178896j,+718396-413451j,+404007-270421j,+298350-204500j,+33765.4+211999j
2016-09-02 06:00:00 PDT,+10420-4.39377e-09j,+0+0j,+718562-416747j,+0+0j,+0+0j,+0+0j,+718647-419147j,+5900+4.82623e-09j,+0+0j,+712570-422583j,+0+0j,+0+0j,+303187-155870j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44142.1+22097j,+0+0j,+44091.5+22045.8j,-6.39265e-06+7.58601e-06j,+0+0j,-6.41609e-06+7.61541e-06j,+0+0j,-6.39668e-06+7.68169e-06j,+0+0j,+0+0j,+0+0j,-6.38938e-06+7.69644e-06j,-6.40686e-06+7.67962e-06j,-6.44851e-06+7.63464e-06j,+0+0j,+0+0j,+17555-21385j,+222094-168765j,+0+0j,+17547.5-21392.6j,+7730-2.52339e-09j,+0+0j,+221906-169092j,+44176.2+22088.1j,+177584-191455j,+0+0j,+177436-191745j,+0+0j,+77594.5+55424.7j,+74725.1-209598j,+27824.5-209788j,+27680.6-210001j,+27272.5-210577j,+408961-271345j,+408940-271962j,+13220.7+1.48579j,+394924-274063j,+13220-3.03407e-09j,+21941-21488.5j,+371503-256466j,+12140-2.10093e-10j,+1.82449e-05-1.38541e-05j,+0+0j,+232161-418226j,+65693.8+212096j,+0+0j,+0+0j,+0+0j,+0+0j,+231243-419458j,+0+0j,+0+0j,+70375.3-230862j,+84606.8-101096j,+37500.2-230973j,+1.76769e-09-1.10825e-08j,+37250-231436j,+247.075-231902j,+124.427-232165j,+0+0j,+6.69388e-10-232415j,+0+0j,+78454.6-101464j,+0+0j,+40150.8-101614j,+18578.5-101759j,+21480.1+28.6492j,+0+0j,+21483+5.41895j,+0+0j,+21481.2+1.21421j,+12570+8.17909e-09j,+33682.2+5.92377j,+33670-2.94819e-06j,+1.34222e-05-2.94631e-06j,+1.34523e-05-2.9325e-06j,+0+0j,+31705.5+211717j,+0+0j,+0+0j,+58099.3+19.5742j,-26647.6+211466j,+29460-2.28465e-09j,+0+0j,-27272.1+210576j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+258594-178753j,+728833-413138j,+408968-270347j,+299208-204422j,+31836+211892j
2016-09-02 07:00:00 PDT,+8570-8.72205e-10j,+0+0j,+642831-422907j,+0+0j,+0+0j,+0+0j,+642925-425032j,+4150+2.25327e-09j,+0+0j,+638659-428078j,+0+0j,+0+0j,+273831-159342j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44220.3+22136.1j,+0+0j,+44169.7+22084.8j,-1.05035e-06-4.63295e-06j,+0+0j,-1.02273e-06-4.55831e-06j,+0+0j,-1.08837e-06-4.61314e-06j,+0+0j,+0+0j,+0+0j,-1.0747e-06-4.61703e-06j,-1.07992e-06-4.58761e-06j,-1.05965e-06-4.57684e-06j,+0+0j,+0+0j,+15852.1-21390j,+198761-169559j,+0+0j,+15845.1-21397j,+5980+3.40651e-09j,+0+0j,+198594-169839j,+44268.8+22134.4j,+154193-192221j,+0+0j,+154063-192475j,+0+0j,+77769.9+55549.9j,+51077.7-210450j,+14651.7-210639j,+14511.2-210844j,+14114.6-211401j,+364484-272809j,+364468-273347j,+11470.5+1.11719j,+352305-275206j,+11470+2.50766e-08j,+19943.5-21485.1j,+331079-257157j,+10090+1.07866e-09j,-1.17881e-05+2.50424e-05j,+0+0j,+201034-419511j,+56147.7+212859j,+0+0j,+0+0j,+0+0j,+0+0j,+200161-420675j,+0+0j,+0+0j,+53122.9-231771j,+70388.7-101418j,+28987.6-231884j,+2.74932e-08+2.35718e-08j,+28738.4-232356j,+250.853-232832j,+126.217-233095j,+0+0j,-5.45697e-09-233346j,+0+0j,+65994.1-101747j,+0+0j,+36151.2-101895j,+18781.1-102029j,+17279+21.6439j,+0+0j,+17282+3.54764j,+0+0j,+17280.8+0.838624j,+10470+1.03846e-08j,+26618.3+1.41542j,+26610+5.52658e-06j,-1.38252e-06+5.55161e-06j,-1.36191e-06+5.56326e-06j,+0+0j,+29222+212491j,+0+0j,+0+0j,+42500.3+10.4463j,-13505.9+212263j,+21560+2.36651e-09j,+0+0j,-14114.2+211400j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+229212-182160j,+651247-419714j,+364489-271937j,+258475-205003j,+29360.1+212668j
2016-09-02 08:00:00 PDT,+6100-1.10222e-08j,+0+0j,+540960-430718j,+0+0j,+0+0j,+0+0j,+541053-432572j,+1900-3.82443e-09j,+0+0j,+539097-435236j,+0+0j,+0+0j,+234434-163815j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44353.5+22202.8j,+0+0j,+44302.7+22151.3j,-8.42278e-06+1.15778e-05j,+0+0j,-8.41547e-06+1.1619e-05j,+0+0j,-8.3606e-06+1.16595e-05j,+0+0j,+0+0j,+0+0j,-8.35633e-06+1.17304e-05j,-8.31417e-06+1.17658e-05j,-8.3414e-06+1.17482e-05j,+0+0j,+0+0j,+13623.6-21405.9j,+167249-170551j,+0+0j,+13617.2-21412.3j,+3690-6.45741e-11j,+0+0j,+167107-170780j,+44425.7+22212.9j,+122562-193213j,+0+0j,+122453-193433j,+0+0j,+78066.1+55761.5j,+19032.5-211606j,-3513.88-211799j,-3653.79-211999j,-4046.88-212548j,+304395-274918j,+304382-275378j,+9060.31+0.695384j,+294742-276989j,+9060+8.93169e-09j,+17260.6-21494.5j,+276411-258470j,+7340+6.38011e-09j,+8.80651e-06-9.58416e-06j,+0+0j,+160084-421656j,+42009.4+213980j,+0+0j,+0+0j,+0+0j,+0+0j,+159256-422745j,+0+0j,+0+0j,+30423.6-233268j,+51643.1-101942j,+17757.2-233384j,-1.52236e-10+1.22342e-08j,+17505.8-233869j,+257.446-234358j,+129.375-234622j,+0+0j,+6.28643e-09-234877j,+0+0j,+49504.5-102224j,+0+0j,+30852.2-102370j,+19043.1-102489j,+11718.4+13.3709j,+0+0j,+11721+1.68189j,+0+0j,+11720.4+0.444528j,+7650-5.14456e-09j,+14763.3-2.22876j,+14760+9.40666e-06j,-1.20407e-05+9.4059e-06j,-1.20493e-05+9.40721e-06j,+0+0j,+26931+213617j,+0+0j,+0+0j,+22072.8+2.80743j,+4651.39+213400j,+11210-1.02773e-10j,+0+0j,+4047.23+212548j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+189744-186589j,+546913-427934j,+304401-274172j,+203333-206087j,+27083.1+213801j
2016-09-02 09:00:00 PDT,+5700-3.02134e-09j,+0+0j,+491134-434582j,+0+0j,+0+0j,+0+0j,+491222-436332j,+1500+1.26049e-08j,+0+0j,+489687-438849j,+0+0j,+0+0j,+214646-166102j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44432.8+22242.4j,+0+0j,+44381.9+22190.9j,+8.35682e-06-7.9421e-06j,+0+0j,+8.35553e-06-7.88325e-06j,+0+0j,+8.33791e-06-7.9011e-06j,+0+0j,+0+0j,+0+0j,+8.36775e-06-7.87037e-06j,+8.35843e-06-7.86718e-06j,+8.3417e-06-7.87115e-06j,+0+0j,+0+0j,+13266-21416.6j,+150859-170990j,+0+0j,+13259.8-21422.8j,+3300+2.52589e-09j,+0+0j,+150732-171197j,+44520.2+22260.1j,+106099-193668j,+0+0j,+105999-193873j,+0+0j,+78244.5+55888.9j,+2321.88-212165j,-13253.2-212361j,-13393-212561j,-13785.2-213110j,+274807-276012j,+274794-276441j,+8700.29+0.640303j,+265558-277945j,+8700+9.37098e-09j,+16855.7-21501.9j,+247723-259211j,+6900-9.15907e-09j,-7.3709e-06+8.75142e-06j,+0+0j,+140554-422825j,+32601.5+214540j,+0+0j,+0+0j,+0+0j,+0+0j,+139743-423884j,+0+0j,+0+0j,+17766.9-234116j,+44493.8-102213j,+11660-234234j,+1.1496e-08+2.52204e-09j,+11407.9-234728j,+259.925-235225j,+130.596-235491j,+0+0j,-1.61672e-08-235747j,+0+0j,+42755.6-102478j,+0+0j,+30063.1-102626j,+19174.2-102743j,+10798.3+12.0631j,+0+0j,+10800.8+1.43904j,+0+0j,+10800.4+0.392274j,+7200-7.03812e-09j,+7751.36-2.09757j,+7750+1.04727e-06j,-6.03246e-06+1.07393e-06j,-6.01713e-06+1.09805e-06j,+0+0j,+24529.7+214179j,+0+0j,+0+0j,+9940.57+0.576803j,+14389.2+213961j,+5090+3.01043e-10j,+0+0j,+13785.6+213110j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+169903-188870j,+496697-431954j,+274813-275316j,+174382-206715j,+24689.9+214364j
