# file...... underground_lines_power_in_C.csv
# date...... Fri Oct 27 14:53:00 2017
# user...... mast9
# host...... (null)
# group..... class= underground_line
# property.. power_in_C
# limit..... -1
# interval.. 3600
# timestamp,O60-62,O62-63,O63-64,O64-65,O65-66
2016-09-02 00:00:00 PDT,+136373+50454.4j,+94119.4+29384.1j,+94059.4+29371.9j,+93939+29347.5j,+32101.8+2.07272j
2016-09-02 01:00:00 PDT,+135947+51034.8j,+93621.2+29927.1j,+93563.3+29915.2j,+93447.3+29891.3j,+30940.9+1.92177j
2016-09-02 02:00:00 PDT,+135963+51044.8j,+93630.2+29933.4j,+93572.3+29921.5j,+93456.3+29897.6j,+30940.9+1.92143j
2016-09-02 03:00:00 PDT,+135299+50988.1j,+93004.4+29895.4j,+92947.1+29883.6j,+92832.5+29860j,+30360.5+1.85157j
2016-09-02 04:00:00 PDT,+136226+50848j,+94039.9+29810.2j,+93981.3+29798.1j,+93864.1+29774j,+31531.4+2.00257j
2016-09-02 05:00:00 PDT,+151084+50603.9j,+109056+29656.9j,+108978+29641.2j,+108823+29609.9j,+46725.1+4.42263j
2016-09-02 06:00:00 PDT,+173548+50486.7j,+131555+29577.5j,+131444+29555.5j,+131222+29511.6j,+69215.2+9.74271j
2016-09-02 07:00:00 PDT,+183236+50631.8j,+141062+29641.3j,+140936+29616.4j,+140683+29566.7j,+78450.7+12.4783j
2016-09-02 08:00:00 PDT,+173594+50999.6j,+131157+29867.4j,+131048+29845.7j,+130830+29802.4j,+68243.1+9.36946j
2016-09-02 09:00:00 PDT,+170169+51204.4j,+127596+30001j,+127493+29980.5j,+127286+29939.4j,+64527.3+8.34573j
2016-09-02 10:00:00 PDT,+168473+51257.5j,+125872+30038.1j,+125771+30018.1j,+125570+29978j,+62774.7+7.89128j
2016-09-02 11:00:00 PDT,+161989+51327.3j,+119371+30093.5j,+119280+30075.3j,+119098+30038.9j,+56275.9+6.33383j
2016-09-02 12:00:00 PDT,+160548+51263j,+117993+30060.3j,+117904+30042.4j,+117726+30006.7j,+54984.3+6.05463j
2016-09-02 13:00:00 PDT,+162738+51159.3j,+120258+29995.9j,+120166+29977.4j,+119981+29940.4j,+57337.4+6.59764j
2016-09-02 14:00:00 PDT,+171570+50886.5j,+129259+29816.3j,+129153+29795.1j,+128940+29752.9j,+66520.6+8.92739j
2016-09-02 15:00:00 PDT,+180016+50485.8j,+137996+29569.6j,+137875+29545.6j,+137632+29497.7j,+75595.9+11.625j
2016-09-02 16:00:00 PDT,+143446+50572j,+101567+29693.7j,+101499+29679.9j,+101363+29652.1j,+39477.9+3.16546j
2016-09-02 17:00:00 PDT,+141139+50267j,+99534.9+29524.4j,+99469.1+29511j,+99337.2+29484.1j,+37806.6+2.92173j
2016-09-02 18:00:00 PDT,+153624+50019j,+112190+29371.9j,+112108+29355.2j,+111942+29321.9j,+50659.9+5.27667j
2016-09-02 19:00:00 PDT,+159840+49946j,+118490+29346.3j,+118398+29327.9j,+118214+29291.1j,+57068.1+6.71556j
2016-09-02 20:00:00 PDT,+157913+50162.3j,+116387+29473.1j,+116299+29455.3j,+116121+29419.8j,+54744.9+6.15169j
2016-09-02 21:00:00 PDT,+151592+50496.2j,+109782+29659.1j,+109703+29643.2j,+109545+29611.4j,+47776.4+4.64882j
2016-09-02 22:00:00 PDT,+146326+50750.8j,+104280+29791.2j,+104209+29776.7j,+104066+29747.8j,+41970.2+3.56461j
2016-09-02 23:00:00 PDT,+139809+50953.4j,+97569.4+29891.4j,+97506.8+29878.5j,+97381.3+29852.8j,+35004+2.46586j
2016-09-03 00:00:00 PDT,+138308+50995.6j,+96030.6+29913.5j,+95969.9+29901j,+95848.1+29876j,+33412.7+2.24431j
