# file...... Overhead_lines_power_in_B.csv
# date...... Fri Oct 27 14:53:00 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-10-07 00:00:00 PDT,+7950.44+0.449928j,-0+0j,+730383+51213.1j,+0+0j,+0+0j,+0+0j,+730142+48241.9j,+4450.18+0.181609j,-0+0j,+725522+46258.1j,+0+0j,-0+0j,+300903+9841.11j,+0+0j,+0+0j,+0+0j,+0+0j,-0+0j,+43126.9+21606.6j,+0+0j,+43136+21593.3j,+2.01256e-06+8.20074e-06j,-0+0j,+2.01366e-06+8.20784e-06j,+0+0j,+1.98531e-06+8.20015e-06j,+0+0j,+0+0j,+0+0j,+1.9554e-06+8.18668e-06j,+1.95202e-06+8.18033e-06j,+1.9369e-06+8.15261e-06j,+0+0j,+0+0j,+26875.4+9887.03j,+216842-31739.6j,-0+0j,+26879+9869.99j,+5870.45+0.460159j,-0+0j,+216684-31961.6j,+42937.1+21492.6j,+173591-53678j,-0+0j,+173520-53785.7j,+0+0j,+75144.2+53686.9j,+61296.3-132494j,+27708.1-132566j,+27648.8-132622j,+27582.1-132688j,+423838+32204.4j,+423708+31543.7j,+10129.8+2.06078j,+413484+31125.1j,+10130.4+0.899343j,+30276.4+9857.56j,+382666+19656.1j,+9270.87+0.883621j,+9.19256e-06-8.16144e-06j,-0+0j,+226953-177169j,+38777.5+133331j,+0+0j,+0+0j,+0+0j,-0+0j,+226499-177854j,+0+0j,+0+0j,+49913.1-218671j,+90998.3-34588.7j,+26839.1-219104j,+5.65352e-09-1.1426e-08j,+26785.7-219209j,+444.373-219644j,+242.645-220082j,-0+0j,+122.061-220325j,+0+0j,+86397.1-35010.7j,-0+0j,+59119.4-35260.6j,+42709.6-35399.1j,+16359+33.6414j,-0+0j,+16359+17.96j,-0+0j,+16361.9+3.33575j,+9600.74+0.750604j,+25400.2+1.43563j,+25398+1.12706j,+1.68244e-06+7.31711e-06j,+1.68589e-06+7.30313e-06j,-0+0j,+13242.2+133241j,+0+0j,+0+0j,+40194.3+24.6532j,-26993.8+133188j,+20399.7+9.79067j,-0+0j,-27093.3+133154j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+257429-13558.6j,+738755+54934.8j,+424046+33510.4j,+265832-43000j,+13304.1+133286j
2016-10-07 01:00:00 PDT,+7450.39+0.393456j,+0+0j,+618041-421855j,+0+0j,+0+0j,+0+0j,+618179-425039j,+4150.15+0.155641j,+0+0j,+614112-427158j,+0+0j,+0+0j,+264540-159110j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44284.6+22161.1j,+0+0j,+44272.2+22162.1j,+4.92119e-06+9.55618e-06j,+0+0j,+4.88992e-06+9.62012e-06j,+0+0j,+4.95159e-06+9.64269e-06j,+0+0j,+0+0j,+0+0j,+4.98969e-06+9.71979e-06j,+4.96308e-06+9.71869e-06j,+4.94845e-06+9.68966e-06j,+0+0j,+0+0j,+15373.2-21379.6j,+191306-169496j,+0+0j,+15370-21403.7j,+5490.38+0.389723j,+0+0j,+191145-169767j,+44380.4+22215j,+146603-192256j,+0+0j,+146520-192452j,+0+0j,+77904.5+55659.7j,+43412.3-210536j,+11137.6-210739j,+11004.7-210933j,+10858.5-211141j,+349487-272853j,+349478-273725j,+9509.73+1.79056j,+339952-274266j,+9510.34+0.766975j,+18557.1-21496.4j,+320728-254632j,+8690.74+0.746095j,+1.20326e-06+9.81636e-06j,+0+0j,+191752-419103j,+55004.2+213387j,+0+0j,+0+0j,+0+0j,+0+0j,+190669-420539j,+0+0j,+0+0j,+48317.4-231921j,+65389.4-101155j,+25966.3-232385j,-1.45499e-08-2.3587e-08j,+25910.4-232498j,+469.528-232970j,+255.292-233445j,+0+0j,+128.301-233708j,+0+0j,+60851.6-101663j,+0+0j,+34390.9-101975j,+18910.7-102155j,+15318.3+35.1j,+0+0j,+15318.7+18.4204j,+0+0j,+15321.5+2.74104j,+9000.61+0.617872j,+24989.6+0.696863j,+24987.5+0.607961j,+1.14939e-05-4.62997e-06j,+1.1503e-05-4.61158e-06j,+0+0j,+29641.6+213001j,+0+0j,+0+0j,+39091.9+22.1929j,-9598.18+212796j,+19828.7+8.80717j,+0+0j,-9815.45+212585j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+219894-182669j,+625301-417806j,+349458-271086j,+247142-204593j,+29813.7+213194j
2016-10-07 02:00:00 PDT,+7450.39+0.393455j,+0+0j,+617599-421894j,+0+0j,+0+0j,+0+0j,+617737-425076j,+4150.15+0.15564j,+0+0j,+613670-427193j,+0+0j,+0+0j,+264363-159132j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44285.1+22161.3j,+0+0j,+44272.7+22162.3j,-5.0537e-06-8.85072e-07j,+0+0j,-5.07494e-06-8.81279e-07j,+0+0j,-5.06228e-06-8.64334e-07j,+0+0j,+0+0j,+0+0j,-5.0143e-06-8.50045e-07j,-5.03965e-06-8.757e-07j,-5.10439e-06-9.02614e-07j,+0+0j,+0+0j,+15373.8-21379.5j,+191159-169500j,+0+0j,+15370.5-21403.6j,+5490.38+0.389718j,+0+0j,+190998-169771j,+44381+22215.3j,+146455-192259j,+0+0j,+146372-192455j,+0+0j,+77905.7+55660.6j,+43262.6-210540j,+11048-210743j,+10915.1-210937j,+10768.9-211145j,+349223-272861j,+349214-273732j,+9509.73+1.79055j,+339687-274273j,+9510.34+0.76697j,+18557.7-21496.2j,+320463-254638j,+8690.74+0.746089j,+1.44032e-05+1.53404e-05j,+0+0j,+191577-419109j,+54913.1+213390j,+0+0j,+0+0j,+0+0j,+0+0j,+190495-420544j,+0+0j,+0+0j,+48197.3-231927j,+65331.2-101157j,+25906.3-232390j,-2.29554e-08+2.4727e-09j,+25850.5-232503j,+469.6-232975j,+255.296-233451j,+0+0j,+128.302-233713j,+0+0j,+60793.4-101664j,+0+0j,+34392.8-101976j,+18912.5-102157j,+15318.3+35.1013j,+0+0j,+15318.7+18.4201j,+0+0j,+15321.5+2.74097j,+9000.61+0.617857j,+24929.6+0.65723j,+24927.5+0.580769j,+1.14473e-05-8.99581e-06j,+1.14309e-05-9.01349e-06j,+0+0j,+29610.7+213004j,+0+0j,+0+0j,+38971.8+22.0571j,-9509.04+212799j,+19768.6+8.75372j,+0+0j,-9726.21+212589j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+219717-182690j,+624858-417847j,+349194-271096j,+246876-204597j,+29782.7+213197j
2016-10-07 03:00:00 PDT,+7350.38+0.383009j,+0+0j,+632302-420526j,+0+0j,+0+0j,+0+0j,+632432-423762j,+4250.16+0.163278j,+0+0j,+628259-425915j,+0+0j,+0+0j,+270292-158366j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44258.8+22147.5j,+0+0j,+44245.7+22148.8j,+4.18032e-06-1.04683e-05j,+0+0j,+4.22736e-06-1.04268e-05j,+0+0j,+4.21305e-06-1.03785e-05j,+0+0j,+0+0j,+0+0j,+4.22233e-06-1.03818e-05j,+4.15816e-06-1.04157e-05j,+4.2187e-06-1.03862e-05j,+0+0j,+0+0j,+15375-21375j,+196120-169333j,+0+0j,+15371.7-21399.1j,+5500.39+0.391399j,+0+0j,+195953-169612j,+44349.1+22199.4j,+151437-192093j,+0+0j,+151352-192293j,+0+0j,+77845.6+55617.7j,+48320.7-210347j,+14209.6-210551j,+14077.2-210744j,+13930.5-210952j,+357867-272440j,+357856-273328j,+9249.72+1.70181j,+348589-273880j,+9250.32+0.725956j,+18408-21493j,+329494-254290j,+8550.71+0.722673j,+1.65327e-05-6.25283e-06j,+0+0j,+197386-418712j,+58161.6+213212j,+0+0j,+0+0j,+0+0j,+0+0j,+196296-420152j,+0+0j,+0+0j,+52308.3-231646j,+67104.9-101063j,+27823.5-232110j,+6.8506e-09+4.08831e-10j,+27767.7-232222j,+466.238-232691j,+254.818-233163j,+0+0j,+128.042-233425j,+0+0j,+62466.3-101578j,+0+0j,+34235.4-101895j,+18875.2-102074j,+15198.5+34.7745j,+0+0j,+15198.7+18.2724j,+0+0j,+15201.5+2.69063j,+8850.59+0.598148j,+27040.8+2.16554j,+27038.5+1.61481j,+5.12755e-06+3.28674e-06j,+5.12961e-06+3.29971e-06j,+0+0j,+30747.4+212822j,+0+0j,+0+0j,+43266.8+27.1885j,-12664.7+212612j,+21920.6+10.7748j,+0+0j,-12884+212402j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+225649-181935j,+639466-416416j,+357835-270636j,+255945-204341j,+30920.1+213017j
2016-10-07 04:00:00 PDT,+8040.45+0.458408j,+0+0j,+674874-416669j,+0+0j,+0+0j,+0+0j,+675000-420104j,+4600.19+0.191382j,+0+0j,+670474-422390j,+0+0j,+0+0j,+287100-156207j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44205.7+22119.1j,+0+0j,+44190.8+22121.4j,+1.12743e-05+5.26947e-06j,+0+0j,+1.12632e-05+5.24898e-06j,+0+0j,+1.12584e-05+5.31213e-06j,+0+0j,+0+0j,+0+0j,+1.12491e-05+5.33531e-06j,+1.12639e-05+5.34414e-06j,+1.1276e-05+5.35388e-06j,+0+0j,+0+0j,+15839.2-21368.3j,+209721-168897j,+0+0j,+15835.9-21392.8j,+5990.46+0.464898j,+0+0j,+209541-169200j,+44282.7+22166.2j,+165079-191672j,+0+0j,+164986-191886j,+0+0j,+77719.9+55527.9j,+62132.3-209871j,+22031.5-210081j,+21900.4-210274j,+21752.8-210486j,+383249-271393j,+383237-272344j,+10159.8+2.02877j,+373057-272934j,+10160.4+0.876637j,+19190-21489.6j,+353124-253468j,+9360.86+0.867161j,+4.43468e-06+5.8477e-06j,+0+0j,+214678-417798j,+64576.2+212787j,+0+0j,+0+0j,+0+0j,+0+0j,+213560-419266j,+0+0j,+0+0j,+62679-231021j,+74215.5-100817j,+33164.8-231489j,-4.10687e-09+1.67521e-09j,+33109-231601j,+456.001-232065j,+252.59-232532j,+0+0j,+126.989-232794j,+0+0j,+69220.3-101367j,+0+0j,+35526.2-101704j,+18765.1-101886j,+16599.2+38.5652j,+0+0j,+16599+20.4824j,+0+0j,+16601.8+3.22211j,+9690.71+0.719174j,+31663.7+6.27734j,+31661+4.42767j,+1.01522e-05-4.19238e-06j,+1.01657e-05-4.18089e-06j,+0+0j,+32536.4+212387j,+0+0j,+0+0j,+52870.1+40.638j,-20473+212164j,+26745.9+16.0774j,+0+0j,-20697.8+211955j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+242452-179837j,+682728-412308j,+383204-269461j,+279687-203749j,+32711.1+212584j
2016-10-07 05:00:00 PDT,+10130.7+0.728047j,+0+0j,+745455-410367j,+0+0j,+0+0j,+0+0j,+745579-414127j,+5950.32+0.320509j,+0+0j,+739695-416629j,+0+0j,+0+0j,+314558-152761j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44118.3+22072.6j,+0+0j,+44100.7+22076.2j,-1.03803e-05-3.20209e-06j,+0+0j,-1.04028e-05-3.19752e-06j,+0+0j,-1.03946e-05-3.15606e-06j,+0+0j,+0+0j,+0+0j,-1.04047e-05-3.15263e-06j,-1.04109e-05-3.15479e-06j,-1.04029e-05-3.17318e-06j,+0+0j,+0+0j,+17440.5-21354.2j,+231409-168115j,+0+0j,+17437.3-21380j,+7630.75+0.756099j,+0+0j,+231209-168458j,+44175.1+22112.2j,+186835-190916j,+0+0j,+186731-191154j,+0+0j,+77516.5+55382.6j,+84157.1-209034j,+33868.2-209255j,+33741.2-209447j,+33594.5-209663j,+424977-269583j,+424964-270631j,+12669.9+3.07748j,+412269-271283j,+12670.6+1.36559j,+21559.8-21478.3j,+389864-252009j,+11771.4+1.37431j,+2.42988e-05-1.31932e-05j,+0+0j,+243929-416129j,+72174.5+212012j,+0+0j,+0+0j,+0+0j,+0+0j,+242753-417657j,+0+0j,+0+0j,+78312.6-229957j,+88097.1-100348j,+41234.1-230436j,+6.41794e-09+3.77994e-08j,+41178.6-230546j,+435.335-231005j,+246.957-231465j,+0+0j,+124.328-231726j,+0+0j,+81733-100973j,+0+0j,+39759.7-101351j,+18594.9-101549j,+21001.4+51.2534j,+0+0j,+21000.1+27.862j,+0+0j,+21002.9+5.16835j,+12181.1+1.14212j,+37697.9+13.3487j,+37694.8+9.25703j,+2.23004e-05-2.91011e-06j,+2.23233e-05-2.88184e-06j,+0+0j,+34101.3+211601j,+0+0j,+0+0j,+66283.3+64.1292j,-32309.4+211361j,+33545.1+25.3873j,+0+0j,-32541+211156j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+269901-176501j,+755411-405586j,+424906-267450j,+316600-202668j,+34276.7+211801j
2016-10-07 06:00:00 PDT,+12531.1+1.11398j,+0+0j,+767819-408919j,+0+0j,+0+0j,+0+0j,+767978-412810j,+7550.51+0.516089j,+0+0j,+760514-415399j,+0+0j,+0+0j,+322532-151982j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44116.6+22071.1j,+0+0j,+44098.3+22075.1j,+5.68659e-06-7.01209e-06j,+0+0j,+5.69677e-06-6.93997e-06j,+0+0j,+5.75557e-06-6.91146e-06j,+0+0j,+0+0j,+0+0j,+5.72581e-06-6.88681e-06j,+5.75073e-06-6.87892e-06j,+5.73966e-06-6.87226e-06j,+0+0j,+0+0j,+19339.4-21355j,+236739-167870j,+0+0j,+19336.2-21382.5j,+9541.17+1.18226j,+0+0j,+236541-168224j,+44172.9+22111.2j,+192170-190693j,+0+0j,+192066-190938j,+0+0j,+77512.3+55379.7j,+89515.6-208811j,+35411.2-209036j,+35287.4-209228j,+35143.4-209445j,+437866-269312j,+437862-270393j,+15510.3+4.51857j,+422328-271066j,+15510.9+2.04654j,+24310-21479j,+397153-251831j,+14532.1+2.09496j,-2.15925e-05+1.48805e-05j,+0+0j,+254246-415802j,+69213.2+211772j,+0+0j,+0+0j,+0+0j,+0+0j,+253043-417366j,+0+0j,+0+0j,+80486-229827j,+96274.3-100192j,+42569.3-230308j,+1.19275e-08+3.8436e-09j,+42514.7-230419j,+425.351-230878j,+243.091-231340j,+0+0j,+122.57-231603j,+0+0j,+88293.9-100867j,+0+0j,+44792.7-101268j,+18543.1-101490j,+26084+67.0989j,+0+0j,+26081.7+37.1032j,+0+0j,+26084.4+7.95808j,+15031.7+1.74117j,+36697+12.0792j,+36694.1+8.39834j,+1.69271e-06+2.19057e-06j,+1.70994e-06+2.18107e-06j,+0+0j,+32143.5+211370j,+0+0j,+0+0j,+65892.7+63.568j,-33874.1+211135j,+33464.9+25.2721j,+0+0j,-34104.7+210935j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+277874-175781j,+780154-403939j,+437775-267113j,+323965-202530j,+32317.9+211567j
2016-10-07 07:00:00 PDT,+10590.8+0.795304j,+0+0j,+671333-417699j,+0+0j,+0+0j,+0+0j,+671517-421084j,+5650.28+0.288676j,+0+0j,+665976-423335j,+0+0j,+0+0j,+284809-156770j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44231+22132.5j,+0+0j,+44216.9+22134.4j,+1.34674e-05+2.17829e-06j,+0+0j,+1.34707e-05+2.20544e-06j,+0+0j,+1.34145e-05+2.20972e-06j,+0+0j,+0+0j,+0+0j,+1.3472e-05+2.25396e-06j,+1.34718e-05+2.25834e-06j,+1.34467e-05+2.25369e-06j,+0+0j,+0+0j,+17526.3-21370.2j,+206590-168983j,+0+0j,+17523.2-21396j,+7670.75+0.761861j,+0+0j,+206420-169277j,+44313.5+22181.5j,+161937-191756j,+0+0j,+161851-191965j,+0+0j,+77777.7+55569.2j,+58923.4-209980j,+18038.6-210186j,+17913.2-210377j,+17772.4-210585j,+381124-271664j,+381126-272590j,+13730.1+3.57498j,+367380-273164j,+13730.7+1.60064j,+22232-21485j,+344430-253622j,+12391.5+1.51933j,-9.13256e-06+6.28718e-06j,+0+0j,+214758-417832j,+55865.7+212804j,+0+0j,+0+0j,+0+0j,+0+0j,+213633-419323j,+0+0j,+0+0j,+57835.3-231181j,+79041.6-100759j,+31401.5-231651j,-1.17277e-08-5.57706e-09j,+31346.8-231764j,+449.741-232235j,+248.264-232710j,+0+0j,+125.062-232974j,+0+0j,+72985.7-101339j,+0+0j,+40596-101689j,+18791.5-101896j,+21640.4+53.3447j,+0+0j,+21639.9+28.8114j,+0+0j,+21643.1+5.51562j,+12841.2+1.26261j,+26990.6+2.16001j,+26988.5+1.61625j,+7.07603e-06-4.9322e-06j,+7.06862e-06-4.94671e-06j,+0+0j,+28509.8+212424j,+0+0j,+0+0j,+44919.1+29.4639j,-16546.7+212221j,+22871.6+11.7473j,+0+0j,-16761.7+212020j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+240180-180408j,+681698-413369j,+381061-269785j,+271039-203781j,+28679+212614j
2016-10-07 08:00:00 PDT,+7490.39+0.397605j,+0+0j,+566482-426203j,+0+0j,+0+0j,+0+0j,+566648-429106j,+3150.09+0.0896194j,+0+0j,+563603-431038j,+0+0j,+0+0j,+244393-161556j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44345.2+22193.9j,+0+0j,+44335.2+22193.6j,+7.06964e-06-5.23383e-06j,+0+0j,+7.02141e-06-5.2632e-06j,+0+0j,+7.04871e-06-5.20936e-06j,+0+0j,+0+0j,+0+0j,+7.05861e-06-5.16646e-06j,+7.06218e-06-5.13744e-06j,+7.08421e-06-5.13259e-06j,+0+0j,+0+0j,+14891.5-21382.6j,+174663-170053j,+0+0j,+14888.2-21406.3j,+4970.31+0.318894j,+0+0j,+174518-170293j,+44453.6+22251.7j,+129920-192786j,+0+0j,+129847-192964j,+0+0j,+78042.4+55758.2j,+26526.5-211135j,+110.132-211331j,-19.6202-211524j,-159.259-211725j,+319187-273829j,+319186-274608j,+10429.8+2.12506j,+308745-275092j,+10430.4+0.921826j,+18802-21488.8j,+289343-255270j,+8890.77+0.780051j,-7.46194e-06+5.56599e-06j,+0+0j,+172151-419875j,+43131.7+213894j,+0+0j,+0+0j,+0+0j,+0+0j,+171090-421296j,+0+0j,+0+0j,+35332.5-232557j,+58475.5-101358j,+20022.4-233023j,-5.57755e-09+4.51283e-09j,+19966.6-233138j,+477.613-233621j,+255.136-234108j,+0+0j,+128.3-234373j,+0+0j,+54939.4-101837j,+0+0j,+34068.7-102134j,+19068.2-102317j,+14837.7+34.1049j,+0+0j,+14838.5+17.7763j,+0+0j,+14841.5+2.63604j,+9240.64+0.649435j,+15884.9-3.2239j,+15883.7-2.08951j,+1.85013e-07+4.95688e-06j,+1.54579e-07+4.93175e-06j,+0+0j,+26889.3+213529j,+0+0j,+0+0j,+25379.3+9.37955j,+1360.26+213339j,+12953.7+3.74973j,+0+0j,+1156.28+213131j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+199759-185045j,+573758-422504j,+319159-272253j,+215633-204962j,+27052.1+213712j
2016-10-07 09:00:00 PDT,+6300.28+0.28114j,+0+0j,+490209-432205j,+0+0j,+0+0j,+0+0j,+490360-434851j,+1700.03+0.0260696j,+0+0j,+488757-436613j,+0+0j,+0+0j,+214534-165042j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44456.7+22253j,+0+0j,+44450.1+22251.1j,-1.41349e-05+1.55835e-05j,+0+0j,-1.41421e-05+1.56501e-05j,+0+0j,-1.41298e-05+1.57023e-05j,+0+0j,+0+0j,+0+0j,-1.41361e-05+1.56556e-05j,-1.41373e-05+1.56302e-05j,-1.41474e-05+1.56376e-05j,+0+0j,+0+0j,+13639.9-21398.7j,+150462-170797j,+0+0j,+13636.4-21421.4j,+3670.17+0.173384j,+0+0j,+150336-171003j,+44588.6+22319.2j,+105621-193530j,+0+0j,+105559-193692j,+0+0j,+78296.4+55939.7j,+1882.11-212011j,-14412.9-212207j,-14547.9-212404j,-14687.4-212605j,+274207-275508j,+274204-276207j,+9579.73+1.80895j,+264614-276639j,+9580.35+0.776088j,+17584.2-21499.4j,+246499-256640j,+7620.56+0.57158j,-1.13927e-05+5.11298e-06j,+0+0j,+141803-421639j,+30379.3+214771j,+0+0j,+0+0j,+0+0j,+0+0j,+140770-423030j,+0+0j,+0+0j,+17268.2-233792j,+45799-101824j,+11305.5-234265j,-9.47284e-10-8.47088e-09j,+11248.7-234383j,+497.361-234880j,+259.455-235379j,+0+0j,+130.422-235646j,+0+0j,+43717.6-102249j,+0+0j,+31388.6-102516j,+19268.7-102692j,+11957.1+26.6508j,+0+0j,+11958.3+13.6099j,+0+0j,+11961+1.76116j,+7950.47+0.478045j,+5761.31-2.6408j,+5760.93-1.75302j,+1.05851e-05+2.93218e-06j,+1.05879e-05+2.90529e-06j,+0+0j,+24262.5+214413j,+0+0j,+0+0j,+8220.98+0.997649j,+15880.4+214227j,+4290.4+0.40946j,+0+0j,+15681.9+214011j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+169860-188473j,+496320-428830j,+274203-274105j,+172503-205994j,+24421.5+214591j
2016-10-07 10:00:00 PDT,+5970.25+0.252424j,+0+0j,+474614-433301j,+0+0j,+0+0j,+0+0j,+474758-435902j,+1150.01+0.0119263j,+0+0j,+473703-437634j,+0+0j,+0+0j,+208500-165684j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44480.7+22265.7j,+0+0j,+44474.8+22263.5j,-1.1303e-06+1.39802e-05j,+0+0j,-1.15826e-06+1.39949e-05j,+0+0j,-1.1544e-06+1.40112e-05j,+0+0j,+0+0j,+0+0j,-1.17152e-06+1.40245e-05j,-1.16614e-06+1.40167e-05j,-1.15155e-06+1.40677e-05j,+0+0j,+0+0j,+13211.2-21401.8j,+145626-170958j,+0+0j,+13207.7-21424.2j,+3230.13+0.134218j,+0+0j,+145503-171159j,+44616.8+22333.3j,+100763-193693j,+0+0j,+100702-193853j,+0+0j,+78349.4+55977.5j,-3051.31-212205j,-17316.7-212401j,-17453.1-212600j,-17592.9-212801j,+265181-275816j,+265177-276500j,+9469.72+1.76951j,+255697-276924j,+9470.34+0.758021j,+17266.2-21501.4j,+237910-256892j,+7290.52+0.522842j,+3.9118e-06+5.31132e-06j,+0+0j,+135610-422005j,+27916.1+214972j,+0+0j,+0+0j,+0+0j,+0+0j,+134581-423391j,+0+0j,+0+0j,+13773.9-234052j,+43012-101922j,+9771.73-234527j,-6.211e-09+7.63673e-10j,+9714.54-234646j,+501.869-235146j,+260.485-235649j,+0+0j,+130.938-235916j,+0+0j,+41481.2-102336j,+0+0j,+30552.4-102597j,+19312.4-102771j,+11077.1+24.4608j,+0+0j,+11078.3+12.4261j,+0+0j,+11080.9+1.53855j,+7620.43+0.438657j,+3680.77-1.87942j,+3680.54-1.24994j,-1.48797e-05+1.59123e-05j,-1.48736e-05+1.58964e-05j,+0+0j,+23880.3+214615j,+0+0j,+0+0j,+4930.36+0.362768j,+18786.5+214428j,+2610.15+0.151402j,+0+0j,+18588.7+214209j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+163814-189107j,+480402-429984j,+265183-274443j,+163844-206185j,+24038.5+214792j
