# file...... nodes_voltage_A.csv
# date...... Fri Oct 27 14:53:00 2017
# user...... mast9
# host...... (null)
# group..... class= node
# property.. voltage_A
# limit..... -1
# interval.. 3600
# timestamp,Node3,Node8,Node13,Node14,Node1401,Node15,Node18,Node21,Node23,Node25,Node26,Node2601,Node27,Node36,Node40,Node44,Node54,Node57,Node61,Node67,Node6701,Node72,Node78,Node81,Node89,Node91,Node93,Node97,Node101,Node105,Node108,Node110,Node135,Node149,Node1491,Node150,Node151,Node152,Node160,Node195,Node197,Node250,Node251,Node300,Node350,Node450,Node451,Node610,Node611
2016-10-07 00:00:00 PDT,+0+0j,+2468.2-47.616i,+2456.87-61.3719i,+2445.92-49.947i,+2450.01-48.615i,+0+0j,+2447.19-77.833i,+2444.85-79.5589i,+2442.98-81.4022i,+2440.69-83.4809i,+2439.72-84.4013i,+2440.69-83.4801i,+2438.86-85.138i,+2444.65-83.4795i,+2447.43-84.6462i,+2448.39-89.0924i,+2438.12-78.2487i,+2423.55-82.4218i,+2392.58-92.0763i,+2499.77-100.39i,+2512.19-96.6487i,+2494.9-101.351i,+2494.14-105.02i,+2504.3-109.044i,+2457.68-89.7332i,+2452.27-87.3384i,+2446.78-85.4667i,+2495.47-101.173i,+2491.09-101.559i,+2485.73-102.065i,+2479.65-102.994i,+2470.07-107.357i,+2447.18-77.831i,+2506.79+0.0299001i,+2506.81+0.00567901i,+2401.78-0.000739065i,+2467.33-98.8914i,+2456.87-61.3579i,+2392.58-92.0605i,+2446.69-85.3411i,+2495.47-101.166i,+2439.08-85.1474i,+2439.08-85.1474i,+2467.33-98.8959i,+2467.33-98.8959i,+2496.65-101.706i,+2496.65-101.706i,+276.067-10.6242j,+2392.58-92.0763i
2016-10-07 01:00:00 PDT,+0+0j,-85.3094-2492.68i,-103.293-2490.47i,-88.6675-2472.93i,-86.4834-2475.27i,+0+0j,-123.13-2498.12i,-125.166-2499.19i,-127.274-2500.15i,-129.64-2500.99i,-130.728-2502.05i,-129.641-2500.99i,-131.592-2502.78i,-130.552-2496.79i,-131.904-2501.26i,-137.718-2504.45i,-126.474-2478.14i,-131.733-2465.24i,-143.055-2438.25i,-153.467-2550.02i,-150.185-2560.15i,-154.57-2546.01i,-158.598-2545.86i,-163.094-2556.07i,-141.334-2501.23i,-138.263-2494.78i,-135.715-2488.24i,-154.012-2546.64i,-154.175-2543.18i,-154.428-2538.85i,-155.043-2533.96i,-160.71-2527.53i,-123.13-2498.12i,-25.2741-2501.57i,-25.2852-2501.59i,-24.2125-2396.77i,-149.963-2522.53i,-103.284-2490.46i,-143.043-2438.25i,-135.601-2488.16i,-154.005-2546.65i,-131.423-2500.44i,-131.423-2500.44i,-149.968-2522.52i,-149.968-2522.52i,-154.554-2547.85i,-154.554-2547.85i,-16.5063-281.337j,-143.055-2438.25i
2016-10-07 02:00:00 PDT,+0+0j,-85.2529-2492.69i,-103.23-2490.49i,-88.6101-2472.95i,-86.4259-2475.29i,+0+0j,-123.062-2498.15i,-125.099-2499.21i,-127.208-2500.17i,-129.573-2501.01i,-130.661-2502.06i,-129.575-2501i,-131.526-2502.8i,-130.483-2496.81i,-131.834-2501.28i,-137.645-2504.47i,-126.398-2478.18i,-131.656-2465.28i,-142.974-2438.29i,-153.382-2550.07i,-150.1-2560.19i,-154.486-2546.05i,-158.517-2545.9i,-163.014-2556.11i,-141.255-2501.27i,-138.185-2494.81i,-135.639-2488.27i,-153.926-2546.68i,-154.09-2543.22i,-154.344-2538.89i,-154.959-2534i,-160.623-2527.57i,-123.063-2498.14i,-25.2446-2501.57i,-25.2557-2501.59i,-24.1842-2396.77i,-149.884-2522.56i,-103.221-2490.48i,-142.962-2438.29i,-135.524-2488.2i,-153.92-2546.69i,-131.357-2500.46i,-131.357-2500.46i,-149.889-2522.56i,-149.889-2522.56i,-154.468-2547.89i,-154.468-2547.89i,-16.4971-281.342j,-142.974-2438.29i
2016-10-07 03:00:00 PDT,+0+0j,-86.0746-2492.41i,-104.259-2490.14i,-89.4657-2472.63i,-87.2827-2474.97i,+0+0j,-124.182-2497.91i,-126.209-2499.02i,-128.309-2500.03i,-130.669-2500.89i,-131.757-2501.95i,-130.671-2500.89i,-132.622-2502.68i,-131.676-2496.54i,-133.061-2500.97i,-138.93-2504.11i,-127.784-2477.62i,-133.09-2464.7i,-144.507-2437.67i,-155.041-2549.4i,-151.709-2559.54i,-156.095-2545.42i,-160.024-2545.3i,-164.457-2555.59i,-142.76-2500.65i,-139.657-2494.22i,-137.079-2487.69i,-155.588-2546.01i,-155.725-2542.57i,-155.955-2538.23i,-156.576-2533.35i,-162.312-2526.83i,-124.183-2497.9i,-25.2427-2501.57i,-25.2541-2501.59i,-24.1828-2396.77i,-151.375-2522.02i,-104.249-2490.13i,-144.495-2437.67i,-136.965-2487.61i,-155.581-2546.02i,-132.438-2500.41i,-132.438-2500.41i,-151.38-2522.01i,-151.38-2522.01i,-156.133-2547.16i,-156.133-2547.16i,-16.6739-281.269j,-144.507-2437.67i
2016-10-07 04:00:00 PDT,+0+0j,-88.9513-2491.12i,-107.902-2488.49i,-92.4373-2471.22i,-90.258-2473.56i,+0+0j,-128.357-2496.35i,-130.358-2497.59i,-132.436-2498.71i,-134.783-2499.63i,-135.871-2500.7i,-134.785-2499.63i,-136.735-2501.43i,-136.096-2494.83i,-137.623-2499.16i,-143.717-2502.09i,-132.641-2475.19i,-138.163-2462.17i,-150.059-2434.94i,-161-2546.51i,-157.538-2556.68i,-161.922-2542.61i,-165.684-2542.48i,-170.14-2552.89i,-148.018-2497.96i,-144.794-2491.61i,-142.102-2485.11i,-161.563-2543.11i,-161.651-2539.72i,-161.837-2535.33i,-162.485-2530.46i,-168.507-2523.6i,-128.357-2496.34i,-25.291-2501.56i,-25.3037-2501.59i,-24.2305-2396.77i,-156.884-2519.43i,-107.892-2488.48i,-150.046-2434.94i,-141.977-2485.02i,-161.556-2543.11i,-136.519-2499.31i,-136.519-2499.31i,-156.889-2519.43i,-156.889-2519.43i,-162.119-2544.13i,-162.119-2544.13i,-17.3145-280.955j,-150.059-2434.94i
2016-10-07 05:00:00 PDT,+0+0j,-94.0606-2489.08i,-114.412-2485.9i,-97.682-2469i,-95.5095-2471.34i,+0+0j,-135.972-2493.85i,-137.934-2495.3i,-139.979-2496.59i,-142.304-2497.61i,-143.388-2498.72i,-142.305-2497.61i,-144.252-2499.46i,-144.17-2492.06i,-146.002-2496.23i,-152.558-2498.82i,-141.286-2471.48i,-147.228-2458.39i,-160.071-2431.04i,-171.767-2542.24i,-168.05-2552.57i,-172.469-2538.43i,-176.026-2538.29i,-180.645-2548.88i,-157.399-2493.87i,-153.953-2487.62i,-151.048-2481.16i,-172.38-2538.78i,-172.422-2535.44i,-172.569-2530.96i,-173.284-2526.05i,-179.862-2518.5i,-135.972-2493.84i,-25.4303-2501.54i,-25.4453-2501.57i,-24.3664-2396.75i,-167.018-2515.38i,-114.401-2485.89i,-160.058-2431.03i,-150.89-2481.05i,-172.373-2538.79i,-143.995-2497.52i,-143.995-2497.52i,-167.023-2515.37i,-167.023-2515.37i,-172.964-2539.63i,-172.964-2539.63i,-18.4697-280.504j,-160.071-2431.04i
2016-10-07 06:00:00 PDT,+0+0j,-96.4756-2487.95i,-117.528-2484.45i,-100.106-2467.85i,-97.9367-2470.18i,+0+0j,-139.868-2492.15i,-141.82-2493.65i,-143.857-2494.97i,-146.173-2496.03i,-147.253-2497.18i,-146.175-2496.03i,-148.118-2497.92i,-148.299-2490.19i,-150.347-2494.29i,-157.204-2496.73i,-145.349-2469.57i,-151.553-2456.45i,-165.009-2429.07i,-177.067-2540.05i,-173.235-2550.5i,-177.691-2536.22i,-181.322-2536.05i,-186.234-2546.62i,-161.805-2491.76i,-158.248-2485.53i,-155.231-2479.1i,-177.731-2536.56i,-177.814-2533.2i,-178.01-2528.66i,-178.778-2523.69i,-185.681-2515.74i,-139.867-2492.14i,-25.6775-2501.51i,-25.6934-2501.54i,-24.6042-2396.73i,-172.272-2513.06i,-117.516-2484.44i,-164.995-2429.07i,-155.034-2478.97i,-177.724-2536.57i,-147.865-2495.92i,-147.865-2495.92i,-172.276-2513.06i,-172.276-2513.06i,-178.34-2537.42i,-178.34-2537.42i,-19.0395-280.277j,-165.009-2429.07i
2016-10-07 07:00:00 PDT,+0+0j,-90.1934-2491.06i,-109.491-2488.43i,-93.635-2471.2i,-91.4571-2473.54i,+0+0j,-130.563-2495.97i,-132.574-2497.16i,-134.66-2498.23i,-137.009-2499.14i,-138.092-2500.24i,-137.01-2499.14i,-138.957-2500.98i,-138.399-2494.41i,-140.068-2498.77i,-146.348-2501.71i,-134.557-2475.43i,-140.246-2462.57i,-152.556-2435.73i,-163.659-2547.11i,-160.161-2557.5i,-164.609-2543.08i,-168.664-2542.85i,-173.577-2553.08i,-150.092-2498.25i,-146.818-2491.85i,-144.07-2485.33i,-164.267-2543.66i,-164.442-2540.17i,-164.715-2535.72i,-165.403-2530.72i,-171.622-2523.62i,-130.563-2495.96i,-25.7646-2501.52i,-25.7776-2501.55i,-24.6845-2396.73i,-159.775-2519.39i,-109.481-2488.42i,-152.544-2435.73i,-143.907-2485.21i,-164.26-2543.66i,-138.771-2498.68i,-138.771-2498.68i,-159.78-2519.39i,-159.78-2519.39i,-164.843-2544.79i,-164.843-2544.79i,-17.6026-281.046j,-152.556-2435.73i
2016-10-07 08:00:00 PDT,+0+0j,-82.7882-2494.54i,-100.086-2492.87i,-86.0426-2474.92i,-83.8548-2477.26i,+0+0j,-119.572-2500.41i,-121.646-2501.29i,-123.785-2502.1i,-126.17-2502.85i,-127.26-2503.89i,-126.171-2502.85i,-128.124-2504.63i,-126.736-2499.31i,-127.944-2503.94i,-133.535-2507.43i,-122.092-2481.9i,-127.168-2469.32i,-138.099-2443.03i,-148.132-2554.86i,-144.981-2565.17i,-149.423-2550.65i,-153.826-2550.4i,-158.578-2560.33i,-136.597-2505.43i,-133.644-2498.84i,-131.203-2492.22i,-148.676-2551.44i,-148.914-2547.83i,-149.232-2543.48i,-149.812-2538.49i,-155.207-2532.38i,-119.573-2500.4i,-25.4516-2501.55i,-25.4613-2501.58i,-24.3812-2396.75i,-145.125-2526.48i,-100.078-2492.87i,-138.087-2443.03i,-131.092-2492.15i,-148.669-2551.45i,-128.002-2502.08i,-128.002-2502.08i,-145.13-2526.48i,-145.13-2526.48i,-149.257-2552.85i,-149.257-2552.85i,-15.9345-281.888j,-138.099-2443.03i
2016-10-07 09:00:00 PDT,+0+0j,-77.7394-2496.46i,-93.7599-2495.29i,-80.848-2477.03i,-78.6536-2479.37i,+0+0j,-112.383-2502.55i,-114.508-2503.19i,-116.691-2503.81i,-119.103-2504.44i,-120.196-2505.45i,-119.104-2504.43i,-121.06-2506.18i,-119.103-2501.72i,-120.034-2506.53i,-125.203-2510.37i,-113.733-2485.53i,-118.451-2473.08i,-128.593-2447.04i,-137.897-2559.15i,-135.001-2569.38i,-139.439-2554.79i,-144.206-2554.48i,-149.03-2564.1i,-127.547-2509.45i,-124.802-2502.73i,-122.555-2496.07i,-138.41-2555.76i,-138.727-2552.04i,-139.107-2547.78i,-139.622-2542.79i,-144.501-2537.29i,-112.385-2502.55i,-25.1076-2501.6i,-25.1151-2501.62i,-24.0493-2396.79i,-135.588-2530.32i,-93.7527-2495.28i,-128.582-2447.04i,-122.466-2496.01i,-138.404-2555.76i,-120.997-2503.38i,-120.997-2503.38i,-135.593-2530.31i,-135.593-2530.31i,-139.004-2557.42i,-139.004-2557.42i,-14.8376-282.351j,-128.593-2447.04i
