# file...... underground_lines_power_in_A.csv
# date...... Fri Oct 27 14:53:00 2017
# user...... mast9
# host...... (null)
# group..... class= underground_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O60-62,O62-63,O63-64,O64-65,O65-66
2016-10-07 00:00:00 PDT,+60045+47612.7i,+59992.3+47602.3i,+45535.5+47595.2i,+45481.4+47585i,-1.4203e-08-1.08612e-09i
2016-10-07 01:00:00 PDT,+61458.6+48843.1i,+61403.7+48833.6i,+47825.5+48827.2i,+47767.3+48817.6i,-4.06873e-09+2.34164e-09i
2016-10-07 02:00:00 PDT,+61459.6+48844.1i,+61404.7+48834.6i,+47826.5+48828.2i,+47768.3+48818.5i,+7.81217e-10-3.26906e-09i
2016-10-07 03:00:00 PDT,+61032.1+48813.1i,+60977.7+48803.7i,+47789.8+48797.3i,+47731.7+48787.7i,-4.69245e-09-2.6461e-09i
2016-10-07 04:00:00 PDT,+62227.6+48688.4i,+62171.9+48678.7i,+47683.1+48672.2i,+47625.1+48662.6i,+1.6637e-09+2.35535e-09i
2016-10-07 05:00:00 PDT,+65599.8+48445.7i,+65540.3+48435.2i,+47498.8+48428.1i,+47441.2+48418.3i,-1.81743e-09+2.12298e-09i
2016-10-07 06:00:00 PDT,+69555.9+48313.6i,+69491.5+48302i,+47436.7+48294.2i,+47379.2+48284.2i,-5.75727e-09+1.53701e-09i
2016-10-07 07:00:00 PDT,+67361.4+48597.5i,+67299.8+48586.4i,+47676.9+48578.9i,+47619.1+48568.8i,+1.19057e-08-1.71221e-09i
2016-10-07 08:00:00 PDT,+63014.7+48924.9i,+62958.2+48914.8i,+47938.8+48907.9i,+47880.6+48897.8i,-3.74284e-09+3.87216e-10i
2016-10-07 09:00:00 PDT,+62095.5+49128i,+62040+49118.1i,+48131.3+49111.4i,+48072.8+49101.4i,+1.00273e-08-5.83256e-10i
2016-10-07 10:00:00 PDT,+62025.1+49169.5i,+61969.7+49159.7i,+48171.1+49153i,+48112.5+49142.9i,-8.56729e-09+2.04668e-09i
2016-10-07 11:00:00 PDT,+61575.5+49197.3i,+61520.6+49187.6i,+48192.3+49181i,+48133.7+49171i,+1.90349e-08+1.15405e-09i
2016-10-07 12:00:00 PDT,+61963+49192.2i,+61907.6+49182.4i,+48199+49175.8i,+48140.4+49165.8i,+2.34521e-08-8.83315e-10i
2016-10-07 13:00:00 PDT,+62395.5+49167.4i,+62339.6+49157.5i,+48180.7+49150.9i,+48122.1+49140.9i,-5.03082e-09-1.39216e-09i
2016-10-07 14:00:00 PDT,+62853.5+49033.2i,+62797.1+49023.2i,+48057.9+49016.4i,+47999.5+49006.3i,+2.29382e-08+2.47801e-09i
2016-10-07 15:00:00 PDT,+65785.7+48667.8i,+65726+48657.1i,+47744.4+48649.8i,+47686.5+48639.7i,+1.0398e-09-2.56774e-09i
2016-10-07 16:00:00 PDT,+70571+48248.6i,+70505.2+48237.2i,+47409.4+48229.4i,+47351.9+48219.7i,+3.02339e-09+1.36795e-09i
2016-10-07 17:00:00 PDT,+75264+47834.4i,+75192+47821.8i,+47051.8+47813.2i,+46994.8+47803.6i,+1.05855e-08+5.6843e-10i
2016-10-07 18:00:00 PDT,+80054.1+47644.7i,+79975.3+47630.8i,+46940.3+47621.4i,+46883.4+47611.7i,+2.40679e-08-1.81386e-09i
2016-10-07 19:00:00 PDT,+81810.4+47585.7i,+81728.9+47571.3i,+46912.2+47561.5i,+46855.3+47551.8i,-3.23173e-09+4.35963e-10i
2016-10-07 20:00:00 PDT,+79303+47798.4i,+79225.3+47784.7i,+47081.2+47775.4i,+47024.1+47765.6i,+1.12639e-08+2.79424e-09i
2016-10-07 21:00:00 PDT,+74244.9+48139.4i,+74174.3+48127i,+47335.2+48118.6i,+47277.7+48108.9i,+5.31565e-10+3.60151e-09i
2016-10-07 22:00:00 PDT,+69581+48445.1i,+69516.5+48433.8i,+47561.6+48426.2i,+47503.9+48416.5i,-7.63792e-09+2.74136e-09i
2016-10-07 23:00:00 PDT,+64042.3+48728.8i,+63984.6+48718.8i,+47754.3+48712i,+47696.2+48702.4i,-2.87872e-08+3.78535e-10i
2016-10-08 00:00:00 PDT,+62746.6+48772.2i,+62690.3+48762.4i,+47791+48755.8i,+47732.9+48746.2i,+3.69371e-09-9.82812e-10i
2016-10-08 01:00:00 PDT,+61878.7+48810.3i,+61823.4+48800.7i,+47814.8+48794.3i,+47756.7+48784.6i,-7.84212e-09+3.69495e-10i
2016-10-08 02:00:00 PDT,+61881.5+48813.5i,+61826.2+48803.9i,+47817.6+48797.5i,+47759.5+48787.8i,-1.66699e-08+1.66112e-09i
2016-10-08 03:00:00 PDT,+61450.2+48778.4i,+61395.4+48768.9i,+47777.2+48762.5i,+47719.1+48752.8i,+5.02557e-09+4.42564e-11i
2016-10-08 04:00:00 PDT,+62658.6+48645.6i,+62602.4+48635.8i,+47663.2+48629.2i,+47605.3+48619.6i,-2.40514e-09+2.42665e-09i
2016-10-08 05:00:00 PDT,+66461+48392.9i,+66400.4+48382.3i,+47468.2+48375.2i,+47410.5+48365.5i,-8.88806e-09+2.74482e-09i
