# file...... Overhead_lines_power_in_B.csv
# date...... Fri Oct 27 14:53:01 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-11-04 00:00:00 PDT,+9600.65+0.656102j,-0+0j,+761904+53675.2j,+0+0j,+0+0j,+0+0j,+761660+50479.6j,+5600.28+0.287619j,-0+0j,+755884+48345.1j,+0+0j,-0+0j,+313056+11246.8j,+0+0j,+0+0j,+0+0j,+0+0j,-0+0j,+43116.1+21599.9j,+0+0j,+43123.9+21587.3j,+1.46156e-06+1.20365e-05j,-0+0j,+1.43442e-06+1.20337e-05j,+0+0j,+1.41839e-06+1.20598e-05j,+0+0j,+0+0j,+0+0j,+1.41391e-06+1.20235e-05j,+1.42245e-06+1.20331e-05j,+1.45213e-06+1.21008e-05j,+0+0j,+0+0j,+28220+9871.91j,+225868-31485.3j,-0+0j,+28223.4+9853.11j,+7210.69+0.694522j,-0+0j,+225704-31725.7j,+42922.2+21485.1j,+182619-53453.5j,-0+0j,+182543-53573j,+0+0j,+75115.3+53666.3j,+70326.3-132239j,+31693.1-132317j,+31633.8-132374j,+31566.3-132443j,+442019+32567.9j,+441885+31853.5j,+12039.9+2.85373j,+429746+31399.8j,+12040.6+1.27052j,+32174+9840.57j,+396975+19840.8j,+11161.3+1.28098j,-1.8326e-06-6.57661e-06j,-0+0j,+241611-176905j,+38348.4+133106j,+0+0j,+0+0j,+0+0j,-0+0j,+241122-177637j,+0+0j,+0+0j,+56306.8-218441j,+99148.7-34502.7j,+30178.7-218878j,-1.12054e-09+3.03015e-09j,+30125.6-218982j,+435.12-219416j,+240.102-219853j,-0+0j,+120.918-220097j,+0+0j,+93380.2-34974.6j,-0+0j,+62643.6-35250.4j,+42709.5-35404.3j,+19880.4+42.7243j,-0+0j,+19879.8+23.2345j,-0+0j,+19882.7+4.91127j,+11551.1+1.08818j,+24279.2+0.630489j,+24277.5+0.600982j,-4.75014e-06+1.08385e-05j,-4.75421e-06+1.08362e-05j,-0+0j,+13934.1+133019j,+0+0j,+0+0j,+44860.4+30.7749j,-30965.7+132961j,+22812.1+12.2511j,-0+0j,-31069.7+132926j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+269557-12261j,+771942+57701.2j,+442226+33978.9j,+280081-42889.7j,+13995.8+133063j
2016-11-04 01:00:00 PDT,+8510.51+0.513397j,+0+0j,+636920-420342j,+0+0j,+0+0j,+0+0j,+637085-423636j,+4850.21+0.212574j,+0+0j,+632333-425829j,+0+0j,+0+0j,+271940-158185j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44279.9+22157.9j,+0+0j,+44266.7+22159.3j,+3.70122e-06+5.48108e-07j,+0+0j,+3.73423e-06+5.74642e-07j,+0+0j,+3.74545e-06+6.03111e-07j,+0+0j,+0+0j,+0+0j,+3.78225e-06+6.43382e-07j,+3.82943e-06+6.75947e-07j,+3.81352e-06+6.70418e-07j,+0+0j,+0+0j,+16202.3-21381.4j,+196718-169310j,+0+0j,+16199.1-21406.1j,+6330.51+0.518214j,+0+0j,+196554-169592j,+44373.5+22211.5j,+152017-192087j,+0+0j,+151933-192290j,+0+0j,+77890.9+55650j,+48858.8-210362j,+13353.1-210568j,+13221.5-210763j,+13075.5-210973j,+360339-272611j,+360336-273511j,+10769.8+2.25861j,+349552-274071j,+10770.4+0.983647j,+19766.3-21500.1j,+329104-254480j,+9910.96+0.970376j,+2.95472e-05-3.63075e-06j,+0+0j,+201054-418887j,+54127.2+213227j,+0+0j,+0+0j,+0+0j,+0+0j,+199955-420340j,+0+0j,+0+0j,+52452.7-231794j,+70611.4-101067j,+28179.4-232259j,+2.88415e-08+3.05905e-08j,+28123.8-232372j,+463.526-232843j,+253.64-233318j,+0+0j,+127.554-233581j,+0+0j,+65367.6-101600j,+0+0j,+36584.1-101925j,+18862.6-102114j,+17559+41.2081j,+0+0j,+17559+21.8608j,+0+0j,+17562+3.59546j,+10260.8+0.803671j,+23298.4-0.363287j,+23296.7-0.0987452j,+4.06103e-06+4.55203e-06j,+4.03685e-06+4.56243e-06j,+0+0j,+30457+212844j,+0+0j,+0+0j,+42125.5+25.7995j,-11814.2+212637j,+21390.1+10.2519j,+0+0j,-12032.7+212427j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+227286-181784j,+645210-416142j,+360293-270783j,+255576-204499j,+30628.2+213037j
2016-11-04 02:00:00 PDT,+7980.45+0.451428j,+0+0j,+628505-420985j,+0+0j,+0+0j,+0+0j,+628660-424229j,+4500.18+0.182997j,+0+0j,+624253-426388j,+0+0j,+0+0j,+268744-158563j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44282.5+22159.5j,+0+0j,+44269.6+22160.8j,+2.24536e-05-7.19697e-06j,+0+0j,+2.24171e-05-7.16724e-06j,+0+0j,+2.24069e-05-7.17194e-06j,+0+0j,+0+0j,+0+0j,+2.2397e-05-7.17949e-06j,+2.23845e-05-7.1858e-06j,+2.23921e-05-7.19916e-06j,+0+0j,+0+0j,+15787.7-21380.5j,+194393-169393j,+0+0j,+15784.4-21404.9j,+5910.45+0.451681j,+0+0j,+194230-169670j,+44376.9+22213.2j,+149690-192163j,+0+0j,+149607-192363j,+0+0j,+77897.4+55654.6j,+46516.8-210441j,+12351.6-210646j,+12219.5-210840j,+12073.4-211049j,+355444-272717j,+355438-273604j,+10139.8+2.01788j,+345283-274155j,+10140.4+0.871925j,+19161.8-21498.5j,+325447-254544j,+9300.84+0.85454j,+5.70394e-06+1.47636e-05j,+0+0j,+197143-418982j,+54358+213300j,+0+0j,+0+0j,+0+0j,+0+0j,+196050-420427j,+0+0j,+0+0j,+50895.2-231850j,+68229.5-101107j,+27312.6-232315j,-1.30533e-08-2.18978e-08j,+27256.8-232428j,+466.168-232899j,+254.426-233374j,+0+0j,+127.907-233637j,+0+0j,+63338.5-101629j,+0+0j,+35486.3-101947j,+18885.5-102132j,+16438.7+38.1259j,+0+0j,+16438.8+20.123j,+0+0j,+16441.8+3.15382j,+9630.7+0.707731j,+23548.6-0.215933j,+23546.8-0.0023385j,+8.99691e-06-5.99311e-06j,+9.00396e-06-5.96981e-06j,+0+0j,+30437.9+212917j,+0+0j,+0+0j,+41104.2+24.5495j,-10812.8+212709j,+20859.6+9.74832j,+0+0j,-11030.7+212499j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+224093-182144j,+636275-416855j,+355403-270918j,+251891-204537j,+30609+213109j
2016-11-04 03:00:00 PDT,+7980.45+0.451453j,+0+0j,+631469-420753j,+0+0j,+0+0j,+0+0j,+631616-424002j,+4500.18+0.18302j,+0+0j,+627203-426165j,+0+0j,+0+0j,+269772-158472j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44273.6+22155j,+0+0j,+44260.6+22156.2j,+5.64107e-06-1.51537e-06j,+0+0j,+5.65061e-06-1.51129e-06j,+0+0j,+5.60876e-06-1.53002e-06j,+0+0j,+0+0j,+0+0j,+5.64857e-06-1.49722e-06j,+5.63815e-06-1.5021e-06j,+5.67588e-06-1.49828e-06j,+0+0j,+0+0j,+15785.8-21378.6j,+195335-169360j,+0+0j,+15782.6-21403j,+5910.45+0.451779j,+0+0j,+195171-169639j,+44366.4+22208j,+150640-192127j,+0+0j,+150556-192327j,+0+0j,+77877.9+55640.6j,+47489.5-210396j,+13144-210601j,+13012-210795j,+12865.9-211003j,+357354-272597j,+357347-273487j,+10139.8+2.01825j,+347191-274039j,+10140.4+0.872113j,+19159.5-21496.3j,+327351-254439j,+9300.84+0.85475j,-6.78609e-06+1.91533e-05j,+0+0j,+197653-418863j,+55758.4+213255j,+0+0j,+0+0j,+0+0j,+0+0j,+196561-420309j,+0+0j,+0+0j,+51254.8-231768j,+68401.5-101080j,+27491.9-232232j,-1.38518e-08-8.58806e-09j,+27436.2-232345j,+465.576-232816j,+254.225-233290j,+0+0j,+127.807-233553j,+0+0j,+63510.6-101602j,+0+0j,+35478.5-101922j,+18877.7-102106j,+16438.7+38.1322j,+0+0j,+16438.8+20.1303j,+0+0j,+16441.8+3.15489j,+9630.7+0.707974j,+25379.7+0.958601j,+25377.7+0.793186j,-1.74964e-07-8.3271e-07j,-1.38517e-07-8.31562e-07j,+0+0j,+30005.8+212869j,+0+0j,+0+0j,+41464.7+24.988j,-11605+212662j,+21039.8+9.92092j,+0+0j,-11823.2+212452j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+225124-182053j,+639249-416617j,+357317-270791j,+253806-204456j,+30177.9+213062j
2016-11-04 04:00:00 PDT,+7820.43+0.433583j,+0+0j,+646365-419324j,+0+0j,+0+0j,+0+0j,+646502-422629j,+4500.18+0.183072j,+0+0j,+642084-424829j,+0+0j,+0+0j,+275815-157673j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44246.6+22140.8j,+0+0j,+44232.9+22142.4j,+2.91058e-06-7.60204e-06j,+0+0j,+2.92256e-06-7.53312e-06j,+0+0j,+2.92962e-06-7.50603e-06j,+0+0j,+0+0j,+0+0j,+2.92479e-06-7.49145e-06j,+2.90543e-06-7.48495e-06j,+2.88549e-06-7.52824e-06j,+0+0j,+0+0j,+15706.7-21374.1j,+200433-169195j,+0+0j,+15703.4-21398.4j,+5840.44+0.441439j,+0+0j,+200263-169482j,+44333.5+22191.5j,+155760-191962j,+0+0j,+155672-192167j,+0+0j,+77815.8+55596.4j,+52687.3-210203j,+16405.1-210409j,+16273.5-210603j,+16126.8-210812j,+366173-272156j,+366163-273065j,+9859.75+1.91681j,+356286-273629j,+9860.37+0.825019j,+18949.3-21493.1j,+336634-254075j,+9100.81+0.818878j,+1.08221e-05+6.73881e-06j,+0+0j,+203490-418459j,+59229.3+213081j,+0+0j,+0+0j,+0+0j,+0+0j,+202390-419911j,+0+0j,+0+0j,+55526.8-231481j,+70044.2-100986j,+29519.6-231946j,-1.00718e-08+9.61774e-10j,+29463.9-232058j,+462.378-232526j,+253.821-232997j,+0+0j,+127.584-233259j,+0+0j,+65152.6-101516j,+0+0j,+35160.2-101840j,+18839.4-102022j,+16158.8+37.3658j,+0+0j,+16158.9+19.7419j,+0+0j,+16161.7+3.0454j,+9420.67+0.678254j,+27621.1+2.61957j,+27618.8+1.93148j,+1.50191e-05-1.50622e-05j,+1.50347e-05-1.50499e-05j,+0+0j,+31234.7+212690j,+0+0j,+0+0j,+45950.3+30.6838j,-14859+212477j,+23282+12.1616j,+0+0j,-15079.5+212268j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+231169-181266j,+653991-415122j,+366133-270310j,+263126-204188j,+31407.5+212885j
2016-11-04 05:00:00 PDT,+8510.51+0.513601j,+0+0j,+689030-415418j,+0+0j,+0+0j,+0+0j,+689162-418925j,+4850.21+0.212777j,+0+0j,+684388-421258j,+0+0j,+0+0j,+292660-155499j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44192.4+22111.9j,+0+0j,+44176.9+22114.4j,+4.30875e-07+1.10844e-05j,+0+0j,+4.83298e-07+1.11485e-05j,+0+0j,+4.50545e-07+1.11739e-05j,+0+0j,+0+0j,+0+0j,+4.69513e-07+1.11645e-05j,+4.95002e-07+1.11969e-05j,+4.68062e-07+1.11571e-05j,+0+0j,+0+0j,+16171.1-21366.9j,+214065-168751j,+0+0j,+16167.8-21391.6j,+6330.51+0.519367j,+0+0j,+213881-169062j,+44265.8+22157.7j,+169432-191534j,+0+0j,+169337-191753j,+0+0j,+77687.7+55504.9j,+66531.5-209720j,+24249.2-209932j,+24118.9-210125j,+23971.4-210338j,+391605-271080j,+391594-272051j,+10769.8+2.26307j,+380804-272654j,+10770.4+0.985284j,+19731.6-21489.1j,+360311-253226j,+9910.96+0.972386j,+2.57042e-05-1.12722e-05j,+0+0j,+220816-417521j,+65651.4+212649j,+0+0j,+0+0j,+0+0j,+0+0j,+219686-419001j,+0+0j,+0+0j,+65917.9-230843j,+77166.5-100735j,+34870.9-231313j,-1.26213e-08+6.92647e-09j,+34815.1-231425j,+451.988-231888j,+251.526-232354j,+0+0j,+126.496-232616j,+0+0j,+71917.7-101300j,+0+0j,+36451.7-101645j,+18729.9-101830j,+17559.6+41.234j,+0+0j,+17559.2+22.0155j,+0+0j,+17562+3.61033j,+10260.8+0.806996j,+32254+6.88298j,+32251.4+4.84786j,+1.20761e-05-1.77219e-06j,+1.20504e-05-1.78854e-06j,+0+0j,+33021.5+212248j,+0+0j,+0+0j,+55574.3+44.9322j,-22690+212022j,+28117.5+17.7796j,+0+0j,-22916.2+211814j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+248008-179154j,+697348-410964j,+391552-269104j,+286912-203575j,+33196.2+212446j
2016-11-04 06:00:00 PDT,+10320.7+0.755557j,+0+0j,+746925-410253j,+0+0j,+0+0j,+0+0j,+747059-414059j,+6000.32+0.32586j,+0+0j,+741132-416592j,+0+0j,+0+0j,+315139-152679j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44130.1+22078.4j,+0+0j,+44112.4+22082.1j,+6.67563e-06-2.23831e-06j,+0+0j,+6.68078e-06-2.20803e-06j,+0+0j,+6.7198e-06-2.16784e-06j,+0+0j,+0+0j,+0+0j,+6.69759e-06-2.21692e-06j,+6.7078e-06-2.21371e-06j,+6.68858e-06-2.20543e-06j,+0+0j,+0+0j,+17547.3-21359.1j,+231766-168111j,+0+0j,+17544.1-21385j,+7740.77+0.777844j,+0+0j,+231567-168457j,+44188.4+22118.9j,+187179-190925j,+0+0j,+187075-191165j,+0+0j,+77541.2+55400.2j,+84481.4-209054j,+33766.6-209277j,+33638.7-209470j,+33490.9-209688j,+425848-269701j,+425837-270763j,+12960+3.21067j,+412853-271423j,+12960.6+1.42832j,+21786-21485j,+390223-252164j,+12001.4+1.428j,+6.2946e-06-1.68564e-06j,+0+0j,+244835-416312j,+71630.3+212049j,+0+0j,+0+0j,+0+0j,+0+0j,+243656-417842j,+0+0j,+0+0j,+78604.3-230066j,+88718.2-100383j,+41425.3-230545j,-2.11996e-08-3.68695e-08j,+41369.7-230656j,+435.916-231115j,+247.31-231576j,+0+0j,+124.527-231838j,+0+0j,+82302.9-101010j,+0+0j,+40108.9-101389j,+18583.8-101588j,+21361.6+52.247j,+0+0j,+21360.3+28.4424j,+0+0j,+21363+5.35094j,+12421.2+1.18711j,+37017.3+12.4458j,+37014.3+8.64911j,+2.41296e-05-2.45063e-05j,+2.41283e-05-2.44981e-05j,+0+0j,+34234.9+211639j,+0+0j,+0+0j,+66303.3+64.1532j,-32197.4+211397j,+33565.1+25.4058j,+0+0j,-32430.4+211191j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+270472-176437j,+757057-405407j,+425772-267541j,+316963-202815j,+34411.5+211839j
2016-11-04 07:00:00 PDT,+11801+0.987601j,+0+0j,+726166-412750j,+0+0j,+0+0j,+0+0j,+726352-416477j,+6600.39+0.394064j,+0+0j,+719858-418956j,+0+0j,+0+0j,+306258-154024j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44185.6+22107.5j,+0+0j,+44169.1+22110.5j,+6.80899e-06-3.18751e-06j,+0+0j,+6.7806e-06-3.16532e-06j,+0+0j,+6.76313e-06-3.15161e-06j,+0+0j,+0+0j,+0+0j,+6.74625e-06-3.17353e-06j,+6.74816e-06-3.19042e-06j,+6.73493e-06-3.17494e-06j,+0+0j,+0+0j,+18530.6-21369.3j,+223651-168392j,+0+0j,+18527.5-21396j,+8710.97+0.983721j,+0+0j,+223466-168722j,+44255.8+22152.7j,+179025-191209j,+0+0j,+178928-191440j,+0+0j,+77668.1+55490.9j,+76179-209389j,+27605.1-209607j,+27478.8-209801j,+27334.3-210017j,+413535-270569j,+413537-271599j,+15040.2+4.25398j,+398478-272239j,+15040.9+1.9217j,+23562.2-21492.1j,+374122-252886j,+13761.9+1.87547j,+2.14475e-05-5.02324e-07j,+0+0j,+237457-417017j,+62928.3+212313j,+0+0j,+0+0j,+0+0j,+0+0j,+236288-418548j,+0+0j,+0+0j,+70718.8-230606j,+89091.2-100509j,+37922.2-231082j,+1.80269e-08+2.21929e-08j,+37867.3-231194j,+437.993-231660j,+246.257-232129j,+0+0j,+124.139-232393j,+0+0j,+82071.9-101141j,+0+0j,+43085.8-101520j,+18638.5-101735j,+24282.5+61.2538j,+0+0j,+24281+33.5577j,+0+0j,+24283.9+6.92898j,+14251.5+1.55961j,+31843.6+6.48928j,+31841.1+4.58611j,+4.57872e-09+3.43232e-07j,+2.1898e-09+3.24455e-07j,+0+0j,+30710.3+211920j,+0+0j,+0+0j,+56646.3+46.8735j,-26069.3+211699j,+28788.4+18.6484j,+0+0j,-26295.2+211496j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+261600-177774j,+737737-407976j,+413452-268476j,+300849-203326j,+30884.7+212115j
2016-11-04 08:00:00 PDT,+10130.7+0.727591j,+0+0j,+651380-419370j,+0+0j,+0+0j,+0+0j,+651569-422682j,+5150.24+0.239754j,+0+0j,+646532-424886j,+0+0j,+0+0j,+277084-157677j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44262.4+22149.1j,+0+0j,+44249.1+22150.5j,-1.35134e-06+9.62614e-06j,+0+0j,-1.37e-06+9.62239e-06j,+0+0j,-1.40883e-06+9.64356e-06j,+0+0j,+0+0j,+0+0j,-1.36112e-06+9.72323e-06j,-1.35119e-06+9.72695e-06j,-1.35085e-06+9.72565e-06j,+0+0j,+0+0j,+17068.1-21375.9j,+200390-169211j,+0+0j,+17064.9-21401.3j,+7200.66+0.6708j,+0+0j,+200226-169495j,+44351.2+22200.4j,+155710-191983j,+0+0j,+155627-192186j,+0+0j,+77848.6+55619.8j,+52604.7-210238j,+14406.3-210443j,+14279.4-210636j,+14138.1-210843j,+369419-272195j,+369422-273098j,+13350+3.38715j,+356058-273659j,+13350.7+1.51229j,+21744.2-21490.1j,+333622-254067j,+11891.4+1.39803j,+1.29465e-05-8.3601e-06j,+0+0j,+206872-418373j,+52898.2+213057j,+0+0j,+0+0j,+0+0j,+0+0j,+205760-419850j,+0+0j,+0+0j,+53429.2-231535j,+75473.8-100904j,+29308.5-232004j,+9.04709e-09+4.24492e-09j,+29253.5-232118j,+455.794-232592j,+249.862-233070j,+0+0j,+125.843-233335j,+0+0j,+69922.1-101464j,+0+0j,+39564.2-101805j,+18840.6-102008j,+20559.8+50.0858j,+0+0j,+20559.6+26.9023j,+0+0j,+20562.8+4.99521j,+12331.1+1.16239j,+24379.1+0.319559j,+24377.2+0.358539j,+2.01044e-05-2.94036e-06j,+2.0143e-05-2.90762e-06j,+0+0j,+28153.6+212680j,+0+0j,+0+0j,+40924.1+24.4271j,-12911.7+212479j,+20839.6+9.73987j,+0+0j,-13125.3+212277j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+232449-181295j,+661277-415131j,+369362-270363j,+260170-204119j,+28322.3+212869j
2016-11-04 09:00:00 PDT,+7580.4+0.407215j,+0+0j,+565276-426338j,+0+0j,+0+0j,+0+0j,+565443-429237j,+3300.1+0.0983558j,+0+0j,+562248-431167j,+0+0j,+0+0j,+243830-161639j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44347.6+22195.1j,+0+0j,+44337.7+22194.9j,-1.37265e-07+2.33989e-06j,+0+0j,-1.20676e-07+2.35054e-06j,+0+0j,-1.43141e-07+2.38694e-06j,+0+0j,+0+0j,+0+0j,-1.28672e-07+2.38072e-06j,-1.2622e-07+2.36005e-06j,-1.30241e-07+2.3749e-06j,+0+0j,+0+0j,+15012.9-21382.6j,+174111-170057j,+0+0j,+15009.6-21406.4j,+5090.33+0.33446j,+0+0j,+173967-170296j,+44457+22253.3j,+129366-192789j,+0+0j,+129294-192968j,+0+0j,+78048.9+55762.9j,+25963.6-211143j,-192.611-211339j,-322.399-211531j,-461.928-211733j,+318396-273866j,+318396-274645j,+10459.8+2.1364j,+307925-275127j,+10460.4+0.927101j,+18893.6-21488.7j,+288433-255302j,+8980.79+0.795888j,-4.50633e-06+1.03499e-05j,+0+0j,+171775-419902j,+42593.1+213899j,+0+0j,+0+0j,+0+0j,+0+0j,+170715-421323j,+0+0j,+0+0j,+34811.5-232581j,+58610.2-101362j,+19762-233047j,+1.83732e-08+1.15129e-08j,+19706.2-233163j,+477.602-233646j,+255.069-234133j,+0+0j,+128.267-234397j,+0+0j,+54923.8-101842j,+0+0j,+34313.1-102139j,+19072.6-102323j,+15077.7+34.7405j,+0+0j,+15078.5+18.1188j,+0+0j,+15081.5+2.71331j,+9330.65+0.662089j,+15564.7-3.28486j,+15563.6-2.13249j,-1.05562e-05+1.27136e-05j,-1.05576e-05+1.26948e-05j,+0+0j,+26671+213535j,+0+0j,+0+0j,+24858.9+9.00104j,+1662+213345j,+12693.6+3.60025j,+0+0j,+1458.26+213138j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+199197-185126j,+572642-422643j,+318369-272295j,+214718-204986j,+26833.6+213718j
2016-11-04 10:00:00 PDT,+6940.34+0.341223j,+0+0j,+516557-430275j,+0+0j,+0+0j,+0+0j,+516719-433009j,+2500.06+0.0564015j,+0+0j,+514322-434830j,+0+0j,+0+0j,+224731-163915j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44421.5+22234.2j,+0+0j,+44413.8+22232.9j,-2.41741e-06+4.28058e-06j,+0+0j,-2.40897e-06+4.28236e-06j,+0+0j,-2.44551e-06+4.3056e-06j,+0+0j,+0+0j,+0+0j,-2.41525e-06+4.29375e-06j,-2.41315e-06+4.33538e-06j,-2.40152e-06+4.31756e-06j,+0+0j,+0+0j,+14334.4-21393.3j,+158589-170531j,+0+0j,+14331.1-21416.5j,+4380.24+0.247188j,+0+0j,+158457-170748j,+44546.4+22298.1j,+113780-193265j,+0+0j,+113714-193432j,+0+0j,+78217.2+55883j,+10149.3-211705j,-9670.62-211900j,-9803.55-212096j,-9942.85-212297j,+289581-274988j,+289581-275714j,+10019.8+1.96834j,+279551-276163j,+10020.4+0.849566j,+18247.6-21495.9j,+260753-256222j,+8300.67+0.678721j,-7.79302e-06-2.35821e-07j,+0+0j,+152414-421061j,+34115+214458j,+0+0j,+0+0j,+0+0j,+0+0j,+151372-422462j,+0+0j,+0+0j,+23109.9-233394j,+50694.9-101665j,+14025.9-233863j,-1.27698e-08-2.67594e-08j,+13969.6-233980j,+489.988-234472j,+257.722-234967j,+0+0j,+129.575-235233j,+0+0j,+47811.8-102110j,+0+0j,+32882.3-102388j,+19202.2-102569j,+13517.2+30.6319j,+0+0j,+13518.3+15.7884j,+0+0j,+13521.3+2.2084j,+8640.56+0.565691j,+8902.24-3.37708j,+8901.63-2.23278j,+5.3542e-06+3.54787e-06j,+5.35002e-06+3.5071e-06j,+0+0j,+24856.5+214100j,+0+0j,+0+0j,+13562.7+2.69806j,+11136.3+213914j,+7011.08+1.095j,+0+0j,+10936.5+213701j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+180072-187366j,+523295-426788j,+289568-273528j,+186857-205682j,+25016.9+214279j
