# file...... loads_voltage_A.csv
# date...... Fri Oct 27 14:53:01 2017
# user...... mast9
# host...... (null)
# group..... class= load
# property.. voltage_A
# limit..... -1
# interval.. 3600
# timestamp,Load1,Load2,Load4,Load5,Load6,Load7,Load9,Load10,Load11,Load12,Load16,Load17,Load19,Load20,Load22,Load24,Load28,Load29,Load30,Load31,Load32,Load33,Load34,Load35,Load37,Load38,Load39,Load41,Load42,Load43,Load45,Load46,Load47,Load48,Load49,Load50,Load51,Load52,Load53,Load55,Load56,Load58,Load59,Load60,Load62,Load63,Load64,Load65,Load66,Load68,Load69,Load70,Load71,Load73,Load74,Load75,Load76,Load77,Load79,Load80,Load82,Load83,Load84,Load85,Load86,Load87,Load88,Load90,Load92,Load94,Load95,Load96,Load98,Load99,Load100,Load102,Load103,Load104,Load106,Load107,Load109,Load111,Load112,Load113,Load114
2016-11-04 00:00:00 PDT,+2489.39-22.8179i,+0+0j,+0+0j,+0+0j,+0+0j,+2475.75-39.4084i,+2463.85-51.7568i,+2443.57-53.0292i,+2442.74-53.2724i,+0+0j,+0+0j,+0+0j,+2443.11-83.0964i,+2441.06-83.7959i,+0+0j,+0+0j,+2437.74-88.7424i,+2437.01-89.4538i,+2437.3-89.39i,+0+0j,+0+0j,+2433.88-90.4714i,+0+0j,+2444.73-86.9513i,+2440.45-88.6479i,+0+0j,+0+0j,+0+0j,+2445.42-91.9216i,+0+0j,+2445.05-94.5427i,+2444.82-94.758i,+2446.81-96.5303i,+2446.12-96.8434i,+2449.72-98.1089i,+2452.87-99.5782i,+2455.81-101.073i,+2443.99-75.352i,+2438.67-80.1956i,+2434.9-83.3055i,+2434.81-83.2066i,+0+0j,+0+0j,+2389.57-97.7758i,+2388.05-96.957i,+2386.99-96.3817i,+2385.41-95.1591i,+2383.43-93.6405i,+2383.42-93.6502i,+2495.18-107.798i,+2493.54-109.319i,+2492.4-110.368i,+2491.62-111.095i,+0+0j,+0+0j,+0+0j,+2487.59-107.897i,+2490.24-110.298i,+2490.19-111.556i,+2495.93-112.878i,+2503.63-116.395i,+2506.27-117.292i,+0+0j,+0+0j,+2471.87-101.996i,+2461.7-98.1584i,+2462.17-99.5441i,+0+0j,+0+0j,+2435.43-83.0515i,+2443.81-90.2666i,+0+0j,+2492.29-107.85i,+2492.92-107.809i,+2493.4-107.971i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+2469.85-112.531i,+2465.67-114.591i,+2465.13-114.339i,+2461.42-115.57i,+2461.26-115.713i
2016-11-04 01:00:00 PDT,-53.0759-2497.47i,+0+0j,+0+0j,+0+0j,+0+0j,-73.5849-2493.97i,-88.9454-2489.78i,-91.3607-2472.15i,-91.0645-2470.24i,+0+0j,+0+0j,+0+0j,-127.921-2496.89i,-129.974-2497.59i,+0+0j,+0+0j,-133.572-2499.75i,-134.293-2498.96i,-134.236-2499.24i,+0+0j,+0+0j,-137.574-2502.63i,+0+0j,-131.891-2498.04i,-134.142-2493.28i,+0+0j,+0+0j,+0+0j,-138.23-2501.31i,+0+0j,-141.813-2502.83i,-141.993-2502.63i,-144.085-2504.26i,-144.389-2503.54i,-145.898-2506.97i,-147.618-2509.9i,-149.359-2512.64i,-119.281-2481.92i,-125.751-2478.46i,-129.908-2475.83i,-129.82-2475.75i,+0+0j,+0+0j,-146.793-2436.27i,-145.878-2434.77i,-145.236-2433.72i,-143.897-2432.1i,-142.336-2430.09i,-142.345-2430.08i,-158.61-2546.64i,-159.957-2545.13i,-160.879-2544.1i,-161.524-2543.38i,+0+0j,+0+0j,+0+0j,-159.178-2540.42i,-161.789-2543.06i,-163.091-2542.97i,-164.64-2548.76i,-168.444-2556.48i,-169.482-2559.13i,+0+0j,+0+0j,-152.564-2520.69i,-148.265-2507.9i,-149.646-2508.4i,+0+0j,+0+0j,-129.646-2476.36i,-138.849-2486.25i,+0+0j,-158.527-2544.59i,-158.513-2545.23i,-158.68-2545.71i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-163.079-2527.28i,-165.563-2524.46i,-165.653-2524.34i,-166.8-2520.57i,-166.919-2520.43i
2016-11-04 02:00:00 PDT,-52.6734-2497.68i,+0+0j,+0+0j,+0+0j,+0+0j,-72.9335-2494.33i,-88.1146-2490.26i,-90.5361-2472.63i,-90.2406-2470.71i,+0+0j,+0+0j,+0+0j,-126.656-2497.55i,-128.709-2498.25i,+0+0j,+0+0j,-132.341-2500.32i,-133.064-2499.54i,-133.009-2499.81i,+0+0j,+0+0j,-136.343-2503.2i,+0+0j,-130.565-2498.73i,-132.826-2493.98i,+0+0j,+0+0j,+0+0j,-136.805-2502.07i,+0+0j,-140.346-2503.62i,-140.514-2503.43i,-142.592-2505.07i,-142.896-2504.34i,-144.369-2507.81i,-146.056-2510.75i,-147.764-2513.5i,-118.057-2482.63i,-124.44-2479.23i,-128.557-2476.63i,-128.474-2476.56i,+0+0j,+0+0j,-145.184-2437.17i,-144.268-2435.69i,-143.624-2434.65i,-142.286-2433.03i,-140.724-2431.02i,-140.733-2431.01i,-156.845-2547.65i,-158.149-2546.19i,-159.037-2545.2i,-159.663-2544.5i,+0+0j,+0+0j,+0+0j,-157.507-2541.37i,-160.108-2544.01i,-161.407-2543.92i,-162.932-2549.72i,-166.685-2557.44i,-167.722-2560.08i,+0+0j,+0+0j,-150.993-2521.62i,-146.755-2508.81i,-148.126-2509.32i,+0+0j,+0+0j,-128.289-2477.16i,-137.461-2487.12i,+0+0j,-156.774-2545.56i,-156.757-2546.2i,-156.923-2546.68i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-161.255-2528.34i,-163.68-2525.58i,-163.801-2525.44i,-164.938-2521.67i,-165.048-2521.55i
2016-11-04 03:00:00 PDT,-52.6606-2497.7i,+0+0j,+0+0j,+0+0j,+0+0j,-72.9281-2494.36i,-88.1181-2490.3i,-90.5397-2472.66i,-90.2442-2470.75i,+0+0j,+0+0j,+0+0j,-126.658-2497.62i,-128.711-2498.32i,+0+0j,+0+0j,-132.341-2500.41i,-133.063-2499.63i,-133.008-2499.9i,+0+0j,+0+0j,-136.344-2503.29i,+0+0j,-130.569-2498.81i,-132.83-2494.05i,+0+0j,+0+0j,+0+0j,-136.807-2502.14i,+0+0j,-140.348-2503.69i,-140.516-2503.51i,-142.594-2505.14i,-142.898-2504.42i,-144.37-2507.88i,-146.057-2510.82i,-147.764-2513.58i,-118.066-2482.68i,-124.448-2479.28i,-128.565-2476.68i,-128.483-2476.61i,+0+0j,+0+0j,-145.186-2437.24i,-144.27-2435.75i,-143.626-2434.72i,-142.288-2433.09i,-140.727-2431.09i,-140.735-2431.08i,-156.85-2547.71i,-158.163-2546.24i,-159.056-2545.24i,-159.687-2544.54i,+0+0j,+0+0j,+0+0j,-157.505-2541.44i,-160.101-2544.08i,-161.4-2544i,-162.922-2549.79i,-166.674-2557.52i,-167.711-2560.16i,+0+0j,+0+0j,-150.998-2521.68i,-146.763-2508.86i,-148.138-2509.37i,+0+0j,+0+0j,-128.298-2477.21i,-137.471-2487.17i,+0+0j,-156.755-2545.62i,-156.713-2546.25i,-156.88-2546.72i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-161.259-2528.41i,-163.684-2525.65i,-163.805-2525.5i,-164.942-2521.74i,-165.052-2521.62i
2016-11-04 04:00:00 PDT,-53.0763-2497.57i,+0+0j,+0+0j,+0+0j,+0+0j,-73.5958-2494.14i,-88.9971-2489.97i,-91.4121-2472.33i,-91.1159-2470.42i,+0+0j,+0+0j,+0+0j,-127.769-2497.4i,-129.822-2498.1i,+0+0j,+0+0j,-133.435-2500.31i,-134.151-2499.55i,-134.09-2499.86i,+0+0j,+0+0j,-137.441-2503.17i,+0+0j,-131.76-2498.54i,-134.02-2493.78i,+0+0j,+0+0j,+0+0j,-138.055-2501.8i,+0+0j,-141.617-2503.33i,-141.784-2503.14i,-143.892-2504.75i,-144.197-2504.02i,-145.702-2507.46i,-147.415-2510.39i,-149.151-2513.12i,-119.333-2482.19i,-125.792-2478.74i,-129.964-2476.12i,-129.884-2476.05i,+0+0j,+0+0j,-146.72-2436.6i,-145.801-2435.12i,-145.157-2434.09i,-143.817-2432.47i,-142.255-2430.47i,-142.264-2430.46i,-158.587-2546.94i,-160.014-2545.34i,-160.973-2544.27i,-161.661-2543.5i,+0+0j,+0+0j,+0+0j,-159.081-2540.8i,-161.616-2543.45i,-162.904-2543.37i,-164.382-2549.2i,-168.107-2556.98i,-169.145-2559.62i,+0+0j,+0+0j,-152.563-2521.02i,-148.32-2508.2i,-149.732-2508.67i,+0+0j,+0+0j,-129.695-2476.65i,-138.924-2486.57i,+0+0j,-158.444-2544.9i,-158.372-2545.5i,-158.539-2545.98i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-162.939-2527.66i,-165.341-2524.92i,-165.476-2524.76i,-166.61-2521i,-166.72-2520.88i
2016-11-04 05:00:00 PDT,-54.4589-2497i,+0+0j,+0+0j,+0+0j,+0+0j,-75.8806-2493.15i,-91.9953-2488.57i,-94.3876-2470.94i,-94.0892-2469.03i,+0+0j,+0+0j,+0+0j,-131.979-2495.84i,-134.032-2496.54i,+0+0j,+0+0j,-137.547-2499.13i,-138.251-2498.42i,-138.177-2498.8i,+0+0j,+0+0j,-141.561-2501.96i,+0+0j,-136.199-2496.87i,-138.443-2492.11i,+0+0j,+0+0j,+0+0j,-142.751-2499.92i,+0+0j,-146.419-2501.34i,-146.599-2501.14i,-148.797-2502.67i,-149.1-2501.94i,-150.728-2505.29i,-152.548-2508.18i,-154.394-2510.81i,-123.726-2480.11i,-130.482-2476.47i,-134.818-2473.73i,-134.73-2473.65i,+0+0j,+0+0j,-152.276-2433.94i,-151.36-2432.44i,-150.716-2431.39i,-149.376-2429.78i,-147.813-2427.78i,-147.822-2427.77i,-164.756-2543.88i,-166.447-2541.97i,-167.572-2540.71i,-168.39-2539.78i,+0+0j,+0+0j,+0+0j,-164.824-2538.04i,-167.288-2540.69i,-168.568-2540.62i,-170.029-2546.48i,-173.829-2554.34i,-174.873-2556.99i,+0+0j,+0+0j,-158.108-2518.27i,-153.734-2505.47i,-155.228-2505.84i,+0+0j,+0+0j,-134.557-2474.26i,-143.943-2484.03i,+0+0j,-164.498-2541.98i,-164.363-2542.53i,-164.531-2543.01i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-169.114-2524.52i,-171.59-2521.69i,-171.678-2521.58i,-172.816-2517.81i,-172.934-2517.67i
2016-11-04 06:00:00 PDT,-56.5049-2496.1i,+0+0j,+0+0j,+0+0j,+0+0j,-79.2701-2491.61i,-96.4039-2486.45i,-98.7631-2468.84i,-98.4613-2466.93i,+0+0j,+0+0j,+0+0j,-138.422-2493.27i,-140.476-2493.97i,+0+0j,+0+0j,-143.832-2497.06i,-144.522-2496.42i,-144.435-2496.87i,+0+0j,+0+0j,-147.853-2499.89i,+0+0j,-142.984-2494.14i,-145.19-2489.36i,+0+0j,+0+0j,+0+0j,-149.988-2496.85i,+0+0j,-153.844-2498.12i,-154.064-2497.87i,-156.368-2499.33i,-156.668-2498.6i,-158.488-2501.83i,-160.474-2504.64i,-162.49-2507.16i,-130.237-2476.97i,-137.447-2473.05i,-142.015-2470.13i,-141.909-2470.04i,+0+0j,+0+0j,-160.657-2430i,-159.747-2428.43i,-159.109-2427.34i,-157.769-2425.73i,-156.206-2423.74i,-156.218-2423.72i,-174.03-2539.33i,-176.055-2537.03i,-177.405-2535.49i,-178.383-2534.38i,+0+0j,+0+0j,+0+0j,-173.513-2533.88i,-175.935-2536.53i,-177.218-2536.46i,-178.715-2542.37i,-182.696-2550.3i,-183.748-2552.96i,+0+0j,+0+0j,-166.404-2514.14i,-161.785-2501.38i,-163.372-2501.64i,+0+0j,+0+0j,-141.773-2470.68i,-151.371-2480.2i,+0+0j,-173.627-2537.63i,-173.428-2538.13i,-173.598-2538.61i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-178.529-2519.76i,-181.201-2516.69i,-181.179-2516.71i,-182.346-2512.88i,-182.492-2512.71i
2016-11-04 07:00:00 PDT,-56.3041-2496.12i,+0+0j,+0+0j,+0+0j,+0+0j,-78.9089-2491.66i,-95.8523-2486.61i,-98.2155-2469i,-97.9142-2467.08i,+0+0j,+0+0j,+0+0j,-138.132-2492.9i,-140.185-2493.6i,+0+0j,+0+0j,-143.514-2496.53i,-144.215-2495.83i,-144.141-2496.2i,+0+0j,+0+0j,-147.525-2499.41i,+0+0j,-142.598-2493.87i,-144.789-2489.08i,+0+0j,+0+0j,+0+0j,-149.647-2496.63i,+0+0j,-153.529-2497.9i,-153.774-2497.63i,-156.029-2499.17i,-156.328-2498.44i,-158.136-2501.7i,-160.116-2504.53i,-162.124-2507.1i,-129.459-2477.21i,-136.641-2473.33i,-141.144-2470.44i,-141.022-2470.33i,+0+0j,+0+0j,-159.934-2430.49i,-159.035-2428.85i,-158.403-2427.71i,-157.068-2426.1i,-155.51-2424.1i,-155.525-2424.08i,-173.094-2539.93i,-174.91-2537.87i,-176.155-2536.45i,-177.027-2535.46i,+0+0j,+0+0j,+0+0j,-172.819-2534.24i,-175.427-2536.84i,-176.745-2536.75i,-178.41-2542.58i,-182.578-2550.37i,-183.629-2553.05i,+0+0j,+0+0j,-165.545-2514.54i,-160.829-2501.8i,-162.338-2502.15i,+0+0j,+0+0j,-140.92-2471i,-150.441-2480.51i,+0+0j,-172.777-2538.16i,-172.65-2538.72i,-172.819-2539.19i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-177.861-2520.16i,-180.71-2516.89i,-180.586-2517.02i,-181.778-2513.17i,-181.938-2512.99i
2016-11-04 08:00:00 PDT,-53.8984-2497.36i,+0+0j,+0+0j,+0+0j,+0+0j,-74.8875-2493.8i,-90.5927-2489.54i,-92.9958-2471.91i,-92.6985-2469.99i,+0+0j,+0+0j,+0+0j,-130.586-2496.44i,-132.639-2497.14i,+0+0j,+0+0j,-136.142-2499.41i,-136.864-2498.62i,-136.81-2498.89i,+0+0j,+0+0j,-140.142-2502.32i,+0+0j,-134.604-2497.68i,-136.836-2492.9i,+0+0j,+0+0j,+0+0j,-141.12-2500.91i,+0+0j,-144.781-2502.4i,-144.98-2502.18i,-147.108-2503.84i,-147.411-2503.11i,-148.993-2506.55i,-150.776-2509.49i,-152.581-2512.24i,-121.67-2481.69i,-128.314-2478.23i,-132.52-2475.61i,-132.411-2475.51i,+0+0j,+0+0j,-149.948-2436.48i,-149.049-2434.89i,-148.418-2433.78i,-147.088-2432.15i,-145.538-2430.14i,-145.555-2430.12i,-161.994-2546.66i,-163.341-2545.14i,-164.276-2544.09i,-164.924-2543.36i,+0+0j,+0+0j,+0+0j,-162.518-2540.35i,-165.253-2542.95i,-166.585-2542.85i,-168.281-2548.59i,-172.33-2556.26i,-173.374-2558.92i,+0+0j,+0+0j,-155.653-2520.56i,-151.194-2507.72i,-152.568-2508.23i,+0+0j,+0+0j,-132.279-2476.16i,-141.55-2486.01i,+0+0j,-161.887-2544.59i,-161.86-2545.22i,-162.028-2545.7i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-166.682-2526.93i,-169.363-2523.88i,-169.327-2523.91i,-170.48-2520.12i,-170.606-2519.98i
2016-11-04 09:00:00 PDT,-50.9256-2498.77i,+0+0j,+0+0j,+0+0j,+0+0j,-69.9938-2496.23i,-84.2409-2492.87i,-86.692-2475.22i,-86.3996-2473.3i,+0+0j,+0+0j,+0+0j,-121.364-2500.58i,-123.417-2501.27i,+0+0j,+0+0j,-127.151-2502.8i,-127.895-2501.92i,-127.862-2502.08i,+0+0j,+0+0j,-131.141-2505.72i,+0+0j,-124.876-2502.07i,-127.163-2497.32i,+0+0j,+0+0j,+0+0j,-130.737-2505.83i,+0+0j,-134.125-2507.57i,-134.26-2507.42i,-136.248-2509.19i,-136.555-2508.46i,-137.865-2512.1i,-139.413-2515.16i,-140.974-2518.1i,-112.317-2486.74i,-118.317-2483.75i,-122.185-2481.42i,-122.1-2481.34i,+0+0j,+0+0j,-137.919-2443.09i,-137.015-2441.58i,-136.38-2440.53i,-135.055-2438.89i,-133.51-2436.87i,-133.527-2436.85i,-148.681-2554.11i,-149.525-2553.18i,-150.12-2552.52i,-150.529-2552.06i,+0+0j,+0+0j,+0+0j,-150.087-2547.18i,-152.906-2549.79i,-154.241-2549.68i,-155.913-2555.36i,-159.741-2562.9i,-160.776-2565.55i,+0+0j,+0+0j,-143.77-2527.28i,-139.655-2514.35i,-140.888-2515.02i,+0+0j,+0+0j,-121.918-2481.95i,-130.903-2492.2i,+0+0j,-148.817-2551.73i,-148.908-2552.45i,-149.074-2552.93i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-153.178-2534.55i,-155.587-2531.82i,-155.699-2531.68i,-156.802-2527.97i,-156.883-2527.88i
