# file...... loads_voltage_B.csv
# date...... Fri Oct 27 14:52:41 2017
# user...... mast9
# host...... (null)
# group..... class= load
# property.. voltage_B
# limit..... -1
# interval.. 3600
# timestamp,Load1,Load2,Load4,Load5,Load6,Load7,Load9,Load10,Load11,Load12,Load16,Load17,Load19,Load20,Load22,Load24,Load28,Load29,Load30,Load31,Load32,Load33,Load34,Load35,Load37,Load38,Load39,Load41,Load42,Load43,Load45,Load46,Load47,Load48,Load49,Load50,Load51,Load52,Load53,Load55,Load56,Load58,Load59,Load60,Load62,Load63,Load64,Load65,Load66,Load68,Load69,Load70,Load71,Load73,Load74,Load75,Load76,Load77,Load79,Load80,Load82,Load83,Load84,Load85,Load86,Load87,Load88,Load90,Load92,Load94,Load95,Load96,Load98,Load99,Load100,Load102,Load103,Load104,Load106,Load107,Load109,Load111,Load112,Load113,Load114
2016-02-05 00:00:00 PST,-1263.6-2162.26j,-1263.67-2162j,+0+0j,+0+0j,+0+0j,-1271.96-2155.57j,+0+0j,+0+0j,+0+0j,-1277.57-2150.88j,+0+0j,+0+0j,+0+0j,+0+0j,-1296.19-2128.52j,+0+0j,-1298.38-2134.09j,-1298.54-2134.39j,-1298.31-2134.36j,+0+0j,+0+0j,+0+0j,+0+0j,-1299.89-2126.56j,+0+0j,-1301.03-2124.39j,-1301.12-2124.03j,+0+0j,-1303.39-2121.09j,-1302.63-2117.72j,+0+0j,+0+0j,-1306.09-2117.69j,-1305.96-2116.95j,-1307.99-2117.01j,-1309.5-2116.96j,-1311.29-2116.97j,-1291.04-2137.82j,-1293.98-2134.82j,-1296.15-2132.76j,-1296.34-2132.49j,-1301.9-2122.81j,-1302.01-2122.37j,-1314.4-2107.47j,-1312.35-2105.63j,-1310.91-2104.33j,-1308-2101.75j,-1306.67-2100.85j,-1306.69-2100.88j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-1341.5-2109.69j,-1346.96-2110.92j,-1348.45-2111.64j,-1353.47-2113.38j,-1360.68-2118.03j,-1363.27-2119.52j,+0+0j,+0+0j,-1351.64-2102.9j,-1357.96-2098.9j,+0+0j,-1363.12-2095.62j,+0+0j,+0+0j,-1366.2-2093.76j,-1366.28-2093.39j,-1328.1-2115.73j,-1327.79-2114.97j,-1327.23-2115.13j,+0+0j,+0+0j,+0+0j,-1326.21-2114.13j,-1326.66-2112.24j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-02-05 01:00:00 PST,-2154.77+1286.65j,-2154.54+1286.71j,+0+0j,+0+0j,+0+0j,-2155.68+1297.59j,+0+0j,+0+0j,+0+0j,-2156.1+1304.9j,+0+0j,+0+0j,+0+0j,+0+0j,-2149+1325.53j,+0+0j,-2154.73+1325.04j,-2155.03+1325.23j,-2155.01+1325.01j,+0+0j,+0+0j,+0+0j,+0+0j,-2150.24+1333.42j,+0+0j,-2150.36+1336.6j,-2150.05+1336.67j,+0+0j,-2147.86+1339.44j,-2144.44+1338.64j,+0+0j,+0+0j,-2147.3+1344.74j,-2146.55+1344.61j,-2147.7+1347.73j,-2148.66+1350.38j,-2149.66+1353.29j,-2157.46+1325.68j,-2157.88+1330.78j,-2158+1334.29j,-2157.76+1334.45j,-2154.69+1346.17j,-2154.31+1346.26j,-2149.5+1367.6j,-2147.69+1368.12j,-2146.41+1368.48j,-2143.86+1369.18j,-2142.96+1367.8j,-2142.98+1367.82j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-2158.74+1403.68j,-2160.23+1409.25j,-2161+1410.8j,-2162.95+1415.99j,-2167.79+1423.58j,-2169.36+1426.3j,+0+0j,+0+0j,-2155.04+1417.18j,-2152.95+1425.68j,+0+0j,-2151.97+1434.07j,+0+0j,+0+0j,-2148.68+1435.97j,-2148.36+1436.03j,-2159.12+1382.58j,-2158.43+1382.22j,-2158.59+1381.65j,+0+0j,+0+0j,+0+0j,-2155.48+1377.68j,-2153.74+1378.08j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-02-05 02:00:00 PST,-2154.9+1286.5j,-2154.68+1286.56j,+0+0j,+0+0j,+0+0j,-2155.88+1297.36j,+0+0j,+0+0j,+0+0j,-2156.33+1304.63j,+0+0j,+0+0j,+0+0j,+0+0j,-2149.39+1325.16j,+0+0j,-2155.13+1324.7j,-2155.43+1324.9j,-2155.41+1324.68j,+0+0j,+0+0j,+0+0j,+0+0j,-2150.68+1333j,+0+0j,-2150.83+1336.17j,-2150.54+1336.24j,+0+0j,-2148.34+1338.98j,-2144.92+1338.18j,+0+0j,+0+0j,-2147.83+1344.25j,-2147.07+1344.12j,-2148.25+1347.22j,-2149.22+1349.87j,-2150.23+1352.77j,-2157.79+1325.26j,-2158.23+1330.32j,-2158.38+1333.8j,-2158.16+1333.96j,-2155.17+1345.66j,-2154.8+1345.75j,-2150.11+1367.04j,-2148.29+1367.57j,-2147.01+1367.92j,-2144.46+1368.62j,-2143.56+1367.25j,-2143.58+1367.26j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-2159.57+1403.05j,-2161.1+1408.6j,-2161.87+1410.15j,-2163.85+1415.34j,-2168.68+1422.95j,-2170.24+1425.66j,+0+0j,+0+0j,-2156+1416.51j,-2153.99+1424.99j,+0+0j,-2153.04+1433.37j,+0+0j,+0+0j,-2149.82+1435.26j,-2149.52+1435.32j,-2159.81+1381.98j,-2159.14+1381.61j,-2159.3+1381.05j,+0+0j,+0+0j,+0+0j,-2156.2+1377.08j,-2154.5+1377.47j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-02-05 03:00:00 PST,-2154.93+1286.47j,-2154.71+1286.52j,+0+0j,+0+0j,+0+0j,-2155.9+1297.32j,+0+0j,+0+0j,+0+0j,-2156.37+1304.59j,+0+0j,+0+0j,+0+0j,+0+0j,-2149.44+1325.12j,+0+0j,-2155.18+1324.66j,-2155.48+1324.85j,-2155.46+1324.64j,+0+0j,+0+0j,+0+0j,+0+0j,-2150.74+1332.95j,+0+0j,-2150.89+1336.12j,-2150.6+1336.19j,+0+0j,-2148.4+1338.93j,-2144.98+1338.13j,+0+0j,+0+0j,-2147.89+1344.19j,-2147.13+1344.07j,-2148.31+1347.16j,-2149.28+1349.81j,-2150.3+1352.71j,-2157.83+1325.21j,-2158.28+1330.27j,-2158.43+1333.75j,-2158.21+1333.9j,-2155.23+1345.6j,-2154.86+1345.69j,-2150.18+1366.98j,-2148.36+1367.5j,-2147.08+1367.85j,-2144.54+1368.55j,-2143.63+1367.18j,-2143.66+1367.19j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-2159.66+1402.98j,-2161.2+1408.53j,-2161.97+1410.08j,-2163.95+1415.27j,-2168.78+1422.88j,-2170.34+1425.6j,+0+0j,+0+0j,-2156.1+1416.43j,-2154.1+1424.91j,+0+0j,-2153.15+1433.3j,+0+0j,+0+0j,-2149.93+1435.18j,-2149.64+1435.24j,-2159.89+1381.91j,-2159.22+1381.54j,-2159.39+1380.97j,+0+0j,+0+0j,+0+0j,-2156.28+1377.01j,-2154.59+1377.4j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-02-05 04:00:00 PST,-2154.75+1286.48j,-2154.54+1286.54j,+0+0j,+0+0j,+0+0j,-2155.58+1297.37j,+0+0j,+0+0j,+0+0j,-2155.93+1304.65j,+0+0j,+0+0j,+0+0j,+0+0j,-2148.56+1325.15j,+0+0j,-2154.29+1324.63j,-2154.59+1324.81j,-2154.57+1324.56j,+0+0j,+0+0j,+0+0j,+0+0j,-2149.74+1333.05j,+0+0j,-2149.9+1336.21j,-2149.6+1336.28j,+0+0j,-2147.29+1339.08j,-2143.87+1338.28j,+0+0j,+0+0j,-2146.67+1344.39j,-2145.92+1344.26j,-2147.03+1347.38j,-2147.95+1350.03j,-2148.93+1352.95j,-2157.12+1325.37j,-2157.5+1330.45j,-2157.62+1333.95j,-2157.4+1334.1j,-2154.23+1345.84j,-2153.87+1345.92j,-2148.76+1367.3j,-2146.94+1367.82j,-2145.66+1368.18j,-2143.11+1368.88j,-2142.21+1367.5j,-2142.24+1367.52j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-2157.83+1403.37j,-2159.25+1408.95j,-2160+1410.5j,-2161.91+1415.69j,-2166.72+1423.26j,-2168.28+1425.98j,+0+0j,+0+0j,-2154.19+1416.83j,-2152.14+1425.32j,+0+0j,-2151.18+1433.68j,+0+0j,+0+0j,-2147.95+1435.54j,-2147.66+1435.6j,-2158.21+1382.34j,-2157.46+1382.03j,-2157.62+1381.46j,+0+0j,+0+0j,+0+0j,-2154.45+1377.47j,-2152.59+1377.89j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-02-05 05:00:00 PST,-2154.21+1286.79j,-2153.98+1286.85j,+0+0j,+0+0j,+0+0j,-2154.64+1297.9j,+0+0j,+0+0j,+0+0j,-2154.72+1305.33j,+0+0j,+0+0j,+0+0j,+0+0j,-2146.18+1326.03j,+0+0j,-2151.89+1325.34j,-2152.19+1325.48j,-2152.16+1325.18j,+0+0j,+0+0j,+0+0j,+0+0j,-2147.01+1334.15j,+0+0j,-2147.11+1337.34j,-2146.79+1337.41j,+0+0j,-2144.25+1340.36j,-2140.83+1339.56j,+0+0j,+0+0j,-2143.34+1345.84j,-2142.59+1345.71j,-2143.51+1348.9j,-2144.33+1351.57j,-2145.22+1354.56j,-2155.18+1326.56j,-2155.38+1331.8j,-2155.36+1335.4j,-2155.12+1335.56j,-2151.41+1347.41j,-2151.02+1347.51j,-2144.88+1369.12j,-2143.07+1369.64j,-2141.79+1370j,-2139.24+1370.7j,-2138.35+1369.32j,-2138.37+1369.34j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-2152.71+1405.49j,-2153.81+1411.19j,-2154.53+1412.74j,-2156.25+1417.96j,-2161.06+1425.43j,-2162.62+1428.14j,+0+0j,+0+0j,-2148.61+1419.07j,-2146.27+1427.64j,+0+0j,-2145.22+1435.95j,+0+0j,+0+0j,-2141.81+1437.8j,-2141.49+1437.87j,-2153.64+1384.48j,-2152.71+1384.29j,-2152.88+1383.72j,+0+0j,+0+0j,+0+0j,-2149.56+1379.64j,-2147.32+1380.14j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-02-05 06:00:00 PST,-2153.41+1287.36j,-2153.13+1287.43j,+0+0j,+0+0j,+0+0j,-2153.29+1298.81j,+0+0j,+0+0j,+0+0j,-2152.95+1306.49j,+0+0j,+0+0j,+0+0j,+0+0j,-2142.86+1327.48j,+0+0j,-2148.55+1326.56j,-2148.84+1326.63j,-2148.81+1326.28j,+0+0j,+0+0j,+0+0j,+0+0j,-2143.2+1335.93j,+0+0j,-2143.16+1339.19j,-2142.77+1339.28j,+0+0j,-2140.04+1342.41j,-2136.63+1341.6j,+0+0j,+0+0j,-2138.75+1348.12j,-2138+1348j,-2138.64+1351.28j,-2139.35+1353.96j,-2140.12+1357.03j,-2152.45+1328.45j,-2152.41+1333.89j,-2152.17+1337.65j,-2151.88+1337.85j,-2147.42+1349.81j,-2146.95+1349.92j,-2139.46+1371.74j,-2137.65+1372.27j,-2136.38+1372.63j,-2133.85+1373.33j,-2132.96+1371.96j,-2132.99+1371.98j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-2145.47+1408.6j,-2146.16+1414.45j,-2146.82+1416.01j,-2148.3+1421.24j,-2153.15+1428.56j,-2154.69+1431.24j,+0+0j,+0+0j,-2140.56+1422.42j,-2137.77+1431.13j,+0+0j,-2136.53+1439.4j,+0+0j,+0+0j,-2132.75+1441.3j,-2132.36+1441.38j,-2147.32+1387.55j,-2146.17+1387.51j,-2146.34+1386.95j,+0+0j,+0+0j,+0+0j,-2142.87+1382.77j,-2140.13+1383.38j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-02-05 07:00:00 PST,-2153.43+1287.65j,-2153.09+1287.73j,+0+0j,+0+0j,+0+0j,-2153.5+1299.14j,+0+0j,+0+0j,+0+0j,-2153.25+1306.84j,+0+0j,+0+0j,+0+0j,+0+0j,-2143.74+1327.98j,+0+0j,-2149.43+1327.12j,-2149.73+1327.23j,-2149.7+1326.91j,+0+0j,+0+0j,+0+0j,+0+0j,-2144.18+1336.39j,+0+0j,-2144.04+1339.7j,-2143.59+1339.81j,+0+0j,-2141.21+1342.83j,-2137.8+1342.03j,+0+0j,+0+0j,-2140.04+1348.5j,-2139.29+1348.38j,-2140.01+1351.63j,-2140.78+1354.29j,-2141.62+1357.32j,-2153.11+1328.75j,-2153.15+1334.17j,-2152.9+1337.93j,-2152.56+1338.17j,-2148.29+1349.97j,-2147.74+1350.1j,-2140.9+1371.58j,-2139.1+1372.12j,-2137.83+1372.47j,-2135.3+1373.19j,-2134.43+1371.82j,-2134.47+1371.85j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-2147.17+1408.56j,-2148.04+1414.36j,-2148.73+1415.91j,-2150.32+1421.14j,-2155.26+1428.48j,-2156.81+1431.14j,+0+0j,+0+0j,-2142.05+1422.53j,-2139.14+1431.29j,+0+0j,-2137.82+1439.63j,+0+0j,+0+0j,-2133.83+1441.67j,-2133.37+1441.76j,-2149.14+1387.32j,-2148.14+1387.18j,-2148.31+1386.62j,+0+0j,+0+0j,+0+0j,-2145+1382.56j,-2142.51+1383.12j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-02-05 08:00:00 PST,-2154.59+1286.9j,-2154.32+1286.97j,+0+0j,+0+0j,+0+0j,-2155.57+1297.79j,+0+0j,+0+0j,+0+0j,-2156+1305.08j,+0+0j,+0+0j,+0+0j,+0+0j,-2149.05+1325.73j,+0+0j,-2154.79+1325.26j,-2155.09+1325.47j,-2155.07+1325.26j,+0+0j,+0+0j,+0+0j,+0+0j,-2150.27+1333.58j,+0+0j,-2150.31+1336.8j,-2149.96+1336.88j,+0+0j,-2147.93+1339.56j,-2144.51+1338.76j,+0+0j,+0+0j,-2147.39+1344.83j,-2146.64+1344.7j,-2147.79+1347.78j,-2148.77+1350.39j,-2149.81+1353.25j,-2157.43+1325.69j,-2157.86+1330.73j,-2157.91+1334.24j,-2157.62+1334.44j,-2154.57+1345.91j,-2154.11+1346.02j,-2149.52+1366.82j,-2147.72+1367.35j,-2146.45+1367.71j,-2143.92+1368.42j,-2143.04+1367.07j,-2143.08+1367.09j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-2158.68+1403.16j,-2160.24+1408.72j,-2161.02+1410.28j,-2163.03+1415.49j,-2167.97+1423.09j,-2169.54+1425.78j,+0+0j,+0+0j,-2154.68+1416.83j,-2152.42+1425.42j,+0+0j,-2151.35+1433.86j,+0+0j,+0+0j,-2147.85+1435.88j,-2147.48+1435.95j,-2159.27+1381.91j,-2158.66+1381.5j,-2158.82+1380.94j,+0+0j,+0+0j,+0+0j,-2155.82+1377.1j,-2154.19+1377.47j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
2016-02-05 09:00:00 PST,-2155.98+1285.8j,-2155.78+1285.85j,+0+0j,+0+0j,+0+0j,-2157.87+1296.04j,+0+0j,+0+0j,+0+0j,-2159.01+1302.89j,+0+0j,+0+0j,+0+0j,+0+0j,-2154.58+1322.93j,+0+0j,-2160.37+1322.85j,-2160.68+1323.14j,-2160.67+1323.04j,+0+0j,+0+0j,+0+0j,+0+0j,-2156.57+1330.21j,+0+0j,-2156.84+1333.32j,-2156.6+1333.38j,+0+0j,-2154.85+1335.72j,-2151.42+1334.93j,+0+0j,+0+0j,-2154.95+1340.57j,-2154.19+1340.44j,-2155.77+1343.34j,-2156.97+1345.9j,-2158.19+1348.59j,-2162.02+1322.12j,-2162.85+1326.78j,-2163.24+1330j,-2163.01+1330.16j,-2161.16+1341.28j,-2160.83+1341.36j,-2158.42+1361.48j,-2156.62+1362.01j,-2155.34+1362.37j,-2152.8+1363.08j,-2151.92+1361.72j,-2151.96+1361.75j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-2170.47+1397.1j,-2172.69+1402.44j,-2173.56+1403.98j,-2175.96+1409.17j,-2180.88+1417.02j,-2182.47+1419.75j,+0+0j,+0+0j,-2167.7+1410.41j,-2166.12+1418.81j,+0+0j,-2165.34+1427.32j,+0+0j,+0+0j,-2162.4+1429.27j,-2162.12+1429.33j,-2169.71+1375.88j,-2169.53+1375.17j,-2169.69+1374.61j,+0+0j,+0+0j,+0+0j,-2166.8+1371.08j,-2165.97+1371.28j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j
