# file...... Overhead_lines_power_in_A.csv
# date...... Fri Oct 27 14:52:42 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-03-04 00:00:00 PST,+0-0i,+0-0i,+1.08899e+06+153363i,+0+0j,+0+0j,+0+0j,+1.07849e+06+145150i,+0-0i,+92355.4+30624.7i,+982895+109119i,+62067.2+30535.4i,+0-0i,+423148-52412.1i,+41408.3+20715.7i,+20573.5+9733.24i,+0+0j,+0+0j,+59058.2+18984.6i,+124097+58759.7i,+41377.7+18943.6i,+0-0i,+124029+58616.6i,+0-0i,+123986+58479.3i,+41345.5+18831.5i,+82582+39487.2i,+41337.6+18808.4i,+0-0i,+41329.3+18788.9i,+41227+20629i,+6.29748e-06+5.31418e-06i,+6.28945e-06+5.31565e-06i,+0+0j,+0+0j,+41392.1+20735.1i,+181439-145377i,+41363.5+20695.6i,+0-0i,+0+0j,+0-0i,+181323-145588i,+0-0i,+175185-145797i,+28040.8+9391.9i,+147044-155380i,+7280.67+0.677935i,+72703.2+51946i,+37595.2-231577i,+17855.2-231880i,+17749.8-232192i,+8119.65-232485i,+532375+151940i,+513078+150514i,+20574.3+10290i,+493330+415463i,-1.78374e-08+2.87527e-09i,+0-0i,+491240+411971i,+0+0j,+7.91224e-06-5.48874e-06i,+65432.1+93.3447i,+218049+86819.1i,+125304+267555i,+56297.6+58.3419i,+32982.4+22.6753i,+26948.1+8.18952i,+0-0i,+217666+86561.2i,+0+0j,+0+0j,+62518.5-194857i,+52755.6+228728i,+62405-195129i,+43071.4+21549.1i,+19301.5-216752i,+19189.2-217203i,+19048.9-217681i,+0-0i,+67.1795-217909i,+0+0j,+51931.3+227376i,+23303.9-52431.3i,+28092.2+278932i,+0-0i,+27676.7+278161i,+0-0i,+27350.9+277572i,+27084.1+276969i,-7.37489e-06+1.02918e-06i,+0-0i,+23279.2+4.53824i,+7.51336e-06-1.01709e-05i,+7.51729e-06-1.01606e-05i,+7.5019e-06-1.01497e-05i,+0-0i,+101804+266551i,+0+0j,+0+0j,+0-0i,+101665+265946i,+0+0j,+109042+30764.4i,-7492.09+234483i,+80485.2+30524.5i,+12743.9+3.91024i,+67649.7+30427.7i,+46619.1+21098.8i,+4480.27+0.274252i,+237987-132989i,+1.11294e+06+164735i,+555805+155065i,+410172+356939i,+101919+267041i
2016-03-04 01:00:00 PST,-0+0i,-0+0i,+902207-350804i,+0+0j,+0+0j,+0+0j,+893372-357836i,-0+0i,+80136.4+351.698i,+810572-362826i,+51967.8+292.382i,-0+0i,+317057-338227i,+42386.4+21205.1i,+9534.2-20960.5i,+0+0j,+0+0j,+34219.7-42617.1i,+80661.9-63431.3i,+18649.7-42647.6i,-0+0i,+80651.5-63525.7i,-0+0i,+80635.8-63620i,+18598.2-42733.1i,+62010.7-20986.5i,+18589.2-42760.1i,-0+0i,+18580.9-42779.6i,+43423.1+21728.1i,-1.33551e-06-5.88592e-06i,-1.34566e-06-5.88377e-06i,+0+0j,+0+0j,+43278.1+21693.2i,+142907-249885i,+43247.8+21638.4i,-0+0i,+0+0j,-0+0i,+142701-250242i,-0+0i,+137323-250596i,+15519.4-21425i,+121614-229480i,+6280.47+0.480546i,+76302.1+54517.4i,+21169.1-246301i,+2991.18-246590i,+2841.49-246888i,-5591.64-247168i,+468091-33064.3i,+451124-34279.3i,+21308+10657.1i,+432580+296919i,-1.26647e-09-2.38117e-08i,-0+0i,+431103+294328i,+0+0j,+6.25809e-06+1.95451e-05i,+60345.8+76.7715i,+167427-12914.4i,+123970+251472i,+52407.6+48.248i,+30388.4+18.6402i,+25206.8+6.86229i,-0+0i,+167164-12977.6i,+0+0j,+0+0j,+62284.3-203659i,+52995.6+295988i,+62155.1-203942i,+45017.9+22523i,+17101.4-226541i,+16971.6-227008i,+16815.9-227499i,-0+0i,+76.5271-227735i,+0+0j,+51947.5+293765i,+22014.2-54531.5i,+29252.3+346854i,-0+0i,+28735.2+345672i,-0+0i,+28274.1+344796i,+27885.3+343904i,-5.93196e-06-6.71989e-06i,-0+0i,+21989+3.89383i,-5.50646e-07-8.82286e-06i,-5.53759e-07-8.84584e-06i,-5.4967e-07-8.82304e-06i,-0+0i,+101795+250745i,+0+0j,+0+0j,-0+0i,+101674+250298i,+0+0j,+95086.3+702.131i,+6486.38+249081i,+68497+540.768i,+11172.8+2.86086i,+57268.9+481.894i,+48130.2+22175i,+3840.19+0.191693i,+200515-235868i,+924534-341036i,+490172-30394.4i,+352740+240117i,+101896+251100i
2016-03-04 02:00:00 PST,-0+0i,-0+0i,+889107-351354i,+0+0j,+0+0j,+0+0j,+880668-358208i,-0+0i,+79329.6+357.633i,+798738-363090i,+51992.2+299.527i,-0+0i,+312763-338174i,+42402.1+21212.9i,+9542.9-20961.2i,+0+0j,+0+0j,+33405.4-42618.9i,+80733.1-63423i,+18675.9-42648.8i,-0+0i,+80721.8-63517.1i,-0+0i,+80705.4-63611.2i,+18623.4-42733.4i,+62054.7-20977.2i,+18614.2-42760.3i,-0+0i,+18605.9-42779.7i,+43442+21737.5i,+5.13311e-06-1.63658e-05i,+5.09713e-06-1.63588e-05i,+0+0j,+0+0j,+43300.4+21704.5i,+139772-250033i,+43270.2+21649.6i,-0+0i,+0+0j,-0+0i,+139570-250386i,-0+0i,+134516-250737i,+15154.5-21426i,+119174-229617i,+5900.42+0.4239i,+76347.4+54549.7i,+18656.8-246471i,+1119.64-246760i,+970.738-247059i,-6981.36-247339i,+461102-33157.3i,+445035-34337i,+21320.9+10663.6i,+428562+297187i,+1.45922e-08-1.53783e-08i,-0+0i,+427102+294624i,+0+0j,+4.59421e-06-5.46136e-06i,+58361.1+72.0372i,+167620-12765i,+123284+251655i,+50884.8+45.3774i,+29377.3+17.4853i,+24516.4+6.48648i,-0+0i,+167355-12830.3i,+0+0j,+0+0j,+61414.2-203802i,+53969.4+296278i,+61284.9-204085i,+45048.8+22538.5i,+16200.4-226699i,+16070.5-227165i,+15915.3-227655i,-0+0i,+76.6152-227891i,+0+0j,+52923.1+294052i,+21504-54568.5i,+30738.8+347176i,-0+0i,+30221.5+345992i,-0+0i,+29760.5+345114i,+29371.8+344221i,-3.84835e-06+1.27235e-06i,-0+0i,+21479+3.65507i,+6.16904e-06-1.30798e-06i,+6.17973e-06-1.27213e-06i,+6.16583e-06-1.26502e-06i,-0+0i,+101619+250929i,+0+0j,+0+0j,-0+0i,+101497+250483i,+0+0j,+93523.4+710.278i,+7872.26+249258i,+67689.4+554.285i,+10552.5+2.55003i,+57082.9+497.077i,+47924.8+22192i,+3600.17+0.168346i,+196984-235767i,+911075-341829i,+482711-30566.6i,+350254+240434i,+101719+251284i
2016-03-04 03:00:00 PST,-0+0i,-0+0i,+899599-351161i,+0+0j,+0+0j,+0+0j,+891155-358151i,-0+0i,+80569+355.619i,+807949-363121i,+51979.8+295.674i,-0+0i,+315393-338354i,+42395+21209.4i,+9537.63-20961.5i,+0+0j,+0+0j,+33392.2-42621.4i,+80702.8-63430.5i,+18662.7-42651.3i,-0+0i,+80692.6-63525i,-0+0i,+80677.1-63619.5i,+18610.9-42736.8i,+62039.3-20982.2i,+18601.7-42763.7i,-0+0i,+18593.5-42783.2i,+43439.2+21736.1i,+4.58831e-06+3.72257e-06i,+4.56602e-06+3.74682e-06i,+0+0j,+0+0j,+43294.1+21701.3i,+141842-249880i,+43264+21646.5i,-0+0i,+0+0j,-0+0i,+141639-250235i,-0+0i,+136635-250587i,+15096.9-21427i,+121350-229469i,+5850.41+0.41682i,+76332.4+54539.1i,+20861.1-246309i,+2744.33-246598i,+2595.82-246897i,-5316.17-247177i,+466390-33178.9i,+450310-34382.2i,+21315+10660.7i,+431828+297307i,+1.12819e-08-1.00033e-08i,-0+0i,+430353+294727i,+0+0j,+1.08781e-05+1.80383e-07i,+60647.3+78.2895i,+167936-12517.7i,+123936+251481i,+53208.8+49.4914i,+30498.7+18.983i,+25687+7.12369i,-0+0i,+167672-12582i,+0+0j,+0+0j,+61396-203746i,+54352.4+296476i,+61268.9-204028i,+45035.7+22531.9i,+16198-226636i,+16069.9-227103i,+15915.3-227595i,-0+0i,+76.5989-227831i,+0+0j,+53301.4+294248i,+22704.4-54550.4i,+29913.5+347353i,-0+0i,+29395.8+346170i,-0+0i,+28934.3+345292i,+28545.3+344399i,-6.83707e-06-6.78991e-06i,-0+0i,+22679.2+4.0205i,-2.11476e-06-1.16816e-05i,-2.11412e-06-1.16432e-05i,-2.1325e-06-1.16548e-05i,-0+0i,+101070+250756i,+0+0j,+0+0j,-0+0i,+100948+250310i,+0+0j,+94641.2+706.179i,+6206.2+249090i,+67603.5+546.387i,+10532.5+2.54123i,+57017.2+489.307i,+47869.7+22184.4i,+3560.16+0.164681i,+199663-235974i,+922917-341423i,+489251-30524.3i,+353518+240523i,+101170+251109i
2016-03-04 04:00:00 PST,-0+0i,-0+0i,+928357-350587i,+0+0j,+0+0j,+0+0j,+919714-357957i,-0+0i,+83780.8+350.053i,+833197-363173i,+51946.8+285.21i,-0+0i,+322544-338813i,+42376.9+21200.3i,+9522.74-20962.8i,+0+0j,+0+0j,+32935.6-42630.2i,+80621.9-63452.7i,+18626.4-42659.8i,-0+0i,+80614.9-63548.6i,-0+0i,+80602.1-63644.3i,+18576.6-42748.2i,+62000.2-20996.3i,+18567.4-42775i,-0+0i,+18559.1-42794.5i,+43434.8+21733.6i,+5.99859e-06-9.31606e-06i,+5.979e-06-9.31363e-06i,+0+0j,+0+0j,+43279.3+21694i,+147926-249454i,+43249.2+21639.1i,-0+0i,+0+0j,-0+0i,+147720-249814i,-0+0i,+142672-250172i,+15085.5-21430.6i,+127396-229055i,+5860.41+0.418434i,+76295.3+54512.6i,+26982.8-245861i,+7269.81-246151i,+7122.42-246451i,-709.305-246728i,+480787-33246.1i,+465113-34514.5i,+21300+10653.2i,+440863+297722i,+1.82839e-08+3.07013e-09i,-0+0i,+439350+295096i,+0+0j,+6.55743e-06+8.82818e-06i,+67607.6+98.9012i,+168570-11762.3i,+125960+251001i,+60232.3+63.0852i,+34013.6+23.9559i,+29159.1+9.1901i,-0+0i,+168309-11823.2i,+0+0j,+0+0j,+60895.8-203611i,+55624.5+297118i,+60775.9-203891i,+45002.4+22515.3i,+15739.5-226482i,+15617-226952i,+15464.8-227450i,-0+0i,+76.5661-227686i,+0+0j,+54559.6+294883i,+26205.6-54503i,+27661.3+347938i,-0+0i,+27142.2+346756i,-0+0i,+26678.8+345880i,+26288.9+344983i,-6.36573e-06-7.93835e-06i,-0+0i,+26179.6+5.19397i,+2.84277e-07-9.94231e-06i,+2.74465e-07-9.95785e-06i,+2.76442e-07-9.92477e-06i,-0+0i,+99588.9+250280i,+0+0j,+0+0j,-0+0i,+99465+249833i,+0+0j,+97772.2+695.761i,+1597.03+248626i,+67343.8+525.088i,+10302.4+2.43358i,+56988+468.486i,+47870.2+22164.7i,+3600.17+0.168554i,+207376-236507i,+955389-340253i,+507241-30411.8i,+363165+240848i,+99690.2+250627i
2016-03-04 05:00:00 PST,-0+0i,-0+0i,+990746-348678i,+0+0j,+0+0j,+0+0j,+981383-356925i,-0+0i,+89658.3+334.354i,+888744-362702i,+51864.9+260.018i,-0+0i,+340245-339495i,+42329.3+21176.5i,+9488.62-20964.1i,+0+0j,+0+0j,+34523.6-42640.2i,+80397.1-63498.6i,+18533.2-42670.9i,-0+0i,+80395.4-63596.8i,-0+0i,+80387-63694.3i,+18488.1-42764.5i,+61876.1-21031.1i,+18479.1-42791.5i,-0+0i,+18470.8-42811i,+43399.8+21715.8i,+1.23014e-06+1.9915e-06i,+1.19665e-06+1.98561e-06i,+0+0j,+0+0j,+43226+21667.1i,+161347-248594i,+43195.7+21612.4i,-0+0i,+0+0j,-0+0i,+161130-248969i,-0+0i,+155681-249343i,+15541.8-21434.9i,+139942-228234i,+6370.49+0.495168i,+76178.1+54428.9i,+39741.6-244945i,+16693.7-245237i,+16546.6-245539i,+7953.26-245814i,+513055-33187.1i,+495538-34614.4i,+21261+10633.6i,+460569+298021i,+9.58389e-09+1.96219e-10i,-0+0i,+458978+295284i,+0+0j,+5.04841e-06-5.7724e-06i,+79476.3+138.071i,+169819-10811.8i,+129473+250045i,+71367.3+88.4755i,+39923+33.4201i,+34672.9+13.0281i,-0+0i,+169562-10866.1i,+0+0j,+0+0j,+62591.6-203217i,+55504.1+297715i,+62479.5-203496i,+44913.4+22470.8i,+17533.3-226044i,+17417.1-226518i,+17265.9-227025i,-0+0i,+76.381-227262i,+0+0j,+54416.1+295473i,+31417.6-54385.8i,+22290.9+348408i,-0+0i,+21769.2+347229i,-0+0i,+21302.3+346355i,+20910.2+345455i,-4.01935e-06-6.44315e-06i,-0+0i,+31390.4+7.24546i,+2.34402e-06+3.36403e-06i,+2.33529e-06+3.38166e-06i,+2.3263e-06+3.38539e-06i,-0+0i,+97888+249326i,+0+0j,+0+0j,-0+0i,+97761.7+248877i,+0+0j,+104735+672.441i,-7061.81+247694i,+68591.3+476.195i,+11443+3.00925i,+57092.8+416.863i,+48047.1+22113.4i,+3880.19+0.196254i,+223710-237383i,+1.02309e+06-337041i,+544805-29950.1i,+379852+240941i,+97989.9+249666i
2016-03-04 06:00:00 PST,-0+0i,-0+0i,+1.02304e+06-347069i,+0+0j,+0+0j,+0+0j,+1.01256e+06-355807i,-0+0i,+91215+322.917i,+918221-361888i,+51818.9+245.931i,-0+0i,+351566-339462i,+42302.4+21163i,+9469.6-20964.7i,+0+0j,+0+0j,+36985.7-42641.8i,+80247.1-63524.5i,+18473.5-42674.4i,-0+0i,+80247-63623.3i,-0+0i,+80240-63721.4i,+18431.3-42770.2i,+61787.1-21052.9i,+18422.4-42797.6i,-0+0i,+18414.2-42817.1i,+43367.7+21699.7i,+3.07007e-06-6.81062e-06i,+3.03924e-06-6.81043e-06i,+0+0j,+0+0j,+43187+21647.2i,+169519-248208i,+43156.4+21592.7i,-0+0i,+0+0j,-0+0i,+169291-248597i,-0+0i,+162872-248983i,+16647.4-21436i,+146021-227883i,+7510.68+0.688998i,+76097.8+54371.4i,+45961.8-244531i,+21347-244825i,+21198.2-245129i,+11162.5-245406i,+530479-33018.6i,+510277-34541.5i,+21239.2+10622.6i,+471185+297868i,-3.33776e-09-1.19193e-08i,-0+0i,+469560+295063i,+0+0j,+8.60713e-06+6.51486e-06i,+83910.2+152.187i,+169938-10730.4i,+130963+249645i,+74415.6+96.8433i,+42226.4+36.9146i,+36013.9+14.0735i,-0+0i,+169681-10781.2i,+0+0j,+0+0j,+65248.4-202982i,+53158.4+297589i,+65135-203264i,+44863.5+22445.8i,+20238.3-225788i,+20121-226264i,+19967.6-226775i,-0+0i,+76.2132-227013i,+0+0j,+52062.1+295346i,+32157.9-54324.1i,+19192.4+348219i,-0+0i,+18669+347040i,-0+0i,+18199.8+346165i,+17805.8+345264i,-8.02062e-06+9.15566e-06i,-0+0i,+32130.5+7.62464i,-2.03243e-06+2.72558e-06i,-2.0527e-06+2.71628e-06i,-2.04588e-06+2.75024e-06i,-0+0i,+98639.1+248921i,+0+0j,+0+0j,-0+0i,+98513+248468i,+0+0j,+108691+663.033i,-10264.9+247289i,+71072+451.437i,+13304+4.07325i,+57708.2+386.814i,+48706.5+22083.8i,+4600.27+0.276242i,+232674-237482i,+1.05542e+06-334776i,+562787-29572.1i,+385920+240667i,+98740+249261i
2016-03-04 07:00:00 PST,-0+0i,-0+0i,+990838-347647i,+0+0j,+0+0j,+0+0j,+980604-355946i,-0+0i,+87060.2+328.589i,+890556-361742i,+51861+258.494i,-0+0i,+345230-338719i,+42328.3+21176i,+9485.69-20965.1i,+0+0j,+0+0j,+39541.3-42634.6i,+80327.9-63507.8i,+18507.2-42669.2i,-0+0i,+80322.9-63604.5i,-0+0i,+80311.7-63700.7i,+18463.1-42761.1i,+61824.8-21040.3i,+18454.4-42788.6i,-0+0i,+18446.1-42808.1i,+43372.8+21702.6i,-1.15331e-05-7.19068e-06i,-1.1572e-05-7.22529e-06i,+0+0j,+0+0j,+43208.2+21657.6i,+162669-248674i,+43177.3+21603.1i,-0+0i,+0+0j,-0+0i,+162446-249058i,-0+0i,+156021-249440i,+16858.5-21435.3i,+138962-228336i,+7700.71+0.723832i,+76152.5+54410.5i,+38810.6-245026i,+16064.3-245321i,+15913.5-245625i,+5197.33-245906i,+515126-33058.2i,+492335-34508.5i,+21263.4+10634.5i,+461647+297743i,+1.08537e-08+2.09828e-08i,-0+0i,+460085+294995i,+0+0j,+1.10814e-05-9.83841e-06i,+73441.7+113.157i,+169995-11219.1i,+127870+250217i,+63339.9+70.8212i,+36817.1+27.4727i,+30600+10.1404i,-0+0i,+169729-11276.8i,+0+0j,+0+0j,+68042.9-203205i,+50262.9+297326i,+67915.2-203492i,+44920.5+22474.3i,+22958.7-226045i,+22830.1-226517i,+22670.1-227020i,-0+0i,+76.3169-227258i,+0+0j,+49181+295081i,+26505.6-54402.4i,+21973.4+348030i,-0+0i,+21450+346843i,-0+0i,+20981.5+345963i,+20586.7+345063i,-9.31401e-06+3.63626e-06i,-0+0i,+26479.6+5.38519i,-2.15103e-06+1.33475e-06i,-2.1569e-06+1.32682e-06i,-2.16908e-06+1.3447e-06i,-0+0i,+101204+249483i,+0+0j,+0+0j,-0+0i,+101080+249027i,+0+0j,+105284+679.259i,-4298.46+247824i,+72608.5+480.978i,+14785+5.02352i,+57761.2+412.849i,+48728.3+22114.7i,+4560.27+0.271078i,+223643-236662i,+1.01713e+06-336101i,+541599-29841.8i,+372384+240682i,+101303+249836i
2016-03-04 08:00:00 PST,-0+0i,-0+0i,+871107-351583i,+0+0j,+0+0j,+0+0j,+863327-358253i,-0+0i,+76997.7+364.961i,+783832-363025i,+52033.6+310.259i,-0+0i,+310369-337537i,+42434.3+21229i,+9552.11-20966.6i,+0+0j,+0+0j,+36785-42627.6i,+80799.9-63430.8i,+18693.1-42659.9i,-0+0i,+80784.5-63523.1i,-0+0i,+80764.7-63615.7i,+18639.8-42741.6i,+62095.7-20972.6i,+18630.6-42768.5i,-0+0i,+18622.3-42788i,+43466+21749.9i,+1.53413e-06+6.40254e-06i,+1.50999e-06+6.41656e-06i,+0+0j,+0+0j,+43338.8+21723.7i,+135207-250148i,+43308.6+21668.8i,-0+0i,+0+0j,-0+0i,+135009-250502i,-0+0i,+130380-250854i,+14987-21434.4i,+115209-229727i,+5720.39+0.397997i,+76434.7+54612.2i,+14579.8-246632i,-1953.73-246926i,-2104.21-247229i,-10617.2-247516i,+453277-33488.3i,+433734-34636.8i,+21353.7+10679.9i,+424115+298412i,+3.18197e-09-2.13244e-09i,-0+0i,+422718+295891i,+0+0j,+4.9617e-06-4.20047e-07i,+49739.7+50.3183i,+169439-11669.7i,+120486+251942i,+41790.6+30.9932i,+24742.1+12.2212i,+20304.4+4.438i,-0+0i,+169162-11744.6i,+0+0j,+0+0j,+65137.1-204145i,+51947.2+297776i,+64993.9-204433i,+45132.5+22580.4i,+19822.9-227090i,+19682.1-227553i,+19518.9-228037i,-0+0i,+76.937-228274i,+0+0j,+50900.8+295526i,+17052.8-54670.9i,+33167.6+348736i,-0+0i,+32645.1+347535i,-0+0i,+32180.3+346644i,+31787.3+345743i,-6.13262e-06-1.39115e-06i,-0+0i,+17028.8+2.44488i,+4.15725e-06+6.71103e-06i,+4.13483e-06+6.64954e-06i,+4.13424e-06+6.67372e-06i,-0+0i,+103274+251201i,+0+0j,+0+0j,-0+0i,+103154+250748i,+0+0j,+91533.5+732.339i,+11511.9+249490i,+69196.3+583.188i,+12353.4+3.48812i,+56786.6+522.69i,+47608.4+22233.4i,+3200.13+0.13276i,+191108-235081i,+888390-342410i,+470318-31014.5i,+340644+241795i,+103374+251569i
2016-03-04 09:00:00 PST,-0+0i,-0+0i,+745291-354734i,+0+0j,+0+0j,+0+0j,+740078-359896i,-0+0i,+66522.7+402.912i,+671490-363722i,+52202.5+362.169i,-0+0i,+273476-336213i,+42533.8+21278.8i,+9621.25-20964.7i,+0+0j,+0+0j,+34034.4-42610.1i,+81269.9-63339.3i,+18884.5-42640.3i,-0+0i,+81243.5-63427i,-0+0i,+81214.5-63515.9i,+18821.4-42711.4i,+62358-20900.9i,+18811.8-42737.5i,-0+0i,+18803.5-42757i,+43545.5+21790.3i,+4.44984e-06+1.0279e-05i,+4.46112e-06+1.02757e-05i,+0+0j,+0+0j,+43457.4+21783.7i,+105943-251642i,+43427.7+21728.4i,-0+0i,+0+0j,-0+0i,+105766-251970i,-0+0i,+103128-252297i,+12919.1-21427.8i,+90037.5-231156i,+3540.15+0.151932i,+76695.3+54798.4i,-11057.4-248275i,-21042.3-248572i,-21194.4-248876i,-27347.1-249173i,+388221-33634.5i,+371906-34506.5i,+21438.1+10722.3i,+383961+298645i,-1.81051e-09-5.33045e-09i,-0+0i,+382724+296336i,+0+0j,-4.76877e-06+1.31607e-05i,+24491+11.1693i,+168297-12694.4i,+112671+253727i,+18846.4+6.50494i,+11822.7+2.70563i,+9360.93+0.937963i,-0+0i,+168010-12785.4i,+0+0j,+0+0j,+62216.4-205006i,+53047.5+297540i,+62056.5-205294i,+45327.7+22678i,+16687.7-228046i,+16533.9-228497i,+16367.6-228961i,-0+0i,+77.5289-229197i,+0+0j,+52043.4+295293i,+7041.26-54921.8i,+44347.3+348751i,-0+0i,+43826.4+347537i,-0+0i,+43365.9+346637i,+42975.6+345737i,+5.01813e-06-9.89009e-06i,-0+0i,+7019.08+0.606503i,-4.1108e-06-4.12381e-06i,-4.14018e-06-4.09326e-06i,-4.14142e-06-4.08939e-06i,-0+0i,+105473+252977i,+0+0j,+0+0j,-0+0i,+105357+252529i,+0+0j,+76978.7+790.422i,+28254.4+251214i,+65535+685.399i,+9842.17+2.20287i,+55642.7+632.312i,+46315.1+22345.4i,+1680.04+0.0364021i,+156530-233391i,+753335-347740i,+395381-31830.8i,+306330+242415i,+105574+253362i
2016-03-04 10:00:00 PST,-0+0i,-0+0i,+707168-355397i,+0+0j,+0+0j,+0+0j,+702727-360143i,-0+0i,+63186.8+414.349i,+637586-363708i,+52250.5+377.61i,-0+0i,+262571-335755i,+42559.7+21291.8i,+9643.34-20962.3i,+0+0j,+0+0j,+33672-42599.2i,+81403.9-63305.8i,+18942.4-42629.2i,-0+0i,+81373.8-63391.9i,-0+0i,+81341.8-63479.6i,+18876.4-42696.9i,+62428.4-20878.3i,+18866.6-42722.8i,-0+0i,+18858.3-42742.3i,+43560.6+21798i,-1.35134e-05-9.54427e-06i,-1.3533e-05-9.51173e-06i,+0+0j,+0+0j,+43484.8+21797.7i,+96971.8-252102i,+43455.4+21742.3i,-0+0i,+0+0j,-0+0i,+96799.3-252424i,-0+0i,+94776.4-252745i,+12313-21423.1i,+82294.1-231603i,+2900.1+0.10188i,+76758.7+54843.6i,-18926.5-248782i,-26931.2-249081i,-27084.5-249385i,-32638.1-249685i,+368742-33565.5i,+352904-34363.3i,+21459.8+10733.1i,+371623+298464i,+5.1918e-09+1.80886e-08i,-0+0i,+370433+296211i,+0+0j,-2.5156e-06-9.56202e-07i,+16234.4+4.4599i,+167785-13291.6i,+110133+254280i,+11182.4+2.41266i,+7581.06+1.07676i,+5730.35+0.350956i,-0+0i,+167495-13387.2i,+0+0j,+0+0j,+61829-205213i,+52721.1+297113i,+61662.6-205501i,+45375.9+22702.2i,+16244.4-228276i,+16085.6-228724i,+15917.6-229180i,-0+0i,+77.6682-229415i,+0+0j,+51732.6+294872i,+3621.04-54986.5i,+47466.3+348397i,-0+0i,+46946.4+347180i,-0+0i,+46487.6+346277i,+46098.6+345379i,+1.09182e-06-1.33211e-05i,-0+0i,+3599.45+0.244469i,-1.17189e-07-1.63327e-05i,-1.27635e-07-1.63488e-05i,-1.27167e-07-1.63379e-05i,-0+0i,+106357+253527i,+0+0j,+0+0j,-0+0i,+106242+253081i,+0+0j,+72558.9+808.057i,+33554+251748i,+64666.9+714.852i,+9351.96+1.98629i,+55266.1+663.384i,+45893.8+22374.3i,+1200.02+0.0185475i,+145854-232839i,+711977-349011i,+372510-31943.3i,+294988+242333i,+106458+253917i
