# file...... Overhead_lines_power_in_A.csv
# date...... Fri Oct 27 14:52:41 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-04-01 00:00:00 PDT,+0-0i,+0-0i,+1.03934e+06+151849i,+0+0j,+0+0j,+0+0j,+1.03044e+06+144382i,+0-0i,+89320.8+30672.6i,+938139+108782i,+62117.8+30588.5i,+0-0i,+406668-51826.8i,+41457.4+20740.2i,+20575+9761.68i,+0+0j,+0+0j,+56114.8+19068.8i,+124156+58962.8i,+41377.9+19031.5i,+0-0i,+124084+58816.8i,+0-0i,+124039+58677.1i,+41342.2+18915.1i,+82635.6+39599.5i,+41333.7+18891.7i,+0-0i,+41325.5+18872.2i,+41283.7+20657.5i,+8.05821e-06-9.78395e-06i,+8.03745e-06-9.79376e-06i,+0+0j,+0+0j,+41461.6+20770.4i,+169427-145738i,+41433.5+20730.6i,+0-0i,+0+0j,+0-0i,+169326-145930i,+0-0i,+164474-146121i,+26560.6+9442.62i,+137823-155741i,+5800.42+0.429463i,+72846.8+52048.7i,+28252.5-232131i,+10841.2-232433i,+10737-232746i,+2909.03-233041i,+506266+151917i,+490123+150625i,+20615.8+10310.9i,+477711+416517i,+2.13755e-09-1.3341e-08i,+0-0i,+475684+413128i,+0+0j,+1.15064e-06-3.29751e-06i,+57862.9+73.8347i,+218118+87487.1i,+122650+268206i,+50465.9+46.5245i,+29117.7+17.9336i,+24356.6+6.67241i,+0-0i,+217737+87218.4i,+0+0j,+0+0j,+59464.6-195310i,+55888.7+229536i,+59350.3-195580i,+43169.9+21598.4i,+16148.4-217251i,+16035.5-217699i,+15897-218171i,+0-0i,+67.4992-218399i,+0+0j,+55071.5+228176i,+21343.3-52551i,+33196.3+279846i,+0-0i,+32780.5+279071i,+0-0i,+32455.3+278478i,+32189+277871i,+3.97549e-07-6.37397e-07i,+0-0i,+21319+3.79927i,-6.05237e-07+7.42613e-06i,-6.05612e-07+7.39782e-06i,-6.01599e-07+7.40644e-06i,+0-0i,+101108+267205i,+0+0j,+0+0j,+0-0i,+100969+266604i,+0+0j,+103136+30854.5i,-2285.65+235055i,+77402.5+30638.4i,+10512.6+2.65384i,+66804.5+30549.2i,+45770.9+21153.7i,+3520.17+0.168848i,+224498-132450i,+1.06177e+06+162194i,+527852+154742i,+399980+358193i,+101225+267697i
2016-04-01 01:00:00 PDT,-0+0i,-0+0i,+876213-351791i,+0+0j,+0+0j,+0+0j,+868196-358478i,-0+0i,+78484.4+361.373i,+787156-363255i,+52008.2+304.509i,-0+0i,+308679-338103i,+42411.3+21217.5i,+9549.73-20960.8i,+0+0j,+0+0j,+33004.9-42616.8i,+80780.9-63413.2i,+18695.7-42646.4i,-0+0i,+80768.6-63506.8i,-0+0i,+80751.3-63600.5i,+18642.1-42729.9i,+62081.2-20969.7i,+18632.9-42756.7i,-0+0i,+18624.6-42776.1i,+43449.7+21741.4i,+2.97875e-07+5.00136e-06i,+2.90319e-07+4.98143e-06i,+0+0j,+0+0j,+43311.9+21710.4i,+136489-250183i,+43281.8+21655.4i,-0+0i,+0+0j,-0+0i,+136290-250532i,-0+0i,+131599-250879i,+14776.2-21425.2i,+116638-229758i,+5510.36+0.369588i,+76372.7+54567.9i,+16073.6-246632i,-831.121-246921i,-979.991-247220i,-8531.8-247500i,+454416-33185.7i,+438805-34334.7i,+21328.6+10667.5i,+424315+297193i,+1.05232e-08+4.10523e-09i,-0+0i,+422871+294652i,+0+0j,+2.00444e-06+6.48542e-06i,+55855.2+66.0454i,+167551-12865.2i,+122477+251821i,+48771.1+41.6357i,+28065.8+16.024i,+23565.9+5.99016i,-0+0i,+167285-12932.1i,+0+0j,+0+0j,+60984-203879i,+54262.1+296245i,+60853.4-204161i,+45066.3+22547.3i,+15751.3-226784i,+15620.4-227249i,+15465.1-227736i,-0+0i,+76.6834-227972i,+0+0j,+53220.3+294020i,+20703.8-54591.4i,+31838.8+347167i,-0+0i,+31322+345982i,-0+0i,+30861.7+345104i,+30473.7+344212i,+6.60666e-08+1.21137e-05i,-0+0i,+20679+3.44296i,+2.40604e-06-5.51571e-06i,+2.3967e-06-5.54547e-06i,+2.39783e-06-5.52209e-06i,-0+0i,+101612+251095i,+0+0j,+0+0j,-0+0i,+101490+250650i,+0+0j,+91963.9+714.461i,+9423.27+249422i,+67055.1+563.689i,+10162.3+2.36379i,+56839.8+507.711i,+47666.3+22202.5i,+3320.14+0.143105i,+193258-235654i,+897566-342503i,+475267-30667.8i,+346860+240482i,+101712+251452i
2016-04-01 02:00:00 PDT,-0+0i,-0+0i,+875855-351786i,+0+0j,+0+0j,+0+0j,+867789-358468i,-0+0i,+78405+361.509i,+786830-363242i,+52009+304.761i,-0+0i,+308648-338086i,+42411.6+21217.7i,+9550.14-20960.7i,+0+0j,+0+0j,+33005.8-42616.5i,+80782.7-63412.6i,+18696.5-42646.2i,-0+0i,+80770.3-63506.2i,-0+0i,+80753.1-63599.9i,+18642.9-42729.7i,+62082.2-20969.4i,+18633.7-42756.4i,-0+0i,+18625.4-42775.9i,+43449.8+21741.5i,+6.40091e-06-5.23235e-06i,+6.37163e-06-5.17165e-06i,+0+0j,+0+0j,+43312.1+21710.4i,+136495-250190i,+43282+21655.5i,-0+0i,+0+0j,-0+0i,+136295-250539i,-0+0i,+131554-250886i,+14826.6-21425i,+116542-229765i,+5560.37+0.376325i,+76373.2+54568.2i,+15977.1-246640i,-887.647-246929i,-1036.55-247228i,-8628.38-247508i,+454205-33183.2i,+438594-34331.3i,+21328.9+10667.7i,+424222+297184i,+1.38905e-08+5.57684e-09i,-0+0i,+422779+294644i,+0+0j,+1.3578e-06-6.52711e-06i,+55784.9+65.8052i,+167512-12882.3i,+122474+251830i,+48660.9+41.4572i,+28035.8+15.9616i,+23485.9+5.94941i,-0+0i,+167247-12949.3i,+0+0j,+0+0j,+60985-203883i,+54219.8+296231i,+60854.3-204165i,+45067.1+22547.6i,+15751.4-226788i,+15620.4-227253i,+15465.1-227740i,-0+0i,+76.6812-227976i,+0+0j,+53178+294006i,+20623.8-54592.4i,+31876.7+347154i,-0+0i,+31359.9+345969i,-0+0i,+30899.6+345091i,+30511.5+344199i,-7.44762e-06-1.93367e-06i,-0+0i,+20599+3.41974i,-1.79131e-06-1.27217e-05i,-1.80423e-06-1.27345e-05i,-1.81849e-06-1.26948e-05i,-0+0i,+101689+251104i,+0+0j,+0+0j,-0+0i,+101568+250659i,+0+0j,+91945+714.903i,+9519.78+249430i,+67116.3+564.195i,+10182.3+2.37308i,+56881+508.111i,+47706.9+22202.8i,+3360.14+0.146572i,+193224-235637i,+897124-342505i,+474974-30668.1i,+346749+240474i,+101790+251461i
2016-04-01 03:00:00 PDT,-0+0i,-0+0i,+892308-351493i,+0+0j,+0+0j,+0+0j,+884113-358386i,-0+0i,+80220+358.521i,+801286-363296i,+51991.3+299.104i,-0+0i,+312654-338348i,+42402.2+21212.9i,+9541.96-20961.6i,+0+0j,+0+0j,+32566-42622.3i,+80740.6-63425.5i,+18677-42651.6i,-0+0i,+80730.2-63519.9i,-0+0i,+80714.5-63614.4i,+18624.5-42736.8i,+62063-20977.1i,+18615.2-42763.5i,-0+0i,+18607-42783i,+43449.2+21741.1i,+2.48053e-06-1.37919e-05i,+2.47223e-06-1.377e-05i,+0+0j,+0+0j,+43305.4+21707.1i,+140058-249942i,+43275.3+21652.2i,-0+0i,+0+0j,-0+0i,+139857-250294i,-0+0i,+135075-250644i,+14824.9-21427.3i,+120063-229523i,+5570.37+0.377761i,+76355+54555.2i,+19537.3-246380i,+1735.95-246670i,+1587.8-246969i,-5923.73-247248i,+462427-33239.6i,+447238-34423.5i,+21321+10663.8i,+429428+297487i,+2.22644e-09-1.12414e-08i,-0+0i,+427962+294921i,+0+0j,+1.02563e-05+1.9613e-07i,+60046.2+77.1947i,+167844-12379.2i,+123707+251551i,+52988.3+48.9732i,+30218.5+18.7267i,+25627+7.0881i,-0+0i,+167581-12444.2i,+0+0j,+0+0j,+60506.7-203816i,+55106.5+296681i,+60380.7-204097i,+45050+22539.1i,+15295.7-226711i,+15168.4-227178i,+15014.7-227669i,-0+0i,+76.6744-227905i,+0+0j,+54056.3+294451i,+22764.4-54567.1i,+30608.7+347572i,-0+0i,+30090.9+346388i,-0+0i,+29629.5+345510i,+29240.8+344616i,-1.60622e-06+8.07118e-06i,-0+0i,+22739.1+4.07108i,+4.79228e-06-1.36257e-05i,+4.77016e-06-1.36287e-05i,+4.75629e-06-1.35953e-05i,-0+0i,+100779+250827i,+0+0j,+0+0j,-0+0i,+100657+250382i,+0+0j,+93743.2+709.172i,+6813.08+249160i,+66888.5+552.448i,+9952.24+2.2681i,+56883.6+496.807i,+47726+22192.4i,+3400.15+0.150154i,+197728-235940i,+915763-341881i,+485367-30624.4i,+352592+240727i,+100880+251180i
2016-04-01 04:00:00 PDT,-0+0i,-0+0i,+948649-349892i,+0+0j,+0+0j,+0+0j,+939718-357542i,-0+0i,+85542.2+343.556i,+851350-362935i,+51915.4+275.928i,-0+0i,+328508-339017i,+42357.1+21190.4i,+9511.19-20962.2i,+0+0j,+0+0j,+33743-42629.7i,+80535-63464.9i,+18593.2-42659.9i,-0+0i,+80529.6-63561.4i,-0+0i,+80518.1-63657.6i,+18544.9-42749.9i,+61948.5-21008.2i,+18535.8-42776.8i,-0+0i,+18527.6-42796.3i,+43414.9+21723.6i,-5.47547e-06-3.26278e-06i,-5.47711e-06-3.23381e-06i,+0+0j,+0+0j,+43253.8+21681.1i,+152294-249203i,+43223.5+21626.3i,-0+0i,+0+0j,-0+0i,+152083-249567i,-0+0i,+146861-249930i,+15296.4-21430.1i,+131372-228817i,+6090.45+0.452234i,+76241.6+54474.2i,+31046.3-245584i,+10257.9-245874i,+10110.1-246173i,+1917.43-246450i,+491435-33155i,+474851-34476.5i,+21283.3+10644.8i,+447104+297537i,+8.3032e-09-2.42485e-09i,-0+0i,+445564+294872i,+0+0j,-2.84585e-06+1.60668e-05i,+71118.2+109.613i,+168720-11749.6i,+127035+250703i,+63399+69.9453i,+35756.2+26.5521i,+30730.1+10.2179i,-0+0i,+168461-11807.8i,+0+0j,+0+0j,+61753.2-203430i,+55034.4+296954i,+61635-203710i,+44962.5+22495.3i,+16638.7-226281i,+16517.6-226752i,+16365.3-227252i,-0+0i,+76.4618-227489i,+0+0j,+53964.6+294721i,+27626.1-54453.6i,+25642.8+347728i,-0+0i,+25123.7+346549i,-0+0i,+24659.9+345674i,+24269.9+344779i,-7.02906e-06-1.02247e-06i,-0+0i,+27599.7+5.77128i,+6.18634e-06-5.99238e-06i,+6.1852e-06-5.98394e-06i,+6.18365e-06-5.97708e-06i,-0+0i,+99244+249982i,+0+0j,+0+0j,-0+0i,+99119.4+249535i,+0+0j,+100052+685.4i,-1026.29+248338i,+67955.5+506.515i,+10862.7+2.70815i,+57038.4+448.596i,+47946.1+22142.8i,+3720.18+0.180158i,+212607-236780i,+977080-339151i,+519321-30191.2i,+367916+240589i,+99345.4+250327i
2016-04-01 05:00:00 PDT,-0+0i,-0+0i,+1.01051e+06-347391i,+0+0j,+0+0j,+0+0j,+1.00006e+06-355935i,-0+0i,+89977.8+323.356i,+906986-361887i,+51823.8+248.44i,-0+0i,+347879-339387i,+42301.1+21162.4i,+9475.71-20961.5i,+0+0j,+0+0j,+36580.8-42631.3i,+80268.5-63506.8i,+18488.9-42663.6i,-0+0i,+80267.5-63605.2i,-0+0i,+80259.6-63702.9i,+18445.8-42758.4i,+61791.8-21045.9i,+18436.9-42785.8i,-0+0i,+18428.7-42805.3i,+43357.7+21694.8i,+5.32932e-06-1.0753e-05i,+5.28469e-06-1.08128e-05i,+0+0j,+0+0j,+43179.7+21643.5i,+166824-248449i,+43149.1+21589i,-0+0i,+0+0j,-0+0i,+166597-248833i,-0+0i,+160188-249215i,+16616.1-21430.3i,+143369-228116i,+7470.67+0.681787i,+76085.8+54362.8i,+43306.7-244765i,+19378.7-245058i,+19229.3-245359i,+9313.38-245634i,+523981-32855i,+504226-34345.7i,+21236.5+10621.2i,+466738+297096i,+9.71233e-09+1.757e-08i,-0+0i,+465117+294307i,+0+0j,-6.71481e-06+1.64871e-05i,+81662+143.886i,+169009-11665i,+130382+249855i,+72280.3+91.4551i,+41124.4+34.904i,+34923.1+13.2358i,-0+0i,+168753-11715.3i,+0+0j,+0+0j,+64789.3-202931i,+52644.6+296567i,+64674.6-203213i,+44852.8+22440.4i,+19788.5-225731i,+19670.3-226206i,+19517.1-226714i,-0+0i,+76.1199-226951i,+0+0j,+51558.7+294337i,+31127.5-54316.7i,+19726.2+347211i,-0+0i,+19205.8+346037i,-0+0i,+18739.3+345165i,+18347.6+344270i,-5.41513e-06+5.08587e-06i,-0+0i,+31100.3+7.23429i,-9.55233e-06-2.99626e-06i,-9.56671e-06-3.01754e-06i,-9.58204e-06-3.03451e-06i,-0+0i,+99090.5+249133i,+0+0j,+0+0j,-0+0i,+98965.2+248683i,+0+0j,+107290+660.526i,-8413.2+247509i,+70826.8+454.308i,+13053.9+3.92205i,+57713.5+390.245i,+48700.5+22080.8i,+4600.27+0.276279i,+229358-237374i,+1.04188e+06-335387i,+555258-29490.5i,+382145+239914i,+99191.3+249474i
2016-04-01 06:00:00 PDT,-0+0i,-0+0i,+1.03234e+06-346195i,+0+0j,+0+0j,+0+0j,+1.02109e+06-355096i,-0+0i,+90610.1+317.691i,+927316-361271i,+51805.1+241.707i,-0+0i,+356457-339152i,+42294.2+21158.9i,+9463.92-20964.8i,+0+0j,+0+0j,+39063.1-42640i,+80184-63533.6i,+18449.3-42674.2i,-0+0i,+80183.5-63632.2i,-0+0i,+80176-63730i,+18408.2-42770.1i,+61746.3-21061.5i,+18399.6-42797.9i,-0+0i,+18391.3-42817.4i,+43349.8+21690.9i,-8.09899e-06-4.30139e-06i,-8.09152e-06-4.28539e-06i,+0+0j,+0+0j,+43169.6+21638.1i,+172635-248117i,+43138.6+21583.8i,-0+0i,+0+0j,-0+0i,+172402-248513i,-0+0i,+165227-248907i,+17533.6-21436.1i,+147486-227812i,+8410.85+0.864435i,+76065.1+54348.1i,+47484.4-244435i,+22510.2-244731i,+22359.6-245036i,+11162.1-245315i,+536136-32915.7i,+513723-34474.9i,+21233.5+10619.6i,+474590+297755i,-2.91596e-09-2.35728e-09i,-0+0i,+472966+294926i,+0+0j,-1.36824e-05+1.39425e-05i,+83697.2+149.192i,+169742-10825i,+131050+249583i,+73092.9+94.116i,+42195.8+36.2854i,+35233.3+13.4728i,-0+0i,+169483-10875.4i,+0+0j,+0+0j,+67500.1-202911i,+50776.9+297440i,+67381.9-203196i,+44851+22439.5i,+22496.7-225715i,+22375.6-226192i,+22219.3-226703i,-0+0i,+76.1524-226941i,+0+0j,+49680.1+295195i,+30867.4-54310.8i,+18101.7+348054i,-0+0i,+17577.2+346872i,-0+0i,+17106.7+345995i,+16711.1+345094i,+8.29641e-06+9.57026e-06i,-0+0i,+30840.2+7.1808i,+8.39318e-06+4.28219e-06i,+8.38059e-06+4.25447e-06i,+8.36726e-06+4.27329e-06i,-0+0i,+100020+248851i,+0+0j,+0+0j,-0+0i,+99894.7+248395i,+0+0j,+110066+663.15i,-10259.8+247211i,+73131.4+446.099i,+14835+5.06677i,+58233.1+376.899i,+49248.1+22075.2i,+5160.34+0.347754i,+235503-237231i,+1.06268e+06-333742i,+566927-29412.8i,+385605+240520i,+100120+249197i
2016-04-01 07:00:00 PDT,-0+0i,-0+0i,+929935-350020i,+0+0j,+0+0j,+0+0j,+921126-357464i,-0+0i,+82408.5+349.237i,+836004-362725i,+51956.5+286.518i,-0+0i,+326343-338235i,+42389.3+21206.5i,+9520.08-20967.8i,+0+0j,+0+0j,+36700.9-42639i,+80597.9-63473.4i,+18609-42671.3i,-0+0i,+80588.5-63568.3i,-0+0i,+80573.8-63663i,+18559.9-42758.5i,+61987.6-21004.3i,+18550.9-42785.6i,-0+0i,+18542.7-42805i,+43438.4+21735.7i,-3.35243e-06-1.19798e-05i,-3.39454e-06-1.19482e-05i,+0+0j,+0+0j,+43290.8+21699.4i,+148679-249352i,+43260.4+21644.7i,-0+0i,+0+0j,-0+0i,+148471-249719i,-0+0i,+143132-250085i,+15637.3-21438.3i,+127304-228965i,+6420.5+0.502061i,+76325.3+54534i,+26874.1-245779i,+7151.87-246074i,+7002.43-246377i,-2070.96-246661i,+483260-33460.5i,+463643-34748.1i,+21315.7+10660.9i,+442641+298695i,+3.20661e-09+8.8107e-09i,-0+0i,+441165+296070i,+0+0j,+5.30901e-06+1.29262e-05i,+63293+84.1364i,+169844-10759.3i,+124593+251024i,+54772.1+52.7812i,+31730.2+20.4632i,+26587.5+7.63018i,-0+0i,+169574-10825.7i,+0+0j,+0+0j,+65022.7-203776i,+52778.6+298353i,+64891.5-204062i,+45045.8+22537i,+19809.3-226676i,+19677.7-227145i,+19518.4-227640i,-0+0i,+76.7629-227878i,+0+0j,+51709.1+296097i,+23034.5-54555.4i,+27979.6+349190i,-0+0i,+27455.5+347994i,-0+0i,+26987.9+347107i,+26593.3+346204i,-3.01955e-06-9.62637e-06i,-0+0i,+23009.1+4.19935i,+8.9362e-06+1.20371e-06i,+8.92683e-06+1.2189e-06i,+8.90003e-06+1.22553e-06i,-0+0i,+101396+250287i,+0+0j,+0+0j,-0+0i,+101273+249832i,+0+0j,+98208.7+707.551i,+2963.43+248602i,+69868.9+535.507i,+12633.6+3.65646i,+57177.8+473.596i,+48067.1+22183.3i,+3760.18+0.183718i,+207383-235951i,+952957-339685i,+506268-30627.7i,+358765+241877i,+101496+250645i
2016-04-01 08:00:00 PDT,-0+0i,-0+0i,+801226-353786i,+0+0j,+0+0j,+0+0j,+795156-359586i,-0+0i,+71862.8+388.672i,+721061-363817i,+52135.8+341.088i,-0+0i,+288381-336995i,+42496.7+21260.2i,+9591.76-20967.1i,+0+0j,+0+0j,+33539.2-42625.3i,+81097.9-63382.9i,+18809.7-42655.3i,-0+0i,+81077.5-63473.1i,-0+0i,+81053.5-63564.1i,+18750.6-42731.6i,+62270.8-20930i,+18741-42757.9i,-0+0i,+18732.8-42777.4i,+43529.9+21782.1i,-5.61183e-06-4.85364e-06i,-5.60897e-06-4.8424e-06i,+0+0j,+0+0j,+43421.9+21765.8i,+118760-250919i,+43392.1+21710.6i,-0+0i,+0+0j,-0+0i,+118577-251257i,-0+0i,+115344-251593i,+13434.6-21433.8i,+101734-230454i,+4100.2+0.204019i,+76610.1+54737.5i,+806.022-247495i,-12257.7-247790i,-12407.4-248094i,-18918.6-248385i,+416617-33742i,+400682-34726.1i,+21406.4+10706.5i,+401871+299099i,-5.57233e-09-1.96735e-08i,-0+0i,+400560+296703i,+0+0j,+6.13181e-06+2.05513e-05i,+37928.8+29.2294i,+169054-11608.7i,+116672+252867i,+31907.8+18.0235i,+18767+7.11262i,+15712.6+2.64886i,-0+0i,+168774-11692.6i,+0+0j,+0+0j,+61665.4-204711i,+54635.5+298372i,+61518.3-204996i,+45256.7+22642.5i,+16222.7-227713i,+16078.7-228171i,+15916.9-228646i,-0+0i,+77.367-228882i,+0+0j,+53607.1+296116i,+13152.1-54824.8i,+39784.7+349474i,-0+0i,+39262.3+348265i,-0+0i,+38799.4+347369i,+38407.6+346466i,-1.67371e-06+2.68056e-06i,-0+0i,+13128.8+1.57442i,+1.29408e-06+4.23749e-06i,+1.27249e-06+4.18637e-06i,+1.27114e-06+4.19851e-06i,-0+0i,+103359+252125i,+0+0j,+0+0j,-0+0i,+103240+251676i,+0+0j,+83312+765.945i,+19813+250387i,+65860.4+642.728i,+9832.17+2.20256i,+55977.4+589.039i,+46710.5+22303.5i,+2160.06+0.0602911i,+172126-234312i,+815108-345832i,+429857-31648.4i,+324582+242708i,+103461+252498i
2016-04-01 09:00:00 PDT,-0+0i,-0+0i,+721086-355256i,+0+0j,+0+0j,+0+0j,+716394-360150i,-0+0i,+64514.9+411.211i,+649892-363810i,+52237.1+372.906i,-0+0i,+266155-335957i,+42553.9+21288.9i,+9635.68-20964.1i,+0+0j,+0+0j,+33233.9-42606.6i,+81368.5-63320.1i,+18924.6-42636.3i,-0+0i,+81340.2-63407i,-0+0i,+81309.5-63495.2i,+18859.5-42705.4i,+62413.9-20885.8i,+18849.8-42731.3i,-0+0i,+18841.5-42750.8i,+43563.1+21799.2i,-1.02635e-06-1.499e-05i,-1.03476e-06-1.49374e-05i,+0+0j,+0+0j,+43482.1+21796.3i,+100324-251914i,+43452.6+21740.9i,-0+0i,+0+0j,-0+0i,+100151-252238i,-0+0i,+97936.7-252562i,+12462.3-21426.3i,+85304.8-231419i,+3060.11+0.113446i,+76748.6+54836.4i,-15886.1-248583i,-24671.9-248881i,-24824.3-249186i,-30417.1-249485i,+375708-33649.5i,+360299-34472.3i,+21454.8+10730.7i,+376229+298765i,+3.62516e-09-1.32119e-08i,-0+0i,+375021+296494i,+0+0j,-9.25004e-06+7.59519e-06i,+20037.2+7.27073i,+168041-12824.8i,+111252+254063i,+14934.1+4.15128i,+9581.74+1.76788i,+7540.6+0.607985i,-0+0i,+167752-12918.8i,+0+0j,+0+0j,+61359.1-205179i,+53512.7+297565i,+61196.8-205466i,+45366.1+22697.3i,+15789.1-228237i,+15633.5-228686i,+15467.2-229146i,-0+0i,+77.6558-229381i,+0+0j,+52516.4+295319i,+5371.14-54970.6i,+46495+348825i,-0+0i,+45974.2+347608i,-0+0i,+45514.4+346706i,+45124.6+345805i,-3.30637e-06+2.059e-06i,-0+0i,+5349.25+0.410291i,+3.98262e-06+1.01056e-07i,+3.98995e-06+9.45884e-08i,+3.96828e-06+9.81875e-08i,-0+0i,+105724+253312i,+0+0j,+0+0j,-0+0i,+105609+252866i,+0+0j,+74154.5+803.144i,+31327.5+251538i,+64628.4+705.77i,+9181.89+1.91529i,+55397.8+654.417i,+46040+22367.5i,+1360.02+0.0238309i,+149923-233069i,+727505-348643i,+381199-31961.1i,+300182+242600i,+105825+253700i
2016-04-01 10:00:00 PDT,-0+0i,-0+0i,+697938-355673i,+0+0j,+0+0j,+0+0j,+693893-360320i,-0+0i,+62739.6+417.927i,+629230-363826i,+52263.8+381.713i,-0+0i,+259448-335722i,+42567.6+21295.7i,+9648.78-20962.1i,+0+0j,+0+0j,+33268-42598.4i,+81445.1-63298.4i,+18958.7-42628.1i,-0+0i,+81414.3-63384.3i,-0+0i,+81381.7-63471.7i,+18891.9-42695i,+62452.4-20872.2i,+18882.1-42720.8i,-0+0i,+18873.8-42740.3i,+43569+21802.2i,-4.26643e-06-6.61363e-06i,-4.27357e-06-6.62621e-06i,+0+0j,+0+0j,+43495.9+21803.3i,+94462.5-252189i,+43466.6+21747.8i,-0+0i,+0+0j,-0+0i,+94292.1-252509i,-0+0i,+92631.4-252828i,+11932.7-21422.8i,+80530.5-231686i,+2510.08+0.0762968i,+76782.1+54860.3i,-20731.3-248884i,-28303.6-249183i,-28456.8-249488i,-33610.2-249789i,+363888-33593.3i,+348500-34372.1i,+21466.5+10736.5i,+368591+298572i,-1.53259e-08+3.56808e-09i,-0+0i,+367411+296335i,+0+0j,+1.47608e-05+7.82962e-06i,+14533.5+3.52932i,+167896-13258.9i,+109544+254389i,+9871.86+1.88917i,+6670.84+0.84844i,+5180.28+0.286689i,-0+0i,+167605-13356i,+0+0j,+0+0j,+61395-205283i,+53210.8+297210i,+61228.1-205571i,+45391.5+22709.9i,+15794.3-228353i,+15635.3-228800i,+15467.4-229254i,-0+0i,+77.7333-229489i,+0+0j,+52224.7+294967i,+3221.03-55005.9i,+48359.6+348511i,-0+0i,+47839.7+347293i,-0+0i,+47381.2+346389i,+46992.5+345490i,+6.68037e-06-2.17606e-06i,-0+0i,+3199.51+0.209103i,+4.52882e-06-7.55667e-06i,+4.51789e-06-7.54377e-06i,+4.52232e-06-7.54428e-06i,-0+0i,+106167+253637i,+0+0j,+0+0j,-0+0i,+106052+253192i,+0+0j,+71396+812.898i,+34526.6+251856i,+64027+722.688i,+8961.8+1.82325i,+55017.3+672.377i,+45632.7+22383.4i,+920.011+0.010897i,+143103-232779i,+702565-349419i,+367315-32012.3i,+292802+242467i,+106268+254028i
