# file...... node150_swingbus.csv
# date...... Fri Oct 27 14:52:41 2017
# user...... mast9
# host...... (null)
# target.... node 185
# trigger... (none)
# interval.. 1800
# limit..... -1
# timestamp,voltage_A,voltage_B,voltage_C
2016-04-01 00:00:00 PDT,-24.2241-2396.77i,-2063.55+1219.36j,+2087.78+1177.41j
2016-04-01 01:00:00 PDT,-24.2009-2396.77i,-2063.56+1219.34j,+2087.76+1177.43j
2016-04-01 02:00:00 PDT,-24.1998-2396.77i,-2063.56+1219.34j,+2087.76+1177.43j
2016-04-01 03:00:00 PDT,-24.2462-2396.77i,-2063.54+1219.38j,+2087.79+1177.39j
2016-04-01 04:00:00 PDT,-24.3825-2396.75i,-2063.46+1219.49j,+2087.84+1177.26j
2016-04-01 05:00:00 PDT,-24.5175-2396.75i,-2063.39+1219.61j,+2087.91+1177.14j
2016-04-01 06:00:00 PDT,-24.567-2396.73i,-2063.35+1219.64j,+2087.91+1177.09j
2016-04-01 07:00:00 PDT,-24.3361-2396.75i,-2063.48+1219.45j,+2087.81+1177.3j
2016-04-01 08:00:00 PDT,-24.0348-2396.79i,-2063.66+1219.21j,+2087.7+1177.58j
2016-04-01 09:00:00 PDT,-23.8275-2396.79i,-2063.77+1219.03j,+2087.6+1177.76j
2016-04-01 10:00:00 PDT,-23.7658-2396.81i,-2063.82+1218.99j,+2087.58+1177.82j
2016-04-01 11:00:00 PDT,-23.7298-2396.81i,-2063.84+1218.96j,+2087.56+1177.86j
2016-04-01 12:00:00 PDT,-23.7296-2396.81i,-2063.84+1218.96j,+2087.56+1177.86j
2016-04-01 13:00:00 PDT,-23.7534-2396.81i,-2063.82+1218.98j,+2087.58+1177.83j
2016-04-01 14:00:00 PDT,-23.8519-2396.79i,-2063.76+1219.05j,+2087.61+1177.74j
2016-04-01 15:00:00 PDT,-24.1861-2396.77i,-2063.57+1219.33j,+2087.76+1177.44j
2016-04-01 16:00:00 PDT,-24.494-2396.75i,-2063.4+1219.59j,+2087.89+1177.16j
2016-04-01 17:00:00 PDT,-24.7961-2396.71i,-2063.21+1219.83j,+2088.01+1176.88j
2016-04-01 18:00:00 PDT,-25.0656-2396.69i,-2063.06+1220.05j,+2088.13+1176.64j
2016-04-01 19:00:00 PDT,-25.246-2396.67i,-2062.95+1220.2j,+2088.2+1176.47j
2016-04-01 20:00:00 PDT,-25.1292-2396.69i,-2063.03+1220.11j,+2088.16+1176.58j
2016-04-01 21:00:00 PDT,-24.8078-2396.71i,-2063.21+1219.84j,+2088.01+1176.87j
2016-04-01 22:00:00 PDT,-24.5295-2396.75i,-2063.38+1219.62j,+2087.91+1177.13j
2016-04-01 23:00:00 PDT,-24.2932-2396.77i,-2063.52+1219.42j,+2087.81+1177.35j
2016-04-02 00:00:00 PDT,-24.2727-2396.77i,-2063.53+1219.41j,+2087.8+1177.36j
2016-04-02 01:00:00 PDT,-24.2407-2396.77i,-2063.54+1219.38j,+2087.78+1177.39j
2016-04-02 02:00:00 PDT,-24.2394-2396.77i,-2063.54+1219.38j,+2087.78+1177.39j
2016-04-02 03:00:00 PDT,-24.2893-2396.77i,-2063.52+1219.42j,+2087.81+1177.35j
2016-04-02 04:00:00 PDT,-24.4303-2396.75i,-2063.43+1219.53j,+2087.86+1177.22j
2016-04-02 05:00:00 PDT,-24.5594-2396.73i,-2063.35+1219.63j,+2087.91+1177.1j
2016-04-02 06:00:00 PDT,-24.5947-2396.73i,-2063.33+1219.66j,+2087.93+1177.07j
2016-04-02 07:00:00 PDT,-24.3209-2396.75i,-2063.49+1219.44j,+2087.81+1177.31j
2016-04-02 08:00:00 PDT,-24.0199-2396.79i,-2063.67+1219.2j,+2087.69+1177.59j
2016-04-02 09:00:00 PDT,-23.8132-2396.81i,-2063.79+1219.03j,+2087.61+1177.78j
2016-04-02 10:00:00 PDT,-23.7654-2396.81i,-2063.82+1218.99j,+2087.58+1177.82j
2016-04-02 11:00:00 PDT,-23.7428-2396.81i,-2063.83+1218.97j,+2087.57+1177.84j
2016-04-02 12:00:00 PDT,-23.7376-2396.81i,-2063.83+1218.96j,+2087.57+1177.85j
2016-04-02 13:00:00 PDT,-23.7481-2396.81i,-2063.83+1218.97j,+2087.57+1177.84j
2016-04-02 14:00:00 PDT,-23.7734-2396.81i,-2063.81+1218.99j,+2087.59+1177.82j
2016-04-02 15:00:00 PDT,-24.1459-2396.77i,-2063.59+1219.3j,+2087.74+1177.47j
2016-04-02 16:00:00 PDT,-24.6257-2396.73i,-2063.32+1219.69j,+2087.94+1177.04j
2016-04-02 17:00:00 PDT,-24.8923-2396.71i,-2063.17+1219.91j,+2088.06+1176.8j
2016-04-02 18:00:00 PDT,-25.1403-2396.69i,-2063.02+1220.12j,+2088.16+1176.57j
2016-04-02 19:00:00 PDT,-25.3279-2396.67i,-2062.91+1220.27j,+2088.24+1176.4j
2016-04-02 20:00:00 PDT,-25.2279-2396.67i,-2062.96+1220.18j,+2088.19+1176.49j
2016-04-02 21:00:00 PDT,-24.9065-2396.71i,-2063.16+1219.92j,+2088.06+1176.79j
2016-04-02 22:00:00 PDT,-24.6044-2396.73i,-2063.33+1219.67j,+2087.93+1177.06j
2016-04-02 23:00:00 PDT,-24.3651-2396.75i,-2063.46+1219.48j,+2087.83+1177.27j
