# file...... underground_lines_power_out_A.csv
# date...... Fri Oct 27 14:52:41 2017
# user...... mast9
# host...... (null)
# group..... class= underground_line
# property.. power_out_A
# limit..... -1
# interval.. 3600
# timestamp,O60-62,O62-63,O63-64,O64-65,O65-66
2016-04-01 00:00:00 PDT,+60795.6+47572i,+60758.2+47564.8i,+45474.1+47554.5i,+45406.6+47541.3i,+1.0828e-08+8.16016e-10i
2016-04-01 01:00:00 PDT,+62622.6+48793.2i,+62583.4+48786.6i,+47755.3+48776.9i,+47685.4+48763.3i,+1.31483e-08-4.4032e-10i
2016-04-01 02:00:00 PDT,+62633.4+48793.7i,+62594.2+48787.1i,+47756.1+48777.4i,+47686.2+48763.8i,+1.26843e-08-2.01906e-10i
2016-04-01 03:00:00 PDT,+62197.2+48763.9i,+62158.4+48757.4i,+47720.3+48747.7i,+47650.5+48734.1i,-1.19316e-09-1.61945e-09i
2016-04-01 04:00:00 PDT,+63400.9+48638.2i,+63361.1+48631.5i,+47613.2+48621.8i,+47543.6+48608.2i,+5.92363e-09+3.24074e-11i
2016-04-01 05:00:00 PDT,+66386+48479.8i,+66343.8+48472.6i,+47506+48462.9i,+47436.6+48449.3i,-9.62032e-09+1.0054e-09i
2016-04-01 06:00:00 PDT,+68953.5+48400.2i,+68909.2+48392.5i,+47471.5+48382.5i,+47402.3+48368.5i,+1.69973e-08-1.66593e-09i
2016-04-01 07:00:00 PDT,+66325.4+48632.9i,+66283.3+48625.5i,+47655.4+48615.5i,+47585.9+48601.3i,-7.14737e-09+1.26299e-09i
2016-04-01 08:00:00 PDT,+62878.4+48930.4i,+62839.1+48923.5i,+47890.9+48913.5i,+47820.9+48899.3i,-7.70106e-09-3.00891e-10i
2016-04-01 09:00:00 PDT,+62430.7+49095.4i,+62391.7+49088.6i,+48053.3+49078.5i,+47983+49064.3i,-5.1566e-09-2.06749e-10i
2016-04-01 10:00:00 PDT,+62367.8+49142.8i,+62328.9+49136.1i,+48100.4+49126i,+48030+49111.8i,+3.01919e-09-2.04007e-09i
2016-04-01 11:00:00 PDT,+61894.8+49175.6i,+61856.3+49169i,+48127.7+49159i,+48057.2+49144.9i,-8.62724e-09+1.50035e-09i
2016-04-01 12:00:00 PDT,+61875.5+49182.4i,+61836.9+49175.8i,+48128.3+49165.7i,+48057.9+49151.5i,-6.74478e-09-8.64535e-11i
2016-04-01 13:00:00 PDT,+62307.2+49160.3i,+62268.3+49153.6i,+48109.8+49143.5i,+48039.4+49129.3i,-1.71201e-08-1.28684e-09i
2016-04-01 14:00:00 PDT,+62731.2+49080i,+62692+49073.2i,+48033.6+49063.1i,+47963.4+49048.9i,-7.50522e-09+1.72065e-09i
2016-04-01 15:00:00 PDT,+65181.8+48784.6i,+65140.6+48777.5i,+47772.6+48767.4i,+47702.8+48753.2i,+2.0415e-08-9.7362e-10i
2016-04-01 16:00:00 PDT,+69483.8+48446.4i,+69438.9+48438.8i,+47521.1+48429.2i,+47451.6+48415.5i,+2.4416e-08-2.00297e-09i
2016-04-01 17:00:00 PDT,+72041.6+48159.2i,+71994.4+48151.2i,+47276.9+48141.7i,+47207.8+48128.2i,+1.48579e-08+2.55104e-09i
2016-04-01 18:00:00 PDT,+75547.3+47880.3i,+75496.8+47871.7i,+47059.7+47862.1i,+46991.1+47848.5i,+3.44866e-09-4.29362e-09i
2016-04-01 19:00:00 PDT,+79913.5+47654.2i,+79858.7+47644.8i,+46911.7+47635i,+46843.4+47621.4i,+3.54836e-09+2.08163e-10i
