# file...... Overhead_lines_power_out_B.csv
# date...... Fri Oct 27 14:52:41 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_out_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-05-06 00:00:00 PDT,+7960-4.75848e-09j,+0+0j,+730701+48334.5j,+0+0j,+0+0j,+0+0j,+730536+46347j,+4200-7.29369e-09j,+0+0j,+725771+43430.2j,+0+0j,+0+0j,+300923+8122.48j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+43139.4+21595j,+0+0j,+43090+21545j,-2.44935e-06+7.60349e-06j,+0+0j,-2.45939e-06+7.63773e-06j,+0+0j,-2.43644e-06+7.66443e-06j,+0+0j,+0+0j,+0+0j,-2.42791e-06+7.67695e-06j,-2.41479e-06+7.69456e-06j,-2.45562e-06+7.6426e-06j,+0+0j,+0+0j,+26750+9869.62j,+217032-31972.8j,+0+0j,+26741.8+9861.28j,+5740+3.63343e-10j,+0+0j,+216876-32197.3j,+42893.3+21446.6j,+173864-53799.6j,+0+0j,+173756-53926.2j,+0+0j,+75134.2+53667.4j,+61549.6-132584j,+27550.5-132640j,+27483.8-132706j,+27293.6-132883j,+424166+31539.7j,+424073+31122.2j,+10360.4+0.940552j,+413172+29506.8j,+10360-4.77939e-09j,+30317.6+9846.94j,+381908+16730.2j,+9320-6.91762e-09j,+1.96352e-05-1.28971e-05j,+0+0j,+226852-177884j,+38522+133307j,+0+0j,+0+0j,+0+0j,+0+0j,+226509-178461j,+0+0j,+0+0j,+50060-219130j,+90800.5-35016.9j,+27056.4-219235j,-4.2694e-09+1.54602e-08j,+26814.6-219671j,+242.69-220110j,+122.106-220353j,+0+0j,-2.39525e-08-220586j,+0+0j,+86512.4-35267.5j,+0+0j,+58951.6-35372.1j,+42684.7-35433.6j,+16239.1+17.8098j,+0+0j,+16241.9+3.30707j,+0+0j,+16240.7+0.759943j,+9660-4.17549e-09j,+24967.8+0.914494j,+24960-6.63331e-06j,+1.24608e-05-6.63841e-06j,+1.24873e-05-6.65735e-06j,+0+0j,+13448.7+133233j,+0+0j,+0+0j,+40329.7+9.86664j,-26995.3+133174j,+20470-8.22183e-10j,+0+0j,-27293.5+132883j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+257455-14065.8j,+738895+51312j,+424295+32202j,+265902-43845.9j,+13490.2+133262j
2016-05-06 01:00:00 PDT,+7650-7.73252e-09j,+0+0j,+619880-424898j,+0+0j,+0+0j,+0+0j,+619969-427030j,+3950+7.79823e-09j,+0+0j,+615913-430090j,+0+0j,+0+0j,+264915-160399j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44277.8+22164.9j,+0+0j,+44227.1+22113.5j,+1.13937e-05+1.4266e-06j,+0+0j,+1.13677e-05+1.4425e-06j,+0+0j,+1.13746e-05+1.42293e-06j,+0+0j,+0+0j,+0+0j,+1.13603e-05+1.49434e-06j,+1.13769e-05+1.51385e-06j,+1.1334e-05+1.47936e-06j,+0+0j,+0+0j,+15349-21405.7j,+191696-169780j,+0+0j,+15342.1-21412.6j,+5470-8.32461e-09j,+0+0j,+191534-170055j,+44337.4+22168.7j,+147065-192469j,+0+0j,+146938-192722j,+0+0j,+77898.9+55642.1j,+43799.7-210761j,+10911.9-210955j,+10765.7-211163j,+10353.7-211732j,+350663-273749j,+350647-274291j,+10030.4+0.853023j,+339950-276161j,+10030-1.24519e-08j,+18828.2-21506.7j,+319888-258129j,+8970-7.76481e-09j,+4.72542e-06+7.62786e-06j,+0+0j,+191576-420595j,+54285.9+213219j,+0+0j,+0+0j,+0+0j,+0+0j,+190714-421737j,+0+0j,+0+0j,+48446.6-232425j,+65528-101671j,+26280.7-232538j,-3.90228e-09-5.96015e-09j,+26029.3-233011j,+255.128-233488j,+128.26-233751j,+0+0j,-1.07684e-09-234004j,+0+0j,+61336.8-101985j,+0+0j,+34464.8-102131j,+18814.9-102259j,+15558.7+18.796j,+0+0j,+15561.6+2.84969j,+0+0j,+15560.7+0.659683j,+9300+8.66476e-09j,+24447.3+0.369177j,+24440-8.17874e-06j,+1.10943e-05-8.16792e-06j,+1.11029e-05-8.16614e-06j,+0+0j,+29516.3+212843j,+0+0j,+0+0j,+39008.7+8.77903j,-9722.83+212611j,+19790+3.78168e-09j,+0+0j,-10353.3+211732j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+220253-183233j,+627384-421694j,+350670-272872j,+247147-205744j,+29664.3+213027j
2016-05-06 02:00:00 PDT,+7680-4.78303e-09j,+0+0j,+619813-424921j,+0+0j,+0+0j,+0+0j,+619903-427053j,+4000-6.39579e-09j,+0+0j,+615797-430112j,+0+0j,+0+0j,+264878-160414j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44278.2+22165j,+0+0j,+44227.5+22113.7j,+8.68689e-06-7.04167e-06j,+0+0j,+8.70288e-06-6.99539e-06j,+0+0j,+8.66392e-06-7.01162e-06j,+0+0j,+0+0j,+0+0j,+8.69305e-06-6.99e-06j,+8.67517e-06-6.96579e-06j,+8.72447e-06-6.95068e-06j,+0+0j,+0+0j,+15389.3-21405.7j,+191649-169777j,+0+0j,+15382.5-21412.6j,+5510-1.76942e-09j,+0+0j,+191487-170051j,+44338+22169j,+147018-192466j,+0+0j,+146890-192719j,+0+0j,+77900.1+55642.9j,+43750.4-210759j,+10852.6-210953j,+10706.5-211161j,+10294.6-211730j,+350585-273757j,+350569-274299j,+10040.4+0.854718j,+339863-276168j,+10040-1.63009e-08j,+18858.6-21506.7j,+319771-258135j,+9000+2.61525e-09j,-7.471e-06-8.23841e-07j,+0+0j,+191569-420598j,+54174.6+213217j,+0+0j,+0+0j,+0+0j,+0+0j,+190706-421740j,+0+0j,+0+0j,+48386.4-232428j,+65579-101672j,+26220.5-232542j,+1.24444e-09-1.1633e-08j,+25969.3-233015j,+255.093-233492j,+128.242-233755j,+0+0j,-6.72298e-09-234008j,+0+0j,+61337.7-101986j,+0+0j,+34545.6-102132j,+18815.8-102260j,+15638.8+18.9132j,+0+0j,+15641.6+2.87648j,+0+0j,+15640.7+0.663924j,+9330-3.45335e-09j,+24367.2+0.334628j,+24360-5.65468e-06j,+9.98211e-06-5.63458e-06j,+1.00054e-05-5.63034e-06j,+0+0j,+29485.1+212841j,+0+0j,+0+0j,+38918.6+8.74339j,-9663.88+212608j,+19750-2.06091e-09j,+0+0j,-10294.2+211729j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+220216-183248j,+627346-421717j,+350592-272880j,+247029-205750j,+29633.1+213024j
2016-05-06 03:00:00 PDT,+7550-1.73668e-08j,+0+0j,+633954-423642j,+0+0j,+0+0j,+0+0j,+634038-425808j,+4050+1.36697e-09j,+0+0j,+629864-428917j,+0+0j,+0+0j,+270589-159692j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44251.7+22151.8j,+0+0j,+44201.1+22100.5j,+3.89907e-06+1.20319e-06j,+0+0j,+3.89605e-06+1.18329e-06j,+0+0j,+3.86992e-06+1.22092e-06j,+0+0j,+0+0j,+0+0j,+3.87875e-06+1.16832e-06j,+3.84304e-06+1.22041e-06j,+3.87916e-06+1.22002e-06j,+0+0j,+0+0j,+15350.8-21401.2j,+196470-169625j,+0+0j,+15344-21408.1j,+5480-6.62612e-09j,+0+0j,+196303-169907j,+44306.6+22153.3j,+151862-192311j,+0+0j,+151731-192569j,+0+0j,+77841+55600.7j,+48670.7-210574j,+13918.5-210767j,+13771.9-210976j,+13358.4-211547j,+358918-273361j,+358901-273914j,+9770.36+0.809748j,+348445-275823j,+9770-1.52859e-08j,+18679.3-21503.3j,+328490-257873j,+8830+3.4679e-09j,+5.25762e-06+1.35805e-05j,+0+0j,+197125-420216j,+57398.9+213045j,+0+0j,+0+0j,+0+0j,+0+0j,+196256-421368j,+0+0j,+0+0j,+52413.8-232154j,+67183.4-101588j,+28097.9-232267j,+8.55073e-09+2.19588e-09j,+27846.1-232737j,+254.66-233211j,+128.004-233473j,+0+0j,+3.18687e-09-233726j,+0+0j,+62891.9-101907j,+0+0j,+34310-102051j,+18780.1-102179j,+15438.8+18.6473j,+0+0j,+15441.6+2.79814j,+0+0j,+15440.6+0.639304j,+9150-1.09521e-08j,+26438.2+1.3073j,+26430+1.08578e-05j,-5.40329e-06+1.08526e-05j,-5.3812e-06+1.08749e-05j,+0+0j,+30640.2+212666j,+0+0j,+0+0j,+43130.6+10.7237j,-12725.7+212429j,+21860+8.89486e-10j,+0+0j,-13358.1+211546j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+225944-182529j,+641365-420387j,+358927-272467j,+255816-205533j,+30785.7+212849j
2016-05-06 04:00:00 PDT,+8270+9.46193e-09j,+0+0j,+667182-420873j,+0+0j,+0+0j,+0+0j,+667266-423151j,+4450+5.43628e-09j,+0+0j,+662669-426420j,+0+0j,+0+0j,+283587-158116j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44214.6+22133.3j,+0+0j,+44164+22082j,+1.50655e-06-2.34195e-06j,+0+0j,+1.46141e-06-2.35247e-06j,+0+0j,+1.48837e-06-2.33709e-06j,+0+0j,+0+0j,+0+0j,+1.47957e-06-2.29728e-06j,+1.48803e-06-2.30843e-06j,+1.49178e-06-2.28036e-06j,+0+0j,+0+0j,+15860.1-21398.3j,+206912-169308j,+0+0j,+15853.1-21405.3j,+6010+2.77623e-09j,+0+0j,+206736-169609j,+44261.8+22130.9j,+162334-192001j,+0+0j,+162195-192274j,+0+0j,+77755.8+55539.9j,+59265.3-210221j,+19768.9-210414j,+19621.3-210626j,+19204.6-211204j,+378695-272670j,+378677-273255j,+10690.4+0.969999j,+367259-275262j,+10690+2.64845e-09j,+19496.5-21503.3j,+346406-257499j,+9670+3.00133e-10j,+5.36698e-06+5.63851e-06j,+0+0j,+210698-419606j,+61861.1+212725j,+0+0j,+0+0j,+0+0j,+0+0j,+209811-420787j,+0+0j,+0+0j,+60216.8-231724j,+73109.2-101438j,+32130.9-231836j,-1.72522e-08-1.52092e-09j,+31878.1-232303j,+252.904-232773j,+127.187-233035j,+0+0j,-7.53789e-09-233287j,+0+0j,+68414.9-101773j,+0+0j,+35702.8-101918j,+18692.3-102050j,+16919.1+20.9586j,+0+0j,+16921.9+3.36624j,+0+0j,+16920.8+0.768282j,+10020-1.0341e-09j,+29730+3.16467j,+29720+3.49384e-06j,+1.0611e-05+3.47554e-06j,+1.05943e-05+3.45657e-06j,+0+0j,+31812.4+212342j,+0+0j,+0+0j,+50134.3+14.4916j,-18567.4+212096j,+25390+3.04317e-09j,+0+0j,-19204.3+211203j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+238956-180977j,+675310-417450j,+378704-271725j,+273875-205219j,+31953.8+212524j
2016-05-06 05:00:00 PDT,+9650-6.7912e-09j,+0+0j,+693720-418823j,+0+0j,+0+0j,+0+0j,+693813-421183j,+5150+1.15051e-09j,+0+0j,+688513-424568j,+0+0j,+0+0j,+293677-156970j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44189.9+22120.9j,+0+0j,+44139.3+22069.7j,+5.37349e-06-5.20034e-06j,+0+0j,+5.34061e-06-5.17047e-06j,+0+0j,+5.32603e-06-5.12471e-06j,+0+0j,+0+0j,+0+0j,+5.36994e-06-5.10459e-06j,+5.37749e-06-5.08937e-06j,+5.37779e-06-5.08562e-06j,+0+0j,+0+0j,+16826.1-21395.7j,+214602-169053j,+0+0j,+16818.8-21403.1j,+6990+2.91448e-09j,+0+0j,+214421-169369j,+44231.8+22115.9j,+170047-191754j,+0+0j,+169903-192037j,+0+0j,+77699+55499.4j,+67060-209946j,+23436.1-210139j,+23290-210352j,+22876.4-210931j,+394444-272133j,+394425-272739j,+12510.6+1.32905j,+381158-274804j,+12510+3.88809e-09j,+21102-21501j,+358648-257135j,+11290+1.81899e-10j,-3.51272e-05+2.67381e-05j,+0+0j,+222006-419078j,+62887.1+212454j,+0+0j,+0+0j,+0+0j,+0+0j,+221103-420286j,+0+0j,+0+0j,+65186.6-231397j,+79543-101297j,+34911.1-231509j,-3.1871e-08+1.84585e-09j,+34659.4-231976j,+250.033-232445j,+125.871-232708j,+0+0j,+4.9622e-09-232959j,+0+0j,+74144.2-101650j,+0+0j,+38441.1-101798j,+18629.6-101938j,+19719.7+25.537j,+0+0j,+19722.6+4.58454j,+0+0j,+19721+1.04935j,+11700+9.09495e-09j,+31040.7+4.0219j,+31030+3.28293e-06j,+1.00108e-05+3.29469e-06j,+9.97913e-06+3.26866e-06j,+0+0j,+31532+212074j,+0+0j,+0+0j,+53526.4+16.5779j,-22243.7+211825j,+27140-1.26965e-09j,+0+0j,-22876.1+210931j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+249055-179851j,+703212-415275j,+394449-271152j,+286230-204937j,+31669.3+212252j
2016-05-06 06:00:00 PDT,+10600+2.96041e-09j,+0+0j,+709045-417591j,+0+0j,+0+0j,+0+0j,+709146-419975j,+5400-8.95852e-10j,+0+0j,+703595-423392j,+0+0j,+0+0j,+299541-156296j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44168.5+22110.2j,+0+0j,+44117.9+22059j,-1.20888e-05+1.43999e-05j,+0+0j,-1.20786e-05+1.44518e-05j,+0+0j,-1.20874e-05+1.44567e-05j,+0+0j,+0+0j,+0+0j,-1.20894e-05+1.44976e-05j,-1.21014e-05+1.44828e-05j,-1.21169e-05+1.44741e-05j,+0+0j,+0+0j,+17371.1-21390.5j,+219061-168917j,+0+0j,+17363.6-21398.1j,+7540-1.47656e-09j,+0+0j,+218876-169239j,+44205.5+22102.7j,+174527-191614j,+0+0j,+174382-191900j,+0+0j,+77649+55463.7j,+71602.4-209782j,+25336.8-209974j,+25193.4-210186j,+24787-210761j,+403662-271686j,+403643-272296j,+13960.7+1.65591j,+388907-274369j,+13960+9.05311e-09j,+22247.8-21493.5j,+365221-256706j,+12440-6.04814e-09j,+8.51761e-06-4.77761e-06j,+0+0j,+228607-418590j,+62919.7+212271j,+0+0j,+0+0j,+0+0j,+0+0j,+227695-419816j,+0+0j,+0+0j,+67908.4-231118j,+83462.3-101173j,+36583.2-231230j,+1.22434e-08-1.36574e-09j,+36332.7-231698j,+247.412-232167j,+124.656-232432j,+0+0j,+3.68163e-09-232682j,+0+0j,+77809.8-101539j,+0+0j,+40215.9-101689j,+18603.6-101835j,+21520.2+28.7266j,+0+0j,+21523.1+5.49352j,+0+0j,+21521.3+1.27747j,+12900+6.03904e-10j,+31530.9+4.36908j,+31520-4.8239e-06j,+1.30896e-05-4.82485e-06j,+1.309e-05-4.82908e-06j,+0+0j,+31081.5+211895j,+0+0j,+0+0j,+54997.3+17.5501j,-24164.5+211649j,+27910-1.70985e-09j,+0+0j,-24786.7+210761j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+254930-179180j,+719475-414008j,+403664-270696j,+292875-204615j,+31214.1+212071j
2016-05-06 07:00:00 PDT,+8560-1.26129e-08j,+0+0j,+630382-423943j,+0+0j,+0+0j,+0+0j,+630486-426052j,+3600-2.25305e-09j,+0+0j,+626791-429078j,+0+0j,+0+0j,+269062-159886j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44251.1+22151.5j,+0+0j,+44200.5+22100.2j,+1.22757e-05-1.19849e-05j,+0+0j,+1.22286e-05-1.19692e-05j,+0+0j,+1.2275e-05-1.19097e-05j,+0+0j,+0+0j,+0+0j,+1.22652e-05-1.18902e-05j,+1.22924e-05-1.18904e-05j,+1.22969e-05-1.19242e-05j,+0+0j,+0+0j,+15558.7-21396.7j,+194882-169728j,+0+0j,+15551.8-21403.7j,+5680-3.58432e-09j,+0+0j,+194718-170002j,+44303.6+22151.8j,+150284-192399j,+0+0j,+150157-192650j,+0+0j,+77834.7+55596.3j,+47090.3-210660j,+11793.3-210851j,+11652.6-211056j,+11255.6-211614j,+357410-273221j,+357394-273754j,+11920.5+1.20579j,+344801-275588j,+11920-3.678e-09j,+20020.6-21491.9j,+323537-257481j,+10160+7.82165e-10j,-4.76818e-06+4.10414e-06j,+0+0j,+196195-419975j,+53384+213070j,+0+0j,+0+0j,+0+0j,+0+0j,+195327-421131j,+0+0j,+0+0j,+50148-232085j,+68457.5-101520j,+27742.4-232199j,+7.11636e-09+2.86958e-08j,+27492.5-232675j,+251.728-233155j,+126.696-233419j,+0+0j,+2.34286e-09-233671j,+0+0j,+64613.2-101845j,+0+0j,+35860.3-101994j,+18810.2-102126j,+16959+21.1299j,+0+0j,+16962+3.4581j,+0+0j,+16960.8+0.851948j,+10560-3.42061e-09j,+24367.2+0.348175j,+24360+1.31717e-05j,-1.96877e-06+1.31473e-05j,-1.95165e-06+1.3156e-05j,+0+0j,+28706.7+212703j,+0+0j,+0+0j,+39128.7+8.8616j,-10646.2+212477j,+19870+6.4756e-10j,+0+0j,-11255.2+211614j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+224421-182708j,+638774-420774j,+357412-272358j,+250867-205260j,+28847.8+212881j
2016-05-06 08:00:00 PDT,+6390-6.18456e-09j,+0+0j,+535819-431207j,+0+0j,+0+0j,+0+0j,+535919-433058j,+1850+1.55297e-08j,+0+0j,+534025-435718j,+0+0j,+0+0j,+232400-164077j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44371+22211.5j,+0+0j,+44320.2+22160.1j,+6.65843e-06-5.38631e-06j,+0+0j,+6.67744e-06-5.37242e-06j,+0+0j,+6.64337e-06-5.37021e-06j,+0+0j,+0+0j,+0+0j,+6.68002e-06-5.33117e-06j,+6.66228e-06-5.32233e-06j,+6.62033e-06-5.3464e-06j,+0+0j,+0+0j,+13727.3-21409.5j,+165440-170612j,+0+0j,+13721-21416j,+3790-2.75031e-09j,+0+0j,+165300-170839j,+44445.8+22222.9j,+120737-193281j,+0+0j,+120629-193500j,+0+0j,+78103.5+55788.2j,+17161.1-211694j,-5155.53-211887j,-5295.17-212088j,-5687.47-212639j,+301372-275124j,+301361-275582j,+9610.35+0.782098j,+291178-277181j,+9610-3.50155e-09j,+17635-21497.9j,+272491-258629j,+7710+1.30754e-08j,-9.40786e-06+1.47512e-05j,+0+0j,+158351-421882j,+39786.9+214070j,+0+0j,+0+0j,+0+0j,+0+0j,+157525-422968j,+0+0j,+0+0j,+28844.5-233433j,+51448.6-101987j,+17058-233550j,+2.7886e-08+1.9906e-08j,+16806.8-234038j,+257.419-234529j,+129.403-234794j,+0+0j,+4.05998e-09-235049j,+0+0j,+49359.6-102269j,+0+0j,+31347.1-102416j,+19058-102536j,+12198.4+14.0234j,+0+0j,+12201.1+1.83063j,+0+0j,+12200.5+0.490685j,+8040-1.49485e-08j,+13022.8-2.35238j,+13020+8.98309e-06j,-8.26908e-06+8.981e-06j,-8.25751e-06+8.99607e-06j,+0+0j,+26448.5+213708j,+0+0j,+0+0j,+19952.3+2.30904j,+6291.02+213491j,+10170-3.29692e-09j,+0+0j,+5687.82+212638j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+187696-186855j,+542054-428427j,+301375-274381j,+199378-206223j,+26601.9+213891j
2016-05-06 09:00:00 PDT,+6000+1.59798e-09j,+0+0j,+486936-434967j,+0+0j,+0+0j,+0+0j,+487032-436719j,+1200+4.0942e-09j,+0+0j,+485809-439240j,+0+0j,+0+0j,+213111-166298j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44451.1+22251.6j,+0+0j,+44400.3+22200.1j,-1.89204e-06+1.29469e-06j,+0+0j,-1.89169e-06+1.32418e-06j,+0+0j,-1.89438e-06+1.33905e-06j,+0+0j,+0+0j,+0+0j,-1.88631e-06+1.37464e-06j,-1.88806e-06+1.38996e-06j,-1.90738e-06+1.38584e-06j,+0+0j,+0+0j,+13239.2-21420.7j,+149562-171055j,+0+0j,+13233-21426.9j,+3270+5.29008e-09j,+0+0j,+149436-171261j,+44540.2+22270.1j,+104784-193741j,+0+0j,+104685-193946j,+0+0j,+78281.4+55915.3j,+962.478-212258j,-14907.7-212455j,-15047.2-212656j,-15438.5-213207j,+272478-276203j,+272466-276631j,+9480.34+0.759974j,+262457-278125j,+9480-2.72121e-09j,+17279.5-21505.8j,+244212-259363j,+7320-6.32554e-09j,+2.31121e-05-2.08021e-06j,+0+0j,+139089-423057j,+30522.5+214639j,+0+0j,+0+0j,+0+0j,+0+0j,+138279-424116j,+0+0j,+0+0j,+16598.3-234285j,+44158-102260j,+11181.3-234404j,+6.86259e-09+2.5932e-08j,+10928.9-234901j,+259.847-235402j,+130.619-235668j,+0+0j,-1.10449e-08-235924j,+0+0j,+42719.2-102525j,+0+0j,+30436.4-102673j,+19187.6-102791j,+11158.3+12.5551j,+0+0j,+11160.9+1.5596j,+0+0j,+11160.4+0.442582j,+7650+7.95808e-10j,+6030.98-1.80782j,+6030-1.10888e-05j,+5.1216e-06-1.10751e-05j,+5.11718e-06-1.11032e-05j,+0+0j,+24170.6+214279j,+0+0j,+0+0j,+7930.37+0.377641j,+16041.4+214061j,+4120+1.38016e-09j,+0+0j,+15438.9+213207j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+168353-189073j,+492789-432337j,+272481-275509j,+170839-206845j,+24331.9+214464j
