# file...... underground_lines_power_in_C.csv
# date...... Fri Oct 27 14:52:41 2017
# user...... mast9
# host...... (null)
# group..... class= underground_line
# property.. power_in_C
# limit..... -1
# interval.. 3600
# timestamp,O60-62,O62-63,O63-64,O64-65,O65-66
2016-05-06 00:00:00 PDT,+139491+50427j,+97273.6+29377.2j,+97209.7+29364.3j,+97081.8+29338.5j,+35304.2+2.51005j
2016-05-06 01:00:00 PDT,+139870+50999.2j,+97587+29915.7j,+97524.4+29902.9j,+97399.1+29877.2j,+34963.9+2.45771j
2016-05-06 02:00:00 PDT,+140010+50998.9j,+97727.1+29915.7j,+97664.4+29902.8j,+97538.7+29877.1j,+35104+2.4775j
2016-05-06 03:00:00 PDT,+139590+50937.2j,+97348.6+29874.1j,+97286.3+29861.3j,+97161.4+29835.8j,+34773.8+2.43337j
2016-05-06 04:00:00 PDT,+139003+50852.2j,+96841.2+29828.9j,+96779.4+29816.2j,+96655.5+29790.9j,+34373.5+2.38211j
2016-05-06 05:00:00 PDT,+152339+50717.5j,+110255+29743.8j,+110176+29727.8j,+110018+29695.9j,+47866.3+4.63583j
2016-05-06 06:00:00 PDT,+174177+50549.1j,+132151+29624j,+132040+29601.9j,+131816+29557.6j,+69776.1+9.89419j
2016-05-06 07:00:00 PDT,+179163+50727.8j,+136946+29711.9j,+136827+29688.4j,+136589+29641.3j,+74303.4+11.1757j
2016-05-06 08:00:00 PDT,+174703+51034.5j,+132248+29894.9j,+132138+29872.9j,+131916+29829j,+69314.8+9.66361j
2016-05-06 09:00:00 PDT,+172264+51235.9j,+129677+30027.4j,+129570+30006.2j,+129357+29963.9j,+66590.4+8.88745j
2016-05-06 10:00:00 PDT,+168647+51336.1j,+125998+30093.1j,+125897+30073j,+125696+30032.9j,+62844.8+7.90007j
2016-05-06 11:00:00 PDT,+161699+51415j,+119021+30151.4j,+118931+30133.3j,+118750+30097.2j,+55855.3+6.23048j
2016-05-06 12:00:00 PDT,+159781+51431.4j,+117103+30166j,+117016+30148.4j,+116841+30113.3j,+53942.9+5.80962j
2016-05-06 13:00:00 PDT,+161064+51424.8j,+118390+30162.9j,+118301+30145j,+118122+30109.1j,+55234.5+6.09287j
2016-05-06 14:00:00 PDT,+171740+51194.3j,+129201+30009.5j,+129095+29988.4j,+128883+29946.4j,+66179.8+8.78771j
2016-05-06 15:00:00 PDT,+179790+50778.3j,+137553+29752.5j,+137433+29728.7j,+137192+29681.3j,+74884.3+11.3464j
2016-05-06 16:00:00 PDT,+144631+50763.4j,+102609+29814.5j,+102540+29800.4j,+102402+29772.3j,+40338.7+3.29407j
2016-05-06 17:00:00 PDT,+138144+50544.5j,+96335.2+29697.3j,+96273.6+29684.6j,+96149.9+29659.3j,+34353.6+2.39951j
2016-05-06 18:00:00 PDT,+145295+50306.9j,+103655+29549.9j,+103584+29535.5j,+103442+29506.6j,+41880.3+3.58412j
2016-05-06 19:00:00 PDT,+157614+50077.8j,+116142+29415.4j,+116054+29397.7j,+115877+29362.3j,+54564.7+6.11915j
2016-05-06 20:00:00 PDT,+160960+50197.2j,+119419+29502.9j,+119326+29484.3j,+119140+29447.1j,+57758.8+6.84795j
2016-05-06 21:00:00 PDT,+154637+50489.9j,+112839+29661.1j,+112756+29644.3j,+112590+29610.9j,+50849.9+5.26976j
2016-05-06 22:00:00 PDT,+148865+50747.3j,+106837+29798.5j,+106763+29783.3j,+106613+29753.1j,+44552.8+4.01981j
2016-05-06 23:00:00 PDT,+142523+50941.2j,+100307+29893.3j,+100242+29879.8j,+100109+29852.9j,+37776.3+2.87457j
2016-05-07 00:00:00 PDT,+141914+50968.1j,+99673+29907.2j,+99607.9+29893.9j,+99477.4+29867.2j,+37105.7+2.77154j
2016-05-07 01:00:00 PDT,+140826+50989.1j,+98562.3+29916.1j,+98498.6+29903.1j,+98370.8+29876.9j,+35964.8+2.60196j
2016-05-07 02:00:00 PDT,+141370+50987.5j,+99105.2+29914.5j,+99040.8+29901.3j,+98911.7+29874.9j,+36505.2+2.68086j
2016-05-07 03:00:00 PDT,+141187+50924.6j,+98968.8+29874.4j,+98904.5+29861.2j,+98775.6+29834.9j,+36425.1+2.672j
2016-05-07 04:00:00 PDT,+140447+50848.7j,+98305.2+29836.4j,+98241.6+29823.3j,+98114.2+29797.3j,+35864.7+2.59496j
2016-05-07 05:00:00 PDT,+136468+50847j,+94381.1+29859j,+94322.1+29846.8j,+94203.7+29822.5j,+32031.7+2.07165j
2016-05-07 06:00:00 PDT,+141555+50816.6j,+99501.4+29849.3j,+99436.3+29836j,+99305.6+29809.3j,+37195.9+2.79752j
2016-05-07 07:00:00 PDT,+132964+51149.7j,+90665.7+30053.5j,+90611.1+30042.2j,+90501.5+30019.6j,+28059+1.5809j
