# file...... underground_lines_power_in_A.csv
# date...... Fri Oct 27 14:52:41 2017
# user...... mast9
# host...... (null)
# group..... class= underground_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O60-62,O62-63,O63-64,O64-65,O65-66
2016-06-03 00:00:00 PDT,+58659.7+47666.2i,+58608.5+47656.1i,+45562.7+47649.2i,+45508.6+47639i,+6.11542e-09+3.20307e-09i
2016-06-03 01:00:00 PDT,+60075.7+48908.2i,+60022.3+48899i,+47865.1+48892.8i,+47806.9+48883.2i,-1.40871e-08-7.39362e-10i
2016-06-03 02:00:00 PDT,+60091.4+48913i,+60038+48903.8i,+47870.8+48897.6i,+47812.6+48888i,-2.03394e-08+6.75873e-11i
2016-06-03 03:00:00 PDT,+59668+48885.9i,+59615+48876.8i,+47838.1+48870.7i,+47780+48861.1i,+4.11155e-09-2.79896e-11i
2016-06-03 04:00:00 PDT,+60912.3+48808.3i,+60858+48799i,+47780.1+48792.7i,+47722+48783.1i,+3.11599e-09-8.17614e-10i
2016-06-03 05:00:00 PDT,+62995.7+48662.4i,+62939.2+48652.6i,+47669.7+48645.9i,+47611.8+48636.2i,-1.45736e-08+2.26189e-09i
2016-06-03 06:00:00 PDT,+64611.1+48599.3i,+64552.7+48588.9i,+47632.1+48581.9i,+47574.3+48572i,-8.35815e-10+1.14768e-09i
2016-06-03 07:00:00 PDT,+62406.9+48821.1i,+62351.1+48811.1i,+47812.2+48804.3i,+47754.2+48794.2i,+3.9872e-09+2.19095e-10i
2016-06-03 08:00:00 PDT,+60274.8+49056i,+60221.3+49046.5i,+48014+49040i,+47955.7+49029.9i,-5.76227e-10+5.57519e-10i
2016-06-03 09:00:00 PDT,+60358.7+49184.1i,+60305.1+49174.5i,+48147.7+49168.1i,+48089.2+49158i,+1.32453e-11-3.45489e-09i
2016-06-03 10:00:00 PDT,+60431.8+49203.8i,+60378.1+49194.2i,+48170.7+49187.8i,+48112.1+49177.7i,+1.70545e-08-9.22755e-11i
2016-06-03 11:00:00 PDT,+60170.3+49216.7i,+60116.8+49207.2i,+48179.6+49200.9i,+48121+49190.9i,-1.4893e-08+2.36175e-09i
2016-06-03 12:00:00 PDT,+60795.7+49173.6i,+60741.6+49164.1i,+48163.9+49157.7i,+48105.3+49147.7i,-2.23614e-08-3.52561e-10i
2016-06-03 13:00:00 PDT,+61380.4+49065.8i,+61325.7+49056.1i,+48067.5+49049.6i,+48009.1+49039.6i,-1.51422e-08+9.28301e-10i
2016-06-03 14:00:00 PDT,+61992.9+48871.5i,+61937.5+48861.6i,+47888.9+48854.9i,+47830.8+48844.9i,+1.76972e-08-2.8481e-09i
2016-06-03 15:00:00 PDT,+64164.7+48528.1i,+64106.9+48517.7i,+47586.6+48510.7i,+47528.9+48500.6i,-8.18676e-09-2.02543e-09i
2016-06-03 16:00:00 PDT,+67680.6+48284i,+67618.4+48273.2i,+47385.1+48265.9i,+47327.6+48256.3i,-5.11476e-09+6.94784e-10i
2016-06-03 17:00:00 PDT,+69697.7+48060.3i,+69633+48049.2i,+47197.9+48041.6i,+47140.6+48032.2i,-4.06693e-09-1.08227e-09i
2016-06-03 18:00:00 PDT,+71709.6+47941.6i,+71642.3+47929.9i,+47105.4+47922i,+47048.3+47912.5i,-2.41182e-09-1.23569e-09i
2016-06-03 19:00:00 PDT,+74511.7+47760.8i,+74440.7+47748.4i,+46971.2+47740i,+46914.3+47730.4i,+1.82801e-08+4.30386e-10i
2016-06-03 20:00:00 PDT,+77067.6+47759.2i,+76993+47746.1i,+47011.1+47737.2i,+46954.1+47727.6i,+6.39657e-09-8.69006e-10i
2016-06-03 21:00:00 PDT,+72748.7+48106.1i,+72680.1+48094.1i,+47282.3+48085.9i,+47224.9+48076.3i,-1.02382e-08+3.05918e-10i
2016-06-03 22:00:00 PDT,+67872.3+48456.4i,+67810+48445.6i,+47546.6+48438.2i,+47488.8+48428.6i,-1.51624e-09-2.08618e-09i
2016-06-03 23:00:00 PDT,+63076.7+48753.9i,+63020+48744.1i,+47760.5+48737.5i,+47702.5+48727.8i,+1.21961e-08-1.16581e-10i
2016-06-04 00:00:00 PDT,+61802.8+48809.3i,+61747.6+48799.7i,+47809.1+48793.3i,+47750.9+48783.6i,+5.09555e-09-1.07267e-09i
2016-06-04 01:00:00 PDT,+60942.6+48854.8i,+60888.3+48845.4i,+47840.5+48839.1i,+47782.3+48829.4i,+9.35128e-10-2.80966e-09i
2016-06-04 02:00:00 PDT,+60559.8+48866.9i,+60505.9+48857.6i,+47848.3+48851.3i,+47790.1+48841.7i,-9.91338e-09-1.00259e-09i
2016-06-04 03:00:00 PDT,+60540.3+48827.8i,+60486.5+48818.4i,+47808.9+48812.2i,+47750.8+48802.6i,-5.92421e-09-2.84004e-10i
2016-06-04 04:00:00 PDT,+61785.5+48745.5i,+61730.3+48735.9i,+47751.8+48729.5i,+47693.7+48719.9i,-2.76679e-08+6.30541e-11i
2016-06-04 05:00:00 PDT,+63889.1+48600.6i,+63831.4+48590.7i,+47641.3+48584i,+47583.3+48574.5i,-3.11902e-09+1.72792e-09i
2016-06-04 06:00:00 PDT,+65932+48531.4i,+65872+48521.1i,+47610.2+48514.1i,+47552.3+48504.5i,-1.25074e-08-2.48472e-09i
2016-06-04 07:00:00 PDT,+63348.2+48800.5i,+63291.1+48790.7i,+47841.4+48784.1i,+47783.2+48774.6i,+1.26861e-08-1.67062e-09i
2016-06-04 08:00:00 PDT,+61224.4+49037.8i,+61169.7+49028.5i,+48041.6+49022.2i,+47983.1+49012.6i,-9.64663e-09+3.17011e-09i
2016-06-04 09:00:00 PDT,+60842.2+49183.4i,+60787.9+49174.1i,+48180.1+49167.9i,+48121.4+49158.3i,+2.88045e-10-1.15686e-09i
2016-06-04 10:00:00 PDT,+60922.7+49203.9i,+60868.4+49194.6i,+48200.5+49188.4i,+48141.8+49178.8i,-6.77506e-09+5.25194e-10i
2016-06-04 11:00:00 PDT,+61089.7+49198.4i,+61035.1+49189.1i,+48197.2+49182.8i,+48138.4+49173.3i,-1.27085e-08-7.0668e-10i
2016-06-04 12:00:00 PDT,+61258.7+49183.7i,+61204+49174.3i,+48185.8+49168.1i,+48127.1+49158.5i,-3.73327e-09+1.08875e-09i
2016-06-04 13:00:00 PDT,+61915.9+49096.7i,+61860.5+49087.2i,+48111.9+49080.9i,+48053.2+49071.3i,-1.02897e-09+3.68919e-09i
2016-06-04 14:00:00 PDT,+63020.1+48926.1i,+62963.4+48916.5i,+47963.9+48909.9i,+47905.5+48900.4i,-7.72236e-09+3.04769e-09i
2016-06-04 15:00:00 PDT,+65297.8+48556.6i,+65238.5+48546.5i,+47637.2+48539.7i,+47579.3+48530.2i,+1.74881e-09-2.61373e-09i
2016-06-04 16:00:00 PDT,+69081.2+48100.3i,+69017.3+48089.3i,+47252.7+48081.9i,+47195.3+48072.5i,+1.49644e-08-5.26167e-09i
2016-06-04 17:00:00 PDT,+71106.5+47863.3i,+71040+47851.8i,+47053.6+47844i,+46996.5+47834.6i,-1.32083e-08+1.89362e-09i
2016-06-04 18:00:00 PDT,+73193.1+47758.8i,+73123.8+47746.9i,+46985.5+47738.7i,+46928.5+47729.3i,+2.695e-09-2.21273e-09i
2016-06-04 19:00:00 PDT,+76351.9+47587.6i,+76278.3+47574.8i,+46867+47566.1i,+46810.2+47556.6i,+3.29993e-08-3.7432e-09i
2016-06-04 20:00:00 PDT,+78493.9+47597.5i,+78417.3+47584i,+46913.9+47574.9i,+46857+47565.3i,-1.04951e-08-1.61594e-09i
2016-06-04 21:00:00 PDT,+74061.2+47976.6i,+73990.8+47964.3i,+47211.8+47955.9i,+47154.6+47946.2i,-9.11129e-09+3.36021e-09i
2016-06-04 22:00:00 PDT,+69211+48355.9i,+69147+48344.7i,+47502.4+48337.2i,+47444.7+48327.5i,-1.25675e-08-1.04062e-10i
2016-06-04 23:00:00 PDT,+63564.6+48692.4i,+63507.3+48682.5i,+47737.4+48675.8i,+47679.4+48666.1i,+4.03088e-09+3.46183e-09i
2016-06-05 00:00:00 PDT,+61802.9+48809.3i,+61747.6+48799.7i,+47809.1+48793.3i,+47751+48783.7i,-3.25166e-09+9.04707e-10i
