# file...... nodes_voltage_A.csv
# date...... Fri Oct 27 14:52:42 2017
# user...... mast9
# host...... (null)
# group..... class= node
# property.. voltage_A
# limit..... -1
# interval.. 3600
# timestamp,Node3,Node8,Node13,Node14,Node1401,Node15,Node18,Node21,Node23,Node25,Node26,Node2601,Node27,Node36,Node40,Node44,Node54,Node57,Node61,Node67,Node6701,Node72,Node78,Node81,Node89,Node91,Node93,Node97,Node101,Node105,Node108,Node110,Node135,Node149,Node1491,Node150,Node151,Node152,Node160,Node195,Node197,Node250,Node251,Node300,Node350,Node450,Node451,Node610,Node611
2016-08-05 00:00:00 PDT,+0+0j,+2468.89-46.419i,+2457.77-59.7891i,+2446.61-48.7489i,+2450.71-47.4154i,+0+0j,+2448.21-75.8315i,+2445.83-77.5666i,+2443.93-79.4175i,+2441.61-81.5034i,+2440.61-82.4275i,+2441.61-81.5026i,+2439.74-83.1642i,+2445.78-81.3315i,+2448.61-82.3584i,+2449.67-86.6149i,+2439.35-76.1352i,+2424.83-80.1607i,+2393.96-89.4729i,+2501.26-97.5733i,+2513.64-93.9152i,+2496.36-98.5968i,+2495.58-102.279i,+2505.71-106.214i,+2459.04-87.4285i,+2453.61-85.098i,+2448.1-83.2901i,+2496.96-98.3193i,+2492.58-98.6816i,+2487.25-99.1598i,+2481.18-100.053i,+2471.82-104.219i,+2448.2-75.8296i,+2506.8+0.0293863i,+2506.81+0.00564283i,+2401.78-0.00072293i,+2468.8-96.079i,+2457.76-59.7754i,+2393.96-89.4572i,+2448.03-83.187i,+2496.96-98.3121i,+2439.99-83.1713i,+2439.99-83.1713i,+2468.8-96.0836i,+2468.8-96.0836i,+2498.13-98.8256i,+2498.13-98.8256i,+276.226-10.3238j,+2393.96-89.4729i
2016-08-05 01:00:00 PDT,+0+0j,-83.796-2493.49i,-101.324-2491.51i,-87.1425-2473.77i,-84.9564-2476.11i,+0+0j,-120.706-2499.27i,-122.755-2500.28i,-124.873-2501.2i,-127.246-2501.99i,-128.338-2503.02i,-127.248-2501.99i,-129.202-2503.76i,-127.959-2498.07i,-129.161-2502.59i,-134.766-2505.91i,-123.855-2479.6i,-128.95-2466.77i,-139.893-2439.89i,-150.05-2551.79i,-146.865-2561.87i,-151.23-2547.74i,-155.299-2547.57i,-159.717-2557.71i,-138.484-2502.85i,-135.489-2496.36i,-133.016-2489.8i,-150.557-2548.41i,-150.705-2544.95i,-150.938-2540.64i,-151.515-2535.77i,-156.964-2529.6i,-120.707-2499.26i,-25.2311-2501.57i,-25.2416-2501.6i,-24.1707-2396.77i,-146.607-2524.24i,-101.315-2491.5i,-139.881-2439.89i,-132.924-2489.74i,-150.55-2548.42i,-129.036-2501.43i,-129.036-2501.43i,-146.612-2524.24i,-146.612-2524.24i,-151.071-2549.63i,-151.071-2549.63i,-16.1415-281.526j,-139.893-2439.89i
2016-08-05 02:00:00 PDT,+0+0j,-83.4838-2493.6i,-100.939-2491.66i,-86.8226-2473.89i,-84.636-2476.23i,+0+0j,-120.274-2499.4i,-122.326-2500.39i,-124.446-2501.3i,-126.822-2502.09i,-127.914-2503.11i,-126.823-2502.09i,-128.778-2503.85i,-127.502-2498.21i,-128.687-2502.74i,-134.267-2506.09i,-123.355-2479.82i,-128.431-2466.99i,-139.33-2440.13i,-149.443-2552.04i,-146.274-2562.13i,-150.638-2547.99i,-154.731-2547.82i,-159.157-2557.94i,-137.945-2503.09i,-134.962-2496.6i,-132.5-2490.03i,-149.948-2548.67i,-150.1-2545.2i,-150.337-2540.9i,-150.911-2536.03i,-156.331-2529.89i,-120.275-2499.39i,-25.1846-2501.57i,-25.1949-2501.6i,-24.1259-2396.77i,-146.04-2524.47i,-100.931-2491.65i,-139.318-2440.13i,-132.409-2489.97i,-149.941-2548.68i,-128.614-2501.51i,-128.614-2501.51i,-146.045-2524.47i,-146.045-2524.47i,-150.459-2549.9i,-150.459-2549.9i,-16.0765-281.554j,-139.33-2440.13i
2016-08-05 03:00:00 PDT,+0+0j,-84.0541-2493.43i,-101.65-2491.44i,-87.421-2473.68i,-85.2352-2476.02i,+0+0j,-121.031-2499.27i,-123.074-2500.31i,-125.188-2501.25i,-127.56-2502.06i,-128.652-2503.08i,-127.562-2502.06i,-129.516-2503.82i,-128.308-2498.06i,-129.511-2502.58i,-135.125-2505.88i,-124.315-2479.46i,-129.418-2466.61i,-140.374-2439.73i,-150.574-2551.62i,-147.37-2561.7i,-151.733-2547.59i,-155.745-2547.43i,-160.113-2557.61i,-138.987-2502.69i,-135.981-2496.21i,-133.499-2489.65i,-151.078-2548.24i,-151.208-2544.79i,-151.424-2540.47i,-152.001-2535.61i,-157.467-2529.41i,-121.031-2499.27i,-25.1701-2501.57i,-25.1808-2501.59i,-24.1124-2396.77i,-147.039-2524.13i,-101.641-2491.43i,-140.362-2439.73i,-133.41-2489.59i,-151.071-2548.24i,-129.341-2501.53i,-129.341-2501.53i,-147.044-2524.13i,-147.044-2524.13i,-151.591-2549.42i,-151.591-2549.42i,-16.1971-281.507j,-140.374-2439.73i
2016-08-05 04:00:00 PDT,+0+0j,-86.697-2492.28i,-104.994-2489.98i,-90.1537-2472.42i,-87.9715-2474.76i,+0+0j,-124.836-2497.93i,-126.855-2499.09i,-128.948-2500.13i,-131.306-2501i,-132.398-2502.03i,-131.308-2501i,-133.262-2502.77i,-132.34-2496.58i,-133.669-2501i,-139.487-2504.12i,-128.782-2477.28i,-134.078-2464.35i,-145.459-2437.29i,-156.037-2549.03i,-152.709-2559.14i,-157.07-2545.08i,-160.905-2544.92i,-165.265-2555.23i,-143.826-2500.28i,-140.709-2493.87i,-138.122-2487.34i,-156.555-2545.63i,-156.633-2542.23i,-156.803-2537.89i,-157.404-2533.04i,-163.129-2526.53i,-124.836-2497.92i,-25.2057-2501.57i,-25.2175-2501.59i,-24.1477-2396.77i,-152.067-2521.84i,-104.984-2489.97i,-145.447-2437.28i,-138.025-2487.28i,-156.548-2545.64i,-133.054-2500.64i,-133.054-2500.64i,-152.072-2521.84i,-152.072-2521.84i,-157.078-2546.69i,-157.078-2546.69i,-16.7838-281.225j,-145.459-2437.29i
2016-08-05 05:00:00 PDT,+0+0j,-89.2566-2491.15i,-108.265-2488.53i,-92.7649-2471.22i,-90.586-2473.56i,+0+0j,-128.744-2496.41i,-130.745-2497.65i,-132.824-2498.76i,-135.172-2499.68i,-136.261-2500.74i,-135.174-2499.68i,-137.126-2501.47i,-136.478-2494.91i,-137.98-2499.25i,-144.05-2502.2i,-133.1-2475.25i,-138.628-2462.27i,-150.537-2435.11i,-161.487-2546.66i,-158.04-2556.85i,-162.42-2542.74i,-166.214-2542.56i,-170.733-2552.92i,-148.506-2498.03i,-145.276-2491.68i,-142.58-2485.17i,-162.036-2543.25i,-162.111-2539.86i,-162.283-2535.47i,-162.922-2530.59i,-168.945-2523.72i,-128.744-2496.4i,-25.3384-2501.56i,-25.3513-2501.59i,-24.276-2396.77i,-157.275-2519.55i,-108.255-2488.52i,-150.525-2435.11i,-142.459-2485.09i,-162.029-2543.25i,-136.905-2499.38i,-136.905-2499.38i,-157.28-2519.55i,-157.28-2519.55i,-162.576-2544.25i,-162.576-2544.25i,-17.3697-280.974j,-150.537-2435.11i
2016-08-05 06:00:00 PDT,+0+0j,-90.8786-2490.83i,-110.353-2488.14i,-94.4099-2470.86i,-92.233-2473.2i,+0+0j,-131.306-2496i,-133.301-2497.27i,-135.374-2498.42i,-137.718-2499.35i,-138.804-2500.43i,-137.719-2499.35i,-139.669-2501.17i,-139.188-2494.44i,-140.811-2498.76i,-147.057-2501.64i,-135.827-2474.82i,-141.511-2461.93i,-153.784-2434.98i,-164.979-2546.37i,-161.45-2556.71i,-165.869-2542.42i,-169.713-2542.19i,-174.427-2552.55i,-151.474-2497.58i,-148.174-2491.22i,-145.408-2484.7i,-165.556-2542.91i,-165.648-2539.49i,-165.84-2535.04i,-166.511-2530.09i,-172.738-2522.97i,-131.306-2495.99i,-25.4476-2501.54i,-25.4611-2501.57i,-24.3813-2396.75i,-160.69-2518.99i,-110.342-2488.13i,-153.771-2434.98i,-145.266-2484.61i,-165.55-2542.92i,-139.447-2499.07i,-139.447-2499.07i,-160.695-2518.99i,-160.695-2518.99i,-166.11-2543.9i,-166.11-2543.9i,-17.7443-280.959j,-153.784-2434.98i
2016-08-05 07:00:00 PDT,+0+0j,-85.8291-2493.63i,-103.868-2491.75i,-89.2207-2473.85i,-87.0369-2476.19i,+0+0j,-123.74-2499.61i,-125.783-2500.65i,-127.896-2501.59i,-130.266-2502.41i,-131.357-2503.45i,-130.268-2502.41i,-132.221-2504.18i,-131.137-2498.4i,-132.436-2502.94i,-138.194-2506.26i,-127.102-2480.12i,-132.349-2467.51i,-143.645-2441.15i,-154.075-2552.86i,-150.805-2563.2i,-155.229-2548.73i,-159.392-2548.46i,-164.075-2558.58i,-142.009-2503.47i,-138.942-2496.95i,-136.397-2490.34i,-154.603-2549.4i,-154.758-2545.87i,-155.002-2541.46i,-155.606-2536.48i,-161.261-2530.06i,-123.741-2499.6i,-25.5254-2501.55i,-25.5366-2501.57i,-24.4534-2396.75i,-150.49-2524.77i,-103.859-2491.74i,-143.633-2441.15i,-136.288-2490.27i,-154.596-2549.41i,-132.05-2501.87i,-132.05-2501.87i,-150.495-2524.76i,-150.495-2524.76i,-155.125-2550.59i,-155.125-2550.59i,-16.5745-281.672j,-143.645-2441.15i
2016-08-05 08:00:00 PDT,+0+0j,-79.7185-2496.25i,-96.1204-2495.08i,-82.9441-2476.68i,-80.7522-2479.02i,+0+0j,-114.756-2502.81i,-116.853-2503.58i,-119.013-2504.31i,-121.413-2504.99i,-122.508-2505.98i,-121.415-2504.99i,-123.373-2506.72i,-121.603-2501.95i,-122.54-2506.7i,-127.752-2510.45i,-116.82-2485i,-121.579-2472.58i,-131.787-2446.57i,-141.329-2558.64i,-138.354-2568.89i,-142.768-2554.37i,-147.254-2554.08i,-151.854-2563.91i,-130.868-2508.87i,-128.064-2502.21i,-125.768-2495.54i,-141.81-2555.22i,-142.033-2551.59i,-142.329-2547.28i,-142.85-2542.3i,-147.841-2536.67i,-114.757-2502.8i,-25.2882-2501.58i,-25.2967-2501.6i,-24.2233-2396.77i,-138.528-2530.05i,-96.1127-2495.07i,-131.775-2446.57i,-125.696-2495.49i,-141.803-2555.23i,-123.259-2504.17i,-123.259-2504.17i,-138.533-2530.05i,-138.533-2530.05i,-142.334-2556.66i,-142.334-2556.66i,-15.2062-282.297j,-131.787-2446.57i
2016-08-05 09:00:00 PDT,+0+0j,-76.214-2497.44i,-91.7578-2496.56i,-79.3342-2477.99i,-77.1378-2480.34i,+0+0j,-109.867-2504.03i,-112.002-2504.63i,-114.192-2505.21i,-116.612-2505.81i,-117.709-2506.78i,-116.613-2505.81i,-118.573-2507.52i,-116.414-2503.34i,-117.174-2508.21i,-122.111-2512.19i,-111.062-2487.27i,-115.594-2474.92i,-125.302-2449.07i,-134.342-2561.31i,-131.546-2571.51i,-135.958-2556.93i,-140.732-2556.59i,-145.434-2566.18i,-124.635-2511.39i,-121.972-2504.64i,-119.806-2497.95i,-134.806-2557.92i,-135.096-2554.21i,-135.447-2549.96i,-135.928-2544.98i,-140.582-2539.74i,-109.869-2504.02i,-24.9921-2501.6i,-24.9991-2501.62i,-23.9381-2396.79i,-132.065-2532.4i,-91.751-2496.56i,-125.291-2449.07i,-119.744-2497.9i,-134.799-2557.92i,-118.505-2504.77i,-118.505-2504.77i,-132.071-2532.4i,-132.071-2532.4i,-135.34-2559.55i,-135.34-2559.55i,-14.458-282.585j,-125.302-2449.07i
