# file...... Overhead_lines_power_in_B.csv
# date...... Fri Oct 27 14:52:42 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-09-02 00:00:00 PDT,+6960.34+0.344833j,-0+0j,+715520+50223.9j,+0+0j,+0+0j,+0+0j,+715284+47354.2j,+3600.12+0.118849j,-0+0j,+711519+45438.7j,+0+0j,-0+0j,+295400+9300.84j,+0+0j,+0+0j,+0+0j,+0+0j,-0+0j,+43132.7+21610j,+0+0j,+43142.2+21596.5j,-1.00202e-06+5.17691e-06j,-0+0j,-1.03835e-06+5.20588e-06j,+0+0j,-1.01481e-06+5.25911e-06j,+0+0j,+0+0j,+0+0j,-1.02857e-06+5.25785e-06j,-9.94487e-07+5.28871e-06j,-1.01339e-06+5.30323e-06j,+0+0j,+0+0j,+25983.2+9893.73j,+212838-31874j,-0+0j,+25987+9877.8j,+4980.33+0.331127j,-0+0j,+212683-32088.4j,+42944+21496j,+169585-53800.2j,-0+0j,+169516-53903j,+0+0j,+75157.2+53696.2j,+57289.1-132631j,+25957.9-132700j,+25898.5-132756j,+25832-132821j,+415355+32065.5j,+415227+31428.8j,+9119.73+1.69334j,+406017+31026j,+9120.32+0.728895j,+29163.3+9865.48j,+376336+19596.2j,+8160.68+0.684561j,+2.8526e-06+2.72551e-06j,-0+0j,+220398-177297j,+39031.6+133459j,+0+0j,+0+0j,+0+0j,-0+0j,+219959-177962j,+0+0j,+0+0j,+47569.2-218780j,+86835.4-34634.2j,+25715.9-219212j,-1.02036e-09-1.80113e-08j,+25662.1-219317j,+449.284-219753j,+244.144-220192j,-0+0j,+122.746-220434j,+0+0j,+83092.2-35031.5j,-0+0j,+56918.3-35269.4j,+42710.4-35398.5j,+14158.5+28.3006j,-0+0j,+14158.8+14.9375j,-0+0j,+14161.4+2.51762j,+8460.57+0.582473j,+25270.2+1.33924j,+25268+1.05568j,-8.96205e-07+1.52701e-05j,-9.14952e-07+1.52385e-05j,-0+0j,+13627+133369j,+0+0j,+0+0j,+38832.7+22.9586j,-25247.9+133316j,+19659+9.08986j,-0+0j,-25345.7+133281j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+251934-14051.8j,+722886+53803.3j,+415562+33324j,+259523-43031.7j,+13688.5+133413j
2016-09-02 01:00:00 PDT,+6460.29+0.295817j,+0+0j,+601623-423008j,+0+0j,+0+0j,+0+0j,+601747-426107j,+3300.1+0.0984037j,+0+0j,+598523-428170j,+0+0j,+0+0j,+258373-159766j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44293.8+22166.3j,+0+0j,+44282+22167j,+1.36038e-05+5.10986e-07j,+0+0j,+1.36118e-05+5.32795e-07j,+0+0j,+1.36628e-05+6.01004e-07j,+0+0j,+0+0j,+0+0j,+1.362e-05+5.6534e-07j,+1.36409e-05+5.74782e-07j,+1.36181e-05+5.4115e-07j,+0+0j,+0+0j,+14492.7-21379.8j,+186745-169677j,+0+0j,+14489.3-21403.2j,+4600.27+0.273524j,+0+0j,+186585-169940j,+44391.6+22220.6j,+142034-192425j,+0+0j,+141952-192616j,+0+0j,+77925.6+55674.7j,+38806.3-210715j,+9047.33-210916j,+8913.29-211110j,+8766.7-211316j,+340050-273084j,+340037-273932j,+8499.69+1.45422j,+331520-274458j,+8500.27+0.612632j,+17456.7-21495.2j,+313410-254787j,+7580.56+0.567526j,+1.71319e-06-1.72774e-06j,+0+0j,+184568-419343j,+54824.9+213560j,+0+0j,+0+0j,+0+0j,+0+0j,+183498-420764j,+0+0j,+0+0j,+45454.1-232068j,+61013.7-101243j,+24583.7-232531j,+2.49554e-09-6.21417e-09j,+24527.5-232644j,+475.014-233117j,+256.92-233594j,+0+0j,+129.054-233856j,+0+0j,+57330.2-101730j,+0+0j,+32231.6-102032j,+18952.1-102204j,+13118+29.3486j,+0+0j,+13118.5+15.2428j,+0+0j,+13121.1+2.02665j,+7860.46+0.470842j,+24599.4+0.440449j,+24597.3+0.42764j,-7.19066e-06+5.28833e-07j,-7.21745e-06+5.04597e-07j,+0+0j,+29853.4+213173j,+0+0j,+0+0j,+37209.8+20.0601j,-7505.91+212968j,+18827.8+7.9371j,+0+0j,-7722.32+212756j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+213728-183294j,+607903-419074j,+340031-271366j,+239771-204692j,+30024.9+213366j
2016-09-02 02:00:00 PDT,+6460.29+0.295812j,+0+0j,+598991-423240j,+0+0j,+0+0j,+0+0j,+599116-426329j,+3300.1+0.0983997j,+0+0j,+595891-428386j,+0+0j,+0+0j,+257298-159900j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44297.7+22168.4j,+0+0j,+44286.1+22169.1j,+8.5589e-06+5.04423e-06j,+0+0j,+8.52466e-06+5.06169e-06j,+0+0j,+8.48203e-06+5.04383e-06j,+0+0j,+0+0j,+0+0j,+8.54916e-06+5.05989e-06j,+8.55041e-06+5.09941e-06j,+8.52786e-06+5.14093e-06j,+0+0j,+0+0j,+14494.6-21380.3j,+185840-169704j,+0+0j,+14491.2-21403.7j,+4600.27+0.273496j,+0+0j,+185682-169965j,+44396.5+22223.1j,+141126-192452j,+0+0j,+141045-192642j,+0+0j,+77934.9+55681.5j,+37885.7-210747j,+8536.97-210947j,+8402.8-211141j,+8256.27-211347j,+338495-273149j,+338482-273993j,+8499.69+1.45408j,+329965-274518j,+8500.27+0.61259j,+17458.7-21495.5j,+311856-254838j,+7580.56+0.567476j,-1.42236e-05+1.99765e-06j,+0+0j,+183529-419403j,+54304+213588j,+0+0j,+0+0j,+0+0j,+0+0j,+182460-420823j,+0+0j,+0+0j,+44713.9-232111j,+60700.7-101258j,+24244.2-232574j,+6.6136e-09+7.78684e-09j,+24188-232688j,+475.609-233161j,+257.017-233638j,+0+0j,+129.102-233900j,+0+0j,+57017.3-101743j,+0+0j,+32238.7-102044j,+18959.3-102217j,+13118+29.3478j,+0+0j,+13118.5+15.2368j,+0+0j,+13121.1+2.02625j,+7860.46+0.470752j,+24279.3+0.237449j,+24277.2+0.288045j,+1.05559e-05-3.33135e-06j,+1.05484e-05-3.34514e-06j,+0+0j,+29652.7+213202j,+0+0j,+0+0j,+36499+19.2975j,-6996.28+212998j,+18467.5+7.63497j,+0+0j,-7212.38+212786j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+212652-183426j,+605271-419319j,+338477-271437j,+238209-204729j,+29824.1+213395j
2016-09-02 03:00:00 PDT,+6330.28+0.284057j,+0+0j,+612391-421997j,+0+0j,+0+0j,+0+0j,+612509-425133j,+3350.1+0.101431j,+0+0j,+609230-427221j,+0+0j,+0+0j,+262732-159198j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44273.4+22155.6j,+0+0j,+44261.1+22156.5j,-6.31704e-06+4.74286e-06j,+0+0j,-6.35802e-06+4.73174e-06j,+0+0j,-6.32608e-06+4.78366e-06j,+0+0j,+0+0j,+0+0j,-6.36396e-06+4.76935e-06j,-6.31787e-06+4.78414e-06j,-6.35142e-06+4.76641e-06j,+0+0j,+0+0j,+14456.5-21376j,+190418-169555j,+0+0j,+14453.2-21399.4j,+4570.27+0.270106j,+0+0j,+190254-169824j,+44366.8+22208.2j,+145723-192302j,+0+0j,+145640-192496j,+0+0j,+77879.1+55641.5j,+42553.4-210572j,+11448.5-210773j,+11314.8-210966j,+11167.8-211173j,+346385-272766j,+346370-273626j,+8229.69+1.37096j,+338122-274160j,+8230.26+0.574546j,+17279.8-21492.4j,+320174-254521j,+7410.54+0.542605j,-8.07748e-06+1.68605e-05j,+0+0j,+188796-419040j,+57381.5+213427j,+0+0j,+0+0j,+0+0j,+0+0j,+187720-420464j,+0+0j,+0+0j,+48544.9-231853j,+62207.1-101173j,+26021.8-232316j,-7.58478e-09-7.66489e-09j,+25965.5-232428j,+472.634-232899j,+256.628-233373j,+0+0j,+128.887-233634j,+0+0j,+58473.4-101665j,+0+0j,+32004.8-101970j,+18925.4-102141j,+12918.1+28.8309j,+0+0j,+12918.5+14.9815j,+0+0j,+12921.1+1.96001j,+7680.44+0.449929j,+26250.4+1.57167j,+26248.1+1.20306j,-6.20636e-06+2.55964e-07j,-6.18412e-06+2.77872e-07j,+0+0j,+30758.5+213037j,+0+0j,+0+0j,+40513.5+23.7807j,-9902.47+212828j,+20479.3+9.39831j,+0+0j,-10120.4+212616j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+218090-182733j,+618544-418021j,+346364-271020j,+246564-204495j,+30930.5+213231j
2016-09-02 04:00:00 PDT,+6860.33+0.333698j,+0+0j,+653632-418299j,+0+0j,+0+0j,+0+0j,+653746-421618j,+3700.12+0.123802j,+0+0j,+650112-423828j,+0+0j,+0+0j,+279087-157115j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44218.9+22126.6j,+0+0j,+44204.9+22128.4j,-6.86657e-06-1.32198e-06j,+0+0j,-6.85898e-06-1.31334e-06j,+0+0j,-6.8869e-06-1.30209e-06j,+0+0j,+0+0j,+0+0j,-6.87786e-06-1.29574e-06j,-6.90584e-06-1.33748e-06j,-6.92214e-06-1.31155e-06j,+0+0j,+0+0j,+14851.5-21368.8j,+203732-169129j,+0+0j,+14848.1-21392.5j,+4990.32+0.322495j,+0+0j,+203555-169420j,+44299.2+22174.4j,+159079-191888j,+0+0j,+158988-192095j,+0+0j,+77751.2+55550.2j,+56080.6-210100j,+19181.4-210307j,+19049.1-210499j,+18901.1-210708j,+370889-271750j,+370873-272667j,+8859.71+1.57273j,+361993-273238j,+8860.3+0.666513j,+17862.6-21488.5j,+343409-253717j,+8020.63+0.636417j,-1.27927e-05+2.13705e-05j,+0+0j,+205478-418133j,+64013.8+213002j,+0+0j,+0+0j,+0+0j,+0+0j,+204377-419581j,+0+0j,+0+0j,+58845.4-231225j,+68778.4-100935j,+31193.2-231691j,+3.49248e-09+2.7572e-09j,+31137-231803j,+462.78-232268j,+254.606-232736j,+0+0j,+127.916-232997j,+0+0j,+64689.9-101457j,+0+0j,+33018.9-101780j,+18819-101953j,+14038.6+31.7214j,+0+0j,+14038.7+16.6472j,+0+0j,+14041.3+2.31667j,+8310.52+0.528292j,+30893.3+5.51026j,+30890.6+3.89863j,+1.11204e-05-7.81179e-06j,+1.11349e-05-7.77858e-06j,+0+0j,+32745.5+212602j,+0+0j,+0+0j,+50226.1+36.6028j,-17622.2+212381j,+25364.3+14.4502j,+0+0j,-17845.4+212170j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+234443-180703j,+660316-414095j,+370856-269885j,+269911-203916j,+32919.4+212799j
2016-09-02 05:00:00 PDT,+8700.53+0.53689j,+0+0j,+709695-413451j,+0+0j,+0+0j,+0+0j,+709814-417032j,+4900.21+0.217277j,+0+0j,+704981-419415j,+0+0j,+0+0j,+300823-154437j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44155.9+22092.8j,+0+0j,+44139.7+22095.7j,-5.95408e-06-4.97981e-07j,+0+0j,-5.96399e-06-4.64301e-07j,+0+0j,-5.94654e-06-4.25685e-07j,+0+0j,+0+0j,+0+0j,-5.93753e-06-4.23207e-07j,-5.95364e-06-4.09459e-07j,-5.93508e-06-3.44435e-07j,+0+0j,+0+0j,+16269.9-21359.9j,+220799-168525j,+0+0j,+16266.7-21384.7j,+6440.53+0.538076j,+0+0j,+220608-168848j,+44221.1+22135.3j,+176196-191308j,+0+0j,+176097-191533j,+0+0j,+77603.5+55444.7j,+73399.1-209459j,+28339.4-209674j,+28210.3-209865j,+28063-210079j,+404007-270421j,+403993-271416j,+11059.8+2.38075j,+392910-272035j,+11060.5+1.03984j,+19949.8-21482.3j,+372166-252665j,+10141+1.019j,+1.7358e-06+9.40675e-06j,+0+0j,+228823-416907j,+69527.2+212406j,+0+0j,+0+0j,+0+0j,+0+0j,+227679-418400j,+0+0j,+0+0j,+70988.4-230438j,+80193.4-100582j,+37476.2-230911j,+1.17332e-08+2.59611e-09j,+37420.4-231022j,+446.453-231483j,+250.132-231946j,+0+0j,+125.818-232208j,+0+0j,+74891.2-101163j,+0+0j,+36763.6-101518j,+18681.4-101704j,+17920+42.3024j,+0+0j,+17919.4+22.6731j,+0+0j,+17922.1+3.77141j,+10500.8+0.846712j,+35386.3+10.4074j,+35383.3+7.246j,+1.64165e-05-7.85091e-06j,+1.6404e-05-7.84894e-06j,+0+0j,+33765.4+211999j,+0+0j,+0+0j,+60412.4+53.1415j,-26779.9+211766j,+30540.7+21.0086j,+0+0j,-27008.2+211559j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+256173-178114j,+718217-408908j,+403952-268394j,+298815-203145j,+33940.4+212198j
2016-09-02 06:00:00 PDT,+10420.8+0.770207j,+0+0j,+718413-413139j,+0+0j,+0+0j,+0+0j,+718562-416747j,+5900.31+0.315022j,+0+0j,+712747-419147j,+0+0j,+0+0j,+303669-154265j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44158.4+22094j,+0+0j,+44142.1+22097j,-6.3887e-06+7.58802e-06j,+0+0j,-6.41196e-06+7.6166e-06j,+0+0j,-6.3949e-06+7.68165e-06j,+0+0j,+0+0j,+0+0j,-6.38843e-06+7.6956e-06j,-6.40658e-06+7.68079e-06j,-6.44851e-06+7.63464e-06j,+0+0j,+0+0j,+17558.2-21359.1j,+222281-168441j,+0+0j,+17555-21385j,+7730.77+0.775261j,+0+0j,+222094-168765j,+44224.4+22136.9j,+177682-191229j,+0+0j,+177584-191455j,+0+0j,+77609.6+55449.1j,+74882.8-209383j,+27950.1-209598j,+27824.5-209788j,+27680.6-210001j,+408968-270347j,+408961-271345j,+13220+3.33251j,+395720-271965j,+13220.7+1.48579j,+21950.3-21479.1j,+372974-252584j,+12141.4+1.46093j,+1.82449e-05-1.38541e-05j,+0+0j,+233317-416711j,+65891+212289j,+0+0j,+0+0j,+0+0j,+0+0j,+232161-418226j,+0+0j,+0+0j,+70643.4-230388j,+85018.2-100486j,+37555.3-230862j,+1.76795e-09-1.1081e-08j,+37500.2-230973j,+439.958-231436j,+247.075-231902j,+0+0j,+124.427-232165j,+0+0j,+78706.8-101096j,+0+0j,+40314.6-101464j,+18669.7-101667j,+21481.1+52.7873j,+0+0j,+21480.1+28.6492j,+0+0j,+21483+5.41895j,+12571.2+1.21422j,+33685+8.46338j,+33682.2+5.92377j,+1.34225e-05-2.94944e-06j,+1.34523e-05-2.9325e-06j,+0+0j,+31836+211892j,+0+0j,+0+0j,+58128.7+49.3255j,-26423.2+211668j,+29479.3+19.5742j,+0+0j,-26647.6+211466j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+259027-177963j,+728636-408540j,+408899-268316j,+299671-203049j,+32008.5+212087j
2016-09-02 07:00:00 PDT,+8570.51+0.520819j,+0+0j,+642676-419714j,+0+0j,+0+0j,+0+0j,+642831-422907j,+4150.15+0.155745j,+0+0j,+638775-425033j,+0+0j,+0+0j,+274212-157910j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44233.4+22134.7j,+0+0j,+44220.3+22136.1j,-1.05199e-06-4.6319e-06j,+0+0j,-1.02419e-06-4.55703e-06j,+0+0j,-1.08878e-06-4.61242e-06j,+0+0j,+0+0j,+0+0j,-1.07453e-06-4.61638e-06j,-1.0803e-06-4.58777e-06j,-1.05965e-06-4.57684e-06j,+0+0j,+0+0j,+15855.3-21365.5j,+198928-169282j,+0+0j,+15852.1-21390j,+5980.46+0.463017j,+0+0j,+198761-169559j,+44317.1+22183.3j,+154277-192022j,+0+0j,+154193-192221j,+0+0j,+77785+55574.3j,+51224.7-210250j,+14777.7-210450j,+14651.7-210639j,+14511.2-210844j,+364489-271937j,+364484-272809j,+11469.8+2.54588j,+352998-273350j,+11470.5+1.11719j,+19951.9-21476.6j,+332353-253729j,+10091+1.00757j,-1.17881e-05+2.50424e-05j,+0+0j,+202134-418051j,+56341.3+213048j,+0+0j,+0+0j,+0+0j,+0+0j,+201034-419511j,+0+0j,+0+0j,+53375.4-231305j,+70783.4-100881j,+29042.9-231771j,+2.74886e-08+2.357e-08j,+28987.6-231884j,+458.426-232356j,+250.853-232832j,+0+0j,+126.217-233095j,+0+0j,+66238.7-101418j,+0+0j,+36314.1-101747j,+18872.4-101936j,+17278.8+40.7839j,+0+0j,+17279+21.6439j,+0+0j,+17282+3.54764j,+10470.8+0.838622j,+26620.5+1.87708j,+26618.3+1.41542j,-1.38139e-06+5.55227e-06j,-1.36191e-06+5.56326e-06j,+0+0j,+29360.1+212668j,+0+0j,+0+0j,+42516+26.3154j,-13294+212465j,+21570.3+10.4463j,+0+0j,-13505.9+212263j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+229597-181476j,+651041-415652j,+364445-270167j,+258875-203810j,+29526.9+212857j
2016-09-02 08:00:00 PDT,+6100.26+0.263693j,+0+0j,+540813-427934j,+0+0j,+0+0j,+0+0j,+540960-430718j,+1900.03+0.032599j,+0+0j,+539153-432572j,+0+0j,+0+0j,+234708-162569j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44362.4+22203.5j,+0+0j,+44353.5+22202.8j,-8.41748e-06+1.15783e-05j,+0+0j,-8.40979e-06+1.1619e-05j,+0+0j,-8.35824e-06+1.16586e-05j,+0+0j,+0+0j,+0+0j,-8.35533e-06+1.17282e-05j,-8.31397e-06+1.17664e-05j,-8.3414e-06+1.17482e-05j,+0+0j,+0+0j,+13627-21383.1j,+167390-170324j,+0+0j,+13623.6-21405.9j,+3690.17+0.175693j,+0+0j,+167249-170551j,+44474.2+22262j,+122633-193042j,+0+0j,+122562-193213j,+0+0j,+78081.3+55786j,+19173.2-211412j,-3382.47-211606j,-3513.88-211799j,-3653.79-211999j,+304401-274172j,+304395-274918j,+9059.71+1.6346j,+295323-275380j,+9060.31+0.695384j,+17268-21487.1j,+277473-255502j,+7340.52+0.531527j,+8.80651e-06-9.58416e-06j,+0+0j,+161129-420253j,+42203.2+214166j,+0+0j,+0+0j,+0+0j,+0+0j,+160084-421656j,+0+0j,+0+0j,+30663-232801j,+52024.4-101491j,+17813.6-233268j,-1.52752e-10+1.22326e-08j,+17757.2-233384j,+485.785-233869j,+257.446-234358j,+0+0j,+129.375-234622j,+0+0j,+49743.1-101942j,+0+0j,+31014.5-102224j,+19134.7-102396j,+11717.5+26.0483j,+0+0j,+11718.4+13.3709j,+0+0j,+11721+1.68189j,+7650.44+0.444531j,+14764.4-3.41503j,+14763.3-2.22876j,-1.20394e-05+9.40916e-06j,-1.20493e-05+9.40721e-06j,+0+0j,+27083.1+213801j,+0+0j,+0+0j,+22077+7.06451j,+4854+213610j,+11212.8+2.80743j,+0+0j,+4651.39+213400j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+190071-186018j,+546715-424397j,+304387-272666j,+203674-205113j,+27244.6+213984j
2016-09-02 09:00:00 PDT,+5700.23+0.230157j,+0+0j,+490997-431954j,+0+0j,+0+0j,+0+0j,+491134-434582j,+1500.02+0.0203008j,+0+0j,+489722-436332j,+0+0j,+0+0j,+214871-164929j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44439.5+22244.2j,+0+0j,+44432.8+22242.4j,+8.35275e-06-7.94286e-06j,+0+0j,+8.3511e-06-7.88388e-06j,+0+0j,+8.33594e-06-7.90064e-06j,+0+0j,+0+0j,+0+0j,+8.36665e-06-7.86858e-06j,+8.3584e-06-7.8674e-06j,+8.3417e-06-7.87115e-06j,+0+0j,+0+0j,+13269.5-21394j,+150987-170784j,+0+0j,+13266-21416.6j,+3300.14+0.14024j,+0+0j,+150859-170990j,+44568.8+22309.3j,+106163-193506j,+0+0j,+106099-193668j,+0+0j,+78259.8+55913.4j,+2461.96-211970j,-13118.1-212165j,-13253.2-212361j,-13393-212561j,+274813-275316j,+274807-276012j,+8699.7+1.5137j,+266095-276443j,+8700.29+0.640303j,+16862.9-21494.6j,+248695-256451j,+6900.46+0.468861j,-7.3709e-06+8.75142e-06j,+0+0j,+141585-421438j,+32796.8+214723j,+0+0j,+0+0j,+0+0j,+0+0j,+140554-422825j,+0+0j,+0+0j,+18000.4-233645j,+44873.8-101792j,+11716.9-234116j,+1.14944e-08+2.52222e-09j,+11660-234234j,+497.906-234728j,+259.925-235225j,+0+0j,+130.596-235491j,+0+0j,+42993.8-102213j,+0+0j,+30225.6-102478j,+19265.9-102650j,+10797.2+23.7473j,+0+0j,+10798.3+12.0631j,+0+0j,+10800.8+1.43904j,+7200.39+0.392287j,+7751.91-3.16381j,+7751.36-2.09757j,-6.03261e-06+1.07532e-06j,-6.01713e-06+1.09805e-06j,+0+0j,+24689.9+214364j,+0+0j,+0+0j,+9941.42+1.43746j,+14588.3+214178j,+5090.57+0.576803j,+0+0j,+14389.2+213961j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+170206-188345j,+496518-428609j,+274815-273919j,+174704-205836j,+24849.3+214543j
2016-09-02 10:00:00 PDT,+5850.24+0.242406j,+0+0j,+481922-432724j,+0+0j,+0+0j,+0+0j,+482057-435332j,+1750.03+0.0276258j,+0+0j,+480394-437069j,+0+0j,+0+0j,+211042-165386j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44458.2+22254j,+0+0j,+44451.8+22252j,-4.56828e-06-5.25125e-06j,+0+0j,-4.56109e-06-5.24173e-06j,+0+0j,-4.56176e-06-5.18316e-06j,+0+0j,+0+0j,+0+0j,-4.57142e-06-5.20384e-06j,-4.55569e-06-5.17292e-06j,-4.58641e-06-5.19884e-06j,+0+0j,+0+0j,+13476.1-21396.8j,+147577-170859j,+0+0j,+13472.7-21419.5j,+3500.16+0.157681j,+0+0j,+147453-171062j,+44592.2+22321j,+102736-193586j,+0+0j,+102674-193746j,+0+0j,+78303.9+55945j,-1022.69-212074j,-15003.1-212270j,-15139.3-212467j,-15279.3-212667j,+269313-275562j,+269306-276250j,+8749.7+1.52911j,+260544-276676j,+8750.29+0.647453j,+17019.9-21497j,+242995-256665j,+7050.48+0.489256j,-3.05477e-06+2.92622e-06j,+0+0j,+138366-421697j,+30275.6+214830j,+0+0j,+0+0j,+0+0j,+0+0j,+137337-423082j,+0+0j,+0+0j,+15200.8-233835j,+44398.1-101849j,+10468.7-234307j,+6.35383e-09+7.42601e-10j,+10411.7-234425j,+499.789-234921j,+260.249-235420j,+0+0j,+130.759-235685j,+0+0j,+42267.7-102269j,+0+0j,+30649.4-102532j,+19289.7-102706j,+11197+24.7149j,+0+0j,+11198.2+12.557j,+0+0j,+11200.9+1.53332j,+7350.4+0.408479j,+5991.39-2.71044j,+5990.98-1.80033j,+2.04249e-06-2.74912e-06j,+2.06995e-06-2.7344e-06j,+0+0j,+23928.6+214472j,+0+0j,+0+0j,+7290.76+0.773721j,+16475.6+214286j,+3740.31+0.311157j,+0+0j,+16276.8+214069j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+166369-188800j,+487599-429399j,+269319-274180j,+168961-206006j,+24087.8+214650j
