# file...... System_ABC_load_meter.csv
# date...... Fri Oct 27 14:52:42 2017
# user...... mast9
# host...... (null)
# target.... transformer 148
# trigger... (none)
# interval.. 1800
# limit..... -1
# timestamp,power_out,power_out_A,power_out_B,power_out_C
2016-09-02 00:00:00 PDT,+2.26844e+06-965422i,+876309-343862i,+619410-418140j,+772725-203420j
2016-09-02 01:00:00 PDT,+2.2258e+06-967899i,+859233-344689i,+607920-419076j,+758650-204135j
2016-09-02 02:00:00 PDT,+2.21534e+06-968495i,+855589-344820i,+605285-419323j,+754465-204353j
2016-09-02 03:00:00 PDT,+2.26837e+06-965481i,+872993-344292i,+618552-418029j,+776824-203160j
2016-09-02 04:00:00 PDT,+2.43011e+06-955760i,+931339-341941i,+660315-414111j,+838457-199708j
2016-09-02 05:00:00 PDT,+2.66024e+06-940627i,+1.01527e+06-337624i,+718207-408923j,+926765-194080j
2016-09-02 06:00:00 PDT,+2.71204e+06-936797i,+1.03477e+06-335876i,+728648-408549j,+948624-192373j
2016-09-02 07:00:00 PDT,+2.42839e+06-955381i,+925638-341477i,+651087-415643j,+851669-198262j
2016-09-02 08:00:00 PDT,+2.02583e+06-978442i,+782068-347434i,+546770-424380j,+696997-206629j
2016-09-02 09:00:00 PDT,+1.82739e+06-988237i,+714309-349423i,+496553-428604j,+616526-210210j
2016-09-02 10:00:00 PDT,+1.78946e+06-990000i,+702478-349676i,+487613-429400j,+599373-210924j
2016-09-02 11:00:00 PDT,+1.77441e+06-990716i,+700936-349504i,+486302-429708j,+587176-211504j
2016-09-02 12:00:00 PDT,+1.87457e+06-986039i,+739246-348214i,+512673-427671j,+622648-210154j
2016-09-02 13:00:00 PDT,+1.98759e+06-980479i,+779551-346810i,+541949-425366j,+666093-208302j
2016-09-02 14:00:00 PDT,+2.23496e+06-967134i,+864297-343775i,+603747-420088j,+766913-203271j
2016-09-02 15:00:00 PDT,+2.66968e+06-939812i,+1.02019e+06-336766i,+715186-409873j,+934305-193172j
2016-09-02 16:00:00 PDT,+2.9401e+06-920702i,+1.13658e+06-329401i,+798982-401953j,+1.00453e+06-189347j
2016-09-02 17:00:00 PDT,+3.35276e+06-887577i,+1.28916e+06-319286i,+908165-390513j,+1.15544e+06-177777j
2016-09-02 18:00:00 PDT,+3.59979e+06-865527i,+1.37938e+06-312516i,+971165-383568j,+1.24924e+06-169443j
2016-09-02 19:00:00 PDT,+3.73943e+06-852296i,+1.43817e+06-306963i,+1.00857e+06-379722j,+1.29269e+06-165611j
2016-09-02 20:00:00 PDT,+3.48181e+06-875976i,+1.34399e+06-314246i,+941294-387377j,+1.19653e+06-174353j
2016-09-02 21:00:00 PDT,+3.04425e+06-912400i,+1.18034e+06-326128i,+825247-399364j,+1.03867e+06-186908j
2016-09-02 22:00:00 PDT,+2.67892e+06-939239i,+1.03873e+06-335013i,+729292-408653j,+910896-195573j
2016-09-02 23:00:00 PDT,+2.3671e+06-959500i,+916279-341781i,+646081-415972j,+804739-201747j
2016-09-03 00:00:00 PDT,+2.30097e+06-963445i,+891965-343133i,+627063-417371j,+781943-202940j
2016-09-03 01:00:00 PDT,+2.25163e+06-966348i,+872546-344073i,+613898-418469j,+765188-203807j
2016-09-03 02:00:00 PDT,+2.24318e+06-966830i,+869622-344170i,+611751-418676j,+761811-203984j
2016-09-03 03:00:00 PDT,+2.29951e+06-963590i,+888201-343573i,+625900-417305j,+785405-202712j
2016-09-03 04:00:00 PDT,+2.47485e+06-952866i,+952295-340852i,+671386-413031j,+851165-198983j
2016-09-03 05:00:00 PDT,+2.70811e+06-937371i,+1.04153e+06-336025i,+733962-407345j,+932617-194001j
