# file...... Overhead_lines_power_out_C.csv
# date...... Fri Oct 27 14:52:41 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_out_C
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-11-04 00:00:00 PDT,+0+0j,+86693.2+31816.5j,+783611-17558j,+22800+1.8128e-08j,+63822+31744.3j,+42981.9+21491j,+782477-19532.8j,+0+0j,+0+0j,+780849-22774.4j,+0+0j,+74945.7+21380.3j,+181658-128109j,+0+0j,+0+0j,+25040+9.92804e-09j,+7160+1.44973e-09j,+0+0j,+60030.7+5.04487j,+0+0j,+0+0j,+60008+7.92819j,+24340+1.19144e-09j,+35643.2+4.22241j,+14372.9+2.91841j,+21265.5+5.02626j,-1.23143e-08-3.97576e-09j,+14371+0.968464j,+0+0j,+21262.2+5.24802j,+21260-3.51632e-06j,+1.24493e-05-3.4862e-06j,+8770+8.43829e-09j,+32210.4+10.4877j,+0+0j,+121556-128641j,+0+0j,+0+0j,+0+0j,+3360+9.12678e-10j,+118144-128844j,+0+0j,+118092-128989j,+0+0j,+118020-129184j,+0+0j,+75394.6+53853.4j,+5565.76-208386j,-13821.5-208617j,-40984.8-208864j,-41289.7-209563j,+522234+80406.9j,+521901+79752.2j,+1.03856e-08-3.00942e-09j,+521500+78640.9j,-1.08521e-08+6.72737e-09j,+0+0j,+520427+76243.7j,+0+0j,+1.18937e-05-1.11296e-05j,+0+0j,+227548-208866j,+148249+233637j,+0+0j,+0+0j,+0+0j,+87928.7+22360j,+139694-231682j,+68138.2+22288.6j,+23570+8.602e-09j,+40522.5-226255j,+23389.5-56653.8j,+40475.4-226342j,-3.69446e-09+1.85204e-08j,+40177.5-226795j,+39865.7-227207j,+10136.9-227452j,+29570.2+10.3151j,+9990-227674j,+23570-7.65795e-10j,+23494.7-56750j,+0+0j,+23565.4-56814.6j,+0+0j,+23613.5-56863.9j,+23570-56908j,-1.35521e-05+1.42426e-05j,+0+0j,-1.35799e-05+1.42097e-05j,+0+0j,+44410.9+22253.4j,+44400.3+22218j,+44390.1+22195.1j,+6.93241e-06-1.14183e-05j,+61338.5+59.2722j,+42038.9+210792j,+53312.1+22.3593j,+28250+6.17183e-09j,+0+0j,+41775.7+210474j,+0+0j,+0+0j,+41290+209563j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+121610-128432j,+872101+17294.6j,+522784+81438.3j,+375901+25659.5j,+103634+211112j
2016-11-04 01:00:00 PDT,+0+0j,+74401.9+623.411j,+723710-209204j,+21380+9.32596e-09j,+52981.2+582.129j,+42957+21478.5j,+722255-210858j,+0+0j,+0+0j,+720140-213551j,+0+0j,+72889.9+21351.7j,+151416-207852j,+0+0j,+0+0j,+23950-4.80213e-10j,+6250+2.76395e-09j,+0+0j,+55419.5+50.0587j,+0+0j,+0+0j,+55385.9+28.4454j,+22700-5.7953e-09j,+32655.4+9.42597j,+12582.2+2.25349j,+20065+4.12198j,-1.9393e-08+3.5398e-09j,+12580.7+0.754625j,+0+0j,+20062+4.68588j,+20060+1.14932e-05j,+4.46785e-06+1.1534e-05j,+7730+4.62478e-09j,+30209.4+9.49246j,+0+0j,+95848-208670j,+0+0j,+0+0j,+0+0j,+2910-4.73483e-09j,+92839.7-208972j,+0+0j,+92755.9-209186j,+0+0j,+92659.3-209471j,+0+0j,+75584.4+53988.9j,-7666.26-226472j,-25423.5-226736j,-50601-227024j,-50804.9-227837j,+493013-29950j,+492635-30413.5j,+1.24008e-08+1.25163e-08j,+492218-31023.7j,-1.18804e-08-3.11141e-09j,+0+0j,+491230-32474.3j,+0+0j,+1.55171e-05-5.46184e-06j,+0+0j,+194570-337313j,+153559+252333j,+0+0j,+0+0j,+0+0j,+85653.1+22475.2j,+109064-360563j,+66845.3+22406.5j,+22040-5.25142e-09j,+37042.7-227649j,+21791-57051.1j,+36997.7-227735j,-2.49268e-08+6.65248e-09j,+36707.1-228177j,+36404.5-228582j,+9003.17-228821j,+27248.8+8.96345j,+8860-229040j,+22040+1.81899e-10j,+21931.7-57142.8j,+0+0j,+22024.5-57205j,+0+0j,+22082.9-57261.7j,+22040-57305.3j,-5.03258e-06-8.2296e-06j,+0+0j,-5.02314e-06-8.27408e-06j,+0+0j,+44578.9+22337.8j,+44567.7+22301.7j,+44557.5+22278.7j,+3.13044e-06-4.21649e-06j,+57271.2+51.8318j,+51356.6+229284j,+50209+19.2152j,+26240+2.60115e-10j,+0+0j,+51155.6+228898j,+0+0j,+0+0j,+50805.4+227836j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+95949.1-208364j,+800355-206056j,+493628-29224.6j,+348103-83683.7j,+108827+229650j
2016-11-04 02:00:00 PDT,+0+0j,+73880.2+625.656j,+714588-209561j,+20850+2.80124e-10j,+52989.6+584.552j,+42962.8+21481.4j,+713168-211175j,+0+0j,+0+0j,+711104-213804j,+0+0j,+72684.1+21358.8j,+147106-207922j,+0+0j,+0+0j,+24160-7.33053e-10j,+5820-2.79942e-09j,+0+0j,+53505.6+46.2079j,+0+0j,+0+0j,+53473.5+26.2084j,+22090+4.38376e-10j,+31354.5+8.48945j,+11731.9+1.96228j,+19614.8+3.8349j,-1.15123e-08-1.93076e-09j,+11730.7+0.659808j,+0+0j,+19611.9+4.47574j,+19610+8.1346e-06j,-4.10819e-06+8.12978e-06j,+7230-1.31304e-08j,+29989.4+9.57119j,+0+0j,+93453.5-208730j,+0+0j,+0+0j,+0+0j,+2700-1.01863e-09j,+90655.1-209031j,+0+0j,+90571.6-209244j,+0+0j,+90475.3-209527j,+0+0j,+75622.9+54016.4j,-9907.86-226555j,-26995.6-226819j,-51424.2-227108j,-51630.2-227922j,+488550-30085.7j,+488178-30540.5j,+1.04703e-08-8.4263e-10j,+487773-31130.9j,+2.16842e-09+1.38202e-08j,+0+0j,+486814-32536.8j,+0+0j,+1.76531e-06+2.37822e-05j,+0+0j,+191635-337471j,+153349+252430j,+0+0j,+0+0j,+0+0j,+84737.4+22486.7j,+107044-360727j,+66300.6+22419j,+21470-9.8662e-09j,+35547.8-227787j,+21222.3-57076.8j,+35503.1-227873j,-1.92066e-08+4.54031e-08j,+35213.6-228314j,+34912.7-228720j,+8452.87-228957j,+26308.4+8.50025j,+8310-229177j,+21470+4.67662e-09j,+21362.1-57168.5j,+0+0j,+21454.6-57230.8j,+0+0j,+21512.7-57287.5j,+21470-57330.7j,-1.37504e-05+8.77224e-06j,+0+0j,-1.36973e-05+8.74058e-06j,+0+0j,+44603.9+22350.3j,+44592.8+22314.3j,+44582.6+22291.3j,-1.96714e-06+1.18641e-05j,+56209.2+49.8571j,+52184.6+229371j,+49607.8+18.0357j,+25430-8.29459e-10j,+0+0j,+51984+228986j,+0+0j,+0+0j,+51630.6+227922j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+93554.5-208426j,+790658-206469j,+489153-29373j,+344955-83752.1j,+108591+229735j
2016-11-04 03:00:00 PDT,+0+0j,+74056.4+624.542j,+720173-209358j,+21030-3.20688e-09j,+52985.7+583.379j,+42960.4+21480.2j,+718731-211008j,+0+0j,+0+0j,+716636-213691j,+0+0j,+74508.8+21357.1j,+148559-207860j,+0+0j,+0+0j,+25990-8.93124e-10j,+5820-1.19485e-08j,+0+0j,+53866.3+46.935j,+0+0j,+0+0j,+53834+26.631j,+22270-1.43518e-09j,+31534.6+8.63358j,+11731.9+1.96263j,+19794.8+3.94834j,+2.11783e-08-1.78023e-08j,+11730.7+0.659925j,+0+0j,+19791.9+4.5591j,+19790-3.55467e-06j,-4.26907e-06-3.51509e-06j,+7230-1.30331e-09j,+31820.9+11.0014j,+0+0j,+94544-208672j,+0+0j,+0+0j,+0+0j,+2700+1.22941e-08j,+91745.1-208975j,+0+0j,+91661-209189j,+0+0j,+91564.1-209473j,+0+0j,+75608.7+54006.4j,-8793.22-226488j,-25971.3-226752j,-50580-227040j,-50786.3-227853j,+490780-30072.4j,+490407-30533.4j,+1.18468e-08+1.21551e-08j,+489997-31136.6j,-7.62268e-09+1.20559e-09j,+0+0j,+489029-32571j,+0+0j,+2.4251e-05+4.38207e-07j,+0+0j,+192317-337425j,+154513+252361j,+0+0j,+0+0j,+0+0j,+85088.3+22482.4j,+107376-360677j,+66471.2+22414.4j,+21650-8.92214e-09j,+35729.3-227740j,+21401.7-57065.4j,+35684.5-227826j,-2.71218e-08+1.00475e-08j,+35394.6-228268j,+35093.2-228674j,+8452.93-228911j,+26488.5+8.64525j,+8310-229131j,+21650-4.36557e-11j,+21541.9-57156.7j,+0+0j,+21634.5-57218.8j,+0+0j,+21692.8-57275.3j,+21650-57318.6j,+8.57863e-06-2.26679e-05j,+0+0j,+8.52934e-06-2.2674e-05j,+0+0j,+44596.5+22346.4j,+44586+22310.9j,+44575.8+22287.9j,+2.75043e-06-3.58723e-06j,+58222.1+52.7602j,+51341.5+229300j,+51618.1+18.2975j,+25610-4.62205e-09j,+0+0j,+51140.7+228915j,+0+0j,+0+0j,+50786.8+227852j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+94645.5-208367j,+796451-206214j,+491389-29350.1j,+346803-83772.8j,+109763+229668j
2016-11-04 04:00:00 PDT,+0+0j,+76277.1+619.396j,+742183-208452j,+23270+5.31145e-10j,+52965.6+577.433j,+42947.1+21473.5j,+740655-210228j,+0+0j,+0+0j,+738435-213111j,+0+0j,+76680.9+21344.4j,+158164-207612j,+0+0j,+0+0j,+28230+3.7362e-09j,+5780+1.39835e-09j,+0+0j,+58245.4+56.1295j,+0+0j,+0+0j,+58209.5+32.014j,+24510-9.31323e-10j,+33666.3+10.4791j,+11621.9+1.92023j,+22035.9+5.47114j,+3.04901e-09+2.22929e-08j,+11620.6+0.640613j,+0+0j,+22032.4+5.65537j,+22030+1.15813e-06j,+3.01339e-06+1.18451e-06j,+7120-1.5616e-09j,+34022.7+12.8946j,+0+0j,+99763.7-208451j,+0+0j,+0+0j,+0+0j,+2700-3.44698e-09j,+96963.1-208760j,+0+0j,+96877.1-208978j,+0+0j,+96778.3-209268j,+0+0j,+75536.4+53954.5j,-3455.98-226223j,-21602-226485j,-48399.7-226772j,-48602.8-227583j,+500670-29896.5j,+500282-30381j,+1.52703e-09+2.59363e-08j,+499853-31037.6j,+2.26404e-08-1.4717e-08j,+0+0j,+498842-32589.2j,+0+0j,+1.16276e-05-2.19188e-05j,+0+0j,+200940-337150j,+156562+252079j,+0+0j,+0+0j,+0+0j,+89520.1+22461.1j,+111559-360394j,+68658.9+22389j,+23890-8.00355e-11j,+37803.4-227493j,+23635.6-57006.6j,+37757.8-227579j,-1.80851e-08-1.8379e-08j,+37464.5-228025j,+37158.4-228432j,+8282.85-228675j,+28720.4+10.5398j,+8140-228894j,+23890-1.39516e-09j,+23779.4-57094.3j,+0+0j,+23874-57154.1j,+0+0j,+23933.9-57209.5j,+23890-57254j,-3.12284e-07-6.69023e-06j,+0+0j,-3.45297e-07-6.76268e-06j,+0+0j,+44552.3+22324j,+44542.6+22289.1j,+44532.3+22266.1j,+1.09837e-06+1.62818e-05j,+62501.3+62.0652j,+49152.6+229028j,+55981.2+21.4809j,+27730-2.0591e-09j,+0+0j,+48952.3+228642j,+0+0j,+0+0j,+48603.3+227583j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+99866.9-208140j,+820816-205121j,+501301-29136.3j,+357481-83765.3j,+111858+229407j
2016-11-04 05:00:00 PDT,+0+0j,+81058.5+606.618j,+800225-205928j,+28100+9.36052e-09j,+52915.1+562.653j,+42913.2+21456.6j,+798457-208038j,+0+0j,+0+0j,+795893-211452j,+0+0j,+81754.6+21309.3j,+182946-207001j,+0+0j,+0+0j,+32910+2.10275e-09j,+6250+3.10956e-09j,+0+0j,+68889.5+82.0535j,+0+0j,+0+0j,+68844.4+47.2863j,+29440-7.91078e-09j,+39360.9+16.1688j,+12582.2+2.26096j,+26768.3+9.42326j,-9.51822e-09+6.12788e-09j,+12580.7+0.757127j,+0+0j,+26763.6+8.36775j,+26760+7.18408e-07j,+2.53442e-06+7.71677e-07j,+7730-4.18368e-11j,+39177.2+17.4692j,+0+0j,+113887-207915j,+0+0j,+0+0j,+0+0j,+2910-2.27169e-09j,+110873-208239j,+0+0j,+110782-208470j,+0+0j,+110678-208775j,+0+0j,+75333.5+53809.6j,+10773.8-225574j,-10370.3-225832j,-42294.6-226116j,-42489-226919j,+527902-29268.3j,+527474-29818.1j,+1.40362e-09+3.2985e-08j,+526982-30624.7j,+1.31564e-08+5.99195e-10j,+0+0j,+525827-32506.9j,+0+0j,+1.81003e-05-3.5216e-06j,+0+0j,+220896-336346j,+160814+251376j,+0+0j,+0+0j,+0+0j,+98896.8+22401.4j,+122125-359561j,+73396.2+22319.7j,+28770-1.26547e-08j,+43815.9-226780j,+28503.1-56848.5j,+43768.7-226868j,+4.01291e-08-2.34618e-08j,+43468.5-227322j,+43151.9-227730j,+9003.28-227984j,+33985.1+15.3385j,+8860-228202j,+28770-1.39789e-08j,+28654.6-56930.2j,+0+0j,+28753.4-56986.3j,+0+0j,+28816.7-57040.2j,+28770-57087.5j,-5.07869e-06+1.23231e-05j,+0+0j,-5.05776e-06+1.22967e-05j,+0+0j,+44424.8+22259.6j,+44416.6+22226.1j,+44406.4+22203.1j,-7.16783e-06+1.10485e-05j,+72995.8+86.9263j,+43025.1+228355j,+65910.1+30.4782j,+32970-1.2993e-08j,+0+0j,+42825.2+227968j,+0+0j,+0+0j,+42489.4+226919j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+113994-207588j,+884009-202103j,+528600-28405.8j,+381700-83619.7j,+116239+228763j
2016-11-04 06:00:00 PDT,+0+0j,+86432.1+589.227j,+879902-202101j,+33540+6.77392e-09j,+52846+542.549j,+42866.8+21433.4j,+877773-204710j,+0+0j,+0+0j,+874689-208912j,+0+0j,+88005.5+21258.9j,+216257-206118j,+0+0j,+0+0j,+37840+5.33691e-09j,+7680+2.19734e-09j,+0+0j,+82644.6+122.434j,+0+0j,+0+0j,+82586.4+70.9646j,+35220-2.5284e-10j,+47307.9+25.306j,+15423.4+3.39711j,+31871.4+14.8239j,-1.26213e-08+1.25165e-08j,+15421.1+1.12879j,+0+0j,+31865.1+11.9078j,+31860+3.3124e-06j,+7.038e-06+3.29492e-06j,+9420+1.64209e-09j,+45543+23.2706j,+0+0j,+133419-207147j,+0+0j,+0+0j,+0+0j,+3600-3.49701e-10j,+129708-207493j,+0+0j,+129609-207742j,+0+0j,+129497-208071j,+0+0j,+75039+53599.3j,+30060.7-224653j,+4702.77-224907j,-33516.8-225185j,-33700.9-225975j,+566573-28252.7j,+566081-28902.4j,-2.59717e-08-1.98664e-09j,+565482-29942.6j,+2.86812e-08+7.48981e-09j,+0+0j,+564079-32340j,+0+0j,-3.02145e-06+8.8867e-06j,+0+0j,+245009-335131j,+164806+250369j,+0+0j,+0+0j,+0+0j,+109074+22313.9j,+136044-358300j,+78801.7+22220.4j,+34380-3.01225e-09j,+52573.3-225713j,+34098.6-56618.9j,+52523.8-225803j,+1.54946e-08+1.90557e-09j,+52214-226266j,+51882.4-226676j,+10884.5-226947j,+40821.7+22.0153j,+10740-227164j,+34380+1.52795e-09j,+34259.5-56695.9j,+0+0j,+34363.3-56749.2j,+0+0j,+34430.7-56802.4j,+34380-56853.8j,+7.96126e-06-3.34881e-06j,+0+0j,+7.98569e-06-3.35611e-06j,+0+0j,+44234.8+22163.9j,+44228.2+22131.8j,+44218+22109j,+8.68372e-06+7.12672e-06j,+85960.2+121.832j,+34221.9+227394j,+77303.2+43.8001j,+39420+1.50249e-09j,+0+0j,+34021.3+227005j,+0+0j,+0+0j,+33701.3+225974j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+133533-206795j,+969611-197541j,+567376-27235.3j,+409816-83346.2j,+120422+227847j
2016-11-04 07:00:00 PDT,+0+0j,+81687.7+594.901j,+850399-203593j,+28770-1.8159e-08j,+52874.1+550.652j,+42885.9+21442.9j,+848400-205981j,+0+0j,+0+0j,+845497-209834j,+0+0j,+83846.2+21270.7j,+201910-206536j,+0+0j,+0+0j,+32770+6.43922e-09j,+8560+5.40467e-09j,+0+0j,+74934.4+98.2977j,+0+0j,+0+0j,+74883.7+56.5459j,+30650+2.24281e-09j,+44184.7+20.2927j,+17274.2+4.2887j,+26898.4+9.58209j,-1.92659e-08+1.01523e-09j,+17271.4+1.44664j,+0+0j,+26893.6+8.4713j,+26890-9.45511e-06j,+3.18624e-06-9.41548e-06j,+10670+3.50155e-10j,+41347.6+17.8573j,+0+0j,+126795-207500j,+0+0j,+0+0j,+0+0j,+3960-3.37855e-09j,+122727-207834j,+0+0j,+122632-208073j,+0+0j,+122522-208391j,+0+0j,+75119.2+53656.6j,+22936.3-225044j,-1352.65-225296j,-35453.6-225573j,-35643.8-226358j,+556073-28483.8j,+555595-29104.6j,+1.71453e-08+1.80267e-08j,+555004-30076j,+9.68507e-09+2.67818e-09j,+0+0j,+553607-32324.7j,+0+0j,+1.60298e-05+4.73753e-06j,+0+0j,+228220-335408j,+158979+250726j,+0+0j,+0+0j,+0+0j,+99281.7+22330.3j,+129068-358566j,+74189.3+22246.8j,+29710-2.76304e-09j,+50092.2-225951j,+29439.7-56689.8j,+50044.2-226038j,+1.03204e-08+2.15746e-08j,+49741.2-226490j,+49418.8-226893j,+12435.4-227149j,+36816.2+16.4191j,+12290-227366j,+29710-2.26282e-09j,+29593.5-56775.2j,+0+0j,+29693.2-56833.1j,+0+0j,+29757.3-56888.7j,+29710-56936.6j,-1.83651e-05+5.90557e-06j,+0+0j,-1.83796e-05+5.83486e-06j,+0+0j,+44274.9+22184.5j,+44266.6+22151.1j,+44256.4+22128.2j,+1.8798e-05-6.1858e-06j,+78145.4+96.6477j,+36176.8+227767j,+68395.2+35.6465j,+35590-1.00772e-09j,+0+0j,+35973.6+227382j,+0+0j,+0+0j,+35644.2+226357j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+126907-207161j,+935162-199368j,+556854-27516j,+387184-83305j,+114552+228190j
2016-11-04 08:00:00 PDT,+0+0j,+73818.7+613.165j,+763034-207395j,+20830+5.87897e-09j,+52948.1+572.101j,+42936.2+21468.1j,+761399-209279j,+0+0j,+0+0j,+759022-212329j,+0+0j,+74667+21321j,+161508-207389j,+0+0j,+0+0j,+25130-2.25737e-09j,+6910+2.68892e-09j,+0+0j,+55850.8+51.2561j,+0+0j,+0+0j,+55816.8+29.1997j,+22350+1.60253e-09j,+33436+10.0703j,+14112.9+2.90507j,+19314.7+3.66625j,+1.92567e-08+6.35073e-09j,+14111+1.01583j,+0+0j,+19311.8+4.34999j,+19310+7.71396e-06j,-1.2138e-06+7.71896e-06j,+8960+4.94765e-09j,+32050.4+10.5362j,+0+0j,+105496-208224j,+0+0j,+0+0j,+0+0j,+3090+4.17458e-10j,+102302-208534j,+0+0j,+102212-208754j,+0+0j,+102109-209047j,+0+0j,+75420.6+53871.9j,+2037.2-225923j,-17069.8-226179j,-42448-226457j,-42655.8-227243j,+519731-29544j,+519307-30082.4j,+2.26335e-08+4.87137e-09j,+518791-30858.3j,-5.42929e-09-2.44846e-08j,+0+0j,+517574-32674.1j,+0+0j,+1.57291e-05-1.36208e-05j,+0+0j,+193965-336557j,+148162+251625j,+0+0j,+0+0j,+0+0j,+84125.1+22410.6j,+109993-359741j,+66268.2+22342.8j,+21590+5.39148e-09j,+38689.2-226959j,+21340.5-56901.4j,+38644.6-227044j,-7.88898e-09+1.59295e-08j,+38355.8-227481j,+38054.3-227880j,+10714.4-228114j,+27188.5+8.62726j,+10570-228332j,+21590+4.84761e-09j,+21481.4-56995.7j,+0+0j,+21574.2-57059.2j,+0+0j,+21632.6-57116.9j,+21590-57160.1j,-1.45444e-05+6.55715e-06j,+0+0j,-1.4477e-05+6.53708e-06j,+0+0j,+44451.3+22273.7j,+44440.5+22238.1j,+44430.3+22215.1j,+7.13764e-06+2.32725e-06j,+60134.6+55.3261j,+43216.1+228646j,+52019.9+20.2098j,+26870-1.49339e-09j,+0+0j,+43012.5+228268j,+0+0j,+0+0j,+42656.2+227243j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+105603-207911j,+839366-203914j,+520423-28703.8j,+342091-83644.4j,+103556+229014j
2016-11-04 09:00:00 PDT,+0+0j,+65764.7+636.87j,+658351-211347j,+12690-2.7685e-09j,+53036.4+597.977j,+42995+21497.5j,+657111-212706j,+0+0j,+0+0j,+655303-214922j,+0+0j,+63554.5+21385.3j,+115349-208308j,+0+0j,+0+0j,+16090+4.78394e-10j,+4700-1.638e-09j,+0+0j,+35212.9+17.5561j,+0+0j,+0+0j,+35194.1+9.78916j,+13750+2.41835e-09j,+21428.4+2.96525j,+9791.42+1.43528j,+11632+0.261502j,+3.98415e-09-7.85442e-09j,+9790.52+0.530301j,+0+0j,+11630.7+1.57004j,+11630+7.17245e-06j,-1.44945e-06+7.20698e-06j,+6490+3.38468e-09j,+20794.3+4.33941j,+0+0j,+79991.5-209038j,+0+0j,+0+0j,+0+0j,+1980-3.2361e-09j,+77910.5-209326j,+0+0j,+77826.9-209528j,+0+0j,+77729.7-209797j,+0+0j,+75785.9+54132.8j,-22929.4-226952j,-36020.5-227217j,-52126.5-227498j,-52352-228292j,+473878-30627.4j,+473519-31067.1j,+6.09963e-09+2.95486e-08j,+473101-31617.4j,-2.03313e-08-1.43336e-08j,+0+0j,+472120-32932.7j,+0+0j,+3.9439e-06-2.93784e-07j,+0+0j,+157757-337927j,+137274+252738j,+0+0j,+0+0j,+0+0j,+68766.6+22516.8j,+89162.5-361170j,+58143.7+22463.2j,+13220-4.56112e-09j,+25684.6-228197j,+12992.8-57155.3j,+25643.2-228280j,+4.40305e-09+2.20689e-08j,+25368.3-228706j,+25086.4-229106j,+8072.86-229327j,+16873.2+3.21503j,+7930-229546j,+13220-1.84627e-09j,+13120.8-57259.4j,+0+0j,+13206.7-57329.8j,+0+0j,+13259.5-57390.5j,+13220-57430.5j,-4.90215e-06-1.1438e-05j,+0+0j,-4.9153e-06-1.14866e-05j,+0+0j,+44671.4+22384.9j,+44657.7+22346.7j,+44647.4+22323.7j,+5.8347e-07+9.33492e-06j,+39322.6+22.9315j,+52938.6+229700j,+33518.3+8.43918j,+17420-2.29375e-09j,+0+0j,+52736.1+229328j,+0+0j,+0+0j,+52352.5+228292j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+80094.2-208749j,+726024-208634j,+474464-29939.5j,+294976-83977.1j,+92446+230027j
