# file...... Overhead_lines_power_in_B.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-02-05 00:00:00 PST,+10800.8+0.830397j,-0+0j,+780364+55107.4j,+0+0j,+0+0j,+0+0j,+780123+51773.9j,+6000.33+0.330173j,-0+0j,+773947+49547.1j,+0+0j,-0+0j,+320006+12034j,+0+0j,+0+0j,+0+0j,+0+0j,-0+0j,+43113.4+21598.1j,+0+0j,+43120.7+21585.7j,-2.10775e-05+1.89457e-05j,-0+0j,-2.11237e-05+1.89513e-05j,+0+0j,-2.11117e-05+1.89803e-05j,+0+0j,+0+0j,+0+0j,-2.1125e-05+1.89467e-05j,-2.11129e-05+1.89845e-05j,-2.11809e-05+1.89565e-05j,+0+0j,+0+0j,+28963.9+9862.78j,+231059-31362.4j,-0+0j,+28967.2+9842.98j,+7950.83+0.844538j,-0+0j,+230891-31613.9j,+42917+21482.5j,+187807-53350.2j,-0+0j,+187729-53476.8j,+0+0j,+75104.6+53658.7j,+75508-132122j,+33791.8-132204j,+33732.6-132262j,+33664.9-132333j,+453120+32780.5j,+452985+32031.4j,+13800.1+3.69735j,+439083+31554.5j,+13800.7+1.66911j,+33619.7+9830.37j,+404834+19943.1j,+12601.6+1.63307j,+2.80726e-06+1.89071e-05j,-0+0j,+249582-176779j,+38188.1+133005j,+0+0j,+0+0j,+0+0j,-0+0j,+249074-177541j,+0+0j,+0+0j,+59342.8-218339j,+104012-34452j,+32053.1-218779j,-1.42824e-09-2.39418e-08j,+32000.2-218884j,+430.007-219320j,+238.35-219758j,-0+0j,+120.17-220003j,+0+0j,+97832.3-34955.4j,-0+0j,+64969.4-35248.7j,+42712.2-35413.4j,+22201.7+49.1182j,-0+0j,+22200.6+27.0112j,-0+0j,+22203.4+6.16166j,+13051.4+1.39032j,+24699.4+0.923301j,+24697.7+0.805259j,+1.79262e-05-6.2886e-06j,+1.79258e-05-6.29711e-06j,-0+0j,+13352.6+132918j,+0+0j,+0+0j,+46372.5+32.9283j,-33058.9+132859j,+23613+13.1299j,-0+0j,-33165.1+132824j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+276494-11542.2j,+791608+59327.5j,+453326+34259.8j,+287904-42822.9j,+13415+132962j
2016-02-05 01:00:00 PST,+9520.63+0.642507j,+0+0j,+652785-419119j,+0+0j,+0+0j,+0+0j,+652969-422509j,+5200.24+0.244364j,+0+0j,+647879-424765j,+0+0j,+0+0j,+277979-157483j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44276.5+22155.7j,+0+0j,+44262.8+22157.3j,-2.3489e-06+6.56495e-06j,+0+0j,-2.38771e-06+6.57062e-06j,+0+0j,-2.39709e-06+6.59106e-06j,+0+0j,+0+0j,+0+0j,-2.32221e-06+6.59267e-06j,-2.33927e-06+6.59747e-06j,-2.34335e-06+6.61103e-06j,+0+0j,+0+0j,+16822.9-21383.1j,+201262-169175j,+0+0j,+16819.7-21408.4j,+6960.62+0.626599j,+0+0j,+201096-169465j,+44367.6+22208.6j,+156562-191967j,+0+0j,+156477-192175j,+0+0j,+77879.1+55641.6j,+53432-210237j,+15170.1-210446j,+15039.5-210641j,+14893.9-210852j,+369865-272394j,+369866-273322j,+12239.9+2.87264j,+357613-273898j,+12240.6+1.27051j,+20966.7-21503j,+335951-254346j,+11121.2+1.22194j,+8.99917e-06+8.50638e-06j,+0+0j,+207890-418717j,+54180.4+213112j,+0+0j,+0+0j,+0+0j,+0+0j,+206777-420188j,+0+0j,+0+0j,+55238.7-231697j,+74710.1-100994j,+29824.1-232165j,-1.42924e-09-2.51e-08j,+29768.7-232278j,+458.94-232750j,+252.104-233226j,+0+0j,+126.888-233490j,+0+0j,+69110.8-101547j,+0+0j,+38504.4-101884j,+18821.6-102080j,+19519.7+46.7866j,+0+0j,+19519.4+25.0438j,+0+0j,+19522.5+4.46606j,+11521+1.01389j,+23698.6-0.125588j,+23696.9+0.067217j,+9.95947e-06+4.10776e-06j,+9.94181e-06+4.10218e-06j,+0+0j,+30109+212730j,+0+0j,+0+0j,+43597.3+27.6738j,-13632.9+212522j,+22170.9+11.0168j,+0+0j,-13852.3+212314j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+233320-181120j,+662068-414787j,+369807-270512j,+262474-204411j,+30280.9+212923j
2016-02-05 02:00:00 PST,+9050.57+0.58061j,+0+0j,+644205-419793j,+0+0j,+0+0j,+0+0j,+644382-423133j,+4950.22+0.221422j,+0+0j,+639538-425355j,+0+0j,+0+0j,+274722-157864j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44281+22158.3j,+0+0j,+44267.6+22159.8j,+8.35852e-06-6.66321e-06j,+0+0j,+8.37463e-06-6.65838e-06j,+0+0j,+8.36334e-06-6.64941e-06j,+0+0j,+0+0j,+0+0j,+8.37882e-06-6.68087e-06j,+8.36646e-06-6.65696e-06j,+8.35448e-06-6.62821e-06j,+0+0j,+0+0j,+16488.6-21382.7j,+198801-169258j,+0+0j,+16485.4-21407.6j,+6620.56+0.566792j,+0+0j,+198636-169543j,+44373.5+22211.5j,+154097-192043j,+0+0j,+154013-192248j,+0+0j,+77890.4+55649.6j,+50946.2-210318j,+14035-210526j,+13904-210721j,+13758.3-210931j,+364775-272527j,+364774-273440j,+11629.9+2.60876j,+353130-274007j,+11630.5+1.14696j,+20422.6-21501.8j,+332020-254433j,+10571.1+1.10393j,-8.97221e-08-4.04281e-06j,+0+0j,+204213-418831j,+53903.3+213187j,+0+0j,+0+0j,+0+0j,+0+0j,+203107-420293j,+0+0j,+0+0j,+53660.7-231768j,+72579-101037j,+28947-232235j,-2.76328e-08+8.29931e-09j,+28891.4-232348j,+461.395-232820j,+252.845-233296j,+0+0j,+127.218-233560j,+0+0j,+67232.5-101579j,+0+0j,+37567.5-101910j,+18845.3-102103j,+18559.3+44.041j,+0+0j,+18559.2+23.4723j,+0+0j,+18562.3+4.03526j,+10950.9+0.91564j,+23328.4-0.344578j,+23326.7-0.0846005j,+9.04289e-06+3.10208e-06j,+9.10208e-06+3.15883e-06j,+0+0j,+30202.8+212805j,+0+0j,+0+0j,+42556+26.3515j,-12498.4+212597j,+21630.3+10.4839j,+0+0j,-12717.1+212389j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+230064-181483j,+653025-415529j,+364721-270674j,+258515-204468j,+30374.2+212998j
2016-02-05 03:00:00 PST,+9020.57+0.576765j,+0+0j,+643506-419844j,+0+0j,+0+0j,+0+0j,+643682-423180j,+4900.21+0.21697j,+0+0j,+638888-425400j,+0+0j,+0+0j,+274469-157893j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44281.6+22158.7j,+0+0j,+44268.3+22160.1j,-1.37114e-06+2.13359e-06j,+0+0j,-1.36099e-06+2.14464e-06j,+0+0j,-1.38173e-06+2.17469e-06j,+0+0j,+0+0j,+0+0j,-1.37199e-06+2.19931e-06j,-1.38804e-06+2.17805e-06j,-1.40585e-06+2.15395e-06j,+0+0j,+0+0j,+16449.3-21382.6j,+198618-169266j,+0+0j,+16446.1-21407.6j,+6580.55+0.559953j,+0+0j,+198453-169551j,+44374.2+22211.9j,+153914-192051j,+0+0j,+153830-192256j,+0+0j,+77891.6+55650.6j,+50760.4-210327j,+13909.4-210534j,+13778.3-210729j,+13632.7-210940j,+364378-272538j,+364378-273450j,+11619.9+2.60451j,+352744-274016j,+11620.5+1.14497j,+20393.4-21501.7j,+331664-254440j,+10541.1+1.09766j,+1.1734e-05+4.82688e-06j,+0+0j,+203909-418842j,+53848.3+213195j,+0+0j,+0+0j,+0+0j,+0+0j,+202804-420304j,+0+0j,+0+0j,+53540.9-231776j,+72391.3-101040j,+28887.2-232243j,+6.93035e-09-1.7066e-08j,+28831.7-232356j,+461.603-232828j,+252.89-233304j,+0+0j,+127.241-233568j,+0+0j,+67094.9-101582j,+0+0j,+37490-101912j,+18847.9-102105j,+18479.3+43.8186j,+0+0j,+18479.2+23.3463j,+0+0j,+18482.2+4.00322j,+10920.9+0.910592j,+23268.3-0.379268j,+23266.7-0.108485j,-9.86582e-06+4.20088e-06j,-9.84008e-06+4.19833e-06j,+0+0j,+30207.9+212813j,+0+0j,+0+0j,+42435.9+26.2033j,-12373.2+212606j,+21570.3+10.4255j,+0+0j,-12591.8+212397j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+229812-181510j,+652295-415586j,+364325-270687j,+258156-204473j,+30379.3+213006j
2016-02-05 04:00:00 PST,+8890.55+0.560323j,+0+0j,+657104-418539j,+0+0j,+0+0j,+0+0j,+657272-421927j,+4950.22+0.22148j,+0+0j,+652422-424182j,+0+0j,+0+0j,+279963-157168j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44256.7+22145.5j,+0+0j,+44242.7+22147.3j,-1.62169e-05+7.07359e-06j,+0+0j,-1.62192e-05+7.08445e-06j,+0+0j,-1.61825e-05+7.11928e-06j,+0+0j,+0+0j,+0+0j,-1.61968e-05+7.10888e-06j,-1.61952e-05+7.11218e-06j,-1.62368e-05+7.09336e-06j,+0+0j,+0+0j,+16411.1-21378.3j,+203232-169111j,+0+0j,+16407.9-21403.2j,+6550.55+0.555206j,+0+0j,+203063-169404j,+44343.9+22196.7j,+158549-191896j,+0+0j,+158461-192105j,+0+0j,+77834.6+55609.8j,+55466.7-210147j,+16889-210356j,+16758.4-210550j,+16612.2-210761j,+372400-272131j,+372398-273060j,+11349.8+2.49336j,+361033-273637j,+11350.5+1.09288j,+20214.3-21498.5j,+340112-254103j,+10371+1.06313j,+4.51897e-06-1.90207e-06j,+0+0j,+209257-418466j,+56969.1+213031j,+0+0j,+0+0j,+0+0j,+0+0j,+208145-419933j,+0+0j,+0+0j,+57392.5-231511j,+73957.9-100952j,+30705-231978j,-1.36106e-09-5.28993e-09j,+30649.4-232091j,+458.577-232560j,+252.486-233033j,+0+0j,+127.017-233296j,+0+0j,+68610.6-101502j,+0+0j,+37255.3-101836j,+18813.2-102027j,+18279.4+43.2483j,+0+0j,+18279.2+23.0632j,+0+0j,+18282.2+3.91126j,+10740.9+0.881807j,+25299.5+0.894819j,+25297.7+0.767825j,+8.60698e-06+6.7363e-06j,+8.63306e-06+6.74858e-06j,+0+0j,+31297.1+212645j,+0+0j,+0+0j,+46501+31.4584j,-15346.8+212432j,+23602.3+12.495j,+0+0j,-15567.5+212224j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+235307-180797j,+665770-414221j,+372345-270244j,+266637-204225j,+31469+212839j
2016-02-05 05:00:00 PST,+9770.67+0.676922j,+0+0j,+702137-414422j,+0+0j,+0+0j,+0+0j,+702303-418034j,+5350.26+0.258866j,+0+0j,+697050-420438j,+0+0j,+0+0j,+297659-154890j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44202.6+22116.7j,+0+0j,+44186.8+22119.4j,+4.23813e-06+4.20273e-06j,+0+0j,+4.25733e-06+4.26283e-06j,+0+0j,+4.26635e-06+4.31473e-06j,+0+0j,+0+0j,+0+0j,+4.2921e-06+4.32051e-06j,+4.25747e-06+4.30682e-06j,+4.26809e-06+4.33355e-06j,+0+0j,+0+0j,+16983.7-21371.8j,+217490-168644j,+0+0j,+16980.5-21397.2j,+7150.65+0.662534j,+0+0j,+217306-168963j,+44276.2+22162.9j,+172846-191449j,+0+0j,+172751-191673j,+0+0j,+77706.6+55518.4j,+69938.7-209645j,+24985.5-209861j,+24856.2-210055j,+24709.1-210270j,+399308-271023j,+399305-272022j,+12549.9+3.01636j,+386737-272643j,+12550.6+1.33747j,+21224.7-21495.4j,+364744-253244j,+11411.3+1.28871j,+8.16821e-06-1.17436e-06j,+0+0j,+227513-417515j,+63420.9+212585j,+0+0j,+0+0j,+0+0j,+0+0j,+226367-419015j,+0+0j,+0+0j,+68053.4-230869j,+81746.3-100691j,+36265.8-231343j,-2.09389e-08+1.74596e-09j,+36210.2-231455j,+447.66-231920j,+249.991-232388j,+0+0j,+125.849-232652j,+0+0j,+75989.9-101280j,+0+0j,+38900-101638j,+18696.3-101833j,+20040.6+48.3109j,+0+0j,+20039.8+26.0621j,+0+0j,+20042.6+4.72323j,+11821.1+1.07131j,+30182.4+4.8363j,+30180.2+3.46869j,+1.499e-06+9.11832e-07j,+1.4934e-06+9.23785e-07j,+0+0j,+32863+212189j,+0+0j,+0+0j,+56155.3+45.9226j,-23429+211963j,+28458+18.2075j,+0+0j,-23655.7+211755j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+252995-178590j,+711682-409817j,+399238-268993j,+291384-203609j,+33037.3+212386j
2016-02-05 06:00:00 PST,+11861+0.997898j,+0+0j,+770766-408254j,+0+0j,+0+0j,+0+0j,+770926-412232j,+6700.4+0.406323j,+0+0j,+764314-414880j,+0+0j,+0+0j,+324143-151585j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44126.9+22076.1j,+0+0j,+44108.4+22080.1j,+3.81314e-06-5.86148e-06j,+0+0j,+3.80555e-06-5.82328e-06j,+0+0j,+3.84579e-06-5.80466e-06j,+0+0j,+0+0j,+0+0j,+3.87691e-06-5.77746e-06j,+3.85906e-06-5.78942e-06j,+3.84793e-06-5.7905e-06j,+0+0j,+0+0j,+18583.1-21362.2j,+238434-167875j,+0+0j,+18579.9-21389j,+8790.99+1.0034j,+0+0j,+238231-168237j,+44182.4+22115.9j,+193846-190718j,+0+0j,+193739-190968j,+0+0j,+77529+55391.6j,+91182.8-208845j,+36529.7-209075j,+36402.6-209270j,+36255-209491j,+440049-269346j,+440044-270456j,+15060.2+4.26953j,+424960-271147j,+15060.9+1.92862j,+23591.3-21490.3j,+400498-251959j,+13821.9+1.89417j,-1.22897e-05+1.94592e-05j,+0+0j,+255294-416069j,+71486.2+211870j,+0+0j,+0+0j,+0+0j,+0+0j,+254089-417630j,+0+0j,+0+0j,+82710-229938j,+95136.4-100270j,+43848-230423j,+3.0254e-08+6.90871e-09j,+43792.6-230534j,+429.098-230995j,+245.137-231456j,+0+0j,+123.579-231720j,+0+0j,+88009.1-100934j,+0+0j,+43128.9-101334j,+18520.7-101545j,+24443.5+61.6732j,+0+0j,+24441.3+33.9814j,+0+0j,+24443.9+7.03387j,+14311.6+1.57742j,+37347.5+12.8806j,+37344.6+8.95318j,-8.01446e-06+7.8146e-06j,-8.00281e-06+7.82888e-06j,+0+0j,+33758.5+211460j,+0+0j,+0+0j,+68587.8+68.7398j,-34957+211216j,+34766.9+27.2658j,+0+0j,-35192.6+211010j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+279459-175411j,+782419-403168j,+439955-267086j,+327297-202695j,+33936.4+211660j
2016-02-05 07:00:00 PST,+13741.3+1.33917j,+0+0j,+767545-409133j,+0+0j,+0+0j,+0+0j,+767761-413125j,+7700.53+0.536452j,+0+0j,+760184-415780j,+0+0j,+0+0j,+322264-152018j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44163.7+22095j,+0+0j,+44145.7+22098.8j,-3.43984e-07+7.78808e-06j,+0+0j,-3.39802e-07+7.80565e-06j,+0+0j,-3.30752e-07+7.81504e-06j,+0+0j,+0+0j,+0+0j,-3.07616e-07+7.82222e-06j,-3.12467e-07+7.82358e-06j,-3.6432e-07+7.82138e-06j,+0+0j,+0+0j,+19946.6-21369.8j,+235833-167949j,+0+0j,+19943.5-21397.9j,+10151.3+1.33683j,+0+0j,+235639-168306j,+44226.7+22138.1j,+191219-190806j,+0+0j,+191117-191053j,+0+0j,+77612.1+55450.9j,+88468.6-208967j,+33289.2-209196j,+33164.5-209392j,+33020-209612j,+437880-269803j,+437888-270909j,+17500.6+5.6845j,+420369-271597j,+17501.2+2.60239j,+25797.4-21496.4j,+393725-252366j,+16022.5+2.54342j,-2.09441e-06+6.30647e-06j,+0+0j,+255691-416405j,+64360.9+211943j,+0+0j,+0+0j,+0+0j,+0+0j,+254480-417983j,+0+0j,+0+0j,+79274.3-230241j,+98897-100289j,+42490.2-230725j,-1.96497e-08-2.59133e-08j,+42435.6-230837j,+426.258-231303j,+243.019-231770j,+0+0j,+122.674-232035j,+0+0j,+90759.6-100979j,+0+0j,+46984.5-101388j,+18532.2-101620j,+28285.6+74.189j,+0+0j,+28282.7+41.292j,+0+0j,+28285.3+9.41791j,+16592.1+2.11835j,+32603.8+7.28154j,+32601.6+5.14809j,-2.84293e-06-5.19421e-06j,-2.82764e-06-5.18321e-06j,+0+0j,+31380.9+211549j,+0+0j,+0+0j,+62997.3+58.0869j,-31745.5+211319j,+32052.8+23.143j,+0+0j,-31976.4+211117j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+277583-175866j,+781029-404000j,+437768-267556j,+320550-202982j,+31556.4+211745j
2016-02-05 08:00:00 PST,+11300.9+0.905488j,+0+0j,+677019-417304j,+0+0j,+0+0j,+0+0j,+677214-420747j,+5500.27+0.273518j,+0+0j,+671830-423039j,+0+0j,+0+0j,+286710-156567j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44239.9+22137.1j,+0+0j,+44225.8+22138.9j,+1.88396e-05-6.40508e-06j,+0+0j,+1.88654e-05-6.39782e-06j,+0+0j,+1.88605e-05-6.34505e-06j,+0+0j,+0+0j,+0+0j,+1.89013e-05-6.33715e-06j,+1.88933e-05-6.35242e-06j,+1.88608e-05-6.38398e-06j,+0+0j,+0+0j,+17751.8-21374.4j,+207969-168982j,+0+0j,+17748.7-21400.5j,+7900.8+0.808093j,+0+0j,+207799-169280j,+44322.4+22186j,+163306-191767j,+0+0j,+163219-191979j,+0+0j,+77793.8+55580.7j,+60282.9-209997j,+18342.2-210206j,+18216.5-210398j,+18075.5-210607j,+385087-271664j,+385090-272608j,+15100.2+4.28221j,+369974-273194j,+15100.9+1.93563j,+23136.9-21489.7j,+346116-253670j,+13301.7+1.75037j,+1.04252e-05+4.63268e-06j,+0+0j,+216606-417914j,+55719.3+212830j,+0+0j,+0+0j,+0+0j,+0+0j,+215476-419414j,+0+0j,+0+0j,+57864.3-231243j,+80878.6-100756j,+31911.2-231715j,-4.01507e-09+1.68265e-08j,+31856.4-231829j,+449.013-232303j,+247.639-232781j,+0+0j,+124.851-233047j,+0+0j,+74969.4-101345j,+0+0j,+41737.6-101702j,+18772.2-101914j,+22800.9+56.8795j,+0+0j,+22800.3+30.8629j,+0+0j,+22803.5+6.17922j,+13801.4+1.45837j,+28191.5+3.1306j,+28189.1+2.26708j,+2.4368e-05-1.2427e-05j,+2.43596e-05-1.24052e-05j,+0+0j,+27159.1+212449j,+0+0j,+0+0j,+43867.7+28.1087j,-16847.4+212247j,+22351.1+11.2157j,+0+0j,-17063.1+212047j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+242075-180235j,+688087-412887j,+385021-269750j,+272744-203828j,+27330.2+212639j
2016-02-05 09:00:00 PST,+8230.47+0.480094j,+0+0j,+577925-425377j,+0+0j,+0+0j,+0+0j,+578095-428324j,+3050.08+0.084033j,+0+0j,+575152-430285j,+0+0j,+0+0j,+248439-161139j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44333.4+22187.9j,+0+0j,+44323.4+22187.7j,+1.65636e-05-4.07401e-06j,+0+0j,+1.65464e-05-4.03092e-06j,+0+0j,+1.65579e-05-3.98232e-06j,+0+0j,+0+0j,+0+0j,+1.65709e-05-4.01287e-06j,+1.65836e-05-4.02873e-06j,+1.65293e-05-4.05204e-06j,+0+0j,+0+0j,+15154.8-21381.2j,+177897-169992j,+0+0j,+15151.5-21405.1j,+5240.35+0.3546j,+0+0j,+177749-170236j,+44438.3+22244j,+133164-192726j,+0+0j,+133090-192906j,+0+0j,+78013.1+55737.3j,+29812-211060j,+1810.51-211256j,+1681.83-211448j,+1543.15-211649j,+326686-273564j,+326686-274358j,+11809.9+2.68351j,+314862-274850j,+11810.5+1.18228j,+19734.8-21486.6j,+294518-255051j,+9830.94+0.954137j,-1.99858e-05+1.15379e-05j,+0+0j,+175674-419634j,+44825.7+213810j,+0+0j,+0+0j,+0+0j,+0+0j,+174607-421067j,+0+0j,+0+0j,+36418.8-232411j,+60960.9-101282j,+21059.1-232879j,+5.04358e-09-3.88618e-09j,+21003.3-232995j,+474.584-233479j,+253.671-233968j,+0+0j,+127.671-234234j,+0+0j,+57522.3-101773j,+0+0j,+35280.1-102077j,+19039.1-102266j,+16077.9+37.5209j,+0+0j,+16078.7+19.6831j,+0+0j,+16081.8+3.13108j,+10230.8+0.796701j,+19276.6-2.23621j,+19275-1.41826j,+1.47869e-05-6.21545e-06j,+1.47866e-05-6.20522e-06j,+0+0j,+25189.6+213443j,+0+0j,+0+0j,+25389.3+9.39522j,-348.571+213256j,+12963.7+3.7577j,+0+0j,-552.116+213050j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+203812-184648j,+585943-421617j,+326657-271959j,+220856-204782j,+25354.3+213627j
2016-02-05 10:00:00 PST,+7460.39+0.394337j,+0+0j,+530354-429252j,+0+0j,+0+0j,+0+0j,+530516-432021j,+2300.05+0.0477534j,+0+0j,+528319-433864j,+0+0j,+0+0j,+229755-163394j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44397.8+22222.2j,+0+0j,+44389.9+22221j,-1.24056e-05+1.10234e-05j,+0+0j,-1.24091e-05+1.10603e-05j,+0+0j,-1.24194e-05+1.1066e-05j,+0+0j,+0+0j,+0+0j,-1.24361e-05+1.10271e-05j,-1.24173e-05+1.10539e-05j,-1.24369e-05+1.10474e-05j,+0+0j,+0+0j,+14446-21389.2j,+162820-170444j,+0+0j,+14442.6-21412.6j,+4500.26+0.261077j,+0+0j,+162685-170666j,+44517.1+22283.4j,+118032-193172j,+0+0j,+117965-193342j,+0+0j,+78161.7+55843.4j,+14474.3-211583j,-7125.22-211778j,-7256.62-211972j,-7394.79-212172j,+298545-274605j,+298545-275344j,+11099.8+2.38492j,+287433-275801j,+11100.5+1.04319j,+18918.2-21490.9j,+267952-255888j,+8980.78+0.79506j,+2.17012e-05-5.27346e-06j,+0+0j,+156374-420677j,+37411.5+214323j,+0+0j,+0+0j,+0+0j,+0+0j,+155328-422088j,+0+0j,+0+0j,+24986.5-233142j,+52852.1-101563j,+15352.2-233612j,-4.30674e-09-3.33348e-08j,+15296-233730j,+486.585-234222j,+256.263-234718j,+0+0j,+128.928-234985j,+0+0j,+50167.6-102017j,+0+0j,+33647.2-102301j,+19166.9-102486j,+14317.3+32.7995j,+0+0j,+14318.4+16.9944j,+0+0j,+14321.5+2.50976j,+9360.66+0.6647j,+13744.1-3.51819j,+13743-2.31472j,+2.64966e-06+2.76897e-06j,+2.67728e-06+2.78949e-06j,+0+0j,+23309.2+213962j,+0+0j,+0+0j,+14573.1+3.11412j,+8580.36+213778j,+7521.24+1.26145j,+0+0j,+8381.08+213568j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+185111-186859j,+537617-425716j,+298531-273118j,+194121-205408j,+23471.9+214142j
