# file...... underground_lines_power_in_A.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= underground_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O60-62,O62-63,O63-64,O64-65,O65-66
2016-02-05 00:00:00 PST,+65166.3+47391.5i,+65107.6+47379.8i,+45416.7+47371.9i,+45362.8+47361.6i,+8.83877e-09+1.97695e-09i
2016-02-05 01:00:00 PST,+65278.1+48679i,+65218.9+48668.7i,+47737.6+48661.7i,+47679.6+48652i,-5.39873e-09-3.85476e-09i
2016-02-05 02:00:00 PST,+64428.7+48715.2i,+64370.4+48705.1i,+47759.9+48698.2i,+47701.8+48688.5i,-5.48988e-09-8.66494e-10i
2016-02-05 03:00:00 PST,+64420.2+48717i,+64362+48706.9i,+47761.5+48700.1i,+47703.4+48690.4i,-2.06339e-08+8.98287e-10i
2016-02-05 04:00:00 PST,+63985.4+48689.3i,+63927.6+48679.3i,+47727.4+48672.5i,+47669.4+48662.8i,+4.28836e-09-3.17352e-10i
2016-02-05 05:00:00 PST,+65594.3+48552.1i,+65534.7+48541.7i,+47613.2+48534.7i,+47555.3+48525i,-8.43835e-09+2.02799e-09i
2016-02-05 06:00:00 PST,+68976+48327.1i,+68912.3+48315.9i,+47438+48308.3i,+47380.4+48298.6i,+2.15787e-08+2.58022e-09i
2016-02-05 07:00:00 PST,+72466.8+48265.4i,+72398.7+48253.3i,+47441.2+48245.1i,+47383.7+48235.2i,+1.32178e-08-1.08382e-09i
2016-02-05 08:00:00 PST,+69371.6+48565.3i,+69307.5+48553.8i,+47662.9+48546.1i,+47605+48536i,-1.02966e-08+3.39022e-09i
2016-02-05 09:00:00 PST,+65016.9+48882.6i,+64958.1+48872i,+47907.1+48864.8i,+47849+48854.7i,-1.31884e-08+3.52562e-09i
2016-02-05 10:00:00 PST,+64164.4+49014.8i,+64106.6+49004.4i,+48026.3+48997.4i,+47968+48987.3i,+1.35271e-08+2.92523e-09i
2016-02-05 11:00:00 PST,+64090.9+49076.5i,+64033.2+49066.2i,+48083+49059.2i,+48024.6+49049i,+1.06351e-08-1.0837e-09i
2016-02-05 12:00:00 PST,+63645.8+49108.2i,+63588.5+49098i,+48108.7+49091.1i,+48050.2+49081i,+6.93808e-09+2.41732e-09i
2016-02-05 13:00:00 PST,+63607.7+49125.5i,+63550.5+49115.2i,+48120.7+49108.3i,+48062.2+49098.1i,+1.34055e-08+2.48404e-09i
2016-02-05 14:00:00 PST,+64454.2+49067.9i,+64396.1+49057.4i,+48075.6+49050.4i,+48017.2+49040.2i,+1.23685e-08-5.18862e-10i
2016-02-05 15:00:00 PST,+65358.2+48943.1i,+65299.1+48932.4i,+47967.8+48925.2i,+47909.6+48915i,+3.00087e-08-2.88798e-09i
2016-02-05 16:00:00 PST,+69650.3+48501.8i,+69585.8+48490.2i,+47601+48482.3i,+47543.3+48472.1i,-7.00638e-10+3.51659e-09i
2016-02-05 17:00:00 PST,+77473+47824.2i,+77397.9+47810.9i,+47075.6+47801.8i,+47018.6+47792i,-2.05792e-08+1.19558e-09i
2016-02-05 18:00:00 PST,+83104.9+47502.2i,+83021.4+47487.4i,+46853.3+47477.4i,+46796.5+47467.6i,-1.01834e-08-2.04054e-09i
2016-02-05 19:00:00 PST,+86611.4+47381.7i,+86522.4+47365.9i,+46790.4+47355.1i,+46733.7+47345.3i,-7.83635e-09-2.88986e-09i
2016-02-05 20:00:00 PST,+86148.2+47417.7i,+86059.9+47402.1i,+46818.4+47391.4i,+46761.8+47381.6i,+1.28756e-09-1.93998e-09i
2016-02-05 21:00:00 PST,+83205.3+47643.8i,+83121.7+47629i,+46993.5+47619i,+46936.6+47609.2i,-4.49164e-09+3.03838e-09i
2016-02-05 22:00:00 PST,+77697.5+47992.5i,+77622.2+47979.2i,+47259.7+47970.2i,+47202.4+47960.4i,+6.77233e-09-3.09002e-09i
2016-02-05 23:00:00 PST,+73011.2+48296.4i,+72942.4+48284.3i,+47484.4+48276.1i,+47426.7+48266.3i,+9.823e-09-2.96035e-09i
2016-02-06 00:00:00 PST,+68720.3+48515.5i,+68656.9+48504.4i,+47632.8+48496.9i,+47574.9+48487.1i,-3.78458e-09-1.80867e-09i
2016-02-06 01:00:00 PST,+66148.9+48621.2i,+66088.7+48610.7i,+47696.8+48603.6i,+47638.8+48593.9i,-5.32987e-09+1.61793e-09i
2016-02-06 02:00:00 PST,+65697.5+48649.8i,+65637.8+48639.4i,+47716.2+48632.4i,+47658.2+48622.7i,-7.32077e-09-9.82839e-10i
2016-02-06 03:00:00 PST,+65698.4+48650.7i,+65638.7+48640.3i,+47717.1+48633.2i,+47659.1+48623.5i,+7.60953e-09-2.52313e-09i
2016-02-06 04:00:00 PST,+65251.7+48621.5i,+65192.5+48611.2i,+47681.3+48604.2i,+47623.4+48594.5i,-2.11487e-08+1.92387e-09i
2016-02-06 05:00:00 PST,+66865.4+48477.1i,+66804.3+48466.4i,+47561.8+48459.2i,+47504+48449.5i,-6.05837e-09+8.20034e-10i
2016-02-06 06:00:00 PST,+70282.9+48243.1i,+70217.6+48231.6i,+47382+48223.8i,+47324.6+48214.1i,-8.16632e-10+2.7265e-09i
2016-02-06 07:00:00 PST,+74205.5+48171.4i,+74135+48159.1i,+47385.9+48150.7i,+47328.4+48141i,-1.72212e-08+5.03776e-10i
2016-02-06 08:00:00 PST,+71148.7+48497.4i,+71082.3+48485.9i,+47656+48478i,+47598+48468.3i,+1.36214e-08-1.23398e-09i
2016-02-06 09:00:00 PST,+66386.6+48833.4i,+66326+48822.9i,+47913.9+48815.9i,+47855.6+48806.2i,-4.91203e-10-2.47736e-09i
