# file...... Overhead_lines_power_in_B.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-03-04 00:00:00 PST,+10080.7+0.723329j,-0+0j,+764679+53846.6j,+0+0j,+0+0j,+0+0j,+764449+50627.3j,+5600.28+0.28759j,-0+0j,+758682+48477j,+0+0j,-0+0j,+314039+11357.1j,+0+0j,+0+0j,+0+0j,+0+0j,-0+0j,+43123.4+21603.6j,+0+0j,+43131.3+21591j,-2.33831e-06+4.58956e-06j,-0+0j,-2.36423e-06+4.61489e-06j,+0+0j,-2.34671e-06+4.64097e-06j,+0+0j,+0+0j,+0+0j,-2.33046e-06+4.66142e-06j,-2.30658e-06+4.69847e-06j,-2.29814e-06+4.72682e-06j,+0+0j,+0+0j,+28432.9+9870.88j,+226490-31477.5j,-0+0j,+28436.3+9851.8j,+7420.73+0.735454j,-0+0j,+226326-31719.3j,+42929.9+21489j,+183233-53452.3j,-0+0j,+183158-53572.7j,+0+0j,+75129.3+53676.4j,+70920.8-132248j,+31542.5-132327j,+31483.4-132384j,+31416.3-132454j,+443849+32553.9j,+443718+31833.6j,+12880+3.24214j,+430740+31375.6j,+12880.6+1.45375j,+32777.4+9839.55j,+397364+19811.8j,+11761.4+1.4222j,+2.56974e-06+2.30694e-06j,-0+0j,+242934-176941j,+37406.4+133115j,+0+0j,+0+0j,+0+0j,-0+0j,+242443-177680j,+0+0j,+0+0j,+56355.2-218489j,+100401-34498.6j,+30427.6-218927j,+2.02841e-09-1.32647e-08j,+30374.6-219032j,+434.256-219467j,+239.58-219906j,-0+0j,+120.722-220151j,+0+0j,+94629-34978.7j,-0+0j,+63490.4-35259.5j,+42715.4-35417.3j,+20720.8+45.0194j,-0+0j,+20720.1+24.5758j,-0+0j,+20723+5.36272j,+12181.2+1.21004j,+23859+0.352976j,+23857.3+0.410294j,+3.36508e-06-4.66495e-06j,+3.35337e-06-4.66591e-06j,-0+0j,+13411.8+133028j,+0+0j,+0+0j,+44189.5+29.8764j,-30817.6+132971j,+22491.8+11.9066j,-0+0j,-30921.3+132937j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+270537-12165.7j,+775182+57912.6j,+444052+33976.7j,+280462-42914j,+13473.7+133072j
2016-03-04 01:00:00 PST,+8800.54+0.548973j,+0+0j,+639327-420182j,+0+0j,+0+0j,+0+0j,+639500-423498j,+4800.21+0.208201j,+0+0j,+634805-425704j,+0+0j,+0+0j,+272883-158084j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44284+22160j,+0+0j,+44270.8+22161.4j,-2.19298e-06+7.95082e-06j,+0+0j,-2.16925e-06+8.01086e-06j,+0+0j,-2.1748e-06+7.99106e-06j,+0+0j,+0+0j,+0+0j,-2.15887e-06+8.05016e-06j,-2.18162e-06+8.01917e-06j,-2.19679e-06+7.99772e-06j,+0+0j,+0+0j,+16300.9-21383j,+197420-169303j,+0+0j,+16297.7-21407.8j,+6430.53+0.534673j,+0+0j,+197256-169587j,+44377.4+22213.5j,+152715-192086j,+0+0j,+152631-192289j,+0+0j,+77898+55655j,+49552-210364j,+13326.1-210571j,+13194.8-210766j,+13049-210976j,+361878-272620j,+361877-273526j,+11319.8+2.47943j,+350543-274089j,+11320.5+1.08657j,+20135.1-21501.9j,+329726-254503j,+10281+1.04409j,+1.93401e-05+5.02556e-06j,+0+0j,+202108-418915j,+53702.6+213231j,+0+0j,+0+0j,+0+0j,+0+0j,+201006-420373j,+0+0j,+0+0j,+52772-231818j,+71348-101065j,+28428.7-232285j,-7.41694e-10-9.13636e-09j,+28373.1-232398j,+462.887-232870j,+253.308-233346j,+0+0j,+127.429-233610j,+0+0j,+66152.9-101602j,+0+0j,+37058.7-101929j,+18856.8-102120j,+18039.1+42.5679j,+0+0j,+18039.1+22.6332j,+0+0j,+18042.1+3.81233j,+10650.9+0.865911j,+23068.3-0.494252j,+23066.6-0.188019j,+1.50836e-05-2.09516e-06j,+1.50649e-05-2.12197e-06j,+0+0j,+30262.2+212849j,+0+0j,+0+0j,+41905.2+25.5482j,-11788.8+212641j,+21300+10.1645j,+0+0j,-12007.2+212432j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+228226-181694j,+647900-415952j,+361827-270781j,+256207-204519j,+30433.6+213041j
2016-03-04 02:00:00 PST,+8300.48+0.488345j,+0+0j,+631001-420813j,+0+0j,+0+0j,+0+0j,+631167-424079j,+4500.18+0.182982j,+0+0j,+626767-426253j,+0+0j,+0+0j,+269757-158441j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44287.8+22162.2j,+0+0j,+44274.9+22163.4j,+4.67912e-06+3.00602e-06j,+0+0j,+4.65476e-06+3.02042e-06j,+0+0j,+4.65632e-06+3.00964e-06j,+0+0j,+0+0j,+0+0j,+4.68551e-06+3.0351e-06j,+4.67939e-06+3.07214e-06j,+4.69577e-06+3.05118e-06j,+0+0j,+0+0j,+15926.5-21382.4j,+195094-169385j,+0+0j,+15923.2-21406.9j,+6050.47+0.473282j,+0+0j,+194931-169663j,+44382.3+22216j,+150386-192160j,+0+0j,+150302-192361j,+0+0j,+77907.3+55661.7j,+47204.1-210443j,+12258.9-210648j,+12127.1-210843j,+11981.3-211052j,+356959-272738j,+356956-273630j,+10699.8+2.23081j,+346242-274184j,+10700.4+0.970757j,+19560.9-21500.6j,+326006-254577j,+9700.92+0.929508j,-1.27518e-05+1.09339e-05j,+0+0j,+198510-419019j,+53557.9+213304j,+0+0j,+0+0j,+0+0j,+0+0j,+197415-420469j,+0+0j,+0+0j,+51334.4-231882j,+69156.6-101106j,+27621.7-232348j,-9.52279e-10+8.77636e-09j,+27565.9-232461j,+465.353-232934j,+254.065-233410j,+0+0j,+127.768-233673j,+0+0j,+64264.2-101632j,+0+0j,+36041.2-101954j,+18880-102140j,+16998.8+39.6766j,+0+0j,+16999+20.997j,+0+0j,+17001.9+3.38623j,+10050.8+0.770776j,+22758.1-0.668385j,+22756.5-0.308965j,-1.8362e-06+8.24124e-06j,-1.87559e-06+8.22048e-06j,+0+0j,+30428.5+212922j,+0+0j,+0+0j,+41004.1+24.4454j,-10722+212715j,+20829.6+9.71864j,+0+0j,-10939.8+212505j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+225101-182033j,+639080-416650j,+356913-270927j,+252459-204566j,+30599.4+213115j
2016-03-04 03:00:00 PST,+8270.48+0.484852j,+0+0j,+639748-419969j,+0+0j,+0+0j,+0+0j,+639910-423270j,+4450.18+0.178965j,+0+0j,+635558-425468j,+0+0j,+0+0j,+273281-157967j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44273.5+22154.6j,+0+0j,+44260.2+22156.1j,-5.61511e-06+5.8258e-06j,+0+0j,-5.62032e-06+5.88341e-06j,+0+0j,-5.6054e-06+5.88237e-06j,+0+0j,+0+0j,+0+0j,-5.63193e-06+5.8965e-06j,-5.62585e-06+5.8766e-06j,-5.64828e-06+5.84408e-06j,+0+0j,+0+0j,+15881.4-21380.1j,+198040-169297j,+0+0j,+15878.1-21404.6j,+6010.46+0.467214j,+0+0j,+197873-169580j,+44364.6+22207.1j,+153343-192073j,+0+0j,+153257-192276j,+0+0j,+77873.7+55637.8j,+50203.5-210341j,+14097.3-210547j,+13965.8-210742j,+13819.7-210952j,+362217-272485j,+362213-273389j,+10689.8+2.22763j,+351508-273950j,+10690.4+0.969198j,+19525.2-21498.9j,+331296-254369j,+9670.91+0.924071j,-9.69054e-06+1.75805e-05j,+0+0j,+201967-418794j,+55405.2+213212j,+0+0j,+0+0j,+0+0j,+0+0j,+200867-420248j,+0+0j,+0+0j,+53735.5-231725j,+70255.7-101052j,+28850.5-232192j,+2.38943e-09+5.83571e-09j,+28794.7-232305j,+463.497-232776j,+253.761-233250j,+0+0j,+127.615-233513j,+0+0j,+65412.6-101583j,+0+0j,+35939.2-101908j,+18857.9-102094j,+16918.9+39.4605j,+0+0j,+16919+20.9009j,+0+0j,+16921.9+3.35935j,+10020.8+0.766702j,+24008.8+0.0585527j,+24007+0.191191j,+6.65709e-06+4.87422e-07j,+6.65816e-06+4.84855e-07j,+0+0j,+31024.8+212828j,+0+0j,+0+0j,+43437.1+27.4236j,-12557.2+212618j,+22040.7+10.8882j,+0+0j,-12776.2+212408j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+228627-181567j,+647798-415764j,+362169-270651j,+257771-204412j,+31196+213021j
2016-03-04 04:00:00 PST,+8140.46+0.469819j,+0+0j,+664423-417613j,+0+0j,+0+0j,+0+0j,+664571-421013j,+4500.18+0.183093j,+0+0j,+660159-423276j,+0+0j,+0+0j,+283207-156659j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44230.8+22132.1j,+0+0j,+44216.3+22134.1j,+4.51997e-07-4.63901e-06j,+0+0j,+4.73238e-07-4.59889e-06j,+0+0j,+4.7875e-07-4.60487e-06j,+0+0j,+0+0j,+0+0j,+5.07118e-07-4.588e-06j,+5.30607e-07-4.56871e-06j,+5.26826e-07-4.60829e-06j,+0+0j,+0+0j,+15836.2-21373.1j,+206345-169024j,+0+0j,+15832.9-21397.5j,+5980.46+0.463061j,+0+0j,+206170-169322j,+44312.3+22180.9j,+161682-191803j,+0+0j,+161592-192014j,+0+0j,+77775.2+55567.3j,+58668.2-210027j,+19364.1-210236j,+19233.3-210429j,+19086.2-210641j,+376862-271763j,+376854-272700j,+10419.8+2.12566j,+366417-273281j,+10420.4+0.921583j,+19338.4-21493.8j,+346355-253776j,+9500.88+0.892739j,-7.48453e-06+1.41627e-05j,+0+0j,+211643-418140j,+60827.7+212929j,+0+0j,+0+0j,+0+0j,+0+0j,+210529-419605j,+0+0j,+0+0j,+60528.4-231264j,+73264.8-100896j,+32136.5-231732j,-1.29314e-08+6.73868e-09j,+32080.6-231844j,+458.03-232311j,+252.934-232780j,+0+0j,+127.181-233042j,+0+0j,+68369.8-101441j,+0+0j,+35675.7-101775j,+18794.3-101958j,+16719.2+38.908j,+0+0j,+16719.1+20.656j,+0+0j,+16721.8+3.27757j,+9840.73+0.740864j,+27680.9+2.65808j,+27678.9+1.97452j,+2.53969e-07+5.13168e-06j,+2.67634e-07+5.14877e-06j,+0+0j,+32773.9+212537j,+0+0j,+0+0j,+50446.5+36.9902j,-17813.2+212318j,+25544.5+14.6509j,+0+0j,-18035.9+212108j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+238554-180283j,+672353-413293j,+376810-269861j,+272892-203977j,+32946.4+212733j
2016-03-04 05:00:00 PST,+8990.57+0.57325j,+0+0j,+712389-413196j,+0+0j,+0+0j,+0+0j,+712525-416817j,+4850.21+0.212833j,+0+0j,+707753-419227j,+0+0j,+0+0j,+302018-154247j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44165.5+22097.5j,+0+0j,+44149.1+22100.5j,+3.05294e-06+3.99008e-06j,+0+0j,+3.06002e-06+4.01951e-06j,+0+0j,+3.04975e-06+4.05712e-06j,+0+0j,+0+0j,+0+0j,+3.08325e-06+4.07715e-06j,+3.07643e-06+4.02622e-06j,+3.09524e-06+4.0988e-06j,+0+0j,+0+0j,+16367.6-21363.6j,+221611-168518j,+0+0j,+16364.4-21388.5j,+6540.55+0.554799j,+0+0j,+221420-168843j,+44231.3+22140.4j,+176997-191311j,+0+0j,+176898-191538j,+0+0j,+77622.1+55458.1j,+74184.8-209471j,+28204.5-209688j,+28075.4-209880j,+27927.8-210095j,+405605-270483j,+405594-271489j,+11609.9+2.60716j,+393963-272114j,+11610.5+1.14551j,+20317.6-21487.1j,+372851-252752j,+10511.1+1.09441j,+1.22019e-05-3.55073e-06j,+0+0j,+230648-417014j,+68394.4+212429j,+0+0j,+0+0j,+0+0j,+0+0j,+229499-418513j,+0+0j,+0+0j,+71789.3-230510j,+81217.8-100596j,+37996.4-230985j,+7.03899e-09+1.17296e-08j,+37940.5-231096j,+446.053-231558j,+250.05-232023j,+0+0j,+125.818-232285j,+0+0j,+75963.7-101182j,+0+0j,+37235-101540j,+18672.3-101727j,+18400.2+43.6447j,+0+0j,+18399.5+23.4484j,+0+0j,+18402.2+3.99343j,+10890.9+0.910588j,+33825+8.58316j,+33822.3+6.01737j,+8.88559e-06-4.36423e-06j,+8.89884e-06-4.38714e-06j,+0+0j,+34193.8+212024j,+0+0j,+0+0j,+60703+53.6537j,-26642.4+211790j,+30700.9+21.2223j,+0+0j,-26871.1+211583j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+257359-177941j,+721182-408597j,+405541-268437j,+299508-203226j,+34368.6+212224j
2016-03-04 06:00:00 PST,+10490.8+0.780555j,+0+0j,+731603-411764j,+0+0j,+0+0j,+0+0j,+731761-415491j,+5750.3+0.299178j,+0+0j,+726102-417971j,+0+0j,+0+0j,+309165-153455j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44157.9+22093.1j,+0+0j,+44141+22096.4j,+3.9094e-06-2.55323e-06j,+0+0j,+3.89592e-06-2.57453e-06j,+0+0j,+3.94304e-06-2.50247e-06j,+0+0j,+0+0j,+0+0j,+3.95332e-06-2.51039e-06j,+3.98979e-06-2.46146e-06j,+3.94949e-06-2.48027e-06j,+0+0j,+0+0j,+17497.5-21363.5j,+226744-168318j,+0+0j,+17494.3-21389.4j,+7680.76+0.765298j,+0+0j,+226551-168653j,+44221.4+22135.4j,+182137-191127j,+0+0j,+182036-191360j,+0+0j,+77603.1+55444.5j,+79360.8-209280j,+30169.5-209500j,+30042.5-209693j,+29896.4-209909j,+416831-270172j,+416826-271206j,+13470+3.45217j,+403334-271848j,+13470.7+1.54218j,+22048.1-21487.3j,+380473-252525j,+12251.5+1.48723j,+1.80083e-05-1.32379e-05j,+0+0j,+239287-416698j,+67425.7+212237j,+0+0j,+0+0j,+0+0j,+0+0j,+238118-418223j,+0+0j,+0+0j,+74680.5-230348j,+87009.7-100473j,+39646.8-230826j,+7.86241e-09-1.51978e-09j,+39591.3-230937j,+438.752-231400j,+247.453-231865j,+0+0j,+124.637-232128j,+0+0j,+80845.7-101092j,+0+0j,+40312.1-101466j,+18626.8-101667j,+21521.5+52.7996j,+0+0j,+21520.3+28.7177j,+0+0j,+21523.1+5.45928j,+12691.2+1.23782j,+33614.7+8.36283j,+33612.2+5.8738j,+8.74601e-06-9.92541e-06j,+8.73287e-06-9.93026e-06j,+0+0j,+33436.9+211836j,+0+0j,+0+0j,+61925.2+55.9488j,-28619+211604j,+31381.9+22.184j,+0+0j,-28847.8+211398j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+264503-177194j,+741881-407013j,+416752-268068j,+307190-203057j,+33611.2+212034j
2016-03-04 07:00:00 PST,+11420.9+0.924996j,+0+0j,+708308-414305j,+0+0j,+0+0j,+0+0j,+708492-417899j,+5700.29+0.293902j,+0+0j,+702900-420290j,+0+0j,+0+0j,+299287-154894j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44196+22113.6j,+0+0j,+44180.5+22116.2j,-4.63258e-07+3.25992e-06j,+0+0j,-4.82007e-07+3.26334e-06j,+0+0j,-4.95728e-07+3.29241e-06j,+0+0j,+0+0j,+0+0j,-5.01897e-07+3.27702e-06j,-4.66003e-07+3.31664e-06j,-4.8246e-07+3.33442e-06j,+0+0j,+0+0j,+17893.9-21367.8j,+218294-168633j,+0+0j,+17890.7-21394j,+8060.83+0.842113j,+0+0j,+218113-168950j,+44268+22158.7j,+173663-191429j,+0+0j,+173570-191652j,+0+0j,+77691+55507.2j,+70773.3-209617j,+24487.9-209831j,+24362.8-210023j,+24220.4-210234j,+403552-270830j,+403552-271821j,+15140.2+4.30779j,+388393-272436j,+15140.9+1.94734j,+23237.2-21486.1j,+364387-253012j,+13421.8+1.78382j,-1.26625e-05+4.75474e-06j,+0+0j,+229431-417192j,+61200.3+212496j,+0+0j,+0+0j,+0+0j,+0+0j,+228279-418711j,+0+0j,+0+0j,+66307.7-230745j,+85398.4-100573j,+36035.9-231221j,-1.20604e-08-3.36717e-08j,+35981-231333j,+441.905-231803j,+246.494-232276j,+0+0j,+124.277-232541j,+0+0j,+79284.1-101185j,+0+0j,+41979.9-101556j,+18693.6-101767j,+23121.6+57.8452j,+0+0j,+23120.6+31.5332j,+0+0j,+23123.6+6.3522j,+13921.5+1.48713j,+31443.5+6.10238j,+31440.9+4.3051j,+1.473e-05-3.09e-06j,+1.47427e-05-3.07064e-06j,+0+0j,+29386.7+212106j,+0+0j,+0+0j,+52229.3+39.837j,-22976.5+211893j,+26545.6+15.8496j,+0+0j,-23197.4+211692j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+254644-178605j,+719502-409704j,+403477-268818j,+291080-203358j,+29559+212299j
2016-03-04 08:00:00 PST,+9280.6+0.610598j,+0+0j,+627017-421339j,+0+0j,+0+0j,+0+0j,+627189-424488j,+4000.14+0.144632j,+0+0j,+623295-426585j,+0+0j,+0+0j,+267553-158854j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44271+22154.6j,+0+0j,+44259+22155.5j,+5.13026e-06-2.67208e-06j,+0+0j,+5.1168e-06-2.65329e-06j,+0+0j,+5.11051e-06-2.65204e-06j,+0+0j,+0+0j,+0+0j,+5.12027e-06-2.65106e-06j,+5.13316e-06-2.6557e-06j,+5.10493e-06-2.67324e-06j,+0+0j,+0+0j,+16094.9-21372.9j,+193237-169492j,+0+0j,+16091.6-21397.5j,+6210.49+0.49886j,+0+0j,+193076-169761j,+44361.9+22205.8j,+148554-192237j,+0+0j,+148474-192432j,+0+0j,+77869+55634.4j,+45400.4-210503j,+10710.4-210702j,+10584.1-210893j,+10444.8-211096j,+355698-272470j,+355697-273327j,+12840+3.14638j,+342841-273859j,+12840.6+1.39908j,+20872.5-21481.9j,+321303-254189j,+11001.2+1.19657j,+1.64045e-05+1.29555e-05j,+0+0j,+195373-418578j,+52033.2+213279j,+0+0j,+0+0j,+0+0j,+0+0j,+194280-420038j,+0+0j,+0+0j,+47621.7-231689j,+69685-100991j,+26605.2-232157j,-2.32485e-08-6.54635e-09j,+26549.9-232272j,+461.849-232750j,+250.732-233232j,+0+0j,+126.259-233497j,+0+0j,+65289.4-101523j,+0+0j,+37514.1-101850j,+18911.8-102046j,+18438.9+44.1006j,+0+0j,+18439.1+23.4617j,+0+0j,+18442.3+4.07827j,+11431+0.997968j,+25149.8+0.843542j,+25147.6+0.693508j,+1.48547e-05-2.26941e-06j,+1.48231e-05-2.27983e-06j,+0+0j,+26521.3+212904j,+0+0j,+0+0j,+35618.3+18.4974j,-9239.2+212709j,+18137.3+7.37488j,+0+0j,-9447.8+212508j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+222934-182421j,+636084-417317j,+355655-270734j,+247792-204150j,+26688.6+213091j
2016-03-04 09:00:00 PST,+7020.34+0.34924j,+0+0j,+538599-428426j,+0+0j,+0+0j,+0+0j,+538751-431194j,+2100.04+0.039823j,+0+0j,+536748-433038j,+0+0j,+0+0j,+233156-162939j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44369.6+22207.6j,+0+0j,+44361.2+22206.6j,+1.55615e-06+4.24315e-06j,+0+0j,+1.58424e-06+4.29286e-06j,+0+0j,+1.6193e-06+4.32036e-06j,+0+0j,+0+0j,+0+0j,+1.6324e-06+4.32786e-06j,+1.65144e-06+4.33868e-06j,+1.63756e-06+4.33628e-06j,+0+0j,+0+0j,+14140.2-21383.3j,+165902-170363j,+0+0j,+14136.8-21406.4j,+4200.22+0.227581j,+0+0j,+165763-170587j,+44483.3+22266.5j,+121141-193080j,+0+0j,+121072-193250j,+0+0j,+78098.3+55798.1j,+17658.8-211459j,-4680.57-211652j,-4810.91-211844j,-4948.8-212043j,+303556-274240j,+303553-274982j,+10499.8+2.1507j,+293040-275440j,+10500.4+0.934029j,+18391.8-21484.7j,+274074-255546j,+8460.7+0.706146j,-1.22473e-06+1.78903e-05j,+0+0j,+159129-420287j,+40812.4+214190j,+0+0j,+0+0j,+0+0j,+0+0j,+158082-421697j,+0+0j,+0+0j,+27666.8-232865j,+52988.9-101482j,+16630.8-233334j,-2.51403e-08-1.4607e-08j,+16574.6-233450j,+484.787-233940j,+256.049-234433j,+0+0j,+128.779-234698j,+0+0j,+50505.3-101937j,+0+0j,+32745.4-102222j,+19145.3-102402j,+13437.4+30.5148j,+0+0j,+13438.4+15.7704j,+0+0j,+13441.3+2.21788j,+8820.58+0.590851j,+16345.3-3.10697j,+16343.9-2.0276j,-8.84307e-06+1.4194e-05j,-8.82316e-06+1.4215e-05j,+0+0j,+24110.4+213827j,+0+0j,+0+0j,+17824.6+4.63216j,+6132.7+213642j,+9121.83+1.85757j,+0+0j,+5933.05+213434j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+188525-186394j,+545427-424898j,+303543-272747j,+200281-205129j,+24273+214009j
2016-03-04 10:00:00 PST,+6500.3+0.299357j,+0+0j,+510225-430630j,+0+0j,+0+0j,+0+0j,+510370-433301j,+1500.02+0.0203091j,+0+0j,+508964-435080j,+0+0j,+0+0j,+222061-164236j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44408.5+22228.4j,+0+0j,+44401.4+22226.7j,+2.31303e-05-1.02796e-05j,+0+0j,+2.31046e-05-1.0271e-05j,+0+0j,+2.31637e-05-1.02433e-05j,+0+0j,+0+0j,+0+0j,+2.31743e-05-1.02304e-05j,+2.31795e-05-1.02293e-05j,+2.32209e-05-1.01545e-05j,+0+0j,+0+0j,+13609.5-21387.9j,+156988-170633j,+0+0j,+13606.1-21410.7j,+3650.17+0.171704j,+0+0j,+156856-170845j,+44530.4+22290.1j,+112194-193349j,+0+0j,+112128-193513j,+0+0j,+78187.1+55861.6j,+8586.25-211776j,-9967.53-211969j,-10099.7-212163j,-10237.4-212362j,+286868-274830j,+286863-275540j,+10099.8+1.99841j,+276751-275980j,+10100.4+0.863608j,+17852.5-21487.1j,+258350-256021j,+7900.61+0.615189j,+1.59626e-05-1.26253e-05j,+0+0j,+147610-420907j,+36506.5+214507j,+0+0j,+0+0j,+0+0j,+0+0j,+146573-422306j,+0+0j,+0+0j,+20983.2-233303j,+48004-101649j,+13369.7-233775j,-1.25927e-08-3.13255e-09j,+13313.1-233893j,+492.229-234387j,+257.69-234885j,+0+0j,+129.581-235151j,+0+0j,+46122.2-102084j,+0+0j,+31583-102358j,+19223-102534j,+12197.2+27.3366j,+0+0j,+12198.3+14.0104j,+0+0j,+12201.1+1.85381j,+8250.51+0.515897j,+13053.9-3.5666j,+13052.8-2.35462j,-3.37213e-06+4.62792e-06j,-3.38472e-06+4.59937e-06j,+0+0j,+23096.6+214147j,+0+0j,+0+0j,+11521.9+1.94422j,+11417.5+213963j,+5940.78+0.786621j,+0+0j,+11220+213751j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+177416-187668j,+516544-427228j,+286864-273401j,+184446-205486j,+23258+214326j
