# file...... Overhead_lines_power_in_A.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-04-01 00:00:00 PDT,+0-0i,+0-0i,+1.03933e+06+151862i,+0+0j,+0+0j,+0+0j,+1.03043e+06+144390i,+0-0i,+89319.5+30671.6i,+938131+108787i,+62116.5+30587.6i,+0-0i,+406644-51827.2i,+41456.2+20739.7i,+20574.8+9761.29i,+0+0j,+0+0j,+56114.4+19067.6i,+124154+58959.5i,+41377.5+19030.2i,+0-0i,+124082+58813.5i,+0-0i,+124036+58673.8i,+41341.8+18913.8i,+82633.5+39597.4i,+41333.3+18890.4i,+0-0i,+41325+18871i,+41282.1+20656.7i,+6.94278e-06-1.1003e-06i,+6.95567e-06-1.04013e-06i,+0+0j,+0+0j,+41459.9+20769.5i,+169407-145733i,+41431.8+20729.7i,+0-0i,+0+0j,+0-0i,+169306-145926i,+0-0i,+164453-146117i,+26560.4+9441.92i,+137803-155737i,+5800.42+0.429482i,+72843.6+52046.4i,+28235.6-232122i,+10824-232425i,+10719.6-232738i,+2891.46-233033i,+506277+151916i,+490135+150623i,+20615+10310.5i,+477623+416496i,-3.78759e-09-2.73696e-09i,+0-0i,+475597+413107i,+0+0j,+7.01018e-06+2.73418e-05i,+57862.9+73.8382i,+218014+87475.3i,+122667+268195i,+50465.9+46.5267i,+29117.7+17.9344i,+24356.6+6.67273i,+0-0i,+217632+87206.9i,+0+0j,+0+0j,+59462.6-195301i,+55787.4+229520i,+59348.3-195571i,+43167.8+21597.4i,+16148.5-217240i,+16035.5-217689i,+15897-218161i,+0-0i,+67.51-218388i,+0+0j,+54970.4+228160i,+21343.3-52548.7i,+33095.3+279828i,+0-0i,+32679.7+279052i,+0-0i,+32354.5+278460i,+32088.2+277853i,-5.77745e-06+2.91865e-06i,+0-0i,+21319+3.85328i,-2.41068e-06+2.01588e-06i,-2.41462e-06+1.99871e-06i,-2.43292e-06+1.99569e-06i,+0-0i,+101125+267193i,+0+0j,+0+0j,+0-0i,+100986+266593i,+0+0j,+103133+30852.5i,-2266.66+235045i,+77400.1+30636.4i,+10512.6+2.65397i,+66802+30547.1i,+45768.7+21152.6i,+3520.17+0.168857i,+224476-132447i,+1.06178e+06+162214i,+527864+154743i,+399892+358172i,+101242+267686i
2016-04-01 01:00:00 PDT,-0+0i,-0+0i,+876208-351775i,+0+0j,+0+0j,+0+0j,+868185-358464i,-0+0i,+78482.9+360.971i,+787143-363242i,+52006.7+304.108i,-0+0i,+308652-338097i,+42410.2+21216.9i,+9549.36-20960.6i,+0+0j,+0+0j,+33003.8-42616.3i,+80776.8-63413i,+18694.5-42645.9i,-0+0i,+80764.5-63506.6i,-0+0i,+80747.2-63600.4i,+18640.9-42729.4i,+62078.3-20970.1i,+18631.7-42756.2i,-0+0i,+18623.4-42775.6i,+43447.9+21740.6i,-1.44597e-06-5.92038e-06i,-1.45538e-06-5.88383e-06i,+0+0j,+0+0j,+43310.1+21709.5i,+136468-250176i,+43280+21654.5i,-0+0i,+0+0j,-0+0i,+136268-250525i,-0+0i,+131577-250872i,+14775.6-21424.9i,+116616-229751i,+5510.36+0.369604i,+76369.5+54565.5i,+16056.7-246624i,-848.285-246913i,-997.366-247211i,-8549.39-247491i,+454425-33182.1i,+438813-34332i,+21327.8+10667.1i,+424224+297175i,+4.70031e-09-1.95649e-08i,-0+0i,+422781+294634i,+0+0j,+5.07001e-06+4.82387e-06i,+55855.2+66.0485i,+167443-12873.7i,+122493+251811i,+48771.1+41.6377i,+28065.8+16.0248i,+23565.9+5.99044i,-0+0i,+167178-12940.5i,+0+0j,+0+0j,+60982-203870i,+54161.6+296227i,+60851.4-204152i,+45064.2+22546.2i,+15751.3-226773i,+15620.5-227238i,+15465.1-227725i,-0+0i,+76.694-227961i,+0+0j,+53120.1+294001i,+20703.8-54589.1i,+31738.8+347146i,-0+0i,+31222.1+345962i,-0+0i,+30761.9+345083i,+30373.9+344191i,-6.96688e-06-3.49474e-06i,-0+0i,+20678.9+3.4925i,-2.32671e-06+5.72166e-06i,-2.32923e-06+5.72467e-06i,-2.3516e-06+5.72688e-06i,-0+0i,+101628+251084i,+0+0j,+0+0j,-0+0i,+101506+250639i,+0+0j,+91960.7+713.595i,+9442.26+249412i,+67051.9+562.826i,+10162.3+2.36391i,+56836.7+506.85i,+47664+22201.3i,+3320.14+0.143112i,+193235-235648i,+897567-342484i,+475276-30662.4i,+346769+240464i,+101729+251441i
2016-04-01 02:00:00 PDT,-0+0i,-0+0i,+875849-351769i,+0+0j,+0+0j,+0+0j,+867778-358453i,-0+0i,+78403.5+361.107i,+786817-363228i,+52007.4+304.359i,-0+0i,+308621-338080i,+42410.5+21217.1i,+9549.77-20960.6i,+0+0j,+0+0j,+33004.6-42616i,+80778.6-63412.5i,+18695.3-42645.7i,-0+0i,+80766.3-63506.1i,-0+0i,+80749-63599.8i,+18641.7-42729.2i,+62079.3-20969.8i,+18632.5-42755.9i,-0+0i,+18624.2-42775.4i,+43448+21740.6i,-5.40682e-06-7.92154e-06i,-5.41377e-06-7.90015e-06i,+0+0j,+0+0j,+43310.3+21709.5i,+136473-250183i,+43280.2+21654.6i,-0+0i,+0+0j,-0+0i,+136274-250532i,-0+0i,+131533-250879i,+14825.9-21424.8i,+116521-229758i,+5560.37+0.376341i,+76370+54565.9i,+15960.2-246631i,-904.813-246921i,-1053.93-247219i,-8645.97-247499i,+454213-33179.6i,+438602-34328.5i,+21328.1+10667.3i,+424131+297166i,-3.79158e-09-3.40628e-09i,-0+0i,+422689+294626i,+0+0j,+1.16943e-05+1.95062e-06i,+55784.9+65.8083i,+167405-12890.8i,+122490+251820i,+48660.9+41.4592i,+28035.8+15.9624i,+23485.9+5.94969i,-0+0i,+167140-12957.6i,+0+0j,+0+0j,+60983-203873i,+54119.3+296213i,+60852.3-204155i,+45065+22546.6i,+15751.4-226777i,+15620.5-227242i,+15465.1-227729i,-0+0i,+76.6918-227965i,+0+0j,+53077.9+293987i,+20623.8-54590i,+31776.7+347134i,-0+0i,+31260+345949i,-0+0i,+30799.8+345070i,+30411.7+344178i,+2.85079e-07+6.00369e-06i,-0+0i,+20598.9+3.46909i,+1.08059e-05-4.91144e-06i,+1.08024e-05-4.90956e-06i,+1.07938e-05-4.91014e-06i,-0+0i,+101705+251093i,+0+0j,+0+0j,-0+0i,+101584+250648i,+0+0j,+91941.9+714.036i,+9538.77+249420i,+67113.1+563.331i,+10182.3+2.3732i,+56877.8+507.249i,+47704.6+22201.7i,+3360.14+0.14658i,+193201-235631i,+897125-342486i,+474983-30662.7i,+346657+240456i,+101806+251450i
2016-04-01 03:00:00 PDT,-0+0i,-0+0i,+892303-351477i,+0+0j,+0+0j,+0+0j,+884102-358372i,-0+0i,+80218.5+358.118i,+801273-363283i,+51989.8+298.702i,-0+0i,+312627-338342i,+42401+21212.4i,+9541.59-20961.5i,+0+0j,+0+0j,+32564.8-42621.8i,+80736.5-63425.3i,+18675.8-42651.1i,-0+0i,+80726.1-63519.8i,-0+0i,+80710.4-63614.2i,+18623.3-42736.3i,+62060.1-20977.5i,+18614.1-42763i,-0+0i,+18605.8-42782.5i,+43447.5+21740.2i,-6.3579e-06-8.18485e-06i,-6.37877e-06-8.20076e-06i,+0+0j,+0+0j,+43303.6+21706.2i,+140037-249935i,+43273.5+21651.3i,-0+0i,+0+0j,-0+0i,+139836-250287i,-0+0i,+135053-250637i,+14824.3-21427.1i,+120042-229517i,+5570.37+0.377777i,+76351.8+54552.9i,+19520.4-246372i,+1718.81-246661i,+1570.45-246960i,-5941.29-247239i,+462436-33235.8i,+447246-34420.7i,+21320.2+10663.4i,+429337+297469i,-1.10364e-09-3.54584e-09i,-0+0i,+427872+294903i,+0+0j,+4.63688e-06-1.07376e-05i,+60046.2+77.1983i,+167737-12388i,+123723+251541i,+52988.3+48.9755i,+30218.5+18.7276i,+25627+7.08843i,-0+0i,+167474-12452.8i,+0+0j,+0+0j,+60504.7-203806i,+55006.1+296662i,+60378.7-204087i,+45047.9+22538.1i,+15295.8-226700i,+15168.4-227167i,+15014.7-227658i,-0+0i,+76.6849-227894i,+0+0j,+53956.2+294432i,+22764.4-54564.8i,+30508.8+347551i,-0+0i,+29991.1+346367i,-0+0i,+29529.8+345489i,+29141.1+344595i,-9.73731e-06-8.68859e-06i,-0+0i,+22739.1+4.12562i,+1.03809e-05-6.7867e-06i,+1.03674e-05-6.79852e-06i,+1.03656e-05-6.78672e-06i,-0+0i,+100795+250816i,+0+0j,+0+0j,-0+0i,+100673+250371i,+0+0j,+93740+708.305i,+6832.05+249150i,+66885.4+551.583i,+9952.24+2.26822i,+56880.4+495.945i,+47723.7+22191.3i,+3400.15+0.150162i,+197705-235934i,+915764-341861i,+485376-30618.8i,+352501+240709i,+100897+251170i
2016-04-01 04:00:00 PDT,-0+0i,-0+0i,+948646-349879i,+0+0j,+0+0j,+0+0j,+939711-357531i,-0+0i,+85541.1+343.265i,+851341-362925i,+51914.3+275.638i,-0+0i,+328488-339013i,+42356.3+21190i,+9510.92-20962i,+0+0j,+0+0j,+33742.1-42629.4i,+80532.1-63464.7i,+18592.3-42659.6i,-0+0i,+80526.6-63561.3i,-0+0i,+80515.1-63657.5i,+18544.1-42749.5i,+61946.4-21008.5i,+18535-42776.4i,-0+0i,+18526.7-42795.9i,+43413.6+21723i,+8.07087e-06+3.49589e-07i,+8.06229e-06+3.07948e-07i,+0+0j,+0+0j,+43252.4+21680.4i,+152279-249198i,+43222.2+21625.6i,-0+0i,+0+0j,-0+0i,+152068-249562i,-0+0i,+146845-249925i,+15295.9-21429.9i,+131356-228812i,+6090.45+0.452248i,+76239.2+54472.5i,+31034.1-245577i,+10245.5-245868i,+10097.6-246167i,+1904.75-246443i,+491442-33152i,+474857-34474.1i,+21282.7+10644.5i,+447039+297524i,-7.76174e-09+6.87801e-09i,-0+0i,+445499+294858i,+0+0j,-1.82911e-06+5.39125e-06i,+71118.2+109.617i,+168642-11756.6i,+127047+250695i,+63399+69.9478i,+35756.2+26.553i,+30730.1+10.2183i,-0+0i,+168383-11814.7i,+0+0j,+0+0j,+61751.8-203423i,+54961.6+296939i,+61633.5-203703i,+44960.9+22494.6i,+16638.8-226273i,+16517.7-226744i,+16365.4-227244i,-0+0i,+76.4692-227480i,+0+0j,+53892.1+294707i,+27626.1-54451.9i,+25570.4+347712i,-0+0i,+25051.4+346533i,-0+0i,+24587.6+345659i,+24197.6+344763i,-1.01551e-05-3.68015e-06i,-0+0i,+27599.7+5.81931i,+9.88235e-06-5.70383e-06i,+9.90223e-06-5.67624e-06i,+9.87478e-06-5.6834e-06i,-0+0i,+99255.6+249974i,+0+0j,+0+0j,-0+0i,+99131+249527i,+0+0j,+100050+684.773i,-1012.58+248331i,+67953.2+505.89i,+10862.7+2.70826i,+57036.1+447.972i,+47944.5+22141.9i,+3720.18+0.180165i,+212590-236776i,+977082-339136i,+519328-30186.7i,+367850+240575i,+99357.4+250319i
2016-04-01 05:00:00 PDT,-0+0i,-0+0i,+1.01051e+06-347388i,+0+0j,+0+0j,+0+0j,+1.00006e+06-355932i,-0+0i,+89977.5+323.301i,+906984-361884i,+51823.6+248.385i,-0+0i,+347875-339385i,+42300.9+21162.3i,+9475.66-20961.5i,+0+0j,+0+0j,+36580.7-42631.3i,+80268-63506.7i,+18488.8-42663.5i,-0+0i,+80266.9-63605.1i,-0+0i,+80259-63702.8i,+18445.6-42758.3i,+61791.3-21046i,+18436.8-42785.7i,-0+0i,+18428.5-42805.2i,+43357.4+21694.6i,+2.23449e-07-1.84286e-06i,+2.14856e-07-1.82997e-06i,+0+0j,+0+0j,+43179.4+21643.4i,+166821-248448i,+43148.8+21588.9i,-0+0i,+0+0j,-0+0i,+166594-248832i,-0+0i,+160185-249214i,+16616-21430.3i,+143366-228115i,+7470.67+0.681791i,+76085.3+54362.5i,+43304.2-244764i,+19376.2-245056i,+19226.8-245358i,+9310.8-245633i,+523982-32854.3i,+504227-34345.2i,+21236.3+10621.1i,+466724+297093i,+1.03422e-08+1.48028e-08i,-0+0i,+465104+294304i,+0+0j,-3.6193e-06+6.72718e-06i,+81662+143.887i,+168994-11666.4i,+130384+249853i,+72280.3+91.4558i,+41124.4+34.9043i,+34923.1+13.2359i,-0+0i,+168738-11716.6i,+0+0j,+0+0j,+64789-202930i,+52629.7+296564i,+64674.3-203212i,+44852.4+22440.3i,+19788.5-225729i,+19670.3-226204i,+19517.1-226713i,-0+0i,+76.1214-226949i,+0+0j,+51543.9+294334i,+31127.5-54316.3i,+19711.4+347208i,-0+0i,+19191+346033i,-0+0i,+18724.5+345162i,+18332.8+344267i,-8.09471e-06-8.09143e-06i,-0+0i,+31100.3+7.24546i,+1.91672e-06+3.65094e-06i,+1.90663e-06+3.62295e-06i,+1.91576e-06+3.63762e-06i,-0+0i,+99092.9+249131i,+0+0j,+0+0j,-0+0i,+98967.6+248681i,+0+0j,+107290+660.403i,-8410.4+247507i,+70826.3+454.185i,+13053.9+3.92208i,+57713.1+390.123i,+48700.1+22080.6i,+4600.27+0.276282i,+229354-237373i,+1.04188e+06-335383i,+555260-29489.5i,+382131+239911i,+99193.7+249472i
2016-04-01 06:00:00 PDT,-0+0i,-0+0i,+1.03578e+06-346049i,+0+0j,+0+0j,+0+0j,+1.02448e+06-354996i,-0+0i,+90979.8+315.454i,+930307-361199i,+51794.2+238.835i,-0+0i,+357250-339239i,+42285.9+21154.8i,+9461.27-20963.5i,+0+0j,+0+0j,+39055.8-42636.5i,+80158.7-63532.2i,+18442-42670.7i,-0+0i,+80158.5-63630.9i,-0+0i,+80151.4-63728.9i,+18401.2-42766.9i,+61728.9-21063.6i,+18392.5-42794.7i,-0+0i,+18384.3-42814.2i,+43339.4+21685.6i,+8.4664e-06-6.28485e-06i,+8.4528e-06-6.23914e-06i,+0+0j,+0+0j,+43157.6+21632.1i,+173278-248101i,+43126.6+21577.8i,-0+0i,+0+0j,-0+0i,+173044-248498i,-0+0i,+165867-248891i,+17529.4-21433.9i,+148129-227798i,+8410.85+0.864703i,+76040.6+54330.6i,+48159.8-244407i,+22995.2-244703i,+22844.4-245007i,+11646.5-245284i,+537891-32817.8i,+515468-34387i,+21225.7+10615.7i,+475387+297408i,-1.19191e-08+1.80972e-08i,-0+0i,+473751+294569i,+0+0j,+8.92851e-06-8.9441e-06i,+84460.2+152.191i,+169493-11151.8i,+131303+249535i,+73854.8+96.0802i,+42576.5+37.0096i,+35613.6+13.7721i,-0+0i,+169234-11200.8i,+0+0j,+0+0j,+67478-202821i,+50579.8+297010i,+67360.5-203106i,+44830.9+22429.5i,+22495.6-225614i,+22375.1-226090i,+22219.2-226602i,-0+0i,+76.0762-226840i,+0+0j,+49484.7+294771i,+31247.5-54287.8i,+17527.2+347611i,-0+0i,+17003.8+346432i,-0+0i,+16534.2+345557i,+16139.5+344658i,-1.40429e-06-7.9611e-06i,-0+0i,+31220.2+7.36596i,+1.15947e-05+1.54765e-06i,+1.1607e-05+1.54992e-06i,+1.15658e-05+1.55803e-06i,-0+0i,+99893.2+248806i,+0+0j,+0+0j,-0+0i,+99768+248350i,+0+0j,+110422+658.101i,-10741.9+247173i,+73106.1+439.548i,+14835+5.06903i,+58207.8+370.363i,+49228.5+22065.5i,+5160.34+0.347909i,+236324-237332i,+1.06656e+06-333522i,+569088-29288.3i,+386371+240147i,+99993.3+249150i
2016-04-01 07:00:00 PDT,-0+0i,-0+0i,+940800-349860i,+0+0j,+0+0j,+0+0j,+931961-357441i,-0+0i,+83605.4+349.14i,+845623-362793i,+51951.6+284.585i,-0+0i,+329269-338426i,+42388.1+21205.9i,+9516.38-20969.1i,+0+0j,+0+0j,+36692.7-42644.5i,+80586.5-63482.4i,+18600.8-42676.8i,-0+0i,+80578.2-63577.7i,-0+0i,+80564.4-63672.9i,+18552.5-42765i,+61986.1-21007.9i,+18543.5-42792.1i,-0+0i,+18535.2-42811.5i,+43444.6+21738.7i,+1.59478e-06-7.13584e-06i,+1.5775e-06-7.08813e-06i,+0+0j,+0+0j,+43293.6+21700.9i,+151033-249225i,+43263.2+21646.1i,-0+0i,+0+0j,-0+0i,+150825-249594i,-0+0i,+145486-249962i,+15632.5-21440.8i,+129663-228841i,+6420.5+0.502045i,+76327+54535.2i,+29240.2-245653i,+8919.49-245948i,+8771.46-246252i,-300.845-246536i,+488707-33501.9i,+469078-34810.6i,+21314.1+10660.1i,+446502+298936i,-2.18225e-09+3.75139e-09i,-0+0i,+445010+296297i,+0+0j,+1.2424e-06+8.55958e-06i,+65700+91.1705i,+170656-10434.5i,+125207+250895i,+57176.6+57.3831i,+32931.9+22.1618i,+27788.2+8.33638i,-0+0i,+170386-10500.8i,+0+0j,+0+0j,+65015-203772i,+53626.2+298684i,+64886.2-204057i,+45043.7+22536i,+19806.5-226670i,+19676.8-227141i,+19518.3-227639i,-0+0i,+76.7015-227876i,+0+0j,+52550.2+296425i,+24234.9-54549.5i,+27616+349509i,-0+0i,+27090.8+348314i,-0+0i,+26622.3+347426i,+26227+346521i,+2.55632e-06+3.21886e-06i,-0+0i,+24209.5+4.30635i,+2.41808e-06-4.41766e-06i,+2.39453e-06-4.47777e-06i,+2.39277e-06-4.45563e-06i,-0+0i,+100809+250164i,+0+0j,+0+0j,-0+0i,+100686+249709i,+0+0j,+99402.4+708.13i,+1185.57+248477i,+69858.5+531.871i,+12633.6+3.65675i,+57167.4+469.972i,+48063.5+22181.6i,+3760.18+0.183733i,+210342-236169i,+965067-339313i,+512947-30609.9i,+362611+242086i,+100908+250518i
2016-04-01 08:00:00 PDT,-0+0i,-0+0i,+818946-353635i,+0+0j,+0+0j,+0+0j,+812843-359650i,-0+0i,+73821+388.692i,+736767-364022i,+52131.4+338.484i,-0+0i,+293178-337238i,+42499+21261.4i,+9585.11-20970.8i,+0+0j,+0+0j,+33524.4-42639.1i,+81083.3-63403.6i,+18794.8-42669.1i,-0+0i,+81064.7-63494.7i,-0+0i,+81042.3-63586.3i,+18736.9-42747i,+62274-20937.2i,+18727.4-42773.3i,-0+0i,+18719.1-42792.8i,+43547+21790.5i,+6.864e-06-2.77837e-06i,+6.84676e-06-2.78135e-06i,+0+0j,+0+0j,+43434+21771.9i,+122618-250638i,+43404.3+21716.7i,-0+0i,+0+0j,-0+0i,+122436-250979i,-0+0i,+119202-251319i,+13425.9-21440.8i,+105602-230177i,+4100.2+0.203968i,+76628.5+54750.7i,+4671.43-247219i,-9370.01-247516i,-9517.93-247822i,-16027.6-248113i,+425521-33963i,+409576-34979.9i,+21409.3+10707.9i,+408223+299997i,+5.04261e-09+2.04186e-08i,-0+0i,+406897+297584i,+0+0j,-6.86044e-07-2.90872e-06i,+41855.7+36.1961i,+170439-10498.5i,+117692+252602i,+35832.3+22.5532i,+20728.7+8.79603i,+17673.3+3.35097i,-0+0i,+170157-10583i,+0+0j,+0+0j,+61669.3-204773i,+56063.6+299585i,+61525.9-205059i,+45268.7+22648.5i,+16219-227782i,+16077.8-228243i,+15916.9-228722i,-0+0i,+77.4121-228959i,+0+0j,+55021+297314i,+15112.5-54831.6i,+39228.9+350669i,-0+0i,+38703.3+349456i,-0+0i,+38237.5+348556i,+37843.3+347647i,-1.26798e-05+1.63477e-06i,-0+0i,+15088.9+1.83623i,+1.18296e-05+4.24601e-06i,+1.18252e-05+4.23768e-06i,+1.18066e-05+4.26904e-06i,-0+0i,+102416+251863i,+0+0j,+0+0j,-0+0i,+102297+251412i,+0+0j,+85272.5+768.069i,+16911.7+250118i,+65855.1+639.014i,+9832.17+2.20222i,+55972.1+585.341i,+46717.4+22307i,+2160.06+0.0602818i,+176977-234591i,+834840-345354i,+440752-31780.7i,+330938+243581i,+102517+252233i
2016-04-01 09:00:00 PDT,-0+0i,-0+0i,+744444-355109i,+0+0j,+0+0j,+0+0j,+739695-360259i,-0+0i,+67095.6+409.329i,+670575-364087i,+52224.6+367.898i,-0+0i,+272407-336327i,+42551.1+21287.4i,+9626.07-20967.6i,+0+0j,+0+0j,+33211.8-42620.7i,+81335.6-63343.7i,+18902.5-42650.3i,-0+0i,+81309.6-63431.7i,-0+0i,+81281-63520.7i,+18839.1-42721.6i,+62406.9-20895.6i,+18829.4-42747.5i,-0+0i,+18821.1-42767i,+43576.8+21805.8i,+4.48886e-06-5.87734e-06i,+4.45074e-06-5.86433e-06i,+0+0j,+0+0j,+43488.8+21799.6i,+105357-251586i,+43459.3+21744.2i,-0+0i,+0+0j,-0+0i,+105184-251914i,-0+0i,+102971-252241i,+12449.4-21433.3i,+90352.5-231095i,+3060.11+0.113435i,+76754.8+54840.8i,-10820.8-248250i,-20898.5-248549i,-21048.5-248856i,-26639.2-249154i,+387470-33865.3i,+372044-34728.3i,+21453.2+10729.9i,+384383+299569i,-4.67263e-09-5.41198e-09i,-0+0i,+383150+297273i,+0+0j,+8.6858e-06-2.49715e-06i,+25222.1+12.2381i,+169595-11748.3i,+112624+253724i,+20117.2+7.29537i,+12172.9+2.97014i,+10131.1+1.09774i,-0+0i,+169306-11842.3i,+0+0j,+0+0j,+61349-205194i,+55151.3+298695i,+61191.7-205480i,+45367.2+22697.8i,+15783.8-228252i,+15632-228704i,+15467.1-229169i,-0+0i,+77.6409-229406i,+0+0j,+54139.4+296434i,+7961.38-54963.9i,+45517.4+349925i,-0+0i,+44993.8+348706i,-0+0i,+44531.4+347802i,+44139.5+346896i,-6.31977e-06-4.80428e-06i,-0+0i,+7939.09+0.627599i,-8.93464e-06-2.38878e-06i,-8.95012e-06-2.37298e-06i,-8.96101e-06-2.37173e-06i,-0+0i,+104504+252980i,+0+0j,+0+0j,-0+0i,+104387+252531i,+0+0j,+76729.1+801.401i,+27535.7+251203i,+64606.2+697.148i,+9181.89+1.91549i,+55375.5+645.824i,+46035.5+22365.3i,+1360.02+0.0238333i,+156256-233487i,+753538-348107i,+395595-32070.4i,+308322+243364i,+104604+253361i
2016-04-01 10:00:00 PDT,-0+0i,-0+0i,+722564-355558i,+0+0j,+0+0j,+0+0j,+718463-360468i,-0+0i,+65461.4+416.265i,+651040-364147i,+52252.5+376.841i,-0+0i,+266056-336120i,+42566.2+21295i,+9638.84-20966.2i,+0+0j,+0+0j,+33245.4-42614.2i,+81413.7-63324.3i,+18936.1-42643.9i,-0+0i,+81385.5-63411.2i,-0+0i,+81354.9-63499.5i,+18871.1-42713.1i,+62447.6-20882.5i,+18861.2-42738.8i,-0+0i,+18853-42758.3i,+43585.4+21810.3i,-7.18958e-06-1.60362e-06i,-7.18659e-06-1.62404e-06i,+0+0j,+0+0j,+43505.1+21807.9i,+99780.4-251851i,+43475.7+21752.4i,-0+0i,+0+0j,-0+0i,+99610.9-252174i,-0+0i,+97951-252498i,+11919.5-21430.6i,+85864.5-231351i,+2510.08+0.0762849i,+76792.6+54867.8i,-15383.4-248542i,-24317.3-248842i,-24467.9-249148i,-29618.9-249448i,+376283-33832.7i,+360879-34652.6i,+21465.8+10736.2i,+377246+299453i,-1.35395e-08-2.05341e-08i,-0+0i,+376040+297191i,+0+0j,+3.10211e-07-3.30429e-06i,+19997.3+7.40079i,+169604-12096.2i,+110983+254042i,+15334.2+4.29583i,+9401.76+1.78467i,+7910.66+0.668679i,-0+0i,+169312-12193.5i,+0+0j,+0+0j,+61387-205312i,+55001.6+298444i,+61225.3-205598i,+45395.3+22711.8i,+15788.7-228383i,+15633.7-228833i,+15467.3-229293i,-0+0i,+77.7177-229529i,+0+0j,+53998.8+296185i,+5951.2-55001.9i,+47392.4+349716i,-0+0i,+46869.5+348495i,-0+0i,+46408.2+347589i,+46017.2+346684i,-3.22733e-06-5.58603e-06i,-0+0i,+5929.25+0.396899i,-6.1148e-06-2.40595e-06i,-6.1395e-06-2.42351e-06i,-6.16157e-06-2.40521e-06i,-0+0i,+104873+253297i,+0+0j,+0+0j,-0+0i,+104758+252849i,+0+0j,+74112.6+811.547i,+30519.7+251511i,+64006.6+714.347i,+8961.8+1.82333i,+54997+664.065i,+45630.6+22382.4i,+920.011+0.0108975i,+149792-233225i,+730005-348905i,+382486-32143.4i,+301444+243309i,+104973+253680i
