# file...... nodes_voltage_A.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= node
# property.. voltage_A
# limit..... -1
# interval.. 3600
# timestamp,Node3,Node8,Node13,Node14,Node1401,Node15,Node18,Node21,Node23,Node25,Node26,Node2601,Node27,Node36,Node40,Node44,Node54,Node57,Node61,Node67,Node6701,Node72,Node78,Node81,Node89,Node91,Node93,Node97,Node101,Node105,Node108,Node110,Node135,Node149,Node1491,Node150,Node151,Node152,Node160,Node195,Node197,Node250,Node251,Node300,Node350,Node450,Node451,Node610,Node611
2016-04-01 00:00:00 PDT,+0+0j,+2467.82-48.2047i,+2456.37-62.1448i,+2445.52-50.5441i,+2449.62-49.213i,+0+0j,+2446.63-78.7639i,+2444.29-80.4874i,+2442.43-82.3288i,+2440.15-84.4062i,+2439.17-85.3264i,+2440.14-84.4054i,+2438.31-86.0631i,+2444.05-84.4579i,+2446.82-85.6573i,+2447.74-90.1577i,+2437.46-79.3016i,+2422.87-83.5384i,+2391.84-93.3361i,+2498.98-101.742i,+2511.42-97.9714i,+2494.1-102.684i,+2493.33-106.364i,+2503.46-110.454i,+2456.95-90.8818i,+2451.56-88.4577i,+2446.08-86.5571i,+2494.67-102.544i,+2490.27-102.924i,+2484.92-103.421i,+2478.84-104.343i,+2469.2-108.759i,+2446.62-78.7618i,+2506.79+0.0301055i,+2506.81+0.00569227i,+2401.78-0.000745586i,+2466.58-100.143i,+2456.37-62.1308i,+2391.84-93.3203i,+2445.99-86.4278i,+2494.67-102.537i,+2438.53-86.0704i,+2438.53-86.0704i,+2466.58-100.148i,+2466.58-100.148i,+2495.89-103.143i,+2495.89-103.143i,+275.982-10.7696j,+2391.84-93.3361i
2016-04-01 01:00:00 PDT,+0+0j,-86.0691-2492.17i,-104.286-2489.8i,-89.4389-2472.41i,-87.2558-2474.75i,+0+0j,-124.339-2497.36i,-126.373-2498.43i,-128.479-2499.41i,-130.843-2500.25i,-131.93-2501.31i,-130.844-2500.25i,-132.795-2502.05i,-131.823-2495.99i,-133.22-2500.43i,-139.105-2503.57i,-127.811-2477.27i,-133.153-2464.33i,-144.662-2437.27i,-155.187-2548.96i,-151.872-2559.12i,-156.266-2544.95i,-160.318-2544.78i,-164.909-2554.94i,-142.787-2500.26i,-139.68-2493.82i,-137.096-2487.3i,-155.751-2545.58i,-155.911-2542.1i,-156.159-2537.77i,-156.771-2532.88i,-162.513-2526.36i,-124.34-2497.35i,-25.2833-2501.57i,-25.2946-2501.59i,-24.2216-2396.77i,-151.577-2521.52i,-104.277-2489.79i,-144.65-2437.27i,-136.975-2487.22i,-155.745-2545.58i,-132.624-2499.71i,-132.624-2499.71i,-151.582-2521.51i,-151.582-2521.51i,-156.358-2546.82i,-156.358-2546.82i,-16.6918-281.223j,-144.662-2437.27i
2016-04-01 02:00:00 PDT,+0+0j,-86.0259-2492.18i,-104.239-2489.81i,-89.3942-2472.42i,-87.2111-2474.76i,+0+0j,-124.294-2497.37i,-126.328-2498.44i,-128.434-2499.42i,-130.798-2500.26i,-131.886-2501.32i,-130.799-2500.25i,-132.75-2502.05i,-131.778-2495.99i,-133.177-2500.44i,-139.064-2503.58i,-127.754-2477.29i,-133.096-2464.35i,-144.606-2437.29i,-155.128-2548.99i,-151.813-2559.14i,-156.208-2544.97i,-160.262-2544.8i,-164.853-2554.97i,-142.727-2500.28i,-139.621-2493.84i,-137.037-2487.32i,-155.694-2545.6i,-155.856-2542.12i,-156.106-2537.79i,-156.719-2532.9i,-162.462-2526.38i,-124.295-2497.36i,-25.2593-2501.57i,-25.2706-2501.59i,-24.1986-2396.77i,-151.531-2521.53i,-104.23-2489.8i,-144.594-2437.29i,-136.916-2487.24i,-155.687-2545.61i,-132.579-2499.71i,-132.579-2499.71i,-151.535-2521.53i,-151.535-2521.53i,-156.3-2546.85i,-156.3-2546.85i,-16.6853-281.226j,-144.606-2437.29i
2016-04-01 03:00:00 PDT,+0+0j,-86.8222-2491.91i,-105.235-2489.48i,-90.2242-2472.12i,-88.0422-2474.46i,+0+0j,-125.373-2497.15i,-127.397-2498.27i,-129.494-2499.29i,-131.853-2500.15i,-132.941-2501.21i,-131.855-2500.15i,-133.805-2501.95i,-132.926-2495.74i,-134.356-2500.15i,-140.295-2503.24i,-129.097-2476.76i,-134.484-2463.8i,-146.086-2436.7i,-156.729-2548.36i,-153.367-2558.52i,-157.762-2544.38i,-161.715-2544.23i,-166.244-2554.47i,-144.186-2499.69i,-141.047-2493.28i,-138.434-2486.76i,-157.297-2544.96i,-157.432-2541.5i,-157.656-2537.16i,-158.274-2532.28i,-164.084-2525.67i,-125.373-2497.14i,-25.2578-2501.57i,-25.2695-2501.59i,-24.1976-2396.77i,-152.962-2521.02i,-105.226-2489.47i,-146.074-2436.7i,-138.313-2486.68i,-157.29-2544.97i,-133.62-2499.68i,-133.62-2499.68i,-152.966-2521.01i,-152.966-2521.01i,-157.906-2546.15i,-157.906-2546.15i,-16.8561-281.158j,-146.086-2436.7i
2016-04-01 04:00:00 PDT,+0+0j,-89.7014-2490.62i,-108.882-2487.83i,-93.198-2470.7i,-91.0198-2473.04i,+0+0j,-129.556-2495.59i,-131.554-2496.84i,-133.63-2497.96i,-135.976-2498.89i,-137.062-2499.96i,-135.977-2498.88i,-137.927-2500.7i,-137.357-2494.02i,-138.931-2498.32i,-145.098-2501.2i,-133.957-2474.31i,-139.561-2461.26i,-151.645-2433.96i,-162.696-2545.45i,-159.203-2555.64i,-163.595-2541.55i,-167.381-2541.39i,-171.932-2551.76i,-149.448-2496.99i,-146.187-2490.65i,-143.459-2484.17i,-163.279-2542.04i,-163.366-2538.64i,-163.548-2534.25i,-164.195-2529.38i,-170.295-2522.42i,-129.556-2495.58i,-25.3048-2501.56i,-25.3178-2501.59i,-24.244-2396.77i,-158.486-2518.42i,-108.872-2487.82i,-151.632-2433.96i,-143.327-2484.08i,-163.272-2542.04i,-137.709-2498.57i,-137.709-2498.57i,-158.49-2518.41i,-158.49-2518.41i,-163.894-2543.1i,-163.894-2543.1i,-17.4975-280.841j,-151.645-2433.96i
2016-04-01 05:00:00 PDT,+0+0j,-92.9912-2488.97i,-113.086-2485.71i,-96.5595-2468.95i,-94.3857-2471.29i,+0+0j,-134.554-2493.37i,-136.53-2494.73i,-138.586-2495.95i,-140.917-2496.94i,-142.001-2498.05i,-140.919-2496.94i,-142.866-2498.78i,-142.652-2491.59i,-144.441-2495.78i,-150.926-2498.42i,-139.522-2471.31i,-145.42-2458.14i,-158.173-2430.62i,-169.697-2541.87i,-166.058-2552.13i,-170.461-2538.03i,-174.167-2537.86i,-178.89-2548.29i,-155.473-2493.66i,-152.067-2487.4i,-149.199-2480.96i,-170.314-2538.45i,-170.389-2535.08i,-170.567-2530.66i,-171.262-2525.77i,-177.738-2518.35i,-134.554-2493.36i,-25.4461-2501.54i,-25.4605-2501.57i,-24.3809-2396.75i,-165.144-2515.07i,-113.075-2485.7i,-158.16-2430.61i,-149.039-2480.86i,-170.308-2538.45i,-142.628-2496.73i,-142.628-2496.73i,-165.148-2515.06i,-165.148-2515.06i,-170.939-2539.42i,-170.939-2539.42i,-18.2507-280.456j,-158.173-2430.62i
2016-04-01 06:00:00 PDT,+0+0j,-94.4609-2488.49i,-114.981-2485.1i,-98.0395-2468.46i,-95.8676-2470.8i,+0+0j,-136.911-2492.66i,-138.882-2494.04i,-140.934-2495.28i,-143.261-2496.29i,-144.343-2497.42i,-143.263-2496.29i,-145.208-2498.15i,-145.143-2490.81i,-147.05-2494.97i,-153.704-2497.53i,-141.995-2470.55i,-148.045-2457.41i,-161.156-2429.99i,-172.898-2541.1i,-169.189-2551.47i,-173.624-2537.23i,-177.392-2537.02i,-182.315-2547.42i,-158.16-2492.83i,-154.689-2486.58i,-151.754-2480.15i,-173.544-2537.65i,-173.641-2534.26i,-173.842-2529.79i,-174.565-2524.85i,-181.231-2517.19i,-136.911-2492.65i,-25.5877-2501.54i,-25.6027-2501.57i,-24.5172-2396.75i,-168.295-2514.12i,-114.97-2485.09i,-161.143-2429.99i,-151.573-2480.02i,-173.537-2537.65i,-144.973-2496.07i,-144.973-2496.07i,-168.299-2514.12i,-168.299-2514.12i,-174.187-2538.62i,-174.187-2538.62i,-18.5949-280.383j,-161.156-2429.99i
2016-04-01 07:00:00 PDT,+0+0j,-89.5565-2491.51i,-108.668-2489.01i,-93.0112-2471.64i,-90.8324-2473.98i,+0+0j,-129.491-2496.7i,-131.505-2497.87i,-133.594-2498.94i,-135.945-2499.83i,-137.031-2500.91i,-135.947-2499.83i,-137.896-2501.65i,-137.253-2495.21i,-138.836-2499.59i,-145.002-2502.59i,-133.504-2476.17i,-139.108-2463.36i,-151.22-2436.59i,-162.209-2548.03i,-158.757-2558.4i,-163.188-2544i,-167.225-2543.75i,-172.068-2553.98i,-148.951-2499.08i,-145.709-2492.66i,-142.994-2486.13i,-162.78-2544.59i,-162.93-2541.13i,-163.18-2536.68i,-163.85-2531.69i,-169.97-2524.71i,-129.492-2496.69i,-25.6462-2501.52i,-25.659-2501.55i,-24.5708-2396.73i,-158.269-2520.34i,-108.658-2489i,-151.207-2436.58i,-142.847-2486.03i,-162.773-2544.59i,-137.704-2499.4i,-137.704-2499.4i,-158.274-2520.34i,-158.274-2520.34i,-163.294-2545.66i,-163.294-2545.66i,-17.4485-281.145j,-151.22-2436.59i
2016-04-01 08:00:00 PDT,+0+0j,-83.2046-2494.77i,-100.587-2493.19i,-86.4934-2475.11i,-84.306-2477.45i,+0+0j,-120.067-2500.89i,-122.136-2501.8i,-124.27-2502.64i,-126.654-2503.4i,-127.744-2504.43i,-126.655-2503.4i,-128.609-2505.17i,-127.252-2499.81i,-128.445-2504.44i,-134.028-2507.94i,-122.756-2482.26i,-127.831-2469.75i,-138.754-2443.58i,-148.824-2555.41i,-145.669-2565.74i,-150.105-2551.2i,-154.466-2550.93i,-159.197-2560.91i,-137.315-2505.84i,-134.352-2499.24i,-131.903-2492.61i,-149.339-2551.98i,-149.555-2548.4i,-149.855-2544.02i,-150.442-2539.01i,-155.865-2532.87i,-120.067-2500.88i,-25.4466-2501.55i,-25.4566-2501.57i,-24.3767-2396.75i,-145.693-2526.99i,-100.579-2493.18i,-138.743-2443.58i,-131.797-2492.54i,-149.332-2551.98i,-128.475-2502.68i,-128.475-2502.68i,-145.698-2526.99i,-145.698-2526.99i,-149.833-2553.28i,-149.833-2553.28i,-16.0101-281.951j,-138.754-2443.58i
2016-04-01 09:00:00 PDT,+0+0j,-79.2323-2496.28i,-95.6209-2495.1i,-82.4038-2476.77i,-80.2113-2479.11i,+0+0j,-114.454-2502.57i,-116.563-2503.29i,-118.731-2503.97i,-121.135-2504.63i,-122.228-2505.64i,-121.137-2504.63i,-123.093-2506.38i,-121.295-2501.7i,-122.281-2506.46i,-127.543-2510.23i,-116.194-2485.12i,-120.994-2472.71i,-131.316-2446.76i,-140.813-2558.8i,-137.86-2569.09i,-142.292-2554.47i,-146.952-2554.15i,-151.76-2563.88i,-130.211-2509.01i,-127.41-2502.31i,-125.112-2495.65i,-141.302-2555.4i,-141.586-2551.74i,-141.945-2547.42i,-142.488-2542.41i,-147.523-2536.72i,-114.455-2502.56i,-25.1586-2501.58i,-25.1669-2501.6i,-24.099-2396.77i,-138.261-2530.01i,-95.6133-2495.09i,-131.305-2446.76i,-125.021-2495.58i,-141.295-2555.4i,-123.006-2503.68i,-123.006-2503.68i,-138.267-2530i,-138.267-2530i,-141.786-2556.89i,-141.786-2556.89i,-15.1518-282.319j,-131.316-2446.76i
