# file...... underground_lines_power_out_A.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= underground_line
# property.. power_out_A
# limit..... -1
# interval.. 3600
# timestamp,O60-62,O62-63,O63-64,O64-65,O65-66
2016-04-01 00:00:00 PDT,+60798.2+47570i,+60760.8+47562.8i,+45476.7+47552.5i,+45409.2+47539.4i,-1.99736e-08-8.52705e-10i
2016-04-01 01:00:00 PDT,+62625.2+48791.2i,+62586+48784.6i,+47757.9+48774.9i,+47688+48761.3i,+8.72131e-09-1.45267e-10i
2016-04-01 02:00:00 PDT,+62636+48791.7i,+62596.8+48785.1i,+47758.7+48775.4i,+47688.8+48761.8i,-5.99499e-10-3.58241e-10i
2016-04-01 03:00:00 PDT,+62199.8+48761.9i,+62161+48755.4i,+47722.9+48745.7i,+47653.1+48732.1i,-2.06643e-08-1.98597e-10i
2016-04-01 04:00:00 PDT,+63402.8+48636.7i,+63363+48630i,+47615.1+48620.4i,+47545.5+48606.8i,-1.74776e-08-5.92707e-10i
2016-04-01 05:00:00 PDT,+66386.4+48479.5i,+66344.2+48472.3i,+47506.4+48462.6i,+47437+48449i,+1.37855e-08-1.27399e-09i
2016-04-01 06:00:00 PDT,+68949.2+48395i,+68904.8+48387.3i,+47467.2+48377.4i,+47397.9+48363.5i,+1.19656e-08+5.00948e-09i
2016-04-01 07:00:00 PDT,+66290.2+48620.6i,+66248.1+48613.3i,+47620.3+48603.2i,+47550.8+48589.1i,+3.08713e-09-4.61088e-11i
2016-04-01 08:00:00 PDT,+62827.8+48899.4i,+62788.5+48892.6i,+47840.4+48882.4i,+47770.6+48868.2i,+2.61828e-08+6.49051e-10i
2016-04-01 09:00:00 PDT,+62364.9+49056.6i,+62326+49049.8i,+47987.7+49039.6i,+47917.6+49025.3i,-9.43329e-10-4.83914e-10i
2016-04-01 10:00:00 PDT,+62298.2+49103.6i,+62259.3+49096.8i,+48030.9+49086.6i,+47960.7+49072.4i,-1.31994e-08+6.07683e-10i
