# file...... Overhead_lines_power_in_A.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-06-03 00:00:00 PDT,+0-0i,+0-0i,+1.01105e+06+150873i,+0+0j,+0+0j,+0+0j,+1.00322e+06+143816i,+0-0i,+88257+30700.1i,+912131+108451i,+62145.8+30617.9i,+0-0i,+396641-51616i,+41484.5+20753.8i,+20575.7+9777.43i,+0+0j,+0+0j,+54012.8+19117.7i,+124192+59081.4i,+41378.4+19082.8i,+0-0i,+124119+58934.1i,+0-0i,+124072+58793.2i,+41340.9+18964i,+82669+39665.8i,+41332+18940.3i,+0-0i,+41323.8+18920.8i,+41318.4+20674.9i,+4.51533e-06-7.91982e-06i,+4.46809e-06-7.945e-06i,+0+0j,+0+0j,+41502.7+20791.3i,+162116-145910i,+41474.9+20751.3i,+0-0i,+0+0j,+0-0i,+162024-146091i,+0-0i,+158081-146271i,+25510.5+9472.38i,+132487-155913i,+4750.28+0.287707i,+72931.3+52109i,+22844.6-232416i,+6856.37-232719i,+6753.08-233032i,+206.573-233328i,+490850+151876i,+476949+150660i,+20639.3+10322.8i,+468525+417157i,+4.90419e-09+1.61035e-08i,+0-0i,+466533+413828i,+0+0j,+8.45127e-06-4.18581e-06i,+53783.7+64.5661i,+218282+87939.1i,+121251+268543i,+47620.5+41.0013i,+26915.4+15.5783i,+23055.9+5.96992i,+0-0i,+217902+87665i,+0+0j,+0+0j,+57265.4-195571i,+58259.1+230069i,+57152-195839i,+43226+21626.5i,+13894.4-217537i,+13782.3-217984i,+13645.7-218453i,+0-0i,+67.7015-218680i,+0+0j,+57444.7+228704i,+20703.1-52618.2i,+36210.5+280437i,+0-0i,+35794.7+279659i,+0-0i,+35470+279065i,+35204+278455i,-7.66268e-06-2.27351e-06i,+0-0i,+20679+3.60462i,+4.91928e-06+6.59773e-06i,+4.91767e-06+6.59201e-06i,+4.91513e-06+6.59681e-06i,+0-0i,+100347+267543i,+0+0j,+0+0j,+0-0i,+100208+266945i,+0+0j,+99673.1+30906.3i,+414.054+235348i,+75192.9+30703.5i,+8921.88+1.90857i,+66189.8+30619.3i,+45155+21185.1i,+2840.11+0.10974i,+216607-132262i,+1.03376e+06+160677i,+512050+154537i,+394645+358947i,+100465+268035i
2016-06-03 01:00:00 PDT,-0+0i,-0+0i,+839487-353280i,+0+0j,+0+0j,+0+0j,+832652-359495i,-0+0i,+76667.4+375.308i,+753579-363983i,+52063.8+321.09i,-0+0i,+296164-338015i,+42446+21234.9i,+9570.57-20961.7i,+0+0j,+0+0j,+30548.9-42618.5i,+80952.9-63389i,+18761.3-42646.5i,-0+0i,+80938.5-63481.8i,-0+0i,+80919.6-63574.8i,+18704.5-42727.5i,+62185.7-20946.1i,+18695-42753.8i,-0+0i,+18686.7-42773.2i,+43491.7+21762.5i,+1.47829e-06-7.54339e-06i,+1.46673e-06-7.54871e-06i,+0+0j,+0+0j,+43362.7+21736.2i,+127263-250556i,+43333+21681i,-0+0i,+0+0j,-0+0i,+127073-250895i,-0+0i,+123403-251232i,+13624.3-21426i,+109599-230101i,+4320.22+0.226874i,+76477.8+54642.9i,+8861.34-247055i,-6162.31-247345i,-6309.75-247643i,-12379.5-247925i,+434503-33409.3i,+421583-34464.9i,+21358.4+10682.6i,+412418+297728i,+8.20339e-09+2.2091e-08i,-0+0i,+411019+295260i,+0+0j,+1.46121e-05-7.58342e-06i,+50273.5+54.2054i,+167680-12606.9i,+120656+252265i,+44614+34.4615i,+25122.9+13.0654i,+21635+5.03953i,-0+0i,+167413-12678.7i,+0+0j,+0+0j,+58350.4-204207i,+56804.5+296818i,+58220.1-204487i,+45137.1+22582.7i,+13047.4-227144i,+12916.9-227606i,+12763.5-228090i,-0+0i,+76.9517-228325i,+0+0j,+55769.2+294586i,+19493.5-54677i,+35600.9+347814i,-0+0i,+35084.2+346625i,-0+0i,+34625+345744i,+34237.8+344850i,-9.73325e-06-8.15266e-06i,-0+0i,+19468.9+3.09908i,-4.56927e-06-1.23919e-05i,-4.56236e-06-1.23601e-05i,-4.58631e-06-1.2368e-05i,-0+0i,+100999+251541i,+0+0j,+0+0j,-0+0i,+100877+251099i,+0+0j,+87505.3+732.191i,+13266.1+249856i,+64540.8+595.901i,+8281.55+1.56695i,+56210.3+544.752i,+46987.4+22242.3i,+2560.08+0.0849261i,+183077-235435i,+860586-344622i,+454394-31096.7i,+339562+241146i,+101100+251898i
2016-06-03 02:00:00 PDT,-0+0i,-0+0i,+836861-353299i,+0+0j,+0+0j,+0+0j,+829989-359482i,-0+0i,+76290.3+375.897i,+751302-363948i,+52067.3+322.212i,-0+0i,+295558-337953i,+42447.7+21235.7i,+9572.33-20961.4i,+0+0j,+0+0j,+30552.9-42617.4i,+80961.6-63386.3i,+18765.3-42645.4i,-0+0i,+80946.9-63479i,-0+0i,+80927.7-63572i,+18708.3-42726.1i,+62189.9-20944.5i,+18698.8-42752.4i,-0+0i,+18690.6-42771.9i,+43492+21762.6i,-2.36848e-06-1.11354e-05i,-2.36463e-06-1.12015e-05i,+0+0j,+0+0j,+43363.9+21736.7i,+126821-250595i,+43334.2+21681.6i,-0+0i,+0+0j,-0+0i,+126631-250933i,-0+0i,+122911-251270i,+13676.5-21425.5i,+109055-230140i,+4370.23+0.232148i,+76480.8+54645i,+8310.21-247097i,-6568.63-247386i,-6716.22-247685i,-12826.1-247967i,+433199-33396.9i,+420281-34447.2i,+21359.7+10683.2i,+411616+297693i,+9.85386e-09+2.40648e-08i,-0+0i,+410221+295228i,+0+0j,+3.92935e-06+9.32039e-06i,+49732.2+52.9269i,+167554-12678.6i,+120508+252311i,+44033.2+33.6073i,+24872.6+12.7663i,+21334.8+4.90021i,-0+0i,+167287-12750.6i,+0+0j,+0+0j,+58354.7-204220i,+56660.8+296756i,+58223.9-204500i,+45140.1+22584.2i,+13048-227158i,+12917.1-227621i,+12763.5-228104i,-0+0i,+76.9539-228339i,+0+0j,+55626.7+294525i,+19163.4-54681.2i,+35789.4+347758i,-0+0i,+35272.8+346569i,-0+0i,+34813.7+345688i,+34426.6+344794i,-3.76804e-06-3.41821e-06i,-0+0i,+19138.9+3.01106i,-6.72685e-06-1.0959e-06i,-6.73148e-06-1.08752e-06i,-6.74981e-06-1.07675e-06i,-0+0i,+101181+251586i,+0+0j,+0+0j,-0+0i,+101060+251144i,+0+0j,+87240.8+733.428i,+13713.1+249900i,+64607.1+597.97i,+8301.55+1.57441i,+56256.6+546.715i,+47030.7+22243.9i,+2600.09+0.0875944i,+182456-235368i,+857542-344692i,+452732-31099.4i,+338745+241116i,+101283+251944i
2016-06-03 03:00:00 PDT,-0+0i,-0+0i,+851856-353055i,+0+0j,+0+0j,+0+0j,+844814-359422i,-0+0i,+77906.5+373.073i,+764465-364007i,+52051.2+317.079i,-0+0i,+299246-338190i,+42439+21231.3i,+9564.94-20962.1i,+0+0j,+0+0j,+30115-42622.5i,+80923.2-63397.9i,+18747.6-42650.2i,-0+0i,+80910.3-63491.3i,-0+0i,+80892.6-63585i,+18691.7-42732.5i,+62172.4-20951.5i,+18682.2-42758.8i,-0+0i,+18673.9-42778.3i,+43491.4+21762.2i,-1.46311e-06-6.97109e-07i,-1.50419e-06-6.88447e-07i,+0+0j,+0+0j,+43357.5+21733.6i,+130159-250375i,+43327.8+21678.4i,-0+0i,+0+0j,-0+0i,+129968-250716i,-0+0i,+126156-251055i,+13725.9-21427.5i,+112250-229926i,+4430.24+0.238616i,+76463.6+54632.8i,+11541.8-246866i,-4173.65-247155i,-4320.53-247454i,-10390.1-247735i,+440659-33448.7i,+428164-34530i,+21352.4+10679.6i,+416372+297945i,+1.8205e-09-2.10781e-08i,-0+0i,+414956+295457i,+0+0j,+8.16421e-06+8.66921e-06i,+53681.5+62.3492i,+167802-12245i,+121671+252061i,+48009.3+39.8306i,+26904.8+15.0447i,+23275.8+5.83577i,-0+0i,+167537-12315i,+0+0j,+0+0j,+57878.5-204158i,+57454.5+297140i,+57752-204436i,+45124.3+22576.3i,+12592.7-227087i,+12465.1-227552i,+12313.1-228038i,-0+0i,+76.9407-228274i,+0+0j,+56412.8+294905i,+21103.9-54657.9i,+34629.9+348112i,-0+0i,+34112.6+346924i,-0+0i,+33652.5+346044i,+33264.8+345148i,+2.46451e-06-5.05222e-06i,-0+0i,+21079+3.56472i,+2.79033e-06+8.96492e-07i,+2.77375e-06+8.74583e-07i,+2.77499e-06+8.97533e-07i,-0+0i,+100402+251337i,+0+0j,+0+0j,-0+0i,+100279+250895i,+0+0j,+88901.2+728.021i,+11274.7+249658i,+64442.3+587.304i,+8091.48+1.49639i,+56302+536.358i,+47091.1+22234.3i,+2680.09+0.0931093i,+186635-235641i,+874508-344159i,+462156-31064.5i,+344120+241325i,+100504+251692i
2016-06-03 04:00:00 PDT,-0+0i,-0+0i,+885266-352022i,+0+0j,+0+0j,+0+0j,+877654-358815i,-0+0i,+80706.5+361.253i,+794360-363666i,+51997.1+301.117i,-0+0i,+309085-338551i,+42404.7+21214.2i,+9545.26-20960.9i,+0+0j,+0+0j,+31319.5-42621.1i,+80774.3-63417.7i,+18691.3-42649.7i,-0+0i,+80764-63512.3i,-0+0i,+80748.5-63606.8i,+18638-42734.6i,+62083.3-20971.7i,+18628.7-42761.1i,-0+0i,+18620.4-42780.6i,+43456.1+21744.4i,-3.09263e-06-8.6436e-07i,-3.13514e-06-8.64609e-07i,+0+0j,+0+0j,+43312.3+21710.8i,+137535-249996i,+43282.5+21655.8i,-0+0i,+0+0j,-0+0i,+137337-250343i,-0+0i,+133138-250689i,+14163.4-21426.3i,+118790-229566i,+4900.29+0.292287i,+76368.8+54565.1i,+18235.6-246436i,+757.348-246724i,+609.94-247022i,-6100.82-247300i,+458178-33281.8i,+444315-34444.3i,+21322.9+10664.8i,+426615+297465i,+7.69022e-09+1.69765e-08i,-0+0i,+425152+294915i,+0+0j,-1.27998e-07+1.05069e-05i,+59696.3+77.2838i,+167832-12404.3i,+123547+251583i,+53408.7+49.3916i,+29928.4+18.6649i,+25917.2+7.24914i,-0+0i,+167570-12469.4i,+0+0j,+0+0j,+59152-203837i,+56411.1+296662i,+59028.5-204115i,+45053.2+22540.7i,+13940.9-226731i,+13815.7-227197i,+13663.8-227688i,-0+0i,+76.7317-227923i,+0+0j,+55362.5+294434i,+23474.6-54570.8i,+31204.8+347559i,-0+0i,+30688.3+346377i,-0+0i,+30228.1+345501i,+29840.6+344608i,-3.29567e-06-1.81315e-06i,-0+0i,+23449.1+4.3695i,+1.28166e-05-2.07893e-06i,+1.27936e-05-2.1084e-06i,+1.28019e-05-2.09879e-06i,-0+0i,+99907.4+250862i,+0+0j,+0+0j,-0+0i,+99784.1+250419i,+0+0j,+92694.5+708.177i,+6989.5+249203i,+65493.3+554.954i,+8981.82+1.84705i,+56461+501.944i,+47293.3+22195.6i,+2960.11+0.113783i,+195396-236108i,+910167-342510i,+482039-30700.7i,+352064+240726i,+100010+251213i
2016-06-03 05:00:00 PDT,-0+0i,-0+0i,+944849-350128i,+0+0j,+0+0j,+0+0j,+936194-357726i,-0+0i,+85567.7+345.216i,+847815-363088i,+51920.9+277.553i,-0+0i,+326894-339056i,+42360.6+21192.1i,+9513.2-20962.3i,+0+0j,+0+0j,+33330-42630.4i,+80554.7-63462.5i,+18600.5-42660.3i,-0+0i,+80549.1-63559i,-0+0i,+80537.5-63655.2i,+18551.9-42750i,+61960.9-21005.6i,+18542.7-42776.8i,-0+0i,+18534.4-42796.3i,+43420.3+21726.3i,-8.1874e-07-9.04695e-06i,-8.42071e-07-9.03689e-06i,+0+0j,+0+0j,+43259.9+21684.2i,+151080-249224i,+43229.8+21629.4i,-0+0i,+0+0j,-0+0i,+150871-249586i,-0+0i,+145910-249947i,+15010.7-21430.4i,+130708-228833i,+5800.4+0.410119i,+76254.2+54483.2i,+30362-245608i,+9721.3-245898i,+9573.75-246198i,+1701.38-246474i,+489356-33204.6i,+473218-34515.5i,+21286.4+10646.4i,+445763+297662i,-5.02826e-10+2.15357e-08i,-0+0i,+444228+295006i,+0+0j,-4.32033e-06+4.39938e-06i,+70687.3+108.73i,+168791-11626.7i,+126854+250725i,+63278.6+69.5475i,+35506+26.3263i,+30740.1+10.2227i,-0+0i,+168532-11685.5i,+0+0j,+0+0j,+61308.9-203465i,+55527.1+297111i,+61191.2-203744i,+44969.9+22499i,+16187.7-226319i,+16067-226790i,+15915.1-227289i,-0+0i,+76.5176-227525i,+0+0j,+54457.7+294877i,+27756.1-54462.2i,+26005.6+347891i,-0+0i,+25486.7+346712i,-0+0i,+25023+345837i,+24633.1+344941i,-6.38684e-06-4.43407e-06i,-0+0i,+27729.7+5.86693i,+8.46812e-06-4.13329e-06i,+8.47735e-06-4.11618e-06i,+8.46947e-06-4.13289e-06i,-0+0i,+98932+250004i,+0+0j,+0+0j,-0+0i,+98807.1+249558i,+0+0j,+99523.4+686.274i,-810.203+248362i,+67418.8+509.305i,+10512.5+2.53586i,+56852.6+452.437i,+47755+22147i,+3520.16+0.161272i,+211396-236800i,+973589-339450i,+517421-30260.9i,+367373+240731i,+99034.1+250349i
2016-06-03 06:00:00 PDT,-0+0i,-0+0i,+967968-349396i,+0+0j,+0+0j,+0+0j,+959172-357338i,-0+0i,+87493.2+341.695i,+868808-362925i,+51903.4+270.946i,-0+0i,+334359-339130i,+42355.2+21189.5i,+9501.07-20966.2i,+0+0j,+0+0j,+34976.4-42642.8i,+80488.2-63490.7i,+18565.8-42673.9i,-0+0i,+80483.8-63587.8i,-0+0i,+80473.2-63684.4i,+18519.1-42765.2i,+61930.1-21019.9i,+18509.9-42792.1i,-0+0i,+18501.7-42811.6i,+43422.5+21727.3i,+1.12513e-06-1.87462e-05i,+1.10852e-06-1.87682e-05i,+0+0j,+0+0j,+43258.4+21683.4i,+156028-248829i,+43228.2+21628.6i,-0+0i,+0+0j,-0+0i,+155817-249200i,-0+0i,+150763-249569i,+15201.4-21437.8i,+135369-228454i,+6010.43+0.440386i,+76248.8+54479.4i,+35061.8-245213i,+13181.5-245506i,+13034-245809i,+4641.27-246087i,+501757-33391.5i,+483842-34763.8i,+21284.9+10645.6i,+453783+298602i,+2.63744e-09-5.22066e-09i,-0+0i,+452238+295912i,+0+0j,+2.80453e-07+7.86303e-06i,+73706.4+117.912i,+170222-10407.3i,+127635+250366i,+65814.3+75.3159i,+36938.2+28.5636i,+32081+11.1345i,-0+0i,+169961-10466.9i,+0+0j,+0+0j,+63115.3-203470i,+55252.5+298389i,+62997.3-203751i,+44971.9+22500.1i,+17991.4-226327i,+17870.4-226799i,+17716.7-227302i,-0+0i,+76.6053-227539i,+0+0j,+54168.8+296137i,+28856.6-54458.4i,+24607+349137i,-0+0i,+24084+347951i,-0+0i,+23616.4+347070i,+23223.1+346168i,-3.54685e-06-1.04699e-07i,-0+0i,+28829.9+6.26774i,+5.52864e-06+5.35586e-06i,+5.51773e-06+5.31509e-06i,+5.52372e-06+5.31448e-06i,-0+0i,+98611.7+249640i,+0+0j,+0+0j,-0+0i,+98485.9+249189i,+0+0j,+102144+686.354i,-3751.01+247989i,+68450.2+499.939i,+11533+3.0525i,+56861.9+440.874i,+47789.2+22144.1i,+3560.16+0.164981i,+217278-236944i,+997650-338234i,+530884-30304.9i,+372632+241632i,+98713.8+249986i
2016-06-03 07:00:00 PDT,-0+0i,-0+0i,+876487-352641i,+0+0j,+0+0j,+0+0j,+869980-359353i,-0+0i,+80303.2+374.467i,+787221-364174i,+52054.5+314.998i,-0+0i,+307663-338271i,+42453.1+21238.4i,+9554.12-20971.3i,+0+0j,+0+0j,+33026.8-42649i,+80896.1-63441.5i,+18717.5-42678.6i,-0+0i,+80883.7-63535.3i,-0+0i,+80866.4-63629.1i,+18663.7-42762i,+62174.3-20966.2i,+18654.2-42788.3i,-0+0i,+18645.9-42807.8i,+43521.3+21777.2i,+4.58026e-06-1.76665e-06i,+4.56227e-06-1.77337e-06i,+0+0j,+0+0j,+43387.5+21748.6i,+134593-249900i,+43357.7+21693.4i,-0+0i,+0+0j,-0+0i,+134405-250249i,-0+0i,+131076-250597i,+13440.7-21443.6i,+117457-229460i,+4160.21+0.210258i,+76521.2+54674i,+16716.1-246414i,-439.594-246709i,-584.984-247014i,-7053.38-247300i,+454360-33948.6i,+438783-35087i,+21369.5+10688i,+425961+300005i,+2.83403e-09-1.103e-08i,-0+0i,+424550+297499i,+0+0j,+6.45849e-06+2.76592e-07i,+55144.6+65.4934i,+171404-9844.36i,+121632+251697i,+49141.2+41.7607i,+27365.6+15.8246i,+24216.2+6.30923i,-0+0i,+171130-9920.84i,+0+0j,+0+0j,+61094.4-204376i,+57896.9+299860i,+60964.4-204658i,+45175.5+22601.9i,+15753-227335i,+15622.5-227801i,+15466.1-228290i,-0+0i,+77.1735-228527i,+0+0j,+56832.5+297588i,+21774.1-54709.3i,+34364+350823i,-0+0i,+33838.8+349619i,-0+0i,+33371.9+348726i,+32977.8+347817i,-1.28264e-05+3.17775e-06i,-0+0i,+21749.3+3.43604i,-1.20295e-06-3.23618e-06i,-1.21971e-06-3.22534e-06i,-1.20752e-06-3.22447e-06i,-0+0i,+99689.8+250970i,+0+0j,+0+0j,-0+0i,+99567+250519i,+0+0j,+91536.3+739.345i,+7928.06+249260i,+65559.2+590.325i,+9622.09+2.11401i,+55886.7+537.084i,+46694.4+22255.5i,+2240.06+0.0649805i,+192176-235773i,+899686-343271i,+476496-31437.6i,+349183+243402i,+99790.8+251325i
2016-06-03 08:00:00 PDT,-0+0i,-0+0i,+778271-355210i,+0+0j,+0+0j,+0+0j,+773717-360735i,-0+0i,+72035+405.983i,+699587-364812i,+52197.8+358.221i,-0+0i,+279261-337163i,+42540.8+21282.3i,+9609.58-20972.1i,+0+0j,+0+0j,+31079.1-42641.8i,+81286.3-63376.5i,+18871.2-42670.1i,-0+0i,+81265.2-63466.6i,-0+0i,+81240.7-63557.4i,+18809.8-42745.1i,+62398-20909.6i,+18799.9-42770.9i,-0+0i,+18791.6-42790.4i,+43598+21816.1i,+5.41297e-07-6.98274e-06i,+5.23163e-07-6.98154e-06i,+0+0j,+0+0j,+43495.7+21803.3i,+111976-251037i,+43466.4+21747.8i,-0+0i,+0+0j,-0+0i,+111805-251368i,-0+0i,+109943-251699i,+11930.7-21442.3i,+97844.8-230547i,+2560.08+0.0793871i,+76755.6+54841.5i,-3294.72-247685i,-15285.2-247984i,-15431.5-248291i,-20178.9-248585i,+403523-34211.8i,+390270-35130.8i,+21445.2+10726i,+395173+300730i,+8.49702e-09+2.1056e-08i,-0+0i,+393895+298397i,+0+0j,+1.13354e-06-1.62769e-06i,+35165.7+26.0525i,+171123-10089.5i,+115419+253105i,+30846.2+16.4406i,+17136.2+6.26615i,+15442.5+2.55277i,-0+0i,+170839-10180.8i,+0+0j,+0+0j,+59051.6-205166i,+59105.6+300372i,+58907.9-205449i,+45354.1+22691.3i,+13515.7-228214i,+13374.6-228671i,+13215.4-229145i,-0+0i,+77.7089-229382i,+0+0j,+58069.5+298092i,+13722.2-54934.5i,+43670+351543i,-0+0i,+43144+350324i,-0+0i,+42678.9+349420i,+42285.3+348507i,-3.64562e-06+1.16499e-06i,-0+0i,+13698.9+1.48599i,+1.86398e-06-5.08073e-07i,+1.86103e-06-5.01552e-07i,+1.86438e-06-4.66792e-07i,-0+0i,+101530+252369i,+0+0j,+0+0j,-0+0i,+101410+251921i,+0+0j,+80238.2+791.795i,+21057.5+250607i,+62945.6+677.749i,+7811.37+1.38696i,+55087.9+629.437i,+45775.5+22355i,+1120.02+0.0161707i,+165359-234377i,+793993-347578i,+417692-32242.2i,+322632+244453i,+101632+252739i
2016-06-03 09:00:00 PDT,-0+0i,-0+0i,+719930-356084i,+0+0j,+0+0j,+0+0j,+715883-360958i,-0+0i,+66337.9+421.14i,+647620-364619i,+52268+380.666i,-0+0i,+263817-336335i,+42578.9+21301.4i,+9641.53-20968.8i,+0+0j,+0+0j,+31160.4-42624.5i,+81471.8-63327.7i,+18952.5-42652.8i,-0+0i,+81444.7-63415.3i,-0+0i,+81415.2-63504.1i,+18886.9-42722.6i,+62492.6-20877.7i,+18877-42748.3i,-0+0i,+18868.8-42767.8i,+43614.7+21824.8i,-1.02855e-06-3.87354e-06i,-1.00167e-06-3.83167e-06i,+0+0j,+0+0j,+43531.7+21821.4i,+99200.1-251824i,+43502.5+21765.8i,-0+0i,+0+0j,-0+0i,+99033.5-252147i,-0+0i,+97426.6-252469i,+11728.2-21434.9i,+85533.6-231317i,+2310.06+0.064571i,+76841.5+54902.8i,-15779.1-248537i,-24398.5-248838i,-24547-249145i,-29096-249445i,+373429-34032.2i,+360234-34835.3i,+21477.1+10742i,+376569+300061i,+2.24537e-08+9.04289e-09i,-0+0i,+375363+297813i,+0+0j,+6.40054e-06+1.3789e-05i,+21749+9.14086i,+170055-11476.3i,+111558+254041i,+17635.4+5.47035i,+10242.1+2.1509i,+8800.82+0.827205i,-0+0i,+169766-11574i,+0+0j,+0+0j,+59150.2-205468i,+57641.1+299236i,+58994.4-205753i,+45425.8+22727.1i,+13528.4-228553i,+13378.2-229005i,+13215.6-229468i,-0+0i,+77.804-229704i,+0+0j,+56630.3+296968i,+7411.34-55032.3i,+48558.3+350522i,-0+0i,+48033.8+349299i,-0+0i,+47571.4+348392i,+47179.6+347483i,-1.32055e-06-1.07042e-05i,-0+0i,+7389.16+0.519781i,+8.21448e-06-1.70086e-06i,+8.21737e-06-1.71872e-06i,+8.20927e-06-1.68288e-06i,-0+0i,+103985+253299i,+0+0j,+0+0j,-0+0i,+103868+252851i,+0+0j,+73759.9+819.235i,+29985.5+251507i,+62795+723.019i,+7711.33+1.3491i,+55037.6+675.057i,+45660.4+22397.3i,+920.011+0.0108902i,+149625-233414i,+729754-349432i,+381360-32360.6i,+304229+243933i,+104085+253679i
2016-06-03 10:00:00 PDT,-0+0i,-0+0i,+712912-356136i,+0+0j,+0+0j,+0+0j,+708642-360933i,-0+0i,+65605+423.101i,+641130-364542i,+52275.9+383.519i,-0+0i,+262241-336214i,+42582+21302.9i,+9646.34-20967.5i,+0+0j,+0+0j,+31171.6-42620.4i,+81494.5-63319i,+18963.6-42648.7i,-0+0i,+81466.8-63406.3i,-0+0i,+81436.7-63494.9i,+18897.7-42718i,+62503.2-20873i,+18887.8-42743.8i,-0+0i,+18879.6-42763.2i,+43614.5+21824.7i,-3.76339e-06-1.25256e-05i,-3.77739e-06-1.24981e-05i,+0+0j,+0+0j,+43533.3+21822.2i,+98000.9-251939i,+43504+21766.6i,-0+0i,+0+0j,-0+0i,+97833.9-252261i,-0+0i,+95976.6-252583i,+11984.2-21432.9i,+83827.4-231432i,+2560.08+0.0793001i,+76846.4+54906.4i,-17501.2-248660i,-25526.4-248961i,-25675.2-249268i,-30424.3-249569i,+369444-33974.6i,+356256-34762.7i,+21479.9+10743.4i,+374323+299808i,+3.81387e-09-3.26275e-08i,-0+0i,+373124+297570i,+0+0j,+6.15896e-06+4.31853e-06i,+20067.4+7.50298i,+169746-11843i,+111220+254179i,+15754.3+4.37856i,+9351.71+1.72992i,+7660.62+0.626608i,-0+0i,+169456-11940.8i,+0+0j,+0+0j,+59159.7-205495i,+57282.8+298885i,+59002.2-205780i,+45432.1+22730.3i,+13529.7-228584i,+13378.4-229035i,+13215.6-229497i,-0+0i,+77.7709-229733i,+0+0j,+56275+296620i,+6421.25-55041.3i,+49195.5+350185i,-0+0i,+48671.3+348962i,-0+0i,+48209.3+348055i,+47817.8+347148i,+2.80824e-06-1.30474e-05i,-0+0i,+6399.24+0.410226i,-6.77893e-06+2.75659e-06i,-6.76753e-06+2.77532e-06i,-6.78725e-06+2.74626e-06i,-0+0i,+104638+253435i,+0+0j,+0+0j,-0+0i,+104522+252987i,+0+0j,+73083.7+823.248i,+31314.6+251637i,+63110.5+728.8i,+7811.37+1.38412i,+55252.7+680.341i,+45867.1+22400.9i,+1120.02+0.0161376i,+148009-233284i,+722060-349599i,+376467-32341.9i,+301893+243696i,+104738+253817i
