# file...... Overhead_lines_power_in_B.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-06-03 00:00:00 PDT,+6930.34+0.341848j,-0+0j,+716319+50408.3j,+0+0j,+0+0j,+0+0j,+716097+47533.1j,+3550.11+0.115557j,-0+0j,+712391+45613.9j,+0+0j,-0+0j,+296051+9480j,+0+0j,+0+0j,+0+0j,+0+0j,-0+0j,+43138.2+21612.6j,+0+0j,+43147.6+21599.2j,+1.84424e-06+1.19927e-05j,-0+0j,+1.82888e-06+1.20094e-05j,+0+0j,+1.82586e-06+1.20613e-05j,+0+0j,+0+0j,+0+0j,+1.85189e-06+1.20696e-05j,+1.85558e-06+1.21317e-05j,+1.84371e-06+1.2117e-05j,+0+0j,+0+0j,+25944.7+9893.91j,+213244-31863.8j,-0+0j,+25948.5+9878.02j,+4940.32+0.325786j,-0+0j,+213089-32079.1j,+42949.7+21498.9j,+169986-53794.6j,-0+0j,+169916-53897.9j,+0+0j,+75167.6+53703.6j,+57675.9-132635j,+25804.6-132705j,+25745.4-132760j,+25678.9-132826j,+415594+32056.4j,+415468+31420.2j,+9109.73+1.68976j,+406269+31017.7j,+9110.32+0.727154j,+29135.5+9866.29j,+376616+19586.4j,+8130.67+0.679399j,-1.0639e-05+1.93781e-05j,-0+0j,+221910-177322j,+37791.4+133467j,+0+0j,+0+0j,+0+0j,-0+0j,+221467-177990j,+0+0j,+0+0j,+48650.8-218812j,+87250.8-34638.8j,+26256.2-219245j,-1.46069e-08-3.58823e-09j,+26202.3-219350j,+448.989-219786j,+244.26-220225j,-0+0j,+122.804-220467j,+0+0j,+83556.6-35038.1j,-0+0j,+56842.1-35277.5j,+42714-35406.1j,+14078.6+28.1095j,-0+0j,+14078.8+14.8401j,-0+0j,+14081.4+2.49138j,+8430.57+0.578274j,+22798.5-0.316123j,+22796.8-0.0602851j,-2.32522e-06+9.33513e-06j,-2.32112e-06+9.32422e-06j,-0+0j,+14860+133379j,+0+0j,+0+0j,+39913.9+24.2434j,-25095.2+133325j,+20199.5+9.59467j,-0+0j,-25193+133289j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+252576-13879.7j,+723636+53992j,+415794+33313.7j,+259795-43047.7j,+14920.1+133423j
2016-06-03 01:00:00 PDT,+6400.29+0.290327j,+0+0j,+599729-423063j,+0+0j,+0+0j,+0+0j,+599865-426164j,+3200.09+0.0925162j,+0+0j,+596748-428228j,+0+0j,+0+0j,+257948-159726j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44303.1+22170.9j,+0+0j,+44291.2+22171.6j,-2.5806e-07+9.61579e-06j,+0+0j,-2.93241e-07+9.66109e-06j,+0+0j,-2.69945e-07+9.71001e-06j,+0+0j,+0+0j,+0+0j,-3.1757e-07+9.66124e-06j,-2.93401e-07+9.68826e-06j,-3.23719e-07+9.68052e-06j,+0+0j,+0+0j,+14414.5-21382j,+186276-169704j,+0+0j,+14411.1-21405.3j,+4520.26+0.264034j,+0+0j,+186117-169967j,+44401.8+22225.7j,+141557-192457j,+0+0j,+141476-192648j,+0+0j,+77944.6+55688.3j,+38306.6-210757j,+8387.84-210958j,+8253.88-211152j,+8107.22-211359j,+338717-273181j,+338707-274027j,+8479.69+1.44769j,+330211-274552j,+8480.27+0.609596j,+17399.1-21497.8j,+312163-254872j,+7520.55+0.558421j,-1.94638e-05+2.09397e-05j,+0+0j,+184988-419451j,+53150.8+213605j,+0+0j,+0+0j,+0+0j,+0+0j,+183916-420872j,+0+0j,+0+0j,+45855.6-232143j,+61010.6-101268j,+24814.7-232606j,+1.42433e-08-4.28161e-09j,+24758.3-232720j,+475.386-233193j,+257.166-233670j,+0+0j,+129.176-233932j,+0+0j,+57427-101755j,+0+0j,+32078.2-102056j,+18958.7-102228j,+12958.1+28.9389j,+0+0j,+12958.5+15.0234j,+0+0j,+12961.1+1.98115j,+7800.46+0.463535j,+21837.7-1.15552j,+21836.1-0.650456j,+1.33703e-05-1.23366e-05j,+1.33985e-05-1.23414e-05j,+0+0j,+30943.4+213222j,+0+0j,+0+0j,+37640.2+20.5133j,-6846.21+213015j,+19038+8.1125j,+0+0j,-7062.47+212803j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+213297-183256j,+605932-419128j,+338692-271466j,+238514-204759j,+31113.1+213414j
2016-06-03 02:00:00 PDT,+6430.29+0.293051j,+0+0j,+597444-423289j,+0+0j,+0+0j,+0+0j,+597580-426382j,+3250.09+0.095426j,+0+0j,+594415-428440j,+0+0j,+0+0j,+257019-159856j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44307.1+22173j,+0+0j,+44295.4+22173.7j,-7.31059e-06+1.2787e-05j,+0+0j,-7.31694e-06+1.27973e-05j,+0+0j,-7.36895e-06+1.27891e-05j,+0+0j,+0+0j,+0+0j,-7.37876e-06+1.2748e-05j,-7.39125e-06+1.27665e-05j,-7.42805e-06+1.27627e-05j,+0+0j,+0+0j,+14456.3-21382.4j,+185487-169723j,+0+0j,+14452.9-21405.8j,+4560.27+0.268701j,+0+0j,+185329-169984j,+44406.8+22228.3j,+140764-192475j,+0+0j,+140684-192666j,+0+0j,+77954.1+55695.2j,+37501.4-210780j,+7872.89-210981j,+7738.86-211175j,+7592.29-211382j,+337315-273249j,+337305-274092j,+8489.69+1.45071j,+328800-274616j,+8490.27+0.610989j,+17431.1-21498.1j,+310723-254929j,+7550.56+0.562833j,-1.13832e-05+2.51343e-05j,+0+0j,+184098-419510j,+52594.3+213626j,+0+0j,+0+0j,+0+0j,+0+0j,+183028-420931j,+0+0j,+0+0j,+45195.2-232186j,+60767.4-101282j,+24454.8-232650j,-1.63801e-08-2.16118e-08j,+24398.5-232763j,+475.804-233237j,+257.223-233714j,+0+0j,+129.204-233977j,+0+0j,+57133.8-101767j,+0+0j,+32165-102068j,+18965.4-102240j,+13038+29.1416j,+0+0j,+13038.5+15.1282j,+0+0j,+13041.1+2.00314j,+7830.46+0.467022j,+21457.5-1.34255j,+21455.9-0.779229j,+1.03399e-05-6.19352e-07j,+1.03165e-05-6.42189e-07j,+0+0j,+30767.1+213244j,+0+0j,+0+0j,+36949.5+19.7717j,-6332.16+213038j,+18697.7+7.82375j,+0+0j,-6548.1+212825j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+212367-183384j,+603676-419364j,+337291-271540j,+237066-204803j,+30936.7+213436j
2016-06-03 03:00:00 PDT,+6330.28+0.284037j,+0+0j,+610505-422091j,+0+0j,+0+0j,+0+0j,+610636-425230j,+3350.1+0.101415j,+0+0j,+607365-427320j,+0+0j,+0+0j,+262290-159180j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44283.5+22160.6j,+0+0j,+44271.2+22161.6j,+2.70146e-07-4.03591e-06j,+0+0j,+3.01795e-07-3.97359e-06j,+0+0j,+2.56724e-07-3.9832e-06j,+0+0j,+0+0j,+0+0j,+2.71472e-07-3.92988e-06j,+2.5858e-07-3.92204e-06j,+2.68965e-07-3.96292e-06j,+0+0j,+0+0j,+14458.4-21378.3j,+189902-169576j,+0+0j,+14455-21401.7j,+4570.27+0.270041j,+0+0j,+189739-169844j,+44378.3+22214j,+145198-192328j,+0+0j,+145115-192522j,+0+0j,+77900.4+55656.8j,+42003.2-210608j,+10698.5-210810j,+10565-211004j,+10417.9-211211j,+344982-272881j,+344971-273739j,+8229.69+1.37073j,+336725-274272j,+8230.26+0.574387j,+17282.5-21495.1j,+318779-254624j,+7410.54+0.542441j,-7.62172e-06+1.81152e-05j,+0+0j,+189258-419158j,+55517.1+213467j,+0+0j,+0+0j,+0+0j,+0+0j,+188181-420582j,+0+0j,+0+0j,+48865.8-231936j,+62324.7-101199j,+26152.3-232399j,-5.27285e-09+1.91756e-08j,+26095.9-232512j,+472.829-232983j,+256.817-233457j,+0+0j,+128.98-233719j,+0+0j,+58590.7-101691j,+0+0j,+32011.8-101996j,+18932.3-102167j,+12918.2+28.8274j,+0+0j,+12918.6+14.9814j,+0+0j,+12921.1+1.95936j,+7680.44+0.449777j,+23348.5-0.34062j,+23346.7-0.0883061j,+1.97843e-06-5.01514e-06j,+2.00314e-06-4.97798e-06j,+0+0j,+31798.5+213081j,+0+0j,+0+0j,+40803.8+24.1165j,-9152.78+212871j,+20629.4+9.53293j,+0+0j,-9370.51+212659j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+217641-182717j,+616640-418112j,+344955-271139j,+245158-204578j,+31968.7+213275j
2016-06-03 04:00:00 PDT,+7020.34+0.349356j,+0+0j,+633580-420130j,+0+0j,+0+0j,+0+0j,+633722-423398j,+3700.12+0.123727j,+0+0j,+630108-425573j,+0+0j,+0+0j,+271362-158040j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44267.5+22151.7j,+0+0j,+44254.2+22153.1j,+2.13418e-06-1.06912e-06j,+0+0j,+2.10782e-06-1.06395e-06j,+0+0j,+2.12248e-06-1.0418e-06j,+0+0j,+0+0j,+0+0j,+2.15673e-06-1.04098e-06j,+2.1818e-06-1.00422e-06j,+2.17461e-06-1.00566e-06j,+0+0j,+0+0j,+14933.6-21378.8j,+197039-169357j,+0+0j,+14930.2-21402.5j,+5060.33+0.331208j,+0+0j,+196870-169639j,+44357.2+22203.4j,+152345-192126j,+0+0j,+152258-192327j,+0+0j,+77859.9+55627.9j,+49215.5-210387j,+14383.3-210593j,+14250.2-210787j,+14102.3-210997j,+358659-272476j,+358649-273373j,+9139.72+1.66406j,+349493-273930j,+9140.32+0.708558j,+18076.4-21498.4j,+330729-254348j,+8220.66+0.667722j,+2.79545e-05-2.07584e-05j,+0+0j,+199135-418838j,+57639.3+213276j,+0+0j,+0+0j,+0+0j,+0+0j,+198042-420279j,+0+0j,+0+0j,+54235.1-231712j,+66928.4-101097j,+28967.3-232177j,+1.50878e-08+1.15705e-08j,+28911.1-232290j,+467.403-232759j,+255.635-233232j,+0+0j,+128.451-233494j,+0+0j,+62840.4-101610j,+0+0j,+33349.5-101927j,+18869.5-102101j,+14318.5+32.4254j,+0+0j,+14318.7+16.9988j,+0+0j,+14321.4+2.41082j,+8520.55+0.554201j,+24579.1+0.405819j,+24577.3+0.432522j,+1.35372e-05-4.31472e-06j,+1.35436e-05-4.29382e-06j,+0+0j,+32687.7+212887j,+0+0j,+0+0j,+45369.4+29.8402j,-12827.2+212672j,+22941.6+11.7985j,+0+0j,-13048+212459j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+226705-181620j,+640391-415983j,+358620-270655j,+257173-204401j,+32859.3+213082j
2016-06-03 05:00:00 PDT,+8240.48+0.481463j,+0+0j,+677069-416391j,+0+0j,+0+0j,+0+0j,+677215-419855j,+4400.17+0.175071j,+0+0j,+672902-422161j,+0+0j,+0+0j,+288286-155972j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44215.6+22124j,+0+0j,+44200.6+22126.3j,+1.54023e-05-5.12972e-06j,+0+0j,+1.54103e-05-5.04066e-06j,+0+0j,+1.53885e-05-5.04772e-06j,+0+0j,+0+0j,+0+0j,+1.54095e-05-5.07281e-06j,+1.53614e-05-5.0812e-06j,+1.53675e-05-5.07775e-06j,+0+0j,+0+0j,+15818.5-21371.5j,+210536-168903j,+0+0j,+15815.2-21396j,+5970.46+0.461696j,+0+0j,+210356-169209j,+44292.7+22171.2j,+165883-191687j,+0+0j,+165790-191903j,+0+0j,+77738+55540.8j,+62919.3-209896j,+21758.2-210107j,+21627.6-210301j,+21480-210513j,+384518-271442j,+384510-272398j,+10679.8+2.22659j,+373812-272992j,+10680.4+0.968388j,+19469.9-21493.4j,+353600-253528j,+9640.91+0.91955j,+2.01486e-05+1.06471e-06j,+0+0j,+216718-417885j,+63015.1+212819j,+0+0j,+0+0j,+0+0j,+0+0j,+215596-419358j,+0+0j,+0+0j,+63840.6-231085j,+75084.7-100830j,+33895.2-231556j,+9.62767e-09-1.76335e-08j,+33839.2-231667j,+455.489-232133j,+252.474-232601j,+0+0j,+126.971-232864j,+0+0j,+70287.9-101383j,+0+0j,+35762.8-101723j,+18761.3-101906j,+16839.4+39.2405j,+0+0j,+16839.1+20.8794j,+0+0j,+16841.9+3.33961j,+9990.75+0.764247j,+29151.8+3.89378j,+29149.6+2.82154j,-4.94773e-06+1.71801e-05j,-4.9517e-06+1.71959e-05j,+0+0j,+33489.3+212423j,+0+0j,+0+0j,+53551.1+41.685j,-20200.8+212199j,+27096.3+16.4961j,+0+0j,-20425.6+211989j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+243628-179617j,+685098-411990j,+384462-269496j,+280166-203800j,+33662.5+212620j
2016-06-03 06:00:00 PDT,+8910.56+0.563043j,+0+0j,+692410-415047j,+0+0j,+0+0j,+0+0j,+692561-418540j,+4450.18+0.179136j,+0+0j,+688200-420865j,+0+0j,+0+0j,+294236-155237j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44188.2+22109.8j,+0+0j,+44172.8+22112.3j,+7.37374e-06+9.14115e-06j,+0+0j,+7.37099e-06+9.1434e-06j,+0+0j,+7.34846e-06+9.18189e-06j,+0+0j,+0+0j,+0+0j,+7.36446e-06+9.20179e-06j,+7.37762e-06+9.23154e-06j,+7.34118e-06+9.21287e-06j,+0+0j,+0+0j,+16132.3-21364.7j,+215240-168761j,+0+0j,+16129-21389.4j,+6290.51+0.51289j,+0+0j,+215056-169072j,+44258.8+22154.1j,+170613-191540j,+0+0j,+170518-191758j,+0+0j,+77673.9+55495j,+67725.1-209721j,+24084.3-209933j,+23956.6-210124j,+23811.5-210335j,+393864-270925j,+393857-271889j,+11809.9+2.69143j,+382027-272488j,+11810.5+1.18496j,+20294.7-21484.3j,+360970-253044j,+10471.1+1.08567j,-1.06183e-05+1.40159e-05j,+0+0j,+222955-417328j,+64191.3+212627j,+0+0j,+0+0j,+0+0j,+0+0j,+221821-418817j,+0+0j,+0+0j,+66875.2-230756j,+78334.6-100681j,+35708.2-231229j,-1.8788e-08-7.01567e-09j,+35652.5-231341j,+449.432-231806j,+250.156-232274j,+0+0j,+125.89-232537j,+0+0j,+73483.1-101253j,+0+0j,+36935.3-101603j,+18732.8-101791j,+18039.9+42.7463j,+0+0j,+18039.4+22.8919j,+0+0j,+18042.2+3.86468j,+10860.9+0.904579j,+30602.7+5.24471j,+30600.4+3.74122j,+2.43019e-06+5.04467e-06j,+2.44639e-06+5.05852e-06j,+0+0j,+33219.3+212232j,+0+0j,+0+0j,+55634.5+45.055j,-22549.2+212007j,+28157.6+17.8356j,+0+0j,-22772.4+211802j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+249589-178895j,+701108-410607j,+393801-268963j,+287591-203391j,+33390.6+212428j
2016-06-03 07:00:00 PDT,+7120.35+0.359496j,+0+0j,+630247-420429j,+0+0j,+0+0j,+0+0j,+630370-423546j,+2800.07+0.0709046j,+0+0j,+627646-425621j,+0+0j,+0+0j,+269635-158374j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44226.5+22131.8j,+0+0j,+44214+22132.9j,+1.4519e-05+5.65555e-06j,+0+0j,+1.45254e-05+5.68308e-06j,+0+0j,+1.45359e-05+5.73827e-06j,+0+0j,+0+0j,+0+0j,+1.44847e-05+5.67729e-06j,+1.44803e-05+5.65092e-06j,+1.44628e-05+5.68295e-06j,+0+0j,+0+0j,+14500.8-21363.1j,+196155-169435j,+0+0j,+14497.4-21386.5j,+4620.27+0.27638j,+0+0j,+195986-169706j,+44308.5+22179j,+151509-192159j,+0+0j,+151423-192353j,+0+0j,+77768.9+55562.8j,+48463.2-210378j,+14275.8-210576j,+14148-210764j,+14006.2-210967j,+357894-271964j,+357881-272819j,+10079.8+1.99909j,+347782-273350j,+10080.4+0.862996j,+18346.1-21473.3j,+328747-253714j,+8480.7+0.711763j,-1.03086e-06-6.02976e-06j,+0+0j,+195008-418137j,+59820.2+213182j,+0+0j,+0+0j,+0+0j,+0+0j,+193923-419580j,+0+0j,+0+0j,+51665.9-231318j,+65359.3-100948j,+28222.5-231785j,-1.53157e-08-1.14407e-08j,+28166.6-231898j,+464.662-232370j,+252.932-232846j,+0+0j,+127.178-233109j,+0+0j,+62171.4-101457j,+0+0j,+33060.1-101775j,+18899.7-101950j,+13998.3+31.9017j,+0+0j,+13998.7+16.7069j,+0+0j,+14001.4+2.37232j,+8820.59+0.594873j,+30013+4.72468j,+30010.1+3.33278j,+3.21799e-06-2.96736e-07j,+3.24502e-06-2.80946e-07j,+0+0j,+29443.6+212793j,+0+0j,+0+0j,+42085.4+25.7214j,-12781.3+212588j,+21280+10.1691j,+0+0j,-12993.9+212384j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+225024-181909j,+637191-416477j,+357867-270228j,+255227-203784j,+29612.2+212984j
2016-06-03 08:00:00 PDT,+5480.21+0.212879j,+0+0j,+556391-426475j,+0+0j,+0+0j,+0+0j,+556509-429252j,+1400.02+0.017712j,+0+0j,+555186-431102j,+0+0j,+0+0j,+240779-161853j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44305.7+22174.6j,+0+0j,+44296.2+22174.1j,+1.74589e-05-6.08284e-06j,+0+0j,+1.74965e-05-6.04199e-06j,+0+0j,+1.75078e-05-6.05245e-06j,+0+0j,+0+0j,+0+0j,+1.75319e-05-6.0326e-06j,+1.75743e-05-6.02042e-06j,+1.7538e-05-5.99539e-06j,+0+0j,+0+0j,+13078.7-21369.6j,+173086-170171j,+0+0j,+13075.1-21392.1j,+3150.13+0.128208j,+0+0j,+172937-170403j,+44406.5+22228.1j,+128381-192864j,+0+0j,+128307-193037j,+0+0j,+77954.3+55695.3j,+25066.8-211174j,+1221.28-211366j,+1091.74-211554j,+952.688-211751j,+314315-273426j,+314303-274177j,+8399.69+1.42342j,+305887-274642j,+8400.27+0.598544j,+16558.1-21472j,+288723-254803j,+6640.43+0.435636j,-3.25897e-06+1.00136e-05j,+0+0j,+164860-419469j,+49773.7+213911j,+0+0j,+0+0j,+0+0j,+0+0j,+163814-420872j,+0+0j,+0+0j,+34523-232260j,+52006.6-101327j,+19711-232725j,-3.47622e-08-2.071e-10j,+19654.5-232840j,+482.551-233321j,+256.666-233807j,+0+0j,+128.944-234069j,+0+0j,+50226.8-101777j,+0+0j,+29619.1-102062j,+19099.4-102228j,+10357.6+22.7308j,+0+0j,+10358.4+11.6218j,+0+0j,+10360.8+1.33449j,+6930.36+0.365573j,+22488.5-0.770729j,+22486.3-0.426919j,+2.48654e-05-1.10349e-06j,+2.48412e-05-1.10666e-06j,+0+0j,+26929.3+213537j,+0+0j,+0+0j,+26540.1+10.1928j,+241.587+213346j,+13414+4.02701j,+0+0j,+38.7104+213138j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+196170-185287j,+561701-422958j,+314309-271908j,+214987-204543j,+27092.8+213723j
2016-06-03 09:00:00 PDT,+5330.2+0.201314j,+0+0j,+509373-430395j,+0+0j,+0+0j,+0+0j,+509491-433022j,+1150.01+0.0119416j,+0+0j,+508417-434772j,+0+0j,+0+0j,+221839-164161j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44379.5+22213.6j,+0+0j,+44372.2+22212.1j,-6.61657e-06+9.75519e-07j,+0+0j,-6.60049e-06+1.03097e-06j,+0+0j,-6.62688e-06+1.0538e-06j,+0+0j,+0+0j,+0+0j,-6.60265e-06+1.08402e-06j,-6.61528e-06+1.05525e-06j,-6.58095e-06+1.08783e-06j,+0+0j,+0+0j,+12908.5-21380.4j,+157328-170620j,+0+0j,+12905-21402.7j,+2950.11+0.112232j,+0+0j,+157193-170831j,+44497.3+22273.5j,+112561-193317j,+0+0j,+112494-193479j,+0+0j,+78125.8+55817.7j,+9018.56-211714j,-8075.34-211905j,-8207.88-212097j,-8346.19-212293j,+286502-274541j,+286491-275242j,+8349.69+1.40532j,+278126-275677j,+8350.26+0.590652j,+16440.2-21479.2j,+261128-255726j,+6490.41+0.415473j,+9.22043e-06+2.01813e-06j,+0+0j,+146205-420595j,+40690.2+214436j,+0+0j,+0+0j,+0+0j,+0+0j,+145175-421983j,+0+0j,+0+0j,+21907.6-233065j,+45717.3-101606j,+13742.5-233533j,+5.22402e-09+1.60017e-08j,+13685.7-233650j,+493.69-234140j,+258.699-234634j,+0+0j,+129.963-234898j,+0+0j,+44188.3-102031j,+0+0j,+29340.7-102301j,+19221.1-102468j,+9957.29+21.7495j,+0+0j,+9958.32+11.0302j,+0+0j,+9960.73+1.24104j,+6780.34+0.348675j,+16405.4-3.08867j,+16403.9-2.02482j,+8.99739e-06+3.83825e-06j,+9.00885e-06+3.839e-06j,+0+0j,+23929.3+214072j,+0+0j,+0+0j,+14242.9+2.93095j,+9530.78+213887j,+7211.15+1.16025j,+0+0j,+9332.17+213675j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+177209-187563j,+514545-427059j,+286510-273127j,+187228-205239j,+24091.3+214253j
2016-06-03 10:00:00 PDT,+5480.21+0.212795j,+0+0j,+503785-430885j,+0+0j,+0+0j,+0+0j,+503901-433499j,+1400.02+0.0176962j,+0+0j,+502575-435240j,+0+0j,+0+0j,+219370-164461j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44389.8+22219j,+0+0j,+44382.8+22217.4j,+4.25737e-06+3.65549e-06j,+0+0j,+4.26803e-06+3.69817e-06j,+0+0j,+4.31216e-06+3.69391e-06j,+0+0j,+0+0j,+0+0j,+4.31868e-06+3.70534e-06j,+4.29701e-06+3.6958e-06j,+4.29441e-06+3.69943e-06j,+0+0j,+0+0j,+13113-21381.6j,+155077-170664j,+0+0j,+13109.5-21404j,+3150.13+0.127933j,+0+0j,+154944-170873j,+44510.8+22280.3j,+110301-193362j,+0+0j,+110235-193524j,+0+0j,+78151.4+55836j,+6724.42-211774j,-9179.51-211965j,-9312.72-212157j,-9451.06-212354j,+283130-274683j,+283118-275380j,+8399.69+1.42048j,+274702-275811j,+8400.27+0.59764j,+16594.7-21480j,+257556-255848j,+6640.43+0.434803j,-3.31538e-06+1.24492e-05j,+0+0j,+144185-420735j,+39115.6+214494j,+0+0j,+0+0j,+0+0j,+0+0j,+143155-422123j,+0+0j,+0+0j,+19927-233173j,+45642.5-101635j,+12903.2-233641j,+1.06828e-08+2.79513e-08j,+12846.4-233758j,+494.711-234250j,+258.808-234744j,+0+0j,+130.018-235008j,+0+0j,+43863.2-102061j,+0+0j,+29755.4-102329j,+19235.9-102499j,+10357.2+22.7092j,+0+0j,+10358.3+11.5239j,+0+0j,+10360.8+1.32914j,+6930.36+0.364113j,+15555.1-3.26149j,+15553.6-2.14615j,-3.5815e-06+1.31485e-05j,-3.59448e-06+1.31129e-05j,+0+0j,+23204.7+214131j,+0+0j,+0+0j,+12412.2+2.22124j,+10635.5+213947j,+6270.87+0.877017j,+0+0j,+10437.2+213735j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+174737-187860j,+509110-427563j,+283141-273280j,+183631-205334j,+23366.7+214311j
