# file...... System_ABC_load_meter.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# target.... transformer 148
# trigger... (none)
# interval.. 1800
# limit..... -1
# timestamp,power_out,power_out_A,power_out_B,power_out_C
2016-06-03 00:00:00 PDT,+2.27417e+06-965032i,+881395-343644i,+620138-417954j,+772640-203434j
2016-06-03 01:00:00 PDT,+2.221e+06-968117i,+860612-344626i,+605950-419129j,+754434-204363j
2016-06-03 02:00:00 PDT,+2.21202e+06-968619i,+857563-344698i,+603690-419367j,+750765-204553j
2016-06-03 03:00:00 PDT,+2.26366e+06-965693i,+874524-344169i,+616649-418120j,+772484-203404j
2016-06-03 04:00:00 PDT,+2.34999e+06-960566i,+910181-342523i,+640397-415993j,+799409-202050j
2016-06-03 05:00:00 PDT,+2.52569e+06-949532i,+973588-339466i,+685091-412002j,+867013-198064j
2016-06-03 06:00:00 PDT,+2.60335e+06-944276i,+997668-338247i,+701116-410618j,+904565-195411j
2016-06-03 07:00:00 PDT,+2.37196e+06-959018i,+899742-343267i,+637232-416472j,+834985-199280j
2016-06-03 08:00:00 PDT,+2.09259e+06-974976i,+794049-347570i,+561745-422948j,+736796-204458j
2016-06-03 09:00:00 PDT,+1.90506e+06-984611i,+729790-349425i,+514574-427050j,+660693-208136j
2016-06-03 10:00:00 PDT,+1.88143e+06-985785i,+722078-349603i,+509123-427565j,+650233-208617j
2016-06-03 11:00:00 PDT,+1.86726e+06-986551i,+719494-349572i,+507606-427812j,+640161-209168j
2016-06-03 12:00:00 PDT,+1.92095e+06-983941i,+736498-348904i,+520987-426980j,+663462-208057j
2016-06-03 13:00:00 PDT,+2.03589e+06-978139i,+776948-347433i,+551167-424720j,+707773-205986j
2016-06-03 14:00:00 PDT,+2.23869e+06-967061i,+848368-344682i,+603944-420467j,+786374-201912j
2016-06-03 15:00:00 PDT,+2.69748e+06-938077i,+1.01223e+06-337510i,+722802-409638j,+962448-190929j
2016-06-03 16:00:00 PDT,+3.11321e+06-907604i,+1.1881e+06-326995i,+843304-397282j,+1.0818e+06-183327j
2016-06-03 17:00:00 PDT,+3.37056e+06-886310i,+1.28848e+06-320233i,+912684-389627j,+1.1694e+06-176450j
2016-06-03 18:00:00 PDT,+3.43915e+06-880262i,+1.31724e+06-317786i,+930861-387804j,+1.19104e+06-174672j
2016-06-03 19:00:00 PDT,+3.60854e+06-864848i,+1.38094e+06-312694i,+973855-383132j,+1.25374e+06-169023j
2016-06-03 20:00:00 PDT,+3.54583e+06-870408i,+1.36394e+06-313027i,+958225-385486j,+1.22366e+06-171895j
2016-06-03 21:00:00 PDT,+3.12246e+06-906341i,+1.20811e+06-324316i,+846164-397334j,+1.06819e+06-184691j
2016-06-03 22:00:00 PDT,+2.71434e+06-936784i,+1.05313e+06-334281i,+737748-407740j,+923459-194763j
2016-06-03 23:00:00 PDT,+2.38345e+06-958459i,+925053-341413i,+649572-415517j,+808825-201529j
2016-06-04 00:00:00 PDT,+2.32019e+06-962289i,+899770-342713i,+632223-416961j,+788200-202614j
2016-06-04 01:00:00 PDT,+2.27088e+06-965207i,+880301-343666i,+618962-418065j,+771613-203476j
2016-06-04 02:00:00 PDT,+2.25935e+06-965883i,+875384-343860i,+615856-418371j,+768106-203653j
2016-06-04 03:00:00 PDT,+2.32137e+06-962268i,+896902-343086i,+631658-416866j,+792815-202316j
2016-06-04 04:00:00 PDT,+2.40977e+06-956884i,+933698-341330i,+655925-414650j,+820150-200903j
2016-06-04 05:00:00 PDT,+2.57998e+06-945982i,+999851-337931i,+702002-410444j,+878132-197607j
2016-06-04 06:00:00 PDT,+2.6481e+06-941330i,+1.02796e+06-336264i,+719329-408870j,+900811-196196j
2016-06-04 07:00:00 PDT,+2.32212e+06-962069i,+908280-342191i,+634670-416615j,+779170-203263j
2016-06-04 08:00:00 PDT,+2.03153e+06-978257i,+801078-346598i,+558123-423255j,+672328-208403j
2016-06-04 09:00:00 PDT,+1.83051e+06-988131i,+731058-348781i,+506958-427646j,+592497-211704j
2016-06-04 10:00:00 PDT,+1.80619e+06-989269i,+723279-348961i,+501412-428177j,+581503-212131j
