# file...... loads_voltage_A.csv
# date...... Fri Oct 27 14:51:55 2017
# user...... mast9
# host...... (null)
# group..... class= load
# property.. voltage_A
# limit..... -1
# interval.. 3600
# timestamp,Load1,Load2,Load4,Load5,Load6,Load7,Load9,Load10,Load11,Load12,Load16,Load17,Load19,Load20,Load22,Load24,Load28,Load29,Load30,Load31,Load32,Load33,Load34,Load35,Load37,Load38,Load39,Load41,Load42,Load43,Load45,Load46,Load47,Load48,Load49,Load50,Load51,Load52,Load53,Load55,Load56,Load58,Load59,Load60,Load62,Load63,Load64,Load65,Load66,Load68,Load69,Load70,Load71,Load73,Load74,Load75,Load76,Load77,Load79,Load80,Load82,Load83,Load84,Load85,Load86,Load87,Load88,Load90,Load92,Load94,Load95,Load96,Load98,Load99,Load100,Load102,Load103,Load104,Load106,Load107,Load109,Load111,Load112,Load113,Load114
2016-07-01 00:00:00 PDT,+2490.17-21.4624i,+0+0j,+0+0j,+0+0j,+0+0j,+2477.12-36.9973i,+2465.64-48.6238i,+2445.35-49.9199i,+2444.52-50.1656i,+0+0j,+0+0j,+0+0j,+2445.74-77.9734i,+2443.69-78.6729i,+0+0j,+0+0j,+2440.04-83.7703i,+2439.3-84.4859i,+2439.58-84.4238i,+0+0j,+0+0j,+2436.14-85.503i,+0+0j,+2447.47-81.548i,+2443.22-83.2942i,+0+0j,+0+0j,+0+0j,+2448.46-86.0295i,+0+0j,+2448.24-88.4413i,+2448.09-88.5828i,+2450.05-90.3283i,+2449.36-90.6445i,+2453.06-91.7473i,+2456.27-93.0726i,+2459.29-94.4209i,+2446.73-70.5165i,+2441.66-74.9808i,+2438.04-77.9201i,+2437.97-77.8454i,+0+0j,+0+0j,+2393.06-91.2078i,+2391.63-90.3771i,+2390.63-89.7934i,+2389.05-88.5704i,+2387.07-87.0513i,+2387.06-87.0591i,+2499.12-100.558i,+2497.67-101.906i,+2496.72-102.799i,+2496.02-103.453i,+0+0j,+0+0j,+0+0j,+2491.3-101.065i,+2493.96-103.397i,+2493.91-104.634i,+2499.64-105.834i,+2507.34-109.114i,+2509.96-110.007i,+0+0j,+0+0j,+2475.49-95.6345i,+2465.24-92.0799i,+2465.75-93.4377i,+0+0j,+0+0j,+2438.55-77.6406i,+2447.18-84.7355i,+0+0j,+2496.07-100.69i,+2496.7-100.649i,+2497.18-100.811i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+2474.04-104.945i,+2470.2-106.697i,+2469.49-106.602i,+2465.87-107.758i,+2465.78-107.848i
2016-07-01 01:00:00 PDT,-51.7809-2498.15i,+0+0j,+0+0j,+0+0j,+0+0j,-71.3861-2495.15i,-86.1237-2491.34i,-88.5603-2473.69i,-88.2663-2471.78i,+0+0j,+0+0j,+0+0j,-123.448-2499.09i,-125.501-2499.79i,+0+0j,+0+0j,-129.221-2501.64i,-129.946-2500.85i,-129.893-2501.11i,+0+0j,+0+0j,-133.225-2504.49i,+0+0j,-127.165-2500.35i,-129.46-2495.62i,+0+0j,+0+0j,+0+0j,-133.089-2503.88i,+0+0j,-136.495-2505.53i,-136.612-2505.41i,-138.682-2507.02i,-138.989-2506.29i,-140.361-2509.81i,-141.959-2512.79i,-143.576-2515.6i,-115.014-2484.27i,-121.165-2481.02i,-125.174-2478.52i,-125.106-2478.46i,+0+0j,+0+0j,-141.078-2439.25i,-140.155-2437.81i,-139.508-2436.82i,-138.169-2435.19i,-136.607-2433.19i,-136.614-2433.18i,-152.3-2550.03i,-153.482-2548.71i,-154.263-2547.84i,-154.839-2547.2i,+0+0j,+0+0j,+0+0j,-153.239-2543.57i,-155.81-2546.21i,-157.099-2546.12i,-158.563-2551.89i,-162.189-2559.59i,-163.223-2562.22i,+0+0j,+0+0j,-147.01-2523.78i,-142.94-2510.93i,-144.291-2511.47i,+0+0j,+0+0j,-124.892-2479.03i,-133.989-2489.14i,+0+0j,-152.291-2547.82i,-152.285-2548.48i,-152.451-2548.95i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-156.493-2530.88i,-158.735-2528.34i,-158.944-2528.09i,-160.028-2524.39i,-160.1-2524.31i
2016-07-01 02:00:00 PDT,-51.4655-2498.27i,+0+0j,+0+0j,+0+0j,+0+0j,-70.897-2495.35i,-85.4947-2491.62i,-87.9361-2473.97i,-87.6426-2472.06i,+0+0j,+0+0j,+0+0j,-122.579-2499.42i,-124.632-2500.12i,+0+0j,+0+0j,-128.374-2501.91i,-129.102-2501.11i,-129.05-2501.36i,+0+0j,+0+0j,-132.377-2504.77i,+0+0j,-126.262-2500.71i,-128.558-2495.97i,+0+0j,+0+0j,+0+0j,-132.144-2504.27i,+0+0j,-135.533-2505.94i,-135.651-2505.81i,-137.699-2507.44i,-138.005-2506.72i,-139.354-2510.25i,-140.931-2513.24i,-142.527-2516.07i,-114.115-2484.7i,-120.207-2481.48i,-124.186-2479i,-124.12-2478.94i,+0+0j,+0+0j,-139.953-2439.79i,-139.03-2438.36i,-138.381-2437.37i,-137.043-2435.75i,-135.481-2433.74i,-135.488-2433.73i,-151.065-2550.64i,-152.204-2549.37i,-152.957-2548.53i,-153.51-2547.92i,+0+0j,+0+0j,+0+0j,-152.074-2544.14i,-154.653-2546.79i,-155.942-2546.7i,-157.401-2552.47i,-161.002-2560.16i,-162.034-2562.79i,+0+0j,+0+0j,-145.886-2524.34i,-141.844-2511.48i,-143.18-2512.04i,+0+0j,+0+0j,-123.902-2479.52i,-132.968-2489.66i,+0+0j,-151.077-2548.41i,-151.082-2549.07i,-151.247-2549.55i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-155.261-2531.5i,-157.487-2528.98i,-157.709-2528.72i,-158.797-2525.02i,-158.871-2524.94i
2016-07-01 03:00:00 PDT,-51.8037-2498.13i,+0+0j,+0+0j,+0+0j,+0+0j,-71.4705-2495.11i,-86.2604-2491.28i,-88.696-2473.64i,-88.4019-2471.72i,+0+0j,+0+0j,+0+0j,-123.612-2499.11i,-125.665-2499.81i,+0+0j,+0+0j,-129.385-2501.71i,-130.109-2500.92i,-130.053-2501.2i,+0+0j,+0+0j,-133.391-2504.55i,+0+0j,-127.362-2500.36i,-129.655-2495.62i,+0+0j,+0+0j,+0+0j,-133.303-2503.86i,+0+0j,-136.717-2505.51i,-136.836-2505.38i,-138.909-2506.99i,-139.216-2506.26i,-140.595-2509.77i,-142.199-2512.75i,-143.823-2515.55i,-115.241-2484.2i,-121.407-2480.93i,-125.433-2478.43i,-125.366-2478.37i,+0+0j,+0+0j,-141.355-2439.15i,-140.432-2437.72i,-139.783-2436.73i,-138.444-2435.1i,-136.882-2433.1i,-136.889-2433.09i,-152.639-2549.88i,-153.863-2548.52i,-154.668-2547.62i,-155.264-2546.96i,+0+0j,+0+0j,+0+0j,-153.519-2543.48i,-156.061-2546.13i,-157.344-2546.05i,-158.781-2551.84i,-162.381-2559.56i,-163.415-2562.19i,+0+0j,+0+0j,-147.299-2523.68i,-143.235-2510.82i,-144.599-2511.35i,+0+0j,+0+0j,-125.148-2478.94i,-134.261-2489.05i,+0+0j,-152.613-2547.7i,-152.596-2548.34i,-152.762-2548.82i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-156.813-2530.74i,-159.039-2528.22i,-159.261-2527.96i,-160.348-2524.26i,-160.422-2524.18i
2016-07-01 04:00:00 PDT,-52.7352-2497.7i,+0+0j,+0+0j,+0+0j,+0+0j,-73.0102-2494.36i,-88.2742-2490.23i,-90.6946-2472.6i,-90.399-2470.68i,+0+0j,+0+0j,+0+0j,-126.464-2497.88i,-128.517-2498.58i,+0+0j,+0+0j,-132.17-2500.72i,-132.885-2499.97i,-132.821-2500.29i,+0+0j,+0+0j,-136.18-2503.54i,+0+0j,-130.373-2499.04i,-132.654-2494.29i,+0+0j,+0+0j,+0+0j,-136.499-2502.38i,+0+0j,-139.989-2503.95i,-140.12-2503.81i,-142.25-2505.36i,-142.555-2504.64i,-144.019-2508.09i,-145.696-2511.03i,-147.396-2513.76i,-118.204-2482.61i,-124.573-2479.2i,-128.71-2476.6i,-128.638-2476.54i,+0+0j,+0+0j,-145.128-2437.06i,-144.205-2435.62i,-143.557-2434.61i,-142.215-2432.99i,-140.651-2430.99i,-140.658-2430.98i,-156.826-2547.53i,-158.226-2545.96i,-159.144-2544.94i,-159.826-2544.17i,+0+0j,+0+0j,+0+0j,-157.414-2541.34i,-159.909-2543.99i,-161.187-2543.91i,-162.613-2549.72i,-166.261-2557.49i,-167.298-2560.12i,+0+0j,+0+0j,-151.049-2521.56i,-146.892-2508.73i,-148.309-2509.2i,+0+0j,+0+0j,-128.431-2477.13i,-137.644-2487.11i,+0+0j,-156.728-2545.45i,-156.678-2546.07i,-156.845-2546.54i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-161.013-2528.36i,-163.295-2525.77i,-163.484-2525.54i,-164.578-2521.83i,-164.661-2521.74i
2016-07-01 05:00:00 PDT,-54.1321-2497.08i,+0+0j,+0+0j,+0+0j,+0+0j,-75.3422-2493.29i,-91.3119-2488.77i,-93.7094-2471.14i,-93.4115-2469.23i,+0+0j,+0+0j,+0+0j,-130.97-2496.03i,-133.023-2496.73i,+0+0j,+0+0j,-136.557-2499.21i,-137.263-2498.5i,-137.191-2498.86i,+0+0j,+0+0j,-140.57-2502.04i,+0+0j,-135.103-2497.1i,-137.357-2492.34i,+0+0j,+0+0j,+0+0j,-141.548-2500.21i,+0+0j,-145.171-2501.67i,-145.332-2501.49i,-147.533-2503i,-147.836-2502.28i,-149.434-2505.64i,-151.227-2508.54i,-153.046-2511.19i,-122.705-2480.43i,-129.392-2476.82i,-133.686-2474.09i,-133.599-2474.02i,+0+0j,+0+0j,-150.955-2434.32i,-150.038-2432.82i,-149.394-2431.78i,-148.054-2430.16i,-146.49-2428.16i,-146.499-2428.15i,-163.254-2544.38i,-164.868-2542.56i,-165.934-2541.36i,-166.719-2540.48i,+0+0j,+0+0j,+0+0j,-163.458-2538.44i,-165.946-2541.07i,-167.23-2540.99i,-168.703-2546.82i,-172.505-2554.63i,-173.547-2557.27i,+0+0j,+0+0j,-156.801-2518.69i,-152.46-2505.89i,-153.935-2506.28i,+0+0j,+0+0j,-133.424-2474.63i,-142.777-2484.43i,+0+0j,-163.051-2542.43i,-162.952-2543.01i,-163.119-2543.48i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-167.568-2525.06i,-170.01-2522.27i,-170.107-2522.15i,-171.221-2518.4i,-171.324-2518.29i
2016-07-01 06:00:00 PDT,-55.0875-2496.84i,+0+0j,+0+0j,+0+0j,+0+0j,-76.8889-2492.89i,-93.3112-2488.19i,-95.6938-2470.57i,-95.3944-2468.65i,+0+0j,+0+0j,+0+0j,-133.915-2495.37i,-135.969-2496.07i,+0+0j,+0+0j,-139.422-2498.76i,-140.123-2498.07i,-140.047-2498.46i,+0+0j,+0+0j,-143.438-2501.59i,+0+0j,-138.169-2496.44i,-140.408-2491.67i,+0+0j,+0+0j,+0+0j,-144.798-2499.45i,+0+0j,-148.499-2500.87i,-148.673-2500.68i,-150.93-2502.17i,-151.232-2501.44i,-152.914-2504.78i,-154.78-2507.67i,-156.673-2510.29i,-125.621-2479.65i,-132.51-2475.99i,-136.895-2473.23i,-136.796-2473.15i,+0+0j,+0+0j,-154.688-2433.63i,-153.779-2432.08i,-153.141-2431.01i,-151.806-2429.39i,-150.248-2427.39i,-150.261-2427.37i,-167.356-2543.42i,-169.084-2541.47i,-170.227-2540.18i,-171.07-2539.23i,+0+0j,+0+0j,+0+0j,-167.36-2537.56i,-169.869-2540.18i,-171.162-2540.1i,-172.69-2545.93i,-176.628-2553.75i,-177.676-2556.41i,+0+0j,+0+0j,-160.513-2517.76i,-156.051-2504.94i,-157.56-2505.29i,+0+0j,+0+0j,-136.645-2473.78i,-146.102-2483.51i,+0+0j,-167.099-2541.52i,-166.973-2542.08i,-167.142-2542.55i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-171.761-2523.87i,-174.315-2520.95i,-174.34-2520.91i,-175.457-2517.16i,-175.566-2517.03i
2016-07-01 07:00:00 PDT,-53.1633-2498.07i,+0+0j,+0+0j,+0+0j,+0+0j,-73.5396-2495.02i,-88.8919-2491.07i,-91.3081-2473.43i,-91.0122-2471.52i,+0+0j,+0+0j,+0+0j,-127.347-2499.12i,-129.4-2499.82i,+0+0j,+0+0j,-133.013-2501.98i,-133.73-2501.23i,-133.668-2501.54i,+0+0j,+0+0j,-137.022-2504.82i,+0+0j,-131.221-2500.41i,-133.499-2495.66i,+0+0j,+0+0j,+0+0j,-137.356-2503.85i,+0+0j,-140.851-2505.46i,-140.98-2505.32i,-143.125-2506.91i,-143.431-2506.18i,-144.906-2509.69i,-146.591-2512.68i,-148.298-2515.47i,-118.936-2484.07i,-125.334-2480.8i,-129.457-2478.29i,-129.375-2478.22i,+0+0j,+0+0j,-145.944-2439.55i,-145.035-2438.06i,-144.396-2437.02i,-143.067-2435.39i,-141.517-2433.38i,-141.533-2433.36i,-157.661-2549.98i,-159.031-2548.45i,-159.93-2547.44i,-160.603-2546.69i,+0+0j,+0+0j,+0+0j,-158.326-2543.62i,-160.9-2546.26i,-162.198-2546.17i,-163.713-2551.97i,-167.504-2559.72i,-168.546-2562.37i,+0+0j,+0+0j,-151.906-2523.67i,-147.711-2510.73i,-149.12-2511.2i,+0+0j,+0+0j,-129.19-2478.82i,-138.438-2488.9i,+0+0j,-157.498-2547.81i,-157.364-2548.36i,-157.532-2548.84i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-161.951-2530.49i,-164.318-2527.8i,-164.444-2527.64i,-165.525-2523.94i,-165.601-2523.86i
2016-07-01 08:00:00 PDT,-50.8629-2499.15i,+0+0j,+0+0j,+0+0j,+0+0j,-69.7692-2496.88i,-83.9862-2493.64i,-86.4394-2475.98i,-86.1473-2474.06i,+0+0j,+0+0j,+0+0j,-120.379-2502.18i,-122.432-2502.87i,+0+0j,+0+0j,-126.208-2504.45i,-126.944-2503.62i,-126.901-2503.83i,+0+0j,+0+0j,-130.207-2507.31i,+0+0j,-123.864-2503.68i,-126.176-2498.94i,+0+0j,+0+0j,+0+0j,-129.541-2507.51i,+0+0j,-132.846-2509.31i,-132.942-2509.2i,-134.955-2510.92i,-135.264-2510.19i,-136.531-2513.85i,-138.038-2516.94i,-139.56-2519.89i,-111.714-2487.96i,-117.618-2485.06i,-121.468-2482.78i,-121.399-2482.72i,+0+0j,+0+0j,-136.735-2444.71i,-135.824-2443.26i,-135.184-2442.25i,-133.86-2440.62i,-132.316-2438.59i,-132.333-2438.57i,-147.441-2555.8i,-148.383-2554.75i,-149.003-2554.06i,-149.465-2553.55i,+0+0j,+0+0j,+0+0j,-148.817-2548.91i,-151.502-2551.55i,-152.81-2551.45i,-154.347-2557.19i,-158.017-2564.83i,-159.052-2567.47i,+0+0j,+0+0j,-142.756-2528.88i,-138.793-2515.86i,-140.075-2516.48i,+0+0j,+0+0j,-121.186-2483.3i,-130.192-2493.68i,+0+0j,-147.469-2553.37i,-147.426-2553.99i,-147.593-2554.47i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-151.695-2536.35i,-153.918-2533.83i,-154.126-2533.58i,-155.187-2529.92i,-155.24-2529.86i
2016-07-01 09:00:00 PDT,-49.5749-2499.5i,+0+0j,+0+0j,+0+0j,+0+0j,-67.7853-2497.49i,-81.4259-2494.54i,-83.8983-2476.87i,-83.6081-2474.96i,+0+0j,+0+0j,+0+0j,-117.067-2502.95i,-119.12-2503.65i,+0+0j,+0+0j,-122.958-2504.93i,-123.708-2504.03i,-123.678-2504.18i,+0+0j,+0+0j,-126.947-2507.84i,+0+0j,-120.377-2504.54i,-122.69-2499.8i,+0+0j,+0+0j,+0+0j,-125.916-2508.53i,+0+0j,-129.169-2510.37i,-129.277-2510.25i,-131.183-2512.08i,-131.493-2511.35i,-132.664-2515.07i,-134.091-2518.19i,-135.53-2521.22i,-108.038-2489.31i,-113.706-2486.54i,-117.411-2484.35i,-117.341-2484.29i,+0+0j,+0+0j,-132.249-2446.46i,-131.34-2445i,-130.702-2443.99i,-129.379-2442.35i,-127.836-2440.32i,-127.853-2440.3i,-142.433-2557.87i,-143.102-2557.13i,-143.562-2556.62i,-143.877-2556.27i,+0+0j,+0+0j,+0+0j,-144.185-2550.71i,-146.985-2553.35i,-148.31-2553.24i,-149.91-2558.93i,-153.581-2566.48i,-154.611-2569.13i,+0+0j,+0+0j,-138.189-2530.7i,-134.278-2517.68i,-135.471-2518.41i,+0+0j,+0+0j,-117.129-2484.87i,-125.973-2495.33i,+0+0j,-142.579-2555.32i,-142.605-2556i,-142.77-2556.47i,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,-146.84-2538.39i,-149.094-2535.85i,-149.297-2535.61i,-150.384-2531.93i,-150.448-2531.86i
