# file...... Overhead_lines_power_in_B.csv
# date...... Fri Oct 27 14:51:55 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-08-05 00:00:00 PDT,+6690.31+0.318577j,-0+0j,+713754+50290.6j,+0+0j,+0+0j,+0+0j,+713534+47433.6j,+3150.09+0.0909812j,-0+0j,+710231+45526.8j,+0+0j,-0+0j,+295216+9424.53j,+0+0j,+0+0j,+0+0j,+0+0j,-0+0j,+43139.5+21613.3j,+0+0j,+43149+21599.8j,-7.33808e-06+4.48285e-06j,-0+0j,-7.3042e-06+4.52584e-06j,+0+0j,-7.28347e-06+4.57e-06j,+0+0j,+0+0j,+0+0j,-7.2813e-06+4.54069e-06j,-7.31025e-06+4.52661e-06j,-7.27722e-06+4.57997e-06j,+0+0j,+0+0j,+25624.3+9894.89j,+212747-31901.2j,-0+0j,+25628+9879.39j,+4620.28+0.284932j,-0+0j,+212592-32115.6j,+42950.4+21499.2j,+169487-53830.5j,-0+0j,+169417-53933.2j,+0+0j,+75168.7+53704.5j,+57177.6-132673j,+25476.5-132742j,+25417.4-132797j,+25351-132863j,+414272+32046.7j,+414146+31414.5j,+9029.73+1.66219j,+405028+31014.5j,+9030.32+0.714424j,+28895+9867.79j,+375619+19590j,+7890.63+0.639855j,+2.03947e-05-8.38207e-06j,-0+0j,+220690-177347j,+38017.6+133504j,+0+0j,+0+0j,+0+0j,-0+0j,+220251-178012j,+0+0j,+0+0j,+48473.1-218832j,+86218.1-34649.6j,+26228.1-219265j,+7.60128e-09+1.5697e-08j,+26174.1-219370j,+450.126-219807j,+244.576-220247j,-0+0j,+122.962-220489j,+0+0j,+82925.6-35042.8j,-0+0j,+56201.8-35279.9j,+42714-35405.8j,+13438.5+26.6223j,-0+0j,+13438.8+14.0147j,-0+0j,+13441.3+2.28861j,+8190.54+0.545736j,+22818.5-0.304566j,+22816.8-0.0530239j,+4.98827e-06-5.51706e-06j,+4.96961e-06-5.5448e-06j,-0+0j,+15066.6+133416j,+0+0j,+0+0j,+39793.8+24.0879j,-24768.5+133361j,+20129.4+9.52783j,-0+0j,-24865.8+133326j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+251742-13929j,+720827+53847.8j,+414472+33295.9j,+258801-43040.8j,+15126.4+133460j
2016-08-05 01:00:00 PDT,+6160.27+0.268957j,+0+0j,+596710-423227j,+0+0j,+0+0j,+0+0j,+596844-426312j,+2800.07+0.0708304j,+0+0j,+594128-428367j,+0+0j,+0+0j,+256924-159812j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44305.2+22172.1j,+0+0j,+44293.5+22172.7j,+9.83441e-06-7.6964e-06j,+0+0j,+9.83026e-06-7.66918e-06j,+0+0j,+9.86717e-06-7.64247e-06j,+0+0j,+0+0j,+0+0j,+9.81546e-06-7.63962e-06j,+9.83346e-06-7.66267e-06j,+9.80884e-06-7.67746e-06j,+0+0j,+0+0j,+14096.3-21382.2j,+185620-169752j,+0+0j,+14092.9-21405.3j,+4200.22+0.227956j,+0+0j,+185461-170013j,+44403.6+22226.6j,+140898-192502j,+0+0j,+140817-192692j,+0+0j,+77947.7+55690.5j,+37641.9-210803j,+7963.26-211004j,+7829.2-211198j,+7682.54-211404j,+337120-273213j,+337109-274054j,+8399.69+1.42255j,+328694-274577j,+8400.27+0.598127j,+17161.1-21497.6j,+310886-254889j,+7280.52+0.523316j,-9.9147e-06+1.07891e-05j,+0+0j,+183588-419499j,+53264.4+213652j,+0+0j,+0+0j,+0+0j,+0+0j,+182519-420919j,+0+0j,+0+0j,+45538-232172j,+59917.6-101287j,+24716.8-232636j,+1.69989e-09-1.98655e-08j,+24660.3-232750j,+476.671-233224j,+257.511-233702j,+0+0j,+129.348-233964j,+0+0j,+56734.9-101769j,+0+0j,+31446.5-102069j,+18967-102238j,+12318+27.3299j,+0+0j,+12318.5+14.151j,+0+0j,+12321+1.80655j,+7560.43+0.435371j,+21787.7-1.18085j,+21786-0.668523j,+8.39082e-06+9.89356e-07j,+8.38999e-06+9.94835e-07j,+0+0j,+31107.4+213268j,+0+0j,+0+0j,+37380+20.2219j,-6422.09+213062j,+18897.9+7.99293j,+0+0j,-6638.08+212848j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+212271-183337j,+602672-419314j,+337096-271506j,+237227-204766j,+31276.9+213461j
2016-08-05 02:00:00 PDT,+6100.26+0.263736j,+0+0j,+592456-423582j,+0+0j,+0+0j,+0+0j,+592591-426650j,+2700.06+0.0658571j,+0+0j,+589975-428692j,+0+0j,+0+0j,+255252-160013j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44311.1+22175.3j,+0+0j,+44299.6+22175.8j,+1.25463e-05-3.36838e-07j,+0+0j,+1.25538e-05-3.0624e-07j,+0+0j,+1.25518e-05-2.73739e-07j,+0+0j,+0+0j,+0+0j,+1.25832e-05-2.56743e-07j,+1.25685e-05-2.75888e-07j,+1.26067e-05-2.78672e-07j,+0+0j,+0+0j,+14019.2-21382.9j,+184274-169798j,+0+0j,+14015.8-21406j,+4120.22+0.219321j,+0+0j,+184116-170057j,+44410.8+22230.2j,+139547-192547j,+0+0j,+139467-192736j,+0+0j,+77961.2+55700.2j,+36272.2-210855j,+7153.86-211056j,+7019.62-211250j,+6873.05-211456j,+334640-273310j,+334630-274146j,+8379.69+1.41611j,+326234-274665j,+8380.26+0.59522j,+17104.3-21497.9j,+308488-254966j,+7220.51+0.514655j,-3.66174e-06+1.38028e-05j,+0+0j,+181851-419594j,+52591.7+213701j,+0+0j,+0+0j,+0+0j,+0+0j,+180784-421012j,+0+0j,+0+0j,+44498.5-232239j,+59198.8-101312j,+24228-232703j,-2.94113e-08-1.03249e-08j,+24171.4-232817j,+477.772-233292j,+257.728-233770j,+0+0j,+129.457-234033j,+0+0j,+56116.5-101791j,+0+0j,+31298.2-102089j,+18978.8-102257j,+12158+26.9302j,+0+0j,+12158.5+13.9281j,+0+0j,+12161+1.76376j,+7500.42+0.428357j,+21317.5-1.40963j,+21315.8-0.826704j,+2.14452e-05-1.55399e-05j,+2.14488e-05-1.55631e-05j,+0+0j,+30905.2+213318j,+0+0j,+0+0j,+36368.9+19.1389j,-5613.81+213112j,+18387.5+7.56514j,+0+0j,-5829.32+212899j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+210599-183535j,+598359-419690j,+334618-271614j,+234815-204821j,+31074.5+213510j
2016-08-05 03:00:00 PDT,+5940.25+0.250105j,+0+0j,+603507-422534j,+0+0j,+0+0j,+0+0j,+603635-425639j,+2700.07+0.0658723j,+0+0j,+601015-427706j,+0+0j,+0+0j,+259737-159421j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44289.8+22164.1j,+0+0j,+44277.8+22164.9j,+1.08448e-05+6.93349e-06j,+0+0j,+1.08363e-05+6.95623e-06j,+0+0j,+1.08843e-05+7.03104e-06j,+0+0j,+0+0j,+0+0j,+1.08928e-05+7.02111e-06j,+1.0913e-05+7.05495e-06j,+1.08915e-05+7.05154e-06j,+0+0j,+0+0j,+13942.6-21379.1j,+188068-169678j,+0+0j,+13939.2-21402.2j,+4050.21+0.212044j,+0+0j,+187906-169942j,+44384.9+22217.3j,+143358-192426j,+0+0j,+143276-192618j,+0+0j,+77912.5+55665.4j,+40144.2-210712j,+9659.86-210913j,+9526.02-211106j,+9379.02-211313j,+341182-272978j,+341170-273827j,+8099.68+1.33098j,+333054-274354j,+8100.25+0.556328j,+16896.9-21495.1j,+315500-254688j,+7020.48+0.486772j,-1.74764e-06-1.42255e-06j,+0+0j,+186174-419280j,+55303.3+213568j,+0+0j,+0+0j,+0+0j,+0+0j,+185102-420701j,+0+0j,+0+0j,+47709.6-232015j,+60370.6-101240j,+25756.3-232479j,-6.81719e-09-1.46091e-08j,+25699.7-232592j,+475.416-233065j,+257.454-233541j,+0+0j,+129.299-233802j,+0+0j,+57288.2-101723j,+0+0j,+30990-102025j,+18950.6-102192j,+11878.1+26.2231j,+0+0j,+11878.6+13.5655j,+0+0j,+11881+1.68087j,+7290.4+0.405083j,+23078.4-0.494978j,+23076.6-0.196404j,-1.02413e-05+1.93352e-05j,-1.02749e-05+1.93126e-05j,+0+0j,+31855.4+213181j,+0+0j,+0+0j,+39822.6+22.9433j,-8115.25+212972j,+20108.9+9.05582j,+0+0j,-8332.32+212759j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+215087-182949j,+609252-418600j,+341158-271256j,+241857-204614j,+32025.2+213375j
2016-08-05 04:00:00 PDT,+6440.29+0.294056j,+0+0j,+643872-418929j,+0+0j,+0+0j,+0+0j,+643996-422209j,+3000.08+0.0813696j,+0+0j,+641072-424393j,+0+0j,+0+0j,+275727-157389j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44235.7+22135.3j,+0+0j,+44222+22137j,+1.07066e-05+9.66502e-07j,+0+0j,+1.06996e-05+1.01693e-06j,+0+0j,+1.07108e-05+1.03807e-06j,+0+0j,+0+0j,+0+0j,+1.07203e-05+1.06201e-06j,+1.06971e-05+1.07384e-06j,+1.07102e-05+1.06958e-06j,+0+0j,+0+0j,+14298-21371.9j,+201110-169267j,+0+0j,+14294.6-21395.2j,+4430.25+0.254061j,+0+0j,+200935-169554j,+44317.6+22183.6j,+156442-192026j,+0+0j,+156352-192230j,+0+0j,+77785.4+55574.6j,+53398.1-210254j,+17289.8-210460j,+17157.4-210652j,+17009.4-210862j,+365226-271981j,+365213-272886j,+8719.7+1.52659j,+356474-273447j,+8720.29+0.645374j,+17450.1-21491j,+338316-253896j,+7600.56+0.571246j,-8.42612e-06+9.42438e-06j,+0+0j,+202388-418386j,+61987+213153j,+0+0j,+0+0j,+0+0j,+0+0j,+201293-419829j,+0+0j,+0+0j,+57750-231394j,+66733.1-101007j,+30828-231861j,+1.2559e-08+5.7249e-09j,+30771.4-231973j,+465.867-232441j,+255.484-232911j,+0+0j,+128.354-233173j,+0+0j,+63346.4-101519j,+0+0j,+31926-101838j,+18846.3-102006j,+12918.5+28.8535j,+0+0j,+12918.7+15.0709j,+0+0j,+12921.1+1.98907j,+7890.47+0.475856j,+27901.1+2.83024j,+27899+2.08562j,-5.79625e-06+2.88287e-06j,-5.77081e-06+2.87417e-06j,+0+0j,+33713.8+212757j,+0+0j,+0+0j,+49304.8+35.2217j,-15733.1+212536j,+24873.7+13.8877j,+0+0j,-15955.1+212324j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+231077-180967j,+650116-414778j,+365190-270143j,+264786-204040j,+33885.7+212954j
2016-08-05 05:00:00 PDT,+7940.44+0.447051j,+0+0j,+675649-416369j,+0+0j,+0+0j,+0+0j,+675789-419815j,+3900.14+0.137549j,+0+0j,+671973-422108j,+0+0j,+0+0j,+287827-155965j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44211.2+22121.9j,+0+0j,+44196.4+22124.2j,+6.0754e-06+4.73721e-06j,+0+0j,+6.10554e-06+4.75693e-06j,+0+0j,+6.138e-06+4.78176e-06j,+0+0j,+0+0j,+0+0j,+6.16054e-06+4.82244e-06j,+6.15702e-06+4.8453e-06j,+6.16928e-06+4.82053e-06j,+0+0j,+0+0j,+15419-21370.4j,+210379-168945j,+0+0j,+15415.7-21394.6j,+5570.4+0.401935j,+0+0j,+210198-169249j,+44286.7+22168.2j,+165730-191724j,+0+0j,+165636-191938j,+0+0j,+77726.6+55532.7j,+62776.6-209927j,+21905.6-210137j,+21774.9-210330j,+21627.4-210542j,+384037-271375j,+384027-272327j,+10579.8+2.18799j,+373428-272919j,+10580.4+0.95046j,+19170.3-21491.6j,+353515-253450j,+9340.85+0.863321j,+1.77205e-05-8.31285e-06j,+0+0j,+215738-417840j,+63906.8+212848j,+0+0j,+0+0j,+0+0j,+0+0j,+214618-419311j,+0+0j,+0+0j,+63823.3-231050j,+74125.8-100829j,+34097.4-231521j,-6.83742e-09-5.57698e-09j,+34041.2-231633j,+456.488-232099j,+252.702-232568j,+0+0j,+127.085-232830j,+0+0j,+69830.4-101378j,+0+0j,+34965.8-101716j,+18764.6-101895j,+16039.3+37.0897j,+0+0j,+16039.1+19.6818j,+0+0j,+16041.7+3.05575j,+9690.71+0.719093j,+30002.4+4.66375j,+30000.1+3.34166j,+1.04112e-05+3.14952e-07j,+1.04257e-05+3.33941e-07j,+0+0j,+33530.7+212450j,+0+0j,+0+0j,+53741.4+41.9458j,-20349.2+212225j,+27156.4+16.5726j,+0+0j,-20573.8+212016j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+243171-179603j,+683382-411995j,+383985-269438j,+280079-203726j,+33703.9+212648j
2016-08-05 06:00:00 PDT,+9290.6+0.612091j,+0+0j,+696249-414743j,+0+0j,+0+0j,+0+0j,+696405-418264j,+4550.18+0.187273j,+0+0j,+691948-420608j,+0+0j,+0+0j,+295576-155069j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44189.6+22110.5j,+0+0j,+44174.1+22113j,+1.31498e-05-5.2571e-06j,+0+0j,+1.3154e-05-5.23617e-06j,+0+0j,+1.31563e-05-5.1791e-06j,+0+0j,+0+0j,+0+0j,+1.31798e-05-5.17055e-06j,+1.31733e-05-5.15277e-06j,+1.31955e-05-5.15427e-06j,+0+0j,+0+0j,+16350.1-21365.7j,+216141-168739j,+0+0j,+16346.8-21390.6j,+6510.54+0.549389j,+0+0j,+215956-169052j,+44260+22154.8j,+171512-191523j,+0+0j,+171417-191742j,+0+0j,+77676+55496.6j,+68625.6-209705j,+24454.4-209917j,+24326.9-210109j,+24181.9-210321j,+396276-270878j,+396270-271850j,+12389.9+2.94575j,+383860-272454j,+12390.6+1.30417j,+20752.4-21485.4j,+362342-253019j,+10931.2+1.18315j,+1.53355e-05-8.38547e-06j,+0+0j,+224668-417302j,+63860.8+212611j,+0+0j,+0+0j,+0+0j,+0+0j,+223529-418798j,+0+0j,+0+0j,+67213.8-230749j,+79717.8-100662j,+36117-231223j,-1.71649e-09-1.20032e-08j,+36061.3-231335j,+448.284-231802j,+249.653-232271j,+0+0j,+125.679-232534j,+0+0j,+74764.1-101241j,+0+0j,+37645.2-101596j,+18722.2-101787j,+18760.1+44.7984j,+0+0j,+18759.5+24.0621j,+0+0j,+18762.4+4.18796j,+11341+0.986437j,+30692.8+5.33437j,+30690.5+3.80107j,+8.89774e-06+1.0712e-05j,+8.89712e-06+1.07666e-05j,+0+0j,+32798.4+212217j,+0+0j,+0+0j,+55584.4+44.9676j,-22920+211993j,+28127.6+17.7974j,+0+0j,-23143.4+211788j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+250928-178739j,+705321-410262j,+396211-268900j,+288975-203374j,+32969.9+212413j
2016-08-05 07:00:00 PDT,+7440.39+0.392535j,+0+0j,+633315-420181j,+0+0j,+0+0j,+0+0j,+633442-423319j,+2800.07+0.0709032j,+0+0j,+630720-425409j,+0+0j,+0+0j,+270667-158236j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44227.8+22132.5j,+0+0j,+44215.2+22133.6j,+6.1099e-06-1.8181e-08j,+0+0j,+6.14707e-06+2.42053e-08j,+0+0j,+6.11952e-06+2.9129e-08j,+0+0j,+0+0j,+0+0j,+6.14219e-06+4.50807e-08j,+6.1333e-06+3.61746e-08j,+6.13744e-06+3.31592e-08j,+0+0j,+0+0j,+14638.8-21364.1j,+196844-169429j,+0+0j,+14635.4-21387.6j,+4760.29+0.29338j,+0+0j,+196674-169702j,+44309.4+22179.5j,+152195-192156j,+0+0j,+152109-192352j,+0+0j,+77770.5+55564j,+49151.3-210376j,+14603.7-210575j,+14475.9-210763j,+14334.3-210966j,+359939-271922j,+359927-272784j,+10639.8+2.21139j,+349267-273318j,+10640.4+0.961535j,+18743.9-21474.2j,+329832-253688j,+8880.77+0.780497j,+7.40447e-06-2.36178e-06j,+0+0j,+196291-418120j,+59632.3+213180j,+0+0j,+0+0j,+0+0j,+0+0j,+195203-419568j,+0+0j,+0+0j,+51825-231314j,+66492.3-100933j,+28601.9-231781j,-2.24468e-09+8.52107e-10j,+28545.9-231895j,+463.88-232368j,+252.509-232845j,+0+0j,+127.008-233108j,+0+0j,+63303.1-101448j,+0+0j,+33611-101769j,+18890.4-101947j,+14558.4+33.3916j,+0+0j,+14558.7+17.5341j,+0+0j,+14561.5+2.57565j,+9240.64+0.652945j,+30323.2+5.01855j,+30320.3+3.52934j,+5.21448e-06-2.09789e-06j,+5.21841e-06-2.08649e-06j,+0+0j,+28945+212791j,+0+0j,+0+0j,+41915.2+25.5004j,-13109.8+212587j,+21179.9+10.0736j,+0+0j,-13322.4+212383j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+226054-181781j,+640575-416199j,+359911-270174j,+256323-203763j,+29114+212982j
2016-08-05 08:00:00 PDT,+5240.19+0.194639j,+0+0j,+552315-426701j,+0+0j,+0+0j,+0+0j,+552430-429458j,+1000.01+0.00903657j,+0+0j,+551504-431295j,+0+0j,+0+0j,+239201-161993j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44307.4+22175.7j,+0+0j,+44298.3+22175.1j,-1.57564e-05+1.41164e-05j,+0+0j,-1.57776e-05+1.413e-05j,+0+0j,-1.58125e-05+1.41483e-05j,+0+0j,+0+0j,+0+0j,-1.57805e-05+1.42022e-05j,-1.57909e-05+1.4183e-05j,-1.5828e-05+1.41654e-05j,+0+0j,+0+0j,+12760.8-21369.7j,+171938-170233j,+0+0j,+12757.2-21391.9j,+2830.1+0.103475j,+0+0j,+171789-170463j,+44408.3+22229j,+127231-192923j,+0+0j,+127158-193095j,+0+0j,+77957.6+55697.6j,+23910.7-211235j,+775.316-211425j,+645.478-211614j,+506.45-211811j,+312206-273451j,+312192-274196j,+8319.69+1.39846j,+303855-274658j,+8320.26+0.587198j,+16320.1-21471.4j,+286932-254811j,+6400.4+0.404704j,-1.83847e-05+1.82586e-05j,+0+0j,+162903-419515j,+49929.2+213969j,+0+0j,+0+0j,+0+0j,+0+0j,+161860-420916j,+0+0j,+0+0j,+33665.6-232290j,+50895-101345j,+19493.6-232755j,-1.77206e-08-7.8253e-09j,+19437-232870j,+484.148-233353j,+257.019-233839j,+0+0j,+129.121-234102j,+0+0j,+49515.9-101791j,+0+0j,+28988.4-102074j,+19108.8-102237j,+9717.65+21.1855j,+0+0j,+9718.45+10.7993j,+0+0j,+9720.71+1.19337j,+6690.34+0.340626j,+22848.7-0.570603j,+22846.5-0.294751j,+1.03925e-05+6.4843e-06j,+1.04168e-05+6.49779e-06j,+0+0j,+26724.7+213595j,+0+0j,+0+0j,+25889.6+9.68032j,+687.075+213404j,+13053.8+3.8134j,+0+0j,+484.502+213196j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+194592-185421j,+557389-423211j,+312203-271944j,+213185-204537j,+26888.2+213780j
2016-08-05 09:00:00 PDT,+4730.16+0.15854j,+0+0j,+504531-430522j,+0+0j,+0+0j,+0+0j,+504643-433122j,+150+0.000203161j,+0+0j,+504566-434855j,+0+0j,+0+0j,+220267-164237j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44378.5+22213.4j,+0+0j,+44371.5+22211.8j,+2.24344e-05-7.18686e-06j,+0+0j,+2.24286e-05-7.17193e-06j,+0+0j,+2.24683e-05-7.14163e-06j,+0+0j,+0+0j,+0+0j,+2.24894e-05-7.08581e-06j,+2.25031e-05-7.05318e-06j,+2.24795e-05-7.06513e-06j,+0+0j,+0+0j,+12111.4-21379.8j,+156503-170711j,+0+0j,+12107.7-21401.5j,+2150.06+0.0596132j,+0+0j,+156366-170920j,+44494.5+22272.1j,+111735-193401j,+0+0j,+111668-193562j,+0+0j,+78119.9+55813.5j,+8195.07-211796j,-8438.82-211987j,-8571.53-212178j,-8709.84-212374j,+284215-274513j,+284202-275209j,+8149.68+1.344j,+276036-275639j,+8150.25+0.562725j,+15842.9-21477.6j,+259637-255678j,+5890.34+0.342211j,+1.33672e-05-2.11806e-06j,+0+0j,+143615-420620j,+41772.6+214520j,+0+0j,+0+0j,+0+0j,+0+0j,+142588-422005j,+0+0j,+0+0j,+21633.8-233074j,+43389-101630j,+13847.5-233544j,+2.3224e-09-3.96422e-09j,+13790.3-233661j,+496.328-234153j,+259.416-234648j,+0+0j,+130.322-234912j,+0+0j,+42861.2-102045j,+0+0j,+27753.9-102311j,+19234.2-102473j,+8357.55+17.9583j,+0+0j,+8358.47+9.04667j,+0+0j,+8360.56+0.918224j,+6180.29+0.289643j,+17165.9-2.89934j,+17164.2-1.89762j,+1.55254e-05-1.02174e-05j,+1.55198e-05-1.02178e-05j,+0+0j,+24252.1+214154j,+0+0j,+0+0j,+14202.9+2.90198j,+9893.69+213968j,+7151.13+1.14109j,+0+0j,+9695.35+213755j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+175637-187631j,+509106-427226j,+284226-273113j,+185720-205186j,+24413.8+214336j
2016-08-05 10:00:00 PDT,+4640.15+0.152558j,+0+0j,+497602-431018j,+0+0j,+0+0j,+0+0j,+497711-433595j,+0+0j,+0+0j,+497783-435313j,+0+0j,+0+0j,+217466-164537j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44387.8+22218.4j,+0+0j,+44381.1+22216.6j,+1.28409e-05-6.08018e-08j,+0+0j,+1.2865e-05-3.62937e-08j,+0+0j,+1.2863e-05-9.45427e-09j,+0+0j,+0+0j,+0+0j,+1.28631e-05-2.77859e-08j,+1.28559e-05-1.6044e-08j,+1.28622e-05-2.70228e-08j,+0+0j,+0+0j,+11996.8-21380.5j,+154184-170782j,+0+0j,+11993.1-21402.2j,+2030.05+0.0531315j,+0+0j,+154049-170988j,+44505.8+22277.8j,+109409-193472j,+0+0j,+109342-193631j,+0+0j,+78141.3+55828.8j,+5836.56-211879j,-9647.28-212070j,-9780.54-212261j,-9918.78-212457j,+280231-274635j,+280217-275323j,+8119.68+1.33461j,+272081-275749j,+8120.25+0.558505j,+15758.5-21477.6j,+255772-255774j,+5800.33+0.331767j,-3.93644e-06+1.51359e-05j,+0+0j,+140856-420757j,+40640.4+214601j,+0+0j,+0+0j,+0+0j,+0+0j,+139830-422140j,+0+0j,+0+0j,+19815.5-233177j,+42408.5-101665j,+13119.9-233647j,-1.52476e-08+1.44453e-08j,+13062.5-233765j,+498.163-234258j,+259.765-234755j,+0+0j,+130.497-235019j,+0+0j,+42030.7-102077j,+0+0j,+27533.5-102341j,+19253.7-102503j,+8117.55+17.3974j,+0+0j,+8118.49+8.74712j,+0+0j,+8120.53+0.873868j,+6090.28+0.281136j,+16465.5-3.07137j,+16463.9-2.01797j,-4.47366e-07-1.06828e-06j,-4.3492e-07-1.06856e-06j,+0+0j,+23820.4+214236j,+0+0j,+0+0j,+12562.2+2.26263j,+11101.6+214051j,+6300.87+0.885543j,+0+0j,+10903.7+213837j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+172833-187925j,+502090-427750j,+280245-273250j,+181826-205254j,+23981.9+214418j
