# file...... underground_lines_power_in_C.csv
# date...... Fri Oct 27 14:51:55 2017
# user...... mast9
# host...... (null)
# group..... class= underground_line
# property.. power_in_C
# limit..... -1
# interval.. 3600
# timestamp,O60-62,O62-63,O63-64,O64-65,O65-66
2016-08-05 00:00:00 PDT,+136435+50465.4j,+94180.9+29394.7j,+94120.8+29382.5j,+94000.3+29358.1j,+32161.8+2.08045j
2016-08-05 01:00:00 PDT,+136029+51057.6j,+93693.4+29945j,+93635.4+29933.1j,+93519.3+29909.2j,+31000.9+1.9288j
2016-08-05 02:00:00 PDT,+136054+51072.5j,+93707.5+29954.2j,+93649.5+29942.3j,+93533.3+29918.4j,+31000.9+1.92828j
2016-08-05 03:00:00 PDT,+135405+51024.2j,+93089.9+29921.2j,+93032.6+29909.4j,+92917.8+29885.8j,+30420.5+1.85801j
2016-08-05 04:00:00 PDT,+136329+50886.1j,+94119.1+29836.6j,+94060.5+29824.5j,+93943.1+29800.4j,+31581.4+2.00782j
2016-08-05 05:00:00 PDT,+143164+50784.8j,+101035+29780.7j,+100968+29767.1j,+100834+29739.7j,+38597+3.00735j
2016-08-05 06:00:00 PDT,+163190+50621j,+121131+29668.9j,+121036+29650j,+120847+29612.3j,+58739.7+6.99547j
2016-08-05 07:00:00 PDT,+176171+50669.4j,+133967+29656.8j,+133853+29634.2j,+133624+29589j,+71338.4+10.3004j
2016-08-05 08:00:00 PDT,+181425+50844.7j,+139028+29740.5j,+138906+29716.4j,+138661+29668.2j,+76126.2+11.6834j
2016-08-05 09:00:00 PDT,+180016+51029.3j,+137489+29858.1j,+137370+29834.5j,+137131+29787.4j,+74433.1+11.1321j
2016-08-05 10:00:00 PDT,+179979+51054.4j,+137432+29873.4j,+137313+29849.8j,+137075+29802.8j,+74352.9+11.1028j
2016-08-05 11:00:00 PDT,+175416+51071.3j,+132881+29891.9j,+132769+29869.7j,+132546+29825.5j,+69835.5+9.79123j
2016-08-05 12:00:00 PDT,+184958+50925.6j,+142490+29789.3j,+142362+29764.1j,+142106+29713.7j,+79492.1+12.7239j
2016-08-05 13:00:00 PDT,+188690+50782.1j,+146323+29700.7j,+146188+29674.2j,+145918+29621.2j,+83439.7+14.0612j
2016-08-05 14:00:00 PDT,+193349+50562.6j,+151154+29571.7j,+151009+29543.5j,+150720+29487j,+88470.1+15.8842j
2016-08-05 15:00:00 PDT,+199620+50114.1j,+157773+29305.3j,+157615+29274.5j,+157299+29212.9j,+95505.9+18.6878j
2016-08-05 16:00:00 PDT,+156190+50106.6j,+114635+29401.1j,+114549+29383.8j,+114377+29349.2j,+52932.6+5.74559j
2016-08-05 17:00:00 PDT,+145853+49981.1j,+104466+29351.2j,+104394+29336.5j,+104249+29307.2j,+43011.6+3.80416j
2016-08-05 18:00:00 PDT,+149636+49898.2j,+108309+29302j,+108232+29286.3j,+108077+29254.9j,+46925.7+4.5371j
2016-08-05 19:00:00 PDT,+157217+49788.3j,+115966+29236.3j,+115878+29218.5j,+115701+29183.1j,+54665+6.17488j
2016-08-05 20:00:00 PDT,+159404+49991.5j,+118016+29372.4j,+117925+29354.1j,+117742+29317.6j,+56547.3+6.587j
2016-08-05 21:00:00 PDT,+152043+50387.7j,+110317+29593j,+110237+29576.9j,+110078+29544.8j,+48417.1+4.78444j
2016-08-05 22:00:00 PDT,+145725+50709.3j,+103715+29767.1j,+103645+29752.8j,+103504+29724.1j,+41449.7+3.4795j
2016-08-05 23:00:00 PDT,+139836+50943.3j,+97610.7+29888.7j,+97548.1+29875.9j,+97422.5+29850.2j,+35064+2.47522j
2016-08-06 00:00:00 PDT,+138302+50987.1j,+96027.6+29906.6j,+95966.9+29894.2j,+95845.2+29869.2j,+33412.7+2.24448j
2016-08-06 01:00:00 PDT,+137229+51028.5j,+94916.3+29928.2j,+94856.9+29916j,+94737.8+29891.5j,+32251.8+2.08905j
2016-08-06 02:00:00 PDT,+137256+51045.3j,+94931.6+29938.8j,+94872.1+29926.5j,+94753.1+29902.1j,+32251.8+2.08843j
2016-08-06 03:00:00 PDT,+136601+50993.2j,+94310.7+29903.3j,+94252+29891.2j,+94134.3+29867.1j,+31671.4+2.01542j
2016-08-06 04:00:00 PDT,+138091+50851.4j,+95911.5+29818.5j,+95850.8+29806j,+95729.2+29781j,+33412.8+2.24957j
2016-08-06 05:00:00 PDT,+133959+50837.7j,+91844.8+29834.4j,+91788.7+29822.8j,+91676.2+29799.6j,+29449.9+1.74947j
2016-08-06 06:00:00 PDT,+139865+50787.2j,+97802.3+29813.9j,+97739.2+29800.9j,+97612.7+29775.1j,+35474.4+2.54345j
2016-08-06 07:00:00 PDT,+134224+51060.8j,+91946.1+29975.6j,+91890+29964.1j,+91777.6+29940.9j,+29349.8+1.73082j
2016-08-06 08:00:00 PDT,+133361+51288.7j,+90883.9+30103.2j,+90829.2+30091.9j,+90719.6+30069.2j,+28028.9+1.57085j
2016-08-06 09:00:00 PDT,+130978+51480j,+88366.2+30225.1j,+88314.4+30214.3j,+88210.5+30192.8j,+25347.3+1.28015j
2016-08-06 10:00:00 PDT,+129842+51515.5j,+87209.1+30249.3j,+87158.5+30238.8j,+87057.1+30217.7j,+24166.6+1.16293j
2016-08-06 11:00:00 PDT,+125052+51537j,+82427.2+30271.8j,+82381.5+30262.3j,+82289.8+30243.1j,+19404.2+0.74948j
2016-08-06 12:00:00 PDT,+127277+51450.3j,+84716.9+30219j,+84668.8+30208.9j,+84572.4+30188.9j,+21775.4+0.945534j
2016-08-06 13:00:00 PDT,+130773+51320j,+88316.6+30143j,+88264.7+30132.2j,+88160.6+30110.6j,+25507.4+1.30117j
2016-08-06 14:00:00 PDT,+135075+51107.4j,+92787.1+30017.7j,+92730.1+30005.9j,+92615.8+29982.4j,+30190.4+1.83111j
2016-08-06 15:00:00 PDT,+133339+50724.5j,+91379.5+29798.3j,+91323.8+29786.7j,+91211.9+29763.7j,+29209.8+1.72738j
2016-08-06 16:00:00 PDT,+141502+50218.5j,+99958.2+29506.7j,+99891.9+29493.1j,+99758.7+29466j,+38317+3.00577j
2016-08-06 17:00:00 PDT,+146278+49948.2j,+104941+29343.7j,+104868+29328.9j,+104721+29299.3j,+43552.1+3.90541j
2016-08-06 18:00:00 PDT,+149802+49865j,+108533+29297.1j,+108455+29281.4j,+108299+29249.9j,+47226.1+4.60187j
2016-08-06 19:00:00 PDT,+160296+49721.8j,+119118+29209.3j,+119025+29190.6j,+118838+29153.3j,+57909.4+6.94512j
2016-08-06 20:00:00 PDT,+162233+49926.3j,+120917+29346.3j,+120822+29327.1j,+120630+29288.9j,+59541.5+7.31907j
2016-08-06 21:00:00 PDT,+154322+50319.6j,+112656+29556.7j,+112573+29539.9j,+112407+29506.5j,+50829.9+5.28245j
2016-08-06 22:00:00 PDT,+148040+50662.3j,+106073+29743.5j,+106000+29728.5j,+105852+29698.7j,+43862.1+3.90152j
2016-08-06 23:00:00 PDT,+141021+50906.6j,+98825.2+29867.6j,+98761.1+29854.5j,+98632.5+29828.2j,+36315.1+2.65728j
2016-08-07 00:00:00 PDT,+138302+50987.2j,+96027.7+29906.7j,+95966.9+29894.2j,+95845.2+29869.2j,+33412.7+2.24448j
