# file...... Overhead_lines_power_in_B.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_B
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-10-07 00:00:00 PDT,+7950.44+0.449893j,-0+0j,+727451+51044.5j,+0+0j,+0+0j,+0+0j,+727232+48092.3j,+4450.18+0.181578j,-0+0j,+722626+46121.2j,+0+0j,-0+0j,+300027+9826.79j,+0+0j,+0+0j,+0+0j,+0+0j,-0+0j,+43138.3+21612.2j,+0+0j,+43147.3+21599j,+6.90858e-06-3.1807e-06j,-0+0j,+6.91973e-06-3.16887e-06j,+0+0j,+6.96316e-06-3.15755e-06j,+0+0j,+0+0j,+0+0j,+6.96689e-06-3.11306e-06j,+6.98968e-06-3.11416e-06j,+6.97607e-06-3.09187e-06j,+0+0j,+0+0j,+26877.8+9889.54j,+215959-31749.7j,-0+0j,+26881.4+9872.49j,+5870.45+0.46003j,-0+0j,+215803-31970j,+42950.1+21499.1j,+172699-53691j,-0+0j,+172628-53797.7j,+0+0j,+75168.3+53704.1j,+60378.3-132529j,+26790.8-132600j,+26732-132656j,+26665.6-132723j,+421850+32114.5j,+421725+31460.7j,+10129.8+2.06032j,+411504+31046.5j,+10130.4+0.899072j,+30279.2+9860.84j,+380692+19588.5j,+9270.87+0.883325j,-1.09798e-06+1.18813e-05j,-0+0j,+226970-177251j,+36787.1+133364j,+0+0j,+0+0j,+0+0j,-0+0j,+226516-177937j,+0+0j,+0+0j,+49913.9-218767j,+91005.6-34602.4j,+26839.8-219200j,-2.36394e-08+1.27507e-09j,+26786.3-219305j,+444.794-219740j,+242.86-220179j,-0+0j,+122.168-220422j,+0+0j,+86404.1-35024.3j,-0+0j,+59126.1-35274.2j,+42716.2-35412.6j,+16359+33.6364j,-0+0j,+16359.1+17.9566j,-0+0j,+16361.9+3.33436j,+9600.74+0.75029j,+22498.3-0.490993j,+22496.6-0.177163j,+9.96519e-06+2.79015e-07j,+9.93629e-06+2.50402e-07j,-0+0j,+14155+133278j,+0+0j,+0+0j,+40194.3+24.6421j,-26080.6+133224j,+20399.7+9.78624j,-0+0j,-26179.3+133189j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+256547-13568.7j,+735793+54741.9j,+422050+33406.6j,+263855-43059.5j,+14215.6+133322j
2016-10-07 01:00:00 PDT,+7450.39+0.393426j,+0+0j,+615183-422036j,+0+0j,+0+0j,+0+0j,+615334-425218j,+4150.15+0.155614j,+0+0j,+611275-427336j,+0+0j,+0+0j,+263679-159144j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44295.9+22166.7j,+0+0j,+44283.5+22167.7j,+1.2354e-05-2.25302e-06j,+0+0j,+1.23868e-05-2.19356e-06j,+0+0j,+1.23965e-05-2.15223e-06j,+0+0j,+0+0j,+0+0j,+1.2392e-05-2.15199e-06j,+1.23924e-05-2.15953e-06j,+1.2323e-05-2.14354e-06j,+0+0j,+0+0j,+15375.7-21382j,+190437-169528j,+0+0j,+15372.4-21406.1j,+5490.38+0.389617j,+0+0j,+190277-169798j,+44393.4+22221.5j,+145723-192292j,+0+0j,+145641-192488j,+0+0j,+77928.7+55677j,+42504-210585j,+10229.6-210788j,+10096.8-210982j,+9950.57-211190j,+347530-272989j,+347524-273857j,+9509.73+1.79019j,+337999-274396j,+9510.34+0.766751j,+18560.3-21499.2j,+318778-254751j,+8690.74+0.745853j,+3.42182e-05-1.47486e-05j,+0+0j,+191790-419240j,+53007.7+213437j,+0+0j,+0+0j,+0+0j,+0+0j,+190707-420675j,+0+0j,+0+0j,+48318.3-232018j,+65399.1-101186j,+25967-232482j,+1.49478e-08+3.96742e-09j,+25911.1-232595j,+469.966-233067j,+255.516-233543j,+0+0j,+128.411-233806j,+0+0j,+60861-101693j,+0+0j,+34400.2-102005j,+18919.8-102185j,+15318.4+35.0945j,+0+0j,+15318.7+18.4169j,+0+0j,+15321.5+2.73993j,+9000.61+0.617626j,+22087.8-1.02702j,+22086.2-0.558267j,+1.06829e-05+5.38168e-06j,+1.06695e-05+5.36273e-06j,+0+0j,+30549.3+213055j,+0+0j,+0+0j,+39091.9+22.1833j,-8690.62+212849j,+19828.7+8.80333j,+0+0j,-8907.56+212638j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+219026-182704j,+622426-417988j,+347495-271228j,+245180-204687j,+30719.6+213248j
2016-10-07 02:00:00 PDT,+7450.39+0.393426j,+0+0j,+614741-422075j,+0+0j,+0+0j,+0+0j,+614892-425254j,+4150.15+0.155614j,+0+0j,+610833-427371j,+0+0j,+0+0j,+263501-159167j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44296.4+22167j,+0+0j,+44284+22168j,+4.12555e-06-1.02036e-06j,+0+0j,+4.14065e-06-9.69612e-07j,+0+0j,+4.1126e-06-9.31036e-07j,+0+0j,+0+0j,+0+0j,+4.12996e-06-9.25788e-07j,+4.1168e-06-9.2325e-07j,+4.10637e-06-9.37842e-07j,+0+0j,+0+0j,+15376.3-21381.9j,+190289-169532j,+0+0j,+15373-21406j,+5490.38+0.389613j,+0+0j,+190130-169802j,+44394+22221.8j,+145576-192295j,+0+0j,+145494-192491j,+0+0j,+77929.8+55677.8j,+42354.4-210589j,+10140.1-210792j,+10007.3-210987j,+9861.09-211195j,+347266-272996j,+347260-273864j,+9509.73+1.79017j,+337735-274403j,+9510.34+0.766746j,+18560.9-21499j,+318514-254757j,+8690.74+0.745847j,-3.08952e-06+1.69976e-05j,+0+0j,+191615-419246j,+52916.5+213441j,+0+0j,+0+0j,+0+0j,+0+0j,+190532-420681j,+0+0j,+0+0j,+48198.2-232024j,+65340.9-101187j,+25907-232488j,-1.00004e-08-7.70698e-09j,+25851.1-232601j,+470.036-233073j,+255.518-233549j,+0+0j,+128.413-233811j,+0+0j,+60802.8-101695j,+0+0j,+34402-102006j,+18921.7-102187j,+15318.4+35.0959j,+0+0j,+15318.7+18.4165j,+0+0j,+15321.5+2.73988j,+9000.61+0.617612j,+22027.8-1.05771j,+22026.1-0.579444j,-1.47175e-06+1.22732e-05j,-1.49284e-06+1.22344e-05j,+0+0j,+30518.3+213059j,+0+0j,+0+0j,+38971.8+22.0475j,-8601.55+212853j,+19768.6+8.74992j,+0+0j,-8818.39+212642j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+218849-182726j,+621983-418030j,+347231-271237j,+244914-204690j,+30688.5+213251j
2016-10-07 03:00:00 PDT,+7350.38+0.38298j,+0+0j,+629441-420710j,+0+0j,+0+0j,+0+0j,+629584-423944j,+4250.16+0.16325j,+0+0j,+625420-426096j,+0+0j,+0+0j,+269430-158401j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44270.1+22153.1j,+0+0j,+44257+22154.5j,-5.66688e-07+1.26981e-05j,+0+0j,-5.6105e-07+1.27476e-05j,+0+0j,-5.67085e-07+1.27249e-05j,+0+0j,+0+0j,+0+0j,-5.76382e-07+1.27396e-05j,-5.80987e-07+1.27486e-05j,-6.02353e-07+1.27505e-05j,+0+0j,+0+0j,+15377.4-21377.4j,+195250-169366j,+0+0j,+15374.1-21401.5j,+5500.39+0.391292j,+0+0j,+195085-169643j,+44362.1+22205.9j,+150557-192129j,+0+0j,+150473-192329j,+0+0j,+77869.8+55634.9j,+47412-210396j,+13301.4-210600j,+13169.1-210794j,+13022.4-211003j,+355909-272577j,+355901-273462j,+9249.72+1.70145j,+346635-274012j,+9250.32+0.725744j,+18411.2-21495.7j,+327543-254409j,+8550.71+0.722439j,-1.45635e-05+2.03628e-05j,+0+0j,+197424-418849j,+56165.1+213263j,+0+0j,+0+0j,+0+0j,+0+0j,+196334-420289j,+0+0j,+0+0j,+52309.1-231743j,+67114.6-101093j,+27824.2-232207j,-2.42845e-08-1.66861e-08j,+27768.3-232320j,+466.675-232788j,+255.04-233261j,+0+0j,+128.153-233523j,+0+0j,+62475.7-101608j,+0+0j,+34244.7-101925j,+18884.3-102104j,+15198.5+34.769j,+0+0j,+15198.7+18.2689j,+0+0j,+15201.5+2.68956j,+8850.59+0.59791j,+24138.9+0.135294j,+24137.1+0.24255j,+1.09614e-05-4.91072e-06j,+1.09707e-05-4.8943e-06j,+0+0j,+31655.1+212877j,+0+0j,+0+0j,+43266.8+27.1766j,-11757.1+212666j,+21920.6+10.7702j,+0+0j,-11976+212455j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+224781-181971j,+636587-416602j,+355871-270779j,+253983-204435j,+31826+213071j
2016-10-07 04:00:00 PDT,+8040.45+0.458376j,+0+0j,+672251-416845j,+0+0j,+0+0j,+0+0j,+672391-420278j,+4600.19+0.191352j,+0+0j,+667873-422562j,+0+0j,+0+0j,+286311-156241j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44216+22124.3j,+0+0j,+44201.1+22126.5j,-3.54254e-06+2.5412e-06j,+0+0j,-3.51852e-06+2.57331e-06j,+0+0j,-3.54354e-06+2.55335e-06j,+0+0j,+0+0j,+0+0j,-3.56482e-06+2.54625e-06j,-3.56975e-06+2.52655e-06j,-3.61008e-06+2.50929e-06j,+0+0j,+0+0j,+15841.4-21370.5j,+208925-168928j,+0+0j,+15838.1-21395j,+5990.46+0.464782j,+0+0j,+208747-169230j,+44294.6+22172.1j,+164274-191707j,+0+0j,+164181-191921j,+0+0j,+77742.1+55543.7j,+61301.1-209917j,+21200.7-210127j,+21069.8-210321j,+20922.2-210533j,+381457-271522j,+381448-272469j,+10159.8+2.02837j,+371270-273058j,+10160.4+0.876402j,+19192.9-21492.1j,+351340-253581j,+9360.86+0.866904j,-5.02243e-06-9.56549e-07j,+0+0j,+214713-417924j,+62751.6+212833j,+0+0j,+0+0j,+0+0j,+0+0j,+213594-419391j,+0+0j,+0+0j,+62679.8-231110j,+74224.4-100845j,+33165.5-231578j,-9.2995e-09+5.22123e-09j,+33109.5-231690j,+456.402-232154j,+252.795-232622j,+0+0j,+127.09-232883j,+0+0j,+69228.9-101395j,+0+0j,+35534.7-101731j,+18773.4-101913j,+16599.3+38.5594j,+0+0j,+16599.1+20.4786j,+0+0j,+16601.8+3.22096j,+9690.71+0.718911j,+29011.7+3.77141j,+29009.6+2.73619j,-9.66276e-07+6.49062e-06j,-1.00211e-06+6.4853e-06j,+0+0j,+33366.1+212437j,+0+0j,+0+0j,+52870.1+40.6217j,-19643.4+212214j,+26745.9+16.071j,+0+0j,-19867.7+212005j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+241657-179872j,+680087-412487j,+381406-269596j,+277893-203837j,+33539.2+212634j
2016-10-07 05:00:00 PDT,+10130.7+0.727989j,+0+0j,+744658-410419j,+0+0j,+0+0j,+0+0j,+744789-414211j,+5950.32+0.320451j,+0+0j,+738911-416734j,+0+0j,+0+0j,+314301-152768j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44130.3+22078.6j,+0+0j,+44112.7+22082.2j,+6.94915e-06-8.40756e-06j,+0+0j,+6.92109e-06-8.39677e-06j,+0+0j,+6.9452e-06-8.35641e-06j,+0+0j,+0+0j,+0+0j,+6.9505e-06-8.35478e-06j,+6.92787e-06-8.37092e-06j,+6.91504e-06-8.34498e-06j,+0+0j,+0+0j,+17439-21358.7j,+231141-168130j,+0+0j,+17435.8-21384.5j,+7630.75+0.755878j,+0+0j,+230942-168474j,+44188.9+22119.2j,+186554-190941j,+0+0j,+186450-191180j,+0+0j,+77542.4+55401.1j,+83852-209070j,+33562.4-209293j,+33434.3-209486j,+33286.4-209703j,+424462-269732j,+424450-270789j,+12669.9+3.07622j,+411756-271447j,+12670.6+1.36511j,+21557.7-21484.6j,+389357-252183j,+11771.4+1.37375j,-1.20767e-05+2.57793e-05j,+0+0j,+243927-416336j,+71665.5+212065j,+0+0j,+0+0j,+0+0j,+0+0j,+242750-417863j,+0+0j,+0+0j,+78315.2-230078j,+88092.3-100394j,+41236.2-230557j,-3.71432e-09-9.35561e-09j,+41180.6-230667j,+436.648-231126j,+247.607-231586j,+0+0j,+124.655-231848j,+0+0j,+81728.2-101018j,+0+0j,+39754.9-101395j,+18590.1-101593j,+21001.5+51.1654j,+0+0j,+21000.2+27.814j,+0+0j,+21002.9+5.16582j,+12181.1+1.14156j,+36867.2+12.2504j,+36864.2+8.51735j,-7.23198e-06+1.29721e-05j,-7.24348e-06+1.29467e-05j,+0+0j,+34420.3+211655j,+0+0j,+0+0j,+66283.3+64.0975j,-31992.1+211413j,+33545+25.3747j,+0+0j,-32225.1+211206j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+269635-176519j,+754602-405595j,+424387-267580j,+316089-202828j,+34596.8+211855j
2016-10-07 06:00:00 PDT,+12531.1+1.11386j,+0+0j,+767350-408906j,+0+0j,+0+0j,+0+0j,+767523-412841j,+7550.51+0.515967j,+0+0j,+760068-415459j,+0+0j,+0+0j,+322492-151934j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44131.7+22078.6j,+0+0j,+44113.4+22082.6j,-2.40533e-06+1.44564e-06j,+0+0j,-2.3898e-06+1.46814e-06j,+0+0j,-2.41398e-06+1.48097e-06j,+0+0j,+0+0j,+0+0j,-2.41511e-06+1.46379e-06j,-2.41079e-06+1.4874e-06j,-2.44001e-06+1.5055e-06j,+0+0j,+0+0j,+19337.4-21360.6j,+236602-167882j,+0+0j,+19334.3-21388.1j,+9541.17+1.18183j,+0+0j,+236404-168238j,+44190.3+22119.9j,+192016-190719j,+0+0j,+191912-190965j,+0+0j,+77544.5+55402.7j,+89332.4-208851j,+35067.1-209079j,+34942-209272j,+34796.6-209491j,+437479-269488j,+437478-270581j,+15510.3+4.51634j,+421946-271261j,+15510.9+2.04562j,+24307.5-21486.9j,+396778-252038j,+14532.1+2.09387j,-2.85009e-06+9.23726e-06j,+0+0j,+254726-416051j,+68354.7+211835j,+0+0j,+0+0j,+0+0j,+0+0j,+253520-417615j,+0+0j,+0+0j,+80809.6-229972j,+96428.4-100247j,+42731.8-230454j,-1.73069e-08+5.68852e-09j,+42677-230565j,+426.763-231025j,+243.878-231487j,+0+0j,+122.965-231751j,+0+0j,+88447.7-100921j,+0+0j,+44786.3-101322j,+18536.6-101543j,+26084.1+66.9643j,+0+0j,+26081.8+37.0341j,+0+0j,+26084.4+7.95331j,+15031.7+1.74013j,+35155.7+10.1568j,+35153.1+7.10399j,+1.11621e-05+8.53778e-06j,+1.11531e-05+8.54371e-06j,+0+0j,+32823.7+211434j,+0+0j,+0+0j,+66213.3+64.1444j,-33516.4+211197j,+33625.2+25.499j,+0+0j,-33748.6+210994j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+277820-175748j,+779665-403868j,+437382-267265j,+323586-202724j,+32999.1+211631j
2016-10-07 07:00:00 PDT,+10590.8+0.795389j,+0+0j,+682710-416675j,+0+0j,+0+0j,+0+0j,+682878-420109j,+5650.28+0.288747j,+0+0j,+677326-422394j,+0+0j,+0+0j,+289146-156252j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44210.2+22121.7j,+0+0j,+44195.7+22123.8j,+4.71117e-06+3.92962e-06j,+0+0j,+4.69552e-06+3.95863e-06j,+0+0j,+4.67013e-06+3.97062e-06j,+0+0j,+0+0j,+0+0j,+4.72388e-06+3.97848e-06j,+4.70017e-06+3.94701e-06j,+4.69263e-06+3.95312e-06j,+0+0j,+0+0j,+17518.5-21367.1j,+210310-168861j,+0+0j,+17515.3-21392.9j,+7670.75+0.762257j,+0+0j,+210135-169162j,+44288.5+22169j,+165673-191635j,+0+0j,+165583-191848j,+0+0j,+77730.6+55535.5j,+62719.3-209837j,+20602.6-210045j,+20477-210236j,+20335.4-210445j,+388111-271326j,+388109-272270j,+13730.1+3.57642j,+374360-272856j,+13730.7+1.6013j,+22222.8-21482.8j,+351400-253354j,+12391.5+1.52008j,-7.44574e-06+2.33164e-05j,+0+0j,+218352-417542j,+59257.9+212678j,+0+0j,+0+0j,+0+0j,+0+0j,+217221-419038j,+0+0j,+0+0j,+60296.3-230972j,+80240.8-100689j,+32630.1-231442j,-1.57572e-09-8.77674e-09j,+32575.3-231555j,+447.687-232025j,+247.905-232498j,+0+0j,+124.883-232762j,+0+0j,+74184-101275j,+0+0j,+40563.9-101629j,+18759.3-101835j,+21640.5+53.3325j,+0+0j,+21639.9+28.8377j,+0+0j,+21643.1+5.52059j,+12841.2+1.26375j,+30473+5.16139j,+30470.3+3.6507j,-1.57923e-06-3.99606e-06j,-1.55951e-06-3.98703e-06j,+0+0j,+28416.6+212291j,+0+0j,+0+0j,+47382.4+32.7859j,-19102.1+212084j,+24102.9+13.0571j,+0+0j,-19319.4+211884j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+244518-179904j,+693093-412284j,+388051-269410j,+278037-203588j,+28587.9+212482j
2016-10-07 08:00:00 PDT,+7490.39+0.397701j,+0+0j,+584731-424672j,+0+0j,+0+0j,+0+0j,+584881-427609j,+3150.09+0.0896687j,+0+0j,+581825-429565j,+0+0j,+0+0j,+251361-160768j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44301.5+22171.4j,+0+0j,+44291+22171.5j,+9.55061e-06+5.80341e-06j,+0+0j,+9.5408e-06+5.85064e-06j,+0+0j,+9.54049e-06+5.83961e-06j,+0+0j,+0+0j,+0+0j,+9.50807e-06+5.8262e-06j,+9.53205e-06+5.84347e-06j,+9.47159e-06+5.83036e-06j,+0+0j,+0+0j,+14880.7-21373.5j,+180670-169871j,+0+0j,+14877.4-21397.2j,+4970.32+0.319239j,+0+0j,+180519-170118j,+44401.4+22225.5j,+135967-192592j,+0+0j,+135891-192773j,+0+0j,+77944.4+55688.2j,+32692.8-210894j,+4325.93-211089j,+4197.76-211279j,+4058.7-211479j,+330409-273207j,+330404-274002j,+10429.8+2.12727j,+319960-274494j,+10430.4+0.922727j,+18789.9-21479.3j,+300546-254718j,+8890.77+0.780955j,-1.59217e-05+1.60835e-05j,+0+0j,+177847-419231j,+48694.6+213645j,+0+0j,+0+0j,+0+0j,+0+0j,+176781-420657j,+0+0j,+0+0j,+39229.8-232117j,+60381.1-101207j,+21967.5-232582j,-1.68697e-08-1.91611e-08j,+21911.9-232696j,+473.08-233176j,+253.916-233660j,+0+0j,+127.69-233924j,+0+0j,+56844.5-101695j,+0+0j,+34023.7-101997j,+19023.2-102180j,+14837.8+34.1525j,+0+0j,+14838.5+17.8361j,+0+0j,+14841.5+2.64099j,+9240.64+0.650654j,+21767.9-1.14945j,+21766-0.672399j,+3.53326e-06-4.85123e-07j,+3.52956e-06-4.94931e-07j,+0+0j,+26568.1+213274j,+0+0j,+0+0j,+29282.3+12.4806j,-2860.47+213082j,+14904.9+4.97326j,+0+0j,-3065.32+212878j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+206745-184260j,+592027-420935j,+330384-271600j,+226904-204523j,+26732.8+213459j
2016-10-07 09:00:00 PDT,+6300.28+0.281236j,+0+0j,+515168-430217j,+0+0j,+0+0j,+0+0j,+515308-432902j,+1700.03+0.0260895j,+0+0j,+513699-434690j,+0+0j,+0+0j,+224079-163991j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44396.7+22222.1j,+0+0j,+44389.2+22220.7j,-5.22196e-06+8.91502e-06j,+0+0j,-5.23784e-06+8.91564e-06j,+0+0j,-5.27067e-06+8.91416e-06j,+0+0j,+0+0j,+0+0j,-5.24556e-06+8.89338e-06j,-5.26477e-06+8.87474e-06j,-5.26357e-06+8.86723e-06j,+0+0j,+0+0j,+13624.6-21386.4j,+158696-170566j,+0+0j,+13621.1-21409.2j,+3670.17+0.173641j,+0+0j,+158562-170781j,+44516.9+22283.4j,+113911-193281j,+0+0j,+113845-193446j,+0+0j,+78162.1+55843.7j,+10338.4-211694j,-8635.81-211887j,-8768.05-212080j,-8906.4-212279j,+289577-274710j,+289572-275426j,+9579.73+1.81151j,+279979-275869j,+9580.35+0.777123j,+17567-21486.7j,+261857-255925j,+7620.56+0.572483j,+1.02298e-05+4.78191e-07j,+0+0j,+149621-420771j,+38021.5+214427j,+0+0j,+0+0j,+0+0j,+0+0j,+148584-422168j,+0+0j,+0+0j,+22622.9-233192j,+48415.7-101620j,+13978.5-233662j,+2.27103e-08+1.51845e-08j,+13921.9-233779j,+491.249-234271j,+257.822-234766j,+0+0j,+129.606-235031j,+0+0j,+46334.4-102056j,+0+0j,+31325.6-102330j,+19205.7-102505j,+11957.2+26.6975j,+0+0j,+11958.3+13.6717j,+0+0j,+11961+1.76562j,+7950.47+0.479266j,+13834.2-3.50974j,+13833-2.31131j,+2.39491e-05-1.50771e-05j,+2.39654e-05-1.50495e-05j,+0+0j,+23830.9+214066j,+0+0j,+0+0j,+13582.7+2.69292j,+10091.9+213881j,+6971.07+1.08359j,+0+0j,+9893.15+213669j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+179438-187421j,+521289-426799j,+289574-273270j,+187974-205419j,+23992.7+214246j
2016-10-07 10:00:00 PDT,+5970.25+0.252516j,+0+0j,+500925-431235j,+0+0j,+0+0j,+0+0j,+501060-433873j,+1150.01+0.0119361j,+0+0j,+499999-435630j,+0+0j,+0+0j,+218547-164590j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+44416.7+22232.7j,+0+0j,+44409.8+22231j,+1.06821e-05-2.60079e-07j,+0+0j,+1.06646e-05-2.12666e-07j,+0+0j,+1.06474e-05-2.40005e-07j,+0+0j,+0+0j,+0+0j,+1.06859e-05-2.13622e-07j,+1.0683e-05-2.13898e-07j,+1.06906e-05-2.14256e-07j,+0+0j,+0+0j,+13195-21388.7j,+154305-170720j,+0+0j,+13191.5-21411.2j,+3230.13+0.13443j,+0+0j,+154174-170929j,+44540.4+22295.1j,+109503-193433j,+0+0j,+109438-193596j,+0+0j,+78206.1+55875.1j,+5866.11-211871j,-11198.1-212065j,-11331.4-212259j,-11469.7-212457j,+281407-274977j,+281401-275678j,+9469.73+1.77219j,+271918-276113j,+9470.34+0.759105j,+17247.9-21487.8j,+254126-256138j,+7290.52+0.523727j,-7.13331e-06+2.14695e-06j,+0+0j,+143772-421081j,+36083.7+214607j,+0+0j,+0+0j,+0+0j,+0+0j,+142739-422473j,+0+0j,+0+0j,+19367.8-233413j,+45744.6-101705j,+12564.1-233885j,+1.92376e-08+1.13297e-08j,+12507.3-234003j,+495.408-234498j,+258.737-234996j,+0+0j,+130.064-235261j,+0+0j,+44214.1-102130j,+0+0j,+30485.5-102399j,+19245.7-102572j,+11077.2+24.5074j,+0+0j,+11078.3+12.4865j,+0+0j,+11080.9+1.54275j,+7620.43+0.439848j,+12383.6-3.59414j,+12382.6-2.3762j,+1.0468e-05+9.50474e-06j,+1.04551e-05+9.49248e-06j,+0+0j,+23344+214247j,+0+0j,+0+0j,+10531.6+1.61907j,+12654+214062j,+5410.64+0.652254j,+0+0j,+12456.2+213848j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+173897-188011j,+506722-427877j,+281409-273567j,+180183-205575j,+23505.2+214426j
