# file...... node150_swingbus.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# target.... node 185
# trigger... (none)
# interval.. 1800
# limit..... -1
# timestamp,voltage_A,voltage_B,voltage_C
2016-11-04 00:00:00 PDT,-24.3127-2396.75i,-2063.49+1219.43j,+2087.8+1177.32j
2016-11-04 01:00:00 PDT,-24.2468-2396.77i,-2063.54+1219.38j,+2087.79+1177.39j
2016-11-04 02:00:00 PDT,-24.2183-2396.77i,-2063.56+1219.36j,+2087.77+1177.41j
2016-11-04 03:00:00 PDT,-24.223-2396.77i,-2063.55+1219.36j,+2087.78+1177.41j
2016-11-04 04:00:00 PDT,-24.2708-2396.77i,-2063.53+1219.4j,+2087.8+1177.37j
2016-11-04 05:00:00 PDT,-24.4088-2396.75i,-2063.44+1219.51j,+2087.85+1177.24j
2016-11-04 06:00:00 PDT,-24.6007-2396.73i,-2063.33+1219.67j,+2087.93+1177.06j
2016-11-04 07:00:00 PDT,-24.5535-2396.73i,-2063.35+1219.63j,+2087.91+1177.1j
2016-11-04 08:00:00 PDT,-24.3579-2396.75i,-2063.47+1219.47j,+2087.83+1177.28j
2016-11-04 09:00:00 PDT,-24.1073-2396.77i,-2063.61+1219.26j,+2087.72+1177.51j
2016-11-04 10:00:00 PDT,-23.9626-2396.79i,-2063.7+1219.15j,+2087.66+1177.64j
2016-11-04 11:00:00 PDT,-23.8916-2396.79i,-2063.74+1219.09j,+2087.63+1177.71j
2016-11-04 12:00:00 PDT,-23.8109-2396.81i,-2063.79+1219.03j,+2087.61+1177.79j
2016-11-04 13:00:00 PDT,-23.8913-2396.79i,-2063.74+1219.09j,+2087.63+1177.71j
2016-11-04 14:00:00 PDT,-23.9113-2396.79i,-2063.73+1219.1j,+2087.64+1177.69j
2016-11-04 15:00:00 PDT,-24.1366-2396.77i,-2063.6+1219.29j,+2087.73+1177.48j
2016-11-04 16:00:00 PDT,-24.8186-2396.71i,-2063.2+1219.85j,+2088.02+1176.86j
2016-11-04 17:00:00 PDT,-25.256-2396.67i,-2062.95+1220.21j,+2088.2+1176.46j
2016-11-04 18:00:00 PDT,-25.4169-2396.67i,-2062.87+1220.35j,+2088.28+1176.32j
2016-11-04 19:00:00 PDT,-25.3831-2396.67i,-2062.88+1220.32j,+2088.27+1176.35j
2016-11-04 20:00:00 PDT,-25.3209-2396.67i,-2062.92+1220.26j,+2088.24+1176.41j
2016-11-04 21:00:00 PDT,-25.1156-2396.69i,-2063.04+1220.09j,+2088.15+1176.59j
2016-11-04 22:00:00 PDT,-24.8035-2396.71i,-2063.21+1219.83j,+2088.01+1176.87j
2016-11-04 23:00:00 PDT,-24.535-2396.75i,-2063.38+1219.62j,+2087.91+1177.13j
2016-11-05 00:00:00 PDT,-24.3484-2396.75i,-2063.47+1219.46j,+2087.82+1177.29j
2016-11-05 01:00:00 PDT,-24.2758-2396.77i,-2063.53+1219.41j,+2087.8+1177.36j
2016-11-05 02:00:00 PDT,-24.2536-2396.77i,-2063.54+1219.39j,+2087.79+1177.38j
2016-11-05 03:00:00 PDT,-24.2565-2396.77i,-2063.54+1219.39j,+2087.79+1177.38j
2016-11-05 04:00:00 PDT,-24.3222-2396.75i,-2063.49+1219.44j,+2087.81+1177.31j
2016-11-05 05:00:00 PDT,-24.4687-2396.75i,-2063.41+1219.57j,+2087.88+1177.18j
2016-11-05 06:00:00 PDT,-24.6491-2396.73i,-2063.3+1219.71j,+2087.95+1177.02j
2016-11-05 07:00:00 PDT,-24.5685-2396.73i,-2063.34+1219.64j,+2087.91+1177.09j
2016-11-05 08:00:00 PDT,-24.3222-2396.75i,-2063.49+1219.44j,+2087.81+1177.31j
2016-11-05 09:00:00 PDT,-24.0714-2396.77i,-2063.63+1219.23j,+2087.7+1177.54j
2016-11-05 10:00:00 PDT,-23.9293-2396.79i,-2063.72+1219.12j,+2087.65+1177.67j
2016-11-05 11:00:00 PDT,-23.8585-2396.79i,-2063.75+1219.06j,+2087.61+1177.73j
2016-11-05 12:00:00 PDT,-23.7793-2396.81i,-2063.81+1219j,+2087.59+1177.81j
2016-11-05 13:00:00 PDT,-23.8468-2396.79i,-2063.76+1219.05j,+2087.61+1177.74j
2016-11-05 14:00:00 PDT,-23.8669-2396.79i,-2063.75+1219.06j,+2087.62+1177.73j
2016-11-05 15:00:00 PDT,-24.1165-2396.77i,-2063.61+1219.27j,+2087.72+1177.5j
2016-11-05 16:00:00 PDT,-24.8195-2396.71i,-2063.2+1219.85j,+2088.02+1176.86j
2016-11-05 17:00:00 PDT,-25.341-2396.67i,-2062.91+1220.28j,+2088.25+1176.39j
2016-11-05 18:00:00 PDT,-25.5118-2396.65i,-2062.8+1220.42j,+2088.31+1176.23j
2016-11-05 19:00:00 PDT,-25.4754-2396.65i,-2062.82+1220.39j,+2088.3+1176.26j
2016-11-05 20:00:00 PDT,-25.4032-2396.67i,-2062.87+1220.33j,+2088.28+1176.33j
2016-11-05 21:00:00 PDT,-25.1832-2396.69i,-2063+1220.15j,+2088.18+1176.54j
2016-11-05 22:00:00 PDT,-24.8591-2396.71i,-2063.18+1219.88j,+2088.04+1176.83j
2016-11-05 23:00:00 PDT,-24.5777-2396.73i,-2063.34+1219.65j,+2087.92+1177.08j
