# file...... Overhead_lines_power_in_C.csv
# date...... Fri Oct 27 14:52:42 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_C
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-12-02 00:00:00 PST,+0+0j,+87759.5+31896.1j,+805891-13665j,+23794.6+4.64404j,+63876.9+31802.3j,+42994.4+21509.2j,+804070-16772.4j,+0+0j,+0+0j,+802864-18854j,+0+0j,+76395.5+21405.6j,+190640-127500j,+0+0j,+0+0j,+25840.2+10.3767j,+7810.87+0.884914j,+0+0j,+63395.4+11.8012j,+0+0j,+0+0j,+63376.5+9.54867j,+25504.6+14.8236j,+37847.1-4.00972j,+15735.4+3.21303j,+22099.2+2.41269j,+7.69403e-09+2.20222e-09j,+15733.5+3.52012j,+0+0j,+22095.8+5.62775j,+22092.4+5.67161j,-8.56839e-06+5.94281e-06j,+9681.17+1.18113j,+33655.7+15.9544j,+0+0j,+126929-128330j,+0+0j,+0+0j,+0+0j,+3630.17+0.17653j,+123243-128545j,+0+0j,+123190-128755j,+0+0j,+123137-128904j,+0+0j,+75323.2+53822.1j,+10798.6-207963j,-10038.3-208215j,-38692.3-208445j,-38793.6-208691j,+532897+81737.5j,+532323+80669.9j,+1.81926e-08-2.87532e-08j,+531976+79990.9j,+3.79348e-10+3.08315e-08j,+0+0j,+531553+78819.9j,+0+0j,+1.23417e-05-6.9498e-06j,+0+0j,+232846-208094j,+149538+233814j,+0+0j,+0+0j,+0+0j,+89710.5+22429.5j,+143291-231061j,+69228.7+22336.5j,+24649.5+9.66066j,+43397.9-225589j,+24302.3-56439.1j,+43219.8-225972j,-2.09459e-08-2.07866e-08j,+43172.4-226060j,+42873.4-226513j,+11392.6-226960j,+31166.4+36.8868j,+11257.5-227170j,+24651.1+11.288j,+24457.3-56599.3j,+0+0j,+24564.1-56696.5j,+0+0j,+24635.5-56761.4j,+24684.1-56811.2j,+4.22189e-07-2.15678e-05j,+0+0j,+4.63267e-07-2.16566e-05j,+0+0j,+44369.5+22243.6j,+44360.1+22227.9j,+44349.8+22192.7j,+4.22598e-06+5.6812e-07j,+64651.8+103.104j,+40062.6+210842j,+55814.7+65.5698j,+29944.8+25.1157j,+0+0j,+39838.3+210615j,+0+0j,+0+0j,+39574.5+210296j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+126927-128002j,+896963+23719.6j,+534092+83828.3j,+382705+25969.3j,+104909+211202j
2016-12-02 01:00:00 PST,+0+0j,+75413.8+677.468j,+746524-205786j,+22354.1+4.10572j,+53002.2+615.037j,+42969.4+21496.7j,+744216-208396j,+0+0j,+0+0j,+742681-210145j,+0+0j,+74307.7+21374.9j,+160979-206929j,+0+0j,+0+0j,+24719.4+9.50795j,+6900.68+0.691564j,+0+0j,+58760+90.044j,+0+0j,+0+0j,+58726.6+57.118j,+23842.8+12.9835j,+34847.5+19.5777j,+13946.5+5.73533j,+20880.4+5.39675j,+5.59463e-10+1.21895e-08j,+13942.7+2.78617j,+0+0j,+20875.3+4.6627j,+20872.2+5.07713j,-1.84353e-06+3.06225e-06j,+8640.93+0.943763j,+31624.2+14.3481j,+0+0j,+101248-208226j,+0+0j,+0+0j,+0+0j,+3180.13+0.135433j,+97965.4-208536j,+0+0j,+97866.7-208843j,+0+0j,+97781.9-209060j,+0+0j,+75512.5+53957j,-2447.65-226020j,-21646.4-226296j,-48295.5-226557j,-48361.1-226843j,+503848-28902.1j,+503207-29658.7j,-1.06581e-08-1.28193e-08j,+502814-30143.3j,-1.46415e-09+2.0331e-08j,+0+0j,+502371-30802.2j,+0+0j,-1.94287e-06-2.72367e-06j,+0+0j,+199617-336141j,+154692+252591j,+0+0j,+0+0j,+0+0j,+87389+22539.2j,+112457-359527j,+67912+22451j,+23098.3+8.43802j,+39891.2-226990j,+22633.3-56853.3j,+39719.7-227362j,-1.23963e-08-4.44847e-09j,+39674.4-227448j,+39382.6-227891j,+10256.4-228325j,+28821.2+31.6111j,+10123.8-228534j,+23099.7+9.85113j,+22838.5-56996.2j,+0+0j,+22980.8-57088j,+0+0j,+23074.4-57150.1j,+23133.5-57207.1j,-7.02592e-06-1.09002e-05j,+0+0j,-6.99153e-06-1.0981e-05j,+0+0j,+44536.6+22328j,+44527.3+22311.8j,+44516.4+22276j,+3.19493e-06+1.48993e-05j,+60529.2+90.3917j,+49278.8+229375j,+52656.9+57.6108j,+27911.5+21.738j,+0+0j,+49108+229092j,+0+0j,+0+0j,+48906.2+228706j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+101262-207788j,+825753-200574j,+505161-27435.1j,+354397-83270j,+109952+229797j
2016-12-02 02:00:00 PST,+0+0j,+74792.3+679.147j,+734686-206338j,+21723.8+3.87691j,+53011.9+617.91j,+42975.8+21499.9j,+732448-208863j,+0+0j,+0+0j,+730960-210554j,+0+0j,+73423.2+21381.9j,+155874-207052j,+0+0j,+0+0j,+24249+9.14583j,+6470.6+0.6078j,+0+0j,+56643.8+83.0894j,+0+0j,+0+0j,+56612.1+52.5685j,+23112+12.1929j,+33465.5+17.7206j,+13095.9+5.09774j,+20350+4.94706j,+8.11586e-09-5.95331e-09j,+13092.4+2.46077j,+0+0j,+20345.1+4.30628j,+20342+4.81971j,+6.34554e-06+8.37569e-06j,+8140.83+0.83718j,+30723.5+13.6678j,+0+0j,+98286.7-208316j,+0+0j,+0+0j,+0+0j,+2970.12+0.118069j,+95215.1-208623j,+0+0j,+95116.7-208928j,+0+0j,+95032.4-209143j,+0+0j,+75557.4+53989.1j,-5265.48-226133j,-23719.8-226408j,-49489.1-226671j,-49555.7-226958j,+498214-29069.5j,+497587-29808.2j,+2.62371e-10+7.94737e-09j,+497203-30281j,+2.09836e-08+7.61621e-09j,+0+0j,+496773-30912.5j,+0+0j,-1.11295e-05+1.11205e-05j,+0+0j,+196309-336330j,+154063+252718j,+0+0j,+0+0j,+0+0j,+86305.6+22550.5j,+110233-359719j,+67260.7+22464.5j,+22417.8+7.94278j,+38284.5-227153j,+21956.9-56884.7j,+38113.8-227523j,-1.02414e-08+9.71742e-09j,+38068.8-227609j,+37778.3-228051j,+9706.26-228484j,+27769.1+29.4588j,+9573.47-228693j,+22419.2+9.27234j,+22160.2-57027.6j,+0+0j,+22301.4-57119.6j,+0+0j,+22394.5-57181.9j,+22453.1-57238.8j,-2.37104e-06-8.65045e-06j,+0+0j,-2.3591e-06-8.7283e-06j,+0+0j,+44565.3+22342.5j,+44556.1+22326.3j,+44545+22290.4j,+2.86257e-06+1.6015e-05j,+58674+85.0698j,+50477.5+229496j,+51263.6+54.2878j,+26990+20.3117j,+0+0j,+50307.2+229212j,+0+0j,+0+0j,+50105.9+228827j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+98302.1-207880j,+813186-201265j,+499497-27636.7j,+350453-83343.1j,+109296+229912j
2016-12-02 03:00:00 PST,+0+0j,+74733.1+679.294j,+734882-206322j,+21663.8+3.85546j,+53012.8+618.17j,+42976.4+21500.2j,+732642-208850j,+0+0j,+0+0j,+731152-210544j,+0+0j,+73373.4+21382j,+155790-207048j,+0+0j,+0+0j,+24199+9.10807j,+6470.6+0.607796j,+0+0j,+56523.4+82.7062j,+0+0j,+0+0j,+56491.8+52.3185j,+23052+12.1296j,+33405.4+17.639j,+13095.9+5.09769j,+20290+4.8978j,-2.02472e-08-2.91383e-08j,+13092.4+2.46075j,+0+0j,+20285.1+4.2671j,+20282+4.79127j,+2.02517e-06+7.24949e-06j,+8140.83+0.837173j,+30673.4+13.6172j,+0+0j,+98322.9-208312j,+0+0j,+0+0j,+0+0j,+2970.12+0.118069j,+95251.2-208619j,+0+0j,+95152.6-208923j,+0+0j,+95068.3-209139j,+0+0j,+75557.5+53989.1j,-5229.74-226129j,-23654.1-226404j,-49363.6-226666j,-49430.3-226953j,+498535-29069.4j,+497907-29809.9j,-5.42625e-09+1.97077e-08j,+497522-30283.8j,-2.55556e-08+2.9454e-09j,+0+0j,+497091-30917.8j,+0+0j,+3.59744e-06+3.42715e-06j,+0+0j,+196066-336327j,+153828+252710j,+0+0j,+0+0j,+0+0j,+86184.7+22549.9j,+110111-359715j,+67200+22464.1j,+22357.8+7.90038j,+38224.2-227149j,+21897.1-56883.7j,+38053.5-227520j,-1.25529e-08+4.56795e-09j,+38008.5-227605j,+37718.1-228047j,+9706.29-228480j,+27708.9+29.3224j,+9573.49-228689j,+22359.1+9.22287j,+22100.3-57026.6j,+0+0j,+22241.4-57118.7j,+0+0j,+22334.5-57181j,+22393.1-57238j,-1.56527e-05+5.59165e-06j,+0+0j,-1.56704e-05+5.57374e-06j,+0+0j,+44564.6+22342.2j,+44555.4+22325.9j,+44544.3+22290j,+5.59654e-06+1.12255e-06j,+58563.6+84.7188j,+50352.9+229490j,+51153.3+54.0521j,+26930+20.2216j,+0+0j,+50182.5+229206j,+0+0j,+0+0j,+49981.1+228820j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+98338.5-207876j,+813325-201245j,+499821-27632.6j,+349974-83350.1j,+109061+229905j
2016-12-02 04:00:00 PST,+0+0j,+76749.1+677.926j,+754557-205337j,+23694.6+4.61342j,+52994.9+612.899j,+42964.6+21494.3j,+752199-208035j,+0+0j,+0+0j,+750631-209843j,+0+0j,+75390.4+21372.5j,+164433-206771j,+0+0j,+0+0j,+26280.6+10.7494j,+6430.59+0.600693j,+0+0j,+60485+95.9028j,+0+0j,+0+0j,+60450.2+60.9583j,+25084.2+14.3746j,+35328.2+20.4249j,+12985.9+5.01554j,+22321.5+6.68316j,-8.98009e-10-1.1545e-09j,+12982.4+2.41316j,+0+0j,+22316+5.68234j,+22312.5+5.80373j,-1.09215e-05+7.59274e-07j,+8030.8+0.815394j,+32715.6+15.791j,+0+0j,+102950-208109j,+0+0j,+0+0j,+0+0j,+2970.12+0.118164j,+99876.4-208422j,+0+0j,+99776.4-208732j,+0+0j,+99690.3-208952j,+0+0j,+75493.6+53943.4j,-500.571-225894j,-19787.6-226169j,-47477.4-226430j,-47543.2-226716j,+507200-28876.9j,+506552-29650.9j,-1.86957e-08-4.182e-09j,+506154-30145.5j,-1.25469e-08-9.22057e-09j,+0+0j,+505707-30826.7j,+0+0j,+2.10285e-05+1.61803e-05j,+0+0j,+203873-336073j,+155806+252463j,+0+0j,+0+0j,+0+0j,+90210.2+22539.2j,+113888-359463j,+69187.8+22445.6j,+24389.3+9.41128j,+40089.2-226928j,+23916.6-56836.4j,+39916.6-227303j,+5.34575e-09-2.89295e-10j,+39870.9-227389j,+39577.3-227835j,+9536.4-228274j,+29733.7+34.1515j,+9403.4-228483j,+24390.8+10.9863j,+24124.8-56975j,+0+0j,+24269.2-57063.7j,+0+0j,+24364-57124.1j,+24424.1-57180j,+2.32483e-06-7.22365e-06j,+0+0j,+2.36195e-06-7.27815e-06j,+0+0j,+44526+22322.2j,+44516.8+22306.4j,+44506.4+22271j,+1.14996e-05-1.57263e-05j,+62476.2+97.518j,+48458+229247j,+55151.8+62.5854j,+28842.9+23.2213j,+0+0j,+48287.7+228966j,+0+0j,+0+0j,+48086.8+228580j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+102966-207667j,+835213-199979j,+508528-27378.5j,+359777-83309.4j,+111077+229676j
2016-12-02 05:00:00 PST,+0+0j,+81537.5+672.836j,+813094-202277j,+28526.6+6.69231j,+52943.6+597.909j,+42930+21477j,+810371-205480j,+0+0j,+0+0j,+808559-207626j,+0+0j,+80758.6+21342.4j,+189389-205992j,+0+0j,+0+0j,+31255+15.2342j,+6900.68+0.69311j,+0+0j,+71139+136.569j,+0+0j,+0+0j,+71094.8+87.7459j,+30040.4+20.6703j,+41007.2+29.8577j,+13946.6+5.75918j,+27035.6+11.7592j,+7.67184e-09+1.20765e-08j,+13942.8+2.79441j,+0+0j,+27028.4+9.67721j,+27023.6+8.53672j,-7.48909e-06+2.32831e-05j,+8640.93+0.946551j,+38161.7+21.9817j,+0+0j,+117091-207551j,+0+0j,+0+0j,+0+0j,+3180.13+0.135813j,+113804-207881j,+0+0j,+113700-208207j,+0+0j,+113608-208439j,+0+0j,+75289.9+53797.7j,+13743.2-225240j,-8565.96-225516j,-41416.5-225773j,-41478.9-226056j,+534311-28137.2j,+533596-29013.3j,-3.65545e-08-1.10286e-09j,+533158-29573.3j,+3.53063e-08-1.18586e-08j,+0+0j,+532648-30405.3j,+0+0j,+5.41471e-06-1.19231e-05j,+0+0j,+223830-335224j,+160402+251763j,+0+0j,+0+0j,+0+0j,+99576.4+22499.2j,+124469-358617j,+73944.8+22386.1j,+29283.4+13.612j,+46116.2-226203j,+28781.4-56685.1j,+45940-226589j,+2.03212e-08-1.42894e-08j,+45892.7-226677j,+45592.1-227131j,+10256.5-227585j,+35017.5+48.117j,+10123.8-227792j,+29285.7+15.8904j,+29002.1-56816.4j,+0+0j,+29154.4-56899.3j,+0+0j,+29253.5-56956.1j,+29317.1-57010.5j,-1.53402e-06-1.00602e-05j,+0+0j,-1.56454e-06-1.0156e-05j,+0+0j,+44398.7+22256.8j,+44389.5+22242j,+44380.8+22208.1j,+2.71344e-07+3.13998e-06j,+73284.5+136.3j,+42372.5+228563j,+65396.9+88.0938j,+34102.1+32.5725j,+0+0j,+42200.9+228291j,+0+0j,+0+0j,+42000.4+227903j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+117109-207089j,+899132-196091j,+535783-26447.9j,+384374-83072j,+115798+229038j
2016-12-02 06:00:00 PST,+0+0j,+88247.3+663.248j,+914818-196387j,+35310.1+10.2672j,+52858.2+572.959j,+42872.8+21448.4j,+911393-200558j,+0+0j,+0+0j,+909117-203353j,+0+0j,+90295.1+21292.3j,+231415-204559j,+0+0j,+0+0j,+39113.6+23.9424j,+8711.09+1.10839j,+0+0j,+88361.8+217.374j,+0+0j,+0+0j,+88300.3+141.088j,+37231.5+31.8986j,+51004.7+49.8937j,+17549.5+8.92629j,+33421.9+20.7491j,+2.07752e-09-1.93534e-08j,+17544.4+4.42325j,+0+0j,+33412.5+16.698j,+33405.6+13.1079j,-1.07247e-05+1.17834e-06j,+10791.5+1.48348j,+47834.1+34.5959j,+0+0j,+141593-206550j,+0+0j,+0+0j,+0+0j,+4050.22+0.221308j,+137426-206912j,+0+0j,+137313-207267j,+0+0j,+137213-207524j,+0+0j,+74924.8+53536.9j,+37918.4-224083j,+10346.6-224364j,-30336.1-224616j,-30392.7-224892j,+582358-26641.2j,+581514-27711.5j,+3.04122e-09+5.55501e-09j,+580997-28397j,-1.05702e-08-8.41106e-09j,+0+0j,+580355-29524.1j,+0+0j,-1.39487e-06+1.0582e-05j,+0+0j,+253987-333647j,+167014+250530j,+0+0j,+0+0j,+0+0j,+112330+22422.6j,+141862-357043j,+80688.7+22279.4j,+36270.7+21.0045j,+57103.7-224873j,+35723.1-56408.5j,+56921.5-225275j,+1.38911e-08+2.47282e-08j,+56871.3-225365j,+56558.5-225832j,+12657.2-226316j,+43563.7+74.6798j,+12525.4-226519j,+36274.2+24.526j,+35963.7-56534.2j,+0+0j,+36128.1-56611.7j,+0+0j,+36233.5-56665.1j,+36302.2-56719.1j,-1.08211e-05+7.50986e-06j,+0+0j,-1.08415e-05+7.52843e-06j,+0+0j,+44166.7+22138.1j,+44157.6+22125.1j,+44151.4+22093.4j,-1.9454e-06+1.38149e-05j,+91238.9+211.676j,+31259.6+227357j,+81354.8+136.552j,+42179.5+50.1364j,+0+0j,+31083.6+227093j,+0+0j,+0+0j,+30882.2+226702j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+141615-206049j,+1.00867e+06-188643j,+584106-24585.4j,+421214-82581.1j,+122639+227917j
2016-12-02 07:00:00 PST,+0+0j,+89421+654.642j,+962367-193379j,+36520.8+10.9901j,+52819+561.439j,+42846.7+21435.3j,+958570-198018j,+0+0j,+0+0j,+956049-201130j,+0+0j,+92354.8+21259.1j,+250161-203884j,+0+0j,+0+0j,+39033.6+23.8866j,+10921.7+1.74541j,+0+0j,+95129+253.745j,+0+0j,+0+0j,+95059.9+164.897j,+38944.5+34.9859j,+56044.1+60.4638j,+21873.6+13.5707j,+34132.7+21.9656j,-4.39448e-09-2.33874e-08j,+21866.7+6.8245j,+0+0j,+34123+17.6391j,+34115.8+13.705j,+6.50301e-06+9.38909e-06j,+13262.2+2.24633j,+49965.6+36.0651j,+0+0j,+153420-206065j,+0+0j,+0+0j,+0+0j,+5160.36+0.36014j,+148136-206441j,+0+0j,+148020-206807j,+0+0j,+147913-207073j,+0+0j,+74726+53394.7j,+48911.5-223510j,+18736.4-223794j,-24357.6-224042j,-24411.7-224313j,+607954-25771j,+607026-26951.4j,-2.17028e-08-2.18e-08j,+606461-27709.7j,-1.2131e-08+7.16398e-09j,+0+0j,+605721-29010.7j,+0+0j,+1.34019e-06-2.02599e-06j,+0+0j,+262782-332737j,+165670+249865j,+0+0j,+0+0j,+0+0j,+113871+22362.8j,+149121-356106j,+82015.6+22215.4j,+37732.5+22.8027j,+63176.1-224101j,+37170.5-56252.6j,+62990.4-224506j,+4.9654e-09-1.45753e-08j,+62938.7-224596j,+62619.6-225066j,+15298.5-225560j,+46974+85.1415j,+15167.2-225759j,+37736.3+26.6355j,+37418.2-56382.6j,+0+0j,+37586.1-56462.1j,+0+0j,+37693.2-56516.6j,+37763.4-56572j,-1.03084e-05+8.2855e-06j,+0+0j,-1.03118e-05+8.26682e-06j,+0+0j,+44029.6+22069.1j,+44020.3+22056.2j,+44014+22024.6j,+5.8103e-06+2.15071e-06j,+96009+232.042j,+25278.1+226743j,+83826.6+148.599j,+44725.8+56.5575j,+0+0j,+25097.8+226481j,+0+0j,+0+0j,+24893.9+226090j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+153445-205546j,+1.05794e+06-184911j,+609872-23500.9j,+428678-82314.6j,+121428+227322j
2016-12-02 08:00:00 PST,+0+0j,+78527.2+658.771j,+843784-200463j,+25545.3+5.36826j,+52919.5+590.089j,+42916.6+21470.3j,+840821-203961j,+0+0j,+0+0j,+838852-206306j,+0+0j,+83530.5+21321.1j,+194129-205639j,+0+0j,+0+0j,+32396.2+16.3879j,+8581.06+1.07314j,+0+0j,+68651.3+126.701j,+0+0j,+0+0j,+68609.3+81.197j,+27437+17.2682j,+41127.3+29.3492j,+17429.4+8.82904j,+23672.7+8.06081j,-4.60803e-09-2.93164e-09j,+17424.3+4.40475j,+0+0j,+23666.7+6.76154j,+23662.8+6.55467j,+6.31695e-06-6.01369e-07j,+10921.5+1.5145j,+40984.1+24.4529j,+0+0j,+124283-207191j,+0+0j,+0+0j,+0+0j,+3900.2+0.204621j,+120270-207526j,+0+0j,+120161-207856j,+0+0j,+120065-208091j,+0+0j,+75150.7+53698.3j,+20403.1-224801j,-2723.49-225074j,-33766.4-225325j,-33830.3-225597j,+556713-27666j,+555926-28646.2j,+2.80471e-08-3.06417e-09j,+555445-29275.7j,+1.36859e-08-5.08653e-09j,+0+0j,+554832-30262.5j,+0+0j,+8.00946e-06+4.16135e-06j,+0+0j,+215441-334579j,+154504+251163j,+0+0j,+0+0j,+0+0j,+92923.7+22426.8j,+122749-357888j,+71045.5+22327.4j,+26491+11.1651j,+47393.7-225601j,+26000.3-56553.8j,+47219.1-225976j,-1.69561e-08-1.48405e-08j,+47172.4-226062j,+46874.7-226506j,+13017.4-226947j,+33542.1+42.6889j,+12885.9-227149j,+26492.9+13.0391j,+26217-56695.9j,+0+0j,+26366.1-56785.9j,+0+0j,+26463.2-56846.4j,+26525.2-56903.2j,-1.97043e-06-8.92217e-06j,+0+0j,-1.98914e-06-8.98444e-06j,+0+0j,+44286.2+22200.7j,+44277.7+22185.9j,+44269.2+22152.4j,-6.82865e-07+5.01741e-07j,+75114.4+136.196j,+34755+228035j,+65184.3+85.4225j,+32749.7+30.1183j,+0+0j,+34578+227762j,+0+0j,+0+0j,+34372.8+227382j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+124308-206724j,+927105-193881j,+558328-25763.6j,+370050-83092.1j,+110014+228504j
2016-12-02 09:00:00 PST,+0+0j,+71531.4+668.007j,+752900-205039j,+18482.8+2.80685j,+52996.9+612.72j,+42968.6+21496.3j,+750501-207795j,+0+0j,+0+0j,+748905-209641j,+0+0j,+74540.3+21366.7j,+152706-206690j,+0+0j,+0+0j,+25690.1+10.2738j,+6180.55+0.554995j,+0+0j,+49775+62.9238j,+0+0j,+0+0j,+49748.6+39.4842j,+19868.9+9.01746j,+29850.5+13.3661j,+12725.7+4.8995j,+17107.8+2.59408j,+2.62653e-08-8.41588e-09j,+12722.4+2.38842j,+0+0j,+17103.8+2.4228j,+17101.4+3.40855j,+2.60808e-06-2.04003e-06j,+8220.84+0.854285j,+31874.8+15.0453j,+0+0j,+101988-207912j,+0+0j,+0+0j,+0+0j,+2700.1+0.0976692j,+99179.1-208223j,+0+0j,+99073.1-208530j,+0+0j,+98982.3-208747j,+0+0j,+75475.4+53930.3j,-1183.61-225671j,-18633.4-225940j,-41367.6-226196j,-41439.5-226471j,+517927-28956.4j,+517236-29804.7j,-7.95222e-09-2.07056e-08j,+516814-30347.6j,-1.8851e-09-1.93205e-09j,+0+0j,+516289-31129j,+0+0j,+2.09726e-05-2.13866e-06j,+0+0j,+183020-335893j,+144576+252057j,+0+0j,+0+0j,+0+0j,+79727.8+22491.6j,+103535-359197j,+63934.4+22417.2j,+19175.7+5.8217j,+35019.4-226716j,+18728.3-56766.9j,+34852.3-227076j,+1.07895e-08-3.94484e-08j,+34808.7-227160j,+34524.1-227593j,+10116.7-228013j,+24111.8+22.0474j,+9984.21-228219j,+19176.7+6.79686j,+18925.8-56915.9j,+0+0j,+19063.4-57012.5j,+0+0j,+19154.4-57077.5j,+19211.5-57135.8j,-6.92103e-06+9.83884e-06j,+0+0j,-6.92444e-06+9.77989e-06j,+0+0j,+44480+22300j,+44471.6+22283.7j,+44461+22248.3j,+8.20045e-06+4.60028e-06j,+57347.1+78.1588j,+42405+228917j,+49938.1+48.6974j,+24226.2+16.395j,+0+0j,+42230.8+228637j,+0+0j,+0+0j,+42026.5+228264j,+0+0j,+0+0j,+0+0j,+0+0j,+0+0j,+102015-207476j,+828330-199666j,+519334-27298.7j,+327629-83647.8j,+99897.4+229313j
