LineData,,,,
Line256/257/258,,,,
Bus153-Bus154,,,,
Dates,Pfrom(kW),Qfrom(KVar),Pto(kW),Qto(kVar)
03/01/2017 00:00,284.9,27.05,-284.9,-17.59
03/01/2017 01:00,275.9,27.44,-275.9,-18.57
03/01/2017 02:00,271.6,27.63,-271.6,-19.04
03/01/2017 03:00,273.2,27.56,-273.2,-18.86
03/01/2017 04:00,276.9,27.4,-276.9,-18.46
03/01/2017 05:00,297.4,26.49,-297.4,-16.17
03/01/2017 06:00,331.9,24.94,-331.9,-12.06
03/01/2017 07:00,342.5,24.45,-342.5,-10.73
03/01/2017 08:00,330.3,25.01,-330.3,-12.26
03/01/2017 09:00,325.4,25.23,-325.4,-12.86
03/01/2017 10:00,315.6,25.68,-315.6,-14.05
03/01/2017 11:00,304.1,26.19,-304.1,-15.4
03/01/2017 12:00,298.2,26.45,-298.2,-16.08
03/01/2017 13:00,299.5,26.4,-299.5,-15.93
03/01/2017 14:00,301.8,26.29,-301.8,-15.66
03/01/2017 15:00,306.7,26.07,-306.7,-15.1
03/01/2017 16:00,310.5,25.91,-310.5,-14.65
03/01/2017 17:00,329.7,25.04,-329.7,-12.33
03/01/2017 18:00,358.8,23.69,-358.8,-8.597
03/01/2017 19:00,361.2,23.58,-361.2,-8.279
03/01/2017 20:00,352.1,24.01,-352.1,-9.482
03/01/2017 21:00,335.1,24.79,-335.1,-11.66
03/01/2017 22:00,311.1,25.88,-311.1,-14.58
03/01/2017 23:00,295.3,26.58,-295.3,-16.41
03/02/2017 00:00,284.9,27.05,-284.9,-17.59
03/02/2017 01:00,275.9,27.44,-275.9,-18.57
03/02/2017 02:00,271.6,27.63,-271.6,-19.04
03/02/2017 03:00,273.2,27.56,-273.2,-18.86
03/02/2017 04:00,276.9,27.4,-276.9,-18.46
03/02/2017 05:00,297.4,26.49,-297.4,-16.17
03/02/2017 06:00,331.9,24.94,-331.9,-12.06
03/02/2017 07:00,342.5,24.45,-342.5,-10.73
03/02/2017 08:00,330.3,25.01,-330.3,-12.26
03/02/2017 09:00,325.4,25.23,-325.4,-12.86
03/02/2017 10:00,315.6,25.68,-315.6,-14.05
03/02/2017 11:00,304.1,26.19,-304.1,-15.4
03/02/2017 12:00,298.2,26.45,-298.2,-16.08
03/02/2017 13:00,299.5,26.4,-299.5,-15.93
03/02/2017 14:00,301.8,26.29,-301.8,-15.66
03/02/2017 15:00,306.7,26.07,-306.7,-15.1
03/02/2017 16:00,310.5,25.91,-310.5,-14.65
03/02/2017 17:00,329.7,25.04,-329.7,-12.33
03/02/2017 18:00,358.8,23.69,-358.8,-8.597
