,node,voltage_magnitude,voltage_angle,active_power,reactive_power,month,hour_of_day,day_of_month,daytype,timezone
0,WECCbus157,1.0154698,-0.80895408,3.0261449000000002,0.21853686,january,0,1,weekday,
6,WECCbus157,1.0308653,-0.78738026,2.7897634,-0.26463509,january,1,1,weekday,
12,WECCbus157,1.0311475,-0.78296692,2.755662,-0.26539522,january,2,1,weekday,
18,WECCbus157,1.0312244000000002,-0.78173551,2.7464551,-0.26559156,january,3,1,weekday,
24,WECCbus157,1.0312415000000001,-0.78142658,2.7445626,-0.26560964,january,4,1,weekday,
30,WECCbus157,1.0310386999999999,-0.78463525,2.7691812999999996,-0.26509302,january,5,1,weekday,
36,WECCbus157,1.0304290999999999,-0.79399843,2.8419338,-0.2632828,january,6,1,weekday,
42,WECCbus157,1.0293671999999998,-0.80940468,2.964825,-0.25931481,january,7,1,weekday,
48,WECCbus157,1.0290834999999998,-0.81286009,2.9989971,-0.25773675,january,8,1,weekday,
54,WECCbus157,1.0306911,-0.78821645,2.8196466,-0.262886,january,9,1,weekday,
60,WECCbus157,1.031893,-0.76944457,2.6701865000000002,-0.2660239,january,10,1,weekday,
66,WECCbus157,1.032712,-0.75692114,2.5562563,-0.2679688,january,11,1,weekday,
72,WECCbus157,1.0328431999999999,-0.75472886,2.5379659,-0.26812021,january,12,1,weekday,
78,WECCbus157,1.0328800999999999,-0.75417852,2.5324242000000003,-0.26820342,january,13,1,weekday,
84,WECCbus157,1.0328674999999998,-0.75443204,2.5339944,-0.26821968,january,14,1,weekday,
90,WECCbus157,1.032504,-0.76014765,2.5858731,-0.26753657,january,15,1,weekday,
96,WECCbus157,1.0316395,-0.77339059,2.7032336,-0.26540459,january,16,1,weekday,
102,WECCbus157,1.0290934999999999,-0.81378578,2.9921233,-0.25844292,january,17,1,weekday,
108,WECCbus157,1.0268382,-0.83666222,3.2620299,-0.24183694,january,18,1,weekday,
114,WECCbus157,1.0258268,-0.85030838,3.3570759,-0.23654033,january,19,1,weekday,
120,WECCbus157,1.0256679,-0.85853964,3.3452773999999996,-0.24034970000000003,january,20,1,weekday,
126,WECCbus157,1.0260502,-0.8538370999999999,3.3079909,-0.24264475,january,21,1,weekday,
132,WECCbus157,1.0271021999999999,-0.84051253,3.2039495,-0.24872485,january,22,1,weekday,
138,WECCbus157,1.0286249,-0.82011563,3.0449734,-0.25631755,january,23,1,weekday,
144,WECCbus157,1.0298863999999999,-0.80216496,2.9047908,-0.26151407,january,0,3,weekend,
150,WECCbus157,1.0306799999999998,-0.79026243,2.8117825,-0.26411072,january,1,3,weekend,
156,WECCbus157,1.0309815999999998,-0.78557684,2.7755513,-0.26494118,january,2,3,weekend,
162,WECCbus157,1.0310738000000002,-0.78412247,2.764442,-0.26517838,january,3,3,weekend,
168,WECCbus157,1.0310924000000001,-0.78383286,2.7621569,-0.26522899,january,4,3,weekend,
174,WECCbus157,1.0308712,-0.7872566,2.7889793,-0.26460317,january,5,3,weekend,
180,WECCbus157,1.0302235999999998,-0.79707532,2.8657149,-0.26256417,january,6,3,weekend,
186,WECCbus157,1.0291136,-0.81304139,2.9926212000000003,-0.25826441,january,7,3,weekend,
192,WECCbus157,1.0288591999999999,-0.81601087,3.0234131,-0.25674769,january,8,3,weekend,
198,WECCbus157,1.030765,-0.78719751,2.809798,-0.26312968,january,9,3,weekend,
204,WECCbus157,1.0320109,-0.76763299,2.6539292999999997,-0.26626916,january,10,3,weekend,
210,WECCbus157,1.0327947,-0.7554701,2.5444849,-0.26795738,january,11,3,weekend,
216,WECCbus157,1.0328694999999999,-0.75409102,2.5347147,-0.26796431,january,12,3,weekend,
222,WECCbus157,1.0329195,-0.7532978,2.5274517999999997,-0.26804922,january,13,3,weekend,
228,WECCbus157,1.0329291999999999,-0.75318268,2.5257631000000003,-0.26808138,january,14,3,weekend,
234,WECCbus157,1.0327913,-0.75570448,2.5438871,-0.26804738,january,15,3,weekend,
240,WECCbus157,1.0317601,-0.77131017,2.6881616000000004,-0.26551819,january,16,3,weekend,
246,WECCbus157,1.0292856,-0.80584086,2.9953161,-0.2556064,january,17,3,weekend,
252,WECCbus157,1.0264491,-0.84263035,3.2953129999999997,-0.2402311,january,18,3,weekend,
258,WECCbus157,1.025161,-0.86270123,3.4008498999999994,-0.23546266,january,19,3,weekend,
264,WECCbus157,1.0251458,-0.8648662,3.3943452000000005,-0.23698487,january,20,3,weekend,
270,WECCbus157,1.025543,-0.8600565999999998,3.3565242,-0.23947081,january,21,3,weekend,
276,WECCbus157,1.0266737,-0.84599006,3.2466916,-0.24627712,january,22,3,weekend,
282,WECCbus157,1.0282974,-0.82466442,3.079744,-0.25482985,january,23,3,weekend,
0,WECCbus57,0.99343964,-1.748537,2.6546991,0.53686136,january,0,1,weekday,
6,WECCbus57,1.0127398,-1.7205990000000002,2.1725338,-0.18037409,january,1,1,weekday,
12,WECCbus57,1.0129809,-1.7164355,2.136918,-0.18200227,january,2,1,weekday,
18,WECCbus57,1.0130539,-1.715195,2.1250854,-0.18254812,january,3,1,weekday,
24,WECCbus57,1.0130809,-1.7147791000000001,2.1209919,-0.18274122,january,4,1,weekday,
30,WECCbus57,1.0129025999999999,-1.7178474,2.1444209,-0.18171529,january,5,1,weekday,
36,WECCbus57,1.0123933,-1.7265793,2.2180871,-0.17816743,january,6,1,weekday,
42,WECCbus57,1.0115969,-1.7401426,2.327937,-0.17230991,january,7,1,weekday,
48,WECCbus57,1.0115571,-1.7415101999999998,2.3226464,-0.17279648,january,8,1,weekday,
54,WECCbus57,1.0131495000000001,-1.7154075,1.9864477999999999,-0.19006722,january,9,1,weekday,
60,WECCbus57,1.0140444,-1.698826,1.8494121,-0.19418038,january,10,1,weekday,
66,WECCbus57,1.0143582,-1.6913561999999998,1.8375591,-0.19369449,january,11,1,weekday,
72,WECCbus57,1.0144435,-1.6896354999999998,1.8305391,-0.19375619,january,12,1,weekday,
78,WECCbus57,1.0144463,-1.6894401999999997,1.8300409,-0.19374899,january,13,1,weekday,
84,WECCbus57,1.0144273000000001,-1.6897779999999998,1.8357846999999998,-0.19356334,january,14,1,weekday,
90,WECCbus57,1.014285,-1.6932194,1.8464433999999998,-0.19357063,january,15,1,weekday,
96,WECCbus57,1.0138943999999999,-1.7019078999999997,1.8805205000000003,-0.19327143,january,16,1,weekday,
102,WECCbus57,1.0111925,-1.745945,2.391571,-0.16813718,january,17,1,weekday,
108,WECCbus57,1.0117789000000001,-1.7438311000000002,1.9730198,-0.19384400000000002,january,18,1,weekday,
114,WECCbus57,1.0107694999999999,-1.7592955000000001,2.1566976,-0.18526900000000002,january,19,1,weekday,
120,WECCbus57,1.0085437,-1.7863251,2.7350321,-0.14213639,january,20,1,weekday,
126,WECCbus57,1.0088304,-1.7821331999999999,2.7003022999999997,-0.14510328,january,21,1,weekday,
132,WECCbus57,1.0096691999999998,-1.7698281999999999,2.5938103999999997,-0.15393210000000002,january,22,1,weekday,
138,WECCbus57,1.0109017,-1.7509211999999998,2.4316471,-0.16565267,january,23,1,weekday,
144,WECCbus57,1.0119264000000001,-1.7343499,2.2903971000000003,-0.17431678,january,0,3,weekend,
150,WECCbus57,1.0125746,-1.7233796000000001,2.1939802999999998,-0.17935315,january,1,3,weekend,
156,WECCbus57,1.0128319,-1.7189653999999999,2.154809,-0.18122063,january,2,3,weekend,
162,WECCbus57,1.0129137,-1.7175582999999999,2.1393823,-0.18197697,january,3,3,weekend,
168,WECCbus57,1.0129285,-1.7172968999999998,2.1370638,-0.18208188,january,4,3,weekend,
174,WECCbus57,1.0127484,-1.7204331999999998,2.1616459,-0.18097119,january,5,3,weekend,
180,WECCbus57,1.0122188,-1.7294793000000002,2.2379366000000003,-0.17718189,january,6,3,weekend,
186,WECCbus57,1.0113748,-1.7436474999999998,2.3509076,-0.17098885,january,7,3,weekend,
192,WECCbus57,1.0113712,-1.74446,2.3395497000000005,-0.17188175,january,8,3,weekend,
198,WECCbus57,1.0131567,-1.7149397000000002,1.9736699,-0.19052260000000001,january,9,3,weekend,
204,WECCbus57,1.0140853,-1.6976803,1.8292167000000001,-0.1947484,january,10,3,weekend,
210,WECCbus57,1.0144137,-1.6901271,1.817396,-0.19423509,january,11,3,weekend,
216,WECCbus57,1.0145005,-1.6886118000000003,1.8101906000000003,-0.19432184,january,12,3,weekend,
222,WECCbus57,1.0145182,-1.6881491000000002,1.8075892,-0.19434224,january,13,3,weekend,
228,WECCbus57,1.0145097,-1.6882439999999999,1.8125718999999998,-0.19415219,january,14,3,weekend,
234,WECCbus57,1.0143546,-1.6909499,1.8233273,-0.19406886,january,15,3,weekend,
240,WECCbus57,1.0140108,-1.6996897000000002,1.8443231,-0.19436634,january,16,3,weekend,
