,name,FullServiceRestaurant,Hospital,LargeHotel,LargeOffice,MediumOffice,MidriseApartment,OutPatient,PrimarySchool,QuickServiceRestaurant,ResidBase,ResidHigh,ResidLow,SecondarySchool,SmallHotel,SmallOffice,Stand-aloneRetail,StripMall,SuperMarket,Warehouse
0,N_1100017199,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,5621.0,0.0,0.0,0.0,0.0,147.0,0.0,34.0
1,N_1100006161,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13886.0,0.0,0.0,0.0,0.0,48.0,0.0,58.0
2,N_1100080115,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33384.0,0.0,0.0,0.0,0.0,280.0,0.0,148.0
3,N_1100080114,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52157.0,0.0,0.0,0.0,0.0,455.0,0.0,232.0
4,N_1100058567,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80259.0,0.0,0.0,0.0,0.0,379.0,0.0,339.0
5,N_1100080116,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37976.0,0.0,0.0,0.0,0.0,380.0,0.0,172.0
6,N_1100005152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4017.0,0.0,0.0,0.0,0.0,10.0,0.0,17.0
7,N_1100017190,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74753.0,0.0,0.0,0.0,0.0,252.0,0.0,311.0
8,N_1100017193,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2407.0,0.0,0.0,0.0,0.0,53.0,0.0,13.0
9,N_1100065409,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42118.0,0.0,0.0,0.0,0.0,419.0,0.0,190.0
10,N_1100017195,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,2118.0,0.0,0.0,0.0,0.0,70.0,0.0,15.0
11,N_1100017194,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12550.0,0.0,0.0,0.0,0.0,89.0,0.0,55.0
12,N_1100075773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,N_1100095369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,N_1100079902,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18962.0,0.0,0.0,0.0,0.0,49.0,0.0,78.0
15,N_1100123734,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10680.0,0.0,0.0,0.0,0.0,74.0,0.0,46.0
16,N_1100079900,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21650.0,0.0,0.0,0.0,0.0,250.0,0.0,100.0
17,N_1100005977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,N_1100042562,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28839.0,0.0,0.0,0.0,0.0,322.0,0.0,133.0
19,N_1100042563,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15066.0,0.0,0.0,0.0,0.0,178.0,0.0,70.0
20,N_1100123733,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4464.0,0.0,0.0,0.0,0.0,21.0,0.0,19.0
21,N_1100123732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3152.0,0.0,0.0,0.0,0.0,7.0,0.0,13.0
22,N_1100065000,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26446.0,0.0,0.0,0.0,0.0,343.0,0.0,125.0
23,N_1100065001,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89776.0,0.0,0.0,0.0,0.0,250.0,0.0,371.0
24,N_1100123630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33496.0,0.0,0.0,0.0,0.0,69.0,0.0,138.0
25,N_1100041697,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33822.0,0.0,0.0,0.0,0.0,215.0,0.0,146.0
26,N_1100006167,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7262.0,0.0,0.0,0.0,0.0,43.0,0.0,31.0
27,N_1100042942,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,0.0,3928.0,0.0,0.0,0.0,0.0,254.0,0.0,57.0
28,N_1100122414,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16965.0,0.0,0.0,0.0,0.0,153.0,0.0,76.0
29,N_1100001237,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18225.0,0.0,0.0,0.0,0.0,353.0,0.0,93.0
30,N_1100079969,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,27.0
31,N_1100005367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,N_1100079981,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47655.0,0.0,0.0,0.0,0.0,192.0,0.0,200.0
33,N_1100079984,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40275.0,0.0,0.0,0.0,0.0,321.0,0.0,177.0
34,N_1100042736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36540.0,0.0,17796.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0
35,N_1100080152,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33990.0,0.0,0.0,0.0,0.0,143.0,0.0,143.0
36,N_1100017191,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19784.0,0.0,0.0,0.0,0.0,87.0,0.0,83.0
37,N_1100006794,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3998.0,0.0,0.0,0.0,0.0,38.0,0.0,18.0
38,N_1100123629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8356.0,0.0,18110.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
39,N_1100058566,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71311.0,0.0,0.0,0.0,0.0,535.0,0.0,312.0
40,N_1100123703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
41,N_1100059608,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4040.0,0.0,5150.0,0.0,0.0,0.0,0.0,333.0,0.0,71.0
42,N_1100080078,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68347.0,0.0,0.0,0.0,0.0,173.0,0.0,282.0
43,N_1100080079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30171.0,0.0,15598.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0
44,N_1100079914,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79424.0,0.0,0.0,0.0,0.0,211.0,0.0,328.0
45,N_1100080074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61046.0,0.0,0.0,0.0,0.0,17.0,0.0,253.0
46,N_1100079916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40345.0,0.0,0.0,0.0,0.0,80.0,0.0,166.0
47,N_1100005148,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3858.0,0.0,0.0,0.0,0.0,35.0,0.0,17.0
48,N_1100080071,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30585.0,0.0,0.0,0.0,0.0,479.0,0.0,149.0
49,N_1100123740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,N_1100081276,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6074.0,0.0,0.0,0.0,0.0,50.0,0.0,27.0
51,N_1100081274,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7929.0,0.0,0.0,0.0,0.0,73.0,0.0,35.0
52,N_1100081273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2458.0,0.0,0.0,0.0,0.0,11.0,0.0,10.0
53,N_1100065408,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32494.0,0.0,0.0,0.0,0.0,491.0,0.0,157.0
54,N_1100123628,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22001.0,0.0,0.0,0.0,0.0,105.0,0.0,93.0
55,N_1100123627,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20096.0,0.0,0.0,0.0,0.0,155.0,0.0,88.0
56,N_1100123626,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39417.0,0.0,0.0,0.0,0.0,236.0,0.0,169.0
57,N_1100123625,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10072.0,0.0,0.0,0.0,0.0,55.0,0.0,43.0
